EDGE,,Weight,_4,SIM,4G bands,Audio quality,Browser,Loudspeaker_1,Model Name,Status,Dimensions,Card slot,USB,NFC,Models,Video,Video_1,Speed,Display,Sensors,Colors,GPU,Type,Chipset,WLAN,Talk time,Features_1,_2,Keyboard,Camera,_1,Stand-by,Features,Price,Single,Loudspeaker,Resolution,OS,3G bands,Technology,Charging,SAR EU,Performance,3.5mm jack,Music play,Talk time_1,Announced,Brand,Radio,_3,Positioning,Bluetooth,CPU,SAR,Internal,Model Image,GPRS,2G bands,Announced_1,Type_1,Single_1,Battery (old),Size,Protection
No,Stylus,544.3 g (1.20 lb),,No,,,,,Acer Chromebook Tab 10,"Available. Released 2018, July",238.3 x 172.2 x 9.9 mm (9.38 x 6.78 x 0.39 in),microSDXC (dedicated slot),USB Type-C 3.1,No,,720p,,,,Accelerometer,"Black, Blue",,IPS LCD,Rockchip RK3399,"Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct",Up to 9 h (multimedia),,,,,,,,About 330 EUR,5 MP,"Yes, with stereo speakers","1536 x 2048 pixels, 4:3 ratio (~264 ppi density)",Chrome OS,,No cellular connectivity,,,,Yes,,,"2018, March",Acer,No,,,"4.1, A2DP, LE",Hexa-core (4x Cortex-A53 & 2x Cortex-A72),,32GB 4GB RAM,https://fdn2.gsmarena.com/vv/bigpic/acer-chromebook-tab-10.jpg,No,N/A,,"Li-Po 4500 mAh, non-removable (34 Wh)",2 MP,,"9.7 inches, 291.4 cm2(~71.0% screen-to-body ratio)",
,"3, 7, 8, 28",260 g (9.17 oz),,Nano-SIM + Micro-SIM,"1, 3, 7, 8, 20",,,,acer iconia talk s-8306 ,Discontinued,191.7 x 101 x 9.4 mm (7.55 x 3.98 x 0.37 in),microSDXC (dedicated slot),microUSB 2.0,No,,1080p@30fps,720p,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,"Accelerometer, proximity",Black,Mali-T720MP2,IPS LCD,Mediatek MT8735,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct",Up to 9 h (multimedia),,,,,,,"HDR, panorama",About 170 EUR,"13 MP, AF",Yes,"720 x 1280 pixels, 16:9 ratio (~210 ppi density)",Android 6.0 (Marshmallow),HSDPA 850 / 1900 / 2100,GSM / HSPA / LTE,,,,Yes,,,"2016, August. Released 2016, October",Acer,FM radio,,"GPS, GLONASS","4.0, A2DP",Quad-core 1.3 GHz Cortex-A53,,"16GB 2GB RAM, 32GB 2GB RAM",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2016, August. Released 2016, October","Li-Ion 3400 mAh, non-removable (12.92 Wh)",2 MP,,"7.0 inches, 135.1 cm2(~69.8% screen-to-body ratio)",
Yes,,169 g (5.96 oz),,"Single SIM (Micro-SIM) or Hybrid Dual SIM (Micro-SIM, dual stand-by)",LTE,,,,Acer Liquid Z6 Plus,Discontinued,153.8 x 75.6 x 8.5 mm (6.06 x 2.98 x 0.33 in),microSDXC (uses shared SIM slot),microUSB 2.0,No,,1080p@30fps,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,"Fingerprint (front-mounted), accelerometer, proximity","Black, White",Mali-T720MP3,IPS LCD,Mediatek MT6753 (28 nm),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,,,,,,"LED flash, HDR, panorama",About 250 EUR,"13 MP, AF",Yes,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Android 6.0 (Marshmallow),HSDPA,GSM / HSPA / LTE,,,,Yes,,,"2016, August. Released 2016, December",Acer,FM radio,,GPS,"4.0, A2DP",Octa-core 1.3 GHz Cortex-A53,,32GB 3GB RAM,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-z6-plus.jpg,Yes,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,"Li-Po 4080 mAh, non-removable",5 MP,,"5.5 inches, 83.4 cm2(~71.7% screen-to-body ratio)",
Yes,eMMC 5.0,126 g (4.44 oz),,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",LTE,,,,Acer Liquid Z6,Discontinued,145.5 x 72.5 x 8.5 mm (5.73 x 2.85 x 0.33 in),microSDXC,microUSB 2.0,No,,Yes,,"HSPA, LTE",,"Accelerometer, proximity","Black, White",Mali-T720MP2,IPS LCD,Mediatek MT6737 (28 nm),Wi-Fi 802.11 b/g/n,,,,,,,,"LED flash, HDR, panorama",About 120 EUR,"8 MP, AF",Yes,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 6.0 (Marshmallow),HSDPA,GSM / HSPA / LTE,,,,Yes,,,"2016, August. Released 2016, December",Acer,FM radio,,GPS,"4.0, A2DP",Quad-core 1.25 GHz Cortex-A53,,8GB 1GB RAM,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-z6.jpg,Yes,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,"Li-Ion 2000 mAh, removable",2 MP,,"5.0 inches, 68.9 cm2(~65.3% screen-to-body ratio)",
No,HDMI,-,,No,,,,,Acer Iconia Tab 10 A3-A40,Discontinued,259 x 167 x 8.9 mm (10.20 x 6.57 x 0.35 in),microSDXC (dedicated slot),microUSB 2.0,No,,1080p@30fps,,,,Accelerometer,Black,Mali-T720 MP2,IPS LCD,Mediatek MT8163A,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,,,,,,,,About 230 EUR,5 MP,"Yes, with stereo speakers (4 speakers)","1920 x 1200 pixels, 16:10 ratio (~224 ppi density)",Android 6.0 (Marshmallow),,No cellular connectivity,,,,Yes,,,"2016, April. Released 2016, June",Acer,No,,,"4.0, A2DP",Quad-core 1.3 GHz Cortex-A53,,"16GB 2GB RAM, 32GB 2GB RAM, 64GB 2GB RAM",https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-10-a3-a40.jpg,No,N/A,,"Li-Ion 6100 mAh, non-removable",2 MP,,"10.1 inches, 295.8 cm2(~68.4% screen-to-body ratio)",
,HSDPA 850 / 1700(AWS) / 1900 - PA,166 g (5.86 oz),,Triple SIM (Micro-SIM),LTE 800 / 1800 / 2100 / 2600 - Europe,Noise -86.1dB / Crosstalk -88.1dB,,Voice 61dB / Noise 62dB / Ring 67dB,acer liquid x2-8034 ,Discontinued,153.3 x 78.8 x 8.5 mm (6.04 x 3.10 x 0.33 in),microSDHC (dedicated slot),microUSB 2.0,No,,1080p@30fps,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","Contrast ratio: 950 (nominal), 2.084 (sunlight)","Accelerometer, proximity, compass","Black, Gold",Mali-T720MP4,IPS LCD,Mediatek MT6753 (28 nm),"Wi-Fi 802.11 b/g/n, hotspot",Up to 23 h (3G),LED flash,24-bit/192kHz audio,,Photo/Video,LTE 700 / 900 / 1800 - Taiwan,Up to 820 h (3G),LED flash,About 230 EUR,"13 MP, f/1.8, AF",Yes,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Android 5.1 (Lollipop),"HSDPA 900 / 1900 / 2100 - Europe, Taiwan",GSM / HSPA / LTE,,,Basemark OS II 2.0: 825Basemark X: 4300,Yes,,,"2015, April. Released 2016, February",Acer,FM radio,,GPS,"4.0, A2DP, LE",Octa-core 1.3 GHz Cortex-A53,,32GB 3GB RAM,,,GSM 850 / 900 / 1800 / 1900,"2015, April. Released 2016, February","Li-Po 4020 mAh, removable","13 MP, f/1.8, AF",Endurance rating 85h,"5.5 inches, 83.4 cm2(~69.0% screen-to-body ratio)",
,eMMC 5.0,150 g (5.29 oz),,Nano-SIM + Nano-SIM,LTE,,,,acer liquid jade 2-7956 ,Discontinued,156.6 x 75.9 x 8.4 mm (6.17 x 2.99 x 0.33 in),microSDXC,microUSB 2.0,No,,"4K@30fps, 1080p@30fps",1080p@30fps,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,"Accelerometer, gyro, proximity, compass",Black,Adreno 418,Super AMOLED,Qualcomm MSM8992 Snapdragon 808 (20 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,,,,,,"Dual-LED flash, HDR, panorama",,"21 MP, AF",Yes,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Android 6.0 (Marshmallow),HSDPA 900 / 2100,GSM / HSPA / LTE,,,,Yes,,,"2016, February",Acer,FM radio,,GPS,"4.0, A2DP, LE",Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57),,32GB 3GB RAM,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2016, February","Li-Po 3000 mAh, non-removable",8 MP,,"5.5 inches, 83.4 cm2(~70.2% screen-to-body ratio)",Corning Gorilla Glass 4
Yes,,-,,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",LTE,,,,acer liquid zest plus-8059 ,Discontinued,154 x 77 x 10 mm (6.06 x 3.03 x 0.39 in),microSDXC (dedicated slot),microUSB 2.0,No,,1080p@30fps,,"HSPA, LTE",,"Accelerometer, proximity, compass","Blue, White",Mali-T720MP2,IPS LCD,Mediatek MT6735 (28 nm),Wi-Fi 802.11 b/g/n,,,,,,,,"Laser AF, LED flash, HDR, panorama",About 200 EUR,"13 MP, PDAF",Yes,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Android 6.0 (Marshmallow),HSDPA,GSM / HSPA / LTE,10W wired,,,Yes,,,"2016, April. Released 2016, July",Acer,FM radio,,GPS,"4.0, A2DP",Quad-core 1.3 GHz Cortex-A53,,16GB 2GB RAM,,Yes,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),"2016, April. Released 2016, July","Li-Ion 5000 mAh, non-removable",5 MP,,"5.5 inches, 83.4 cm2(~70.3% screen-to-body ratio)",
,,125 g (4.41 oz),,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",LTE,,,,Acer Liquid Zest,Discontinued,145.7 x 71.2 x 8.4 mm (5.74 x 2.80 x 0.33 in),microSDHC (dedicated slot),microUSB 2.0,No,,1080p@30fps,,"HSPA, LTE Cat4 150/50 Mbps",,"Accelerometer, proximity, compass","Black, White",Mali-400MP2 - Z525Mali-T720MP2 - Z528,IPS LCD,Mediatek MT6580 - Z525Mediatek MT6735 - Z525,Wi-Fi 802.11 b/g/n,,,,,,,,"LED flash, HDR, panorama",About 110 EUR,"8 MP, f/2.0, AF",Yes,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 6.0 (Marshmallow),HSDPA 850 / 900 / 1900 / 2100,GSM / HSPA / LTE,,,,Yes,,,"2016, February. Released 2016, April",Acer,FM radio,,GPS,"4.0, A2DP",Quad-core 1.3 GHz - Z525Quad-core 1.0 GHz - Z528,,8GB 1GB RAM,https://fdn2.gsmarena.com/vv/bigpic/acer-zest.jpg,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,"Li-Ion 2000 mAh, removable",5 MP,,"5.0 inches, 68.9 cm2(~66.4% screen-to-body ratio)",
No,,353.8 g (12.49 oz),,No,,,,,acer predator 8-7750 ,Discontinued,217.9 x 127 x 8.6 mm (8.58 x 5.0 x 0.34 in),microSDXC (dedicated slot),microUSB 2.0,No,GT-810-15NC,1080p@30fps,,,,Yes,Black/Silver,,IPS LCD,Intel Atom x7-Z8700,Wi-Fi 802.11 a/b/g/n,Up to 8 h 30 min,,,,,,,,About 350 EUR,5 MP,"Yes, with stereo speakers (4 speakers)","1920 x 1200 pixels, 16:10 ratio (~283 ppi density)",Android 5.0 (Lollipop),,No cellular connectivity,,,,Yes,,,"2015, September. Released 2015, November",Acer,No,,,"4.0, A2DP, LE",Quad-core 1.6 GHz,,"32GB 2GB RAM, 64GB 2GB RAM",,No,N/A,"2015, September. Released 2015, November","Li-Po 4420 mAh, non-removable",2 MP,,"8.0 inches, 185.6 cm2(~67.1% screen-to-body ratio)",
