,Stand-by,Card slot,Price,Model Name,USB,SAR EU,EDGE,Sensors,SIM,4G bands,Size,_2,Video,Messaging,Games,Infrared port,Technology,Brand,Quad,Dimensions,Weight,Model Image,Positioning,GPRS,Java,Single_1,CPU,GPU,Video_1,Call records,Single,Announced,NFC,Radio,Chipset,Loudspeaker,Features_1,Models,Protection,Status,OS,Type,Internal,Type_1,Bluetooth,3.5mm jack,Colors,Speed,Charging,Dual,Phonebook,Features,Talk time,_1,3G bands,Resolution,2G bands,WLAN
eMMC 5.1,,microSDXC (uses shared SIM slot),About 230 EUR,Allview Soul X7 Pro,USB Type-C 3.0,1.12 W/kg (head),,"Fingerprint (rear-mounted), accelerometer, proximity, compass",Nano-SIM + Micro-SIM,"1, 2, 3, 5, 8, 20, 38, 40, 41","6.53 inches, 104.7 cm2(~84.2% screen-to-body ratio)",,"4K@30fps, 1080p@30fps",,,,GSM / HSPA / LTE,Allview,"13 MP, f/1.8, (wide), 1/3.1"", 1.12µm, PDAF8 MP, f/2.2, 120˚ (ultrawide), 1/4.0"", 1.12µm2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",161.9 x 76.8 x 8.3 mm (6.37 x 3.02 x 0.33 in),193 g (6.81 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-soul-x7-pro.jpg,"GPS, GLONASS",,,,Octa-core (4x2.2 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),Adreno 508,1080p@30fps,,"16 MP, (wide), 1/3.06"" 1.0µm","2020, May 26",No,FM radio,Qualcomm SDM630 Snapdragon 630 (14 nm),Yes,,,Corning Gorilla Glass,"Available. Released 2020, May 26",Android 9.0 (Pie),IPS LCD,64GB 4GB RAM,Li-Po 4000 mAh,"5.1, A2DP, LE",Yes,Black Desire,"HSPA 42.2/11.5 Mbps, LTE Cat7 300/100 Mbps",18W wired,,,"LED flash, HDR, panorama",,,HSDPA 850 / 900 / 1900 / 2100,"1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)",GSM 850 / 900 / 1800 / 1900,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct"
eMMC 5.1,,microSDXC (uses shared SIM slot),About 130 EUR,Allview Soul X7 Style,USB Type-C 2.0,0.87 W/kg (head),,"Fingerprint (rear-mounted), accelerometer, proximity, compass",Nano-SIM + Nano-SIM,"1, 3, 5, 7, 8, 20, 38, 40","6.21 inches, 96.3 cm2(~81.2% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA / LTE,Allview,,157.6 x 75.2 x 8.3 mm (6.20 x 2.96 x 0.33 in),184.7 g (6.53 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-soul-x7-style.jpg,"GPS, GLONASS",,,,Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),Mali-G71 MP2,,,5 MP,"2020, May 26",No,FM radio,Mediatek MT6763 Helio P23 (16 nm),Yes,,,,"Available. Released 2020, May 26",Android 9.0 (Pie),IPS LCD,64GB 4GB RAM,Li-Po 3400 mAh battery,"4.0, A2DP",Yes,Turcoise,"HSPA, LTE",,"13 MP, f/2.2, AF0.3 MP, (depth)",,"LED flash, HDR",,,HSDPA 900 / 2100,"720 x 1520 pixels, 19:9 ratio (~271 ppi density)",GSM 850 / 900 / 1800 / 1900,Wi-Fi 802.11 b/g/n
eMMC 5.1,,microSDHC,About 90 EUR,Allview Viva 803G,microUSB 2.0,1.59 W/kg (body),,Accelerometer,Micro-SIM,,"8.0 inches, 185.6 cm2(~72.0% screen-to-body ratio)",,720p,,,,GSM / HSPA,Allview,,208 x 124 x 9.5 mm (8.19 x 4.88 x 0.37 in),330 g (11.64 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-viva-803g.jpg,GPS,,,2 MP,Quad-core 1.3 GHz Cortex-A7,Mali-400,,,VGA,"2020, April",No,FM radio,Mediatek MT8321 (28 nm),Yes,,,,"Available. Released 2020, April",Android 9.0 Pie (Go edition),IPS LCD,16GB 1GB RAM,Li-Po 3600 mAh,"4.0, A2DP",Yes,Black,HSPA 21.1/5.76 Mbps,,,,LED flash,,,HSDPA 900 / 1900 / 2100,"800 x 1280 pixels, 16:10 ratio (~189 ppi density)",GSM 850 / 900 / 1800 / 1900,Wi-Fi 802.11 b/g/n
eMMC 5.1,,microSDXC (uses shared SIM slot),About 170 EUR,Allview V4 Viper Pro,microUSB 2.0,1.20 W/kg (head),,"Fingerprint (rear-mounted), accelerometer, proximity",Nano-SIM + Nano-SIM,"1, 3, 7, 20, 38","6.8 inches, 115.4 cm2(~82.3% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA / LTE,Allview,,171 x 82 x 8.8 mm (6.73 x 3.23 x 0.35 in),191.6 g (6.77 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-v4-viper-pro.jpg,"GPS, GLONASS",,,,Quad-core 1.3 GHz Cortex-A53,PowerVR GE8100,1080p@30fps,,8 MP,"2020, January",No,FM radio,Mediatek MT6739 (28 nm),Yes,,,,"Available. Released 2020, January",Android 9.0 (Pie),IPS LCD,32GB 2GB RAM,Li-Po 3500 mAh,"4.0, A2DP",Yes,Dark Grey,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",10W wired,"13 MP, AF0.3 MP, (depth)",,LED flash,,,HSDPA 900 / 2100,"640 x 1352 pixels, 19:9 ratio (~220 ppi density)",GSM 850 / 900 / 1800 / 1900,Wi-Fi 802.11 b/g/n
No,,microSDHC,About 50 EUR,Allview Viva C703,microUSB 2.0,,No,Accelerometer,No,N/A,"7.0 inches, 137.9 cm2(~67.5% screen-to-body ratio)",,480p,,,,No cellular connectivity,Allview,,188.5 x 108.3 x 9.7 mm (7.42 x 4.26 x 0.38 in),242 g (8.54 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-vivac703.jpg,No,No,,,Quad-core 1.5 GHz Cortex-A7,Mali-400MP2,,,0.3 MP,"2019, October",No,No,,Yes,,,,"Available. Released 2019, October",Android 8.1 Oreo (Go edition),IPS LCD,8GB 1GB RAM,"Li-Po 2000 mAh, non-removable","4.0, A2DP",Yes,Black,No,,,,,,,N/A,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",N/A,Wi-Fi 802.11 b/g/n
No,,microSDXC (dedicated slot),About 250 EUR,Allview Viva Home,"microUSB 2.0, USB",,No,Accelerometer,No,N/A,"17.3 inches, 825.1 cm2(~74.0% screen-to-body ratio)",,1080p,,,,No cellular connectivity,Allview,,418.5 x 266.3 x 19.5 mm (16.48 x 10.48 x 0.77 in),2018.3 g (4.45 lb),https://fdn2.gsmarena.com/vv/bigpic/allview-vivahome.jpg,GPS,No,,,Quad-core 1.5 GHz Cortex-A53,,,,2 MP,"2019, July",No,FM radio,Mediatek MT8163,Yes,,,,"Available. Released 2019, July",Android 9.0 (Pie),IPS LCD,32GB 2GB RAM,"Li-Po 5000 mAh, non-removable","4.0, A2DP",Yes,Black,,,,,,,,N/A,"1080 x 1920 pixels, 16:9 ratio (~127 ppi density)",N/A,Wi-Fi 802.11 a/b/g/n
,Up to 400 h,microSDXC (dedicated slot),,Allview Viva 1003G,microUSB 2.0,1.05 W/kg (body),,Accelerometer,Mini-SIM,,"10.1 inches, 295.8 cm2(~70.0% screen-to-body ratio)",,720p@30fps,,,,GSM / HSPA,Allview,,246.2 x 171.7 x 10.7 mm (9.69 x 6.76 x 0.42 in),479.4 g (1.06 lb),https://fdn2.gsmarena.com/vv/bigpic/allview-viva1003g.jpg,GPS,,,2 MP,Quad-core 1.3 GHz Cortex-A7,Mali-400,,,2 MP,"2019, August",No,FM radio,Mediatek MT8321A (28 nm),Yes,,,,"Available. Released 2019, August",Android 9.0 (Pie),IPS LCD,16GB 2GB RAM,"Li-Po 4000 mAh, non-removable","4.0, A2DP",Yes,Black,HSPA 21.1/5.76 Mbps,10W wired,,,LED flash,Up to 11 h,,HSDPA 900 / 2100,"800 x 1280 pixels, 16:10 ratio (~149 ppi density)",GSM 900 / 1800 / 1900,Wi-Fi 802.11 b/g/n
,Up to 400 h,microSDXC (dedicated slot),About 100 EUR,Allview Viva 1003G Lite,microUSB 2.0,1.05 W/kg (body),,Accelerometer,Mini-SIM,,"10.1 inches, 295.8 cm2(~70.0% screen-to-body ratio)",,720p@30fps,,,,GSM / HSPA,Allview,,246.2 x 171.7 x 10.7 mm (9.69 x 6.76 x 0.42 in),505.2 g (1.11 lb),https://fdn2.gsmarena.com/vv/bigpic/allview-viva1003g-lite.jpg,GPS,,,2 MP,Quad-core 1.3 GHz Cortex-A7,Mali-400,,,0.3 MP,"2019, September",No,FM radio,Mediatek MT8321A (28 nm),Yes,,,,"Available. Released 2019, September",Android 8.1 Oreo (Go edition),IPS LCD,16GB 1GB RAM,"Li-Po 4000 mAh, non-removable","4.0, A2DP",Yes,Black,HSPA 21.1/5.76 Mbps,10W wired,,,LED flash,Up to 8 h 20 min,,HSDPA 900 / 2100,"800 x 1280 pixels, 16:10 ratio (~149 ppi density)",GSM 900 / 1800 / 1900,Wi-Fi 802.11 b/g/n
eMMC 5.1,,microSDXC (uses shared SIM slot),About 100 EUR,Allview V4 Viper,microUSB 2.0,1.13 W/kg (head),,"Fingerprint (rear-mounted), accelerometer, proximity",Nano-SIM + Nano-SIM,"1, 3, 7, 8, 20, 38","5.7 inches, 81.1 cm2(~78.4% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA / LTE,Allview,,145.8 x 70.9 x 8.5 mm (5.74 x 2.79 x 0.33 in),138 g (4.87 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-v4-viper.jpg,"GPS, GLONASS",,,,Quad-core 2.0 GHz Cortex-A53,PowerVR GE8320,,,5 MP,"2019, September",No,FM radio,Mediatek MT6761 Helio A22 (12 nm),Yes,,,,"Available. Released 2019, September",Android 9.0 (Pie),IPS LCD,16GB 2GB RAM,"Li-Po 2700 mAh, non-removable","4.1, A2DP, LE",Yes,"Blue, Red","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,"8 MP, AF0.3 MP, (depth)",,LED flash,,,HSDPA 900 / 2100,"720 x 1520 pixels, 19:9 ratio (~295 ppi density)",GSM 850 / 900 / 1800 / 1900,Wi-Fi 802.11 b/g/n
eMMC 5.1,,microSDXC (dedicated slot),,Allview Soul X6 Mini,microUSB 2.0,0.98 W/kg (head),,"Fingerprint (rear-mounted), accelerometer, proximity",Nano-SIM + Nano-SIM,"1, 3, 7, 8, 20, 38","6.2 inches, 95.9 cm2(~79.3% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA / LTE,Allview,,158.3 x 76.4 x 8.3 mm (6.23 x 3.01 x 0.33 in),175.7 g (6.21 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-soul-x6-mini.jpg,"GPS, GLONASS",,,,Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,,,13 MP,"2019, May",No,FM radio,Mediatek MT6762 Helio P22 (12 nm),Yes,,,,"Available. Released 2019, May",Android 9.0 (Pie),IPS LCD,16GB 2GB RAM,"Li-Po 4000 mAh, non-removable","4.1, A2DP, LE",Yes,Indigo Blue,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",10W wired,"13 MP, AF2 MP, (depth)",,"Dual-LED dual-tone flash, panorama, HDR",,,HSDPA 900 / 2100,"720 x 1520 pixels, 19:9 ratio (~271 ppi density)",GSM 850 / 900 / 1800 / 1900,Wi-Fi 802.11 b/g/n
