,Stand-by,Card slot,Price,Model Name,USB,_3,EDGE,Sensors,SIM,4G bands,Size,_2,Video,Technology,Brand,_4,Dimensions,Weight,Model Image,Positioning,GPRS,Single_1,CPU,GPU,Audio quality,Video_1,Single,Announced,NFC,Radio,Chipset,Loudspeaker,Models,OS,Status,Protection,Type,Music play,Internal,Type_1,Bluetooth,3.5mm jack,Loudspeaker_1,Colors,Speed,Charging,Talk time,Features,Display,_1,3G bands,Resolution,2G bands,WLAN
Stylus support,,microSDXC (dedicated slot),About 270 EUR,Amazon Fire Max 11,"USB Type-C 2.0, OTG, magnetic accessory connector",,No,"Fingerprint (side-mounted), accelerometer, proximity (accessories only)",No,,"11.0 inches, 344.4 cm2(~81.2% screen-to-body ratio)",,1080p,No cellular connectivity,Amazon,,259.1 x 163.7 x 7.5 mm (10.20 x 6.44 x 0.30 in),490 g (1.08 lb),https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-max-11.jpg,No,No,8 MP,Octa-core (2x2.2 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,,1080p,"8 MP, AF","2023, May 23",No,No,Mediatek MT8188J,"Yes, with stereo speakers",KFSNWI,"Android 11, Fire OS 8","Available. Released 2023, May 23",,IPS LCD,,"64GB 4GB RAM, 128GB 4GB RAM",Li-Ion,"5.3, A2DP, LE",No,,Gray,,15W wired,,,,Text-to-Speech English-language content reader,,"2000 x 1200 pixels, 5:3 ratio (~212 ppi density)",N/A,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band"
eMMC 5.1,,microSDXC (dedicated slot),About 120 EUR,Amazon Fire HD 8 Plus (2022),USB Type-C 2.0,,N/A,Accelerometer,No,,"8.0 inches, 185.6 cm2(~66.9% screen-to-body ratio)",,1080p,No cellular connectivity,Amazon,,201.9 x 137.4 x 9.6 mm (7.95 x 5.41 x 0.38 in),342 g (12.06 oz),https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-8-plus-2022.jpg,No,N/A,2 MP,Hexa-core (6x2.0 GHz Cortex-A55),Mali-G52 2EE MC2,,720p,5 MP,"2022, September 21",No,No,Mediatek MT8169A,"Yes, with stereo speakers",KFRAPWI,"Android 11, Fire OS 8","Available. Released 2022, September 21",,IPS LCD,,"32GB 3GB RAM, 64GB 3GB RAM",,"5.2, A2DP, LE",Yes,,Gray,,15W wired10W wireless,Up to 13 h,,,Alexa natural language commandsText-to-Speech English-language content reader,,"800 x 1280 pixels, 16:10 ratio (~189 ppi density)",N/A,"Wi-Fi 802.11 a/b/g/n/ac, dual-band"
eMMC 5.1,,microSDXC (dedicated slot),About 110 EUR,Amazon Fire HD 8 (2022),USB Type-C 2.0,,N/A,Accelerometer,No,,"8.0 inches, 185.6 cm2(~66.9% screen-to-body ratio)",,1080p,No cellular connectivity,Amazon,,201.9 x 137.4 x 9.6 mm (7.95 x 5.41 x 0.38 in),337 g (11.89 oz),https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-8-2022.jpg,No,N/A,2 MP,Hexa-core (6x2.0 GHz Cortex-A55),Mali-G52 2EE MC2,,720p,5 MP,"2022, September 21",No,No,Mediatek MT8169A,"Yes, with stereo speakers",KFRAWI,"Android 11, Fire OS 8","Available. Released 2022, September 21",,IPS LCD,,"32GB 2GB RAM, 64GB 2GB RAM",,"5.2, A2DP, LE",Yes,,"Black, Denim, Rose",,15W wired,Up to 13 h,,,Alexa natural language commandsText-to-Speech English-language content reader,,"800 x 1280 pixels, 16:10 ratio (~189 ppi density)",N/A,"Wi-Fi 802.11 a/b/g/n/ac, dual-band"
eMMC 5.1,,microSDXC (dedicated slot),About 150 EUR,Amazon Fire HD 10 Plus (2021),"USB Type-C 2.0, OTG",,No,Accelerometer,No,,"10.1 inches, 295.8 cm2(~72.1% screen-to-body ratio)",,720p,No cellular connectivity,Amazon,,247 x 166 x 9.2 mm (9.72 x 6.54 x 0.36 in),468 g (1.03 lb),https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-10-plus-2021.jpg,No,No,2 MP,Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),Mali-G72 MP3,,720p,5 MP,"2021, April 27",No,No,Mediatek MT8183 Helio P60T (12 nm),"Yes, with stereo speakers",T76N2P,"Android 9.0 (Pie), Fire OS 7","Available. Released 2021, May 26",Aluminosilicate glass,IPS LCD,,"32GB 4GB RAM, 64GB 4GB RAM",Li-Ion,"5.0, A2DP, LE",Yes,,Slate,,Wireless,,,,Text-to-Speech English-language content reader,,"1920 x 1200 pixels, 16:10 ratio (~224 ppi density)",N/A,"Wi-Fi 802.11 a/b/g/n/ac, dual-band"
eMMC 5.1,,microSDXC (dedicated slot),About 130 EUR,Amazon Fire HD 10 (2021),"USB Type-C 2.0, OTG",,No,Accelerometer,No,,"10.1 inches, 295.8 cm2(~72.1% screen-to-body ratio)",,720p,No cellular connectivity,Amazon,,247 x 166 x 9.2 mm (9.72 x 6.54 x 0.36 in),465 g (1.03 lb),https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-10-2021.jpg,No,No,2 MP,Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),Mali-G72 MP3,,720p,5 MP,"2021, April 27",No,No,Mediatek MT8183 Helio P60T (12 nm),"Yes, with stereo speakers","T76N2B, KFTRWI, KFTRPWI","Android 9.0 (Pie), Fire OS 7","Available. Released 2021, May 26",Aluminosilicate glass,IPS LCD,,"32GB 3GB RAM, 64GB 3GB RAM",Li-Ion,"5.0, A2DP, LE",Yes,,"Black, Denim, Olive, Lavender",,,,,,Text-to-Speech English-language content reader,,"1920 x 1200 pixels, 16:10 ratio (~224 ppi density)",N/A,"Wi-Fi 802.11 a/b/g/n/ac, dual-band"
eMMC 5.1,,microSDXC (dedicated slot),About 100 EUR,Amazon Fire HD 8 Plus (2020),USB Type-C,,No,Accelerometer,No,,"8.0 inches, 185.6 cm2(~67.1% screen-to-body ratio)",,Yes,No cellular connectivity,Amazon,,202 x 137 x 9.7 mm (7.95 x 5.39 x 0.38 in),355 g (12.52 oz),https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd8-2020.jpg,No,No,2 MP,Quad-core 2.0 GHz Cortex-A53,Mali-G52 MC1,,Yes,2 MP,"2020, March 13",No,No,Mediatek MT8168 (12 nm),"Yes, with stereo speakers",,"Android 9.0 (Pie), Fire OS 7","Available. Released 2020, June 03",,IPS LCD,,"32GB 3GB RAM, 64GB 3GB RAM",,"5.0, A2DP, LE",Yes,,"White, Black, Twilight Blue, Plum",,Wireless,Up to 12 h,,,Alexa natural language commandsText-to-Speech English-language content reader,,"800 x 1280 pixels, 16:10 ratio (~189 ppi density)",N/A,"Wi-Fi 802.11 a/b/g/n/ac, dual-band"
eMMC 5.1,,microSDXC (dedicated slot),About 80 EUR,Amazon Fire HD 8 (2020),USB Type-C,,No,Accelerometer,No,,"8.0 inches, 185.6 cm2(~67.1% screen-to-body ratio)",,Yes,No cellular connectivity,Amazon,,202 x 137 x 9.7 mm (7.95 x 5.39 x 0.38 in),355 g (12.52 oz),https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd8-2020.jpg,No,No,2 MP,Quad-core 2.0 GHz Cortex-A53,Mali-G52 MC1,,Yes,2 MP,"2020, March 13",No,No,Mediatek MT8168 (12 nm),"Yes, with stereo speakers",KFONWI,"Android 9.0 (Pie), Fire OS 7","Available. Released 2020, June 03",,IPS LCD,,"32GB 2GB RAM, 64GB 2GB RAM",,"5.0, A2DP, LE",Yes,,"White, Black, Twilight Blue, Plum",,,Up to 12 h,,,Alexa natural language commandsText-to-Speech English-language content reader,,"800 x 1280 pixels, 16:10 ratio (~189 ppi density)",N/A,"Wi-Fi 802.11 a/b/g/n/ac, dual-band"
eMMC 5.1,,microSDXC (dedicated slot),About 160 EUR,Amazon Fire HD 10 (2019),"USB Type-C 2.0, OTG",,No,Accelerometer,No,,"10.1 inches, 295.8 cm2(~71.0% screen-to-body ratio)",,720p,No cellular connectivity,Amazon,,262 x 159 x 9.8 mm (10.31 x 6.26 x 0.39 in),504 g (1.11 lb),https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-10-2019.jpg,No,No,2 MP,Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),Mali-G72 MP3,,720p,2 MP,"2019, September",No,No,Mediatek MT8183 Helio P60T (12 nm),"Yes, with stereo speakers",KFMAWI,"Android 9.0 (Pie), Fire OS 7","Available. Released 2019, October",,IPS LCD,,"32GB 2GB RAM, 64GB 2GB RAM",Li-Ion,"4.2, A2DP, LE",Yes,,"Black, Plum, Twilight Blue, White",,,,,,Text-to-Speech English-language content reader,,"1920 x 1200 pixels, 16:10 ratio (~224 ppi density)",N/A,"Wi-Fi 802.11 a/b/g/n/ac, dual-band"
Text-to-Speech English-language content reader,,microSDXC (dedicated slot),About 170 EUR,Amazon Fire HD 10 (2017),microUSB 2.0,,No,Accelerometer,No,,"10.1 inches, 295.8 cm2(~71.0% screen-to-body ratio)",,720p,No cellular connectivity,Amazon,,262 x 159 x 9.8 mm (10.31 x 6.26 x 0.39 in),500 g (1.10 lb),https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-10-2017.jpg,No,No,VGA,Quad-core (2x1.8 GHz Cortex-A72 & 2x1.4 GHz Cortex-A53),PowerVR G6250,,,2 MP,"2017, September. Released 2017, October",No,No,Mediatek MT8173,"Yes, with stereo speakers",,"Customized Android 5.1 (Lollipop), Fire 5.3",Discontinued,,IPS LCD,,"32GB 2GB RAM, 64GB 2GB RAM","Li-Po 3830 mAh, non-removable (14.2 Wh)","4.1, A2DP, LE",Yes,,"Black, Marine Blue, Punch Red",,,Up to 10 h,,,,,"1920 x 1200 pixels, 16:10 ratio (~224 ppi density)",N/A,"Wi-Fi 802.11 a/b/g/n/ac, dual-band"
Alexa natural language commandsText-to-Speech English-language content reader,,microSDXC (dedicated slot),About 110 EUR,Amazon Fire HD 8 (2017),microUSB 2.0,,No,Accelerometer,No,,"8.0 inches, 185.6 cm2(~67.7% screen-to-body ratio)",,720p,No cellular connectivity,Amazon,,214 x 128 x 9.7 mm (8.43 x 5.04 x 0.38 in),369 g (13.02 oz),https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-8-2017.jpg,No,No,VGA,Quad-core 1.3 GHz Cortex-A53,Mali-T730MP3,,,2 MP,"2017, May. Released 2017, June",No,No,Mediatek MT8163 (28 nm),"Yes, with stereo speakers",,"Customized Android 5.1 (Lollipop), Fire 5.4",Discontinued,,IPS LCD,,"16GB 1.5GB RAM, 32GB 1.5GB RAM","Li-Po 3210 mAh, non-removable (11.87 Wh)","4.0, A2DP, LE",Yes,,"Black, Canary Yellow, Marine Blue, Punch Red",,,Up to 12 h,,,,,"800 x 1280 pixels, 16:10 ratio (~189 ppi density)",N/A,"Wi-Fi 802.11 a/b/g/n, dual-band"
