,Stand-by,Card slot,Model Name,USB,_3,EDGE,Sensors,SIM,Size,_2,Video,Messaging,Games,Infrared port,Technology,Brand,Dimensions,Weight,Model Image,Positioning,GPRS,Java,Single_1,CPU,Video_1,Call records,Single,Announced,Radio,Loudspeaker,OS,Status,Type,Internal,Browser,Type_1,Bluetooth,3.5mm jack,Colors,Speed,Phonebook,Features,Talk time,_1,3G bands,Alert types,Resolution,2G bands,WLAN
No,,microSD (dedicated slot),Amoi E860,No,,,,Mini-SIM,"2.8 inches, 24.3 cm2(~35.8% screen-to-body ratio)",,Yes,,,,GSM,Amoi,112 x 60.5 x 15.8 mm (4.41 x 2.38 x 0.62 in),,https://fdn2.gsmarena.com/vv/bigpic/amoi-e860.gif,"GPS, SiRF Star III chipset",Yes,,,,,,2 MP,2007,No,No,Microsoft Windows Mobile 5.0 Phone Edition,Discontinued,"TFT resistive touchscreen, 256K colors (65K effective)",50MB,"WAP 2.0/xHTML, HTML(IE)",Removable Li-Ion 1150 mAh battery,"1.2, A2DP",No,Black,,,,,File transferOrganizerTask synchronizing,,Vibration; Downloadable polyphonic ringtones,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",GSM 900 / 1800,No
No,,microSD (dedicated slot),Amoi E78,No,,Yes,,Mini-SIM,"2.46 inches, 18.7 cm2(~26.7% screen-to-body ratio)",,Yes,,,,GSM,Amoi,115 x 61 x 12.7 mm (4.53 x 2.40 x 0.5 in),,https://fdn2.gsmarena.com/vv/bigpic/amoi-e78.gif,No,Yes,,,,,,2 MP,2007,No,No,Microsoft Windows Mobile 5.0 PocketPC,Discontinued,"TFT resistive touchscreen, 65K colors",64MB,WAP 2.0 / HTML (PocketIE),Removable Li-Ion 1100 mAh battery,"1.2, A2DP",No,Black,,,,,File transferOrganizerTask synchronizingPocket Office,,Vibration; Downloadable polyphonic ringtones,"240 x 320 pixels, 4:3 ratio (~163 ppi density)",GSM 850 / 900 / 1800 / 1900,No
No,,microSD (dedicated slot),Amoi E76,No,,,,Mini-SIM,"2.2 inches, 15.0 cm2(~29.4% screen-to-body ratio)",,Yes,,,,GSM,Amoi,100 x 51 x 16.8 mm (3.94 x 2.01 x 0.66 in),,https://fdn2.gsmarena.com/vv/bigpic/amoi-e76.gif,No,Yes,,,,,,2 MP,2007,No,No,Microsoft Windows Mobile 5.0 Phone Edition,Discontinued,"TFT, 65K colors",64MB,MS IE,Removable Li-Ion 1100 mAh battery,"1.2, A2DP",No,Black,,,,,File transferContactOrganizerTask synchronizing,,Vibration; Downloadable polyphonic ringtones,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",GSM 900 / 1800,No
No,,microSD (dedicated slot),Amoi E72,No,,,,Mini-SIM,"2.0 inches, 12.6 cm2(~28.1% screen-to-body ratio)",,Yes,,,,GSM,Amoi,100 x 44.8 x 14.8 mm (3.94 x 1.76 x 0.58 in),,https://fdn2.gsmarena.com/vv/bigpic/amoi-e72.gif,No,Yes,,,,,,1.3 MP,2007,No,No,Microsoft Windows Mobile 5.0 Phone Edition,Discontinued,"TFT, 65K colors",64MB,WAP 2.0 / HTML (PocketIE),Removable Li-Ion 1100 mAh battery,"1.2, A2DP",No,Black,HSPA,,,,File transferOrganizer,,Vibration; Downloadable polyphonic ringtones,176 x 220 pixels (~141 ppi density),GSM 900 / 1900,No
Audio/ playerP2P Video SupportPC SyncOrganizer,,microSD (dedicated slot),Amoi WMA8701A,No,,,,Mini-SIM,"2.2 inches, 15.0 cm2(~28.5% screen-to-body ratio)",,Yes,"SMS, MMS, Email",Yes,,GSM / UMTS,Amoi,109.4 x 48 x 13.8 mm (4.31 x 1.89 x 0.54 in),,https://fdn2.gsmarena.com/vv/bigpic/amoi-8701a.gif,No,,"Yes, MIDP 2.0",VGA videocall camera,,,"20 dialed, 20 received, 20 missed calls",2 MP,2007,No,No,,Discontinued,"TFT, 256K colors",200MB,WAP 2.0,Removable Li-Ion 820 mAh battery,"1.2, A2DP",No,Black,HSPA,500 entries,,,,UMTS 2100,"Vibration; Downloadable polyphonic, AMR, MP3, AAC, AAC+, WAV, MIDI ringtones","320 x 240 pixels, 4:3 ratio (~182 ppi density)",GSM 900 / 1800,No
Audio/ playerP2P Video SupportPC SyncOrganizer,,microSD (dedicated slot),Amoi WMA8703,No,,,,Mini-SIM,"2.2 inches, 15.0 cm2(~28.5% screen-to-body ratio)",,Yes,"SMS, MMS, Email",Yes,,GSM / UMTS,Amoi,109.4 x 48 x 13.8 mm (4.31 x 1.89 x 0.54 in),,https://fdn2.gsmarena.com/vv/bigpic/amoi-8703.gif,No,,"Yes, MIDP 2.0",VGA videocall camera,,,"20 dialed, 20 received, 20 missed calls",3.15 MP,2007,No,No,,Discontinued,"TFT, 256K colors",200MB,WAP 2.0,Removable Li-Ion 920 mAh battery,"1.2, A2DP",No,Black,HSPA,500 entries,,,,UMTS 2100,"Vibration; Downloadable polyphonic, AMR, MP3, AAC, AAC+, WAV, MIDI ringtones","320 x 240 pixels, 4:3 ratio (~182 ppi density)",GSM 900 / 1800,No
"- Second external OLED display,  128 x 36 pixels",,microSD,Amoi WMA8508,No,,,,Mini-SIM,"2.0 inches, 12.6 cm2(~27.6% screen-to-body ratio)",Audio/ playerP2P Video SupportPC SyncOrganizer,No,"SMS, MMS, Email",Yes,,GSM / UMTS,Amoi,95 x 48 x 15.9 mm (3.74 x 1.89 x 0.63 in),,https://fdn2.gsmarena.com/vv/bigpic/amoi-8508.gif,No,,"Yes, MIDP 2.0",,,,"20 dialed, 20 received, 20 missed calls",1.3 MP,"2007, August",No,No,,Cancelled,"TFT, 256K colors",16MB,WAP 2.0,Removable Li-Ion 780 mAh battery,"1.2, A2DP",No,Black,"Yes, 384 kbps",500 entries,rotating lens,,No,UMTS 2100,"Vibration; Downloadable polyphonic, AMR, MP3, AAC, AAC+, midi, wav ringtones",176 x 220 pixels (~141 ppi density),GSM 900 / 1800,No
"- Second external CSTN display, 65K colors, 96 x 96 pixels, 1.1 inches",,microSD (dedicated slot),Amoi CMA8170,No,,No,,Mini-SIM,"2.0 inches, 12.6 cm2(~27.5% screen-to-body ratio)",Audio/ playerPC SyncOrganizer,No,"SMS, MMS, Email",Yes,,GSM,Amoi,92.5 x 49.5 x 18.7 mm (3.64 x 1.95 x 0.74 in),,https://fdn2.gsmarena.com/vv/bigpic/amoi-8170.gif,No,No,Yes (optional),,,,"20 dialed, 20 received, 20 missed calls",1.3 MP,2007,No,No,,Discontinued,"TFT, 256K colors",90MB,WAP 2.0,Removable Li-Ion 860 mAh battery,1.1,No,Black,,500 entries,,,No,,"Vibration; Downloadable polyphonic, MIDI, MP3 ringtones",176 x 220 pixels (~141 ppi density),GSM 900 / 1800 / CDMA2000 1x EV-DO,No
No,,microSD,Amoi M33,No,,No,,Mini-SIM,"1.8 inches, 10.2 cm2(~21.4% screen-to-body ratio)",,No,SMS,Yes,,GSM,Amoi,106 x 45 x 10.5 mm (4.17 x 1.77 x 0.41 in),,https://fdn2.gsmarena.com/vv/bigpic/amoi-m33.gif,No,No,No,,,,"20 dialed, 20 received, 20 missed calls",VGA,"2007, Q3",FM radio,No,,Cancelled,"CSTN, 65K colors",30MB,No,Removable Li-Ion 700 mAh battery,No,No,Silver,,500 entries,,,"MP3, MP4 PlayerPC SyncOrganizer",,"Vibration; Downloadable polyphonic, MP3 ringtones",128 x 160 pixels (~114 ppi density),GSM 900 / 1800,No
No,,No,Amoi A203,No,,No,,Mini-SIM,"1.5 inches, 7.3 cm2(~15.6% screen-to-body ratio)",,No,SMS,Yes,,GSM,Amoi,101 x 46 x 13.4 mm (3.98 x 1.81 x 0.53 in),,https://fdn2.gsmarena.com/vv/bigpic/amoi-a203.gif,No,No,No,,,,"20 dialed, 20 received, 20 missed calls",VGA,2007,FM radio,No,,Discontinued,"CSTN, 65K colors",5MB,No,Removable Li-Ion 750 mAh battery,No,No,Black,,500 entries,,,PC SyncOrganizer,,"Vibration; Downloadable polyphonic, MIDI ringtones","128 x 128 pixels, 1:1 ratio (~121 ppi density)",GSM 900 / 1800,No
