,Announced,Resolution,Price,Dual,Chipset,Loudspeaker_1,CPU,Technology,Model Image,SAR EU,Video_1,Charging,WLAN,NFC,Talk time,OS,USB,Protection,Features,Status,Camera,3G bands,Positioning,Radio,SAR,Build,Bluetooth,Brand,Sensors,_1,Video,Speed,Battery (old),Features_1,Dimensions,Single,Colors,3.5mm jack,SIM,Size,Weight,Type_1,Internal,2G bands,Loudspeaker,GPU,Single_1,Model Name,Type,Card slot,Performance,4G bands,Stand-by
eMMC 5.1,"2019, February","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)",About 300 EUR,"16 MP, f/1.8, 1/2.8"", 1.12µm, PDAF5 MP, f/2.2, (depth)",Mediatek MT6771 Helio P70 (12 nm),,Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),GSM / HSPA / LTE,https://fdn2.gsmarena.com/vv/bigpic/archos-diamond-2019.jpg,,1080p@30fps,18W wiredWireless,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Yes,,Android 9.0 (Pie),"USB Type-C 2.0, OTG",,"Dual-LED flash, HDR, panorama",Cancelled,,HSDPA 850 / 900 / 2100,"GPS, GLONASS, BDS",No,,,"4.2, A2DP, LE",Archos,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",,1080p@30fps,"HSPA, LTE",,HDR,158.7 x 74.1 x 8.6 mm (6.25 x 2.92 x 0.34 in),"Motorized pop-up 8 MP, f/2.0, 1/4.0"", 1.12µm",Dark Blue,Yes,Nano-SIM + Nano-SIM,"6.39 inches, 100.2 cm2(~85.2% screen-to-body ratio)",166 g (5.86 oz),"Li-Po 3400 mAh, non-removable",128GB 4GB RAM,GSM 850 / 900 / 1800 / 1900,Yes,Mali-G72 MP3,,Archos Diamond,AMOLED,microSDXC (uses shared SIM slot),,"1, 3, 7, 20, 28",
eMMC 5.1,"2019, February","640 x 1352 pixels, 19:9 ratio (~218 ppi density)",About 150 EUR,"8 MP, AF0.3 MP",Mediatek MT6762 Helio P22 (12 nm),,Octa-core 2.0 GHz Cortex-A53,GSM / HSPA / LTE,https://fdn2.gsmarena.com/vv/bigpic/archos-oxygen-68xl.jpg,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,,Android 9.0 (Pie),USB Type-C 2.0,,LED flash,"Available. Released 2019, May",,HSDPA 900 / 2100,"GPS, GLONASS, BDS",No,,,"4.2, A2DP, LE",Archos,"Fingerprint (rear-mounted), accelerometer, proximity",,1080p@30fps,"HSPA, LTE",,,173.5 x 81.6 x 9 mm (6.83 x 3.21 x 0.35 in),5 MP,Dark Blue,Yes,Nano-SIM + Nano-SIM,"6.85 inches, 117.1 cm2(~82.7% screen-to-body ratio)",214 g (7.55 oz),"Li-Ion 5000 mAh, non-removable",32GB 3GB RAM,GSM 850 / 900 / 1800 / 1900,Yes,PowerVR GE8320,,Archos Oxygen 68XL,IPS LCD,microSDXC (uses shared SIM slot),,"1, 3, 7, 20",
,"2019, February","720 x 1520 pixels, 19:9 ratio (~269 ppi density)",About 130 EUR,"8 MP, AF0.3 MP",Unisoc SC9863 (28 nm),,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),GSM / HSPA / LTE,https://fdn2.gsmarena.com/vv/bigpic/archos-oxygen-63.jpg,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,,Android 9.0 (Pie),microUSB 2.0,,LED flash,"Available. Released 2019, May",,HSDPA 900 / 2100,"GPS, GLONASS, BDS",No,,,"4.2, A2DP, LE",Archos,"Fingerprint (rear-mounted), accelerometer, proximity",,1080p@30fps,"HSPA, LTE",,,159.2 x 75.8 x 9.3 mm (6.27 x 2.98 x 0.37 in),5 MP,Dark Blue,Yes,Nano-SIM + Nano-SIM,"6.26 inches, 97.8 cm2(~81.1% screen-to-body ratio)",162 g (5.71 oz),"Li-Ion 3000 mAh, removable",64GB 4GB RAM,GSM 850 / 900 / 1800 / 1900,Yes,IMG8322,,Archos Oxygen 63,IPS LCD,microSD,,"1, 3, 7, 20",
,"2019, February","720 x 1520 pixels, 19:9 ratio (~295 ppi density)",About 100 EUR,"8 MP, AF0.3 MP",Unisoc SC9863 (28 nm),,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),GSM / HSPA / LTE,https://fdn2.gsmarena.com/vv/bigpic/archos-oxygen-57.jpg,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,,Android 9.0 (Pie),microUSB 2.0,,LED flash,"Available. Released 2019, May",,HSDPA 900 / 2100,"GPS, GLONASS, BDS",No,,,"4.2, A2DP, LE",Archos,"Fingerprint (rear-mounted), accelerometer, proximity",,1080p@30fps,"HSPA, LTE",,,147.8 x 70.7 x 9.3 mm (5.82 x 2.78 x 0.37 in),5 MP,Dark Violet,Yes,Nano-SIM + Nano-SIM,"5.71 inches, 81.4 cm2(~77.9% screen-to-body ratio)",150 g (5.29 oz),"Li-Ion 2800 mAh, removable",32GB 3GB RAM,GSM 850 / 900 / 1800 / 1900,Yes,IMG8322,,Archos Oxygen 57,IPS LCD,microSD,,"1, 3, 7, 20",
IP68 dust/water resistant (up to 1m for 30 min),"2018, April","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",About 150 EUR,,Mediatek MT6737VWT,,Quad-core 1.3 GHz Cortex-A53,GSM / HSPA / LTE,https://fdn2.gsmarena.com/vv/bigpic/archos-saphir-50x.jpg,0.55 W/kg (head)     0.80 W/kg (body),,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA",No,,Android 7.0 (Nougat),"microUSB 2.0, OTG",Corning Gorilla Glass 4,LED flash,"Available. Released 2018, April",,HSDPA 850 / 900 / 2100,GPS,FM radio,,,"4.0, A2DP, LE",Archos,"Accelerometer, proximity, compass",eMMC 5.0,1080p@30fps,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,,146.6 x 76 x 13 mm (5.77 x 2.99 x 0.51 in),"8 MP, AF",Black,Yes,Nano-SIM + Nano-SIM,"5.0 inches, 68.9 cm2(~61.9% screen-to-body ratio)",210 g (7.41 oz),"Li-Ion 4000 mAh, non-removable",16GB 2GB RAM,GSM 850 / 900 / 1800 / 1900,Yes,Mali-T720MP2,2 MP,Archos Saphir 50X,S-IPS LCD,microSDXC,,"1, 3, 7, 20",
32-bit/384kHz audio,"2017, October. Released 2017, November","1080 x 2040 pixels, 17:9 ratio (~403 ppi density)",About 300 EUR,"12 MP, f/1.8, 1/2.55"", 1.4µm, dual pixel PDAF23 MP, f/2.0, PDAF, 2x lossless zoom",Qualcomm MSM8998 Snapdragon 835 (10 nm),Voice 76dB / Noise 73dB / Ring 87dB,Octa-core (4x2.45 GHz Kryo & 4x1.9 GHz Kryo),GSM / HSPA / LTE,https://fdn2.gsmarena.com/vv/bigpic/archos-diamond-omega.jpg,,1080p@30fps,"18W wired, QC3","Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct, DLNA",Yes,,"Android 7.1 (Nougat), nubia UI 5","USB Type-C, OTG",Corning Gorilla Glass (unspecified version),"Dual-LED dual-tone flash, HDR, panorama",Discontinued,Photo/Video,HSDPA 850 / 900 / 1900 / 2100,"GPS, GLONASS, BDS",No,,"Glass front (Gorilla Glass), glass back, aluminum frame","4.1, A2DP, LE",Archos,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,"4K@30fps, 1080p@30fps","HSPA 42.2/5.76 Mbps, LTE (3CA) Cat9 450/50 Mbps",Endurance rating 74h,,147.5 x 72.7 x 8.5 mm (5.81 x 2.86 x 0.33 in),"5 MP, f/2.25 MP",Dark Blue,No,Nano-SIM + Nano-SIM,"5.73 inches, 87.6 cm2(~81.7% screen-to-body ratio)",170 g (6.00 oz),"Li-Po 3100 mAh, non-removable",128GB 8GB RAM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Adreno 540,,Archos Diamond Omega,IPS LCD,No,GeekBench: 6689 (v4.4)GFXBench: 23fps (ES 3.1 onscreen),"1, 3, 7, 8, 20",
eMMC 5.1,"2017, August. Released 2017, October","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",About 400 EUR,,Qualcomm MSM8976 Pro Snapdragon 653 (28 nm),,Octa-core (4x1.8 GHz Cortex-A72 & 4x1.4 GHz Cortex-A53),GSM / HSPA / LTE,https://fdn2.gsmarena.com/vv/bigpic/archos-diamond-alpha-plus.jpg,,"4K@30fps, 1080p@30fps",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",No,,Android 6.0 (Marshmallow),"USB Type-C, OTG",Corning Gorilla Glass (unspecified version),"LED flash, HDR, panorama",Discontinued,,HSDPA 900 / 2100,GPS,No,,,"4.2, A2DP, LE",Archos,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,"4K@30fps, 1080p@30fps","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,,146.7 x 72.5 x 7.5 mm (5.78 x 2.85 x 0.30 in),"13 MP, 1/2.9"", 1.25µm, AF13 MP B/W","Black, Gold",Yes,Nano-SIM + Nano-SIM,"5.2 inches, 74.5 cm2(~70.1% screen-to-body ratio)",155 g (5.47 oz),"Li-Ion 3000 mAh, non-removable",128GB 6GB RAM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Adreno 510,"16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0µm",Archos Diamond Alpha +,IPS LCD,microSDXC (uses shared SIM slot),,LTE,
,"2017, August. Released 2017, October","1600 x 2560 pixels, 16:10 ratio (~299 ppi density)",About 300 EUR,,Rockchip RK3399,,Dual-core Cortex-A72 & quad-core Cortex-A53,GSM / HSPA / LTE,https://fdn2.gsmarena.com/vv/bigpic/archos-diamond-tab-.jpg,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,,Android 7.0 (Nougat),microUSB 2.0,,LED flash,Discontinued,,HSDPA 900 / 2100,GPS,No,,,"4.2, A2DP, EDR",Archos,Accelerometer,,1080p@30fps,"HSPA, LTE",,,255 x 163 x 8 mm (10.04 x 6.42 x 0.31 in),"13 MP, AF",Black,Yes,Micro-SIM,"10.1 inches, 295.8 cm2(~71.2% screen-to-body ratio)",510 g (1.12 lb),"Li-Po 6600 mAh, non-removable",64GB 4GB RAM,GSM 850 / 900 / 1800 / 1900,Yes,Mali-T860MP4,5 MP,Archos Diamond Tab,IPS LCD,microSDXC (dedicated slot),,LTE,
eMMC 5.1,"2017, June. Released 2017, July","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",About 350 EUR,,Qualcomm MSM8976 Snapdragon 652 (28 nm),,Octa-core (4x1.8 GHz Cortex-A72 & 4x1.4 GHz Cortex-A53),GSM / HSPA / LTE,https://fdn2.gsmarena.com/vv/bigpic/archos-diamond-alpha.jpg,1.02 W/kg (head)     0.76 W/kg (body),1080p@30fps,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",No,Up to 11 h (3G),Android 6.0 (Marshmallow),"USB Type-C, OTG",,"LED flash, HDR, panorama",Discontinued,,HSDPA 900 / 2100,GPS,No,,,"4.2, A2DP, LE",Archos,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,"4K@30fps, 1080p@30fps","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,,146.7 x 72.5 x 7.5 mm (5.78 x 2.85 x 0.30 in),"13 MP, 1/2.9"", 1.25µm, AF13 MP B/W",Black,Yes,Nano-SIM + Nano-SIM,"5.2 inches, 74.5 cm2(~70.1% screen-to-body ratio)",155 g (5.47 oz),"Li-Ion 2950 mAh, non-removable",64GB 4GB RAM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Adreno 510,"16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0µm",Archos Diamond Alpha,IPS LCD,microSDXC (uses shared SIM slot),,"1, 3, 7, 20",Up to 320 h (3G)
Yes,"2017, June. Released 2017, July","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",About 250 EUR,,,,,GSM / HSPA / LTE,https://fdn2.gsmarena.com/vv/bigpic/archos-sense-55s.jpg,,,,Wi-Fi 802.11 b/g/n,No,,Android 7.0 (Nougat),microUSB 2.0,,Dual-LED dual-tone flash,Discontinued,,HSDPA 900 / 2100,GPS,No,,,"4.0, A2DP, LE",Archos,"Fingerprint (front-mounted), accelerometer, proximity",,1080p@30fps,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,,142.5 x 74.2 x 8 mm (5.61 x 2.92 x 0.31 in),"8 MP, AF",Black,Yes,Dual SIM,"5.2 inches, 74.5 cm2(~70.5% screen-to-body ratio)",130 g (4.59 oz),"Li-Ion 3000 mAh, non-removable",16GB 2GB RAM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,,,Archos Sense 55s,IPS LCD,microSDXC,,"1, 3, 7, 20",
