,Triple,Resolution,Games,Price,Phonebook,Type_1,Call records,Talk time,Video,_2,GPU,Card slot,Chipset,Java,Infrared port,Charging,Technology,Announced,Type,OS,Single_1,Features_1,Music play,Brand,5G bands,Dual_1,Protection,Browser,Radio,CPU,Video_1,EDGE,Stand-by,Weight,Build,SIM,Internal,Single,_3,Size,3.5mm jack,_1,Status,Model Image,USB,Sensors,GPRS,Model Name,3G bands,Speed,Loudspeaker,Bluetooth,Dual,Colors,4G bands,WLAN,Positioning,NFC,Quad,Models,Keyboard,2G bands,Messaging,Features,Dimensions
UFS 3.1,"50 MP, f/1.9, (wide), 1/1.55"", 1.0µm, PDAF8 MP, f/2.2, 112˚ (ultrawide)2 MP, f/2.4, (macro)","1080 x 2400 pixels, 20:9 ratio (~388 ppi density)",,About 250 EUR,,Li-Po 4700 mAh,,,"4K@30fps, 1080p@30fps",,Mali-G68 MC4,No,Mediatek Dimensity 7050 (6 nm),,,"66W wired, 100% in 39 min",GSM / HSPA / LTE / 5G,"2023, July","AMOLED, 120Hz",Android 13,,,,BLU,"2, 5, 25, 41, 66, 71, 77 SA/NSA/Sub6",,,,FM radio,Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),"4K@30fps, 1080p@30fps",,,180 g (6.35 oz),"Glass front, aluminum frame, glass back",Nano-SIM + Nano-SIM,256GB 8GB RAM,,,"6.78 inches, 111.0 cm2(~90.5% screen-to-body ratio)",No,,"Available. Released 2023, August",https://fdn2.gsmarena.com/vv/bigpic/blu-bold-n3.jpg,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",,BLU Bold N3,HSDPA 850 / 1700(AWS) / 1900 / 2100,"HSPA, LTE (CA), 5G",Yes,"5.2, A2DP, LE","16 MP, f/2.5, (wide), 1/3"", 1.0µm",Sage Green,"2, 4, 5, 12, 13, 17, 25, 26, 41, 66, 71","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",GPS,Yes,,,,GSM 850 / 900 / 1800 / 1900,,"Dual-LED flash, HDR, panorama",164.2 x 74.7 x 8.8 mm (6.46 x 2.94 x 0.35 in)
,"50 MP, f/1.8, (wide), PDAF2 MP, f/2.4, (macro)0.3 MP, (depth)",1080 x 2460 pixels (~396 ppi density),,About 160 EUR,,Li-Po 5000 mAh,,,"1440p@30fps, 1080p@30fps",,Mali-G57 MC2,microSDXC,Mediatek Helio G99 (6 nm),,,18W wired,GSM / HSPA / LTE,"2023, June","IPS LCD, 120Hz",Android 13,,,,BLU,,,,,FM radio,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),1080p@30fps,,,210 g (7.41 oz),"Glass front, aluminum frame, glass back",Nano-SIM + Nano-SIM,128GB 6GB RAM,"13 MP, f/2.0",,"6.78 inches, 109.2 cm2(~84.4% screen-to-body ratio)",Yes,,"Available. Released 2023, July",https://fdn2.gsmarena.com/vv/bigpic/blu-g93.jpg,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, proximity, compass",,BLU G93,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE",Yes,"5.2, A2DP, LE",,"Black, Light Blue, Cream","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 28, 66","Wi-Fi 802.11 a/b/g/n/ac, dual-band",GPS,Yes,,,,GSM 850 / 900 / 1800 / 1900,,"LED flash, HDR, panorama",168.7 x 76.7 x 9 mm (6.64 x 3.02 x 0.35 in)
,"50 MP, f/2.0, (wide)0.3 MP, (macro)0.3 MP, (depth)","720 x 1600 pixels, 20:9 ratio (~258 ppi density)",,About 140 EUR,,Li-Po 5000 mAh,,,1080p@30fps,,Mali-G57 MP1,microSDXC,,,,18W wired,GSM / HSPA / LTE,"2023, June","IPS LCD, 90Hz",Android 13,,,,BLU,,,,,FM radio,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),1080p@30fps,,,210 g (7.41 oz),"Glass front, plastic frame, eco leather back",Nano-SIM + Nano-SIM,128GB 6GB RAM,"8 MP, f/2.0",,"6.8 inches, 111.6 cm2(~84.2% screen-to-body ratio)",Yes,,"Available. Released 2023, June",https://fdn2.gsmarena.com/vv/bigpic/blu-g73.jpg,USB Type-C 2.0,"Fingerprint (rear-mounted), accelerometer",,BLU G73,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE",Yes,"5.0, A2DP, LE",,"Blue, Grey, Orange, Burgundy","2, 3, 4, 5, 7, 12, 17, 28, 38, 66, 71","Wi-Fi 802.11 b/g/n/ac, Wi-Fi Direct",GPS,No,,,,GSM 850 / 900 / 1800 / 1900,,"LED flash, HDR, panorama",168.3 x 78.8 x 9.9 mm (6.63 x 3.10 x 0.39 in)
,,"720 x 1600 pixels, 20:9 ratio (~258 ppi density)",,About 120 EUR,,Li-Po 5000 mAh,,,1080p@30fps,,Mali-G57 MP1,microSDXC,,,,,GSM / HSPA / LTE,"2023, June",IPS LCD,Android 13,,,,BLU,,,,,FM radio,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),1080p@30fps,,,230 g (8.11 oz),"Glass front, plastic frame, glass back",Nano-SIM + Nano-SIM,128GB 4GB RAM,"8 MP, f/2.0",,"6.8 inches, 111.6 cm2(~82.7% screen-to-body ratio)",Yes,,"Available. Released 2023, July",https://fdn2.gsmarena.com/vv/bigpic/blu-g63.jpg,USB Type-C 2.0,"Fingerprint (side-mounted), accelerometer",,BLU G63,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE",Yes,"5.0, A2DP, LE","13 MP, f/2.0, (wide)0.3 MP, (depth)","Pearl, Black, Green, Purple","2, 3, 4, 5, 7, 12, 17, 28, 66, 71","Wi-Fi 802.11 b/g/n/ac, Wi-Fi Direct",GPS,No,,,,GSM 850 / 900 / 1800 / 1900,,"LED flash, HDR, panorama",173 x 78 x 9.2 mm (6.81 x 3.07 x 0.36 in)
eMMC 5.1,,"720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,About 100 EUR,,Li-Po 5000 mAh,,,1080p@30fps,,IMG8322,microSDXC,,,,,GSM / HSPA / LTE,"2023, June",IPS LCD,Android 13,,,,BLU,,,,,FM radio,Quad-core (1x2.0 GHz Cortex-A75 & 3x1.8 GHz Cortex-A55),1080p@30fps,,,200 g (7.05 oz),"Glass front, plastic frame, plastic back",Nano-SIM + Nano-SIM,64GB 4GB RAM,"8 MP, f/2.0",,"6.5 inches, 102.0 cm2(~81.7% screen-to-body ratio)",Yes,,"Available. Released 2023, July",https://fdn2.gsmarena.com/vv/bigpic/blu-g53.jpg,USB Type-C 2.0,"Fingerprint (side-mounted), accelerometer",,BLU G53,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE",Yes,"5.0, A2DP, LE","13 MP, f/2.0, (wide)0.3 MP, (depth)","Pearl, Black, Green, Violet, White","2, 3, 4, 5, 7, 12, 17, 28, 66, 71","Wi-Fi 802.11 b/g/n/ac, Wi-Fi Direct",GPS,No,,,,GSM 850 / 900 / 1800 / 1900,,"LED flash, HDR, panorama",164.8 x 75.8 x 8.9 mm (6.49 x 2.98 x 0.35 in)
eMMC 5.1,,"480 x 960 pixels, 18:9 ratio (~171 ppi density)",,About 60 EUR,,"Li-Ion 3000 mAh, removable",,,1080p@30fps,,,microSDXC,,,,,GSM / HSPA / LTE,"2023, June",IPS LCD,Android 13 (Go edition),,,,BLU,,,,,FM radio,Octa-core 1.6 GHz Cortex-A55,1080p@30fps,,,215 g (7.58 oz),,Nano-SIM + Nano-SIM,16GB 2GB RAM,"5 MP, f/2.0",,"6.26 inches, 101.1 cm2(~81.0% screen-to-body ratio)",Yes,,"Available. Released 2023, July",https://fdn2.gsmarena.com/vv/bigpic/blu-g33.jpg,USB Type-C,Accelerometer,,BLU G33,HSDPA 850 / 1700 / 1900,"HSPA, LTE",Yes,"4.2, A2DP, LE","5 MP, f/2.00.3 MP","Black, Burgundy, Earthy, Green","2, 4, 5, 12, 17, 66, 71","Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct",GPS,No,,,,GSM 850 / 900 / 1800 / 1900,,LED flash,159.4 x 78.3 x 10.4 mm (6.28 x 3.08 x 0.41 in)
,"50 MP, f/1.8, (wide), PDAF2 MP, f/2.4, 115˚ (ultrawide)0.3 MP, f/2.4, (depth)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,About 190 EUR,,Li-Po 5000 mAh,,,1080p@30fps,,Mali-G57 MC2,microSDXC,Mediatek Dimensity 700 (7 nm),,,10W wired,GSM / HSPA / LTE / 5G,"2023, January 19",IPS LCD,Android 12,,,,BLU,"2, 5, 25, 41, 66, 71, 77 SA/NSA/Sub6",,,,FM radio,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Yes,,,202 g (7.13 oz),,Nano-SIM + Nano-SIM,128GB 4GB RAM,13 MP,,"6.5 inches, 102.0 cm2(~81.5% screen-to-body ratio)",Yes,,"Available. Released 2023, January 19",https://fdn2.gsmarena.com/vv/bigpic/blu-f92e-5g.jpg,USB Type-C 2.0,"Fingerprint (side-mounted), unspecified sensors",,BLU F92e,HSDPA 850 / 1700(AWS) / 1900 / 2100,"HSPA, LTE, 5G",Yes,"5.0, A2DP, LE",,"Blue, Black, Lime","2, 4, 5, 12, 13, 17, 25, 26, 41, 66, 71",Wi-Fi 802.11 a/b/g/n/ac,GPS,No,,,,GSM 850 / 900 / 1800 / 1900,,"LED flash, HDR, panorama",164.7 x 76 x 8.9 mm (6.48 x 2.99 x 0.35 in)
,"13 MP, (wide), AF2 other unspecified cameras","720 x 1600 pixels, 20:9 ratio (~258 ppi density)",,,,Li-Po 5000 mAh,,,1080p@30fps,,PowerVR GE8320,microSDXC,Mediatek MT6765 Helio G37 (12 nm),,,,GSM / HSPA / LTE,"2023, February 04","IPS LCD, 90Hz",Android 12,,,,BLU,,,,,Unspecified,Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),1080p@30fps,,,209 g (7.37 oz),,Nano-SIM + Nano-SIM,128GB 4GB RAM,8 MP,,"6.8 inches, 111.6 cm2(~84.2% screen-to-body ratio)",Yes,,"Available. Released 2023, February 04",https://fdn2.gsmarena.com/vv/bigpic/blu-g72-max.jpg,USB Type-C 2.0,"Fingerprint (rear-mounted), accelerometer, proximity",,BLU G72 Max,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE",Yes,"5.1, A2DP, LE",,"Gray, Mint, Orange","2, 3, 4, 5, 7, 12, 17, 28, 66","Wi-Fi 802.11 a/b/g/n/ac, dual-band",GPS,No,,,,GSM 850 / 900 / 1800 / 1900,,LED flash,168.3 x 78.8 x 9.9 mm (6.63 x 3.10 x 0.39 in)
eMMC 5.1,13 MP0.3 MP (macro)0.3 MP (depth),"720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,About 90 EUR,,Li-Po 5000 mAh,,,1080p@30fps,,,microSDXC,,,,,GSM / HSPA / LTE,"2023, January",IPS LCD,Android 12,,,,BLU,,,,,FM radio,Octa-core 1.6 GHz Cortex-A55,1080p@30fps,,,195 g (6.88 oz),,Nano-SIM + Nano-SIM,64GB 2GB RAM,8 MP,,"6.5 inches, 102.0 cm2(~81.6% screen-to-body ratio)",Yes,,"Available. Released 2023, February",https://fdn2.gsmarena.com/vv/bigpic/blu-g52l.jpg,USB Type-C 2.0,"Fingerprint (side-mounted), accelerometer",,BLU G52L,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE",Yes,"4.2, A2DP, LE",,"Grey, Blue, Burgundy, Mint Blue","2, 3, 4, 5, 7, 12, 17, 28, 66","Wi-Fi 802.11 а/b/g/n, Wi-Fi Direct",GPS,No,,,,GSM 850 / 900 / 1800 / 1900,,"LED flash, HDR, panorama",164.5 x 76 x 9.2 mm (6.48 x 2.99 x 0.36 in)
eMMC 5.1,,"480 x 960 pixels, 18:9 ratio (~188 ppi density)",,About 50 EUR,,"Li-Ion 2700 mAh, removable",,,720p@30fps,,,microSDXC,,,,,GSM / HSPA / LTE,"2022, July",IPS LCD,Android 11 (Go edition),,,,BLU,,,,,FM radio,Quad-core 1.3 GHz Cortex-A53,720p@30fps,,,202 g (7.13 oz),,Nano-SIM + Nano-SIM,32GB 2GB RAM,2 MP,,"5.7 inches, 83.8 cm2(~67.0% screen-to-body ratio)",Yes,,"Available. Released 2022, July",https://fdn2.gsmarena.com/vv/bigpic/blu-studio-x5-max.jpg,microUSB 2.0,Accelerometer,,BLU Studio X5 Max,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,HSPA 21.1/5.76 Mbps,Yes,"4.2, A2DP",5 MPSecondary unspecified camera,"Green, Bronze, Black, Blue","2, 3, 5, 7, 12, 17, 28, 66","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",GPS,No,,,,GSM 850 / 900 / 1800 / 1900,,LED flash,164.7 x 76 x 8.9 mm (6.48 x 2.99 x 0.35 in)
