,Resolution,Price,Type_1,Talk time,Video,GPU,Card slot,Chipset,Charging,Technology,Announced,Type,OS,Features_1,Single_1,Music play,Brand,Protection,Radio,CPU,Video_1,EDGE,Weight,Build,SIM,Internal,Single,Size,3.5mm jack,_1,Status,Model Image,USB,Sensors,GPRS,Model Name,3G bands,Speed,Loudspeaker,Bluetooth,SAR EU,Dual,Colors,4G bands,WLAN,Positioning,NFC,Models,2G bands,Features,Dimensions
eMMC 5.1,"1080 x 2160 pixels, 18:9 ratio (~427 ppi density)",About 390 EUR,"Li-Ion 3100 mAh, non-removable",,"4K@30fps, 1080p@60/120fps, 1080p@30fps (gyro-EIS), 720p@240fps",Adreno 512,microSDXC (uses shared SIM slot),Qualcomm SDM660 Snapdragon 660 (14 nm),"18W wired, QC4",GSM / HSPA / LTE,"2018, May",IPS LCD,"Android 8.1 (Oreo), Android One",LED flash,,,BQ,Corning Gorilla Glass (unspecified version),FM radio,Octa-core (4x2.2 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),1080p@30fps,,168 g (5.93 oz),"Glass front (Gorilla Glass), glass back, aluminum frame",Nano-SIM + Nano-SIM,"64GB 4GB RAM, 128GB 6GB RAM","8 MP, f/2.0, 1/4.0"", 1.12µm","5.65 inches, 82.4 cm2(~75.6% screen-to-body ratio)",Yes,24-bit/192kHz Hi-Res audio,"Available. Released 2018, June",https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-x2-pro.jpg,"USB Type-C 2.0, OTG","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,BQ Aquaris X2 Pro,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",Yes,"5.0, A2DP, LE, aptX",,"12 MP, f/1.8, 1/2.8"", 1.29µm, dual pixel PDAF5 MP, f/2.4, (depth)","Midnight Black, Glaze White, Deep Silver","1, 3, 7, 20","Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct","GPS, GLONASS, GALILEO",Yes,,GSM 850 / 900 / 1800 / 1900,"Dual-LED dual-tone flash, auto-HDR, panorama",150.7 x 72.3 x 8.4 mm (5.93 x 2.85 x 0.33 in)
eMMC 5.1,"1080 x 2160 pixels, 18:9 ratio (~427 ppi density)",About 310 EUR,"Li-Ion 3100 mAh, non-removable",,"4K@30fps, 1080p@60/120fps, 1080p@30fps (gyro-EIS), 720p@240fps",Adreno 509,microSDXC (uses shared SIM slot),Qualcomm SDM636 Snapdragon 636 (14 nm),"18W wired, QC4",GSM / HSPA / LTE,"2018, May",IPS LCD,"Android 8.1 (Oreo), Android One",LED flash,,,BQ,Corning Gorilla Glass (unspecified version),FM radio,Octa-core (4x1.8 GHz Kryo 260 Gold & 4x1.6 GHz Kryo 260 Silver),1080p@30fps,,163 g (5.75 oz),"Glass front (Gorilla Glass), plastic back, aluminum frame",Nano-SIM + Nano-SIM,"32GB 3GB RAM, 64GB 4GB RAM","8 MP, f/2.0, 1/4.0"", 1.12µm","5.65 inches, 82.4 cm2(~75.6% screen-to-body ratio)",Yes,24-bit/192kHz Hi-Res audio,"Available. Released 2018, June",https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-x2.jpg,"USB Type-C 2.0, OTG","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,BQ Aquaris X2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",Yes,"5.0, A2DP, LE, aptX",,"12 MP, f/1.8, 1/2.8"", 1.29µm, dual pixel PDAF5 MP, f/2.4, (depth)","Carbon Black, Sand Gold","1, 3, 7, 20","Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct","GPS, GLONASS, GALILEO",Yes,,GSM 850 / 900 / 1800 / 1900,"Dual-LED dual-tone flash, auto-HDR, panorama",150.7 x 72.3 x 8.3 mm (5.93 x 2.85 x 0.33 in)
eMMC 5.1,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",About 230 EUR,"Li-Po 3400 mAh, non-removable",,"1080p@30fps, 480p@120fps",Adreno 505,microSDXC (uses shared SIM slot),Qualcomm MSM8937 Snapdragon 430 (28 nm),"18W wired, QC3",GSM / HSPA / LTE,"2018, February",IPS LCD,"Android 7.1.2 (Nougat), upgradable to Android 8.0 (Oreo)",LED flash,"8 MP, f/2.0, 1/4.0"", 1.12µm",,BQ,Dinorex glass,FM radio,Octa-core 1.4 GHz Cortex-A53,1080p@30fps,,183 g (6.46 oz),,Nano-SIM + Nano-SIM,64GB 4GB RAM,"12 MP, f/2.0, 1/2.9"", 1.25µm, PDAF","5.5 inches, 83.4 cm2(~71.4% screen-to-body ratio)",Yes,,"Available. Released 2018, March",https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-vs-plus.jpg,"microUSB 2.0, OTG","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,BQ Aquaris VS Plus,HSDPA 850 / 900 / 1900 / 2100,"HSPA, LTE",Yes,"4.2, A2DP, LE, aptX",,,Mist Gold,"1, 3, 7, 20","Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct","GPS, GLONASS",Yes,,GSM 850 / 900 / 1800 / 1900,"LED flash, HDR, panorama",152.3 x 76.7 x 8.4 mm (6.00 x 3.02 x 0.33 in)
eMMC 5.1,"720 x 1280 pixels, 16:9 ratio (~282 ppi density)",About 190 EUR,"Li-Po 3100 mAh, non-removable",,"1080p@30fps, 480p@120fps",Adreno 505,microSDXC (uses shared SIM slot),Qualcomm MSM8937 Snapdragon 430 (28 nm),"18W wired, QC3",GSM / HSPA / LTE,"2018, February",IPS LCD,"Android 7.1.2 (Nougat), upgradable to Android 8.0 (Oreo)",LED flash,"8 MP, f/2.0, 1/4.0"", 1.12µm",,BQ,Dinorex glass,FM radio,Octa-core 1.4 GHz Cortex-A53,1080p@30fps,,165 g (5.82 oz),,Nano-SIM + Nano-SIM,"32GB 3GB RAM, 64GB 4GB RAM","12 MP, f/2.0, 1/2.9"", 1.25µm, PDAF","5.2 inches, 74.5 cm2(~68.9% screen-to-body ratio)",Yes,,"Available. Released 2018, March",https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-vs.jpg,"microUSB 2.0, OTG","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,BQ Aquaris VS,HSDPA 850 / 900 / 1900 / 2100,"HSPA, LTE",Yes,"4.2, A2DP, LE, aptX",,,Mist Gold,"1, 3, 7, 20","Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct","GPS, GLONASS",Yes,,GSM 850 / 900 / 1800 / 1900,"LED flash, HDR, panorama",148.1 x 73 x 8.4 mm (5.83 x 2.87 x 0.33 in)
eMMC 5.1,"720 x 1280 pixels, 16:9 ratio (~282 ppi density)",About 170 EUR,"Li-Po 3100 mAh, non-removable",,1080p@30fps,Adreno 308,microSDXC (uses shared SIM slot),Qualcomm MSM8917 Snapdragon 425 (28 nm),"18W wired, QC3",GSM / HSPA / LTE,"2017, September",IPS LCD,"Android 7.1.2 (Nougat), upgradable to Android 8.0 (Oreo)",LED flash,"5 MP, f/2.0, 1/5.0"", 1.12µm",,BQ,Dinorex glass,FM radio,Quad-core 1.4 GHz,1080p@30fps,,155 g (5.47 oz),,Nano-SIM + Nano-SIM,16GB 2GB RAM,"8 MP, f/2.0, 1/4.0"", 1.12µm, PDAF","5.2 inches, 74.5 cm2(~69.0% screen-to-body ratio)",Yes,,"Available. Released 2017, October",https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-u2-lite.jpg,"microUSB 2.0, OTG","Accelerometer, gyro, proximity, compass",,BQ Aquaris U2 Lite,HSDPA 850 / 900 / 1900 / 2100,"HSPA, LTE",Yes,"4.2, A2DP, LE, aptX",,,"Black, White","1, 2, 3, 4, 7, 8, 20, 28","Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct","GPS, GLONASS",No,,GSM 850 / 900 / 1800 / 1900,"LED flash, HDR, panorama",148.1 x 72.9 x 8.4 mm (5.83 x 2.87 x 0.33 in)
eMMC 5.1,"720 x 1280 pixels, 16:9 ratio (~282 ppi density)",About 190 EUR,"Li-Po 3100 mAh, non-removable",,"1080p@30fps, 480p@120fps",Adreno 505,microSDXC (uses shared SIM slot),Qualcomm MSM8940 Snapdragon 435 (28 nm),"18W wired, QC3",GSM / HSPA / LTE,"2017, September",IPS LCD,"Android 7.1.2 (Nougat), upgradable to Android 8.0 (Oreo)",LED flash,"5 MP, f/2.0, 1/5.0"", 1.12µm",,BQ,Dinorex glass,FM radio,Octa-core 1.4 GHz Cortex-A53,1080p@30fps,,155 g (5.47 oz),,Nano-SIM + Nano-SIM,"16GB 2GB RAM, 32GB 3GB RAM","13 MP, f/2.0, 1/3.1"", 1.12µm, PDAF","5.2 inches, 74.5 cm2(~69.0% screen-to-body ratio)",Yes,,"Available. Released 2017, October",https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-u2.jpg,"microUSB 2.0, OTG","Accelerometer, gyro, proximity, compass",,BQ Aquaris U2,HSDPA 850 / 900 / 1900 / 2100,"HSPA, LTE",Yes,"4.2, A2DP, LE, aptX",,,Black,"1, 2, 3, 4, 7, 8, 20, 28","Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct","GPS, GLONASS, BDS, GALILEO",Yes,Aquaris U2,GSM 850 / 900 / 1800 / 1900,"LED flash, HDR, panorama",148.1 x 72.9 x 8.4 mm (5.83 x 2.87 x 0.33 in)
eMMC 5.1,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",About 260 EUR,"Li-Po 3400 mAh, non-removable",,"1080p@30fps, 480p@120fps",Adreno 505,microSDXC (uses shared SIM slot),Qualcomm MSM8940 Snapdragon 435 (28 nm),"18W wired, QC3",GSM / HSPA / LTE,"2017, September",IPS LCD,"Android 7.1.2 (Nougat), upgradable to Android 8.0 (Oreo)",LED flash,"8 MP, f/2.0, 1/4.0"", 1.12µm",,BQ,Dinorex glass,FM radio,Octa-core 1.4 GHz Cortex-A53,1080p@30fps,,183 g (6.46 oz),,Nano-SIM + Nano-SIM,"32GB 3GB RAM, 64GB 4GB RAM","12 MP, f/2.0, 1.12µm, PDAF","5.5 inches, 83.4 cm2(~71.4% screen-to-body ratio)",Yes,,"Available. Released 2017, October",https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-v.jpg,"microUSB 2.0, OTG","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,BQ Aquaris V Plus,HSDPA 850 / 900 / 1900 / 2100,"HSPA, LTE",Yes,"4.2, A2DP, LE, aptX",,,Black,"1, 2, 3, 4, 7, 8, 20, 28","Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct","GPS, GLONASS, BDS, GALILEO",Yes,,GSM 850 / 900 / 1800 / 1900,"LED flash, HDR, panorama",152.3 x 76.7 x 8.4 mm (6.00 x 3.02 x 0.33 in)
eMMC 5.1,"720 x 1280 pixels, 16:9 ratio (~282 ppi density)",About 210 EUR,"Li-Po 3100 mAh, non-removable",,"1080p@30fps, 480p@120fps",Adreno 505,microSDXC (uses shared SIM slot),Qualcomm MSM8940 Snapdragon 435 (28 nm),"18W wired, QC3",GSM / HSPA / LTE,"2017, September",IPS LCD,"Android 7.1.2 (Nougat), upgradable to Android 8.0 (Oreo)",LED flash,"8 MP, f/2.0, 1/4.0"", 1.12µm",,BQ,Dinorex glass,FM radio,Octa-core 1.4 GHz Cortex-A53,1080p@30fps,,165 g (5.82 oz),,Nano-SIM + Nano-SIM,"16GB 2GB RAM, 32GB 3GB RAM, 64GB 4GB RAM","12 MP, f/2.0, 1.12µm, PDAF","5.2 inches, 74.5 cm2(~68.9% screen-to-body ratio)",Yes,,"Available. Released 2017, October",https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-v.jpg,"microUSB 2.0, OTG","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,BQ Aquaris V,HSDPA 850 / 900 / 1900 / 2100,"HSPA, LTE",Yes,"4.2, A2DP, LE, aptX",,,Black,"1, 2, 3, 4, 7, 8, 20, 28","Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct","GPS, GLONASS, BDS, GALILEO",Yes,,GSM 850 / 900 / 1800 / 1900,"LED flash, HDR, panorama",148.1 x 73 x 8.4 mm (5.83 x 2.87 x 0.33 in)
eMMC 5.1,"1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",About 370 EUR,"Li-Ion 3100 mAh, non-removable",,"4K@30fps, 720p@120fps",Adreno 506,microSDXC (uses shared SIM slot),Qualcomm MSM8953-Pro Snapdragon 626 (14 nm),"18W wired, QC3",GSM / HSPA / LTE,"2017, April. Released 2017, June",IPS LCD,Android 7.1.1 (Nougat),LED flash,"8 MP, f/2.0",,BQ,Dinorex glass,FM radio,Octa-core 2.2 GHz Cortex-A53,1080p@60fps,,158 g (5.57 oz),,Nano-SIM + Nano-SIM,"64GB 4GB RAM, 128GB 4GB RAM","12 MP, f/1.8, 1/2.55"", 1.4µm, PDAF","5.2 inches, 74.5 cm2(~70.0% screen-to-body ratio)",Yes,24-bit/192kHz audio,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-xpro.jpg,"USB Type-C 2.0, OTG","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,BQ Aquaris X Pro,HSDPA 850 / 900 / 1900 / 2100,"HSPA, LTE",Yes,"4.2, A2DP, LE, aptX",,,"Midnight Black, Glaze White","1, 3, 7, 20","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","GPS, GLONASS, GALILEO",Yes,Aquaris X Pro,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"Dual-LED dual-tone flash, auto-HDR, panorama",146.5 x 72.7 x 7.8 mm (5.77 x 2.86 x 0.31 in)
eMMC 5.1,"1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",About 290 EUR,"Li-Ion 3100 mAh, non-removable",,"4K@30fps, 720p@120fps",Adreno 506,microSDXC (uses shared SIM slot),Qualcomm MSM8953-Pro Snapdragon 626 (14 nm),"18W wired, QC3",GSM / HSPA / LTE,"2017, April. Released 2017, June",IPS LCD,Android 7.1.1 (Nougat),LED flash,"8 MP, f/2.0",,BQ,Dinorex glass,FM radio,Octa-core 2.2 GHz Cortex-A53,1080p@60fps,,153 g (5.40 oz),,Nano-SIM + Nano-SIM,32GB 3GB RAM,"16 MP, f/2.0, 1/2.8"", 1.12µm, PDAF","5.2 inches, 74.5 cm2(~70.0% screen-to-body ratio)",Yes,24-bit/192kHz audio,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris.jpg,"USB Type-C 2.0, OTG","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,BQ Aquaris X,HSDPA 850 / 900 / 1900 / 2100,"HSPA, LTE",Yes,"4.2, A2DP, LE, aptX",,,"Mineral Black, Pearl Rose","1, 3, 7, 20","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","GPS, GLONASS, GALILEO",Yes,Aquaris X,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"Dual-LED dual-tone flash, auto-HDR, panorama",146.5 x 72.7 x 7.9 mm (5.77 x 2.86 x 0.31 in)
eMMC 5.1,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",About 160 EUR,"Li-Po 3080 mAh, non-removable",,1080p@30fps,Adreno 308,microSDXC (uses shared SIM slot),Qualcomm MSM8917 Snapdragon 425 (28 nm),,GSM / HSPA / LTE,"2016, September. Released 2016, October",IPS LCD,"Android 6.0.1 (Marshmallow), upgradable to 7.0 (Nougat)",,"5 MP, f/2.4",,BQ,Dinorex glass,FM radio,Quad-core 1.4 GHz Cortex-A53,1080p@30fps,,140 g (4.94 oz),,Nano-SIM + Nano-SIM,16GB 2GB RAM,"8 MP, f/2.0, AF","5.0 inches, 68.9 cm2(~66.5% screen-to-body ratio)",Yes,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-u.jpg,"microUSB 2.0, OTG","Accelerometer, gyro, proximity, compass",,BQ Aquaris U Lite,HSDPA 850 / 900 / 1900 / 2100,"HSPA, LTE",Yes,"4.2, A2DP, LE",0.47 W/kg (head)     1.16 W/kg (body),,Black,"1, 3, 7, 20",Wi-Fi 802.11 b/g/n,"GPS, GLONASS",No,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"LED flash, HDR, panorama",145 x 71.5 x 8.3 mm (5.71 x 2.81 x 0.33 in)
eMMC 5.1,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",About 190 EUR,"Li-Po 3080 mAh, non-removable",,1080p@30fps,Adreno 505,microSDXC (uses shared SIM slot),Qualcomm MSM8937 Snapdragon 430 (28 nm),,GSM / HSPA / LTE,"2016, September. Released 2016, September",IPS LCD,"Android 6.0.1 (Marshmallow), upgradable to 7.0 (Nougat)",,"5 MP, f/2.4",,BQ,Dinorex glass,FM radio,Octa-core 1.4 GHz Cortex-A53,1080p@30fps,,140 g (4.94 oz),,Nano-SIM + Nano-SIM,16GB 2GB RAM,"13 MP, f/2.2, PDAF","5.0 inches, 68.9 cm2(~66.5% screen-to-body ratio)",Yes,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-u.jpg,"microUSB 2.0, OTG","Accelerometer, gyro, proximity, compass",,BQ Aquaris U,HSDPA 850 / 900 / 1900 / 2100,"HSPA, LTE",Yes,"4.2, A2DP, LE",0.47 W/kg (head)     1.16 W/kg (body),,Black,"1, 3, 7, 20",Wi-Fi 802.11 b/g/n,"GPS, GLONASS",Yes,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"LED flash, HDR, panorama",145 x 71.5 x 8.3 mm (5.71 x 2.81 x 0.33 in)
