,Announced,Call records,Resolution,Keyboard,_3,CPU,Technology,Model Image,Alert types,Phonebook,Video_1,WLAN,Games,GPRS,Messaging,Talk time,USB,OS,EDGE,Features,Status,3G bands,Positioning,Radio,Bluetooth,Brand,Sensors,_1,Video,Speed,Dimensions,Single,Colors,3.5mm jack,SIM,Size,Weight,Type_1,Internal,2G bands,Browser,Loudspeaker,_2,Single_1,Model Name,Type,Card slot,Java,Stand-by
"Second external 65K colors display, OLED (96 x 64 pixels)","2007, March","100 dialed, 100 received, 100 missed calls","240 x 320 pixels, 4:3 ratio (~200 ppi density)",,,,GSM / UMTS,https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-sf71.gif,"Vibration; Downloadable polyphonic, MP3 ringtones","500 x 20 fields, Photo call",,No,"5 - StarWars, SeaBattle, SuperBomber + downloadable",,"SMS, MMS, Email",Up to 4 h 30 min,1.1,,,LED flash,Discontinued,UMTS 2100,No,No,"1.1, A2DP",BenQ_Siemens,,Video telephonyMP3/AAC/AAC+/eAAC+ playerPhoto editorPredictive text inputVoice dialStopwatchOrganizer,Yes,"Yes, 384 kbps",96 x 48 x 23 mm (3.78 x 1.89 x 0.91 in),2 MP,Black,No,Mini-SIM,"2.0 inches, 12.4 cm2(~26.9% screen-to-body ratio)",118 g (4.16 oz),Removable Li-Ion 920 mAh battery,45MB,GSM 900 / 1800 / 1900,"WAP 2.0/xHTML, HTML",No,,VGA videocall camera,BenQ-Siemens SF71,"TFT, 256K colors",microSD (dedicated slot),"Yes, MIDP 2.0",Up to 160 h
No,"2007, June","20 dialed, 20 received, 20 missed calls",176 x 220 pixels (~157 ppi density),,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-e52.gif,"Vibration; Downloadable polyphonic, MP3 ringtones","Yes, Photo call",,No,Yes,Class 10,"SMS, MMS, Email",Up to 4 h 10 min,1.1,,No,,Cancelled,,No,FM radio,1.2,BenQ_Siemens,,AAC/MP3 playerPredictive text inputVoice memoStopwatchOrganizer,Yes,,102 x 45 x 14.9 mm (4.02 x 1.77 x 0.59 in),1.3 MP,TransSilver,No,Mini-SIM,"1.8 inches, 10.2 cm2(~22.2% screen-to-body ratio)",122 g (4.30 oz),Removable Li-Ion 920 mAh battery,20MB,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,Yes,,,BenQ-Siemens E52,"TFT, 256K colors",microSD,"Yes, MIDP 2.0",Up to 245 h
No,"2007, July","20 dialed, 20 received, 20 missed calls",176 x 220 pixels (~141 ppi density),,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-c32.gif,"Vibration; Downloadable polyphonic, MP3 ringtones","Yes, Photo call",,No,Yes,Class 12,"SMS, MMS, EMS",Up to 4 h,1.1,,No,,Cancelled,,No,No,"1.2, A2DP",BenQ_Siemens,,AAC/MP3 playerPredictive text inputVoice memoStopwatchOrganizer,Yes,,101.6 x 47.3 x 16.6 mm (4.0 x 1.86 x 0.65 in),2 MP,Liquid aura,No,Mini-SIM,"2.0 inches, 12.6 cm2(~26.2% screen-to-body ratio)",82 g (2.89 oz),Removable Li-Ion 720 mAh battery,,GSM 900 / 1800,WAP 2.0/xHTML,Yes,,,BenQ-Siemens C32,"TFT, 256K colors",microSD,"Yes, MIDP 2.0",Up to 250 h
No,"2007, June","20 dialed, 20 received, 20 missed calls",176 x 220 pixels (~157 ppi density),,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-c31.gif,"Vibration; Downloadable polyphonic, MP3 ringtones","Yes, Photo call",,No,Yes,Class 10,"SMS, MMS",Up to 3 h 30 min,1.1,,No,,Cancelled,,No,FM radio,No,BenQ_Siemens,,AAC/MP3 playerPredictive text inputVoice memoStopwatchOrganizer,Yes,,99.8 x 46.7 x 16.7 mm (3.93 x 1.84 x 0.66 in),1.3 MP,"SilverShine, GraphiteGloss",No,Mini-SIM,"1.8 inches, 10.2 cm2(~21.9% screen-to-body ratio)",86 g (3.03 oz),Removable Li-Ion 920 mAh battery,20MB,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,Yes,,,BenQ-Siemens C31,"TFT, 256K colors",microSD,"Yes, MIDP 2.0",Up to 170 h
No,"2006, August","100 dialed, 100 received, 100 missed calls","132 x 176 pixels, 4:3 ratio (~122 ppi density)",,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-sl80.gif,"Vibration; Downloadable polyphonic, MP3, AAC ringtones","1000 x 23 fields, Photo call",,No,"SeaBattle, Wappo 2, Golf + downloadable",Class 10,"SMS, MMS, Email",Up to 5 h,Proprietary,,Class 10,LED flash,Cancelled,,No,No,1.2,BenQ_Siemens,,MP3/AAC/MP4 playerPredictive text inputOrganizerVoice memo,Yes,,"92 x 48 x 23 mm, 78 cc (3.62 x 1.89 x 0.91 in)",1.3 MP,Mauve Sensation,No,Mini-SIM,"1.8 inches, 10.0 cm2(~22.7% screen-to-body ratio)",99 g (3.49 oz),Removable Li-Ion 750 mAh battery,52MB,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,No,,,BenQ-Siemens SL80,"TFT, 256K colors",No,"Yes, MIDP 2.0",Up to 300 h
GSM 850 / 1800 / 1900 - US version,"2006, August","10 dialed, 10 received, 10 missed calls","130 x 130 pixels, 1:1 ratio",,CalculatorCurrency converterBirthday reminder,,GSM,https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-al26.gif,Vibration; Downloadable polyphonic ringtones,Yes,,No,Yes,Class 8,"SMS, EMS, MMS",Up to 5 h,Proprietary,,No,,Cancelled,,No,No,No,BenQ_Siemens,,Special Hello Kitty wallpapers and ringtones4-way navigation key,,,86.8 x 45.8 x 19.2 mm (3.42 x 1.80 x 0.76 in),,Pink,No,Mini-SIM,,80 g (2.82 oz),Removable Li-Ion 600 mAh battery,1.5MB,GSM 900 / 1800 / 1900,WAP 1.2.1,No,No,,BenQ-Siemens AL26,"TFT, 65K colors",No,"Yes, MIDP 1.0",Up to 220 h
"Second external 65K colors CSTN display, 120 x 160 pixels","2007, April","20 dialed, 20 received, 20 missed calls",176 x 220 pixels,,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-a53.jpg,,Yes,,No,Yes,Class 12,"SMS, MMS, Email",Up to 3 h 20 min,1.1,,No,,Discontinued,,No,No,No,BenQ_Siemens,,No,Yes,,80 x 42 x 14.8 mm (3.15 x 1.65 x 0.58 in),1.3 MP,"Black, Blue, Pink",No,Mini-SIM,,68 g (2.40 oz),Removable Li-Ion 600 mAh battery,,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,Yes,MP3 playerOrganizerVoice memoPredictive text input,,BenQ-Siemens A53,"TFT, 256K colors",microSD (dedicated slot),"Yes, MIDP 2.0",Up to 200 h
Touch-sensitive navigation keys,"2006, July","10 dialed, 10 received, 10 missed calls","240 x 320 pixels, 4:3 ratio (~200 ppi density)",,,,GSM / UMTS,https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-sl91.gif,"Vibration; Downloadable polyphonic, MP3 ringtones","Yes, Photo call",,No,Yes + downloadable,,"SMS, MMS, Email",Up to 3 h 15 min,2.0,,,,Discontinued,UMTS 2100,No,"Stereo FM radio, RDS",Yes,BenQ_Siemens,,MP3/AAC/eAAC+/XMF playerPredictive text inputReminderOrganizer,Yes,"Yes, 384 kbps",89 x 47 x 23 mm (3.50 x 1.85 x 0.91 in),"3.15 MP, AF",Magic Black,No,Mini-SIM,"2.0 inches, 12.4 cm2(~29.6% screen-to-body ratio)",109 g (3.84 oz),Removable Li-Ion 950 mAh battery,64MB,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,No,,VGA videocall camera,BenQ-Siemens SL91,"TFT, 16M colors",microSD (dedicated slot),"Yes, MIDP 2.0",Up to 310 h
No,"2006, July","10 dialed, 10 received, 10 missed calls",176 x 220 pixels (~157 ppi density),,,,GSM / UMTS,https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-e81.gif,"Vibration; Downloadable polyphonic, MP3 ringtones","Yes, Photo call",,No,Yes + downloadable,,"SMS, MMS, Email",Up to 5 h,2.0,,,LED flash,Discontinued,UMTS 2100,No,No,Yes,BenQ_Siemens,,MP3/AAC/eAAC+/XMF playerPredictive text inputReminderOrganizer,QCIF,"Yes, 384 kbps",99.8 x 46.7 x 16.7 mm (3.93 x 1.84 x 0.66 in),1.3 MP,Lucent Black,No,Mini-SIM,"1.8 inches, 10.2 cm2(~21.9% screen-to-body ratio)",90 g (3.17 oz),Removable Li-Ion 900 mAh battery,16MB,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,No,,,BenQ-Siemens E81,"TFT, 256K colors",microSD (dedicated slot),"Yes, MIDP 2.0",Up to 300 h
GSM 850 / 1800 / 1900 - US version,"2006, July","100 dialed, 100 received, 100 missed calls","240 x 320 pixels, 4:3 ratio (~190 ppi density)",,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-e71.gif,"Vibration; Downloadable polyphonic, MP3 ringtones","1000 x 20 fields, Photo call",,No,Yes + downloadable,Class 10,"SMS, MMS, Email",Up to 6 h 20 min,2.0,,Class 10,,Discontinued,,No,FM radio,Yes,BenQ_Siemens,,No,QCIF,,104 x 46 x 15 mm (4.09 x 1.81 x 0.59 in),1.3 MP,"Dark Silver, Onyx Black",No,Mini-SIM,"2.1 inches, 31 x 42 mm, 13.7 cm2(~28.5% screen-to-body ratio)",80 g (2.82 oz),Removable Li-Ion 730 mAh battery,16MB,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,Yes,MP3/AAC/AAC+ playerPredictive text inputOrganizerVoice memo,,BenQ-Siemens E71,"TFT, 256K colors",microSD (dedicated slot),"Yes, MIDP 2.0",Up to 390 h
