,Resolution,Alert types,Talk time_1,Price,Display,Type_1,Talk time,Video,_2,GPU,Card slot,Chipset,Charging,Technology,Announced,Type,OS,Features_1,Single_1,Music play,Brand,_6,Protection,Browser,Radio,Audio quality,Performance,CPU,_4,Stand-by_1,Video_1,EDGE,Stand-by,Weight,Build,SIM,Internal,Single,_3,_7,Size,3.5mm jack,_1,Camera,Loudspeaker_1,Status,Model Image,Battery (old),USB,Sensors,GPRS,Model Name,3G bands,Speed,Loudspeaker,Bluetooth,SAR EU,Dual,Colors,4G bands,WLAN,Positioning,NFC,Keyboard,Models,2G bands,Features,_5,Dimensions,SAR
"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 28, 29, 66, 38, 39, 40, 41 - BBE100-2, BBE100-5 DS (NA, LATAM)","1080 x 1620 pixels, 3:2 ratio (~434 ppi density)",,,About 440 EUR,,"Li-Ion 3000 mAh, non-removable",,"4K@30fps, 1080p@30fps",,Adreno 509,microSDXC (uses shared SIM slot),Qualcomm SDM636 Snapdragon 636 (14 nm),,GSM / HSPA / LTE,"2018, August",IPS LCD,Android 8.1 (Oreo),,,,BlackBerry,,Corning Gorilla Glass (unspecified version),,FM radio,,AnTuTu: 116764 (v7)GeekBench: 4965 (v4.4),Octa-core (4x1.8 GHz Kryo 260 Gold & 4x1.6 GHz Kryo 260 Silver),,,1080p@30fps,,,156 g (5.50 oz),"Glass front (Gorilla Glass), plastic back, aluminum frame",Nano-SIMNano-SIM + Nano-SIM,"32GB 4GB RAM, 64GB 4GB RAM",8 MP,,,"4.5 inches, 60.0 cm2(~55.6% screen-to-body ratio)",Yes,eMMC 5.1,,,"Available. Released 2018, October",https://fdn2.gsmarena.com/vv/bigpic/blackberry-key2-le-.jpg,,"USB Type-C 2.0, OTG","Fingerprint (front-mounted), accelerometer, proximity, compass",,BlackBerry KEY2 LE,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE",Yes,"5.0, A2DP, LE, EDR",0.78 W/kg (head)     1.61 W/kg (body),"13 MP, f/2.2, 1/3.1"", 1.12µm, PDAF5 MP, f/2.4, (depth)","Slate, Champagne, Atomic","1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 26, 28, 32, 38, 40, 41 - BBE100-1, BBE100-4 DS (EU, Africa, AU)","Wi-Fi 802.11 а/b/g/n/ac, dual-band, Wi-Fi Direct","GPS, GLONASS",Yes,QWERTY,"BBE100-4, BBE100-5, BBE100-1, BBE100-2",GSM 850 / 900 / 1800 / 1900,"Dual-LED dual-tone flash, HDR, panorama",,150.3 x 71.8 x 8.4 mm (5.92 x 2.83 x 0.33 in),1.01 W/kg (head)     1.17 W/kg (body)
eMMC 5.1,"1080 x 2160 pixels, 18:9 ratio (~403 ppi density)",,,About 350 EUR,,"Li-Ion 4000 mAh, non-removable",,1080p@30fps,,Adreno 512,microSDXC (uses shared SIM slot),Qualcomm SDM660 Snapdragon 660 (14 nm),"18W wired, PD2.0, QC3Wireless (Qi)",GSM / HSPA / LTE,"2018, August",IPS LCD,Android 8.1 (Oreo),LED flash,,,BlackBerry,,Corning Gorilla Glass 5,,FM radio,,,Octa-core (4x2.2 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),,,1080p@30/60fps,,,170 g (5.93 oz),"Glass front (Gorilla Glass 5), plastic/aluminum back, aluminum frame (7000 series)",Nano-SIMNano-SIM + Nano-SIM,64GB 6GB RAM,"16 MP, f/2.0, (wide), 1/3.06"", 1.0µm",,,"5.99 inches, 92.6 cm2(~75.8% screen-to-body ratio)",Yes,,,,"Available. Released 2018, August",https://fdn2.gsmarena.com/vv/bigpic/blackberry-exolve-x-5.jpg,,"USB Type-C 2.0, OTG","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,BlackBerry Evolve X,HSDPA 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat12 600/150 Mbps",Yes,"5.0, A2DP, LE",,"12 MP, f/1.8, 1/2.8"", 1.29µm, PDAF13 MP, f/2.6, 1/3.4"", 1.0µm, 2х optical zoom, PDAF",Black,"1, 3, 5, 7, 8, 40, 41","Wi-Fi 802.11 а/b/g/n/ac, dual-band, Wi-Fi Direct","GPS (L1+L5), GLONASS, BDS, GALILEO, QZSS",No,,,GSM 850 / 900 / 1800 / 1900,"Dual-LED dual-tone flash, HDR, panorama",,159.1 x 76.8 x 8.8 mm (6.26 x 3.02 x 0.35 in),
eMMC 5.1,"1080 x 2160 pixels, 18:9 ratio (~403 ppi density)",,,About 300 EUR,,"Li-Ion 4000 mAh, non-removable",,1080p@30fps,,Adreno 506,microSDXC (uses shared SIM slot),Qualcomm SDM450 Snapdragon 450 (14 nm),"18W wired, PD, QC3",GSM / HSPA / LTE,"2018, August",IPS LCD,Android 8.1 (Oreo),LED flash,,,BlackBerry,,Corning Gorilla Glass 5,,FM radio,,,Octa-core 1.8 GHz Cortex-A53,,,1080p@30/60fps,,,170 g (5.93 oz),,Nano-SIMNano-SIM + Nano-SIM,64GB 4GB RAM,"16 MP, f/2.0, (wide), 1/3.06"", 1.0µm",,,"5.99 inches, 92.6 cm2(~76.6% screen-to-body ratio)",Yes,,,,"Available. Released 2018, October",https://fdn2.gsmarena.com/vv/bigpic/blackberry-exolve-6.jpg,,"USB Type-C 2.0, OTG","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,BlackBerry Evolve,HSDPA 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",Yes,"4.2, A2DP, LE",,"13 MP, 1/3.1"", 1.12µm, PDAF13 MP B/W, 1/3.1"", 1.12µm, PDAF",Black,"1, 3, 5, 7, 8, 40, 41","Wi-Fi 802.11 а/b/g/n/ac, dual-band, Wi-Fi Direct","GPS, GLONASS, BDS, GALILEO",No,,BBG100-1,GSM 850 / 900 / 1800 / 1900,"Dual-LED dual-tone flash, HDR, panorama",,158.9 x 76.1 x 8.4 mm (6.26 x 3.00 x 0.33 in),
"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 20, 28, 29, 30, 38, 39, 40, 41, 66 - Canada, US, LATAM (BBF100-2)","1080 x 1620 pixels, 3:2 ratio (~434 ppi density)",,,About 500 EUR,"Contrast ratio: 1572 (nominal), 3.212 (sunlight)","Li-Ion 3500 mAh, non-removable",,"4K@30fps, 1080p@30fps","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 26, 28, 38, 39, 40, 41 - China (BBF100-4)",Adreno 512,microSDXC (uses shared SIM slot),Qualcomm SDM660 Snapdragon 660 (14 nm),"18W wired, QC3, 50% in 36 min",GSM / HSPA / LTE,"2018, June",IPS LCD,Android 8.1 (Oreo),,,,BlackBerry,,Corning Gorilla Glass 3,,FM radio,Noise -90.7dB / Crosstalk -94.2dB,AnTuTu: 140984 (v7)GeekBench: 5830 (v4.4)GFXBench: 11fps (ES 3.1 onscreen),Octa-core (4x2.2 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),eMMC 5.1,,1080p@30fps,,,168 g (5.93 oz),"Glass front (Gorilla Glass 3), plastic back, aluminum frame (7000 series)",Nano-SIMNano-SIM + Nano-SIM - BBF100-6 only,"64GB 6GB RAM, 128GB 6GB RAM","8 MP, f/2.0, 1/4.0"", 1.12µm",Capacitive touch 4-row BlackBerry keyboard,,"4.5 inches, 60.0 cm2(~55.2% screen-to-body ratio)",Yes,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 26, 28, 32, 38, 39, 40, 41 - ME, APAC, India (BBF100-6)",Photo/Video,Voice 66dB / Noise 72dB / Ring 79dB,"Available. Released 2018, June",https://fdn2.gsmarena.com/vv/bigpic/blackberry-key2-new.jpg,Endurance rating 86h,"USB Type-C 3.0, OTG","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",,BlackBerry KEY2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE (3CA) Cat11 600/75 Mbps",Yes,"5.0, A2DP, LE, EDR",0.72 W/kg (head)     1.68 W/kg (body),"12 MP, f/1.8, 1/2.3"", 1.28µm, dual pixel PDAF12 MP, f/2.6, 1/3.4"", 1.0µm, PDAF","Black, Silver, Red","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 26, 28, 32, 38, 39, 40, 41 - EU, Africa, AU (BBF100-1)","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","GPS, GLONASS, BDS2",Yes,QWERTY,"BBF100-6, BBF100-1, BBF100-2, BBF100-4",GSM 850 / 900 / 1800 / 1900,"Dual-LED dual-tone flash, HDR, panorama",,151.4 x 71.8 x 8.5 mm (5.96 x 2.83 x 0.33 in),
"2, 4, 5, 7, 12, 13, 17, 29, 30, 66 - BBD100-2 (USA)","1080 x 1920 pixels, 16:9 ratio (~403 ppi density)",,,About 390 EUR,,"Li-Ion 4000 mAh, non-removable",,"4K@30fps, 1080p@30fps",eMMC 5.1,Adreno 506,microSDXC (uses shared SIM slot),Qualcomm MSM8953 Snapdragon 625 (14 nm),"18W wired, QC3",GSM / HSPA / LTE,"2017, October",IPS LCD,Android 7.1 (Nougat),,"8 MP, f/2.2, 1/4.0"", 1.12µm",,BlackBerry,,Scratch-resistant glass,,FM radio,,AnTuTu: 75057 (v7)GeekBench: 3567 (v4.4)GFXBench: 3.4fps (ES 3.1 onscreen),Octa-core 2.0 GHz Cortex-A53,,,1080p@30fps,,,167 g (5.89 oz),"Glass front, plastic back, aluminum frame",Nano-SIMNano-SIM + Nano-SIM,32GB 4GB RAM,"12 MP, f/2.0, PDAF",,,"5.5 inches, 82.6 cm2(~70.2% screen-to-body ratio)",Yes,IP67 dust/water resistant (up to 1m for 30 min),Photo/Video,Voice 66dB / Noise 69dB / Ring 77dB,"Available. Released 2017, December",https://fdn2.gsmarena.com/vv/bigpic/blackberry-motion.jpg,Endurance rating 94h,USB Type-C 2.0,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",,BlackBerry Motion,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE",Yes,"4.2, A2DP, EDR, LE",,,Black,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 26, 28, 32, 38, 39, 40, 41 - BBD100-6 (EU, Global)","Wi-Fi 802.11 b/g/n/ac, Wi-Fi Direct","GPS, GLONASS, BDS2",Yes,,"BBD100-1, BBD100-6, BBD100-2",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),"Dual-LED dual-tone flash, HDR, panorama",,155.8 x 75.5 x 8.1 mm (6.13 x 2.97 x 0.32 in),
eMMC 5.1,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,,About 200 EUR,,"Li-Ion 3000 mAh, non-removable",,1080p@30fps,,Adreno 308,microSDXC (dedicated slot),Qualcomm MSM8917 Snapdragon 425 (28 nm),,GSM / HSPA / LTE,"2017, March",IPS LCD,Android 7.0 (Nougat),,8 MP,,BlackBerry,,,,No,,,Quad-core 1.4 GHz Cortex-A53,,,,,,178 g (6.28 oz),"Glass front, plastic back, plastic frame","Dual SIM (Micro-SIM, dual stand-by)",32GB 4GB RAM,"13 MP, AF",,,"5.5 inches, 83.4 cm2(~71.4% screen-to-body ratio)",Yes,,,,"Available. Released 2017, March",https://fdn2.gsmarena.com/vv/bigpic/blackberry-aurora.jpg,,microUSB 2.0,"Accelerometer, proximity, compass",,BlackBerry Aurora,HSDPA 850 / 900 / 1900 / 2100,"HSPA, LTE",Yes,"4.0, A2DP, EDR, LE",,,"Black, Silver, Gold",LTE,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","GPS, GLONASS, BDS",No,,BBC100-1,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"Dual-LED flash, HDR, panorama",,152 x 76.8 x 8.5 mm (5.98 x 3.02 x 0.33 in),
Capacitive touch 4-row BlackBerry keyboard,"1080 x 1620 pixels, 3:2 ratio (~434 ppi density)",,,About 290 EUR,Contrast ratio: 1756:1 (nominal),"Li-Ion 3500 mAh, non-removable",,4K@30fps,,Adreno 506,microSDXC (uses shared SIM slot),Qualcomm MSM8953 Snapdragon 625 (14 nm),"18W wired, QC3, 50% in 36 min",GSM / HSPA / LTE,"2017, February",IPS LCD,"Android 7.1 (Nougat), upgradable to Android 8.1 (Oreo)",,"8 MP, f/2.2, 1/4.0"", 1.12µm",,BlackBerry,,Corning Gorilla Glass 4,,FM radio,Noise -92.2dB / Crosstalk -96.4dB,GFXBench: 4.1fps (ES 3.1 onscreen),Octa-core 2.0 GHz Cortex-A53,,,1080p@30fps,,,180 g (6.35 oz),"Glass front (Gorilla Glass 4), plastic back, aluminum frame",Nano-SIMNano-SIM + Nano-SIM - BBB100-4 only,"32GB 3GB RAM, 64GB 4GB RAM","12 MP, f/2.0, 1/2.3"", 1.55µm, PDAF",,,"4.5 inches, 60.0 cm2(~55.6% screen-to-body ratio)",Yes,eMMC 5.1,Photo/Video,Voice 62dB / Noise 66dB / Ring 67dB,"Available. Released 2017, April",https://fdn2.gsmarena.com/vv/bigpic/blackberry-keyone-mercury.jpg,Endurance rating 81h,"USB Type-C 3.1, OTG","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",,BlackBerry Keyone,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat9 450/50 Mbps",Yes,"4.2, A2DP, LE, EDR",,,"Black/Silver, Black, Bronze","1, 2, 3, 4, 5, 7, 8, 13, 17, 20, 28, 38, 40","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","GPS, GLONASS, BDS2",Yes,QWERTY,"BBB100-2, BBB100-7, BBB100-1, BBB100-5, BBB100-3, BBB100-4",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (BBB100-4 only),"Dual-LED dual-tone flash, HDR, panorama",,149.1 x 72.4 x 9.4 mm (5.87 x 2.85 x 0.37 in),
"1, 2, 3, 4, 5, 7, 8, 19, 20, 28, 38, 40, 41 - EMEA","1440 x 2560 pixels, 16:9 ratio (~534 ppi density)",,,About 250 EUR,,"Li-Ion 3000 mAh, non-removable",Up to 26 h (3G),"4K@30fps, 720p@120fps",,Adreno 530,microSDXC (dedicated slot),Qualcomm MSM8996 Snapdragon 820 (14 nm),"18W wired, QC3",GSM / HSPA / LTE,"2016, October. Released 2016, October",AMOLED,Android 6.0 (Marshmallow),,"8 MP, f/2.2",Up to 88 h,BlackBerry,,"Scratch-resistant glass, oleophobic coating",,No,,,Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo),,,1080p@30fps,,Up to 336 h (3G),165 g (5.82 oz),,Nano-SIM,32GB 4GB RAM,"21 MP, f/2.0, PDAF",,,"5.5 inches, 83.4 cm2(~71.9% screen-to-body ratio)",Yes,,,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/bb-dtek-60r.jpg,,"USB Type-C 2.0, OTG","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,BlackBerry DTEK60,"HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - USA, EMEA","HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps","Yes, with stereo speakers","4.2, A2DP, LE, EDR",,,Black,"1, 2, 3, 4, 5, 7, 12, 17, 20, 29 - USA","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","GPS, GLONASS, BDS",Yes,,"BBA100-2, BBA100-1",GSM 850 / 900 / 1800 / 1900,"Dual-LED dual-tone flash, HDR, panorama",,153.9 x 75.4 x 7 mm (6.06 x 2.97 x 0.28 in),
HSDPA 850 / 900 / 1900 / 2100 - EMEA,"1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",,,About 200 EUR,,"Li-Ion 2610 mAh, non-removable",Up to 17 h (3G),1080p@30fps,eMMC 5.1,Adreno 405,microSDXC (uses shared SIM slot),Qualcomm MSM8952 Snapdragon 617 (28 nm),"18W wired, QC2, 50% in 51 min",GSM / HSPA / LTE,"2016, July. Released 2016, August",IPS LCD,Android 6.0 (Marshmallow),,"8 MP, f/2.2",Up to 40 h,BlackBerry,,"Scratch-resistant glass, oleophobic coating",,FM radio,,,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.2 GHz Cortex-A53),,,1080p@30fps,,Up to 576 h (3G),135 g (4.76 oz),,Nano-SIM + Nano-SIM,16GB 3GB RAM,"13 MP, f/2.0, PDAF",,,"5.2 inches, 74.5 cm2(~69.9% screen-to-body ratio)",Yes,"1, 2, 3, 7, 8, 20, 28, 38, 40, 41 - EMEA",,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/bb-dtek.jpg,,"microUSB 2.0, OTG","Accelerometer, gyro, proximity, compass",,BlackBerry DTEK50,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - USA,"HSPA, LTE","Yes, with stereo speakers","4.2, A2DP, LE, EDR",,,Black,"1, 2, 3, 4, 5, 7, 12, 17, 20, 29, 30 - USA","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","GPS, GLONASS, BDS",Yes,,"STH100-2, STH100-1",GSM 850 / 900 / 1800 / 1900,"Dual-LED dual-tone flash, HDR, panorama",,147 x 72.5 x 7.4 mm (5.79 x 2.85 x 0.29 in),
"1, 2, 3, 4, 7, 8, 13, 17, 20, 28 - Europe (STV100-4)","1440 x 2560 pixels, 16:9 ratio (~540 ppi density)",,,About 270 EUR,,"Li-Ion 3410 mAh, non-removable",Up to 24 h (3G),"4K@30fps, 1080p@60fps",Curved edge screen,Adreno 418,microSDXC (dedicated slot),Qualcomm MSM8992 Snapdragon 808 (20 nm),"18W wired, QC2Wireless (Qi/PMA) (market dependent)",GSM / HSPA / LTE,"2015, October. Released 2015, November",AMOLED,"Android 5.1.1 (Lollipop), upgradable to 6.0.1 (Marshmallow)",,2 MP,Up to 73 h,BlackBerry,,Corning Gorilla Glass 4,,No,,,Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57),,,720p,,Up to 420 h (3G),192 g (6.77 oz),"Glass front (Gorilla Glass 4), plastic back, plastic frame",Nano-SIM,32GB 3GB RAM,"18 MP, f/2.2, 27mm (wide), 1/2.4"", PDAF, OIS",eMMC 5.0,,"5.4 inches, 81.6 cm2(~71.9% screen-to-body ratio)",Yes,Capacitive touch 4-row BlackBerry keyboard,Photo/Video,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-priv.jpg,Endurance rating 62h,microUSB 2.0 (SlimPort 4K),"Accelerometer, altimeter, gyro, ToF proximity, compass",,BlackBerry Priv,"HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - USA (STV100-1), Europe (STV100-4)","HSPA 42.2/5.76 Mbps, LTE (3CA) Cat9 450/50 Mbps",Yes,"4.1, A2DP, EDR, LE",,,Black,"1, 2, 3, 4, 5, 7, 12, 17, 20, 29, 30 - USA (STV100-1)","Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, hotspot","GPS, GLONASS",Yes,QWERTY,"STV100-4, STV100-3, STV100-1, V100, STV100-2",GSM 850 / 900 / 1800 / 1900,"Schneider-Kreuznach optics, dual-LED dual-tone flash, HDR, panorama",,147 x 77.2 x 9.4 mm (5.79 x 3.04 x 0.37 in),
