,Resolution,Games,Phonebook,Clock,Type_1,Call records,Talk time,_2,Card slot,Java,Technology,Announced,Type,Brand,Browser,Radio,EDGE,Stand-by,Weight,SIM,Alarm,Size,3.5mm jack,_1,Status,Model Image,USB,Sensors,GPRS,Model Name,Bluetooth,Loudspeaker,Colors,WLAN,Positioning,2G bands,Messaging,Dimensions,Alert types
Dynamic font sizeSoft keysBlue LCD,"96 x 32 pixels, 4 x 16 chars",No,100,Yes,Removable Li-Ion battery,"10 dialed, 10 received, 10 missed calls",5 h,CalculatorIntegrated PCMCIA,No,No,GSM,1999,Monochrome graphic,Bosch,,No,No,180 h,109 g (3.84 oz),Mini-SIM,Yes,,No,No,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/boc909sb.gif,,,No,Bosch 909 Dual S,No,No,3,No,No,GSM 900 / 1800,SMS,122 x 50 x 17 mm (4.80 x 1.97 x 0.67 in),Monophonic ringtones
Dynamic font sizeSoft keys,4 x 16 chars,No,100,Yes,Removable Li-Ion 650 mAh battery,"10 dialed, 10 received, 10 missed calls",3 h,CalculatorIntegrated PCMCIA,No,No,GSM,1999,Monochrome graphic,Bosch,,No,No,70 h,99 g (3.49 oz),Mini-SIM,Yes,,No,No,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/boc909b.gif,,,No,Bosch 909 Dual,No,No,3,No,No,GSM 900 / 1800,SMS,112 x 50 x 17 mm (4.41 x 1.97 x 0.67 in),Monophonic ringtones
Dynamic font sizeSoft keys,4 x 16 chars,No,100,Yes,Removable Li-Ion 650 mAh battery,"10 dialed, 10 received, 10 missed calls",3 h,CalculatorIntegrated PCMCIA,No,No,GSM,1998,Monochrome graphic,Bosch,,No,No,70 h,99 g (3.49 oz),Mini-SIM,Yes,,No,No,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/boc908b.gif,,,No,Bosch Com 908,No,No,3,No,No,GSM 900,SMS,112 x 50 x 17 mm (4.41 x 1.97 x 0.67 in),Monophonic ringtones
Dynamic font sizeSoft keys,4 x 16 chars,No,SIM only,Yes,Removable NiMH battery,"10 dialed, 10 received, 10 missed calls",4 h,Calculator,No,No,GSM,1999,Monochrome graphic,Bosch,,No,No,87 h,150 g (5.29 oz),Mini-SIM,Yes,,No,No,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/boc509b.gif,,,No,Bosch Com 509,No,No,"Several, half transparent",No,No,GSM 900 / 1800,SMS,134 x 53 x 23 mm (5.28 x 2.09 x 0.91 in),Monophonic ringtones
Dynamic font sizeSoft keys,4 x 16 chars,No,100,Yes,Removable Li-Ion 650 mAh battery,"10 dialed, 10 received, 10 missed calls",200 min,Calculator,No,No,GSM,1996,Monochrome graphic,Bosch,,No,No,70 h,189 g (6.67 oz),Mini-SIM,Yes,,No,No,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/bow718b.gif,,,No,Bosch World 718,No,No,,No,No,GSM 900 / 1900,SMS,142 x 53 x 18 mm (5.59 x 2.09 x 0.71 in),Monophonic ringtones
Dynamic font sizeSoft keys,4 x 16 chars,No,100,Yes,Removable Li-Ion 650 mAh battery,"10 dialed, 10 received, 10 missed calls",200 min,,No,No,GSM,1996,Monochrome graphic,Bosch,,No,No,70 h,189 g (6.67 oz),Mini-SIM,Yes,,No,No,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/boc738b.gif,,,No,Bosch Com 738,No,No,,No,No,GSM 900 / 1800,SMS,142 x 53 x 18 mm (5.59 x 2.09 x 0.71 in),Monophonic ringtones
Fixed icons,3 x 15 chars,No,100,No,Removable Li-Ion 500 mAh battery,"10 dialed, 10 received, 10 missed calls",75 min,,No,No,GSM,1996,Monochrome graphic,Bosch,,No,No,30 h,145 g (5.11 oz),Mini-SIM,No,,No,No,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/boc906b.gif,,,No,Bosch Com 906,No,No,,No,No,GSM 900,SMS,144 x 57 x 19 mm (5.67 x 2.24 x 0.75 in),Monophonic ringtones
Dynamic font sizeSoft keys,4 x 16 chars,No,SIM only,No,Removable NiMH 550 mAh battery,"10 dialed, 10 received, 10 missed calls",130 min,Calculator,No,No,GSM,1999,Monochrome graphic,Bosch,,No,No,50 h,169 g (5.96 oz),Mini-SIM,No,,No,No,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/boc608b.gif,,,No,Bosch Com 608,No,No,,No,No,GSM 900,SMS,134 x 53 x 24 mm (5.28 x 2.09 x 0.94 in),Monophonic ringtones
Dynamic font sizeSoft keys,4 x 16 chars,No,SIM only,No,Removable NiMH 550 mAh battery,"10 dialed, 10 received, 10 missed calls",3 h,Calculator,No,No,GSM,1997,Monochrome graphic,Bosch,,No,No,80 h,189 g (6.67 oz),Mini-SIM,No,,No,No,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/boc607b.gif,,,No,Bosch Com 607,No,No,,No,No,GSM 900,SMS,134 x 53 x 17 mm (5.28 x 2.09 x 0.67 in),Monophonic ringtones
No,1 x 10 chars,No,SIM only,No,Removable NiMH 600 mAh battery,,2 h,,No,No,GSM,1997,Alphanumeric,Bosch,,No,No,85 h,179 g (6.31 oz),Mini-SIM,No,,No,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/boc207b.gif,,,No,Bosch Com 207,No,No,,No,No,GSM 900,SMS,147 x 56 x 23 mm (5.79 x 2.20 x 0.91 in),Monophonic ringtones
