,Triple,Resolution,Games,Price,Phonebook,Type_1,Call records,Talk time,Video,_2,GPU,Card slot,Chipset,Java,Charging,Technology,Announced,Type,OS,Single_1,Brand,5G bands,Protection,Radio,CPU,_4,Video_1,EDGE,Stand-by,Weight,Build,SIM,Internal,Single,_3,Size,3.5mm jack,_1,Status,Model Image,USB,Sensors,GPRS,Model Name,3G bands,Speed,Loudspeaker,Bluetooth,Colors,Dual,4G bands,WLAN,Positioning,NFC,Models,2G bands,Messaging,Features,_5,Dimensions
IP68/IP69 dust/water resistant (up to 5m for 35 min)Drop resistant up to 1.8mMIL-STD-810H compliant,"50 MP, f/1.8, (wide), PDAF8 MP, f/2.2, (ultrawide)2 MP, f/2.4, (macro)","1080 x 2408 pixels, 20:9 ratio (~400 ppi density)",,About 600 EUR,,Li-Po 5000 mAh,,,1080p@30fps,,IMG BXM-8-256,microSDXC (uses shared SIM slot),Mediatek Dimensity 930 (6 nm),,15W wireless,GSM / HSPA / LTE / 5G,"2023, February 24","IPS LCD, 120Hz",Android 12,,Cat,"1, 2, 3, 5, 7, 8, 20, 23, 28, 38, 40, 41, 75, 77, 78, 255, 256 SA/NSA/Sub6/mmWave",Corning Gorilla Glass Victus,Unspecified,Octa-core (2x2.2 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),,1080p@30fps,,,268 g (9.45 oz),"Glass front (Gorilla Glass Victus), plastic back, aluminum frame",Nano-SIM + Nano-SIM,128GB 6GB RAM,"8 MP, f/2.0, (wide)",,"6.6 inches, 104.9 cm2(~76.7% screen-to-body ratio)",No,Emergency SOS via satellite (Bullitt Satellite Connect service),"Available. Released 2023, July",https://fdn2.gsmarena.com/vv/bigpic/cat-s75.jpg,"USB Type-C 2.0, OTG","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,Cat S75,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE, 5G",Yes,"5.1, A2DP, LE",Black,,"1, 2, 3, 4, 5, 7, 8, 20, 28, 32, 38, 39, 40, 41","Wi-Fi 802.11 a/b/g/n/ac, dual-band","GPS (L1+L5), GALILEO, GLONASS, BDS",Yes,BM1S1B,GSM 850 / 900 / 1800 / 1900,,"Dual-LED flash, HDR, panorama",,171 x 80 x 11.9 mm (6.73 x 3.15 x 0.47 in)
IP68/IP69K dust/water resistant (up to 1.5m for 35 min)Drop resistant up to 1.8mMIL-STD-810H compliantDedicated flashlight,,"720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,About 530 EUR,,Li-Po 5500 mAh,,,1080p@30fps,,Adreno 619,microSDXC (uses shared SIM slot),Qualcomm SM4350 Snapdragon 480 5G (8 nm),,Wireless,GSM / HSPA / LTE / 5G,"2022, July 19",IPS LCD,Android 11,,Cat,"1, 2, 3, 5, 7, 8, 28, 41, 66, 77, 78",,No,Octa-core (2x2.0 GHz Kryo 460 & 6x1.8 GHz Kryo 460),,1080p@30fps,,,320 g (11.29 oz),,Nano-SIM + Nano-SIM,128GB 6GB RAM,"16 MP, f/2.0",,"6.5 inches, 102.0 cm2(~73.6% screen-to-body ratio)",Yes,,"Available. Released 2022, July 19",https://fdn2.gsmarena.com/vv/bigpic/cat-s53.jpg,"USB Type-C 3.0, OTG","Fingerprint (rear-mounted), accelerometer",,Cat S53,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE",Yes,"5.1, A2DP, LE",Black,"48 MP, f/1.8, (wide)2 MP, (macro)","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66","Wi-Fi 802.11 a/b/g/n/ac, dual-band",GPS,Yes,,GSM 850 / 900 / 1800 / 1900,,LED flash,,171 x 81 x 16 mm (6.73 x 3.19 x 0.63 in)
CDMA 800 / 1900,,"480 x 640 pixels, 4:3 ratio (~286 ppi density)",,About 200 EUR,,"Li-Ion 2000 mAh, removable",,,Yes,IP68 dust/water resistant (up to 1.5m for 35 min)MIL-STD-810H compliantDrop resistant up to 1.8m,Adreno 308,microSDXC (dedicated slot),Qualcomm QM215 Snapdragon 215 (28 nm),,,GSM / CDMA / HSPA / EVDO / LTE,"2021, September 18",TFT LCD,Android 11 (Go edition),,Cat,,Corning Gorilla Glass 5,FM radio,Quad-core 1.3 GHz Cortex-A53,eMMC 5.1,Yes,,,224 g (7.90 oz),,Nano-SIM,16GB 2GB RAM,5 MP,"Secondary external display, 1.44”, Corning Gorilla Glass 5","2.8 inches, 24.3 cm2(~33.3% screen-to-body ratio)",No,CDMA2000 1xEV-DO,"Available. Released 2021, September 18",https://fdn2.gsmarena.com/vv/bigpic/cat-s22-flip.jpg,USB Type-C 2.0,"Accelerometer, proximity, barometer",,Cat S22 Flip,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Yes,"4.2, A2DP",Black,,"1, 2, 3, 4, 5, 7, 12, 13, 17, 20, 25, 26, 28, 38, 39, 40, 41, 66, 71",Wi-Fi 802.11 b/g/n,"GPS, GLONASS, GALILEO",No,,GSM 850 / 900 / 1800 / 1900,,LED flash,2 MP,119.4 x 61 x 23 mm (4.70 x 2.40 x 0.91 in)
CDMA 800 / 1900,,"1080 x 2160 pixels, 18:9 ratio (~424 ppi density)",,About 440 EUR,,Li-Ion 4000 mAh,,,"4K@30fps, 1080p@30fps",IP68/IP69 dust/water resistant (up to 1.5m for 35 min)Drop resistant up to 1.8mMIL-STD-810H compliant,Adreno 512,microSDXC (dedicated slot),Qualcomm SDM660 Snapdragon 660 (14 nm),,WirelessQC4,GSM / CDMA / HSPA / EVDO / LTE,"2021, June 18",IPS LCD,"Android 10, upgradable to Android 11",,Cat,,Corning Gorilla Glass 6,FM radio,Octa-core (4x2.2 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),,1080p@30fps,,,260 g (9.17 oz),"Glass front (Gorilla Glass 6), plastic back, aluminum frame",Nano-SIM,128GB 4GB RAM,8 MP,,"5.7 inches, 83.8 cm2(~69.9% screen-to-body ratio)",Yes,CDMA2000 1xEV-DO,"Available. Released 2021, June 18",https://fdn2.gsmarena.com/vv/bigpic/cat-s62.jpg,"USB Type-C 2.0, OTG","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,Cat S62,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat12 600/150 Mbps",Yes,"5.0, A2DP, LE",Black,"48 MP, (wide), PDAF2 MP","1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 20, 25, 26, 28, 38, 39, 40, 41, 66, 71","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","GPS, GLONASS, GALILEO, BDS",Yes,,GSM 850 / 900 / 1800 / 1900,,"LED flash, HDR, panorama",,157.5 x 76.2 x 12.7 mm (6.20 x 3.00 x 0.5 in)
IP69 dust/water resistant (up to 1.5m for 35 min)Drop resistant up to 1.8mMIL-STD-810H compliantAntimicrobial protection (silver ion-based),,"720 x 1440 pixels, 18:9 ratio (~293 ppi density)",,About 230 EUR,,Li-Ion 4200 mAh,,,1080p@30fps,,PowerVR GE8320,microSDXC (dedicated slot),Mediatek MT6761D Helio A20 (12 nm),,,GSM / HSPA / LTE,"2021, April 20",IPS LCD,"Android 10, planned upgrade to Android 11",5 MP,Cat,,Corning Gorilla Glass 5,FM radio,Quad-core 1.8 GHz Cortex-A53,,,,,220 g (7.76 oz),,Nano-SIM + Nano-SIM,32GB 3GB RAM,"13 MP, f/2.0, (wide), PDAF",,"5.5 inches, 78.1 cm2(~62.7% screen-to-body ratio)",Yes,eMMC 5.1,"Available. Released 2021, April 20",https://fdn2.gsmarena.com/vv/bigpic/cat-s42-plus.jpg,"microUSB 2.0, OTG","Accelerometer, proximity, compass",,Cat S42 H+,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",Yes,"5.0, A2DP, LE",Black,,"1, 2, 3, 4, 5, 7, 12, 13, 14, 17, 25, 26, 41, 66, 71",Wi-Fi 802.11 b/g/n,"GPS, GLONASS, BDS",Yes,,GSM 850 / 900 / 1800 / 1900,,LED flash,,161.3 x 77.2 x 12.7 mm (6.35 x 3.04 x 0.5 in)
IP69 dust/water resistant (up to 1.2m for 35 min)MIL-STD-810H compliantDrop resistant up to 1.8mFlashlight (100+ lumens)Antimicrobial protection (silver ion-based),,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",No,About 110 EUR,Yes,Li-Ion 1800 mAh,Yes,,Yes,,,microSD,Unisoc T117,,,GSM / HSPA / LTE,"2021, April 20",TFT LCD,,,Cat,,,FM radio,,,,,,157 g (5.54 oz),,Nano-SIM,Unspecified,2 MP,,"2.4 inches, 17.8 cm2(~19.8% screen-to-body ratio)",Yes,No,"Available. Released 2021, April 20",https://fdn2.gsmarena.com/vv/bigpic/cat-b40.jpg,USB Type-C 2.0,Accelerometer,,Cat B40,HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Yes,"5.0, A2DP, LE",Black,,"1, 3, 7, 8, 20, 28",No,No,No,,GSM 850 / 900 / 1800 / 1900,SMS,,,145 x 62 x 18 mm (5.71 x 2.44 x 0.71 in)
IP68/IP69 dust/water resistant (up to 1.5m for 35 min)Drop resistant up to 1.8mMIL-STD-810H compliant,,"1080 x 2160 pixels, 18:9 ratio (~424 ppi density)",,About 530 EUR,,Li-Ion 4000 mAh,,,"1080p@30fps, gyro-EIS",,Adreno 512,microSDXC (dedicated slot),Qualcomm SDM660 Snapdragon 660 (14 nm),,,GSM / HSPA / LTE,"2020, June 28",IPS LCD,Android 10,,Cat,,Corning Gorilla Glass 6,FM radio,Octa-core (4x2.2 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),,1080p@30fps,,,248 g (8.75 oz),"Glass front (Gorilla Glass 6), plastic back, aluminum frame",Nano-SIMNano-SIM + Nano-SIM,128GB 6GB RAM,8 MP,,"5.7 inches, 83.8 cm2(~69.0% screen-to-body ratio)",No,,"Available. Released 2020, August 17",https://fdn2.gsmarena.com/vv/bigpic/cat-s62-pro.jpg,"USB Type-C 2.0, OTG","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,Cat S62 Pro,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat13 400/150 Mbps",Yes,"5.0, A2DP, LE",Black,"12 MP, f/1.8, (wide), 1/2.55"", 1.4µm, dual pixel PDAFFLIR thermal camera (Lepton 3.5 module)","1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","GPS, GLONASS, GALILEO, BDS",Yes,,GSM 850 / 900 / 1800 / 1900,,"Thermal imaging, heat palettes, temp. spot meter, LED flash",,158.5 x 76.7 x 11.9 mm (6.24 x 3.02 x 0.47 in)
HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - USA,,"720 x 1440 pixels, 18:9 ratio (~293 ppi density)",,About 300 EUR,,Li-Ion 4200 mAh,,,1080p@30fps,eMMC 5.1,PowerVR GE8320,microSDXC (dedicated slot),Mediatek MT6761D Helio A20 (12 nm),,,GSM / HSPA / LTE,"2020, January",IPS LCD,"Android 10, planned upgrade to Android 11",5 MP,Cat,,Corning Gorilla Glass 5,FM radio,Quad-core 1.8 GHz Cortex-A53,,,,,220 g (7.76 oz),,Nano-SIMNano-SIM + Nano-SIM,32GB 3GB RAM,"13 MP, f/2.0, (wide), PDAF",,"5.5 inches, 78.1 cm2(~62.6% screen-to-body ratio)",Yes,IP69 dust/water resistant (up to 1.5m for 35 min)Drop resistant up to 1.8mMIL-STD-810H compliant,"Available. Released 2020, August",https://fdn2.gsmarena.com/vv/bigpic/cat-s32.jpg,"microUSB 2.0, OTG","Accelerometer, proximity, compass",,Cat S42,HSDPA 850 / 900 / 1900 / 2100 - EU,"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",Yes,"5.0, A2DP, LE",Black,,"1, 2, 3, 4, 5, 7, 8, 20, 28",Wi-Fi 802.11 b/g/n,"GPS, GLONASS, BDS",Yes,,GSM 850 / 900 / 1800 / 1900,,LED flash,,161.4 x 77.3 x 12.7 mm (6.35 x 3.04 x 0.5 in)
IP68 dust/water resistant (up to 1.5m for 35 min)Drop resistant up to 1.5mMIL-STD-810G compliant,,"720 x 1440 pixels, 18:9 ratio (~285 ppi density)",,About 440 EUR,,"Li-Ion 3100 mAh, non-removable",,,"1080p@30fps, gyro-EIS",,PowerVR GE8320,microSD,Mediatek MT6765 Helio P35 (12 nm),,10W wired,GSM / HSPA / LTE,"2019, October",IPS LCD,"Android 9.0 (Pie), planned upgrade to Android 10",8 MP,Cat,,Corning Gorilla Glass 6,FM radio,Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),,1080p@30fps,,,210 g (7.41 oz),"Glass front (Gorilla Glass 6), plastic back, aluminum frame",Nano-SIMNano-SIM + Nano-SIM,64GB 4GB RAM,"12 MP, f/1.8, (wide), 1/2.55"", 1.4µm, dual pixel PDAF",,"5.65 inches, 82.4 cm2(~68.0% screen-to-body ratio)",Yes,eMMC 5.1,"Available. Released 2019, November",https://fdn2.gsmarena.com/vv/bigpic/cat-s52.jpg,"USB Type-C 2.0, OTG","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,Cat S52,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/100 Mbps",Yes,"5.0, A2DP, LE",Black,,"1, 2, 3, 4, 5, 7, 8, 20, 28, 38","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","GPS, GLONASS, GALILEO, BDS",Yes,,GSM 850 / 900 / 1800 / 1900,,LED flash,,158.1 x 76.6 x 9.7 mm (6.22 x 3.02 x 0.38 in)
IP68 dust/water resistant (up to 1.2m for 35 min)MIL-STD-810G compliantDrop resistant up to 1.8mFlashlight,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",,About 110 EUR,,"Li-Ion 2300 mAh, non-removable",,Up to 12 h (3G),480p@30fps,No,Adreno 304,microSDXC (uses shared SIM slot),Qualcomm MSM8905 Snapdragon 205 (28 nm),,,GSM / HSPA / LTE,"2018, September",TFT,KaiOS 2.5.1,,Cat,,Scratch-proof glass,FM radio,Dual-core (2x1.3 GHz Cortex-A7),,,,Up to 720 h (3G),130 g (4.59 oz),,Nano-SIMNano-SIM + Nano-SIM,4GB 512MB RAM,2 MP,"Downloadable applications Facebook, Gmail, Whatsapp, etc.","2.4 inches, 17.8 cm2(~21.5% screen-to-body ratio)",Yes,eMMC 4.5,"Available. Released 2018, October",https://fdn2.gsmarena.com/vv/bigpic/cat-b35.jpg,microUSB 2.0,Accelerometer,,Cat B35,HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Yes,"4.1, A2DP, LE",Black,,"1, 3, 7, 8, 20",Wi-Fi 802.11 b/g/n,"GPS, GLONASS",No,,GSM 850 / 900 / 1800 / 1900,,LED flash,,138 x 60 x 14 mm (5.43 x 2.36 x 0.55 in)
