,Java,Status,Type,3.5mm jack,Model Image,Positioning,Messaging,Features,Size,NFC,SAR EU,Chipset,Colors,GPU,Video,Single_1,Keyboard,GPRS,Features_1,Video_1,2G bands,Card slot,Speed,_2,Type_1,Resolution,_3,Model Name,3G bands,Dimensions,Sensors,Announced,Talk time,Bluetooth,Price,Loudspeaker,OS,CPU,Stand-by,_1,USB,Games,SIM,Internal,SAR,Phonebook,Weight,Technology,Brand,Infrared port,WLAN,Single,Call records,EDGE,Radio
,,Discontinued,"TFT, 256K colors",Yes,https://fdn2.gsmarena.com/vv/bigpic/celkon-a403.jpg,A-GPS,,LED flash,"4.0 inches, 45.5 cm2(~56.1% screen-to-body ratio)",No,0.38 W/kg (head)     0.68 W/kg (body),Spreadtrum SC7715,"Black, Light Blue, Red, Yellow",,Yes,1.3 MP,,,,,GSM 900 / 1800 - SIM 1 & SIM 2,microSDHC,HSPA,,Li-Ion 1400 mAh battery,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Celkon A403,HSDPA 2100,125 x 65 x 10.2 mm (4.92 x 2.56 x 0.40 in),Accelerometer,"2015, August. Released 2015, August",,2.0,,Yes,Android 4.4.2 (KitKat),1.0 GHz,,,microUSB 2.0,,Dual SIM,4GB 512MB RAM,,,113 g (3.99 oz),GSM / HSPA,Celkon,,Wi-Fi 802.11 b/g/n,3.15 MP,,,FM radio
,,Discontinued,"TFT, 256K colors",Yes,https://fdn2.gsmarena.com/vv/bigpic/celkon-millennia-prime.jpg,A-GPS,,LED flash,"4.5 inches, 55.8 cm2(~63.1% screen-to-body ratio)",No,0.35 W/kg (head)     0.85 W/kg (body),Spreadtrum SC7715,"White, Black, Gold, Silver, Brown, Blue",,Yes,1.3 MP,,,,,GSM 900 / 1800 - SIM 1 & SIM 2,microSDHC,HSPA,,"Li-Ion 1600 mAh, removable","480 x 854 pixels, 16:9 ratio (~218 ppi density)",,Celkon Campus Prime,HSDPA 2100,132 x 67 x 9.3 mm (5.20 x 2.64 x 0.37 in),Accelerometer,"2015, August. Released 2015, August",,2.0,,Yes,Android 4.4.2 (KitKat),1.0 GHz,,,microUSB 2.0,,Dual SIM,4GB 512MB RAM,,,119.2 g (4.20 oz),GSM / HSPA,Celkon,,Wi-Fi 802.11 b/g/n,3.15 MP,,,FM radio
,,Discontinued,"TFT, 256K colors",Yes,https://fdn2.gsmarena.com/vv/bigpic/celkon-millennia-everest.jpg,A-GPS,,LED flash,"5.5 inches, 83.4 cm2(~68.1% screen-to-body ratio)",No,0.33 W/kg (head)     0.25 W/kg (body),Spreadtrum SC7731,"Black, White, Blue",,Yes,3.2 MP,,,,,GSM 900 / 1800 - SIM 1 & SIM 2,microSDHC,HSPA,,Li-Ion 2500 mAh battery,"480 x 854 pixels, 16:9 ratio (~178 ppi density)",,Celkon Millennia Everest,HSDPA 2100,157 x 78 x 9.1 mm (6.18 x 3.07 x 0.36 in),"Accelerometer, proximity","2015, August. Released 2015, August",,2.0,,Yes,Android 5.1 (Lollipop),Quad-core 1.2 GHz,,,microUSB 2.0,,Dual SIM,8GB 1GB RAM,,,-,GSM / HSPA,Celkon,,Wi-Fi 802.11 b/g/n,5 MP,,,FM radio
,,Discontinued,"TFT, 256K colors",Yes,https://fdn2.gsmarena.com/vv/bigpic/celkon-millennia-hero.jpg,A-GPS,,LED flash,"4.0 inches, 45.5 cm2(~56.9% screen-to-body ratio)",No,0.34 W/kg (head)     0.76 W/kg (body),,"Black, White/Gold, White/Silver, Black/Gold",,Yes,3.2 MP,,,,,GSM 900 / 1800 - SIM 1 & SIM 2,microSDHC,HSPA,,Li-Ion 1700 mAh battery,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Celkon Millennia Hero,HSDPA 2100,125 x 64 x 11 mm (4.92 x 2.52 x 0.43 in),Accelerometer,"2015, August. Released 2015, August",,2.0,,Yes,Android 5.1 (Lollipop),Quad-core 1.2 GHz,,,microUSB 2.0,,Dual SIM,8GB 1GB RAM,,,113 g (3.99 oz),GSM / HSPA,Celkon,,Wi-Fi 802.11 b/g/n,5 MP,,,FM radio
,,Discontinued,IPS LCD,Yes,https://fdn2.gsmarena.com/vv/bigpic/celkon-q58-xplore.jpg,GPS,,LED flash,"5.0 inches, 68.9 cm2(~64.1% screen-to-body ratio)",No,,Mediatek MT6582M (28 nm),Black/White,Mali-400MP2,Yes,8 MP,,,,,GSM 900 / 1800 - SIM 1 & SIM 2,microSDHC,HSPA 21.1/5.76 Mbps,,Li-Ion 2000 mAh battery,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Celkon Millennia Xplore,HSDPA 2100,145.7 x 73.8 x 7.9 mm (5.74 x 2.91 x 0.31 in),"Accelerometer, proximity","2015, July. Released 2015, July",,"4.0, A2DP",,Yes,Android 5.0 (Lollipop),Quad-core 1.2 GHz Cortex-A7,,,microUSB 2.0,,Dual SIM,8GB 1GB RAM,,,150 g (5.29 oz),GSM / HSPA,Celkon,,"Wi-Fi 802.11 b/g/n, hotspot",13 MP,,,FM radio
,,Discontinued,IPS LCD,Yes,https://fdn2.gsmarena.com/vv/bigpic/celkon-q455.jpg,GPS,,LED flash,"4.5 inches, 55.8 cm2(~60.1% screen-to-body ratio)",No,,,"Black, Red, Yellow",,Yes,3.15 MP,,,,,GSM 900 / 1800 - SIM 1 & SIM 2,microSDHC,HSPA 21.1/5.76 Mbps,,Li-Ion 1800 mAh battery,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",,Celkon Q455L,HSDPA 2100,136.5 x 68 x 7.9 mm (5.37 x 2.68 x 0.31 in),"Accelerometer, proximity","2015, July. Released 2015, July",,"4.0, A2DP",,Yes,Android 5.0 (Lollipop),Quad-core 1.2 GHz,,,microUSB 2.0,,Dual SIM,8GB 1GB RAM,,,130 g (4.59 oz),GSM / HSPA,Celkon,,"Wi-Fi 802.11 b/g/n, hotspot","8 MP, AF",,,FM radio
,,Discontinued,IPS LCD,Yes,https://fdn2.gsmarena.com/vv/bigpic/celkon-2gb-xpress.jpg,GPS,,LED flash,"4.5 inches, 57.6 cm2(~64.9% screen-to-body ratio)",No,,Spreadtrum 7731,Black,Mali-400,Yes,1.3 MP,,,,,GSM 900 / 1800 - SIM 1 & SIM 2,microSDHC,HSPA 21.1/5.76 Mbps,,Li-Ion 1500 mAh battery,"480 x 800 pixels, 5:3 ratio (~207 ppi density)",,Celkon 2GB Xpress,HSDPA 2100,133.5 x 66.5 x 10.1 mm (5.26 x 2.62 x 0.40 in),Accelerometer,"2015, July. Released 2015, July",,"2.1, EDR",,Yes,"Android 4.4.2 (KitKat), upgradable to 5.0 (Lollipop)",Quad-core 1.2 GHz,,,microUSB 2.0,,Dual SIM,16GB 2GB RAM,,,134 g (4.73 oz),GSM / HSPA,Celkon,,"Wi-Fi 802.11 b/g/n, hotspot","5 MP, AF",,,FM radio
,,Discontinued,"TFT, 256K colors",Yes,https://fdn2.gsmarena.com/vv/bigpic/celkon-a35k-remote.jpg,GPS,,LED flash,"3.5 inches, 36.5 cm2(~48.7% screen-to-body ratio)",No,0.56 W/kg (head)     0.40 W/kg (body),,"White, Black, Blue",,Yes,VGA,,,,,GSM 900 / 1800 - SIM 1 & SIM 2,microSDHC,"Yes, 384 kbps",,Li-Ion 1400 mAh battery,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",,Celkon A35k Remote,HSDPA 2100,119 x 63 x 10.7 mm (4.69 x 2.48 x 0.42 in),"Accelerometer, proximity","2015, June. Released 2015, June",,"4.0, A2DP",,Yes,Android 4.4.2 (KitKat),1.0 GHz,,,microUSB 2.0,,Dual SIM,512MB 256MB RAM,,,102 g (3.60 oz),GSM / HSPA,Celkon,,Wi-Fi 802.11 b/g/n,3.15 MP,,,FM radio
,,Discontinued,"TFT, 256K colors",Yes,https://fdn2.gsmarena.com/vv/bigpic/celkon-q3k-power.jpg,GPS,,"LED flash, HDR, panorama","4.0 inches, 45.5 cm2(~55.7% screen-to-body ratio)",No,,Spreadtrum 7731G,"White, black, gold",Mali-400,Yes,1.3 MP,,,,,GSM 900 / 1800 - SIM 1 & SIM 2,microSDHC,"Yes, 384 kbps",,Li-Ion 3000 mAh battery,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Celkon Q3K Power,HSDPA 2100,125.8 x 65 x 9.8 mm (4.95 x 2.56 x 0.39 in),Accelerometer,"2015, July. Released 2015, July",,"4.0, A2DP",,Yes,Android 4.4.2 (KitKat),Quad-core 1.2 GHz,,,microUSB 2.0,,Dual SIM,8GB 512MB RAM,,,128 g (4.52 oz),GSM / HSPA,Celkon,,Wi-Fi 802.11 b/g/n,3.15 MP,,,FM radio
,,Discontinued,"TFT, 256K colors",Yes,https://fdn2.gsmarena.com/vv/bigpic/celkon-q5k-power.jpg,GPS,,LED flash,"5.0 inches, 68.9 cm2(~66.0% screen-to-body ratio)",No,0.31 W/kg (head)     0.46 W/kg (body),Spreadtrum 7731,"White, Blue, Silver, Black",Mali-400,Yes,3.15 MP,,,,,GSM 900 / 1800 - SIM 1 & SIM 2,microSDHC,"Yes, 384 kbps",,Li-Ion 5000 mAh battery,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,Celkon Q5K Power,HSDPA 2100,145 x 72 x 10 mm (5.71 x 2.83 x 0.39 in),"Accelerometer, proximity","2015, June. Released 2015, June",,"4.0, A2DP",,Yes,Android 4.4.2 (KitKat),Quad-core 1.2 GHz,,,microUSB 2.0,,Dual SIM,4GB 512MB RAM,,,169 g (5.96 oz),GSM / HSPA,Celkon,,Wi-Fi 802.11 b/g/n,"5 MP, AF",,,FM radio
