,Status,Type,3.5mm jack,Model Image,Positioning,Protection,Triple,Build,Features,Size,4G bands,NFC,SAR EU,Chipset,GPU,Colors,Video,Quad,Single_1,GPRS,Features_1,Video_1,2G bands,Speed,Card slot,_2,Type_1,Resolution,_3,Model Name,5G bands,3G bands,Dimensions,Sensors,Announced,Talk time,Bluetooth,Price,Loudspeaker,OS,CPU,Stand-by,_1,USB,Charging,SIM,Internal,Dual,_4,SAR,Weight,Models,Technology,Brand,Infrared port,WLAN,Single,EDGE,Radio
CDMA 800,"Available. Released 2024, December","IPS LCD, 90Hz",Unspecified,https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-40i.jpg,"GPS, GLONASS, BDS, GALILEO",,,,"LED flash, panorama, HDR","6.56 inches, 103.4 cm2(~80.8% screen-to-body ratio)","1, 3, 5, 7, 8, 20, 28, 34, 38, 39, 40, 41 - International",Yes,,Mediatek MT6765 Helio G37 (12 nm),PowerVR GE8320,"Phantom Black, Glacier Blue, Lite Pink, Ivory White",1080p@30fps,,,,,1080p@30fps,GSM 850 / 900 / 1800 / 1900,"HSPA, LTE",microSDXC (dedicated slot),"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 25, 26, 28, 66 - USA",4500 mAh,"720 x 1612 pixels, 20:9 ratio (~269 ppi density)",eMMC 5.1,Coolpad Cool 40i,,HSDPA 850 / 900 / 1900 / 2100 - International,166.2 x 77 x 8.3 mm (6.54 x 3.03 x 0.33 in),"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","2024, December",,"5.0, A2DP, LE",About 100 EUR,Yes,"Android 14, CoolOS",Octa-core (4x2.3 GHz Cortex-A53 & 4x1.7 GHz Cortex-A53),,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - USA,USB Type-C 2.0,10W wired,Nano-SIM + Nano-SIM,"128GB 4GB RAM, 256GB 6GB RAM","50 MP, f/1.8 (wide), PDAF0.3 MP, (depth)",,,202 g (7.13 oz),,GSM / CDMA / HSPA / LTE,Coolpad,,Wi-Fi 802.11 a/b/g/n/ac,"8 MP, f/2.0, (wide)",,No
CDMA 800,"Available. Released 2024, November","IPS LCD, 90Hz, 400 nits",No,https://fdn2.gsmarena.com/vv/bigpic/coolpad-c16s-new.jpg,"GPS, GALILEO, GLONASS, BDS",,,,LED flash,"6.75 inches, 110.0 cm2(~84.1% screen-to-body ratio)","1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - International",Yes (market/region dependent),,Mediatek Helio G36 (12 nm),PowerVR GE8320,"Midnight Black, Woodland Green, Sunset Orange",Yes,,,,,Yes,GSM 850 / 900 / 1800 / 1900,"HSPA, LTE",microSDXC (uses shared SIM slot),CDMA2000 1x,5000 mAh,"720 x 1600 pixels, 20:9 ratio (~260 ppi density)","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 28, 38, 40, 66 - USA",Coolpad C16s,,HSDPA 850 / 900 / 1900 / 2100 - International,167.9 x 77.9 x 8.7 mm (6.61 x 3.07 x 0.34 in),"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","2024, November",,"5.0, A2DP, LE",About 80 EUR,Yes,Android 14,Octa-core (4x2.2 GHz Cortex-A53 & 4x1.6 GHz Cortex-A53),,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - USA,Yes,10W wired,Nano-SIM + Nano-SIM,"128GB 4GB RAM, 128GB 6GB RAM, 256GB 4GB RAM","50 MP, f/1.8, (wide), AF2 MP, f/2.4, (macro)XX MP, (depth)",,,215 g (7.58 oz),,GSM / CDMA / HSPA / CDMA2000 / LTE,Coolpad,,Wi-Fi 802.11 a/b/g/n/ac,"8 MP, f/2.0",,Unspecified
HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - USA,"Available. Released 2024, September","IPS LCD, 90Hz, 400 nits",No,https://fdn2.gsmarena.com/vv/bigpic/coolpad-c16.jpg,"GPS, GALILEO, GLONASS, BDS",,,,LED flash,"6.75 inches, 110.0 cm2(~84.1% screen-to-body ratio)","1, 3, 5, 7, 8, 20, 28, 40, 41 - International",Yes (market/region dependent),,Unisoc T606 (12 nm),Mali-G57 MP1,"Midnight Black, Woodland Green, Gulf Blue",Yes,,,,,Yes,GSM 850 / 900 / 1800 / 1900,"HSPA, LTE",microSDXC (uses shared SIM slot),,5000 mAh,"720 x 1600 pixels, 20:9 ratio (~260 ppi density)",,Coolpad C16,,HSDPA 850 / 900 / 1900 / 2100 - International,167.9 x 77.9 x 8.7 mm (6.61 x 3.07 x 0.34 in),"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","2024, September",,"5.0, A2DP, LE",,Yes,Android 14,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 28, 38, 40, 66 - USA",Yes,10W wired,Nano-SIM + Nano-SIM,"128GB 4GB RAM, 128GB 6GB RAM, 256GB 4GB RAM","50 MP, f/1.8, (wide), AF2 MP, f/2.4, (macro)",,,215 g (7.58 oz),,GSM / HSPA / LTE,Coolpad,,Wi-Fi 802.11 a/b/g/n/ac,"8 MP, f/2.0",,Unspecified
CDMA 800 / 1900 - version 1,"Available. Released 2024, July","IPS LCD, 450 nits",No,https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-30-play.jpg,"GPS, GLONASS, BDS",,"64 MP, f/1.8, (wide), AF2 MP, f/2.5, (macro)0.08 MP, (depth)",,"LED flash, panorama","6.79 inches, 109.5 cm2(~84.3% screen-to-body ratio)","1, 3, 5, 7, 8, 20, 28, 34, 38, 39, 40, 41 - version 1",Yes (market/region dependent),,Mediatek Helio G99 (6 nm),Mali-G57 MC2,"Aurora Purple, Flowing Gold, Velvet Black",1080p@30fps,,,,,1080p@30fps,GSM 850 / 900 / 1800 / 1900,"HSPA, LTE",microSDXC (uses shared SIM slot),CDMA2000 1xEV-DO - version 1,5000 mAh,720 x 1640 pixels (~264 ppi density),"1, 2, 3, 4, 5, 7, 8, 12, 17, 28, 66, 71 - version 2",Coolpad Cool 30 Play,,HSDPA 850 / 900 / 1900 / 2100 - version 1,169.6 x 76.6 x 8.5 mm (6.68 x 3.02 x 0.33 in),"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Expected announcement 2024, July",,"5.2, A2DP, LE",,Yes,Android 14,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - version 2,USB Type-C,33W wired,Nano-SIM + Nano-SIM,"128GB 6GB RAM, 256GB 8GB RAM",,UFS 2.2,,208 g (7.34 oz),,GSM / CDMA / HSPA / EVDO / LTE,Coolpad,,Wi-Fi 802.11 a/b/g/n/ac,"8 MP, f/2.0, (wide)",,Unspecified
HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - USA,"Available. Released 2024, May","IPS LCD, 90Hz, 400 nits",No,https://fdn2.gsmarena.com/vv/bigpic/coolpad-c15.jpg,"GPS, GALILEO, GLONASS, BDS",,,,LED flash,"6.56 inches, 103.4 cm2(~83.2% screen-to-body ratio)","1, 3, 5, 7, 8, 20, 28, 34, 38, 39, 40, 41 - International",Yes,,Mediatek Helio G36 (12 nm),PowerVR GE8320,"Dreamy Blue, Ripple Purple, Midnight Black",Yes,,,,,Yes,GSM 850 / 900 / 1800 / 1900,"HSPA, LTE",microSDXC,eMMC 5.1,5000 mAh,"720 x 1612 pixels, 20:9 ratio (~269 ppi density)",,Coolpad C15,,HSDPA 850 / 900 / 1900 / 2100 - International,164.2 x 75.7 x 8.8 mm (6.46 x 2.98 x 0.35 in),"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","2024, May",,"5.0, A2DP, LE",,Yes,Android 14,Octa-core (4x2.2 GHz Cortex-A53 & 4x1.6 GHz Cortex-A53),,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 25, 26, 28, 66 - USA",Yes,18W wired,Nano-SIM + Nano-SIM,"128GB 4GB RAM, 256GB 6GB RAM","50 MP, f/1.8, (wide), AF2 MP, f/2.4, (macro)",,,196 g (6.91 oz),,GSM / HSPA / LTE,Coolpad,,Wi-Fi 802.11 a/b/g/n/ac,"8 MP, f/2.0",,Unspecified
CDMA 800,"Available. Released 2023, December",IPS LCD,Unspecified,https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-30i.jpg,"GPS, GLONASS, BDS, GALILEO",,,,"LED flash, panorama, HDR","6.56 inches, 103.9 cm2(~81.5% screen-to-body ratio)","1, 3, 5, 7, 8, 20, 28, 34, 38, 40, 41 - International",No,,Mediatek MT6765 Helio G37 (12 nm),PowerVR GE8320,"Cream White, Desert Gold, Lavender Purple, Sky Blue",1080p@30fps,,,,,1080p@30fps,GSM 850 / 900 / 1800 / 1900,"HSPA, LTE",microSDXC (dedicated slot),"2, 3, 4, 5, 7, 8, 12, 13, 17, 25, 26, 28, 66 - USA",4500 mAh,"720 x 1600 pixels, 20:9 ratio (~267 ppi density)",,Coolpad Cool 30i,,HSDPA 850 / 900 / 1900 / 2100 - International,166.2 x 76.7 x 8.3 mm (6.54 x 3.02 x 0.33 in),"Fingerprint (side-mounted), accelerometer, proximity","2023, December",,"5.0, A2DP, LE",,Yes,"Android 13, CoolOS",Octa-core (4x2.3 GHz Cortex-A53 & 4x1.7 GHz Cortex-A53),,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - USA,USB Type-C 2.0,10W wired,Nano-SIM + Nano-SIM,256GB 6GB RAM,"50 MP, f/1.6 (wide), PDAFDepth camera",,,197.6 g (6.98 oz),,GSM / CDMA / HSPA / LTE,Coolpad,,Wi-Fi 802.11 a/b/g/n/ac,8 MP,,No
HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - USA,"Available. Released 2023, November 29",IPS LCD,Unspecified,https://fdn2.gsmarena.com/vv/bigpic/coolpad-cp12s.jpg,"GPS, GLONASS, BDS",,"48 MP, f/1.8, (wide), AF2 MP, (macro)2 MP, (depth)",,"LED flash, panorama","6.79 inches, 109.5 cm2(~84.1% screen-to-body ratio)","1, 3, 5, 7, 8, 28, 40, 41 - International",Yes,,Unisoc Tiger T616 (12 nm),Mali-G57 MP1,"Pearl White, Glacier Blue, Mint Green, Starlight Black",1080p@30fps,,,,,1080p@30fps,GSM 850 / 900 / 1800 / 1900,"HSPA, LTE",microSDXC (uses shared SIM slot),eMMC 5.1,5000 mAh,720 x 1640 pixels (~264 ppi density),,Coolpad CP12s,,HSDPA 850 / 900 / 1900 / 2100 - International,169.7 x 76.7 x 8.2 mm (6.68 x 3.02 x 0.32 in),"Fingerprint (side-mounted), accelerometer, proximity","2023, November 29",,"5.0, A2DP, LE",,Yes,Android 13,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),,"2, 3, 4, 5, 7, 8, 12, 13, 17, 25, 26, 28, 66 - USA",Yes,18W wired,Nano-SIM + Nano-SIM,"128GB 6GB RAM, 256GB 8GB RAM",,,,209.7 g (7.41 oz),,GSM / HSPA / LTE,Coolpad,,Wi-Fi 802.11 a/b/g/n/ac,8 MP,,Unspecified
HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - USA,"Available. Released 2023, June 15",IPS LCD,No,https://fdn2.gsmarena.com/vv/bigpic/coolpad-cp12.jpg,"GPS, GLONASS, BDS",,,"Glass front, glass back",LED flash,"6.52 inches, 102.6 cm2(~82.6% screen-to-body ratio)","1, 3, 5, 7, 8, 28, 40, 41 - International",No,,Unisoc SC9863A (28 nm),IMG8322,"Black, Blue, Silver",1080p@30fps,,,,,Yes,GSM 850 / 900 / 1800 / 1900,"HSPA, LTE",microSDXC (uses shared SIM slot),eMMC 5.1,Li-Po 4500 mAh,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",,Coolpad CP12,,HSDPA 850 / 900 / 1900 / 2100 - International,164.2 x 75.7 x 8.3 mm (6.46 x 2.98 x 0.33 in),"Fingerprint (side-mounted), accelerometer, proximity","2023, June 15",,"5.0, A2DP, LE",About 90 EUR,Yes,Android 13,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),,"2, 3, 4, 5, 7, 8, 12, 13, 17, 25, 26, 28, 66 - USA","USB Type-C 2.0, OTG",10W wired,Nano-SIM + Nano-SIM,128GB 4GB RAM,"13 MP, (wide), AF2 MP, (macro)",,,190 g (6.70 oz),,GSM / HSPA / LTE,Coolpad,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",5 MP,,FM radio
CDMA 800,"Available. Released 2023, April",IPS LCD,Yes,https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool20-plus.jpg,"GPS, GLONASS, BDS, GALILEO, QZSS",,,"Glass front, glass back","LED flash, panorama, HDR","6.52 inches, 102.6 cm2(~82.5% screen-to-body ratio)","1, 3, 5, 8, 34, 39, 40, 41",No,,Mediatek MT6769 Helio G85 (12 nm),Mali-G52 MC3,"Black, Blue",1080p@30fps,,,,,Yes,GSM 850 / 900 / 1800 / 1900,"HSPA, LTE (2CA)",microSDXC (uses shared SIM slot),eMMC 5.1,Li-Po 4500 mAh,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",,Coolpad Cool 20+,,HSDPA 850 / 900 / 2100,164.3 x 75.7 x 8.7 mm (6.47 x 2.98 x 0.34 in),"Accelerometer, proximity, compass","2023, April",,"5.0, A2DP, LE",About 130 EUR,Yes,"Android 11, CoolOS 2",Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),,CDMA2000 1x,"USB Type-C 2.0, OTG",10W wired,Nano-SIM + Nano-SIM,"128GB 4GB RAM, 128GB 6GB RAM","48 MP, f/1.8 (wide), 1/2.0"", PDAF0.3 MP",,,197.1 g (6.95 oz),,GSM / CDMA / HSPA / CDMA2000 / LTE,Coolpad,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",5 MP,,No
CDMA 800,"Available. Released 2023, April 15",IPS LCD,Yes,https://fdn2.gsmarena.com/vv/bigpic/coolpad-cp12p.jpg,"GPS, GALILEO, GLONASS, BDS",,,"Glass front, glass back",LED flash,"6.52 inches, 102.6 cm2(~80.5% screen-to-body ratio)","1, 3, 5, 7, 8, 20, 28, 40, 41 - International",No,,Mediatek MT6762 Helio P22 (12 nm),PowerVR GE8320,"Black, Blue, Light Blue",1080p@30fps,,,,,1080p@30fps,GSM 850 / 900 / 1800 / 1900,"HSPA, LTE",microSDXC (dedicated slot),"2, 3, 4, 5, 7, 8, 12, 13, 17, 25, 26, 28, 66 - USA",Li-Po 4500 mAh,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",eMMC 5.1,Coolpad CP12p,,HSDPA 850 / 900 / 1900 / 2100 - International,166.2 x 76.7 x 8.3 mm (6.54 x 3.02 x 0.33 in),"Fingerprint (side-mounted), accelerometer, proximity","2023, April 15",,"5.0, A2DP, LE",About 110 EUR,Yes,Android 13,Octa-core 2.0 GHz Cortex-A53,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - USA,"USB Type-C 2.0, OTG",10W wired,Nano-SIM + Nano-SIM,128GB 4GB RAM,"16 MP, f/2.2, (wide), 1/3.0"", PDAF2 MP, (macro)",,,194 g (6.84 oz),,GSM / CDMA / HSPA / LTE,Coolpad,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","8 MP, f/2.0, (wide)",,FM radio
