,CPU,Model Name,Weight,Price,SIM,Size,2G bands,Positioning,Announced,256GB 16GB RAM,Charging,5G bands,Model Image,Video,Protection,GPU,Bluetooth,Video_1,NFC,Loudspeaker,Chipset,Card slot,Quad,USB,256GB 12GB RAM,Speed,GPRS,Resolution,128GB 6GB RAM,Build,Technology,EDGE,Penta,Radio,Type,WLAN,Dual,_2,Colors,3G bands,3.5mm jack,4G bands,Dimensions,256GB 24GB RAM,256GB 8GB RAM,Brand,Single,Internal,Single_1,Sensors,Features,OS,Triple,_1,512GB 16GB RAM,Type_1,Status
,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Cubot Tab 70,555 g (1.22 lb),About 180 EUR,Nano-SIM + Nano-SIM,"10.95 inches, 347.7 cm2(~79.9% screen-to-body ratio)",GSM 850 / 900 / 1800 / 1900,"GPS, GALILEO, GLONASS, BDS","2024, December 26",,10W wired,,https://fdn2.gsmarena.com/vv/bigpic/cubot-tab70.jpg,1080p@30fps,,Mali-G57 MP1,5.0,Yes,No,"Yes, with stereo speakers",Unisoc Tiger T616 (12 nm),microSDXC (uses shared SIM slot),,"USB Type-C, OTG",,"HSPA, LTE",,"800 x 1280 pixels, 16:10 ratio (~138 ppi density)",,,GSM / HSPA / LTE,,,Unspecified,IPS LCD,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,,Gray,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,Yes,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 41",257.6 x 169 x 8.1 mm (10.14 x 6.65 x 0.32 in),,,Cubot,"16 MP, AF2 MP, (macro)",128GB 6GB RAM,8 MP,"Accelerometer, gyro, compass",LED flash,Android 14,,,,8200 mAh,"Available. Released 2025, January 09"
IP68/IP69K dust/water resistant (up to 1.5m for 30 min)MIL-STD-810H compliant,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Cubot Tab KingKong 2,1055 g (2.33 lb),About 220 EUR,Nano-SIM + Nano-SIM,"10.95 inches, 347.7 cm2(~70.0% screen-to-body ratio)",GSM 850 / 900 / 1800 / 1900,"GPS, GALILEO, GLONASS, BDS","2024, December 01",,33W wired,,https://fdn2.gsmarena.com/vv/bigpic/cubot-tab-kingkong2.jpg,1080p@30fps,Panda Glass,Mali-G57 MC2,"5.2, A2DP, LE",1080p@30fps,No,"Yes, with stereo speakers",Mediatek Helio G99 (6 nm),microSDXC (uses shared SIM slot),,"USB Type-C, OTG",,"HSPA, LTE",,"1200 x 1920 pixels, 16:10 ratio (~207 ppi density)",,,GSM / HSPA / LTE,,,Unspecified,IPS LCD,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,,Black,HSDPA 800 / 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100,No,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66",273.8 x 181.4 x 16.8 mm (10.78 x 7.14 x 0.66 in),,,Cubot,"64 MP, PDAF",256GB 8GB RAM,32 MP,"Accelerometer, gyro, compass",LED flash,Android 14,,,,20400 mAh,"Available. Released 2024, December 01"
"Secondary touch display on the back: 1.46 inches, 360 x 360 pixels",Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Cubot A30,216 g (7.62 oz),,Nano-SIM + Nano-SIM,"6.75 inches, 110.0 cm2(~83.3% screen-to-body ratio)",GSM 850 / 900 / 1800 / 1900,"GPS, GALILEO, GLONASS, BDS",2024,,,,https://fdn2.gsmarena.com/vv/bigpic/cubot-a30.jpg,Yes,,Mali-G57 MP1,"5.0, A2DP, LE",Yes,No,Yes,Unisoc Tiger T616 (12 nm),microSDXC (uses shared SIM slot),,"USB Type-C, OTG",,"HSPA, LTE",,"720 x 1600 pixels, 20:9 ratio (~260 ppi density)",,,GSM / HSPA / LTE,,,Unspecified,"IPS LCD, 90Hz","Wi-Fi 802.11 a/b/g/n/ac, dual-band",,,"Gray, Pink",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,Yes,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 41",170.4 x 77.5 x 9.6 mm (6.71 x 3.05 x 0.38 in),,,Cubot,"48 MP, (wide), PDAFAuxiliary lens",128GB 6GB RAM,16 MP,"Accelerometer, proximity",LED flash,Android 14,,,,5100 mAh,Available. Released 2024
IP68/IP69K dust/water resistant (up to 1.5m for 30 min)MIL-STD-810H compliant,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Cubot KingKong Ace 2,283 g (9.98 oz),,Nano-SIM + Nano-SIM,"6.56 inches, 103.4 cm2(~72.7% screen-to-body ratio)",GSM 850 / 900 / 1800 / 1900,"GPS, GLONASS, GALILEO, BDS",2024,,18W wired,,https://fdn2.gsmarena.com/vv/bigpic/cubot-kk-ace2.jpg,Yes,,Mali-G52 MC2,"5.0, A2DP, LE",Yes,Yes,Yes,Mediatek Helio G85 (12 nm),microSDXC (uses shared SIM slot),,"USB Type-C, OTG",,"HSPA, LTE",,"720 x 1612 pixels, 20:9 ratio (~269 ppi density)",,,GSM / HSPA / LTE,,,Unspecified,"IPS LCD, 90Hz","Wi-Fi 802.11 a/b/g/n/ac, dual-band","48 MP, (wide), PDAF2 MP, (macro)Auxiliary lens",,"Black/Orange, Black/Green",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,Unspecified,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 41",173.9 x 81.8 x 12.7 mm (6.85 x 3.22 x 0.5 in),,,Cubot,16 MP,128GB 6GB RAM,,"Fingerprint (side-mounted), accelerometer, proximity, compass",LED flash,Android 14,,"Secondary touch display on the back: 1.32 inches, 360 x 360 pixels",,5100 mAh,Available. Released 2024
5 ATM waterproof,,Cubot GT1,92 g (3.25 oz),,No,1.43 inches,N/A,GPS (L1+L5),2024,,,,https://fdn2.gsmarena.com/vv/bigpic/cubot-gt1.jpg,,Panda Glass,,"5.3, A2DP",,No,Yes,,No,,No,,No,No,466 x 466 pixels (~461 ppi density),,Zinc alloy frame,No cellular connectivity,No,,No,TFT LCD,No,,,Black,N/A,No,N/A,53.9 x 51.9 x 13.2 mm (2.12 x 2.04 x 0.52 in),,,Cubot,,,,"Accelerometer, heart rate, SpO2, barometer, compass",,Proprietary OS,,No,,480 mAh,Available. Released 2024
IP68/IP69K dust/water resistant (up to 1.5m for 30 min)MIL-STD-810H compliant,Octa-core (1x3.1 GHz Cortex-A78 & 3x3.0 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Cubot KingKong X Pro,392 g (13.83 oz),$ 258.09,Nano-SIM + Nano-SIM,"6.72 inches, 109.0 cm2(~74.4% screen-to-body ratio)",GSM 850 / 900 / 1800 / 1900,"GPS (L1+L5), GALILEO, GLONASS, BDS","2024, November 01",,33W wired,"1, 2, 3, 5, 7, 8, 20, 25, 28, 38, 40, 41, 66, 77, 78 SA/NSA",https://fdn2.gsmarena.com/vv/bigpic/cubot-kingkong-x-pro.jpg,Yes,,Mali-G610 MC6,"5.3, A2DP, LE",Yes,Yes,Yes,Mediatek Dimensity 8200 (4 nm),microSDXC (uses shared SIM slot),,"USB Type-C, OTG",$ 264.70,"HSPA, LTE, 5G",,"1080 x 2400 pixels, 20:9 ratio (~392 ppi density)",,,GSM / HSPA / LTE / 5G,,,Unspecified,"IPS LCD, 144Hz","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band","100 MP, (wide), PDAF5 MP, (macro), AF",,Black,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,No,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66, 71",175.9 x 83.3 x 18.4 mm (6.93 x 3.28 x 0.72 in),$ 258.09,,Cubot,32 MP,"256GB 12GB RAM, 256GB 24GB RAM",,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",LED flash,Android 14,,"Secondary screen on the back, 1.85 inches",,10200 mAh,"Available. Released 2024, November"
IP68/IP69K dust/water resistant (up to 1.5m for 30 min)MIL-STD-810H compliantLED stripes on the back (music/notice/calls),,Cubot KingKong Power 3,425 g (14.99 oz),$ 179.39,Nano-SIM + Nano-SIM,"6.72 inches, 108.8 cm2(~75.0% screen-to-body ratio)",GSM 850 / 900 / 1800 / 1900,"GPS, GALILEO, GLONASS, BDS","2024, September",,33W wiredReverse wired,,https://fdn2.gsmarena.com/vv/bigpic/cubot-kingkong-power3.jpg,Yes,,,"5.2, A2DP",Yes,Yes,Yes (123-decibel),Mediatek MT8781,microSDXC (uses shared SIM slot),,"USB Type-C, OTG",$ 249.99,"HSPA, LTE",,"1080 x 2408 pixels, 20:9 ratio (~393 ppi density)",,,GSM / HSPA / LTE,,,Unspecified,"IPS LCD, 120Hz","Wi-Fi 802.11 a/b/g/n/ac, dual-band","100 MP, (wide), PDAF5 MP, (macro)",,Black,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,No,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 28, 38, 40, 41, 66",175.3 x 82.7 x 20 mm (6.90 x 3.26 x 0.79 in),,,Cubot,32 MP,256GB 12GB RAM,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",LED flash,Android 14,,,,10200 mAh,"Available. Released 2024, October"
IP68/IP69K dust/water resistant (up to 1.5m for 30 min)MIL-STD-810H compliant,Octa-core (1x3.1 GHz Cortex-A78 & 3x3.0 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Cubot KingKong Star 2,305 g (10.76 oz),$ 249.71,Nano-SIM + Nano-SIM,"6.72 inches, 109.0 cm2(~75.0% screen-to-body ratio)",GSM 850 / 900 / 1800 / 1900,"GPS (L1+L5), GALILEO, GLONASS, BDS","2024, September 30",,33W wired,"1, 2, 3, 5, 7, 8, , 20, 25, 28, 38, 40, 41, 66, 77, 78 SA/NSA",https://fdn2.gsmarena.com/vv/bigpic/cubot-kingkong-star2.jpg,Yes,Corning Gorilla Glass,Mali-G610 MC6,"5.3, A2DP, LE",Yes,Yes,Yes,Mediatek Dimensity 8200 (4 nm),microSDXC (uses shared SIM slot),,"USB Type-C, OTG",$ 249.71,"HSPA, LTE, 5G",,"1080 x 2400 pixels, 20:9 ratio (~392 ppi density)",,,GSM / HSPA / LTE / 5G,,,Unspecified,"IPS LCD, 144Hz, 1500 nits (peak)","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band","100 MP, (wide), PDAF5 MP, (macro), AF",,Black,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,No,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66, 71",177.7 x 81.8 x 13.5 mm (7.00 x 3.22 x 0.53 in),,,Cubot,32 MP,256GB 12GB RAM,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",LED flash,Android 14,,"Secondary screen on the back, 1.85 inches",,5100 mAh,"Available. Released 2024, October"
"Secondary display on the back: 1.83 inches, 240 x 284 pixels",Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Cubot A20,214 g (7.55 oz),,Nano-SIM + Nano-SIM,"6.75 inches, 110.0 cm2(~83.5% screen-to-body ratio)",GSM 850 / 900 / 1800 / 1900,"GPS, GALILEO, GLONASS, BDS","2024, September",,,,https://fdn2.gsmarena.com/vv/bigpic/cubot-a20.jpg,Yes,,Mali-G57 MP1,"5.0, A2DP, LE",Yes,No,Yes,Unisoc Tiger T616 (12 nm),microSDXC (uses shared SIM slot),,"USB Type-C, OTG",,"HSPA, LTE",,"720 x 1600 pixels, 20:9 ratio (~260 ppi density)",,,GSM / HSPA / LTE,,,Unspecified,"IPS LCD, 90Hz","Wi-Fi 802.11 a/b/g/n/ac, dual-band",,,"Black, Blue, Pink",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,Yes,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 41",169.4 x 77.8 x 9.6 mm (6.67 x 3.06 x 0.38 in),,,Cubot,"48 MP, (wide), PDAFAuxiliary lens",128GB 4GB RAM,16 MP,"Accelerometer, proximity",LED flash,Android 14,,,,5100 mAh,"Available. Released 2024, September"
1 ATM waterproof,,Cubot C29,42.1 g (1.48 oz),,No,1.52 inches,N/A,No,"2024, August",,,,https://fdn2.gsmarena.com/vv/bigpic/cubot-c29.jpg,,,,"5.3, A2DP",,No,Yes,,No,,No,,No,No,360 x 360 pixels (~335 ppi density),,"Zinc alloy/ Stainless steel frame, titanium bezel",No cellular connectivity,No,,No,TFT LCD,No,,,Black,N/A,No,N/A,51.9 x 49.5 x 13.4 mm (2.04 x 1.95 x 0.53 in),,,Cubot,,128Mb,,"Accelerometer, heart rate, SpO2, blood pressure",,Proprietary OS,,No,,410 mAh,"Available. Released 2024, August"
