Speed,,Loudspeaker,EDGE,GPRS,_4,Card slot,Features,CPU,Sensors,Model Image,512GB 12GB RAM,Type_1,OS,Dual,Bluetooth,SIM,Performance,2G bands,Internal,_1,Video_1,Positioning,Radio,Model Name,256GB 8GB RAM,Weight,5G bands,Video,Charging,Triple,Battery (old),3G bands,_2,Status,Loudspeaker_1,Quad,NFC,3.5mm jack,Single_1,WLAN,Price,Build,GPU,_3,4G bands,512GB 16GB RAM,Chipset,Resolution,Technology,Single,Announced,Brand,USB,Colors,Dimensions,Type,Size,Protection,Display
"HSPA, LTE, 5G",IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliant,Yes,,,,microSDXC (uses shared SIM slot),"LED flash, HDR, panorama",Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",https://fdn2.gsmarena.com/vv/bigpic/doogee-blade-gt.jpg,,5500 mAh,Android 14,"48 MP, f/1.8, (wide), PDAF, OIS5 MP, f/2.2, 120˚ (ultrawide)Auxiliary lens","5.2, A2DP, LE",Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,256GB 12GB RAM,,1080p@30fps,"GPS, GLONASS, GALILEO, BDS",FM radio,Doogee Blade GT,,260 g (9.17 oz),"1, 3, 7, 8, 28, 38, 41, 77, 78, 79 SA/NSA","4K@30fps, 1080p@30fps, gyro-EIS",18W wired,,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,"Available. Released 2025, January",,,Yes,No,,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",About 340 EUR,,Mali-G68 MC4,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 28, 66",,Mediatek Dimensity 7050 (6 nm),"1080 x 2400 pixels, 20:9 ratio (~392 ppi density)",GSM / HSPA / LTE / 5G,"20 MP, f/2.3, (wide)","2024, December",Doogee,USB Type-C 2.0,"Black, Silver",178.5 x 83.5 x 10.5 mm (7.03 x 3.29 x 0.41 in),"IPS LCD, 120Hz","6.72 inches, 109.0 cm2(~73.1% screen-to-body ratio)",,
"HSPA, LTE",IP68/IP69K dust/water resistant (up to 1.5m for 30 min)MIL-STD-810H compliantDedicated flashlight 120 lm,"Yes, with stereo speakers",,,,microSDXC (dedicated slot),"Dual-LED flash, HDR, panorama",Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",https://fdn2.gsmarena.com/vv/bigpic/doogee-fire6-power.jpg,,15500 mAh,Android 14,,"5.0, A2DP, LE",Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,256GB 8GB RAM,UFS,720p,"GPS, GLONASS, BDS, GALILEO",FM radio,Doogee Fire 6 Power,$ 259.99,-,,1080p,33W wired18W reverse wired,"50 MP, f/1.8, (wide), PDAF2 MP, f/2.4, (macro)",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,"Available. Released 2024, December",,,Yes,No,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",$ 169.99 / C$ 464.71 / £ 199.99 / € 229.99,,Mali-G57 MP1,,"1, 2, 3, 4, 5, 7, 8, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66",,Unisoc T606 (12 nm),"720 x 1612 pixels, 20:9 ratio (~269 ppi density)",GSM / HSPA / LTE,"8 MP, f/2.2, (wide)","2024, December",Doogee,"USB Type-C 2.0, OTG","Black, Green",174.1 x 81.2 x 20.7 mm (6.85 x 3.20 x 0.81 in),"IPS LCD, 90Hz","6.56 inches, 103.4 cm2(~73.1% screen-to-body ratio)",,
"HSPA, LTE",IP68/IP69K dust/water resistant (up to 1.5m for 30 min)MIL-STD-810H compliant,Yes,,,,microSDXC (dedicated slot),"Dual-LED flash, HDR, panorama",Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",https://fdn2.gsmarena.com/vv/bigpic/doogee-fire6.jpg,,10400 mAh,Android 14,,"5.0, A2DP, LE",Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,256GB 6GB RAM,UFS,720p,"GPS, GLONASS, BDS, GALILEO",FM radio,Doogee Fire 6,,-,,1080p,18W wiredReverse wired,"50 MP, f/1.8, (wide), PDAFThermal camera, 160x120 px, 12μm8 MP, f/2.2",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,"Available. Released 2024, December",,,No,No,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,,Mali-G57 MP1,,"1, 2, 3, 4, 5, 7, 8, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66",,Unisoc T606 (12 nm),"720 x 1612 pixels, 20:9 ratio (~269 ppi density)",GSM / HSPA / LTE,"8 MP, f/2.2, (wide)","2024, December",Doogee,"USB Type-C 2.0, OTG","Black, Blue",174 x 81.2 x 15.8 mm (6.85 x 3.20 x 0.62 in),"IPS LCD, 90Hz","6.56 inches, 103.4 cm2(~73.2% screen-to-body ratio)",,
"HSPA, LTE, 5G",IP68/IP69K dust/water resistant (up to 1.5m for 30 min)MIL-STD-810H compliant,Yes,,,,microSDXC (uses shared SIM slot),"Dual-LED flash, HDR, panorama",Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",https://fdn2.gsmarena.com/vv/bigpic/doogee-s200x.jpg,,10100 mAh,Android 14,,"5.2, A2DP, LE",Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,512GB 12GB RAM,"Secondary screen on the back:AMOLED, 1.32 inches, 466 x 466 pixels",1080p,"GPS, GLONASS, BDS, GALILEO",FM radio,Doogee S200X,,-,"1, 3, 7, 8, 28, 38, 41, 77, 78, 79 SA/NSA","4K, 1080p, gyro-EIS",33W wiredReverse wired,"100 MP, f/1.8, (wide), PDAF20 MP, f/1.8, (night vision), infrared night vision light2 MP, f/2.4, (macro)",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,"Available. Released 2024, December",,,Yes,No,,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",,,Mali-G68 MC4,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66",,Mediatek Dimensity 7050 (6 nm),"1080 x 2400 pixels, 20:9 ratio (~392 ppi density)",GSM / HSPA / LTE / 5G,"20 MP, f/2.2, (wide)","2024, December",Doogee,"USB Type-C 2.0, OTG","Black, Yellow, Green",179.5 x 82.5 x 16 mm (7.07 x 3.25 x 0.63 in),"IPS LCD, 120Hz","6.72 inches, 109.0 cm2(~73.6% screen-to-body ratio)",,
"HSPA, LTE, 5G",CDMA 800 / 1900,Yes,,,,microSDXC (dedicated slot),"LED flash, HDR, panorama",Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",https://fdn2.gsmarena.com/vv/bigpic/doogee-v40.jpg,,8680 mAh,Android 14,,"5.4, A2DP, LE",Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,512GB 12GB RAM,IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.8mMIL-STD-810H compliant,1080p@30fps,"GPS (L1+L5), GLONASS, GALILEO, BDS",FM radio,Doogee V40,,-,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 71, 77, 78, 79 SA/NSA","1080p@30fps, gyro-EIS",33W wiredReverse wired,"108 MP, f/1.9, (wide), 1/1.67"", PDAF20 MP, f/1.8, (night vision), 1/2.78"", 2 infrared night vision lights8 MP, f/2.2, 119˚ (ultrawide), 1/4.0""",,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,,"Available. Released 2024, December",,,Yes,Unspecified,,"Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band",,,Mali-G615 MC2,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66, 71",,Mediatek Dimensity 7300 (4 nm),1080 x 2460 pixels (~396 ppi density),GSM / CDMA / HSPA / LTE / 5G,"16 MP, f/2.4, (wide)","2024, December",Doogee,"USB Type-C 2.0, OTG","Blue, Black/Red",183.4 x 83.7 x 15.5 mm (7.22 x 3.30 x 0.61 in),"IPS LCD, 120Hz","6.78 inches, 109.2 cm2(~71.1% screen-to-body ratio)",,
"HSPA, LTE, 5G",CDMA 800 / 1900,Yes,,,,microSDXC (dedicated slot),"Dual-LED flash, HDR, panorama",Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",https://fdn2.gsmarena.com/vv/bigpic/doogee-v40-pro.jpg,,8680 mAh,Android 14,,"5.2, A2DP, LE",Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,512GB 16GB RAM,IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.8mMIL-STD-810H compliant,1080p@30fps,"GPS (L1+L5), GLONASS, GALILEO, BDS",Unspecified,Doogee V40 Pro,,-,SA/NSA,"4K@30fps, 1080p@30fps, gyro-EIS",33W wiredReverse wired,,,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,*The display resolution is not officially confirmedSecondary screen on the back:1.47 inches,"Available. Released 2024, October 25",,"200 MP, f/2.0, (wide), 1/1.47"", PDAF8 MP, f/2.4, 80mm (telephoto), 1/4.4""20 MP, f/1.8, (night vision), 1/2.78"", 2 infrared night vision lights8 MP, f/2.2, 119˚ (ultrawide), 1/4.0""",Yes,Unspecified,,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",$ 320.83 / £ 429.99 / € 499.99,,Mali-G615 MC2,,LTE,$ 549.99,Mediatek Dimensity 7300 (4 nm),1080 x 2460 pixels* (~396 ppi density),GSM / CDMA / HSPA / LTE / 5G,"32 MP, f/1.8, (wide), 1/2.7""","2024, October 07",Doogee,"USB Type-C 2.0, OTG","Blue, Silver",-,"IPS LCD, 120Hz","6.78 inches, 109.2 cm2",Corning Gorilla Glass,
"HSPA, LTE",Stylus support,"Yes, with stereo speakers (4 speakers)",,,,microSDXC (uses shared SIM slot),LED flash,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"Accelerometer, proximity",https://fdn2.gsmarena.com/vv/bigpic/doogee-t40-pro.jpg,,10800 mAh,Android 14,,"5.0, A2DP, LE",Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,512GB 8GB RAM,UFS,1080p@30fps,"GPS, GLONASS, GALILEO, BDS",FM radio,Doogee T40 Pro,,568 g (1.25 lb),,"1440p@30fps, 1080p@30fps",18W wiredReverse wired,,,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,24-bit/192kHz Hi-Res audio,"Available. Released 2024, September",,,No,Yes,8 MP,Yes,About 340 EUR,"Glass front, aluminum alloy frame, aluminum alloy back",Mali-G57 MC2,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66",,Mediatek Helio G99 (6 nm),"1200 x 2000 pixels, 5:3 ratio (~194 ppi density)",GSM / HSPA / LTE,16 MP,"2024, September",Doogee,"USB Type-C 2.0, OTG, accessory connector","Black, Gray, Blue",278.8 x 174.3 x 7.6 mm (10.98 x 6.86 x 0.30 in),IPS LCD,"12.0 inches, 409.9 cm2(~84.3% screen-to-body ratio)",,
"HSPA, LTE",Stylus support,"Yes, with stereo speakers (4 speakers)",,,,microSDXC (uses shared SIM slot),LED flash,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"Accelerometer, proximity",https://fdn2.gsmarena.com/vv/bigpic/doogee-t40.jpg,,8580 mAh,Android 14,,"5.0, A2DP, LE",Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,512GB 8GB RAM,UFS,1080p@30fps,"GPS, GLONASS, GALILEO, BDS",FM radio,Doogee T40,,530 g (1.17 lb),,"1440p@30fps, 1080p@30fps",18W wiredReverse wired,,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,24-bit/192kHz Hi-Res audio,"Available. Released 2024, September",,,No,Yes,8 MP,Yes,About 320 EUR,"Glass front, aluminum alloy frame, aluminum alloy back",Mali-G57 MC2,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66",,Mediatek Helio G99 (6 nm),"1600 x 2560 pixels, 16:10 ratio (~274 ppi density)",GSM / HSPA / LTE,16 MP,"2024, September",Doogee,"USB Type-C 2.0, OTG, accessory connector","Black, Gray, Blue",256.5 x 168 x 7.6 mm (10.10 x 6.61 x 0.30 in),IPS LCD,"11.0 inches, 350.9 cm2(~81.4% screen-to-body ratio)",,
"HSPA, LTE, 5G",CDMA 800 / 1900,"Yes, with stereo speakers",,,,microSDXC (uses shared SIM slot),"Dual-LED flash, HDR, panorama",Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",https://fdn2.gsmarena.com/vv/bigpic/doogee-v-max-pro.jpg,$ 469.99,22000 mAh,Android 14,,"5.2, A2DP, LE",Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,512GB 12GB RAM,IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliant,"1440p, 1080p","GPS (L1+L5), GLONASS, GALILEO, BDS",FM radio,Doogee V Max Pro,,536 g (1.18 lb),"1, 3, 7, 28, 38, 41, 77, 78, 79 SA/NSA","4K@30fps, 1080p@30fps",33W wiredReverse wired,"108 MP, f/1.8, (wide), 1/1.52"", 0.7µm, PDAF20 MP, f/1.8, (night vision), 2 infrared night vision lights8 MP, f/2.2, (ultrawide)",,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,UFS 3.1,"Available. Released 2024, October 20",,,Yes (market/region dependent),No,,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",$ 327.98 / £ 399.99,,Mali-G68 MC4,24-bit/192kHz Hi-Res audio,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66",,Mediatek Dimensity 7050 (6 nm),"1080 x 2408 pixels, 20:9 ratio (~401 ppi density)",GSM / CDMA / HSPA / LTE / 5G,16 MP,"2024, September 19",Doogee,"USB Type-C 2.0, OTG","Black, Gray",178.5 x 83.1 x 26.3 mm (7.03 x 3.27 x 1.04 in),"IPS LCD, 120Hz","6.58 inches, 104.3 cm2(~70.3% screen-to-body ratio)",Corning Gorilla Glass 5,
"HSPA, LTE",,Yes,,,,microSDXC (uses shared SIM slot),"Dual-LED flash, HDR, panorama",Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),"Accelerometer, proximity, compass",https://fdn2.gsmarena.com/vv/bigpic/doogee-n55-plus.jpg,,5150 mAh,Android 14,,"5.0, A2DP, LE",Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,128GB 8GB RAM,,720p@30fps,"GPS, GLONASS, BDS, GALILEO",FM radio,Doogee N55 Plus,,186 g (6.56 oz),,1080p@30fps,10W wired,,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,"Available. Released 2024, June",,,No,Yes,"8 MP, f/2.2, (wide)","Wi-Fi 802.11 a/b/g/n/ac, dual-band",,,Mali-G57 MP1,,"1, 2, 3, 4, 5, 7, 8, 18, 19, 20, 25, 26, 28, 38, 40, 41, 66",,Unisoc T606 (12 nm),"720 x 1612 pixels, 20:9 ratio (~269 ppi density)",GSM / HSPA / LTE,"13 MP, f/2.2, (wide), AF","2024, May",Doogee,"USB Type-C 2.0, OTG","Phantom Black, Lightweave Silver",163.8 x 75.8 x 8.6 mm (6.45 x 2.98 x 0.34 in),"IPS LCD, 90Hz, 350 nits","6.56 inches, 103.4 cm2(~83.3% screen-to-body ratio)",,
