,Loudspeaker,Speed,EDGE,GPRS,Card slot,CPU,Sensors,Model Image,Type_1,Talk time,Bluetooth,SIM,2G bands,Internal,_1,Positioning,Radio,Phonebook,Games,Model Name,Weight,Video,Messaging,3G bands,Call records,Status,_2,NFC,3.5mm jack,WLAN,GPU,Chipset,Resolution,Technology,Single,Announced,Brand,USB,Colors,Java,Dimensions,Stand-by,Type,Size
Flashlight,Yes,,No,No,microSD (dedicated slot),360 MHz,,https://fdn2.gsmarena.com/vv/bigpic/emporia-emporiaGLAM.jpg,"Li-Ion 1020 mAh, removable",Up to 4 h,No,Mini-SIM,GSM 900 / 1800,8MB 4MB RAM,No,No,No,Yes,No,Emporia Glam,-,,SMS,,Yes,Discontinued,,No,Yes,No,No,Mediatek MT6260A,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",GSM,2 MP,"2014, March. Released 2014, June",Emporia,,Black,No,104 x 52 x 17 mm (4.09 x 2.05 x 0.67 in),Up to 320 h,TFT,"2.4 inches, 17.8 cm2(~33.0% screen-to-body ratio)"
No,Yes,,No,No,No,360 MHz,,https://fdn2.gsmarena.com/vv/bigpic/emporia-flip-f210.jpg,"Li-Ion 1020 mAh, removable",Up to 3 h 40 min,No,Mini-SIM,GSM 900 / 1800,16MB 32MB RAM,,No,No,Yes,No,Emporia Flip Basic,82 g (2.89 oz),,SMS,,Yes,Discontinued,,No,Yes,No,No,Mediatek MT6260M,176 x 220 pixels (~117 ppi density),GSM,,"2014, March. Released 2014, March",Emporia,No,Black,No,96 x 49 x 17 mm (3.78 x 1.93 x 0.67 in),Up to 360 h,TFT,"2.4 inches, 18.1 cm2(~38.5% screen-to-body ratio)"
Flashlight,Yes,,No,No,No,360 MHz,,https://fdn2.gsmarena.com/vv/bigpic/emporia-eco-c160.jpg,"Li-Ion 1020 mAh, removable",Up to 4 h 45 min,No,Mini-SIM,GSM 900 / 1800,16MB 32MB RAM,No,No,FM radio,Yes,No,Emporia Eco,70 g (2.47 oz),No,SMS,,Yes,Discontinued,,No,Yes,No,No,Mediatek MT6260M,176 x 220 pixels (~128 ppi density),GSM,VGA,2014,Emporia,miniUSB,Black,No,124 x 48 x 12.5 mm (4.88 x 1.89 x 0.49 in),Up to 310 h,TFT,"2.2 inches, 15.2 cm2(~25.6% screen-to-body ratio)"
Flashlight,Yes,HSPA,,,No,,,https://fdn2.gsmarena.com/vv/bigpic/emporia-click-plus.jpg,"Li-Ion 1000 mAh, removable",Up to 4 h,2.0,Mini-SIM,GSM 900 / 1800,20MB 64MB RAM,No,A-GPS only,No,"Yes, Photocall",No,Emporia Click Plus,110 g (3.88 oz),Yes,"SMS, MMS",HSDPA 900 / 2100,Yes,Discontinued,,No,Yes,No,,Qualcomm QSC6240,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",GSM / HSPA,2 MP,2014,Emporia,No,White,No,105 x 51 x 18.5 mm (4.13 x 2.01 x 0.73 in),Up to 320 h,TFT,"2.4 inches, 17.8 cm2(~33.3% screen-to-body ratio)"
GSM 850 / 1900 - US model,Yes,,No,No,No,,,https://fdn2.gsmarena.com/vv/bigpic/emporia-essence.jpg,"Li-Ion 1000 mAh, removable",Up to 4 h,2.0,Mini-SIM,GSM 900 / 1800 - RL2 model,0.3MB 2MB RAM,Flashlight,No,FM radio,100 entries,No,Emporia Essence Plus,74 g (2.61 oz),,SMS,,Yes,Discontinued,No,No,Yes,No,,Infineon PMB7880,128 x 160 pixels (~114 ppi density),GSM,,2012,Emporia,No,Silver,No,107 x 51 x 12 mm (4.21 x 2.01 x 0.47 in),Up to 400 h,TFT,"1.8 inches, 10.2 cm2(~18.7% screen-to-body ratio)"
IP67 dust/water resistant (up to 1m for 30 min)MIL-STD-810F compliantFlashlight,Yes,,No,No,No,,,https://fdn2.gsmarena.com/vv/bigpic/emporia-emporiaSOLIDplus.jpg,"Li-Ion 1750 mAh, removable",Up to 5 h,2.0,Mini-SIM,GSM 900 / 1800,0.5MB 4MB RAM,No,GPS,No,Yes,No,Emporia Solid Plus,142 g (5.01 oz),,SMS,,Yes,Discontinued,,No,Yes,No,No,Mediatek MT6223,128 x 160 pixels (~114 ppi density),GSM,,2013,Emporia,No,"White, Yellow",No,119 x 60 x 18 mm (4.69 x 2.36 x 0.71 in),Up to 400 h,TFT,"1.8 inches, 10.2 cm2(~14.3% screen-to-body ratio)"
Flashlight,Yes,,No,No,No,,,https://fdn2.gsmarena.com/vv/bigpic/emporia-emporiaCAREplus.jpg,"Li-Ion 1750 mAh, removable",Up to 6 h,2.0,Mini-SIM,GSM 900 / 1800,0.5MB 4MB RAM,No,GPS,FM radio,500 entries,No,Emporia Care Plus,103 g (3.63 oz),,SMS,,Yes,Discontinued,,No,Yes,No,No,Mediatek MT6223,176 x 220 pixels (~128 ppi density),GSM,,2013,Emporia,No,Black,No,122 x 55 x 18 mm (4.80 x 2.17 x 0.71 in),Up to 300 h,TFT,"2.2 inches, 15.2 cm2(~22.7% screen-to-body ratio)"
Flashlight,Yes,,No,No,No,,,https://fdn2.gsmarena.com/vv/bigpic/emporia-emporiaELEGANCEplus.jpg,"Li-Ion 1100 mAh, removable",Up to 4 h,2.0,Mini-SIM,GSM 900 / 1800,0.3MB 2MB RAM,No,No,FM radio,100 entries,No,Emporia Elegance Plus,92 g (3.25 oz),,SMS,,Yes,Discontinued,,No,Yes,No,,Infineon PMB7880,128 x 160 pixels (~114 ppi density),GSM,,2012,Emporia,No,Black,No,109 x 50 x 14 mm (4.29 x 1.97 x 0.55 in),Up to 300 h,TFT,"1.8 inches, 10.2 cm2(~18.7% screen-to-body ratio)"
Flashlight,Yes,,No,No,No,,,https://fdn2.gsmarena.com/vv/bigpic/emporia-emporiaELEGANCE-V35.jpg,"Li-Ion 1100 mAh, removable",Up to 4 h,2.0,Mini-SIM,GSM 900 / 1800,0.3MB 2MB RAM,No,No,FM radio,100 entries,No,Emporia Elegance,92 g (3.25 oz),,SMS,,Yes,Discontinued,,No,Yes,No,,Infineon PMB7880,128 x 160 pixels (~114 ppi density),GSM,,2012,Emporia,No,"Black, White, Brown",No,109 x 50 x 14 mm (4.29 x 1.97 x 0.55 in),Up to 300 h,TFT,"1.8 inches, 10.2 cm2(~18.7% screen-to-body ratio)"
Flashlight,Yes,"Yes, 384 kbps",,,microSD (dedicated slot),,,https://fdn2.gsmarena.com/vv/bigpic/emporia-emporiaCONNECT.jpg,"Li-Ion 1150 mAh, removable",Up to 6 h,2.1,Mini-SIM,GSM 900 / 1800,20MB 64MB RAM,No,A-GPS only,No,"1500 entries, Photocall",No,Emporia Connect,110 g (3.88 oz),,"SMS, MMS",UMTS 900 / 2100,Yes,Discontinued,Organizer,No,Yes,No,,Qualcomm QSC6270,"240 x 400 pixels, 5:3 ratio (~167 ppi density)",GSM / UMTS,2 MP,2012,Emporia,miniUSB,Black,No,108 x 53 x 20 mm (4.25 x 2.09 x 0.79 in),Up to 170 h,TFT,"2.8 inches, 22.3 cm2(~39.0% screen-to-body ratio)"
Flashlight,Yes,,No,Yes,No,360 MHz,,https://fdn2.gsmarena.com/vv/bigpic/emporia-emporiaclick.jpg,"Li-Ion 1000 mAh, removable",Up to 4 h,2.1,Mini-SIM,GSM 900 / 1800,2MB 64MB RAM,VGA,No,No,"500 entries, Photocall",No,Emporia Click,110 g (3.88 oz),,"SMS, MMS",,Yes,Discontinued,,No,Yes,No,No,Mediatek MT6223 (09A)/ MT6260,176 x 220 pixels (~128 ppi density),GSM,,2011,Emporia,No,Black,No,105 x 51 x 18.5 mm (4.13 x 2.01 x 0.73 in),Up to 320 h,TFT,"2.2 inches, 15.2 cm2(~28.4% screen-to-body ratio)"
Flashlight,Yes,,No,No,No,,,https://fdn2.gsmarena.com/vv/bigpic/emporia-emporiaTALKcomfortplus.jpg,"Li-Ion 1000 mAh, removable",Up to 4 h,No,Mini-SIM,GSM 900 / 1800,0.4MB 4MB RAM,No,No,No,Yes,No,Emporia Talk Comfort Plus,90 g (3.17 oz),,SMS,,Yes,Discontinued,,No,Yes,No,,Infineon PMB7900 (ULC3),"64 x 128 pixels, 18:9 ratio (~75 ppi density)",GSM,,2013,Emporia,No,Black/Silver,No,114.5 x 56 x 16 mm (4.51 x 2.20 x 0.63 in),Up to 200 h,FSTN,"1.9 inches, 9.3 cm2(~14.5% screen-to-body ratio)"
GSM 850 / 1900,Yes,,No,No,No,,,https://fdn2.gsmarena.com/vv/bigpic/emporia-emporiaTALKcomfort.jpg,"Li-Ion 1000 mAh, removable",Up to 4 h,No,Mini-SIM,GSM 900 / 1800,,Flashlight,No,No,250 entries,No,Emporia Talk Comfort,80 g (2.82 oz),,SMS,,Yes,Discontinued,No,No,Yes,No,,,"64 x 128 pixels, 18:9 ratio (~80 ppi density)",GSM,,2011,Emporia,No,Black/Silver,No,114 x 55 x 15.5 mm (4.49 x 2.17 x 0.61 in),Up to 200 h,FSTN,"1.8 inches, 8.4 cm2(~13.3% screen-to-body ratio)"
Flashlight,Yes,,No,No,No,,,https://fdn2.gsmarena.com/vv/bigpic/emporia-emporia-rl1.jpg,"Li-Ion 800 mAh, removable",Up to 3 h,No,Mini-SIM,GSM 900 / 1800,8MB,No,No,No,100 entries,No,Emporia RL1,92 g (3.25 oz),,SMS,,Yes,Discontinued,,No,Yes,No,,,128 x 160 pixels (~114 ppi density),GSM,,2011,Emporia,No,Black,No,109 x 50 x 14 mm (4.29 x 1.97 x 0.55 in),Up to 200 h,OLED,"1.8 inches, 10.2 cm2(~18.7% screen-to-body ratio)"
GSM 850 / 1900,Yes,,No,No,No,,,https://fdn2.gsmarena.com/vv/bigpic/emporia-emporiaTALKpremium1.jpg,"Li-Ion 1200 mAh, removable",Up to 3 h,No,Mini-SIM,GSM 900 / 1800,,Flashlight,No,No,100 entries,No,Emporia Talk Premium,110 g (3.88 oz),,SMS,,Yes,Discontinued,No,No,Yes,No,,,"64 x 128 pixels, 18:9 ratio (~72 ppi density)",GSM,,2010,Emporia,No,Black/Silver,No,121 x 57 x 15 mm (4.76 x 2.24 x 0.59 in),Up to 200 h,FSTN,"2.0 inches, 10.3 cm2(~15.0% screen-to-body ratio)"
