,Alarm,Card slot,Clock,Games,Dimensions,Bluetooth,2G bands,Talk time,Alert types,Positioning,Infrared port,Loudspeaker,Stand-by_1,_4,Messaging,Phonebook,EDGE,Radio,_3,Type,Weight,Sensors,Size,Colors,Call records,Type_1,Browser,Technology,WLAN,Model Name,Model Image,Stand-by,Talk time_1,Announced,_2,_1,USB,Resolution,Brand,Java,3.5mm jack,Languages,Status,GPRS,SIM,SAR EU
LCD illuminates in 3  coloursBackground pictures,Yes,No,Yes,"4 - Erix, Catcher, Pathy and Ripple",105 x 45 x 20 mm (4.13 x 1.77 x 0.79 in),No,GSM 900 / 1800,2 h - 4 h,"Vibration; Downloadable monophonic ringtones, composer",No,,No,,,"SMS, EMS",200,No,No,,Grayscale graphic,82 g (2.89 oz),,,"2 - Ice Blue, Luminous Champagne","10 received, dialed and missed calls",Removable Li-Ion (BST-20),WAP 1.2.1,GSM,No,Ericsson R600,https://fdn2.gsmarena.com/vv/bigpic/err600.gif,90 h - 150 h,,"2001, Q4",SMS chatPredictive text inputOrganizerProfiles,No,,5 lines,Ericsson,No,No,,Discontinued,Yes,Mini-SIM,0.89 W/kg (head)
Joystick navigationImage handling,Yes,No,Yes,"6 - Erix, Ripple, Tetris, Game, Q, Solitaire",101 x 48 x 19.5 mm (3.98 x 1.89 x 0.77 in),1.0b,GSM 900 / 1800 / 1900,up to 11 h,"Vibration; Downloadable monophonic ringtones, composer",No,Yes,No,up to 29 days,Predictive text inputOrganizerVoice dialingVoice answeringProfiles,"SMS, EMS, MMS, Email",500 x 8 fields,No,No,Ringtones can be assigned to contacts,"CSTN, 256 colors",84 g (2.96 oz),,,"2 - Zirocñan Gold, Lunar Grey","10 dialed, 10 received, 10 missed calls",Removable Li-Ion battery (BST-14),WAP 1.2.1,GSM,No,Ericsson T68,https://fdn2.gsmarena.com/vv/bigpic/ert68.gif,up to 300 h,up to 25 h,"2001, Q4",No,100 sec voice memo300 calendar events,,101 x 80 pixels,Ericsson,No,No,,Discontinued,Yes,Mini-SIM,
No,Yes,No,Yes,,92 x 41 x 17.5 mm (3.62 x 1.61 x 0.69 in),No,GSM 900 / 1800 / 1900,2 h - 5 h,"Vibration; Downloadable monophonic ringtones, composer",No,,No,,,"SMS, EMS",,No,No,,Monochrome graphic,59 g (2.08 oz),,,"2 - Purple Passion, Silver Supreme","10 received, dialed and missed calls",Removable NiMH battery,WAP 1.2.1,GSM,No,Ericsson T66,https://fdn2.gsmarena.com/vv/bigpic/ert66.gif,150 h,,"2001, Q4",,SMS chatPredictive text inputOrganizerProfiles,,5 lines,Ericsson,No,No,,Discontinued,No,Mini-SIM,
Background pictures,Yes,No,Yes,Yes,105 x 49 x 21 mm (4.13 x 1.93 x 0.83 in),No,GSM 900 / 1800,2.5 h - 11 h,"Vibration; Downloadable monophonic ringtones, composer",No,,No,,,"SMS, Email, EMS",300 x 11 fields,No,No,,Grayscale graphic,94 g (3.32 oz),,,"3 - Cosmic Blue, Stardust Yellow, Polar Blue","30 received, dialed and missed calls",Removable Li-Ion battery,WAP 1.2.1,GSM,No,Ericsson T65,https://fdn2.gsmarena.com/vv/bigpic/ert65.gif,160 h - 300 h,,"2001, Q4",SMS chatPredictive text inputOrganizerProfiles,No,,"6 lines, 101 x 67 pixels",Ericsson,No,No,,Discontinued,Yes,Mini-SIM,
No,Yes,No,Yes,Yes,96 x 50 x 18 mm (3.78 x 1.97 x 0.71 in),1.0b,GSM 900 / 1800 / 1900,up to 11 h,"Vibration; Downloadable monophonic ringtones, composer",No,Yes,No,up to 29 days,,"SMS, Email",510,No,No,,Grayscale graphic,86 g (3.03 oz),,,"3 - Classic Blue, Icecap Blue, Rose White","10 received, dialed and missed calls",Removable NiMH battery,WAP 1.2.1,GSM,No,Ericsson T39,https://fdn2.gsmarena.com/vv/bigpic/ert39.gif,up to 300 h,up to 25 h,2001,,Predictive text inputOrganizerVoice dialingVoice answeringProfilesHelptexts and shortcutsActive flip,,"101 x 54 pixels, 4 lines, 17:9 ratio",Ericsson,No,No,37,Discontinued,Yes,Mini-SIM,
"4 background colors (red, green, blue and yellow)2 screensaversStart-up/Shut-down shows",Yes,No,Yes,"3 - Tetris, Erix, Pulldown",111 x 47 x 22 mm (4.37 x 1.85 x 0.87 in),No,GSM 900 / 1800,2.5 - 4 h,"Vibration; Monophonic ringtones, composer",No,,No,,,SMS,99,No,No,Predictive text inputStopwatchProfilesOrganizer,Monochrome graphic,86 g (3.03 oz),,,"2 - Icy Silver, Graphite Silver","20 received, dialed and missed calls",Removable NiMH battery,,GSM,No,Ericsson A3618,https://fdn2.gsmarena.com/vv/bigpic/era3618.gif,90 - 155 h,,"2001, Q3",No,10 SMS templates,,4 lines,Ericsson,No,No,4,Discontinued,No,Mini-SIM,
No,Yes,No,Yes,5,101 x 49 x 20 mm (3.98 x 1.93 x 0.79 in),No,GSM 900 / 1800,7 h,"Vibration; Downloadable monophonic ringtones, composer",No,,No,,,"SMS, EMS",200,No,No,,Grayscale graphic,95 g (3.35 oz),,,2 - Amethyst Purple and Sapphire Blue,"10 received, dialed and missed calls",Removable NiMH battery,WAP 1.1,GSM,No,Ericsson T29s,https://fdn2.gsmarena.com/vv/bigpic/ert29.gif,150 h,,"2001, February",,Predictive text inputVoice dialingVoice answeringProfiles]Helptexts and shortcutsActive flip,,"101 x 33 pixels, 3 x 12 chars",Ericsson,No,No,English + many Asian,Discontinued,No,Mini-SIM,
No,Yes,No,Yes,,130 x 50 x 16 mm (5.12 x 1.97 x 0.63 in),1.0b,GSM 900 / 1800 / 1900,7 h 30 min,Vibration; Downloadable monophonic ringtones,No,Yes,No,,,"SMS, Email",500+,No,No,,Monochrome graphic,105 g (3.70 oz),,,,,Removable NiMH battery,WAP 1.2,GSM,No,Ericsson R520m,https://fdn2.gsmarena.com/vv/bigpic/err520m.gif,200 h,,Q2 2001 ?,,Predictive text inputCode memoVoice dialVoice answerVoice memoCalculatorSpeaker with proximity switch,,5 lines,Ericsson,No,No,,Discontinued,Yes,Mini-SIM,
SMS Templates,Yes,No,Yes,5,101 x 54 x 28 mm (3.98 x 2.13 x 1.10 in),No,GSM 900 / 1800,10 h,"Vibration; Downloadable monophonic ringtones, composer",No,,No,,,SMS,,No,No,,Monochrome graphic,128 g (4.52 oz),,,"5 - Purple Wild, Blue Whirl, Lime Twist, Silver Weave, Beige Harmony","10 received, dialed and missed calls",Removable NiMH battery,WAP with added security,GSM,No,Ericsson T20e,https://fdn2.gsmarena.com/vv/bigpic/ert20e.gif,200 h,,2001,Mobile chatSwatch Internet TimeVoice dialVoice answerCalculatorStopwatchPictures and sound in SMSStart-up shut-down showsProfilesActive flip,No,,"101 x 33 pixels, 3 x 12 chars",Ericsson,No,No,24,Discontinued,No,Mini-SIM,
Start-up/Shut-down shows,Yes,No,Yes,"3 - Tetris, Erix, Labirinth",131 x 51 x 25 mm (5.16 x 2.01 x 0.98 in),No,GSM 900 / 1800,6 h,Monophonic ringtones,No,,No,235 h,,SMS,99,No,No,Voice dialVoice answerCustom picturesStopwatchProfilesCalculatorSnap-On Covers,Monochrome graphic,140 g (4.94 oz),,,"4 - Astral Blue, Pistachio Yellow, Green Pepper, Celestial black","30 received, dialed and missed calls",Removable NiMH battery,WAP 1.1,GSM,No,Ericsson A2628,https://fdn2.gsmarena.com/vv/bigpic/era2628.gif,125 h,11 h,2001,No,SMS templates,,4 lines,Ericsson,No,No,,Discontinued,No,Mini-SIM,
