,Card slot,Dimensions,Bluetooth,2G bands,Talk time,Alert types,Positioning,Infrared port,Loudspeaker,EDGE,Radio,OS,Speed,Type,Weight,Sensors,Internal,Size,Colors,Single_1,Type_1,Browser,Technology,3G bands,WLAN,Model Name,Model Image,Features,Keyboard,Stand-by,Announced,_2,Video,_1,USB,Price,CPU,Resolution,Brand,3.5mm jack,Single,Video_1,Status,GPRS,SIM
Handwriting recognition,microSD (dedicated slot),107 x 58 x 15 mm (4.21 x 2.28 x 0.59 in),2.0,GSM 850 / 900 / 1800 / 1900,,"Vibration; Downloadable polyphonic, MP3 ringtones","GPS, SiRF Star III chipset",,Yes,Class 10,No,Microsoft Windows Mobile 6.1 Professional,,"TFT resistive touchscreen, 65K colors",136 g (4.80 oz),,"64MB RAM, 128MB ROM","2.8 inches, 24.3 cm2(~39.1% screen-to-body ratio)",Black,,Removable Li-Ion battery,HTML (PocketIE),GSM,,Wi-Fi 802.11 b/g,Eten glofiish X610,https://fdn2.gsmarena.com/vv/bigpic/eten-x610.jpg,LED flash,,,"2008, June. Released 2008, December",Pocket OfficeWindows MPlayer 10Direct push technologyOrganizerVoice memo,Yes,No,miniUSB,About 200 EUR,Samsung S3C2442 400 MHz,"320 x 240 pixels, 4:3 ratio (~143 ppi density)",Eten,No,2 MP,,Discontinued,Class 10,Mini-SIM
Handwriting recognition,microSDHC (dedicated slot),106 x 60.5 x 17 mm (4.17 x 2.38 x 0.67 in),2.0,GSM 850 / 900 / 1800 / 1900,,"Vibration, MP3 ringtones","GPS, SiRF Star III chipset",,Yes,,FM radio,Microsoft Windows Mobile 6.1 Professional,HSPA 3.6/0.384 Mbps,"TFT resistive touchscreen, 65K colors",147 g (5.19 oz),,"128MB RAM, 256MB ROM","2.8 inches, 24.3 cm2(~37.9% screen-to-body ratio)",Black,VGA videocall camera,Removable Li-Ion 1530 mAh battery,HTML (PocketIE),GSM / HSPA,HSDPA 850 / 1900 / 2100,Wi-Fi 802.11 b/g,Eten glofiish V900,https://fdn2.gsmarena.com/vv/bigpic/eten-v900.jpg,LED flash,,,"2008, June. Released 2008, December",,Yes,DVB-H/DVB-T/T-DMB/DAB TV broadcast receiverMP3/WMA/WAV/eAAC+ playerMP4/H.263/WMV playerPocket OfficeOrganizerTV-outVoice memoPredictive text input,miniUSB 1.1,About 590 EUR,Samsung 667 MHz,"480 x 640 pixels, 4:3 ratio (~286 ppi density)",Eten,No,"3.15 MP, AF",,Discontinued,,Mini-SIM
Handwriting recognition,microSD (dedicated slot),106 x 60.5 x 17 mm (4.17 x 2.38 x 0.67 in),2.0,GSM 850 / 900 / 1800 / 1900,,"Vibration; Downloadable polyphonic, MP3 ringtones","GPS, SiRF Star III chipset",,Yes,,No,Microsoft Windows Mobile 6.1 Professional,HSPA 3.6/0.384 Mbps,"TFT resistive touchscreen, 65K colors",147 g (5.19 oz),,"128MB RAM, 256MB ROM","2.8 inches, 24.3 cm2(~37.9% screen-to-body ratio)",Black,VGA videocall camera,Removable Li-Ion battery,HTML (PocketIE),GSM / HSPA,HSDPA 850 / 1900 / 2100,Wi-Fi 802.11 b/g,Eten glofiish X900,https://fdn2.gsmarena.com/vv/bigpic/eten-x900.jpg,,,,"2008, June. Released 2008",,Yes,TV-outPocket OfficeWindows MPlayer 10OrganizerVoice memo,Proprietary,About 350 EUR,Samsung S3C 6400 533 MHz,"480 x 640 pixels, 4:3 ratio (~286 ppi density)",Eten,No,"3.15 MP, AF",,Discontinued,,Mini-SIM
GSM 900 / 1800 / 1900 - SIM 2,microSD (dedicated slot),106 x 60.5 x 17 mm (4.17 x 2.38 x 0.67 in),2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1,,"Vibration; Downloadable polyphonic, MP3 ringtones","GPS, SiRF Star III chipset",,Yes,,No,Microsoft Windows Mobile 6.1 Professional,HSPA 3.6/0.384 Mbps,"TFT resistive touchscreen, 65K colors",147 g (5.19 oz),,"128MB RAM, 256MB ROM","2.8 inches, 24.3 cm2(~37.9% screen-to-body ratio)",Black,VGA videocall camera,Removable Li-Ion battery,HTML (PocketIE),GSM / HSPA,HSDPA 850 / 1900 / 2100 - SIM 1,Wi-Fi 802.11 b/g,Eten glofiish DX900,https://fdn2.gsmarena.com/vv/bigpic/eten-dx900.jpg,,,,"2008, June. Released 2008, December",TV-outPocket OfficeWindows MPlayer 10OrganizerVoice memo,Yes,Handwriting recognition,Proprietary,About 320 EUR,Samsung S3C 6400 533 MHz,"480 x 640 pixels, 4:3 ratio (~286 ppi density)",Eten,No,"3.15 MP, AF",,Discontinued,,Dual SIM (Mini-SIM)
Handwriting recognition,microSD (dedicated slot),109.5 x 59 x 17.5 mm (4.31 x 2.32 x 0.69 in),2.0,GSM 850 / 900 / 1800 / 1900,Up to 6 h,"Vibration; Downloadable polyphonic, MP3 ringtones","GPS, SiRF Star III chipset",,Yes,Class 10,FM radio,Microsoft Windows Mobile 6.0 Professional,,"TFT resistive touchscreen, 65K colors",179 g (6.31 oz),,"64MB RAM, 256MB ROM","2.8 inches, 24.3 cm2(~37.6% screen-to-body ratio)",Black,,Removable Li-Ion 1530 mAh battery,HTML (PocketIE),GSM,,Wi-Fi 802.11 b/g,Eten glofiish M750,https://fdn2.gsmarena.com/vv/bigpic/eten-m750.jpg,,QWERTY,Up to 260 h,"2008, April. Released 2008",Pocket OfficeeBook readerWindows MPlayer 10OrganizerVoice memo,No,No,miniUSB,,Samsung S3C 2442 500 MHz,"320 x 240 pixels, 4:3 ratio (~143 ppi density)",Eten,No,"2 MP, AF",,Discontinued,Class 10,Mini-SIM
Handwriting recognition,microSD (dedicated slot),109.5 x 59 x 17.5 mm (4.31 x 2.32 x 0.69 in),2.0,GSM 850 / 900 / 1800 / 1900,Up to 6 h,"Vibration; Downloadable polyphonic, MP3 ringtones","GPS, SiRF Star III chipset",,Yes,,FM radio,Microsoft Windows Mobile 6.0 Professional,HSPA,"TFT resistive touchscreen, 65K colors",179 g (6.31 oz),,"64MB RAM, 256MB ROM","2.8 inches, 24.3 cm2(~37.6% screen-to-body ratio)",Black,VGA videocall camera,Removable Li-Ion 1530 mAh battery,HTML (PocketIE),GSM / HSPA,HSDPA 850 / 1900 / 2100,Wi-Fi 802.11 b/g,Eten glofiish M810,https://fdn2.gsmarena.com/vv/bigpic/eten-m810.jpg,,QWERTY,Up to 260 h,"2008, April. Released 2008, August",,Yes,Pocket OfficeeBook readerWindows MPlayer 10OrganizerVoice memo,miniUSB,About 230 EUR,Samsung S3C 2442 500 MHz,"320 x 240 pixels, 4:3 ratio (~143 ppi density)",Eten,No,"2 MP, AF",,Discontinued,,Mini-SIM
Handwriting recognition,microSD (dedicated slot),107 x 58 x 14.7 mm (4.21 x 2.28 x 0.58 in),2.0,GSM 850 / 900 / 1800 / 1900,Up to 6 h,"Vibration; Downloadable polyphonic, MP3 ringtones","GPS, SiRF Star III chipset",,Yes,Class 10,FM radio,Microsoft Windows Mobile 6.0 Professional,,"TFT resistive touchscreen, 65K colors",136 g (4.80 oz),,"64MB RAM, 256MB ROM","2.8 inches, 24.3 cm2(~39.1% screen-to-body ratio)","Black, Purple",,Removable Li-Po 1530 mAh battery,HTML (PocketIE),GSM,,Wi-Fi 802.11 b/g,Eten glofiish X650,https://fdn2.gsmarena.com/vv/bigpic/eten-x650.jpg,,,Up to 170 h,"2008, January. Released 2008, March",Pocket OfficeeBook readerWindows MPlayer 10OrganizerVoice memo,Yes,No,miniUSB,About 220 EUR,Samsung SC32442 500 MHz,"480 x 640 pixels, 4:3 ratio (~286 ppi density)",Eten,No,"2 MP, AF",,Discontinued,Class 10,Mini-SIM
Handwriting recognition,microSD (dedicated slot),113.8 x 57.8 x 18.4 mm (4.48 x 2.28 x 0.72 in),2.0,GSM 850 / 900 / 1800 / 1900,Up to 4 h,"Vibration; Downloadable polyphonic, MP3 ringtones","GPS, SiRF Star III chipset",,Yes,,FM radio,Microsoft Windows Mobile 6.0,HSPA,"TFT resistive touchscreen, 65K colors",178 g (6.28 oz),,"64MB RAM, 256MB ROM",,Silver,VGA videocall camera,Removable Li-Po 1530 mAh battery,HTML (PocketIE),GSM / HSPA,HSDPA 850 / 1900 / 2100,Wi-Fi 802.11 b/g,Eten glofiish M800,https://fdn2.gsmarena.com/vv/bigpic/eten-m800.gif,,QWERTY,Up to 150 h,"2007, October. Released 2008, March",,Yes,Pocket OfficeeBook readerWindows MPlayer 10OrganizerVoice memo,miniUSB,About 230 EUR,Samsung S3C2442 500 MHz,"640 x 480 pixels, 2.8, 4:3 ratio",Eten,No,"2 MP, AF",,Discontinued,,Mini-SIM
Handwriting recognition,microSD (dedicated slot),107 x 58 x 14.7 mm (4.21 x 2.28 x 0.58 in),2.0,GSM 850 / 900 / 1800 / 1900,Up to 7 h,"Vibration; Downloadable polyphonic, MP3 ringtones","GPS, SiRF Star III chipset",,Yes,Class 10,FM radio,Microsoft Windows Mobile 6.0 Professional,,"TFT resistive touchscreen, 65K colors",136 g (4.80 oz),,"64MB RAM, 128MB ROM","2.8 inches, 24.3 cm2(~39.1% screen-to-body ratio)","Black, Red",,Removable Li-Ion 1530 mAh battery,HTML (PocketIE),GSM,,Wi-Fi 802.11 b/g,Eten glofiish X600,https://fdn2.gsmarena.com/vv/bigpic/eten-x600.gif,,,Up to 200 h,"2007, October. Released 2008, January",Pocket OfficeeBook readerWindows MPlayer 10Direct push technologyOrganizerVoice memo,Yes,No,miniUSB,About 170 EUR,Samsung S3C2442 400 MHz,"320 x 240 pixels, 4:3 ratio (~143 ppi density)",Eten,No,2 MP,,Discontinued,Class 10,Mini-SIM
Handwriting recognition,microSD (dedicated slot),113 x 59.5 x 15.5 mm (4.45 x 2.34 x 0.61 in),2.0,GSM 850 / 900 / 1800 / 1900,Up to 5 h,"Vibration; Downloadable polyphonic, MP3 ringtones","GPS, SiRF Star III chipset",,Yes,Class 10,FM radio,Microsoft Windows Mobile 6.0 Professional,,"TFT resistive touchscreen, 65K colors",146 g (5.15 oz),,"64MB RAM, 128MB ROM","2.8 inches, 24.3 cm2(~36.1% screen-to-body ratio)","Silver, Black",,Removable Li-Ion 1530 mAh battery,HTML (PocketIE),GSM,,Wi-Fi 802.11 b/g,Eten glofiish X500+,https://fdn2.gsmarena.com/vv/bigpic/eten-x500.gif,,,Up to 170 h,"2007, May",Pocket OfficeeBook readerWindows MPlayer 10OrganizerVoice memo,Yes,No,miniUSB,About 180 EUR,Samsung S3C2440 400 MHz,"640 x 480 pixels, 4:3 ratio (~286 ppi density)",Eten,No,2 MP,,Discontinued,Class 10,Mini-SIM
