,Card slot,Games,Dimensions,Bluetooth,2G bands,4G bands,Talk time,Alert types,Positioning,Loudspeaker,Stand-by_1,_4,Messaging,Loudspeaker_1,Phonebook,EDGE,Radio,Camera,OS,Speed,_3,Type,Weight,Sensors,Internal,Size,Colors,Call records,Single_1,Type_1,Browser,Protection,Technology,3G bands,WLAN,NFC,Model Name,Model Image,Features,Stand-by,Keyboard,Talk time_1,Announced,_2,Video,_1,USB,Chipset,Price,CPU,Resolution,Audio quality,Brand,Java,3.5mm jack,Single,GPU,Video_1,Status,GPRS,SIM,SAR EU
,microSDHC (dedicated slot),,124 x 62 x 9.6 mm (4.88 x 2.44 x 0.38 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,Up to 12 h,,GPS,Yes,,,,,,,FM radio,,Android 4.4 (KitKat),HSPA 21.1/5.76 Mbps,,TFT,105 g (3.70 oz),"Accelerometer, proximity",4GB 512MB RAM,"4.0 inches, 45.5 cm2(~59.2% screen-to-body ratio)",Black,,VGA,"Li-Ion 1300 mAh, removable",,,GSM / HSPA,HSDPA 2100,"Wi-Fi 802.11 b/g/n, hotspot",No,Gigabyte GSmart Essence 4,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-essence4.jpg,,Up to 300 h,,,"2015, October. Released 2015, November",,Yes,,microUSB 2.0,Mediatek MT6572 (28 nm),About 60 EUR,Dual-core 1.0 GHz Cortex-A7,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Gigabyte,,Yes,2 MP,Mali-400,,Discontinued,,"Dual SIM (Mini-SIM, dual stand-by)",
,microSDHC (dedicated slot),,143 x 73 x 9.2 mm (5.63 x 2.87 x 0.36 in),2.1,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,Up to 12 h,,GPS,Yes,,,,,,,FM radio,,Android 4.4 (KitKat),HSPA 21.1/5.76 Mbps,,IPS LCD,145 g (5.11 oz),"Accelerometer, proximity",8GB 512MB RAM,"5.0 inches, 68.9 cm2(~66.0% screen-to-body ratio)",Black,,2 MP,"Li-Ion 2100 mAh, removable",,,GSM / HSPA,HSDPA 2100,"Wi-Fi 802.11 b/g/n, hotspot",No,Gigabyte GSmart Classic Lite,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-classic-lite.jpg,LED flash,Up to 250 h,,,"2015, October. Released 2015, November",,Yes,,microUSB 2.0,Spreadtrum SC7731,About 80 EUR,Quad-core 1.2 GHz,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,Gigabyte,,Yes,5 MP,Mali-400,,Discontinued,,"Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)",
,microSDHC (dedicated slot),,134 x 67 x 8.8 mm (5.28 x 2.64 x 0.35 in),"2.1, EDR",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,Up to 12 h,,GPS,Yes,,,,,,,FM radio,,Android 4.4 (KitKat),HSPA 21.1/5.76 Mbps,,IPS LCD,125 g (4.41 oz),"Accelerometer, proximity",8GB 512MB RAM,"4.5 inches, 55.8 cm2(~62.2% screen-to-body ratio)","Black, White",,2 MP,"Li-Ion 1600 mAh, removable",,,GSM / HSPA,HSDPA 2100,"Wi-Fi 802.11 b/g/n, hotspot",No,Gigabyte GSmart Essence,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-essence.jpg,LED flash,Up to 240 h,,,"2015, October. Released 2015, October",,Yes,,microUSB 2.0,Spreadtrum SC7731,About 70 EUR,Quad-core 1.2 GHz,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",,Gigabyte,,Yes,5 MP,Mali-400,,Discontinued,,"Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)",
,microSDHC (dedicated slot),,145 x 73 x 8.6 mm (5.71 x 2.87 x 0.34 in),"2.1, EDR",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,Up to 10 h,,GPS,Yes,,,,,,,FM radio,,Android 5.1 (Lollipop),HSPA 21.1/5.76 Mbps,,IPS LCD,150 g (5.29 oz),"Accelerometer, proximity",8GB 1GB RAM,"5.0 inches, 68.9 cm2(~65.1% screen-to-body ratio)","Black, Gray",,5 MP,"Li-Ion 2000 mAh, removable",,,GSM / HSPA,HSDPA 2100,"Wi-Fi 802.11 b/g/n, hotspot",No,Gigabyte GSmart Classic,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-classic.jpg,LED flash,Up to 230 h,,,"2015, October. Released 2015, October",,Yes,,microUSB 2.0,Spreadtrum SC7731,About 100 EUR,Quad-core 1.2 GHz,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Gigabyte,,Yes,"8 MP, AF",Mali-400,,Discontinued,,"Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)",
eMMC 4.5,microSDXC (dedicated slot),,139 x 69 x 7 mm (5.47 x 2.72 x 0.28 in),"4.0, LE",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"3, 7, 20",Up to 14 h,,"GPS, GLONASS",Yes,,,,,,,FM radio,,Android 4.4 (KitKat),"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,IPS LCD,115 g (4.06 oz),"Accelerometer, gyro, proximity, compass",32GB 2GB RAM,"5.0 inches, 68.9 cm2(~71.9% screen-to-body ratio)",Black,,5 MP,"Li-Ion 2300 mAh, non-removable",,Corning Gorilla Glass 3,GSM / HSPA / LTE,HSDPA 900 / 2100,"Wi-Fi 802.11 b/g/n, hotspot",No,Gigabyte GSmart Guru GX,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-guru-gx.jpg,LED flash,Up to 200 h,,,"2015, January. Released 2015, April",,Yes,,microUSB 2.0,Qualcomm MSM8939 Snapdragon 615 (28 nm),,Octa-core (4x1.7 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",,Gigabyte,,Yes,"13 MP, AF",Adreno 405,,Discontinued,,Nano-SIM + Micro-SIM,
eMMC 4.5,microSDHC (dedicated slot),,143 x 72 x 9.8 mm (5.63 x 2.83 x 0.39 in),"4.0, LE",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"3, 7, 8",Up to 20 h,,"GPS, GLONASS",Yes,,,,,,,FM radio,,Android 4.4 (KitKat),"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,IPS LCD,165 g (5.82 oz),"Accelerometer, proximity",8GB 1GB RAM,"5.0 inches, 68.9 cm2(~66.9% screen-to-body ratio)",Black,,2 MP,"Li-Ion 3000 mAh, removable",,,GSM / HSPA / LTE,HSDPA 900 / 2100,"Wi-Fi 802.11 b/g/n, hotspot",No,Gigabyte GSmart Mika MX,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-mika-mx.jpg,,Up to 320 h,,,"2015, January. Released 2015, February",,Yes,,microUSB 2.0,Qualcomm MSM8916 Snapdragon 410 (28 nm),,Quad-core 1.2 GHz Cortex-A53,"540 x 960 pixels, 16:9 ratio (~220 ppi density)",,Gigabyte,,Yes,"5 MP, AF",Adreno 306,,Discontinued,,"Dual SIM (Micro-SIM, dual stand-by)",
,microSDHC (dedicated slot),,142 x 73 x 9.5 mm (5.59 x 2.87 x 0.37 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,Up to 20 h,,GPS,Yes,,,,,,,FM radio,,Android 4.4 (KitKat),HSPA 21.1/5.76 Mbps,,IPS LCD,155 g (5.47 oz),"Accelerometer, proximity",4GB 512MB RAM,"5.0 inches, 68.9 cm2(~66.5% screen-to-body ratio)",Black,,VGA,"Li-Ion 2000 mAh, removable",,,GSM / HSPA,HSDPA 2100,"Wi-Fi 802.11 b/g/n, hotspot",No,Gigabyte GSmart Roma RX,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-roma-rx.jpg,,Up to 400 h,,,"2015, January. Released 2015, April",,Yes,,microUSB 2.0,Mediatek MT6582 (28 nm),,Quad-core 1.3 GHz Cortex-A7,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,Gigabyte,,Yes,5 MP,Mali-400MP2,,Discontinued,,"Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)",
,microSDHC (dedicated slot),,147 x 73 x 9.6 mm (5.79 x 2.87 x 0.38 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,Up to 6 h,,GPS,Yes,,,,,,,FM radio,,Android 4.4.2 (KitKat),HSPA 21.1/5.76 Mbps,,IPS LCD,158 g (5.57 oz),"Accelerometer, gyro, proximity, compass",8GB 1GB RAM,"5.0 inches, 68.9 cm2(~64.2% screen-to-body ratio)",Navy Blue,,5 MP,"Li-Ion 1800 mAh, removable",,,GSM / HSPA,HSDPA 2100,"Wi-Fi 802.11 b/g/n, hotspot",No,Gigabyte GSmart Akta A4,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-Akta-A4.jpg,LED flash,Up to 250 h,,,"2014, November. Released 2014, November",,Yes,,"microUSB 2.0, OTG",Mediatek MT6592 (28 nm),,Octa-core 1.4 GHz Cortex-A7,"540 x 960 pixels, 16:9 ratio (~220 ppi density)",,Gigabyte,,Yes,"13 MP, AF",Mali-450MP4,,Discontinued,,Dual SIM (Mini-SIM/ Micro-SIM),
,microSDHC (dedicated slot),,144 x 70.5 x 8.3 mm (5.67 x 2.78 x 0.33 in),3.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,Up to 4 h 30 min,,GPS,Yes,,,,,,,FM radio,,Android 4.4.2 (KitKat),HSPA 21.1/5.76 Mbps,,IPS LCD,146 g (5.15 oz),"Accelerometer, proximity",8GB 1GB RAM,"5.0 inches, 68.9 cm2(~67.9% screen-to-body ratio)",Navy Blue,,8 MP,"Li-Ion 1900 mAh, removable",,,GSM / HSPA,HSDPA 900 / 2100,"Wi-Fi 802.11 b/g/n, hotspot",No,Gigabyte GSmart Mika M3,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-Mika-M4.jpg,LED flash,Up to 150 h,,,"2014, October. Released 2014, November",,Yes,,microUSB 2.0,Mediatek MT6582 (28 nm),,Quad-core 1.3 GHz Cortex-A7,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Gigabyte,,Yes,"13 MP, AF",Mali-400MP2,,Discontinued,,Dual SIM (Mini-SIM/ Micro-SIM),
eMMC 4.5,microSDXC (dedicated slot),,146.5 x 73.4 x 8.7 mm (5.77 x 2.89 x 0.34 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,Up to 12 h,,GPS,Yes,,,,,,,FM radio,,Android 4.4.2 (KitKat),HSPA 21.1/5.76 Mbps,,IPS LCD,135 g (4.76 oz),"Accelerometer, proximity, compass",8GB 2GB RAM,"5.0 inches, 68.9 cm2(~64.1% screen-to-body ratio)",Black,,2 MP,"Li-Ion 2200 mAh, removable",,,GSM / HSPA,HSDPA 850 / 900 / 1900 / 2100,"Wi-Fi 802.11 a/b/g/n, hotspot",No,Gigabyte GSmart GX2,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-arty-gx2.jpg,LED flash,Up to 350 h,,,"2014, August. Released 2014, September",,Yes,,microUSB 2.0,Qualcomm MSM8228 Snapdragon 400 (28 nm),,Quad-core 1.6 GHz Cortex-A7,"1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",,Gigabyte,,Yes,"13 MP, AF",Adreno 305,,Discontinued,,Dual SIM (Micro-SIM),
