,Card slot,Games,Dimensions,Bluetooth,2G bands,4G bands,Positioning,128GB 6GB RAM,Loudspeaker,256GB 8GB RAM,Messaging,Models,Phonebook,Loudspeaker_1,Radio,Build,Battery (new),OS,Speed,EDGE,64GB 4GB RAM,Type,Weight,Sensors,Internal,Size,Colors,Call records,Single_1,Type_1,4GB 512MB RAM,Display,256GB 12GB RAM,4 MB 4 MB RAM,Protection,Technology,3G bands,WLAN,NFC,Model Name,Model Image,Features,Announced,_2,Video,_1,USB,128GB 4GB RAM,Chipset,Triple,Price,CPU,Resolution,Brand,Java,Dual,3.5mm jack,Single,Performance,GPU,Video_1,Charging,128MB 64MB RAM,Status,GPRS,SIM,5G bands
Dust and splash resistant,microSDXC (uses shared SIM slot),,166.4 x 76.9 x 9 mm (6.55 x 3.03 x 0.35 in),"4.2, A2DP, LE",GSM 850 / 900 / 1800 / 1900,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41","GPS, GALILEO",,Yes,,,,,,FM radio,,,Android 14 (Go edition),"HSPA, LTE",,,"IPS LCD, 460 nits (peak)",185.4 g (6.53 oz),"Accelerometer, proximity",32GB 2GB RAM,"6.52 inches, 102.6 cm2(~80.2% screen-to-body ratio)","Black, Blue",,5 MP,4000 mAh,,,,,,GSM / HSPA / LTE,HSDPA 850 / 900 / 2100,Wi-Fi 802.11 b/g/n,No,HMD Key,https://fdn2.gsmarena.com/vv/bigpic/hmd-key.jpg,"LED flash, panorama","2025, January 02",,Yes,,USB Type-C,,Unisoc SC9832E,,About 70 EUR,Quad-core 1.3 GHz Cortex-A53,"576 x 1280 pixels, 20:9 ratio (~215 ppi density)",HMD,,,Yes,"8 MP, (wide), AF",,Mali-820MP1,Yes,10W wired,,"Coming soon. Exp. release 2025, January",,Nano-SIM,
IP54 dust and splash resistant (Europe only),microSDXC (uses shared SIM slot),,166.4 x 76.9 x 9 mm (6.55 x 3.03 x 0.35 in),"5.2, A2DP, LE",GSM 850 / 900 / 1800 / 1900,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41","GPS, GALILEO",,Yes,,,,,,FM radio,,,Android 14 (Go edition),"HSPA, LTE",,,"IPS LCD, 460 nits (peak)",185.4 g (6.53 oz),"Fingerprint (side-mounted), accelerometer, proximity",64GB 4GB RAM,"6.52 inches, 102.6 cm2(~80.2% screen-to-body ratio)",Black,,5 MP,5000 mAh,,,,,,GSM / HSPA / LTE,HSDPA 850 / 900 / 2100,Wi-Fi 802.11 b/g/n,No,HMD Arc,https://fdn2.gsmarena.com/vv/bigpic/hmd-arc.jpg,"LED flash, panorama","2024, December 18",,Yes,,USB Type-C,,Unisoc SC9863A (28 nm),,,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),"576 x 1280 pixels, 20:9 ratio (~215 ppi density)",HMD,,,Yes,"13 MP, (wide), AF",,IMG8322,Yes,10W wired,,"Available. Released 2025, January",,Nano-SIM,
"IP54, dust and splash resistant (Europe, Australia, New Zealand)Splash resistant (ROW)",microSDHC,Yes,-,"5.0, A2DP",GSM 900 / 1800,"1, 3, 5, 7, 8, 20",No,,Yes,,SMS,,Yes,,Wireless FM radio,,,,"HSPA, LTE",,,"TFT LCD, 65K colors",93 g (3.32 oz),,64MB 128MB RAM,"2.4 inches, 17.8 cm2(~28.0% screen-to-body ratio)","Black, Pink, Cyan",Yes,,"Li-Ion 1450 mAh, removable",,,,,,GSM / HSPA / LTE,HSDPA 850 / 900 / 2100,No,No,HMD 105 4G,https://fdn2.gsmarena.com/vv/bigpic/hmd-105-4g.jpg,,"2024, September 13",MP3 player,,,USB Type-C,,Unisoc T127,,About 20 EUR,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",HMD,No,,Yes,,,,,,,"Available. Released 2024, September 22",,Nano-SIM + Nano-SIM,
"FlashlightIP54, dust and splash resistant (Europe, Australia, New Zealand)Splash resistant (ROW)",microSDHC,Yes,-,"5.0, A2DP",GSM 900 / 1800,"1, 3, 5, 7, 8, 20",No,,Yes,,SMS,,Yes,,Wireless FM radio,,,,"HSPA, LTE",,,"TFT LCD, 65K colors",93.5 g (3.32 oz),,64MB 128MB RAM,"2.4 inches, 17.8 cm2(~28.0% screen-to-body ratio)","Blue, Titanium",Yes,,"Li-Ion 1450 mAh, removable",,,,,,GSM / HSPA / LTE,HSDPA 850 / 900 / 2100,No,No,HMD 110 4G,https://fdn2.gsmarena.com/vv/bigpic/hmd-110-4g-.jpg,,"2024, September 13",MP3 player,Yes,No,USB Type-C,,Unisoc T127,,,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",HMD,No,,Yes,QVGA,,,,,,"Available. Released 2024, September 22",,Nano-SIM + Nano-SIM,
"2, 4, 5, 7, 8, 12, 13, 25, 26, 28, 41, 66, 71 - USA",microSDXC (uses shared SIM slot),,164.2 x 75.5 x 8.3 mm (6.46 x 2.97 x 0.33 in),"5.1, A2DP, LE, aptX Adaptive",GSM 850 / 900 / 1800 / 1900,"1, 3, 5, 7, 8, 20, 28, 32, 38, 40, 41 - International","GPS, GALILEO, GLONASS, BDS",$ 177.99,Yes,$ 222.17,,,,,Unspecified,"Glass front, plastic frame, plastic back",,"Android 14, up to 2 major Android upgrades","HSPA, LTE, 5G",,,"IPS LCD, 90Hz, 480 nits (typ), 600 nits (peak)",202.5 g (7.16 oz),"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","128GB 4GB RAM, 128GB 6GB RAM, 256GB 8GB RAM","6.56 inches, 103.4 cm2(~83.4% screen-to-body ratio)",Noir,,,"5000 mAh, user replaceable",,,,,,GSM / HSPA / LTE / 5G,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,Wi-Fi 802.11 a/b/g/n/ac/6,Yes,HMD Fusion,https://fdn2.gsmarena.com/vv/bigpic/hmd-fusion.jpg,"LED flash, HDR","2024, September 05","IP54, dust and splash resistantHMD Fusion toolkit: CAD file and API access for building your own outfitsRepair-it-yourself capable (display, back cover, battery and charging port repairs)","1080p@30fps, gyro-EIS","2, 4, 5, 7, 25, 41, 66, 71, 77, 78 SA/NSA/Sub6 - USA","USB Type-C 2.0, OTG, magnetic accessory connector pins",,Qualcomm SM4450 Snapdragon 4 Gen 2 (4 nm),,$ 177.99 / € 229.00,Octa-core (2x2.2 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),"720 x 1612 pixels, 20:9 ratio (~269 ppi density)",HMD,,"108 MP, (wide), AF2 MP, (depth)",Yes,50 MP,,Adreno 613,Yes,"33W wired, PD, QC",,"Available. Released 2024, September 11",,Nano-SIM +eSIMNano-SIM + Nano-SIM,"1, 3, 5, 7, 8, 20, 26, 28, 38, 40, 41, 77, 78 SA/NSA/Sub6 - International"
"Secondary external 1.77"" display",microSDHC,,Unfolded: 201 x 55.1 x 10.9 mmFolded: 108.4 x 55.1 x 18.9 mm,"5.0, A2DP (INT), 4.2, A2DP (USA)",GSM 850 / 900 / 1800 / 1900,"1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 39, 40, 41",Yes (USA),,Yes,,,TA-1681,,,Wireless FM radio,,,KaiOS 3.1 (USA only),"HSPA, LTE",,,TFT LCD,123.5 g (4.37 oz),No,"4GB 512MB RAM, 128MB 64MB RAM","2.8 inches, 24.3 cm2(~21.9% screen-to-body ratio)",Power Pink,,,"Li-Ion 1450 mAh, removable",$ 79.99,,,,,GSM / HSPA / LTE,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,Wi-Fi 802.11 b/g/n (USA only),No,HMD Barbie,https://fdn2.gsmarena.com/vv/bigpic/hmd-barbie.jpg,LED flash,"2024, August 28",No,Yes,128MB (INT)4GB (USA),USB Type-C,,Unisoc T107 (22 nm) - INTQualcomm QM215 Snapdragon 215 (28 nm) - USA,,$ 79.99 / £ 84.99 / € 98.96,1.0 GHz Cortex-A7 - INTQuad-core 1.3 GHz Cortex-A53 - USA,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",HMD,,,Yes,0.3 MP (INT)5 MP (USA),,Adreno 308 (USA),,,$ 130.42,"Available. Released 2024, August 28",,Nano-SIM + Nano-SIM,
"Repair-it-yourself capable (display, back cover, battery and charging port repairs)Dust and splash resistant",microSDXC (uses shared SIM slot),,163.9 x 76.4 x 8.4 mm (6.45 x 3.01 x 0.33 in),"5.0, A2DP, LE",GSM 850 / 900 / 1800 / 1900,"1, 3, 5, 8, 28, 40, 41","GPS, GALILEO",,Yes,"₹ 16,498",,,,,Unspecified,,,Android 14,"HSPA, LTE, 5G",,,OLED,205 g (7.23 oz),"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",256GB 8GB RAM,"6.67 inches, 107.4 cm2(~85.8% screen-to-body ratio)","Aqua Green, Royal Pink, Deep Purple",,,"5000 mAh, user replaceable",,,,,,GSM / HSPA / LTE / 5G,HSDPA 850 / 900 / 2100,Wi-Fi 802.11 a/b/g/n/ac,No,HMD Crest Max,https://fdn2.gsmarena.com/vv/bigpic/hmd-crest-max.jpg,"LED flash, HDR","2024, July 25",,1080p@30fps,,USB Type-C,,Unisoc T760 (6 nm),"64 MP, (wide), AF5 MP, (ultrawide)2 MP, (macro)","₹ 16,498",Octa-core (1x2.2 GHz Cortex-A76 & 3x Cortex-A76 & 4x Cortex-A55),"1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",HMD,,,Yes,50 MP,,Mali-G57,Yes,33W wired,,"Available. Released 2024, August 07",,Nano-SIM + Nano-SIM,"1, 3, 28, 40, 78 SA/NSA"
"Repair-it-yourself capable (display, back cover, battery and charging port repairs)Dust and splash resistant",microSDXC (uses shared SIM slot),,163.9 x 76.4 x 8.4 mm (6.45 x 3.01 x 0.33 in),"5.0, A2DP, LE",GSM 850 / 900 / 1800 / 1900,"1, 3, 5, 8, 28, 40, 41","GPS, GALILEO","₹ 12,324",Yes,,,,,,Unspecified,,,Android 14,"HSPA, LTE, 5G",,,OLED,205 g (7.23 oz),"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",128GB 6GB RAM,"6.67 inches, 107.4 cm2(~85.8% screen-to-body ratio)",Midnight Blue,,,"5000 mAh, user replaceable",,,,,,GSM / HSPA / LTE / 5G,HSDPA 850 / 900 / 2100,Wi-Fi 802.11 a/b/g/n/ac,No,HMD Crest,https://fdn2.gsmarena.com/vv/bigpic/hmd-crest-.jpg,"LED flash, HDR","2024, July 25",,1080p@30fps,,USB Type-C,,Unisoc T760 (6 nm),,"₹ 12,324",Octa-core (1x2.2 GHz Cortex-A76 & 3x Cortex-A76 & 4x Cortex-A55),"1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",HMD,,"50 MP, (wide), AF2 MP, (depth)",Yes,50 MP,,Mali-G57,Yes,33W wired,,"Available. Released 2024, August 07",,Nano-SIM + Nano-SIM,"1, 3, 28, 40, 78 SA/NSA"
"Repair-it-yourself capable (display, back cover, battery and charging port repairs)IP54, dust and splash resistant",microSDXC,,159.8 x 76 x 8.9 mm (6.29 x 2.99 x 0.35 in),"5.2, A2DP, LE, aptX HD, aptX Adaptive",GSM 850 / 900 / 1800 / 1900,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 32, 38, 40, 41, 66, 71","GPS (L1+L5), GALILEO, GLONASS, BDS",,"Yes, with stereo speakers",,,TA-1600,,-24.4 LUFS (Very good),Unspecified,"Glass front (Gorilla Glass 3), aluminum frame, glass back",Active use score 10:47h,"Android 14, up to 2 major Android upgrades","HSPA, LTE, 5G",,,"P-OLED, 144Hz, 1000 nits (peak), HDR10",209.5 g (7.41 oz),"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer","128GB 8GB RAM, 256GB 12GB RAM","6.55 inches, 103.6 cm2(~85.3% screen-to-body ratio)","Neon Pink, Twisted Black, Blue Topaz",,,"4600 mAh, user replaceable",,1060 nits max brightness (measured),$ 349.99,,Corning Gorilla Glass 3,GSM / HSPA / LTE / 5G,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band",Yes,HMD Skyline,https://fdn2.gsmarena.com/vv/bigpic/hmd-skyline.jpg,"LED flash, HDR","2024, July 18",,"4K@30fps, 1080p@30fps, gyro-EIS",,"USB Type-C 2.0, OTG",,Qualcomm SM7435-AB Snapdragon 7s Gen 2 (4 nm),"108 MP, f/1.8, (wide), 1/1.67"", 0.64µm, PDAF, OIS50 MP, f/2.0, (telephoto), 1/2.76"", 0.64µm, PDAF, 2x optical zoom13 MP, f/2.5, (ultrawide), 1/3"", 1.12µm",$ 349.99 / £ 378.01 / € 345.00,Octa-core (4x2.40 GHz Cortex-A78 & 4x1.95 GHz Cortex-A55),"1080 x 2400 pixels, 20:9 ratio (~402 ppi density)",HMD,,,No,"50 MP, f/2.5, (wide), AF",AnTuTu: 581311 (v10)GeekBench: 2899 (v6)3DMark: 795 (Wild Life Extreme),Adreno 710,1080p@30/60fps,"33W wired, PD3.0 PPS, QC415W wireless (magnetic), Qi25W reverse wireless",,"Available. Released 2024, July 19",,Nano-SIM +eSIM,"1, 2, 3, 5, 7, 8, 20, 25, 28, 38, 40, 41, 48, 66, 71, 77, 78 SA/NSA"
"FlashlightIP54, dust and water resistant",microSDHC,,115.5 x 49.5 x 14 mm (4.55 x 1.95 x 0.55 in),No,GSM 900 / 1800,,No,,Yes,,,,,,Wireless FM radio,,,RTOS OS,,Yes,,"TFT LCD, 65K colors",78 g (2.75 oz),,4 MB 4 MB RAM,"2.0 inches, 12.4 cm2(~21.7% screen-to-body ratio)","Black, Green",,,"1000 mAh, removable",,,,"₹ 1,743",,GSM,,No,No,HMD 110,https://fdn2.gsmarena.com/vv/bigpic/hmd-110.jpg,Dual-LED,"2024, June 25",MP3 player,Yes,No,microUSB,,,,"₹ 1,743",,"120 x 160 pixels, 4:3 ratio (~100 ppi density)",HMD,,,Yes,VGA,,,,,,"Available. Released 2024, July 05",Yes,"Dual SIM (Mini-SIM, dual stand-by)",
