,Single,Stand-by,_1,Charging,Type_1,2G bands,Card slot,_3,OS,SIM,Model Name,Price,Speed,Weight,Protection,Announced,Sensors,Colors,_4,Technology,Single_1,Loudspeaker,NFC,USB,Size,Talk time,Resolution,SAR EU,Alert types,Infrared port,3G bands,WLAN,CPU,4G bands,GPU,GPRS,_2,EDGE,Internal,Features,Status,Model Image,Positioning,SAR,3.5mm jack,Radio,Browser,Chipset,Keyboard,Video_1,Brand,Dimensions,Type,Video,Bluetooth
"1, 2, 3, 4, 5, 7, 12, 17, 20, 29, 30 - Americas","16 MP, f/2.2, 1.31µm, PDAF",,IP67 dust/water resistant (up to 1m for 30 min)MIL-STD-810G compliant**does not guarantee ruggedness or use in extreme conditions,10W wiredWireless (Qi/PMA),"Li-Po 4150 mAh, non-removable",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),microSDXC (uses shared SIM slot) - dual SIM model only,Tuned by Bang & Olufsen,Microsoft Windows 10,Nano-SIMNano-SIM + Nano-SIM,HP Elite x3,About 700 EUR,"HSPA 21.1/5.76 Mbps, LTE Cat6 300/50 Mbps",195 g (6.88 oz),Corning Gorilla Glass 4,"2016, February. Released 2016, August","Iris scanner, fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer","Gold, Graphite/Chrome",Microsoft Continuum support,GSM / HSPA / LTE,"8 MP, f/2.2, 1/4.0"", 1.12µm","Yes, with stereo speakers",Yes,"USB Type-C 3.0, magnetic connector","5.96 inches, 97.5 cm2(~72.2% screen-to-body ratio)",,"1440 x 2560 pixels, 16:9 ratio (~494 ppi density)",,,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot",Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo),"1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 26, 28, 29, 38, 39, 40, 41 - EMEA",Adreno 530,,eMMC 5.1,,64GB 4GB RAM,"LED flash, HDR, panorama",Discontinued,https://fdn2.gsmarena.com/vv/bigpic/hp-elite-x3-new.jpg,"GPS, GLONASS, BDS",,Yes,No,,Qualcomm MSM8996 Snapdragon 820 (14 nm),,1080p@30fps,HP,161.8 x 83.5 x 7.8 mm (6.37 x 3.29 x 0.31 in),"AMOLED, 350 nits (typ)","4K@30fps, 1080p@30fps","4.0, A2DP, LE"
Built-in 2 kickstands,0.9 MP,,No,,"Li-Po (43 Wh, 3-cell)",N/A,microSDHC (dedicated slot); SDHC,HDMI port,Android 4.4.2 (KitKat),No,HP Slate 17,About 370 EUR,,2005 g (4.42 lb),,"2014, September. Released 2014, September",Accelerometer,"Snow White, Sweet Yellow",,No cellular connectivity,,"Yes, with stereo speakers",No,USB 2.0,"17.3 inches, 825.1 cm2(~69.7% screen-to-body ratio)",Up to 7 h 45 min (multimedia),"1080 x 1920 pixels, 16:9 ratio (~127 ppi density)",,,,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Dual-core 1.58 GHz,,,No,Beats Audio,No,32GB 2GB RAM,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/hp-slate-17.jpg,No,,Yes,No,,Intel Celeron N2807,,,HP,418.1 x 283.2 x 15.8 mm (16.46 x 11.15 x 0.62 in),IPS LCD,720p@30fps,"4.0, A2DP"
HP Duet Pen,"8 MP, AF",,eMMC 4.5,,Li-Po (21 Wh),GSM 850 / 900 / 1800 / 1900,microSDHC (dedicated slot),,Android 4.4.4 (KitKat),Nano-SIM,HP Pro Slate 12,About 490 EUR,HSPA,850 g (1.87 lb),Corning Concore Glass,"2015, January. Released 2015, January","Accelerometer, gyro, proximity, compass, barometer",Silver,,GSM / HSPA,2 MP,"Yes, with stereo speakers",Yes,microUSB 2.0 (SlimPort),"12.3 inches, 468.5 cm2(~70.3% screen-to-body ratio)",Up to 10 h (multimedia),"1200 x 1600 pixels, 4:3 ratio (~163 ppi density)",,,,HSDPA 2100,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",Quad-core 2.3 GHz Krait 400,,Adreno 330,,,,32GB 2GB RAM,HDR,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/hp-pro-slate-12.jpg,GPS,,Yes,No,,Qualcomm Snapdragon 800 (28 nm),,1080p@30fps,HP,300.3 x 222 x 8 mm (11.82 x 8.74 x 0.31 in),IPS LCD,1080p@30fps,"4.0, A2DP, LE"
Optional mobile dock with standard QWERTY keyboard and trackpad,"5 MP, AF or 2 MP, AF",,HDMI port,,"Li-Ion 8380 mAh, non-removable (28.5 Wh)",N/A,microSDHC (dedicated slot),,Android 4.4.4 (KitKat),No,HP Pro Slate 10 EE G1,About 240 EUR,,855 g (1.88 lb),,"2015, January. Released 2015, January","Accelerometer, compass",Black,,No cellular connectivity,2 MP or 1.3 MP,Yes,No,microUSB 2.0,"10.1 inches, 295.8 cm2(~58.0% screen-to-body ratio)",,"800 x 1280 pixels, 16:10 ratio (~149 ppi density)",,,,,"Wi-Fi 802.11 a/b/g/n, dual-band",Quad-core 1.33 GHz,,,No,,No,"16GB 1GB RAM, 32GB 2GB RAM",,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/hp-pro-slate-10-ee.jpg,GPS,,Yes,No,,Intel Atom Z3735G,,,HP,280 x 182 x 14.4 mm (11.02 x 7.17 x 0.57 in),IPS LCD,Yes,"4.0, A2DP, LE"
HP Duet Pen,"8 MP, AF",,eMMC 4.5,,"Li-Po 5900 mAh, non-removable (21 Wh)",GSM 850 / 900 / 1800 / 1900,microSDHC (dedicated slot),,Android 4.4.4 (KitKat),Nano-SIM,HP Pro Slate 8,About 390 EUR,HSPA,350 g (12.35 oz),Corning Gorilla Glass 4,"2015, January. Released 2015, January","Accelerometer, gyro, proximity, compass, barometer",Gray,,GSM / HSPA,2 MP,"Yes, with stereo speakers",Yes,microUSB 2.0 (SlimPort),"7.86 inches, 191.3 cm2(~67.5% screen-to-body ratio)",,"1536 x 2048 pixels, 4:3 ratio (~326 ppi density)",,,,HSDPA 2100,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",Quad-core 2.3 GHz Krait 400,,Adreno 330,,,,"16GB 2GB RAM, 32GB 2GB RAM",HDR,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/hp-pro-slate-8-new.jpg,GPS,,Yes,No,,Qualcomm Snapdragon 800 (28 nm),,1080p@30fps,HP,207 x 137 x 8 mm (8.15 x 5.39 x 0.31 in),IPS LCD,1080p@30fps,"4.0, A2DP, LE"
,"8 MP, AF",Up to 750 h (2G) / Up to 750 h (3G),,,"Li-Ion 3000 mAh, removable",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,microSDXC,,Android 4.4.2 (KitKat),"Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)",HP Slate6 VoiceTab II,About 200 EUR,HSPA 21.1/5.76 Mbps,160 g (5.64 oz),,"2014, November. Released 2014, November","Accelerometer, gyro, proximity, compass",Silver,,GSM / HSPA,2 MP,"Yes, with stereo speakers",No,microUSB 2.0,"6.0 inches, 99.2 cm2(~72.2% screen-to-body ratio)",Up to 13 h 30 min (2G) / Up to 10 h 30 min (3G),"720 x 1280 pixels, 16:9 ratio (~245 ppi density)",0.54 W/kg (head)     0.28 W/kg (body),,,HSDPA 900 / 2100,"Wi-Fi 802.11 b/g/n, hotspot",Quad-core 1.2 GHz,,,,,,16GB 1GB RAM,LED flash,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/hp-slate-6-voicetab-ii.jpg,GPS,0.15 W/kg (head)     0.53 W/kg (body),Yes,No,,Marvell PXA1088,,,HP,165.1 x 83.2 x 9 mm (6.5 x 3.28 x 0.35 in),IPS LCD,Yes,"3.0, EDR"
,"5 MP, AF",,,,"Li-Po 7700 mAh, non-removable (28 Wh)",N/A,microSDHC (dedicated slot),,Android 4.4.2 (KitKat),No,HP 10 Plus,,,660 g (1.46 lb),,2014. Released 2014,"Accelerometer, gyro",Black/Silver,,No cellular connectivity,2 MP,"Yes, with stereo speakers",No,"microUSB 2.0, OTG","10.1 inches, 295.8 cm2(~63.8% screen-to-body ratio)",Up to 6 h (multimedia),"1920 x 1200 pixels, 16:10 ratio (~224 ppi density)",,,,,Wi-Fi 802.11 b/g/n,Quad-core 1.0 GHz,,,No,,No,16GB 2GB RAM,HDR,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/hp-10-plus-2201er.jpg,GPS,,Yes,No,,,,,HP,265 x 175 x 9.5 mm (10.43 x 6.89 x 0.37 in),IPS LCD,1080p@30fps,"4.0, A2DP"
,5 MP,,,,"Li-Ion 3000 mAh, non-removable",GSM 850 / 900 / 1800 / 1900,microSDHC (dedicated slot),,Android 4.4.2 (KitKat),Micro-SIM,HP 7 VoiceTab,About 140 EUR,HSPA,305 g (10.76 oz),,"2014, October. Released 2014, October","Accelerometer, proximity",Black/White,,GSM / HSPA,VGA,Yes,No,microUSB 2.0,"6.95 inches, 135.9 cm2(~69.2% screen-to-body ratio)",,"600 x 1024 pixels, 16:9 ratio (~171 ppi density)",,,,HSDPA,Wi-Fi 802.11 b/g/n,Quad-core 1.3 GHz Cortex-A7,,Mali-400MP2,Yes,,Yes,8GB 1GB RAM,LED flash,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/hp-7-voicetab-1351ra.jpg,GPS,,Yes,No,,Mediatek MT8382 (28 nm),,,HP,192.1 x 102.2 x 10.2 mm (7.56 x 4.02 x 0.40 in),TFT,Yes,"4.0, A2DP"
,2 MP,,,,"Li-Po 2800 mAh, non-removable",N/A,microSDHC (dedicated slot),,Android 4.2.2 (Jelly Bean),No,HP 7 Plus,About 70 EUR,,294.8 g (10.37 oz),,"2014, May. Released 2014, May",Accelerometer,Silver,,No cellular connectivity,VGA,Yes,No,microUSB 2.0,"7.0 inches, 137.9 cm2(~58.8% screen-to-body ratio)",Up to 5 h 30 min (multimedia),"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",,,,,Wi-Fi 802.11 b/g/n,Quad-core 1.0 GHz Cortex-A7,,,No,,No,8GB 1GB RAM,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/hp-7-plus.jpg,No,,Yes,No,,Allwinner A31,,,HP,192.5 x 121.9 x 8.1 mm (7.58 x 4.80 x 0.32 in),IPS LCD,Yes,Yes
,2 MP,,,,"Li-Po 3800 mAh, non-removable",N/A,microSDHC (dedicated slot),,Android 4.2.2 (Jelly Bean),No,HP 8,About 120 EUR,,313 g (11.04 oz),,"2014, February. Released 2014, March","Accelerometer, gyro",Silver,,No cellular connectivity,VGA,"Yes, with stereo speakers",No,microUSB 2.0,"7.85 inches, 190.8 cm2(~69.9% screen-to-body ratio)",Up to 7 h (multimedia),"768 x 1024 pixels, 4:3 ratio (~163 ppi density)",,,,,Wi-Fi 802.11 b/g/n,Quad-core 1.0 GHz Cortex-A7,,,No,,No,16GB 1GB RAM,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/hp-8.jpg,No,,Yes,No,,Allwinner A31,,,HP,200.3 x 136.3 x 8 mm (7.89 x 5.37 x 0.31 in),IPS LCD,Yes,"4.0, A2DP"
