,Charging,Display,Protection,Models,Loudspeaker,Talk time,SAR EU,Size,3G bands,4G bands,Loudspeaker_1,Features,Talk time_1,Status,Radio,Camera,Chipset,Brand,Type,Bluetooth,Type_1,Java,_3,Model Name,Price,Announced,Sensors,_4,NFC,USB,Dual_1,WLAN,GPU,EDGE,Internal,SAR,5G bands,Dimensions,Video,Single,_1,Card slot,Games,Battery (old),_5,Music play,Speed,Colors,Performance,Keyboard,Technology,Alert types,Infrared port,Features_1,Audio quality,256GB 8GB RAM,256GB 12GB RAM,Model Image,Positioning,Browser,Stand-by_1,Stand-by,2G bands,Dual,OS,SIM,_6,Phonebook,Weight,Single_1,Resolution,CPU,GPRS,_2,Messaging,Call records,Quad,Video_1,Triple,Build,3.5mm jack
IP67 dust/water resistant (up to 1m for 30 min),"60W wired, PD3.0, QC415W wireless5W reverse wirelessReverse wired",,Corning Gorilla Glass (unspecified version),,Yes,,,"6.8 inches, 110.5 cm2(~88.3% screen-to-body ratio)",HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 28, 38, 39, 40, 41",,"Dual-LED flash, HDR, panorama, Best Take",,"Available. Released 2024, July 01",No,,Qualcomm SM7550-AB Snapdragon 7 Gen 3 (4 nm),HTC,"OLED, 120Hz","5.3, A2DP, LE",4600 mAh,,,HTC U24 Pro,$ 539.00 / £ 546.00 / € 759.00,"2024, June 12","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",,Yes,USB Type-C 3.0,,"Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band",Adreno 720,,"256GB 12GB RAM, 512GB 12GB RAM",,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 77, 78 SA/NSA",167.1 x 74.9 x 9 mm (6.58 x 2.95 x 0.35 in),"4K@30fps (HDR), 1080p@30fps, gyro-EIS, OIS","50 MP, f/2.5, (wide), AF",UFS 3.1,microSDXC,,,,,"HSPA, LTE, 5G","Space Blue, Twilight White",,,GSM / HSPA / LTE / 5G,,,HDR,,,$ 539.00,https://fdn2.gsmarena.com/vv/bigpic/htc-u24-pro.jpg,"GPS, GLONASS, GALILEO, BDS",,,,GSM 850 / 900 / 1800 / 1900,,Android 14,Nano-SIM + Nano-SIM,,,198.7 g (7.02 oz),,1080 x 2436 pixels (~392 ppi density),Octa-core (1x2.63 GHz Cortex-A715 & 4x2.4 GHz Cortex-A715 & 3x1.8 GHz Cortex-A510),,,,,,1080p@30fps,"50 MP, f/1.9, (wide), PDAF, OIS50 MP, f/2.0, (telephoto), PDAF, 2x optical zoom8 MP, f/2.2, 120˚ (ultrawide), 1/4.0"", 1.12µm","Glass front (Gorilla Glass), aluminum frame, plastic back",Yes
,10W wired,,,,"Yes, with stereo speakers",,,"10.95 inches, 347.7 cm2(~80.6% screen-to-body ratio)",HSDPA 850 / 900 / 2100,LTE,,LED flash,,"Available. Released 2024, May 03",No,,Unisoc T606 (12 nm),HTC,IPS LCD,"5.0, A2DP, LE",7000 mAh,,,HTC A101 Plus,About 150 EUR,"2024, May 03",Yes,,No,"USB Type-C 2.0, OTG, magnetic connector",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Mali-G57 MP1,,128GB 8GB RAM,,,256.6 x 168.2 x 7.5 mm (10.10 x 6.62 x 0.30 in),1080p,8 MP,,microSDXC (uses shared SIM slot),,,,,"HSPA, LTE","Gray, Silver",,,GSM / HSPA / LTE,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-a101-plus.jpg,Unspecified,,,,GSM 850 / 900 / 1800 / 1900,13 MPSecondary lens,Android 14,Nano-SIM + Nano-SIM,,,501 g (1.10 lb),,"1200 x 1920 pixels, 16:10 ratio (~207 ppi density)",Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),,,,,,,,,Yes
,10W wired,,,,"Yes, with stereo speakers (4 speakers)",,,"10.36 inches, 305.5 cm2(~80.0% screen-to-body ratio)",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 38, 40, 41",,LED flash,,"Available. Released 2023, July",No,,Unisoc T606 (12 nm),HTC,IPS LCD,"5.0, A2DP, LE",7000 mAh,,,HTC A104,About 180 EUR,"2023, July 12","Accelerometer, gyro",,No,"USB Type-C 2.0, OTG, magnetic connector",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Mali-G57 MP1,,128GB 8GB RAM,,,245.6 x 155.4 x 8 mm (9.67 x 6.12 x 0.31 in),1080p,"5 MP, f/2.2, AF",,microSDXC (uses shared SIM slot),,,,,"HSPA, LTE","Black, Silver",,,GSM / HSPA / LTE,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-a104.jpg,"GPS, GLONASS, GALILEO",,,,GSM 850 / 900 / 1800 / 1900,,Android 13,Nano-SIM + Nano-SIM,,,460 g (1.01 lb),"5 MP, f/2.2","1200 x 2000 pixels, 5:3 ratio (~225 ppi density)",Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),,,,,,1080p,,,No
eMMC 5.1,,,,,Yes,,,"6.52 inches, 102.6 cm2(~81.4% screen-to-body ratio)",HSDPA 850 / 900 / 2100,"1, 3, 5, 7, 8, 20, 38, 40, 41",,LED flash,,"Available. Released 2023, August",Unspecified,,Unisoc SC9832E (28 nm),HTC,IPS LCD,"4.2, A2DP",Li-Ion 3000 mAh,,,HTC Wildfire E star,About 100 EUR,"2023, August 08","Fingerprint (side-mounted), accelerometer, proximity",,No,USB Type-C 2.0,,Wi-Fi 802.11 a/b/g/n,Mali-T820 MP1,,16GB 2GB RAM,,,164.8 x 76.5 x 9.2 mm (6.49 x 3.01 x 0.36 in),1080p@30fps,"8 MP, f/2.2, (wide), AF0.08 MP, f/2.8 (auxiliary lens)",,microSDXC (uses shared SIM slot),,,,,"HSPA, LTE",Gray,,,GSM / HSPA / LTE,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e-star.jpg,"GPS, GLONASS, GALILEO",,,,GSM 850 / 900 / 1800 / 1900,,Android 12 (Go edition),Nano-SIM + Nano-SIM,,,200 g (7.05 oz),"5 MP, f/2.2, (wide)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",Quad-core 1.4 GHz,,,,,,720p@30fps,,"Glass front, plastic back, plastic frame",Yes
IP67 dust/water resistant (up to 1m for 30 min),30W wired15W wireless5W reverse wirelessReverse wired,,Corning Gorilla Glass Victus,,Yes,,,"6.7 inches, 108.4 cm2(~84.4% screen-to-body ratio)",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 3, 5, 7, 8, 12, 17, 20, 28, 38, 39, 40, 41",,"Dual-LED flash, HDR, panorama",,"Available. Released 2023, July 26",No,,Qualcomm SM7450-AB Snapdragon 7 Gen 1 (4 nm),HTC,"OLED, 120Hz","5.2, A2DP, LE",Li-Ion 4600 mAh,,,HTC U23,,"2023, July 17","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",,Yes,USB Type-C 3.0,,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",Adreno 644,,128GB 8GB RAM,,"1, 3, 7, 20, 28, 41, 78 SA/NSA",166.6 x 77.1 x 8.9 mm (6.56 x 3.04 x 0.35 in),"4K@30fps, 1080p@30fps, gyro-EIS","32 MP, f/2.5, (wide), 1/2.8"", 0.8µm",,microSDXC,,,,,"HSPA, LTE, 5G","Aqua Blue, Roland Violet",,,GSM / HSPA / LTE / 5G,,,HDR,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-u23.jpg,"GPS, GLONASS, GALILEO, BDS",,,,GSM 850 / 900 / 1800 / 1900,,Android 13,Nano-SIM + Nano-SIM,,,202 g (7.13 oz),,"1080 x 2400 pixels, 20:9 ratio (~393 ppi density)",Octa-core (1x2.4 GHz Cortex-A710 & 3x2.36 GHz Cortex-A710 & 4x1.8 GHz Cortex-A510),,,,,"64 MP, f/1.9, (wide), PDAF8 MP, f/2.4, 120˚ (ultrawide), 1/4.0"", 1.12µm2 MP, f/2.4, (depth)",1080p@30fps,,,Yes
IP67 dust/water resistant (up to 1m for 30 min),30W wired15W wireless5W reverse wirelessReverse wired,727 nits max brightness (measured),Corning Gorilla Glass Victus,"2QC9200, 2QC9100, 2QCB100",Yes,,,"6.7 inches, 108.4 cm2(~84.4% screen-to-body ratio)",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 3, 5, 7, 8, 12, 17, 20, 28, 38, 39, 40, 41",-26.0 LUFS (Very good),"Dual-LED flash, HDR, panorama",,"Available. Released 2023, May 18",No,Photo/Video,Qualcomm SM7450-AB Snapdragon 7 Gen 1 (4 nm),HTC,"OLED, 120Hz","5.2, A2DP, LE",Li-Ion 4600 mAh,,,HTC U23 Pro,$ 309.99 / C$ 799.00 / £ 390.01 / € 234.75,"2023, May 18","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",,Yes,USB Type-C 3.0,,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",Adreno 644,,"256GB 8GB RAM, 256GB 12GB RAM",,"1, 3, 7, 20, 28, 41, 78 SA/NSA",166.6 x 77.1 x 8.9 mm (6.56 x 3.04 x 0.35 in),"4K@30fps, 1080p@30fps, gyro-EIS","32 MP, f/2.5, (wide), 1/3.2"", 0.7µm",,microSDXC,,Endurance rating 83h,,,"HSPA, LTE, 5G","Snow White, Coffee Black","AnTuTu: 534643 (v9), 688082 (v10)GeekBench: 2947 (v5), 3007 (v6)GFXBench: 33fps (ES 3.1 onscreen)",,GSM / HSPA / LTE / 5G,,,HDR,,$ 399.00,$ 309.99,https://fdn2.gsmarena.com/vv/bigpic/htc-u23-pro.jpg,"GPS, GLONASS, GALILEO, BDS",,,,GSM 850 / 900 / 1800 / 1900,,Android 13,Nano-SIM + Nano-SIM,,,205 g (7.23 oz),,"1080 x 2400 pixels, 20:9 ratio (~393 ppi density)",Octa-core (1x2.4 GHz Cortex-A710 & 3x2.36 GHz Cortex-A710 & 4x1.8 GHz Cortex-A510),,,,,"108 MP, f/1.7, (wide), 1/1.67"", 0.64μm, PDAF, OIS8 MP, f/2.4, 120˚ (ultrawide), 1/4.0"", 1.12µm5 MP, f/2.2, (macro)2 MP, f/2.4, (depth)",1080p@30fps,,"Glass front (Gorilla Glass Victus), plastic frame, plastic back",Yes
eMMC 5.1,10W wired,,,,Yes,,,"10.1 inches, 295.8 cm2(~78.3% screen-to-body ratio)",HSDPA 850 / 900 / 2100,"1, 3, 5, 7, 8, 20, 38, 40, 41",,LED flash,,"Available. Released 2023, August",No,,Mediatek MT8768A (12 nm),HTC,IPS LCD,"5.0, A2DP, LE",Li-Po 6000 mAh,,,HTC A103 Plus,About 190 EUR,"2023, July 19","Accelerometer, gyro, proximity",,No,"USB Type-C 2.0, OTG",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",PowerVR GE8320,,64GB 4GB RAM,,,239.2 x 157.9 x 7.9 mm (9.42 x 6.22 x 0.31 in),1080p,"5 MP, f/2.2, AF",,microSDXC (uses shared SIM slot),,,,,"HSPA, LTE",Gray,,,GSM / HSPA / LTE,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-a103-plus.jpg,"GPS, GLONASS, GALILEO",,,,GSM 850 / 900 / 1800 / 1900,,Android 13,Nano-SIM + Nano-SIM,,,430 g (15.17 oz),5 MP,"1200 x 1920 pixels, 16:10 ratio (~224 ppi density)",Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),,,,,,1080p,,,No
eMMC 5.1,10W wired,,,,"Yes, with stereo speakers",,,"10.1 inches, 295.8 cm2(~74.6% screen-to-body ratio)",HSDPA 900 / 2100,"1, 3, 5, 7, 8, 20, 38, 40, 41",,LED flash,,"Available. Released 2023, August",No,,Mediatek MT6761B Helio A22 (12 nm),HTC,IPS LCD,"5.0, A2DP, LE",Li-Po 6000 mAh,,,HTC A103,About 140 EUR,"2023, July","Accelerometer, gyro",,No,"USB Type-C 2.0, OTG",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",PowerVR GE8320,,64GB 4GB RAM,,,244 x 162.6 x 8.5 mm (9.61 x 6.40 x 0.33 in),1080p,5 MP,,microSDXC (uses shared SIM slot),,,,,"HSPA, LTE","Gray, Silver",,,GSM / HSPA / LTE,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-a103.jpg,"GPS, GLONASS",,,,GSM 850 / 900 / 1800 / 1900,,Android 13,Nano-SIM + Nano-SIM,,,440 g (15.52 oz),"5 MP, f/2.2","800 x 1280 pixels, 16:10 ratio (~149 ppi density)",Quad-core 2.0 GHz Cortex-A53,,,,,,720p,,,Yes
CDMA 800,18W wired,,,,Yes,,,"11.0 inches, 344.4 cm2(~82.2% screen-to-body ratio)",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 20, 38, 39, 40, 41",,LED flash,,"Available. Released 2023, August",No,,Mediatek MT6769 Helio G85 (12 nm),HTC,IPS LCD,"5.0, A2DP, LE",Li-Po 8000 mAh,,,HTC A102,About 170 EUR,"2023, July 13","Accelerometer, gyro, proximity",,No,"USB Type-C 2.0, OTG, magnetic connector",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Mali-G52 MC2,,128GB 8GB RAM,,,257.9 x 162.5 x 7.9 mm (10.15 x 6.40 x 0.31 in),1080p,"20 MP, f/2.2, AF",CDMA2000 1x,microSDXC (uses shared SIM slot),,,,,"HSPA, LTE",Gray,,,GSM / CDMA / HSPA / CDMA2000 / LTE,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-a102.jpg,"GPS, GLONASS, GALILEO",,,,GSM 850 / 900 / 1800 / 1900,,Android 12,Nano-SIM + Nano-SIM,,,533 g (1.18 lb),"8 MP, f/2.2","1200 x 2000 pixels, 5:3 ratio (~212 ppi density)",Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),,eMMC 5.1,,,,720p,,,No
CDMA 800,10W wired,,,,"Yes, with stereo speakers",,,"10.1 inches, 295.8 cm2(~76.4% screen-to-body ratio)",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 20, 38, 39, 40, 41",,LED flash,,"Available. Released 2022, August",No,,Unisoc Tiger T618 (12 nm),HTC,IPS LCD,"5.0, A2DP, LE",Li-Po 7000 mAh,,,HTC A101,About 300 EUR,"2022, July 04","Accelerometer, gyro, proximity",,No,"USB Type-C 2.0, OTG, magnetic connector",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Mali G52 MP2,,128GB 8GB RAM,,,241.5 x 160.3 x 8.4 mm (9.51 x 6.31 x 0.33 in),1080p,"5 MP, f/2.2",CDMA2000 1x,microSDXC (uses shared SIM slot),,,,,"HSPA, LTE","Gray, Silver",,,GSM / CDMA / HSPA / CDMA2000 / LTE,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-a101.jpg,"GPS, GLONASS, GALILEO",,,,GSM 850 / 900 / 1800 / 1900,"16 MP, f/2.2, (wide), AF2 MP, f/2.2, (ultrawide)",Android 11,Nano-SIM + Nano-SIM,,,530 g (1.17 lb),,"1200 x 1920 pixels, 16:10 ratio (~224 ppi density)",Octa-core (2x2.0 GHz Cortex-A75 & 6x2.0 GHz Cortex-A55),,,,,,720p,,,Yes
