,Card slot,Games,Dimensions,Bluetooth,2G bands,4G bands,Features_1,Talk time,Alert types,Positioning,Infrared port,Loudspeaker,Stand-by_1,Messaging,Phonebook,EDGE,Radio,Build,OS,Speed,_3,Type,Weight,Sensors,Internal,Size,Colors,Call records,Single_1,Type_1,Browser,Protection,Technology,3G bands,WLAN,NFC,Model Name,Model Image,Features,Keyboard,Stand-by,Talk time_1,Announced,_2,Video,_1,USB,Chipset,Price,CPU,Resolution,Brand,Java,Dual,3.5mm jack,Single,GPU,Video_1,Charging,Status,GPRS,SIM,SAR EU
Flashlight,microSDHC,No,97.4 x 47.9 x 17.9 mm (3.83 x 1.89 x 0.70 in),Yes,GSM 850 / 900 / 1800 / 1900,,,,,No,,Yes,,SMS,Yes,No,FM radio,,,,,"TFT, 65K colors",80 g (2.82 oz),,"32MB ROM, 32MB RAM","1.77 inches, 9.9 cm2(~21.1% screen-to-body ratio)","Black, Gold",Yes,,"Li-Ion, removable",,,GSM,,No,No,Haier C300,https://fdn2.gsmarena.com/vv/bigpic/haier-c300.jpg,,,,,"2018, May. Released 2018, May",Audio playerPhoto viewer,Yes,No,microUSB,Mediatek MT6261D,,,128 x 160 pixels (~116 ppi density),Haier,No,,No,2 MP,,,,Discontinued,Yes,Dual SIM,
"2, 4, 5, 7, 12, 17, 28",microSDXC (dedicated slot),,151.5 x 72.5 x 8.3 mm (5.96 x 2.85 x 0.33 in),"4.2, A2DP, LE",GSM 850 / 900 / 1800 / 1900,"1, 3, 5, 7, 8, 20, 40, 41",LED flash,,,"GPS, GLONASS",,Yes,,,,,FM radio,,Android 7.0 (Nougat),"HSPA 42.2/11.5 Mbps, LTE (2CA) Cat6 300/50 Mbps",,IPS LCD,145 g (5.11 oz),"Fingerprint (rear-mounted), accelerometer, proximity",16GB 2GB RAM,"5.7 inches, 83.8 cm2(~76.3% screen-to-body ratio)","Black, Blue, Red, Green",,"8 MP, f/2.0, 1/4.0"", no AF","Li-Ion 3300 mAh, non-removable",,Asahi Dragontrail Glass,GSM / HSPA / LTE,HSDPA 850 / 900 / 1900 / 2100,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,Haier Hurricane,https://fdn2.gsmarena.com/vv/bigpic/haier-hurricane.jpg,"LED flash, HDR, panorama",,,,"2018, January",,1080p@30fps,,microUSB 2.0,Mediatek MT6753 (28 nm),,Octa-core 1.3 GHz Cortex-A53,"720 x 1440 pixels, 18:9 ratio (~282 ppi density)",Haier,,,Yes,"13 MP, f/2.0, 1.12 µm, PDAF",Mali-T720MP3,,,"Available. Released 2018, January",,Nano-SIM + Nano-SIM,
HSDPA 850 / 1900,microSDXC (dedicated slot),,142.8 x 70.7 x 8.5 mm (5.62 x 2.78 x 0.33 in),"4.2, A2DP, LE",GSM 850 / 900 / 1800 / 1900,"1, 3, 5, 7, 8, 20, 40",LED flash,,,GPS,,Yes,,,,,FM radio,,Android 7.0 (Nougat),"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,IPS LCD,135 g (4.76 oz),"Accelerometer, proximity",16GB 1GB RAM,"5.0 inches, 68.9 cm2(~68.3% screen-to-body ratio)","Black, White, Blue",,"8 MP, f/2.0, 1/4.0"", 1.12µm","Li-Ion 2500 mAh, removable",,Asahi Dragontrail Glass,GSM / HSPA / LTE,HSDPA 900 / 2100,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,Haier G8,https://fdn2.gsmarena.com/vv/bigpic/haier-g8.jpg,"LED flash, HDR, panorama",,,,Not announced yet,eMMC 5.0,720p@30fps,"2, 4, 5, 7, 17, 28",microUSB 2.0,Mediatek MT6737 (28 nm),,Quad-core 1.25 GHz Cortex-A53,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Haier,,,Yes,"8 MP, f/2.0, 1/4.0"", 1.12µm, AF",Mali-T720MP1,,,"Available. Released 2018, April",,"Dual SIM (Micro-SIM, dual stand-by)",
eMMC 5.1,microSDXC (dedicated slot),,160 x 76 x 8.4 mm (6.30 x 2.99 x 0.33 in),"4.2, A2DP, LE",GSM 850 / 900 / 1800 / 1900,"1, 3, 5, 7, 8, 20, 40, 41",LED flash,,,"GPS, GLONASS",,Yes,,,,,FM radio,"Glass front (Asahi Dragontrail), aluminum back, aluminum frame",Android 7.1 (Nougat),"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat7 300/150 Mbps",,IPS LCD,140 g (4.94 oz),"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",32GB 3GB RAM,"5.99 inches, 92.6 cm2(~76.1% screen-to-body ratio)","Black, Gold, Blue",,,"Li-Ion 4000 mAh, non-removable",,Asahi Dragontrail Glass,GSM / HSPA / LTE,HSDPA 850 / 900 / 1900 / 2100,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,Haier L8,https://fdn2.gsmarena.com/vv/bigpic/haier-l8.jpg,"Dual-LED dual-tone flash, HDR, panorama",,,,"2018, March",,1080p@30fps,,USB Type-C 2.0,Qualcomm SDM450 Snapdragon 450 (14 nm),,Octa-core 1.8 GHz Cortex-A53,"1080 x 2160 pixels, 18:9 ratio (~403 ppi density)",Haier,,"12 MP, PDAF2 MP, (depth)",Yes,"8 MP, f/2.0, 1/4.0"", 1.12µm",Adreno 506,,10W wired,"Available. Released 2018, April",,Nano-SIM + Nano-SIM,
"2, 4, 5, 7, 12, 17, 28",microSDXC (dedicated slot),,151.5 x 72.5 x 8.3 mm (5.96 x 2.85 x 0.33 in),"4.2, A2DP, LE",GSM 850 / 900 / 1800 / 1900,"1, 3, 5, 7, 8, 20, 40, 41",LED flash,,,"GPS, GLONASS",,Yes,,,,,FM radio,"Glass front, aluminum back, aluminum frame",Android 7.1 (Nougat),"HSPA 42.2/11.5 Mbps, LTE (2CA) Cat6 300/50 Mbps",,IPS LCD,145 g (5.11 oz),"Fingerprint (rear-mounted), accelerometer, proximity",32GB 3GB RAM,"5.7 inches, 83.8 cm2(~76.3% screen-to-body ratio)","Black, Blue, Red, Green",,"8 MP, f/2.0, 1/4.0"", no AF","Li-Ion 3300 mAh, non-removable",,,GSM / HSPA / LTE,HSDPA 850 / 900 / 1900 / 2100,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,Haier I6,https://fdn2.gsmarena.com/vv/bigpic/haier-l6.jpg,"LED flash, HDR, panorama",,,,"2018, January",,1080p@30fps,,microUSB 2.0,Mediatek MT6753 (28 nm),,Octa-core 1.3 GHz Cortex-A53,"720 x 1440 pixels, 18:9 ratio (~282 ppi density)",Haier,,,Yes,"13 MP, f/2.0, 1.12µm, PDAF",Mali-T720MP3,,,"Available. Released 2018, January",,Nano-SIM + Nano-SIM,0.32 W/kg (head)     1.19 W/kg (body)
"1, 3, 5, 7, 8, 26, 40",microSDXC (uses shared SIM slot),,152 x 76 x 7.9 mm (5.98 x 2.99 x 0.31 in),"4.0, A2DP, LE",GSM 850 / 900 / 1800 / 1900,"1, 3, 7, 8, 20",LED flash,,,"GPS, GLONASS",,Yes,,,,,FM radio,"Glass front (Asahi Dragontrail), aluminum/plastic back, aluminum frame",Android 7.1 (Nougat),"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,IPS LCD,160 g (5.64 oz),"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",32GB 3GB RAM,"5.5 inches, 83.4 cm2(~72.2% screen-to-body ratio)","Gold, Gray, Silver, Black, Red",,"5 MP, f/2.4","Li-Ion 3000 mAh, non-removable",,Asahi Dragontrail Glass,GSM / HSPA / LTE,HSDPA 850 / 900 / 1900 / 2100,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,Haier L7,https://fdn2.gsmarena.com/vv/bigpic/haier-l7.jpg,"Dual-LED dual-tone flash, HDR, panorama",,,,2017,,1080p@30fps,eMMC 5.1,"USB Type-C 2.0, OTG",Qualcomm MSM8937 Snapdragon 430 (28 nm),About 120 EUR,Octa-core 1.4 GHz Cortex-A53,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Haier,,,Yes,"13 MP, f/2.2, PDAF",Adreno 505,,"18W wired, QC3",Available. Released 2017,,Nano-SIM + Micro-SIM,0.17 W/kg (head)     0.69 W/kg (body)
HSDPA 850 / 1900,microSDHC (dedicated slot),,143 x 71.5 x 8.1 mm (5.63 x 2.81 x 0.32 in),"4.0, A2DP, LE",GSM 850 / 900 / 1800 / 1900,"1, 3, 7, 20",LED flash,,,GPS,,Yes,,,,,FM radio,,Android 7.0 (Nougat),"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",eMMC 5.0,IPS LCD,135 g (4.76 oz),"Accelerometer, proximity",16GB 1GB RAM,"5.0 inches, 68.9 cm2(~67.4% screen-to-body ratio)","Black, White, Yellow, Blue",,5 MP,"Li-Ion 2200 mAh, removable",,Scratch-resistant glass,GSM / HSPA / LTE,HSDPA 900 / 2100,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,Haier G7,https://fdn2.gsmarena.com/vv/bigpic/haier-g7.jpg,"LED flash, HDR, panorama",,,,2017,"3, 5, 40",720p@30fps,"2, 4, 5, 7, 17",microUSB 2.0,Mediatek MT6737 (28 nm),,Quad-core 1.25 GHz Cortex-A53,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Haier,,,Yes,"8 MP, AF",Mali-T720MP1,,,Available. Released 2017,,"Dual SIM (Micro-SIM, dual stand-by)",0.53 W/kg (head)     0.87 W/kg (body)
HSDPA 850 / 1900,microSDHC (dedicated slot),,142.6 x 72.9 x 9.1 mm (5.61 x 2.87 x 0.36 in),"4.0, A2DP, LE",GSM 850 / 900 / 1800 / 1900,"1, 3, 7, 8, 20",Dual-LED dual-tone flash,,,GPS,,Yes,,,,,FM radio,,Android 7.0 (Nougat),"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,IPS LCD,155 g (5.47 oz),"Accelerometer, proximity",8GB 1GB RAM,"5.0 inches, 68.9 cm2(~66.3% screen-to-body ratio)","Black, Gold, White, Blue",,"5 MP, f/2.4","Li-Ion 2000 mAh, removable",,Scratch-resistant glass,GSM / HSPA / LTE,HSDPA 900 / 2100,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,Haier G51,https://fdn2.gsmarena.com/vv/bigpic/haier-g51-.jpg,"Dual-LED dual-tone flash, HDR, panorama",,,,2017,eMMC 5.0,720p@30fps,"2, 4, 5, 8",microUSB 2.0,Mediatek MT6737M (28 nm),,Quad-core 1.25 GHz Cortex-A53,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",Haier,,,Yes,"5 MP, f/2.0, AF",Mali-T720MP1,,,Available. Released 2017,,"Dual SIM (Micro-SIM, dual stand-by)",0.71 W/kg (head)     1.11 W/kg (body)
No,microSD (dedicated slot),,110 x 55 x 12.2 mm (4.33 x 2.17 x 0.48 in),"2.0, A2DP",GSM 900 / 1800,,,,,No,,Yes,,,,Class 10,FM radio,,Microsoft Windows Mobile 6.5 Professional,,,"TFT resistive touchscreen, 256K colors",111 g (3.92 oz),Accelerometer,,"3.0 inches, 25.6 cm2(~42.3% screen-to-body ratio)",Silver,,,Removable Li-Ion 1100 mAh battery,"WAP 2.0/xHTML, HTML",,GSM,,No,,Haier U69,https://fdn2.gsmarena.com/vv/bigpic/haier-u69.jpg,,,,,"2010. Released 2010, April",,No,MP3/WAV/WMA/eAAC playerMP4/H.264 playerOrganizerDocument viewerVoice memoPredictive text input,2.0,,,,"240 x 400 pixels, 5:3 ratio (~155 ppi density)",Haier,,,Yes,2 MP,,,,Discontinued,Class 10,Mini-SIM,
No,microSD (dedicated slot),No,104 x 50 x 14.5 mm (4.09 x 1.97 x 0.57 in),2.0,GSM 900 / 1800,,,,,No,,Yes,,"SMS, MMS",Yes,No,FM radio,,,,,"TFT resistive touchscreen, 65K colors",-,,,"2.4 inches, 17.8 cm2(~34.3% screen-to-body ratio)",Black,Yes,,Removable Li-Ion 900 mAh battery,WAP 2.0/xHTML,,GSM,,No,,Haier U60,https://fdn2.gsmarena.com/vv/bigpic/haier-u60.jpg,,,,,2010. Released 2010,,No,MP3/MP4 playerPredictive text input,No,,,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Haier,"Yes, MIDP 2.0",,No,VGA,,,,Discontinued,Class 10,Dual SIM (Mini-SIM),
