Unnamed: 0,Loudspeaker,Protection,Status,Loudspeaker_1,Size,Model Image,Dual,Triple,Features,Type_1,_4,64GB 4GB RAM,1TB 24GB RAM,Card slot,Battery (old),Speed,Chipset,Internal,Camera,128GB 6GB RAM,3.5mm jack,Dual_1,Announced,Performance,SAR,Charging,Type,_2,Battery (new),Positioning,Display,Colors,512GB 16GB RAM,512GB 12GB RAM,256GB 12GB RAM,Video_1,Price,256GB 4GB RAM,4G bands,USB,Radio,512GB 8GB RAM,Sensors,256GB 8GB RAM,Quad,WLAN,NFC,Video,Dimensions,EDGE,3G bands,Build,_6,Models,Triple_1,GPU,5G bands,Infrared port,Bluetooth,GPRS,OS,Audio quality,_1,1TB 16GB RAM,Weight,Brand,SAR EU,_5,Features_1,2G bands,CPU,Stand-by,Single_1,Technology,Model Name,SIM,128GB 8GB RAM,Single,Talk time,Resolution,_3,128GB 4GB RAM,URL,Image
"IP64 dust and water resistant (up to 0.25m for 3 min, 0.5m for 1 min)Drop resistant up to 1.8m",Yes,,"Coming soon. Exp. release 2025, January",,"6.7 inches, 108.0 cm2(~89.9% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/honor-x8c.jpg,"108 MP, f/1.8, 24mm (wide), 1/1.67"", PDAF, OIS5 MP, f/2.2, (ultrawide)",,"LED flash, HDR, panorama",Li-Po 5000 mAh,,,,No,,"HSPA, LTE",Qualcomm SM6225 Snapdragon 685 (6 nm),"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM",,,No,,"2025, January 14",,,35W wired,"AMOLED, 120Hz, 1200 nits (HBM), 2800 nits (peak)",,,"GPS, GLONASS, GALILEO, BDS",,"Marrs Green, Midnight Black, Moonlight White, Cloud Purple",,,,1080p@30fps,About 200 EUR,,LTE,"USB Type-C 2.0, OTG",No,,"Fingerprint (side-mounted), accelerometer, gyro, compass, proximity (ultrasonic)",,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",No,"1080p@30fps, gyro-EIS",161.1 x 74.6 x 7.1 mm (6.34 x 2.94 x 0.28 in),,HSDPA 850 / 900 / 1900 / 2100,"Glass front, plastic frame, plastic back or silicone polymer back (eco leather)",,"ABR-LX1, ABR-LX2, ABR-LX3",,Adreno 610,,,"5.0/5.1, A2DP, LE",,"Android 15, MagicOS 9",,,,174 g (6.14 oz),Honor,,,,GSM 850 / 900 / 1800 / 1900,Octa-core (4x2.8 GHz Cortex-A73 & 4x1.9 GHz Cortex-A53),,,GSM / HSPA / LTE,Honor X8c,Nano-SIM + Nano-SIM,,"50 MP, f/2.1, (wide)",,"1080 x 2412 pixels, 20:9 ratio (~394 ppi density)",,,,
"IP64, dust and water resistantDrop resistant up to 2m","Yes, with stereo speakers",,"Available. Released 2025, January 02",,"6.78 inches, 111.5 cm2(~90.7% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/honor-x9c.jpg,"108 MP, f/1.8, (wide), 1/1.67"", PDAF, OIS5 MP, f/2.2, (ultrawide)",,"LED flash, panorama, HDR",Si/C Li-Ion 6600 mAh,,,,No,,"HSPA, LTE, 5G",Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm),"256GB 8GB RAM, 512GB 8GB RAM",,,No,,"2025, January 02",,,66W wiredReverse wired,"AMOLED, 1B colors, 120Hz, 4000 nits (peak)",,,"GPS, GLONASS, GALILEO, BDS",,"Titanium Purple, Titanium Black",,,,1080p@30fps,£ 402.00,,LTE,"USB Type-C 2.0, OTG",No,£ 402.00,"Fingerprint (under display, optical), accelerometer, gyro, compass, proximity (ultrasonic)",,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Yes (market/region dependent),"4K@30fps, 1080p@30fps",162.8 x 75.5 x 8 mm (6.41 x 2.97 x 0.31 in),,HSDPA 850 / 900 / 1900 / 2100,,,BRP-NX1,,Adreno 710,SA/NSA,Yes,"5.1, A2DP, LE",,"Android 14, MagicOS 8",,,,189 g (6.67 oz),Honor,,,,GSM 850 / 900 / 1800 / 1900,Octa-core (4x2.2 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),,,GSM / HSPA / LTE / 5G,Honor Magic7 Lite,Nano-SIM +eSIM,,"16 MP, f/2.5, (wide)",,1224 x 2700 pixels (~437 ppi density),,,,
CDMA 800,"Yes, with stereo speakers",Giant rhino glass,"Available. Released 2024, December 24",,"6.8 inches, 112.8 cm2(~89.9% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/honor-magic7-rsr-porsche-design-.jpg,,"50 MP, f/1.4-2.0, 23mm (wide), 1/1.3"", 1.2µm, dual pixel PDAF, OIS180 MP, f/1.9, (periscope telephoto), 1/1.4"", PDAF, OIS, 3x optical zoom50 MP, f/2.0, 13mm, 122˚ (ultrawide), 1/2.88"", dual pixel PDAF","LiDAR AF, color spectrum sensor, LED flash, HDR, panorama",Si/C Li-Ion 5850 mAh,Emergency SOS via satellite (messages only),,,No,,"HSPA, LTE, 5G",Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),"512GB 16GB RAM, 1TB 24GB RAM",,,No,,"2024, December 23",,,100W wired80W wirelessReverse wireless5W reverse wired,"LTPO OLED, 1B colors, 120Hz, Dolby Vision, HDR, 1600 nits (HBM), 5000 nits (peak)",IP68/IP69 dust/water resistant (up to 1.5m for 30 min),,"GPS (L1+L5), GLONASS, BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5)",,"Agate Grey, Purple",,,,"4K@30/60fps, 1080p@30/60fps, gyro-EIS",About 1050 EUR,,LTE,"USB Type-C 3.2, DisplayPort 1.2, OTG",No,,"Fingerprint (under display, ultrasonic), Face ID, accelerometer, gyro, proximity, compass",,,"Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band, Wi-Fi Direct","Yes, HCE, NFC-SIM","4K@24/30/60fps, 1080p@30/60/120/240fps, gyro-EIS, OIS, HDR, 10-bit video",162.7 x 77.1 x 8.8 mm (6.41 x 3.04 x 0.35 in),,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"Glass front (Giant Rhino glass), glass back",,PTP-AN20,,Adreno 830,SA/NSA,Yes,"5.4, A2DP, LE, aptX HD",,"Android 15, MagicOS 9",,CDMA2000 1x,,228 g (8.04 oz),Honor,,,,GSM 850 / 900 / 1800 / 1900,Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),,,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,Honor Magic7 RSR Porsche Design,Nano-SIM + Nano-SIM,,"50 MP, f/2.0, 22mm (wide), 1/2.93"", AFTOF 3D, (depth/biometrics sensor)",,"1280 x 2800 pixels, 19.5:9 ratio (~453 ppi density)",UFS 4.0,,,
"IP65, dust and water resistant","Yes, with stereo speakers",,"Available. Released 2024, December 17",,"6.7 inches, 108.5 cm2(~90.8% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/honor-gt-new.jpg,"50 MP, f/2.0, (wide), 1/1.56"", 1.0µm, PDAF, OIS12 MP, f/2.2, 112˚ (ultrawide), AF",,"LED flash, HDR, panorama",Si/C Li-Ion 5300 mAh,,,,No,,"HSPA, LTE, 5G",Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),"256GB 12GB RAM, 256GB 16GB RAM, 512GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM",,,No,,"2024, December 17",,,"100W wired, 60% in 15 min5W reverse wired","AMOLED, 1B colors, 120Hz, HDR, 1200 nits (HBM), 4000 nits (peak)",,,"GPS, GALILEO, GLONASS, BDS (B1I+B1c)",,"Black, White, Green",,,,"1080p, gyro-EIS",About 290 EUR,,LTE,"USB Type-C 2.0, OTG",No,,"Fingerprint (under display, optical), accelerometer, gyro, compass, ultrasound proximity",,,"Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band, Wi-Fi Direct",Yes,"4K, 1080p, gyro-EIS, OIS",161 x 74.2 x 7.7 mm (6.34 x 2.92 x 0.30 in),,HSDPA 850 / 900 / 1900 / 2100,,,AMG-AN00,,Adreno 750,SA/NSA,Yes,"5.3, A2DP, LE, aptX HD",,"Android 15, MagicOS 9",,UFS 4.0,,196 g (6.91 oz),Honor,,,HDR,GSM 850 / 900 / 1800 / 1900,8-core (1x3.3GHz Cortex-X4 & 3x3.2GHz Cortex-A720 & 2x3.0GHz Cortex-A720 & 2x2.3GHz Cortex-A520),,,GSM / HSPA / LTE / 5G,Honor GT,Nano-SIM + Nano-SIM,,"16 MP, f/2.5, (wide)",,1200 x 2664 pixels (~436 ppi density),,,,
Honor Pencil 3 (15ms latency),"Yes, with stereo speakers (8 speakers)",,"Available. Released 2024, December 23",,"11.5 inches, 391.6 cm2(~85.8% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/honor-pad-v9.jpg,,,LED flash,Si/C Li-Ion 10100 mAh,,,,No,,,Mediatek Dimensity 8350 (4 nm),"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",,,No,,"2024, December 17",,,66W wired,"IPS LCD, 1B colors, 144Hz, HDR",,,No,,"Violet, Gray, White",,,,1080p@30fps,About 260 EUR,,,"USB Type-C, magnetic connector",No,,"Accelerometer, proximity (accessories only), gyro",,,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",No,"4K@30fps, 1080p@30fps",259.1 x 176.1 x 6.1 mm (10.20 x 6.93 x 0.24 in),,,,,ROL-W00,,Mali G615-MC6,,,"5.2, A2DP, LE, aptX HD",,"Android 15, MagicOS 9",,24-bit/192kHz Hi-Res audioIMAX Enhanced,,475 g (1.05 lb),Honor,,,,,Octa-core (1x3.35 GHz Cortex-A715 & 3x3.20 GHz Cortex-A715 & 4x2.20 GHz Cortex-A510),,"8 MP, f/2.0, (wide)",No cellular connectivity,Honor Pad V9,No,,"13 MP, f/2.0, (wide), AF",,"2800 x 1840 pixels, 3:2 ratio (~291 ppi density)",,,,
"IP65, dust and water resistant","Yes, with stereo speakers",Giant rhino glass,"Available. Released 2024, December 07",,"6.78 inches, 111.5 cm2(~90.4% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/honor-300-ultra.jpg,"50 MP, f/2.1, (wide)2 MP, f/2.4, (depth)","50 MP, f/2.0, (wide), 1/1.56"", 1.0µm, PDAF, OIS50 MP, f/3.0, (periscope telephoto), 1/2.51"", 0.7µm, PDAF, OIS, 3.8x optical zoom12 MP, f/2.2, 112˚ (ultrawide), AF","LED flash, HDR, panorama",Si/C Li-Ion 5300 mAh,,,,No,,"HSPA, LTE, 5G",Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),"512GB 12GB RAM, 1TB 16GB RAM",,,No,,"2024, December 02",,,"100W wired, 59% in 15 min80W wireless, 39% in 15 min5W reverse wiredReverse wireless","AMOLED, 1B colors, 120Hz, HDR, 1200 nits (HBM), 4000 nits (peak)",,,"GPS, GALILEO, GLONASS, QZSS, BDS (B1I+B1c)",,"Black, White",,,,"4K, 1080p, gyro-EIS",About 550 EUR,,LTE,"USB Type-C 2.0, OTG",No,,"Fingerprint (under display, ultrasonic), accelerometer, gyro, compass, ultrasound proximity",,,"Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band, Wi-Fi Direct",Yes,"4K, 1080p, gyro-EIS, OIS",163.8 x 75.3 x 8.2 mm (6.45 x 2.96 x 0.32 in),,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"Glass front, glass back or silicone polymer back (eco leather)",,,,Adreno 750,SA/NSA,Yes,"5.3, A2DP, LE, aptX HD",,"Android 15, MagicOS 9",,BDS Satellite Messaging,,198 g (6.98 oz),Honor,,,HDR,GSM 850 / 900 / 1800 / 1900,Octa-core (1x3.0 GHz Cortex-X4 & 5x2.95 GHz Cortex-A720 & 2x2.0 GHz Cortex-A520),,,GSM / HSPA / LTE / 5G,Honor 300 Ultra,Nano-SIM + Nano-SIM,,,,1224 x 2700 pixels (~437 ppi density),,,,
"IP65, dust and water resistant","Yes, with stereo speakers",,"Available. Released 2024, December 07",,"6.78 inches, 111.5 cm2(~90.4% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/honor-300-pro.jpg,"50 MP, f/2.1, (wide)2 MP, f/2.4, (depth)","50 MP, f/2.0, (wide), 1/1.56"", 1.0µm, PDAF, OIS50 MP, f/2.4, (telephoto), PDAF, OIS, 3x optical zoom12 MP, f/2.2, 112˚ (ultrawide), AF","LED flash, HDR, panorama",Si/C Li-Ion 5300 mAh,,,,No,,"HSPA, LTE, 5G",Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),"256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM",,,No,,"2024, December 02",,,"100W wired, 59% in 15 min80W wireless, 39% in 15 min5W reverse wiredReverse wireless","AMOLED, 1B colors, 120Hz, HDR, 1200 nits (HBM), 4000 nits (peak)",,,"GPS, GALILEO, GLONASS, QZSS, BDS (B1I+B1c)",,"Black, White, Green",,,,"4K, 1080p, gyro-EIS",About 480 EUR,,LTE,"USB Type-C 2.0, OTG",No,,"Fingerprint (under display, optical), accelerometer, gyro, compass, ultrasound proximity",,,"Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band, Wi-Fi Direct",Yes,"4K, 1080p, gyro-EIS, OIS",163.8 x 75.3 x 8.2 mm (6.45 x 2.96 x 0.32 in),,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,,,AMP-AN00,,Adreno 750,SA/NSA,Yes,"5.3, A2DP, LE, aptX HD",,"Android 15, MagicOS 9",,,,199 g (7.02 oz),Honor,,,HDR,GSM 850 / 900 / 1800 / 1900,Octa-core (1x3.0 GHz Cortex-X4 & 5x2.95 GHz Cortex-A720 & 2x2.0 GHz Cortex-A520),,,GSM / HSPA / LTE / 5G,Honor 300 Pro,Nano-SIM + Nano-SIM,,,,1224 x 2700 pixels (~437 ppi density),,,,
"IP65, dust and water resistant","Yes, with stereo speakers",,"Available. Released 2024, December 02",,"6.7 inches, 108.5 cm2(~90.8% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/honor-300.jpg,"50 MP, f/2.0, (wide), 1/1.56"", 1.0µm, PDAF, OIS12 MP, f/2.2, 112˚ (ultrawide), AF",,"LED flash, HDR, panorama",Si/C Li-Ion 5300 mAh,,,,No,,"HSPA, LTE, 5G",Qualcomm SM7550-AB Snapdragon 7 Gen 3 (4 nm),"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM",,,No,,"2024, December 02",,,"100W wired, 53% in 15 min5W reverse wired","AMOLED, 1B colors, 120Hz, 1200 nits (HBM), 4000 nits (peak)",,,"GPS, GALILEO, GLONASS, QZSS, BDS (B1I+B1c)",,"Black, White, Green, Purple, Gray",,,,"4K, 1080p, gyro-EIS",About 300 EUR,,LTE,"USB Type-C 2.0, OTG",No,,"Fingerprint (under display, optical), accelerometer, gyro, compass, ultrasound proximity",,,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",Yes,"4K, 1080p, gyro-EIS, OIS",161 x 74.2 x 7 mm (6.34 x 2.92 x 0.28 in),,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,,,AMM-AN00,,Adreno 720,SA/NSA,Yes,"5.3, A2DP, LE, aptX HD",,"Android 15, MagicOS 9",,,,175 g (6.17 oz),Honor,,,HDR,GSM 850 / 900 / 1800 / 1900,Octa-core (1x2.63 GHz Cortex-A715 & 3x2.4 GHz Cortex-A715 & 4x1.8 GHz Cortex-A510),,,GSM / HSPA / LTE / 5G,Honor 300,Nano-SIM + Nano-SIM,,"50 MP, f/2.1, (wide)",,1200 x 2664 pixels (~436 ppi density),,,,
Waterproof,Yes,,"Available. Released 2024, December 08",,"6.8 inches, 111.3 cm2(~88.4% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/honor-x9c-smart.jpg,"108 MP, f/1.8, (wide), 1/1.67"", PDAF5 MP, f/2.2, (ultrawide)",,"LED flash, panorama, HDR",Li-Po 5800 mAh,,,,No,,"HSPA, LTE, 5G",Mediatek Dimensity 7025 Ultra (6 nm),"256GB 8GB RAM, 256GB 12GB RAM",,,No,,"2024, December 02",,,35W wired5W reverse wired,"TFT LCD, 120Hz, 850 (HBM)",,,"GPS, GLONASS, GALILEO, BDS",,"Ocean Cyan, Moonlight White",,,,1080p@30fps,,,LTE,"USB Type-C 2.0, OTG",No,,"Fingerprint (side-mounted, optical), accelerometer, gyro, proximity (ultrasound), compass",,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Yes (market/region dependent),1080p@30fps,166 x 75.8 x 7.9 mm (6.54 x 2.98 x 0.31 in),,HSDPA 850 / 900 / 1900 / 2100,,,,,IMG BXM-8-256,SA/NSA,,"5.3, A2DP, LE, aptX HD",,"Android 14, Magic OS 8",,,,193 g (6.81 oz),Honor,,,,GSM 850 / 900 / 1800 / 1900,Octa-core (2x2.5 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),,,GSM / HSPA / LTE / 5G,Honor X9c Smart,Nano-SIM + Nano-SIM,,"16 MP, f/2.5, (wide)",,"1080 x 2412 pixels, 20:9 ratio (~389 ppi density)",,,,
CDMA 800,Yes,,"Available. Released 2024, September 26",,"6.56 inches, 103.4 cm2(~83.9% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/honor-play9c.jpg,,,"LED flash, HDR, panorama",Li-Po 5200 mAh,,,,No,,"HSPA, LTE, 5G",Mediatek Dimensity 6100+ (6 nm),"128GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",,,Yes,,"2024, September 26",,,10W wired2.5W reverse wired,"TFT LCD, 90Hz, 780 nits (peak)",,,"GPS, GLONASS, GALILEO, BDS",,"Black, Blue",,,,1080p@30fps,About 100 EUR,,LTE,"USB Type-C 2.0, OTG",No,,"Fingerprint (side-mounted), accelerometer, proximity, compass",,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",No,1080p@30fps,163.6 x 75.3 x 8.4 mm (6.44 x 2.96 x 0.33 in),,HSDPA 850 / 900 / 1900 / 2100,,,JDY-AN00,,Mali-G57 MC2,SA/NSA,,"5.3, A2DP, LE, aptX HD",,"Android 14, Magic OS 8",,CDMA2000 1x,,190 g (6.70 oz),Honor,,,,GSM 850 / 900 / 1800 / 1900,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,"5 MP, f/2.2, (wide)",GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,Honor Play9C,Nano-SIM + Nano-SIM,,"13 MP, f/1.8, (wide)",,"720 x 1612 pixels, 20:9 ratio (~269 ppi density)",,,,
