,Price,Features,Talk time,Positioning,Resolution,Type_1,WLAN,Infrared port,EDGE,Phonebook,Bluetooth,Messaging,Music play,GPU,Chipset,Keyboard,Java,Model Image,OS,3G bands,2G bands,Call records,4G bands,Card slot,Internal,Status,_3,Technology,Stand-by,Video,Video_1,Games,Single,3.5mm jack,Brand,Speed,Dimensions,_2,GPRS,Weight,CPU,Colors,Announced,Type,_1,Sensors,Single_1,Size,Model Name,Loudspeaker,USB,Browser,SIM,Radio,NFC
,,LED flash,,GPS,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)","Li-Ion 2800 mAh, non-removable","Wi-Fi 802.11 a/b/g/n, hotspot",Yes,,,"4.0, A2DP, EDR",,,Mali-T720MP2,Mediatek MT8735,,,https://fdn2.gsmarena.com/vv/bigpic/icemobile-g8-.jpg,Android 5.1 (Lollipop),HSDPA 850 / 1700(AWS) / 1900 / 900,GSM 850 / 900 / 1800 / 1900,,"2, 4, 5, 7, 17",microSD,,Discontinued,,GSM / HSPA / LTE,,Yes,,,"5 MP, AF",Yes,Icemobile,"HSPA, LTE",188 x 108 x 10 mm (7.40 x 4.25 x 0.39 in),,,320 g (11.29 oz),Quad-core 1.3 GHz Cortex-A53,"Black, Silver, Gold","2017, July. Released 2017, July",IPS LCD,,Accelerometer,VGA,"7.0 inches, 137.9 cm2(~67.9% screen-to-body ratio)",Icemobile G8 LTE,Yes,microUSB 2.0,,Micro-SIM,FM radio,No
No,,,Up to 3 h,No,"320 x 240 pixels, 4:3 ratio (~182 ppi density)","Li-Ion 800 mAh, removable",No,,No,300 entries,2.0,SMS,,,Spreadtrum 6531DA,QWERTY,No,https://fdn2.gsmarena.com/vv/bigpic/icemobile-mash.jpg,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,20 entries,,microSDHC (dedicated slot),32MB 32MB RAM,Discontinued,,GSM,Up to 150 h,No,,No,VGA,Yes,Icemobile,,110 x 64 x 13.5 mm (4.33 x 2.52 x 0.53 in),,Yes,-,,"White, Black, Red, Gold","2016, March. Released 2016, March",TFT,MP4/H.263 playerMP3 player,,,"2.2 inches, 15.0 cm2(~21.3% screen-to-body ratio)",Icemobile Mash,Yes,microUSB,,Dual SIM,FM radio,No
,,LED flash,Up to 10 h,GPS,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)","Li-Ion 2600 mAh, non-removable",Wi-Fi 802.11 b/g/n,Yes,,,"2.1, EDR",,,Mali-400,Mediatek MT6572 (28 nm),,,https://fdn2.gsmarena.com/vv/bigpic/icemobile-g8.jpg,Android 4.4.2 (KitKat),HSDPA 850 / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,,,microSD (dedicated slot),,Discontinued,,GSM / HSPA,Up to 280 h,Yes,,,"5 MP, AF",Yes,Icemobile,HSPA,190 x 110 x 13 mm (7.48 x 4.33 x 0.51 in),,,320 g (11.29 oz),Dual-core 1.0 GHz Cortex-A7,"White, Black, Blue","2015, September. Released 2015, September",IPS LCD,,Accelerometer,VGA,"7.0 inches, 137.9 cm2(~66.0% screen-to-body ratio)",Icemobile G8,Yes,2.0,,Micro-SIM,FM radio,No
Flashlight,,LED flash,,GPS,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Li-Ion 2000 mAh, removable",Wi-Fi 802.11 b/g/n,,,,"4.0, A2DP",,,Mali-400MP2,Mediatek MT6582 (28 nm),,,https://fdn2.gsmarena.com/vv/bigpic/icemobile-prime-5-plus.jpg,Android 4.4.2 (KitKat),HSDPA 850 / 1700 / 1900,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,microSDHC,8GB 1GB RAM,Discontinued,,GSM / HSPA,,Yes,,,"8 MP, AF",Yes,Icemobile,HSPA,-,,,-,Quad-core 1.3 GHz Cortex-A7,"Black, Blue","2015, February. Released 2015, February",IPS LCD,,"Accelerometer, proximity",2 MP,"5.0 inches, 68.9 cm2",Icemobile Prime 5.0 Plus,Yes,microUSB 2.0,,Dual SIM,FM radio,No
Flashlight,,LED flash,Up to 3 h,GPS,"480 x 854 pixels, 16:9 ratio (~196 ppi density)","Li-Ion 1600 mAh, removable",Wi-Fi 802.11 b/g/n,,,,2.0,,,Mali-400,Mediatek MT6572A,,,https://fdn2.gsmarena.com/vv/bigpic/icemobile-prime-5.jpg,Android 4.4.2 (KitKat),HSDPA 850 / 1900,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,microSDHC,4GB 512MB RAM,Discontinued,,GSM / HSPA,,Yes,,,5 MP,Yes,Icemobile,HSPA,142 x 72.3 x 8.7 mm (5.59 x 2.85 x 0.34 in),,,-,Dual-core 1.3 GHz Cortex-A7,"Black, White","2015, February. Released 2015, February",IPS LCD,,"Accelerometer, proximity",1.3 MP,"5.0 inches, 68.9 cm2(~67.1% screen-to-body ratio)",Icemobile Prime 5.0,Yes,microUSB 2.0,,Dual SIM,FM radio,No
Flashlight,,LED flash,,GPS,"480 x 800 pixels, 5:3 ratio","Li-Ion 1400 mAh, removable",Wi-Fi 802.11 b/g/n,,,,2.0,,,Mali-400,Mediatek MT6572 (28 nm),,,https://fdn2.gsmarena.com/vv/bigpic/icemobile-prime-4-plus.jpg,Android 4.4.2 (KitKat),HSDPA 850 / 1700 / 1900,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,microSDHC,4GB 512MB RAM,Discontinued,,GSM / HSPA,,Yes,,,2 MP,Yes,Icemobile,HSPA,125 x 64 x 10 mm (4.92 x 2.52 x 0.39 in),,,-,Dual-core 1.3 GHz Cortex-A7,"Black, Blue","2015, February. Released 2015, February",IPS LCD,,Accelerometer,VGA,", -",Icemobile Prime 4.0 Plus,Yes,microUSB 2.0,,Dual SIM,FM radio,No
IP68 dust/water resistant (up to 1.5m for 30 min),,LED flash,Up to 12 h (2G) / Up to 7 h 30 min (3G),GPS,"480 x 854 pixels, 16:9 ratio (~244 ppi density)","Li-Ion 2800 mAh, removable","Wi-Fi 802.11 b/g/n, hotspot",,,,"4.0, A2DP",,,Mali-400MP2,Mediatek MT6582 (28 nm),,,https://fdn2.gsmarena.com/vv/bigpic/icemobile-gravity-40.jpg,Android 4.4.2 (KitKat),HSDPA 850 / 1900 / 2100,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,microSDHC (dedicated slot),8GB 1GB RAM,Discontinued,,GSM / HSPA,Up to 300 h (2G) / Up to 300 h (3G),Yes,,,"8 MP, AF",Yes,Icemobile,HSPA 21.1/5.76 Mbps,140.4 x 75.8 x 16.3 mm (5.53 x 2.98 x 0.64 in),,,316 g (11.15 oz),Quad-core 1.2 GHz Cortex-A7,"Black, White, Orange, Yellow, Green","2014. Released 2014, November",IPS LCD,,,1.3 MP,"4.02 inches, 44.5 cm2(~41.8% screen-to-body ratio)",Icemobile Gravity 4.0,Yes,microUSB 2.0,,Micro-SIM,FM radio,No
No,,,Up to 9 h,No,176 x 220 pixels (~117 ppi density),"Li-Ion 1000 mAh, removable",No,,No,500 contacts,2.0,"SMS, MMS",,,,,No,https://fdn2.gsmarena.com/vv/bigpic/icemobile-rock-24.jpg,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"20 dialed, 20 received, 20 missed calls",,microSDHC,32MB 32MB,Discontinued,,GSM,Up to 100 h,Yes,,Yes,VGA,No,Icemobile,,120 x 50 x 13.8 mm (4.72 x 1.97 x 0.54 in),,Yes,60 g (2.12 oz),,"Black, White, Red, Pink, Green, White&blue",2014. Released 2014,TFT,MP3/MP4/WAV playerCalendarPredictive text input,,,"2.4 inches, 18.1 cm2(~30.2% screen-to-body ratio)",Icemobile Rock 2.4,Yes,microUSB,,Dual SIM (Mini-SIM),FM radio,No
,,LED flash,,,"720 x 1280 pixels, 16:9 ratio (~269 ppi density)","Li-Ion 2250 mAh, removable",Wi-Fi 802.11 b/g/n,,,,Yes,,,Mali-400MP2,Mediatek MT6582A/W,,,https://fdn2.gsmarena.com/vv/bigpic/icemobile-prime-55.jpg,Android 4.4.2 (KitKat),HSDPA 850 / 1900,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,microSDXC,16GB 1GB RAM,Discontinued,,GSM / HSPA,,Yes,,,8 MP,Yes,Icemobile,HSPA,152.5 x 77 x 8.6 mm (6.00 x 3.03 x 0.34 in),,,-,Quad-core 1.3 GHz Cortex-A7,White,"2014, August. Released 2014, August",IPS LCD,,,2 MP,"5.46 inches, 82.2 cm2(~70.0% screen-to-body ratio)",Icemobile Prime 5.5,Yes,Proprietary,,Dual SIM,FM radio,No
,,LED flash,,GPS,"320 x 480 pixels, 3:2 ratio (~165 ppi density)","Li-Ion 1200 mAh, removable",Wi-Fi 802.11 b/g,,,,2.1,,,Mali-400,Mediatek MT6572M (28 nm),,,https://fdn2.gsmarena.com/vv/bigpic/icemobile-prime-35.jpg,Android 4.2.2 (Jelly Bean),HSDPA 850 / 1900,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,microSDHC,4GB 512MB RAM,Discontinued,,GSM / HSPA,,480p@30fps,,,2 MP,Yes,Icemobile,HSPA 7.2/5.76 Mbps,119.5 x 63.5 x 10.9 mm (4.70 x 2.5 x 0.43 in),,,-,Dual-core 1.2 GHz Cortex-A7,"White, Black","2014, July. Released 2014, July",TFT,,Accelerometer,VGA,"3.5 inches, 36.5 cm2(~48.1% screen-to-body ratio)",Icemobile Prime 3.5,Yes,microUSB 2.0,,Dual SIM,No,No
