,CPU,Single,Internal,Model Image,SIM,WLAN,Price,Dimensions,_3,_4,Performance,128GB 8GB RAM,Battery (new),Dual,Camera,Dual_1,NFC,Infrared port,Quad,OS,4G bands,USB,Protection,Video,_5,5G bands,Size,Speed,Card slot,3G bands,2G bands,64GB 3GB RAM,Positioning,Announced,Type,Video_1,Type_1,Build,256GB 8GB RAM,SAR,Bluetooth,Loudspeaker_1,512GB 8GB RAM,Radio,Chipset,256GB 12GB RAM,Display,Features,Sensors,Technology,Colors,Weight,Status,Features_1,Single_1,Loudspeaker,Models,Charging,_1,Battery (old),GPU,_2,64GB 4GB RAM,3.5mm jack,Resolution,Model Name,Brand,Triple
"IP54, dust and splash resistant",Octa-core 8x2.2 GHz Cortex-A53,"13 MP, f/1.9, 27mm (wide), AFAuxiliary lens","64GB 3GB RAM, 64GB 4GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-smart-9-hd.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,165.7 x 77.1 x 8.4 mm (6.52 x 3.04 x 0.33 in),,,,,,,,,No,Yes,,"Android 14 (Go edition), XOS 14","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 38, 41, 40, 66","USB Type-C 2.0, OTG",,1080p@30fps,,,"6.7 inches, 108.4 cm2(~84.8% screen-to-body ratio)","HSPA, LTE",microSDXC (dedicated slot),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2024, November","IPS LCD, 90Hz, 500 nits (peak)",Yes,5000 mAh,"Glass front, plastic back, plastic frame",,,Yes,,,FM radio,Mediatek Helio,,,"Dual-LED flash, HDR, panorama","Fingerprint (side-mounted), accelerometer, proximity, compass",GSM / HSPA / LTE,"Metallic Black, Neo Titanium, Mint Green, Coral Gold",188 g (6.63 oz),"Available. Released 2024, December",LED flash,"8 MP, f/2.0, (wide)","Yes, with stereo speakers",X6532C,10W wiredReverse wired,,,Mali-G57 MC1,,,Yes,"720 x 1600 pixels, 20:9 ratio (~262 ppi density)",Infinix Smart 9 HD,Infinix,
"IP54, dust and splash resistant",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"8 MP, f/2.0, (wide), 1/4.0""","128GB 8GB RAM, 256GB 8GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-hot-50-pro-4g.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,167 x 76.4 x 7.4 mm (6.57 x 3.01 x 0.29 in),24-bit/192kHz Hi-Res audio,,,,,,,,Yes,,,"Android 14, up to 1 major Android upgrades, XOS 14.5","1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41","USB Type-C 2.0, OTG",,"1440p@30fps, 1080p@30/60fps",,,"6.78 inches, 109.9 cm2(~86.1% screen-to-body ratio)","HSPA, LTE",microSDXC (dedicated slot),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2024, October 20","AMOLED, 1B colors, 120Hz, 550 nits (typ), 1800 nits (peak)",Yes,5000 mAh,"Glass front, plastic back, plastic frame",,,"5.4, A2DP, LE",,,FM radio,Mediatek Helio G100 (6 nm),,,"Quad-LED flash, HDR, panorama","Fingerprint (under display, optical), accelerometer, proximity, compass",GSM / HSPA / LTE,"Sleek Black, Titanium Grey, Glacier Blue",190 g (6.70 oz),"Available. Released 2024, November",LED flash,,"Yes, with stereo speakers",X6881,"33W wired, 50% in 27 minReverse wiredBypass charging",Always-on display,,Mali-G57 MC2,UFS,,Yes,1080 x 2436 pixels (~393 ppi density),Infinix Hot 50 Pro 4G,Infinix,"50 MP, f/1.6, 27mm (wide), 1/2.8"", AF2 MP, f/2.4, (depth)3rd unspecified camera"
"IP54, dust and splash resistant",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"13 MP, f/2.2, (wide), 1/3.06""","128GB 8GB RAM, 256GB 8GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-hot-50-pro-plus-4g.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",About 190 EUR,164.1 x 74.4 x 6.8 mm (6.46 x 2.93 x 0.27 in),Tuned by JBL24-bit/192kHz Hi-Res audio,,AnTuTu: 436283 (v10)GeekBench: 1957 (v6)3DMark: 384 (Wild Life Extreme),,Active use score 10:54h,"50 MP, f/1.6, 27mm (wide), 1/2.8"", AF2 MP, f/2.4, (depth)Auxiliary lens",,,"Yes, 360˚",,,"Android 14, up to 1 major Android upgrades, XOS 14.5","1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41","USB Type-C 2.0, OTG",Corning Gorilla Glass,"1440p@30fps, 1080p@30/60fps",,,"6.78 inches, 109.9 cm2(~90.0% screen-to-body ratio)","HSPA, LTE",microSDXC (dedicated slot),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2024, October 20","AMOLED, 1B colors, 120Hz, 550 nits (typ), 1300 nits (peak)",Yes,5000 mAh,"Glass front, plastic back, plastic frame",,,Yes,-27.1 LUFS (Good),,FM radio,Mediatek Helio G100 (6 nm),,1190 nits max brightness (measured),"Dual-LED flash, panorama","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",GSM / HSPA / LTE,"Sleek Black, Titanium Grey, Dreamy Purple",162 g (5.71 oz),"Available. Released 2024, November",LED flash,,"Yes, with stereo speakers",X6880,"33W wired, 50% in 26 min10W reverse wiredBypass charging",Always-on display,,Mali-G57 MC2,UFS 2.2,,No,1080 x 2436 pixels (~393 ppi density),Infinix Hot 50 Pro+ 4G,Infinix,
"IP54, dust and splash resistant",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"32 MP, f/2.2, (wide), 1/3.1""",256GB 8GB RAM,https://fdn2.gsmarena.com/vv/bigpic/infinix-note40s-x6850b.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,164.1 x 74.6 x 7.8 mm (6.46 x 2.94 x 0.31 in),,,,,,,,,Yes (market/region dependent),,,"Android 14, up to 2 major Android upgrades, XOS 14","1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41","USB Type-C 2.0, OTG",Corning Gorilla Glass,"1440p@30fps, 1080p@30/60fps",,,"6.78 inches, 109.9 cm2(~89.8% screen-to-body ratio)","HSPA, LTE",Unspecified,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2024, September","AMOLED, 1B colors, 120Hz, 550 nits (typ), 1300 nits (peak)",1080p@30fps,5000 mAh,,,,Yes,,,FM radio,Mediatek Helio G99 Ultimate,,,"Quad-LED flash, HDR, panorama","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",GSM / HSPA / LTE,"Obsidian Black, Vintage Green",176 g (6.21 oz),"Available. Released 2024, October",Dual-LED flash,,"Yes, with stereo speakers",X6850B,"33W wired, 50% in 31 min20W wireless MagChargeReverse wiredReverse wirelessBypass charging",UFS 2.2,,Mali-G57 MC2,Tuned by JBL24-bit/192kHz Hi-Res audio,,No,1080 x 2436 pixels (~393 ppi density),Infinix Note 40S,Infinix,"108 MP, f/1.9, 24mm (wide), 1/1.52"", PDAF2 MP, f/2.4, (macro)3rd unspecified camera"
"IP54, dust and splash resistant",Octa-core (2x2.0 GHz Cortex-A75 & 6x1.7 GHz Cortex-A55),"48 MP, f/1.8, (wide), AFAuxiliary lens","128GB 4GB RAM, 128GB 6GB RAM, 256GB 4GB RAM, 256GB 6GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-hot-50i.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,165.7 x 77.1 x 8.1 mm (6.52 x 3.04 x 0.32 in),,,,,,,,,No,,,"Android 14, XOS 14.5","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 38, 41, 40, 66","USB Type-C 2.0, OTG",,1080p@30fps,,,"6.7 inches, 108.4 cm2(~84.8% screen-to-body ratio)","HSPA, LTE",microSDXC (dedicated slot),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2024, September 23","IPS LCD, 120Hz, 500 nits (peak)",Yes,5000 mAh,"Glass front, plastic back, plastic frame",,,Yes,,,FM radio,Mediatek Helio G81,,,"Dual-LED flash, HDR, panorama","Fingerprint (side-mounted), accelerometer, proximity, compass",GSM / HSPA / LTE,"Sleek Black, Sage Green, Titanium Grey",184 g (6.49 oz),"Available. Released 2024, October",,"8 MP, f/2.0, (wide)","Yes, with stereo speakers","X6531, X6531B",18W wiredReverse wiredBypass charging,Always-on display,,Mali-G52 MC2,,,Yes,"720 x 1600 pixels, 20:9 ratio (~262 ppi density)",Infinix Hot 50i,Infinix,
"IP54, dust and splash resistant",Octa-core (2x2.0 GHz Cortex-A75 & 6x1.7 GHz Cortex-A55),"13 MP, f/1.9, 27mm (wide), AFAuxiliary lens","64GB 3GB RAM, 64GB 4GB RAM, 128GB 3GB RAM, 128GB 4GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-smart9.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",About 70 EUR,165.7 x 77.1 x 8.4 mm (6.52 x 3.04 x 0.33 in),,,,,,,,,No,Yes,,"Android 14 (Go edition), XOS 14","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 38, 41, 40, 66","USB Type-C 2.0, OTG",,1080p@30fps,,,"6.7 inches, 108.4 cm2(~84.8% screen-to-body ratio)","HSPA, LTE",microSDXC (dedicated slot),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2024, September 23","IPS LCD, 120Hz, 500 nits (peak)",Yes,5000 mAh,"Glass front, plastic back, plastic frame",,,Yes,,,FM radio,Mediatek Helio G81,,,"LED flash, HDR, panorama","Fingerprint (side-mounted), accelerometer, proximity, compass",GSM / HSPA / LTE,"Metallic Black, Neo Titanium, Mint Green, Sandstone Gold",188 g (6.63 oz),"Available. Released 2024, October",,"8 MP, f/2.0, (wide)","Yes, with stereo speakers",X6532,10W wiredReverse wired,Always-on display,,Mali-G52 MC2,,,Yes,"720 x 1600 pixels, 20:9 ratio (~262 ppi density)",Infinix Smart 9,Infinix,
Splash proof,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"8 MP, f/2.0, (wide), 1/4.0""","128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-hot-50-4g.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,167.9 x 75.6 x 7.7 mm (6.61 x 2.98 x 0.30 in),,,,,,,,,Yes,,,"Android 14, XOS 14.5","1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 41, 40","USB Type-C 2.0, OTG",,"1440p@30fps, 1080p@30/60fps",,,"6.78 inches, 109.2 cm2(~86.0% screen-to-body ratio)","HSPA, LTE",microSDXC (dedicated slot),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2024, September 30","IPS LCD, 120Hz, 800 nits (typ)",Yes,5000 mAh,"Glass front, plastic back, plastic frame",,,Yes,,,FM radio,Mediatek Helio G100 (6 nm),,,"Dual-LED flash, panorama","Fingerprint (side-mounted), accelerometer, proximity, compass",GSM / HSPA / LTE,"Sleek Black, Sage Green, Titanium Grey",187 g (6.60 oz),"Available. Released 2024, October",LED flash,,Yes,X6882,18W wiredReverse wiredBypass charging,Always-on display,,Mali-G57 MC2,UFS,,Yes,1080 x 2460 pixels (~396 ppi density),Infinix Hot 50 4G,Infinix,"50 MP, f/1.6, 27mm (wide), 1/2.76"", AFother unspecified cameras"
"Cover display:AMOLED, 120Hz, 1100 nits (peak)3.64 inches, 1056 x 1066 pixels, 413 ppi, Gorilla Glass Victus 2",Octa-core (4x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),"50 MP, f/2.5, 25mm (wide), 1/2.76"", 0.64µm, PDAF","256GB 8GB RAM, 512GB 8GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-zero-flip-.jpg,Nano-SIMNano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band","₹ 48,999",Unfolded: 170.4 x 73.4 x 7.6 mmFolded: 87.5 x 73.4 x 16 mm,,,,,Active use score 11:01h,"50 MP, f/1.9, 24mm (wide), 1/1.57"", 1.0µm, PDAF, OIS50 MP, f/2.2, 115˚ (ultrawide), 1/2.8"", 0.64µm, PDAF",,,Yes,,,"Android 14, up to 2 major Android upgrades, XOS 14.5","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 28, 34, 38, 39, 40, 41, 42, 66","USB Type-C, OTG",,"4K@30fps, 1080p@30/60/120fps",,"1, 3, 5, 7, 8, 12, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA","6.9 inches, 107.6 cm2(~86.1% screen-to-body ratio)","HSPA, LTE, 5G",No,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2024, September 27","Foldable LTPO AMOLED, 120Hz, 1400 nits (peak)","4K@30/60fps, 1080p@30/60/120fps",4720 mAh,,,,"5.4, A2DP, LE",-24.6 LUFS (Very good),"₹ 48,999",FM radio,Mediatek Dimensity 8020 (6 nm),,,"Dual-LED flash, HDR, panorama","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",GSM / HSPA / LTE / 5G,"Rock Black, Blossom Glow",195 g (6.88 oz),"Available. Released 2024, October",Dual-LED flash,,"Yes, with stereo speakers",,70W wired10W reverse wired,UFS 3.1,,Mali-G77 MC9,24-bit/192kHz Hi-Res & Hi-Res Wireless audioTuned by JBL,,No,1080 x 2640 pixels (~413 ppi density),Infinix Zero Flip,Infinix,
"IP54, dust and splash resistant",Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"8 MP, f/2.0, (wide), 1/4.0""","128GB 4GB RAM, 128GB 8GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-hot-50-5g-x6720-.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",About 110 EUR,165.7 x 77.1 x 7.8 mm (6.52 x 3.04 x 0.31 in),,,,,,"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, AF2 MP, f/2.4, (depth)Auxiliary lens",,,No,,,"Android 14, XOS 14.5","1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 38, 40, 41, 42, 66","USB Type-C 2.0, OTG",,"1440p@30fps, 1080p@30/60fps",,"1, 3, 5, 7, 8, 12, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA/Sub6","6.7 inches, 108.4 cm2(~84.8% screen-to-body ratio)","HSPA, LTE, 5G",microSDXC (uses shared SIM slot),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,,"GPS, GALILEO, GLONASS, BDS","2024, September 05","IPS LCD, 120Hz, 480 nits (typ)",Yes,Li-Po 5000 mAh,"Glass front, plastic back, plastic frame",,,"5.4, A2DP, LE",,,FM radio,Mediatek Dimensity 6300 (6 nm),,,Dual-LED flash,"Fingerprint (side-mounted), accelerometer, proximity, compass",GSM / HSPA / LTE / 5G,"Vibrant Blue, Sleek Black, Sage Green, Dreamy Purple",188 g (6.63 oz),"Available. Released 2024, October",LED flash,,Yes,X6720,18W wiredReverse wired,Always-on display,,Mali-G57 MC2,UFS 2.2,,Yes,"720 x 1600 pixels, 20:9 ratio (~262 ppi density)",Infinix Hot 50,Infinix,
"IP54, dust and splash resistant",Octa-core (1x3.1 GHz Cortex-A78 & 3x3.0 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),"50 MP, f/2.5, 21mm (wide), 1/2.76"", PDAF","256GB 12GB RAM, 512GB 12GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-zero40-5g-.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band","₹ 25,985",164.3 x 74.8 x 7.9 mm (6.47 x 2.94 x 0.31 in),24-bit/192kHz Hi-Res & Hi-Res Wireless audioTuned by JBL,,,,,,,,Yes,Yes,,"Android 14, up to 2 major Android upgrades, XOS 14.5","1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 38, 40, 41, 42, 66","USB Type-C 2.0, OTG",Corning Gorilla Glass 5,"4K@30/60fps, 1080p@30/60/120/240fps, gyro-EIS, OIS",,"1, 3, 5, 7, 8, 12, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA/Sub6","6.78 inches, 109.9 cm2(~89.4% screen-to-body ratio)","HSPA, LTE, 5G",No,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2024, August 29","AMOLED, 1B colors, HDR, 144Hz, 1300 nits (HBM)","4K@30/60fps, 1080p@30/60fps",5000 mAh,,,,Yes,,,FM radio,Mediatek Dimensity 8200 Ultimate (4 nm),"₹ 25,985",,"Triple-LED flash, HDR, panorama","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",GSM / HSPA / LTE / 5G,"Rock Black, Violet Garden, Moving Titanium",195 g (6.88 oz),"Available. Released 2024, September 08",Dual-LED flash,,"Yes, with dual speakers",X6861,"45W wired, 60% in 25 min20W wireless10W reverse wiredBypass Charging 2.0",Always-on display,,Mali-G610 MC6,UFS 3.1,,No,1080 x 2436 pixels (~393 ppi density),Infinix Zero 40,Infinix,"108 MP, f/1.8, (wide), 1/1.67"", PDAF, OIS50 MP, f/2.0, 120˚, (ultrawide), 1/2.76"", PDAF2 MP, f/2.4, (depth)"
