,CPU,Single,Internal,Talk time,Model Image,SIM,WLAN,Price,Dimensions,Model Name,NFC,Messaging,Games,OS,SAR EU,Call records,USB,Video,Size,Speed,Card slot,3G bands,2G bands,Positioning,Phonebook,Announced,Type,Video_1,Type_1,Build,GPRS,SAR,Bluetooth,Radio,Chipset,Features,Sensors,Technology,Colors,Weight,Status,Single_1,Loudspeaker,_1,EDGE,GPU,_2,3.5mm jack,Resolution,Protection,Stand-by,Java,Brand
,Octa-core 1.4 GHz Cortex-A7,"8 MP, AF",8GB 1GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-mach-two.jpg,Dual SIM,"Wi-Fi 802.11 b/g/n, hotspot",About 140 EUR,138 x 70.5 x 6.3 mm (5.43 x 2.78 x 0.25 in),Karbonn Titanium Mach Two S360,No,,,"Android 4.4.2 (KitKat), upgradable to 5.0 (Lollipop)",,,microUSB 2.0,Yes,"5.0 inches, 68.9 cm2(~70.8% screen-to-body ratio)",HSPA,microSDHC,HSDPA 2100,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,GPS,,"2015, March. Released 2015, March",IPS LCD,,"Li-Ion 1900 mAh, non-removable","Glass front (Asahi Dragontrail Glass), glass back (Gorilla Glass 3), aluminum frame",,,"4.0, A2DP",FM radio,,"LED flash, HDR","Accelerometer, proximity",GSM / HSPA,Deep Blue,112 g (3.95 oz),Discontinued,8 MP,Yes,,,,,Yes,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Corning Gorilla Glass 3,,,Karbonn
,Quad-core 1.2 GHz,"5 MP, AF",4GB 512MB RAM,Up to 8 h,https://fdn2.gsmarena.com/vv/bigpic/karbonn-w4.jpg,Dual SIM,"Wi-Fi 802.11 b/g/n, hotspot",,125.1 x 64.3 x 11 mm (4.93 x 2.53 x 0.43 in),Karbonn Titanium Wind W4,No,,,Microsoft Windows Phone 8.1,,,microUSB 2.0,Yes,"4.0 inches, 45.5 cm2(~56.6% screen-to-body ratio)",HSPA,microSDHC,HSDPA 2100,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,GPS,,"2014, September. Released 2014, September","TFT, 256K colors",,"Li-Ion 1950 mAh, removable",,,,2.0,FM radio,,LED flash,Yes,GSM / HSPA,"Black,White, Red",-,Discontinued,VGA,Yes,,,,,Yes,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Up to 240 h,,Karbonn
,Quad-core 1.3 GHz,5 MP,4GB 512MB RAM,Up to 5 h,https://fdn2.gsmarena.com/vv/bigpic/karbonn-s99.jpg,Dual SIM,"Wi-Fi 802.11 b/g/n, hotspot",,133 x 66 x 9.7 mm (5.24 x 2.60 x 0.38 in),Karbonn Titanium S99,No,,,Android 4.4 (KitKat),,,microUSB 2.0,Yes,"4.0 inches, 45.5 cm2(~51.9% screen-to-body ratio)",HSPA,microSDHC,HSDPA 2100,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,GPS,,"2014, June. Released 2014, June",IPS LCD,,Li-Ion 1400 mAh battery,,,,2.0,FM radio,,LED flash,Yes,GSM / HSPA,"Black,White",-,Discontinued,VGA,Yes,,,,,Yes,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Up to 168 h,,Karbonn
,Quad-core 1.3 GHz Cortex-A7,"5 MP, AF",4GB 1GB RAM,Up to 8 h,https://fdn2.gsmarena.com/vv/bigpic/karbonn-sparkle-v.jpg,Dual SIM,"Wi-Fi 802.11 b/g/n, hotspot",About 80 EUR,132 x 67 x 9.2 mm (5.20 x 2.64 x 0.36 in),Karbonn Sparkle V,No,,,"Android 4.4.4 (KitKat), upgradable to 6.0 (Marshmallow), Android One",,,microUSB 2.0,720p,"4.5 inches, 55.8 cm2(~63.1% screen-to-body ratio)",HSPA,microSDHC,HSDPA 850 / 2100,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,GPS,,"2014, September. Released 2014, September",IPS LCD,,"Li-Ion 1700 mAh, removable",,,,"4.0, A2DP",FM radio,Mediatek MT6582 (28 nm),LED flash,"Accelerometer, proximity",GSM / HSPA,Red,138 g (4.87 oz),Discontinued,2 MP,Yes,,,Mali-400MP2,,Yes,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",,Up to 160 h,,Karbonn
,Quad-core 1.3 GHz,"13 MP, AF",8GB 1GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-s19.jpg,Dual SIM,"Wi-Fi 802.11 b/g/n, hotspot",About 110 EUR,-,Karbonn Titanium S19,No,,,Android 4.4.2 (KitKat),,,microUSB 2.0,Yes,"5.0 inches, 68.9 cm2",HSPA,microSDHC,HSDPA 2100,GSM 900 / 1800 - SIM 1 & SIM 2,GPS,,"2014, August. Released 2014, August",IPS LCD,,Li-Ion 2000 mAh battery,,,,"4.0, A2DP",FM radio,,LED flash,"Accelerometer, proximity",GSM / HSPA,"Black, White",-,Discontinued,5 MP,Yes,,,,,Yes,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,,,Karbonn
,Dual-core 1.2 GHz,5 MP,4GB 512MB RAM,,https://fdn2.gsmarena.com/vv/bigpic/karbonn-smart-a12-star.jpg,"Dual SIM (Micro-SIM, dual stand-by)","Wi-Fi 802.11 b/g/n, hotspot",About 50 EUR,124.2 x 64.2 x 10.1 mm (4.89 x 2.53 x 0.40 in),Karbonn Smart A12 Star,No,,,Android 4.4.2 (KitKat),0.79 W/kg (head),,microUSB 2.0,Yes,"4.0 inches, 45.5 cm2(~57.1% screen-to-body ratio)",HSPA,microSDHC,HSDPA 2100,GSM 900 / 1800 - SIM 1 & SIM 2,GPS,,"2014, July. Released 2014, July",IPS LCD,,Li-Ion 1400 mAh battery,,,,2.0,FM radio,,LED flash,"Accelerometer, proximity",GSM / HSPA,Black,130 g (4.59 oz),Discontinued,VGA,Yes,,,,,Yes,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Up to 300 h,,Karbonn
,Quad-core 1.2 GHz,"5 MP, AF",4GB 1GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-s1-plus.jpg,Dual SIM,"Wi-Fi 802.11 b/g/n, hotspot",About 80 EUR,124 x 64 x 10.3 mm (4.88 x 2.52 x 0.41 in),Karbonn Titanium S1 Plus,No,,,Android 4.3 (Jelly Bean),,,microUSB 2.0,Yes,"4.0 inches, 45.5 cm2(~57.4% screen-to-body ratio)",HSPA,microSDHC,HSDPA 2100,GSM 900 / 1800 - SIM 1 & SIM 2,GPS,,"2014, May. Released 2014, May",TFT,,Li-Ion 1500 mAh battery,,,,2.0,FM radio,,LED flash,"Accelerometer, proximity",GSM / HSPA,White,129 g (4.55 oz),Discontinued,VGA,Yes,,,Adreno 302,,Yes,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,,,Karbonn
,Hexa-core 1.5 GHz Cortex-A7,"13 MP, AF",16GB 2GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-hexa.jpg,Dual SIM,"Wi-Fi 802.11 b/g/n, hotspot",About 200 EUR,154 x 76.8 x 6.9 mm (6.06 x 3.02 x 0.27 in),Karbonn Titanium Hexa,No,,,Android 4.4.2 (KitKat),,,"microUSB 2.0, OTG",Yes,"5.5 inches, 83.4 cm2(~70.5% screen-to-body ratio)",HSPA 42.2/5.76 Mbps,microSDHC,HSDPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,GPS,,"2014, March. Released 2014, April",IPS LCD,,Li-Po 2050 mAh battery,,Yes,,"4.0, A2DP",No,Mediatek MT6591,"LED flash, panorama","Accelerometer, proximity",GSM / HSPA,"Black, White",-,Discontinued,5 MP,Yes,,Yes,Mali-450MP4,,Yes,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,,,Karbonn
,Octa-core 1.7 GHz Cortex-A7,"16 MP, AF",16GB 2GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-octane-plus.jpg,Dual SIM,"Wi-Fi 802.11 b/g/n, hotspot",About 220 EUR,147.3 x 72.6 x 7.6 mm (5.80 x 2.86 x 0.30 in),Karbonn Titanium Octane Plus,No,,,Android 4.4.2 (KitKat),,,microUSB 2.0,Yes,"5.0 inches, 68.9 cm2(~64.4% screen-to-body ratio)",HSPA 42.2/5.76 Mbps,microSDHC,HSDPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,GPS,,"2014, March. Released 2014, April",IPS LCD,,"Li-Ion 2000 mAh, removable",,Yes,,"4.0, A2DP",No,Mediatek MT6592 (28 nm),"LED flash, panorama","Accelerometer, gyro, proximity, compass",GSM / HSPA,"Black, White",-,Discontinued,8 MP,Yes,,Yes,Mali-450MP4,,Yes,"1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",,,,Karbonn
,Octa-core 1.7 GHz Cortex-A7,"13 MP, AF",16GB 1GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-octane-plus.jpg,Dual SIM,"Wi-Fi 802.11 b/g/n, hotspot",About 170 EUR,145.7 x 71.2 x 7.9 mm (5.74 x 2.80 x 0.31 in),Karbonn Titanium Octane,No,,,Android 4.4.2 (KitKat),,,microUSB 2.0,Yes,"5.0 inches, 68.9 cm2(~66.4% screen-to-body ratio)",HSPA 42.2/5.76 Mbps,microSDHC,HSDPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,GPS,,"2014, March. Released 2014, April",IPS LCD,,"Li-Ion 2000 mAh, removable",,Yes,,"4.0, A2DP",FM radio,Mediatek MT6592 (28 nm),"LED flash, panorama","Accelerometer, gyro, proximity, compass",GSM / HSPA,"Black, White",-,Discontinued,5 MP,Yes,,Yes,Mali-450MP4,,Yes,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,,,Karbonn
