,CPU,Single,Internal,Talk time,Model Image,SIM,WLAN,Price,Dimensions,_3,_4,Dual,Model Name,NFC,Messaging,Games,OS,Call records,4G bands,USB,Video,5G bands,Size,Speed,Card slot,3G bands,2G bands,Positioning,Phonebook,Announced,Type,Video_1,Type_1,GPRS,Alarm,SAR,Bluetooth,Radio,Chipset,Features,Sensors,Clock,Technology,Colors,Alert types,Weight,Status,Models,Loudspeaker,Single_1,_1,Charging,Browser,EDGE,GPU,_2,Keyboard,3.5mm jack,Resolution,Protection,Stand-by,Java,Brand,Triple
IP68 dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliantPush-to-talk button,Octa-core (1x2.4 GHz Cortex-A710 & 3x2.36 GHz Cortex-A710 & 4x1.8 GHz Cortex-A510),"8 MP, f/1.8, (wide)",128GB 6GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/kyocera-duraforce-pro3.jpg,Nano SIM +eSIM,"Wi-Fi 802.11 a/b/g/n/ac/6e/mc/d/e/i/k/r/v, tri-band, Wi-Fi Direct",About 850 EUR,154 x 75 x 14.5 mm (6.06 x 2.95 x 0.57 in),ANT+,,,Kyocera DuraForce Pro 3,Yes,,,"Android 13, upgradable to Android 14",,"1, 2, 3, 4, 5, 7, 8, 12, 13, 46, 48, 66",USB Type-C 3.2,"4K@24fps, 1080p@30/60fps","2, 5, 48, 66, 77, 78, 260, 261 SA/NSA/Sub6/mmWave","5.38 inches, 74.7 cm2(~64.7% screen-to-body ratio)","HSPA, LTE (CA), 5G",microSDXC (dedicated slot),HSDPA 850 / 900 / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,GPS (L1+L5),,"2023, July",OLED,1080p@30fps,"Li-Ion 4270 mAh, removable",,,,"5.2, A2DP, LE",No,Qualcomm SM7450-AB Snapdragon 7 Gen 1 (4 nm),"Dual-LED flash, HDR, panorama",Fingerprint (side-mounted); unspecified sensors,,GSM / HSPA / LTE / 5G,Black,,237 g (8.36 oz),"Available. Released 2023, September",,"Yes, with stereo speakers",,UFS 2.2,Wired8W wireless (Qi),,,Adreno 644,100 dB+ speakers,,Unspecified,"1080 x 2160 pixels, 18:9 ratio (~449 ppi density)",Shatter-Resistant Glass,,,Kyocera,"64 MP, f/1.8, (wide), PDAF16 MP, f/2.0, 117˚ (ultrawide)2 MP, f/2.2, (macro)"
"1, 2, 3, 4, 5, 7, 12, 13, 48, 66 - Verizon",Octa-core (2x2.0 GHz Kryo 460 & 6x1.8 GHz Kryo 460),"8 MP, f/2.0, 23mm (wide), 1/4.0"", 1.12µm",64GB 4GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/kyocera-durasport-uw.jpg,Nano SIM,"Wi-Fi 802.11 a/b/g/n/ac/e/i/k/r/v, dual-band, Wi-Fi Direct",About 550 EUR,154.7 x 70.7 x 9.9 mm (6.09 x 2.78 x 0.39 in),UFS 2.2,ANT+,"48 MP, f/1.8, 25mm (wide), 0.8µm, PDAF16 MP, f/2.0, 16mm, 117˚ (ultrawide), 1.0µm",Kyocera DuraSport UW,Yes,,,"Android 13 (unlocked), Android 12 (Verizon)",,"1, 2, 3, 4, 5, 7, 12, 13, 48, 66, 71 - unlocked",USB Type-C 3.1,1080p@30fps,"2, 5, 48, 66, 71, 77, 260, 261 SA/NSA/Sub6/mmWave - unlocked","6.1 inches, 89.8 cm2(~82.1% screen-to-body ratio)","HSPA, LTE (CA), 5G",microSDXC (dedicated slot),HSDPA 850 / 900 / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,GPS (L1+L5),,"2023, November",IPS LCD,1080p@30fps,Li-Po 4500 mAh,,,,"5.1, A2DP, LE",No,Qualcomm SM4350 Snapdragon 480 5G (8 nm),"LED flash, HDR, panorama",Fingerprint (rear-mounted); unspecified sensors,,GSM / HSPA / LTE / 5G,Black,,185 g (6.53 oz),"Available. Released 2023, December",,Yes,,"2, 5, 66, 77, 260, 261 SA/NSA/Sub6/mmWave - Verizon","27W wired, PD, QC4.08W wireless (Qi)",,,Adreno 619,IP68 dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliantPush-to-talk button,,Unspecified,"1080 x 2400 pixels, 20:9 ratio (~431 ppi density)",Shatter-Resistant Glass,,,Kyocera,
IP68 dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5m,Octa-core (4x2.35 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),"8 MP, f/2.4, (wide), 1/4.0"", 1.12µm, AF",32GB 3GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/kyocera-kc-t304c-duraslate.jpg,No,"Wi-Fi 802.11 a/b/g/n/ac/d/e/i/k/r/v, dual-band, Wi-Fi Direct",About 360 EUR,259 x 168 x 8.6 mm (10.20 x 6.61 x 0.34 in),,,,Kyocera DuraSlate,No,,,Android 12,,N/A,USB Type-C 2.0,1080p@30fps,,"10.1 inches, 295.8 cm2(~68.0% screen-to-body ratio)",,microSDXC (dedicated slot),N/A,N/A,"GPS, GALILEO, GLONASS, BDS, QZSS",,"2023, October",IPS LCD,Yes,Li-Ion 7000 mAh,No,,,"5.1, A2DP, LE",Unspecified,Mediatek MT6765 Helio P35 (12 nm),LED flash,"Accelerometer, gyro, proximity, compass",,No cellular connectivity,Black,,488 g (1.08 lb),"Available. Released 2023, October",KC-T304C,"Yes, with stereo speakers","5 MP, f/2.4",UFS 2.2,"45W wired, PD2",,No,PowerVR GE8320,,,Yes,"1200 x 1920 pixels, 16:10 ratio (~224 ppi density)",Dragontrail Pro Glass,,,Kyocera,
IP68 dust/water resistant (up to 2m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliantPush-to-talk button,Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver),"8 MP, f/2.0, 23mm (wide), 1/4.0"", 1.12µm",128GB 6GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/kyocera-duraforce-ultra.jpg,Nano SIM,"Wi-Fi 802.11 a/b/g/n/ac/e/i/k/r/v, dual-band, Wi-Fi Direct",About 860 EUR,165.1 x 74.9 x 16 mm (6.5 x 2.95 x 0.63 in),,,"24 MP, f/1.8, 27mm (wide), 0.9µm, PDAF16 MP, f/2.0, 16mm, 117˚ (ultrawide), 1.0µm",Kyocera DuraForce Ultra,Yes,,,"Android 10, upgradable to Android 12",,"1, 2, 3, 4, 5, 7, 12, 13, 48, 66",USB Type-C 3.1,1080p@30fps,"2, 5, 66, 260, 261 SA/NSA/Sub6/mmWave","5.45 inches, 76.7 cm2(~62.0% screen-to-body ratio)","HSPA, LTE (CA), 5G",microSDXC (dedicated slot),HSDPA 850 / 900 / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,GPS (L1+L5),,"2021, March 11",IPS LCD,1080p@30fps,Li-Po 4500 mAh,,,,"5.0, A2DP, LE",No,Qualcomm SM7250 Snapdragon 765G 5G (7 nm),"Dual-LED flash, HDR, panorama",Fingerprint (side-mounted); unspecified sensors,,GSM / HSPA / LTE / 5G,Black,,278 g (9.81 oz),"Available. Released 2021, May",,"Yes, with stereo speakers",,,WiredWireless (Qi),,,Adreno 620,,,Unspecified,"1080 x 2160 pixels, 18:9 ratio (~443 ppi density)",Sapphire Shield,,,Kyocera,
IP68 dust/water resistant (up to 2m for 30 min)MIL-STD-810G compliantPush-to-talk button,Octa-core 2.2 GHz Cortex-A53,"13 MP, AF8 MP (ultra wide; dedicated video camera)",64GB 4GB RAM,Up to 21 h (3G),https://fdn2.gsmarena.com/vv/bigpic/kyocera-duraforce-pro2.jpg,Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac/i/r/k, dual-band, Wi-Fi Direct",About 400 EUR,150.2 x 73.4 x 13.5 mm (5.91 x 2.89 x 0.53 in),,,,Kyocera DuraForce Pro 2,Yes,,,Android 8.0 (Oreo),,"1, 2, 3, 4, 5, 7, 13, 66",USB Type-C 3.1,"4K@30fps, 1080p@30fps",,"5.0 inches, 68.9 cm2(~62.5% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE (3CA) Cat9 450/50 Mbps",microSDXC (dedicated slot),HSDPA 850 / 900 / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,GPS,,"2018, November",IPS LCD,,"Li-Ion 3240 mAh, non-removable",,,,"5.0, A2DP, LE",No,Qualcomm SDM630 Snapdragon 630 (14 nm),"LED flash, HDR, panorama","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",,GSM / HSPA / LTE,Black,,243 g (8.25 oz),"Available. Released 2018, November",,"Yes, with stereo speakers",5 MP,,10W wiredWireless (Qi),,,Adreno 508,,,Yes,"1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",Sapphire crystal glass,Up to 312 h (3G),,Kyocera,
IP68 dust/water resistant (up to 1.5m for 30 min)MIL-STD-810G compliantPush-to-talk button,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.2 GHz Cortex-A53),"13 MP, AF2 MP",32GB 3GB RAM,Up to 19 h (3G),https://fdn2.gsmarena.com/vv/bigpic/kyocera-duraforce-pro.jpg,Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac/i/r/k, dual-band, Wi-Fi Direct",,148.4 x 73.4 x 12.9 mm (5.84 x 2.89 x 0.51 in),,,,Kyocera DuraForce Pro,Yes,,,Android 6.0 (Marshmallow),,"2, 4, 5, 12, 25, 26, 41",microUSB 2.0,1080p@30fps,,"5.0 inches, 68.9 cm2(~63.3% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",microSDXC (dedicated slot),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,GPS,,"2016, August. Released 2016, October",IPS LCD,,"Li-Ion 3240 mAh, non-removable",,,,"4.2, A2DP, LE",No,Qualcomm MSM8952 Snapdragon 617 (28 nm),"LED flash, HDR, panorama","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer",,GSM / HSPA / LTE,Black,,230 g (8.11 oz),Discontinued,E6810,"Yes, with stereo speakers",5 MP,eMMC 5.1,"18W wired, QC2",,,Adreno 405,,,Yes,"1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",Yes,Up to 480 h (3G),,Kyocera,
"1, 2, 3, 4, 5, 7, 12, 20, 29 - T-Mobile",Quad-core 1.6 GHz Cortex-A7,"8 MP, AF",16GB 2GB RAM,Up to 23 h (3G),https://fdn2.gsmarena.com/vv/bigpic/kyocera-duraforce-xd.jpg,Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac//r/k, dual-band, Wi-Fi Direct, hotspot",,166.8 x 86.4 x 13.9 mm (6.57 x 3.40 x 0.55 in),,,,Kyocera DuraForce XD,Yes,,,Android 5.1 (Lollipop),,"1, 2, 3, 4, 5, 7, 17, 20, 29 - AT&T",microUSB 2.0,1080p@30fps,,"5.7 inches, 89.6 cm2(~62.1% screen-to-body ratio)","HSPA, LTE",microSDXC (dedicated slot),"HSDPA 850 / 900 / 1900 / 2100 - AT&T, T-Mobile",GSM 850 / 900 / 1800 / 1900,GPS,,"2015, October. Released 2015, November",IPS LCD,,"Li-Ion 3700 mAh, removable",,,,"4.1, A2DP, EDR, LE",No,Qualcomm MSM8928 Snapdragon 400 (28 nm),"LED flash, HDR, panorama","Accelerometer, gyro, proximity, compass, barometer",,GSM / HSPA / LTE,Black,,307 g (10.83 oz),Discontinued,,Yes,2 MP,IP68 dust/water resistant (up to 1.5m for 30 min)MIL-STD-810G compliant,10W wired,,,Adreno 305,eMMC 4.5,,Yes,"720 x 1280 pixels, 16:9 ratio (~258 ppi density)",Yes,Up to 816 h (3G),,Kyocera,
IP68 dust/water resistant (up to 1.5m for 30 min)MIL-STD-810G compliant,Quad-core 1.4 GHz Cortex-A7,"8 MP, AF",16GB 2GB RAM,Up to 17 h,https://fdn2.gsmarena.com/vv/bigpic/Kyocera-DuraForce2.jpg,Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot",About 320 EUR,136.9 x 70.6 x 14 mm (5.39 x 2.78 x 0.55 in),,,,Kyocera DuraForce,Yes,,,Android 4.4.2 (KitKat),,"1, 2, 4, 5, 7, 17",microUSB 2.0,1080p@30fps,,"4.5 inches, 55.8 cm2(~57.8% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDHC (dedicated slot),HSDPA 850 / 900 / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,GPS,,"2014, November. Released 2014, November",IPS LCD,,"Li-Ion 3100 mAh, non-removable",,,,"4.0, A2DP, EDR, LE",No,Qualcomm MSM8928 Snapdragon 400 (28 nm),"LED flash, HDR, panorama","Accelerometer, proximity, compass, barometer",,GSM / HSPA / LTE,Black,,200 g (7.05 oz),Discontinued,,"Yes, with stereo speakers",2 MP,eMMC 4.5,,,,Adreno 305,Smart Sonic Receiver,,Yes,"720 x 1280 pixels, 16:9 ratio (~326 ppi density)",Yes,Up to 504 h,,Kyocera,
"IP57 dust/water resistant (up to 1m. and 30 min)MIL-STD-810G compliant salt, dust, humidity, rain, vibration, solar radiation, transport and thermal shock resistant",Quad-core 1.2 GHz Cortex-A7,5 MP,8GB 1.5GB RAM,Up to 13 h 30 min,https://fdn2.gsmarena.com/vv/bigpic/kyocera-hydro-life.jpg,Micro-SIM,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,131.8 x 65.4 x 10.9 mm (5.19 x 2.57 x 0.43 in),,,,Kyocera Hydro Life,No,,,Android 4.3 (Jelly Bean),,,microUSB 2.0,720p@30fps,,"4.5 inches, 55.8 cm2(~64.8% screen-to-body ratio)",HSPA 21.1/5.76 Mbps,microSDHC (dedicated slot),HSDPA 850 / 1700 / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,GPS,,"2014, August. Released 2014, August",IPS LCD,,"Li-Ion 2000 mAh, removable",,,,"4.0, A2DP, EDR, LE",No,Qualcomm MSM8212 Snapdragon 200 (28 nm),"LED flash, HDR, panorama","Accelerometer, proximity, compass",,GSM / HSPA,Black,,136 g (4.80 oz),Discontinued,,Yes,2 MP,eMMC 4.5,,,,Adreno 302,Smart Sonic Receiver,,Yes,"540 x 960 pixels, 16:9 ratio (~245 ppi density)",Yes,Up to 418 h,,Kyocera,
HSDPA 850 / 900 / 1900 / 2100,Quad-core 1.4 GHz Cortex-A7,"8 MP, AF",16GB 2GB RAM,Up to 26 h,https://fdn2.gsmarena.com/vv/bigpic/Kyocera-Brigadier.jpg,Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, DLNA, hotspot",About 300 EUR,136.4 x 68.3 x 13.2 mm (5.37 x 2.69 x 0.52 in),Smart Sonic Receiver,,,Kyocera Brigadier,Yes,,,Android 4.4.2 (KitKat),,"4, 13",microUSB 2.0,1080p@30fps,,"4.5 inches, 55.8 cm2(~59.9% screen-to-body ratio)","HSPA, LTE, EV-DO Rev.A 3.1 Mbps",microSDHC (dedicated slot),CDMA2000 1xEV-DO,GSM 850 / 900 / 1800 / 1900,GPS,,"2014, July. Released 2014, July",IPS LCD,,"Li-Ion 3100 mAh, non-removable",,,0.79 W/kg (head)     0.72 W/kg (body),"4.0, A2DP, EDR, LE",No,Qualcomm Snapdragon 400 (28 nm),"LED flash, panorama","Accelerometer, proximity, compass, barometer",,GSM / HSPA / EVDO / LTE,Black,,187.1 g (6.60 oz),Discontinued,E6782,"Yes, dual speakers",2 MP,IP68 dust/water resistant (up to 1.5m for 30 min)MIL-STD-810G compliantFlashlight,Wireless (Qi),,,Adreno 305,eMMC 4.5,,Yes,"720 x 1280 pixels, 16:9 ratio (~326 ppi density)",Sapphire crystal glass,Up to 370 h,,Kyocera,
