4G bands,,Features,Talk time_1,Technology,Stand-by,Camera,Brand,Battery (old),CPU,_4,Music play,Type,Colors,Dual or Triple,3G bands,_6,Announced,_7,Positioning,Model Image,Dual,Call records,Single_1,Clock,OS,3.5mm jack,Triple,Protection,Phonebook,Internal,USB,Talk time,Model Name,_3,Card slot,Display,Single,SAR EU,Dimensions,5G bands,Charging,Build,NFC,Java,GPRS,Video,Performance,Features_1,Loudspeaker_1,GPU,_5,Resolution,_10,_1,Radio,Infrared port,2G bands,Price,_2,_8,Status,Video_1,Size,Audio quality,Speed,Loudspeaker,Quad,Browser,_9,Models,Chipset,Bluetooth,Type_1,Weight,SIM,Games,Languages,Stand-by_1,EDGE,Sensors,WLAN,Keyboard,Messaging,Alert types,Alarm,SAR
N/A,MIL-STD-810G compliantStylus support,,,No cellular connectivity,,,LG,,Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver),,,IPS LCD,Charcoal Gray,,N/A,,"2022, August 05",,No,https://fdn2.gsmarena.com/vv/bigpic/lg_ultratab.jpg,,,5 MP,,Android 12,Yes,,,,64GB 4GB RAM,USB Type-C,,LG Ultra Tab,,microSDXC (dedicated slot),,"8 MP, AF",,247.6 x 157.3 x 7.1 mm (9.75 x 6.19 x 0.28 in),,"16W wired, QC3",,No,,No,,,,,Adreno 610,,"1200 x 2000 pixels, 5:3 ratio (~225 ppi density)",,UFS,No,,N/A,About 320 EUR,,,"Available. Released 2022, August 05",,"10.35 inches, 304.9 cm2(~78.3% screen-to-body ratio)",,,"Yes, with stereo speakers (4 speakers)",,,,10A30Q,Qualcomm SM6225 Snapdragon 680 4G (6 nm),"5.1, A2DP",Li-Ion 7040 mAh,458 g (1.01 lb),No,,,,No,Accelerometer,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,,,,
"1, 3, 5, 8, 40, 41",eMMC 5.1,"LED flash, panorama, HDR",,GSM / HSPA / LTE,,,LG,,Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),,,"IPS LCD, 400 nits (typ)","Magic Blue, Laser Blue",,HSDPA 850 / 900 / 2100,,"2021, February 22",,"GPS, GLONASS",https://fdn2.gsmarena.com/vv/bigpic/lg-w41-pro.jpg,,,,,Android 10,Yes,,,,128GB 6GB RAM,"USB Type-C 2.0, OTG",,LG W41 Pro,,microSDXC (dedicated slot),,"8 MP, (wide), 1/4.0"", 1.12µm",,166.5 x 77.3 x 9.3 mm (6.56 x 3.04 x 0.37 in),,,,No,,,1080p@30fps,,,,PowerVR GE8320,,"900 x 1600 pixels, 16:9 ratio (~280 ppi density)",,,FM radio,,GSM 850 / 900 / 1800 / 1900,About 180 EUR,,,"Available. Released 2021, March 03",1080p@30fps,"6.55 inches, 118.3 cm2(~91.9% screen-to-body ratio)",,"HSPA, LTE",Yes,"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF8 MP, f/2.2, (ultrawide), 1/4.0"", 1.12µm5 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",,,"LMK610IM, LM-K610IM",Mediatek MT6765G Helio G35 (12 nm),"5.0, A2DP, LE",Li-Po 5000 mAh,201 g (7.09 oz),Nano-SIM + Nano-SIM,,,,,"Fingerprint (rear-mounted), accelerometer, proximity","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,,,
"1, 3, 5, 8, 40, 41",eMMC 5.1,"LED flash, panorama, HDR",,GSM / HSPA / LTE,,,LG,,Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),,,"IPS LCD, 400 nits (typ)","Magic Blue, Laser Blue",,HSDPA 850 / 900 / 2100,,"2021, February 22",,"GPS, GLONASS",https://fdn2.gsmarena.com/vv/bigpic/lg-w41-plus.jpg,,,,,Android 10,Yes,,,,128GB 4GB RAM,"USB Type-C 2.0, OTG",,LG W41+,,microSDXC (dedicated slot),,"8 MP, (wide), 1/4.0"", 1.12µm",,166.5 x 77.3 x 9.3 mm (6.56 x 3.04 x 0.37 in),,,,No,,,1080p@30fps,,,,PowerVR GE8320,,"900 x 1600 pixels, 16:9 ratio (~280 ppi density)",,,FM radio,,GSM 850 / 900 / 1800 / 1900,About 170 EUR,,,"Available. Released 2021, March 03",1080p@30fps,"6.55 inches, 118.3 cm2(~91.9% screen-to-body ratio)",,"HSPA, LTE",Yes,"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF8 MP, f/2.2, (ultrawide), 1/4.0"", 1.12µm5 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",,,"LMK610IM, LM-K610IM",Mediatek MT6765G Helio G35 (12 nm),"5.0, A2DP, LE",Li-Po 5000 mAh,201 g (7.09 oz),Nano-SIM + Nano-SIM,,,,,"Fingerprint (rear-mounted), accelerometer, proximity","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,,,
"1, 3, 5, 8, 40, 41",eMMC 5.1,"LED flash, panorama, HDR",,GSM / HSPA / LTE,,,LG,,Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),,,"IPS LCD, 400 nits (typ)","Magic Blue, Laser Blue",,HSDPA 850 / 900 / 2100,,"2021, February 22",,"GPS, GLONASS",https://fdn2.gsmarena.com/vv/bigpic/lg-w41.jpg,,,,,Android 10,Yes,,,,64GB 4GB RAM,"USB Type-C 2.0, OTG",,LG W41,,microSDXC (dedicated slot),,"8 MP, (wide), 1/4.0"", 1.12µm",,166.5 x 77.3 x 9.3 mm (6.56 x 3.04 x 0.37 in),,,,No,,,1080p@30fps,,,,PowerVR GE8320,,"900 x 1600 pixels, 16:9 ratio (~280 ppi density)",,,FM radio,,GSM 850 / 900 / 1800 / 1900,About 160 EUR,,,"Available. Released 2021, March 03",1080p@30fps,"6.55 inches, 118.3 cm2(~91.9% screen-to-body ratio)",,"HSPA, LTE",Yes,"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF8 MP, f/2.2, (ultrawide), 1/4.0"", 1.12µm5 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",,,"LMK610IM, LM-K610IM",Mediatek MT6765G Helio G35 (12 nm),"5.0, A2DP, LE",Li-Po 5000 mAh,201 g (7.09 oz),Nano-SIM + Nano-SIM,,,,,"Fingerprint (rear-mounted), accelerometer, proximity","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,,,
"1, 3, 5, 8, 40, 41",eMMC 5.1,"LED flash, panorama, HDR",,GSM / HSPA / LTE,,,LG,,Octa-core 2.0 GHz Cortex-A53,,,IPS LCD,Midnight Blue,,HSDPA 850 / 900 / 2100,,"2020, November 06",,"GPS, GLONASS",https://fdn2.gsmarena.com/vv/bigpic/lg-w31-plus.jpg,,,,,Android 10,Yes,"13 MP, (wide), 1/3.0"", 1.12µm, PDAF5 MP, (ultrawide)2 MP, (depth)",,,128GB 4GB RAM,"microUSB 2.0, OTG",,LG W31+,,microSDXC (dedicated slot),,"8 MP, (wide)",,166.2 x 76.3 x 8.4 mm (6.54 x 3.00 x 0.33 in),,,,No,,,1080p@30fps,,,,PowerVR GE8320,,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",,,FM radio,,GSM 850 / 900 / 1800 / 1900,About 140 EUR,,,"Available. Released 2020, December 23",1080p@30fps,"6.52 inches, 102.6 cm2(~80.9% screen-to-body ratio)",,"HSPA, LTE",Yes,,,,"LMK315IM, LM-K315, LM-K315IM",Mediatek MT6762 Helio P22 (12 nm),"4.2, A2DP, LE",Li-Po 4000 mAh,173.6 g (6.14 oz),Nano-SIM + Nano-SIM,,,,,"Fingerprint (rear-mounted), accelerometer, proximity","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,,,
"1, 3, 5, 8, 40, 41",eMMC 5.1,"LED flash, panorama, HDR",,GSM / HSPA / LTE,,,LG,,Octa-core 2.0 GHz Cortex-A53,,,IPS LCD,Midnight Blue,,HSDPA 850 / 900 / 2100,,"2020, November 06",,"GPS, GLONASS",https://fdn2.gsmarena.com/vv/bigpic/lg-w31.jpg,,,,,Android 10,Yes,"13 MP, (wide), 1/3.0"", 1.12µm, PDAF5 MP, (ultrawide)2 MP, (depth)",,,"64GB 4GB RAM, 128GB 4GB RAM","microUSB 2.0, OTG",,LG W31,,microSDXC (dedicated slot),,"8 MP, (wide)",,166.2 x 76.3 x 8.4 mm (6.54 x 3.00 x 0.33 in),,,,No,,,1080p@30fps,,,,PowerVR GE8320,,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",,,FM radio,,GSM 850 / 900 / 1800 / 1900,About 130 EUR,,,"Available. Released 2020, December 23",1080p@30fps,"6.52 inches, 102.6 cm2(~80.9% screen-to-body ratio)",,"HSPA, LTE",Yes,,,,"LMK315IM, LM-K315, LM-K315IM",Mediatek MT6762 Helio P22 (12 nm),"4.2, A2DP, LE",Li-Po 4000 mAh,173.6 g (6.14 oz),Nano-SIM + Nano-SIM,,,,,"Fingerprint (rear-mounted), accelerometer, proximity","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,,,
"1, 3, 5, 8, 40, 41",eMMC 5.1,"LED flash, panorama, HDR",,GSM / HSPA / LTE,,,LG,,Octa-core 2.0 GHz Cortex-A53,,,IPS LCD,Midnight Blue,,HSDPA 850 / 900 / 2100,,"2020, November 06",,"GPS, GLONASS",https://fdn2.gsmarena.com/vv/bigpic/lg-w11.jpg,"13 MP, (wide), PDAF2 MP, (depth)",,,,Android 10,Yes,,,,32GB 3GB RAM,"USB Type-C 2.0, OTG",,LG W11,,microSDXC (dedicated slot),,"8 MP, (wide)",,166.2 x 76.3 x 8.4 mm (6.54 x 3.00 x 0.33 in),,,,No,,,1080p@30fps,,,,PowerVR GE8320,,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",,,FM radio,,GSM 850 / 900 / 1800 / 1900,About 110 EUR,,,Cancelled,1080p@30fps,"6.52 inches, 102.6 cm2(~80.9% screen-to-body ratio)",,"HSPA, LTE",Yes,,,,LM-K310IM,Mediatek MT6762 Helio P22 (12 nm),"4.2, A2DP, LE",Li-Po 4000 mAh,-,Nano-SIM + Nano-SIM,,,,,Accelerometer,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,,,
LTE,,"Quad-LED flash, panorama, HDR",,GSM / HSPA / LTE / 5G,,,LG,,Octa-core (2x2.0 GHz Kryo 560 Gold & 6x1.7 GHz Kryo 560 Silver),,,IPS LCD,Titan Gray,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,"2020, September 29",,"GPS, GLONASS, GALILEO",https://fdn2.gsmarena.com/vv/bigpic/lg-k92-5g.jpg,,,,,Android 10,Yes,,,,128GB 6GB RAM,USB Type-C 3.1,,LG K92 5G,,microSDXC,,"16 MP, f/2.0, 27mm (wide), 1/3.06, 1.0µm",,166.4 x 77.2 x 8.4 mm (6.55 x 3.04 x 0.33 in),SA/NSA/Sub6,Quick Charge 4.0,,Yes,,,"4K@30fps, 1080p@30fps",,,,Adreno 619L,,"1080 x 2400 pixels, 20:9 ratio (~393 ppi density)",,,No,,GSM 850 / 900 / 1800 / 1900,About 340 EUR,,,"Available. Released 2020, November 06",1080p@30fps,"6.7 inches, 108.4 cm2(~84.4% screen-to-body ratio)",,"HSPA, LTE, 5G","Yes, with stereo speakers","64 MP, f/1.8, 25mm (wide), 1/1.97"", 0.7µm, PDAF5 MP, f/2.2, 115˚ (ultrawide), 1/5.0"", 1.12µm2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",,,"LMK920, LM-K920",Qualcomm SM6350 Snapdragon 690 5G (8 nm),"5.1, A2DP, LE",Li-Po 4000 mAh,202.4 g (7.13 oz),Nano-SIM + Nano-SIM,,,,,"Fingerprint (side-mounted), accelerometer, proximity, compass","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,,,
"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 28, 38, 66 - North America","1, 3, 5, 7, 28, 40 - Brazil","Dual-LED flash, panorama, HDR",,GSM / HSPA / LTE,,,LG,,Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),,,IPS LCD,"White, Sky Blue, Red",,HSDPA 850 / 900 / 1900 / 2100,,"2020, September 23",,GPS,https://fdn2.gsmarena.com/vv/bigpic/lg-k62.jpg,,,,,Android 10,Yes,,,,"64GB 4GB RAM, 128GB 4GB RAM",USB Type-C 3.1,,LG K62,,microSDXC,,28 MP,,165 x 76.7 x 8.4 mm (6.50 x 3.02 x 0.33 in),,,,Yes,,,1080p@30fps,,,,PowerVR GE8320,,"720 x 1600 pixels, 20:9 ratio (~266 ppi density)",,MIL-STD-810G compliant**does not guarantee ruggedness or use in extreme conditions,No,,GSM 850 / 900 / 1800 / 1900,About 290 EUR,,,"Available. Released 2020, November 27",1080p@30fps,"6.6 inches, 105.2 cm2(~83.1% screen-to-body ratio)",,"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",Yes,"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF5 MP, f/2.2, 115˚ (ultrawide), 1/5.0"", 1.12µm2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",,,"LMK525H, LMK525, LM-K525H, LM-K525",Mediatek MT6765 Helio P35 (12 nm),"5.0, A2DP, LE",Li-Po 4000 mAh,186 g (6.56 oz),Nano-SIM + Nano-SIM,,,,,"Fingerprint (side-mounted), accelerometer, proximity, compass","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,,,
LTE,MIL-STD-810G compliant**does not guarantee ruggedness or use in extreme conditions,"Dual-LED flash, panorama, HDR",,GSM / HSPA / LTE,,,LG,,Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),,,IPS LCD,"Silky White, Silky Red",,HSDPA 850 / 900 / 1900 / 2100,,"2020, September 26",,GPS,https://fdn2.gsmarena.com/vv/bigpic/lg-q52.jpg,,,,,Android 10,Yes,,,,64GB 4GB RAM,USB Type-C 3.1,,LG Q52,,microSDXC,,"13 MP, (wide), 1/3.1"", 1.12µm",,165 x 76.7 x 8.4 mm (6.50 x 3.02 x 0.33 in),,,,Yes,,,1080p@30fps,,,,PowerVR GE8320,,"720 x 1600 pixels, 20:9 ratio (~266 ppi density)",,eMMC 5.1,No,,GSM 850 / 900 / 1800 / 1900,About 240 EUR,,,"Available. Released 2020, October 26",1080p@30fps,"6.6 inches, 105.2 cm2(~83.1% screen-to-body ratio)",,"HSPA, LTE",Yes,"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF5 MP, f/2.2, 115˚ (ultrawide), 1/5.0"", 1.12µm2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",,,LM-Q520N,Mediatek MT6765 Helio P35 (12 nm),"5.0, A2DP, LE",Li-Po 4000 mAh,186 g (6.56 oz),Nano-SIM + Nano-SIM,,,,,"Fingerprint (side-mounted), accelerometer, proximity, compass","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,,,
