Unnamed: 0,CPU,Single,Internal,Talk time,Model Image,SIM,WLAN,Price,Dimensions,128GB 6GB RAM,128GB 8GB RAM,Dual,Model Name,NFC,Infrared port,Quad,OS,128GB 4GB RAM,SAR EU,4G bands,USB,Video,5G bands,Size,Speed,Card slot,3G bands,2G bands,Positioning,Announced,Type,Type_1,Video_1,GPRS,256GB 8GB RAM,Build,Bluetooth,Radio,Chipset,Features,Sensors,Technology,Colors,Weight,Status,Music play,Models,Loudspeaker,Single_1,_1,Charging,Features_1,EDGE,GPU,_2,3.5mm jack,Resolution,Protection,Stand-by,Brand,Triple,URL,Image
IP68 dust/water resistant,,,,,https://fdn2.gsmarena.com/vv/bigpic/lava-prowatch-v1.jpg,No,No,About 30 EUR,-,,,,Lava Prowatch V1,No,,,Proprietary OS,,,,No,,,1.85 inches,,No,,,No,"2025, January 11","AMOLED, 500 nits",Li-Ion 270 mAh,,No,,,"5.3, A2DP, LE",No,,,"Accelerometer, heart rate, SpO2",No cellular connectivity,"Black Nebula, Bluish Ronin, Peachy Hikari, Mint Shinobi",-,"Available. Released 2025, January 11",,,No,,Always-on display,,,No,,No,No,390 x 450 pixels (~322 ppi density),Corning Gorilla Glass 3,,Lava,,,
UFS 2.2,Octa-core (1x2.2 GHz Cortex-A76 & 3x Cortex-A76 & 4x Cortex-A55),8 MP,128GB 4GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/lava-yuva-2-5g.jpg,Nano-SIM + Nano-SIM,Wi-Fi 802.11 a/b/g/n,"₹ 10,200",165 x 75.8 x 8.7 mm (6.50 x 2.98 x 0.34 in),,,"50 MP, (wide), AF2 MP, (macro)",Lava Yuva 2 5G,No,,,Android 14,"₹ 10,200",,"1, 3, 5, 8, 28, 40, 41","USB Type-C 2.0, OTG",1080p@30fps,"1, 3, 5, 8, 28, 40, 41, 77, 78 SA/NSA","6.67 inches, 106.9 cm2(~85.5% screen-to-body ratio)","HSPA, LTE, 5G",microSDXC,HSDPA 900 / 2100,GSM 850 / 900 / 1800 / 1900,GPS,"2024, December 27","IPS LCD, 90Hz, 700 nits",Li-Po 5000 mAh,1080p@30fps,,,,"5.2, A2DP, LE",FM radio,Unisoc T760 (6 nm),"LED flash, HDR, panorama","Fingerprint (side-mounted), accelerometer, proximity, compass",GSM / HSPA / LTE / 5G,"Marble Black, Marble White",190 g (6.70 oz),"Available. Released 2025, January",,,"Yes, with stereo speakers",,,18W wired,,,Mali-G57,,Yes,"720 x 1612 pixels, 20:9 ratio (~265 ppi density)",,,Lava,,,
"IP64, dust and water resistant",Octa-core (2x2.5 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),"16 MP, (wide)","128GB 6GB RAM, 128GB 8GB RAM",,https://fdn2.gsmarena.com/vv/bigpic/lava-blaze-duo-new.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 b/g/n/ac, dual-band","₹ 16,999",162.4 x 73.9 x 8.5 mm (6.39 x 2.91 x 0.33 in),"₹ 16,999","₹ 17,999","64 MP, (wide), PDAF2 MP, (macro)",Lava Blaze Duo,No,,,"Android 14, planned upgrade to Android 15",,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41","USB Type-C 2.0, OTG",Yes,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA","6.67 inches, 107.4 cm2(~89.5% screen-to-body ratio)","HSPA, LTE, 5G",No,HSDPA 850 / 900 / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,GPS,"2024, December 10","AMOLED, 120Hz",Li-Po 5000 mAh,1080p@30fps,,,,"5.2, A2DP, LE",Unspecified,Mediatek Dimensity 7025 (6 nm),LED flash,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",GSM / HSPA / LTE / 5G,"Arctic White, Celestial Blue",186 g (6.56 oz),"Available. Released 2024, December 20",,,Yes,,"Secondary display on the back:AMOLED, 1.58 inches, 228 x 460 pixels",33W wired,,,IMG BXM-8-256,UFS 3.1,No,"1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,,Lava,,,
,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),8 MP,"64GB 4GB RAM, 128GB 4GB RAM",,https://fdn2.gsmarena.com/vv/bigpic/lava-yuva4.jpg,Nano-SIM + Nano-SIM,Wi-Fi 802.11 b/g/n/ac,About 80 EUR,164.2 x 76 x 8.5 mm (6.46 x 2.99 x 0.33 in),,,"50 MP, (wide), AFVGAAuxiliary lens",Lava Yuva 4,No,,,Android 14,,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41","USB Type-C 2.0, OTG",1080p@30fps,,"6.56 inches, 103.4 cm2(~82.8% screen-to-body ratio)","HSPA, LTE",microSDXC (dedicated slot),HSDPA 850 / 900 / 1900 / 2100,GSM 900 / 1800,"GPS, GLONASS","2024, November 28","IPS LCD, 90Hz",Li-Ion 5000 mAh,Yes,,,,"4.2, A2DP",FM radio,Unisoc T606 (12 nm),"LED flash, HDR, panorama","Fingerprint (side-mounted), accelerometer, proximity",GSM / HSPA / LTE,"Glossy White, Glossy Purple, Glossy Black",200 g (7.05 oz),"Available. Released 2024, December",,,Yes,,,10W wired,,,Mali-G57 MP1,,Yes,"720 x 1612 pixels, 20:9 ratio (~269 ppi density)",,,Lava,,,
"IP64, dust and water resistant",Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),"16 MP, f/2.0, (wide), 1.0µm","128GB 8GB RAM, 256GB 8GB RAM",,https://fdn2.gsmarena.com/vv/bigpic/lava-agni3.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band","₹ 19,547",163.7 x 75.5 x 8.8 mm (6.44 x 2.97 x 0.35 in),,"₹ 19,547",,Lava Agni 3,No,,,"Android 14, up to 3 major Android upgrades",,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41","USB Type-C 2.0, OTG","4K@30fps, 1080p@30fps","1, 2, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA","6.78 inches, 111.4 cm2(~90.1% screen-to-body ratio)","HSPA, LTE, 5G",No,HSDPA 850 / 900 / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,"GPS, GALILEO, GLONASS, QZSS, BDS, NavIC","2024, October 04","AMOLED, 1B colors, 120Hz, HDR10+, 1200 nits (peak)",Li-Po 5000 mAh,1080p@30fps,,"₹ 22,999",,"5.4, A2DP, LE",Unspecified,Mediatek Dimensity 7300X (4 nm),"Dual-LED flash, HDR","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",GSM / HSPA / LTE / 5G,"Heather Glass, Pristine Glass",212 g (7.48 oz),"Available. Released 2024, October 09",,,"Yes, with stereo speakers",,"Secondary display on the back:AMOLED, 1.74 inches, 336 x 480 pixels","66W wired, 50% in 19 min",,,Mali-G615 MC2,UFS 3.1,No,1200 x 2652 pixels (~429 ppi density),,,Lava,"50 MP, (wide), 1/1.55"", 1.0µm, PDAF, OIS8 MP, (telephoto), 1.0µm, PDAF, 3x optical zoom8 MP, 112˚ (ultrawide)",,
UFS 2.2,Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"8 MP, (wide)",128GB 6GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/lava-blaze3-5g.jpg,Nano-SIM + Nano-SIM,Wi-Fi 802.11 b/g/n/ac,About 120 EUR,164.3 x 76.2 x 8.6 mm (6.47 x 3.00 x 0.34 in),,,"50 MP, (wide), AF2 MP",Lava Blaze 3 5G,No,,,"Android 14, planned upgrade to Android 15",,,"1, 3, 5, 8, 28, 40, 41","USB Type-C 2.0, OTG","1440p@30fps, 1080p@30fps","1, 3, 5, 8, 28, 40, 41, 77, 88 SA/NSA","6.56 inches, 103.9 cm2(~83.0% screen-to-body ratio)","HSPA, LTE, 5G",microSDXC (dedicated slot),HSDPA 900 / 2100,GSM 850 / 900 / 1800 / 1900,"GPS, GLONASS","2024, September 16","IPS LCD, 90Hz",Li-Po 5000 mAh,Yes,,,,"5.2, A2DP, LE",FM radio,Mediatek Dimensity 6300 (6 nm),"LED flash, HDR, panorama","Fingerprint (side-mounted), accelerometer, proximity, compass",GSM / HSPA / LTE / 5G,"Glass Blue, Glass Gold",201 g (7.09 oz),"Available. Released 2024, September 18",,,"Yes, with stereo speakers",,,18W wired,,,Mali-G57 MC2,,Yes,"720 x 1600 pixels, 20:9 ratio (~267 ppi density)",,,Lava,,,
,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),5 MP,64GB 4GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/lava-yuva-star.jpg,Nano-SIM + Nano-SIM,Wi-Fi 802.11 b/g/n/ac,About 70 EUR,165 x 76.1 x 8.8 mm (6.50 x 3.00 x 0.35 in),,,"13 MP, (wide), AFauxiliary lens",Lava Yuva Star,No,Yes,,Android 14 (Go edition),,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41","USB Type-C 2.0, OTG",1080p@30fps,,"6.75 inches, 110.0 cm2(~87.6% screen-to-body ratio)","HSPA, LTE",microSDXC (dedicated slot),HSDPA 850 / 900 / 1900 / 2100,GSM 900 / 1800,"GPS, GLONASS","2024, August 06",IPS LCD,Li-Ion 5000 mAh,Yes,,,,"4.2, A2DP",FM radio,Unisoc SC9863A (28 nm),"LED flash, HDR, panorama","Fingerprint (side-mounted), accelerometer, proximity",GSM / HSPA / LTE,"Glossy Black, Glossy Lavender, Glossy White",193 g (6.81 oz),"Available. Released 2024, September",,LZG409,Yes,,,10W wired,,,IMG8322,,Yes,"720 x 1600 pixels, 20:9 ratio (~260 ppi density)",,,Lava,,,
UFS 2.2,Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),16 MP,"64GB 4GB RAM, 128GB 8GB RAM",,https://fdn2.gsmarena.com/vv/bigpic/lava-blaze-x.jpg,Nano-SIM + Nano-SIM,Wi-Fi 802.11 b/g/n/ac,About 190 EUR,162.4 x 73.9 x 8.5 mm (6.39 x 2.91 x 0.33 in),,,"64 MP, (wide), AF, OIS2 MP, (macro)",Lava Blaze X,No,,,"Android 14, planned upgrade to Android 15",,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41","USB Type-C 2.0, OTG",1080p@30fps,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA","6.67 inches, 107.4 cm2(~89.5% screen-to-body ratio)","HSPA, LTE, 5G",microSDXC,HSDPA 850 / 900 / 1900 / 2100,GSM 900 / 1800,GPS,"2024, July 10","AMOLED, 120Hz",Li-Po 5000 mAh,1080p@30fps,,,,"5.2, A2DP, LE",Unspecified,Mediatek Dimensity 6300 (6 nm),"LED flash, HDR, panorama","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",GSM / HSPA / LTE / 5G,"Starlight Purple, Titanium Grey",183 g (6.46 oz),"Available. Released 2024, July 20",,,Yes,,,33W wired,,,Mali-G57 MC2,,No,"1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,,Lava,,,
UFS 2.2,Octa-core (2x2.0 GHz Cortex-A76 & 6x1.8 GHz Cortex-A55),8 MP,"64GB 4GB RAM, 128GB 4GB RAM",,https://fdn2.gsmarena.com/vv/bigpic/lava-yuva-5g.jpg,Nano-SIM + Nano-SIM,Wi-Fi 802.11 b/g/n/ac,About 110 EUR,163.4 x 76.2 x 9.1 mm (6.43 x 3.00 x 0.36 in),,,"50 MP, (wide), AF2 MP, (macro)",Lava Yuva 5G,No,,,Android 13,,,"1, 3, 5, 8, 28, 40, 41","USB Type-C 2.0, OTG",1080p@30fps,"1, 3, 5, 8, 28, 40, 77, 78 SA/NSA","6.53 inches, 102.9 cm2(~82.7% screen-to-body ratio)","HSPA, LTE, 5G",microSDXC,HSDPA 900 / 2100,GSM 900 / 1800,GPS,"2024, March 30","IPS LCD, 90Hz",Li-Po 5000 mAh,1080p@30fps,,,,"5.0, A2DP, LE",FM radio,Unisoc T750 (6 nm),"LED flash, HDR, panorama","Fingerprint (side-mounted), accelerometer, proximity, compass",GSM / HSPA / LTE / 5G,"Green, Blue",208 g (7.34 oz),"Available. Released 2024, June 06",,,Yes,,,18W wired,,,Mali-G57 MC2,,Yes,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",,,Lava,,,
IP68 dust/water resistant (up to 1.5m for 30 min),,,Unspecified,,https://fdn2.gsmarena.com/vv/bigpic/lava-prowatch-zn-.jpg,No,No,About 50 EUR,-,,,,Lava Prowatch ZN,No,,,Proprietary OS,,,,No,,,1.43 inches,,No,,,No,"2024, April 23","AMOLED, 600 nits",Li-Ion 350 mAh,,No,,"Glass front (Gorilla Glass 3), zinc alloy frame","5.2, A2DP, LE",No,,,"Accelerometer, heart rate, SpO2",No cellular connectivity,"Black, Tarnish",-,"Available. Released 2024, April 26",,,Yes,,Always-on display,,,No,,No,No,466 x 466 pixels (~326 ppi density),Corning Gorilla Glass 3,,Lava,,,
