,Positioning,Dual,Java,Build,3G bands,OS,CPU,GPU,Loudspeaker_1,Quad,Audio quality,Single,Dimensions,_2,Stand-by,Colors,Speed,USB,WLAN,Call records,Models,Video_1,Single_1,Status,Camera,Size,Infrared port,_4,2G bands,Features,Technology,Messaging,Keyboard,GPRS,Model Image,Type_1,SIM,Dual_1,SAR EU,Sensors,Loudspeaker,SAR,Talk time,Bluetooth,_1,Video,Battery (old),Resolution,Radio,Chipset,5G bands,Display,Protection,Triple,Phonebook,Weight,EDGE,Charging,Features_1,Card slot,NFC,3.5mm jack,Model Name,_3,Internal,Price,Announced,Games,Type,4G bands,Performance,Brand
UFS 4.0,No,"13 MP, (wide)2 MP, (macro)",,"Glass front, aluminum frame, aluminum back",N/A,"Android 14, up to 3 major Android upgrades",Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),Adreno 750,,,,8 MP,208.5 x 129.5 x 7.8 mm (8.21 x 5.10 x 0.31 in),,,Eclipse Black,,"1x USB Type-C & 1x USB Type-C 3.1 Gen2, DisplayPort 1.4","Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band or tri-band, Wi-Fi Direct",,,1080p@30fps,,"Available. Released 2024, October",,"8.8 inches, 224.5 cm2(~83.2% screen-to-body ratio)",,,N/A,LED flash,No cellular connectivity,,,No,https://fdn2.gsmarena.com/vv/bigpic/lenovo-legion-tab-gen3.jpg,Li-Po 6550 mAh,No,,,"Accelerometer, gyro, proximity, compass","Yes, with stereo speakers",,,"5.4, A2DP, LE",Tuned by JBL,1080p@30fps,,"1600 x 2560 pixels, 16:10 ratio (~343 ppi density)",Unspecified,Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),,,,,,350 g (12.35 oz),No,68W wiredBypass charging,,No,No,No,Lenovo Legion Y700 (2025),,"256GB 12GB RAM, 512GB 16GB RAM",About 500 EUR,"2024, October 16",,"IPS LCD, 165Hz, Dolby Vision, HDR10, 500 nits (typ), 900 nits (HBM)",N/A,,Lenovo
UFS 3.1,No,"13 MP, (wide)2 MP, (macro)",,,N/A,Android 13,Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Adreno 730,,,,8 MP,208.5 x 129.5 x 7.6 mm (8.21 x 5.10 x 0.30 in),,,Storm Grey,,"2x USB Type-C 3.1 Gen2, DisplayPort 1.4","Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band, Wi-Fi Direct",,ZACW0029IN,1080p@30fps,,"Available. Released 2024, August 15",,"8.8 inches, 224.5 cm2(~83.2% screen-to-body ratio)",,,N/A,LED flash,No cellular connectivity,,,No,https://fdn2.gsmarena.com/vv/bigpic/lenovo-legion-y700-2023.jpg,Li-Po 6550 mAh,No,,,"Accelerometer, gyro, proximity, compass","Yes, with stereo speakers",,,"5.3, A2DP, LE",Tuned by JBL,1080p@30fps,,"1600 x 2560 pixels, 16:10 ratio (~343 ppi density)",Unspecified,Qualcomm SM8475P Snapdragon 8+ Gen 1 (4 nm),,,,,,350 g (12.35 oz),No,45W wired,,microSDXC (dedicated slot),No,No,Lenovo Legion Tab,,256GB 12GB RAM,About 380 EUR,"2024, August 13",,"IPS LCD, 144Hz, Dolby Vision, HDR10, 500 nits (typ)",N/A,,Lenovo
Stylus support,"GPS, GLONASS, BDS - cellular model only",,,"Glass front, aluminum frame, aluminum back",HSDPA 800 / 850 / 900 / 1900 / 2100,Android 14,Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver),Adreno 610,,,,"13 MP, f/2.2, (wide), AF",169 x 268.7 x 7.2 mm (6.65 x 10.58 x 0.28 in),,,Luna grey,"HSPA, LTE - cellular model only","USB Type-C 2.0, magnetic connector pins","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",,TB352FU,1080p@30fps,"8 MP, f/2.0, (wide)","Available. Released 2024, July",,"11.45 inches, 373.2 cm2(~82.2% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900,LED flash,GSM / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-k-11-plus.jpg,Li-Po 8600 mAh,Nano-SIM (cellular model only),,,"Accelerometer, gyro, proximity","Yes, with stereo speakers (4 speakers)",,,"5.3, A2DP, LE",UFS 2.2,1080p@30fps,,"1200 x 2000 pixels, 5:3 ratio (~204 ppi density)",No,Qualcomm SM6225 Snapdragon 680 4G (6 nm),,,,,,520 g (1.15 lb),,20W wired,,microSDXC (dedicated slot),Yes,Yes,Lenovo Tab K11 Plus,,"64GB 4GB RAM, 128GB 6GB RAM, 256GB 8GB RAM",About 200 EUR,"2024, July 01",,"IPS LCD, 90Hz, 400 nits (typ)","1, 2, 3, 4, 5, 7, 8, 19, 20, 26, 28, 38, 40, 41",,Lenovo
Stylus supportSplash resistantBuilt-in kickstand,"GPS, GALILEO, GLONASS",,,,N/A,Android 14,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,,,,"8 MP, AF",268.3 x 174.3 x 7.7 - 13.6 mm,24-bit/192kHz Hi-Res audio,,Luna grey,,USB Type-C 2.0,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,1080p@30fps,8 MP,"Available. Released 2024, June",,"11.5 inches, 376.4 cm2(~80.5% screen-to-body ratio)",,,N/A,,No cellular connectivity,,,No,https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-plus.jpg,Li-Po 8600 mAh,No,,,"Accelerometer, gyro","Yes, with stereo speakers (8 JBL Hi-Fi speakers)",,,"5.2, A2DP, LE",UFS 2.2,1080p@30fps,,"1200 x 2000 pixels, 5:3 ratio (~203 ppi density)",No,Mediatek Helio G99 (6 nm),,,,,,650 g (1.43 lb),No,45W wired,,microSDXC (dedicated slot),No,Yes,Lenovo Tab Plus,,"128GB 8GB RAM, 256GB 8GB RAM",About 280 EUR,"2024, June 20",,"IPS LCD, 90Hz, 400 nits (typ)",N/A,,Lenovo
Stylus support,"GPS, GLONASS, BDS",,,"Glass front, aluminum frame, aluminum back",HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,Android 13,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,,,,"13 MP, f/2.2, (wide)or8 MP, f/2.0, (wide)",166.3 x 255.3 x 7.2 mm (6.55 x 10.05 x 0.28 in),,,"Luna grey, Seafoam green","HSPA, LTE",USB Type-C 2.0,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,TB330FU,1080p@30fps,"8 MP, f/2.0, (wide)","Available. Released 2024, April",,"11.0 inches, 350.9 cm2(~82.6% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900,LED flash,GSM / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-m11.jpg,Li-Po 7040 mAh,Nano-SIM,,,"Accelerometer, gyro, proximity (accessories only)","Yes, with stereo speakers (4 speakers)",,,"5.1, A2DP, LE",eMMC 5.1,1080p@30fps,,"1200 x 1920 pixels, 16:10 ratio (~206 ppi density)",No,Mediatek MT6769H Helio G88 (12 nm),,,,,,465 g (1.03 lb),,15W wired,,microSDXC (dedicated slot),No,Yes,Lenovo Tab M11,,"64GB 4GB RAM, 128GB 4GB RAM, 128GB 8GB RAM",About 170 EUR,"2024, January 09",,"IPS LCD, 90Hz, 400 nits (typ)","1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 19, 20, 25, 26, 28, 29, 30, 38, 40, 41, 66, 71",,Lenovo
UFS,No,"13 MP, (wide)2 MP, (macro)",,,N/A,"Android 13, ZUI 14",Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Adreno 730,,,,8 MP,208.9 x 129.5 x 7.6 mm (8.22 x 5.10 x 0.30 in),,,Gray,,"2x USB Type-C 3.1 Gen2, DisplayPort 1.4","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",,,1080p@30fps,,"Available. Released 2023, July 22",,"8.8 inches, 224.5 cm2(~83.0% screen-to-body ratio)",,,N/A,LED flash,No cellular connectivity,,,No,https://fdn2.gsmarena.com/vv/bigpic/lenovo-legion-y700-2023.jpg,Li-Po 6550 mAh,No,,,"Accelerometer, gyro, proximity, compass","Yes, with stereo speakers",,,Yes,Tuned by JBL,1080p@30fps,,"1600 x 2560 pixels, 16:10 ratio (~343 ppi density)",Unspecified,Qualcomm SM8475P Snapdragon 8+ Gen 1 (4 nm),,,,,,350 g (12.35 oz),No,45W wired,,microSDXC (dedicated slot),No,No,Lenovo Legion Y700 (2023),,"256GB 12GB RAM, 512GB 16GB RAM",About 600 EUR,"2023, July 22",,"IPS LCD, 144Hz, Dolby Vision, HDR10, 500 nits (typ)",N/A,,Lenovo
Stylus support,No,,,,N/A,Android 13,Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G68 MC4,,,,"8 MP, (wide), AF",293.3 x 190.7 x 6.9 mm (11.55 x 7.51 x 0.27 in),JBL speakers,,"Storm Grey, Oat",,USB Type-C 2.0,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",,,1080p@30fps,"13 MP, (ultrawide)","Available. Released 2023, July 28",,"12.7 inches, 467.7 cm2(~83.6% screen-to-body ratio)",,,N/A,LED flash,No cellular connectivity,,,No,https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-p12-new.jpg,Li-Po 10200 mAh,No,,,"Fingerprint (side-mounted), accelerometer, gyro, compass","Yes, with stereo speakers (4 speakers)",,,"5.1, A2DP, LE",UFS 2.2,"4K@30fps, 1080p@30fps",,"1840 x 2944 pixels, 16:10 ratio (~273 ppi density)",No,Mediatek Dimensity 7050 (6 nm),,,,,,615 g (1.36 lb),No,"30W wired, QC4",,microSDXC (dedicated slot),No,No,Lenovo Tab P12,,"128GB 4GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",About 400 EUR,"2023, July 28",,IPS LCD,N/A,,Lenovo
uMCP,"GPS, GLONASS, BDS",,,,HSDPA 850 / 900 / 2100,Android 13,Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),Adreno 619,,,,"13 MP, AF",160.3 x 252.7 x 8.3 mm (6.31 x 9.95 x 0.33 in),,,Abyss Blue,"HSPA, LTE, 5G",USB Type-C 2.0,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,,1080p@30fps,8 MP,"Available. Released 2023, July 15",,"10.6 inches, 319.8 cm2(~79.0% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900,LED flash,GSM / HSPA / LTE / 5G,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-m10-5g-10.jpg,Li-Po 7700 mAh,Nano-SIM,,,Unspecified,"Yes, with stereo speakers",,,"5.1, A2DP, LE",,1080p@30fps,,"1200 x 2000 pixels, 5:3 ratio (~220 ppi density)",No,Qualcomm SM6375 Snapdragon 695 5G (6 nm),SA/NSA,,,,,490 g (1.08 lb),,"20W, PD3.0, QC3",,microSDXC (dedicated slot),No,Yes,Lenovo Tab M10,,"128GB 4GB RAM, 128GB 6GB RAM",About 400 EUR,"2023, July 14",,"IPS LCD, 90Hz, 400 nits",LTE,,Lenovo
Stylus support (Lenovo Precision Pen 3),Unspecified,"13 MP, f/2.4, (wide), AF5 MP, f/2.2, (ultrawide)",,,N/A,Android 13,Octa-core (1x3.05 GHz Cortex-X2 & 3x2.85 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Mali-G710 MC10,,,,"13 MP, (ultrawide)",327.8 x 210.8 x 5.9 mm (12.91 x 8.30 x 0.23 in),,,Storm Grey,,"USB Type-C 3.2 and USB Type-C 2.0, OTG, DisplayPort, accessory connector","Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band, Wi-Fi Direct",,,1080p@30fps,,"Available. Released 2023, June 13",,"14.5 inches, 609.8 cm2(~88.2% screen-to-body ratio)",,,N/A,LED flash,No cellular connectivity,,,No,https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-extreme.jpg,Li-Po 12300 mAh,No,,,"Fingerprint (side-mounted), accelerometer, gyro, compass","Yes, with stereo speakers (8 speakers)",,,"5.3, A2DP, LE",JBL speakers,"4K@30fps, 1080p@30fps",,"1876 x 3000 pixels, 16:10 ratio (~244 ppi density)",No,Mediatek Dimensity 9000 (4 nm),,,,,,740 g (1.63 lb),No,68W wiredReverse wired,,microSDXC (dedicated slot),No,No,Lenovo Tab Extreme,,256GB 12GB RAM,About 880 EUR,"2023, January 05",,"OLED, 120Hz, HDR10+, Dolby Vision",N/A,,Lenovo
eMMC 5.1,"GPS, GLONASS, GALILEO - cellular model only",,,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,Android 12,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,,,,"8 MP, AF",215.4 x 136.8 x 8 mm (8.48 x 5.39 x 0.31 in),,,"Arctic Grey, Frost Blue","HSPA, LTE - cellular model only",USB Type-C 2.0,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,TB310FU,720p,2 MP,"Available. Released 2023, March 14",,"9.0 inches, 230.0 cm2(~78.1% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900,,GSM / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-m9.jpg,Li-Po 5100 mAh,Nano-SIM (cellular model only),,,"Accelerometer, proximity","Yes, with dual speakers",,,"5.1, A2DP, LE",,1080p,,"800 x 1340 pixels, 5:3 ratio (~173 ppi density)",Unspecified,Mediatek MT6769V/CU Helio G80 (12 nm),,,,,,344 g (12.13 oz),,10W wired,,microSDXC (dedicated slot),No,Yes,Lenovo Tab M9,,"32GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM",About 180 EUR,"2022, December 20",,"IPS LCD, 400 nits (typ)","1, 2, 3, 4, 5, 7, 8, 18, 19, 20, 26, 28, 38, 40, 41, 66",,Lenovo
