,Positioning,Java,Talk time,Video,_1,WLAN,Messaging,GPRS,Phonebook,Alert types,USB,2G bands,Announced,Status,3.5mm jack,Games,EDGE,_2,Model Name,SIM,Brand,Type,Technology,Size,Model Image,Weight,Call records,Infrared port,Colors,Resolution,Sensors,Clock,Radio,Bluetooth,Browser,Dimensions,Card slot,Loudspeaker,Type_1,Single,Alarm,Stand-by
Wallpaper,No,Yes,Up to 3 h,No,No,No,"SMS, MMS",Yes,250 x 11 fields,Vibration; Polyphonic ringtones,,GSM 900 / 1800,2003,Discontinued,No,Yes,No,Predictive text inputOrganizer,Maxon MX-C90,Mini-SIM,Maxon,"TFT, 65K colors",GSM,,https://fdn2.gsmarena.com/vv/bigpic/mac90.gif,82 g (2.89 oz),"30 received, dialed and missed calls",,,"128 x 128 pixels, 1:1 ratio",,,No,No,WAP 2.0/xHTML,83 x 47 x 23 mm (3.27 x 1.85 x 0.91 in),No,No,Removable Li-Ion battery,VGA,,Up to 200 h
"Second external display, 256 colorsWallpaper",No,Yes,Up to 6 h,No,No,No,"SMS, EMS, MMS",Yes,250 x 11 fields,Vibration; Polyphonic ringtones,,GSM 900 / 1800,"2003, Q4",Discontinued,No,Yes,No,Predictive text inputOrganizer,Maxon MX-C80,Mini-SIM,Maxon,"TFT, 65K colors",GSM,,https://fdn2.gsmarena.com/vv/bigpic/mac80.gif,85 g (3.00 oz),"30 received, dialed and missed calls",,,128 x 160 pixels,,,No,No,WAP 2.0/xHTML,84 x 43.7 x 20.8 mm (3.31 x 1.72 x 0.82 in),No,No,Removable Li-Ion battery,VGA,,Up to 75 h
"Second external OLED display, 256 colorsWallpaper",No,Yes,Up to 6 h,No,No,No,"SMS, EMS, MMS, Email",Yes,250 x 11 fields,Vibration; Polyphonic ringtones,,GSM 900 / 1800,"2003, Q4",Discontinued,No,Yes,No,Predictive text inputOrganizer,Maxon MX-C180,Mini-SIM,Maxon,"TFT, 65K colors",GSM,,https://fdn2.gsmarena.com/vv/bigpic/mac180.gif,85 g (3.00 oz),"30 received, dialed and missed calls",,,128 x 160 pixels,,,No,No,WAP 2.0/xHTML,84 x 43.7 x 20.8 mm (3.31 x 1.72 x 0.82 in),No,No,Removable Li-Ion battery,VGA,,Up to 75 h
7 color LED indicatorWallpaperDownloadable logos,No,Yes,Up to 4 h,No,No,No,"SMS, MMS",Class 8,250,Vibration; Downloadable polyphonic ringtones,,GSM 900 / 1800,2004,Discontinued,No,Yes,No,Predictive text inputOrganizer,Maxon MX-A30,Mini-SIM,Maxon,"TFT, 65K colors",GSM,,https://fdn2.gsmarena.com/vv/bigpic/maa30.gif,90 g (3.17 oz),"30 received, dialed and missed calls",,,128 x 160 pixels,,,No,No,WAP 2.0/xHTML,90 x 48.5 x 22.4 mm (3.54 x 1.91 x 0.88 in),No,No,Removable Li-Ion battery,Yes,,Up to 150 h
Second external displayWallpaper,No,No,Up to 3 h,,No,No,"SMS, EMS",Yes,250,Vibration; Polyphonic ringtones,,GSM 900 / 1800 / 1900,2003,Discontinued,No,Yes,No,Predictive text input,Maxon MX-C60,Mini-SIM,Maxon,"CSTN, 65K colors",GSM,,https://fdn2.gsmarena.com/vv/bigpic/mac60.gif,85 g (3.00 oz),"20 received, dialed and missed calls",,,"128 x 128 pixels, 8 lines, 1:1 ratio",,,No,No,WAP 1.2.1,80 x 45 x 22.9 mm (3.15 x 1.77 x 0.90 in),No,No,Removable Li-Ion 900 mAh battery,,,Up to 200 h
Second external display ( orange LCD )Wallpaper,No,Yes,Up to 3 h,No,No,No,"SMS, EMS",Yes,250,Vibration; Downloadable polyphonic ringtones,Proprietary,GSM 900 / 1800,2003,Discontinued,No,Yes,No,Sync MLPredictive text inputOrganizer,Maxon MX-C20,Mini-SIM,Maxon,"CSTN, 65K colors",GSM,,https://fdn2.gsmarena.com/vv/bigpic/mac20.gif,90 g (3.17 oz),"20 received, dialed and missed calls",,,"128 x 160 pixels, 7 lines",,,No,No,WAP 1.2.1,91 x 46 x 23 mm (3.58 x 1.81 x 0.91 in),No,No,Removable Li-Po battery,Yes,,Up to 150 h
WallpaperDownloadable logos,No,Yes,Up to 4 h,No,No,No,"SMS, MMS",Yes,200,Vibration; Downloadable polyphonic ringtones,,GSM 900 / 1800 / 1900,2004,Discontinued,No,Yes + downloadable,No,eZiOrganizer,Maxon MX-C110,Mini-SIM,Maxon,65K colors,GSM,,https://fdn2.gsmarena.com/vv/bigpic/mac110.gif,85 g (3.00 oz),"30 received, dialed and missed calls",,,-,,,No,No,WAP 2.0/xHTML,86 x 46 x 21 mm (3.39 x 1.81 x 0.83 in),No,No,Removable Li-Ion battery,VGA,,Up to 150 h
Second external display 4K CSTNWallpaper,No,Yes,Up to 2 h 30 min,No,No,No,"SMS, EMS, MMS",Yes,"500 entries, 6 contact groups",Vibration; Polyphonic ringtones,Proprietary,GSM 900 / 1800 / 1900,2003,Discontinued,No,Yes,No,Predictive text inputSync MLOrganizer,Maxon MX-E10,Mini-SIM,Maxon,"TFT, 65K colors",GSM,,https://fdn2.gsmarena.com/vv/bigpic/mae10.gif,90 g (3.17 oz),"30 received, dialed and missed calls",,,"176 x 220 pixels, 10 lines",,,FM radio,No,WAP 2.0/xHTML,91 x 48 x 22.6 mm (3.58 x 1.89 x 0.89 in),No,No,Removable Li-Ion battery,Yes,,Up to 200 h
Second external 4096 colors OLED displayWallpaperDownloadable logos,No,No,Up to 4 h,,No,No,"SMS, EMS",Class 8,200,Vibration; Downloadable polyphonic ringtones,,GSM 900 / 1800,2004,Discontinued,No,Yes + downloadable,No,Predictive text inputOrganizer,Maxon MX-V10,Mini-SIM,Maxon,"STN, 65K colors",GSM,,https://fdn2.gsmarena.com/vv/bigpic/mav10.gif,67 g (2.36 oz),"30 received, dialed and missed calls",,,"128 x 128 pixels, 1:1 ratio",,,No,No,WAP 1.2.1,78 x 37 x 20.5 mm (3.07 x 1.46 x 0.81 in),No,No,Removable Li-Ion battery,,,Up to 150 h
Second external 4096 colors OLED displayWallpaperDownloadable logos,No,Yes,Up to 4 h,,No,No,"SMS, MMS",Yes,200,Vibration; Downloadable polyphonic ringtones,,GSM 900 / 1800 / 1900,2004,Discontinued,No,Yes + downloadable,No,eZiOrganizer,Maxon MX-V30,Mini-SIM,Maxon,"TFT, 65K colors",GSM,,https://fdn2.gsmarena.com/vv/bigpic/mav30.gif,80 g (2.82 oz),"30 received, dialed and missed calls",,,-,,,No,No,WAP 2.0/xHTML,81 x 43 x 21 mm (3.19 x 1.69 x 0.83 in),No,No,Removable Li-Ion battery,,,Up to 150 h
WallpaperDownloadable logos,No,Yes,,No,No,No,"SMS, MMS",Yes,250 x 11 fields,Vibration; Downloadable polyphonic ringtones,,GSM 900 / 1800 / 1900,2004,Cancelled,No,Yes + downloadable,No,Predictive text inputOrganizer,Maxon MX-E80,Mini-SIM,Maxon,65K colors,GSM,,https://fdn2.gsmarena.com/vv/bigpic/mae80.gif,,"30 received, dialed and missed calls",,,-,,,No,No,WAP 2.0/xHTML,,No,No,Removable Li-Ion battery,VGA,,
