,Positioning,Single_1,4G bands,Java,Talk time,Video,Video_1,_1,WLAN,Messaging,GPRS,Phonebook,3G bands,CPU,OS,USB,2G bands,Announced,Internal,Chipset,GPU,Status,3.5mm jack,Games,NFC,EDGE,Model Name,SIM,Brand,Type,Technology,Size,Model Image,Weight,Call records,Keyboard,Colors,Resolution,Speed,Sensors,Radio,Bluetooth,Features,Dimensions,Card slot,Loudspeaker,Type_1,Single,Stand-by
,GPS,2 MP,,,Up to 5 h,720p@30fps,,,Wi-Fi 802.11 b/g/n,,,,HSDPA 850 / 1900 / 2100,Quad-core 1.3 GHz Cortex-A7,Android 6.0 (Marshmallow),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2016, October. Released 2017, January",8GB 1GB RAM,Mediatek MT6580 (28 nm),Mali-400MP2,Discontinued,Yes,,No,,Maxwest Nitro 55M,Dual SIM (dual stand-by),Maxwest,IPS LCD,GSM / HSPA,"5.5 inches, 83.4 cm2(~70.3% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/maxwest-nitro-55-m.jpg,180 g (6.35 oz),,,"White, black","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",HSPA 21.1/5.76 Mbps,"Accelerometer, proximity",Stereo FM radio,"4.0, A2DP",LED flash,152.9 x 77.6 x 8.2 mm (6.02 x 3.06 x 0.32 in),microSDHC,Yes,"Li-Ion 2800 mAh, removable","8 MP, AF",Up to 280 h
eMMC 5.0,GPS,2 MP,"2, 4, 5, 7, 12, 17",,Up to 15 h,720p@30fps,,,Wi-Fi 802.11 b/g/n,,,,HSDPA 850 / 1700 / 2100,Quad-core 1.3 GHz Cortex-A7,Android 6.0 (Marshmallow),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2016, November. Released 2017, January",8GB 1GB RAM,Mediatek MT6737 (28 nm),Mali-T720MP2,Discontinued,Yes,,No,,Maxwest Nitro 55 LTE,Dual SIM (dual stand-by),Maxwest,IPS LCD,GSM / HSPA / LTE,"5.5 inches, 83.4 cm2(~70.2% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/maxwest-nitro-55m.jpg,163 g (5.75 oz),,,"Dark Blue, White, Gold","720 x 1280 pixels, 16:9 ratio (~267 ppi density)","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","Fingerprint (rear-mounted), accelerometer, proximity",Stereo FM radio,"4.0, A2DP",LED flash,153 x 77.6 x 7.9 mm (6.02 x 3.06 x 0.31 in),microSDHC,Yes,"Li-Ion 3000 mAh, removable","8 MP, AF",Up to 280 h
,GPS,2 MP,,,Up to 8 h,Yes,,,Wi-Fi 802.11 b/g/n,,,,HSDPA 850 / 1900,Quad-core 1.2 GHz Cortex-A7,Android 6.0 (Marshmallow),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2016, September. Released 2016, December",8GB 1GB RAM,Spreadtrum SC7731,Mali-400,Discontinued,Yes,,No,,Maxwest Nitro 5M,Dual SIM (dual stand-by),Maxwest,IPS LCD,GSM / HSPA,"5.0 inches, 68.9 cm2(~65.4% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/maxwest-nitro-5m.jpg,148 g (5.22 oz),,,"Black, BLue, Gold, Red","480 x 854 pixels, 16:9 ratio (~196 ppi density)",HSPA 21.1/5.76 Mbps,"Accelerometer, proximity",Stereo FM radio,"2.1, EDR",LED flash,144.2 x 73 x 10.3 mm (5.68 x 2.87 x 0.41 in),microSDHC,Yes,"Li-Ion 2200 mAh, removable",5 MP,Up to 300 h
,GPS,2 MP,,,Up to 6 h (3G),720p@30fps,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,HSDPA 850 / 1900 / 2100,Quad-core 1.3 GHz Cortex-A7,Android 5.1 (Lollipop),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2016, July. Released 2016, August",8GB 1GB RAM,Mediatek MT6580M (28 nm),Mali-400MP2,Discontinued,Yes,,No,,Maxwest Astro 5s,Dual SIM (dual stand-by),Maxwest,IPS LCD,GSM / HSPA,"5.0 inches, 68.9 cm2(~66.3% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/maxwest-astro-5s.jpg,150 g (5.29 oz),,,"White, Black, Pink Red","480 x 854 pixels, 16:9 ratio (~196 ppi density)",HSPA 21.1/5.76 Mbps,"Accelerometer, proximity",Stereo FM radio,"4.0, A2DP",LED flash,144.4 x 72 x 9.1 mm (5.69 x 2.83 x 0.36 in),microSDHC,Yes,"Li-Ion 2000 mAh, removable","8 MP, AF",Up to 300 h (3G)
eMMC 4.5,GPS,2 MP,"2, 4, 7, 17",,Up to 7 h 30 min,Yes,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,HSDPA 850 / 1700(AWS) / 1900,Quad-core 1.1 GHz Cortex-A7,Android 5.1 (Lollipop),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2016, January. Released 2016, February",8GB 1GB RAM,Qualcomm MSM8909 Snapdragon 210 (28 nm),Adreno 304,Discontinued,Yes,,No,,Maxwest Gravity 5 LTE,Dual SIM (Dual stand-by),Maxwest,IPS LCD,GSM / HSPA / LTE,"5.0 inches, 68.9 cm2(~65.1% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/maxwest-gravity-5-lte-.jpg,155 g (5.47 oz),,,Black/Silver/Gold,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)","HSPA, LTE","Accelerometer, proximity",FM radio,4.1,LED flash,145.5 x 72.8 x 8.9 mm (5.73 x 2.87 x 0.35 in),microSDXC,Yes,"Li-Ion 2200 mAh, removable","8 MP, AF",Up to 300 h
,GPS,"VGA, LED flash",,,Up to 8 h,720p,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,HSDPA 850 / 1700(AWS) / 1900,Dual-core 1.0 GHz Cortex-A7,Android 4.4 (KitKat),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2016, January. Released 2016, February",4GB 512MB RAM,Mediatek MT6572M (28 nm),Mali-400,Discontinued,Yes,,No,,Maxwest Astro X4,Dual SIM (Dual stand-by),Maxwest,"TFT, 256K colors",GSM / HSPA,"4.0 inches, 45.5 cm2(~57.6% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/maxwest-astro-x4.jpg,122 g (4.30 oz),,,"White, Black, Blue, Gold, Pink","480 x 800 pixels, 5:3 ratio (~233 ppi density)",HSPA 21.1/5.76 Mbps,"Accelerometer, proximity",Stereo FM radio,"4.0, A2DP",LED flash,123.5 x 64 x 9.8 mm (4.86 x 2.52 x 0.39 in),microSDHC,Yes,"Li-Ion 1400 mAh, removable",3.15 MP,Up to 180 h
,GPS,5 MP,,,Up to 14 h,720p,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,HSDPA 850 / 1700(AWS) / 1900,Quad-core 1.5 GHz Cortex-A7,Android 5.1 (Lollipop),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2016, January. Released 2016, February",8GB 1GB RAM,Mediatek MT6580 (28 nm),Mali-400MP2,Discontinued,Yes,,No,,Maxwest Astro X55,Dual SIM (Dual stand-by),Maxwest,IPS LCD,GSM / HSPA,"5.5 inches, 83.4 cm2(~72.6% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/maxwest-astro-x55.jpg,174 g (6.14 oz),,,Gold/White,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",HSPA 21.1/5.76 Mbps,"Accelerometer, proximity",Stereo FM radio,"4.0, A2DP",LED flash,150.5 x 76.3 x 7.8 mm (5.93 x 3.00 x 0.31 in),microSDHC,Yes,"Li-Ion 2200 mAh, removable","8 MP, AF",Up to 350 h
No,No,,,No,,No,,Audio/Video playerPhoto viewerVoice memo,No,"SMS, MMS, IM",Yes,Yes,,,,microUSB 1.1,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2016, January. Released 2016, January",64MB 64MB RAM,Spreadtrum 6531D,,Discontinued,No,No,No,No,Maxwest Vice,Dual SIM (dual stand-by),Maxwest,TFT,GSM,"2.4 inches, 17.8 cm2(~32.4% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/maxwest-vice.jpg,87 g (3.07 oz),Yes,,"Black, Red, Silver","240 x 320 pixels, 4:3 ratio (~167 ppi density)",,,FM radio,2.0,,106 x 52 x 13.6 mm (4.17 x 2.05 x 0.54 in),microSDHC (dedicated slot),Yes,"Li-Ion 900 mAh, removable",VGA,
,GPS,5 MP,"2, 4, 7, 17",,Up to 14 h,1080p@30fps,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,HSDPA 850 / 1700(AWS) / 1900,Quad-core 1.0 GHz Cortex-A53,Android 5.1 (Lollipop),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2015, June. Released 2015, September",8GB 1GB RAM,Mediatek MT6735 (28 nm),Mali-T720MP2,Discontinued,Yes,,No,,Maxwest Gravity 5.5 LTE,Dual SIM (Dual stand-by),Maxwest,IPS LCD,GSM / HSPA / LTE,"5.5 inches, 83.4 cm2(~68.8% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/maxwest-gravity-55-lte.jpg,165 g (5.82 oz),,,"Black, Gold, Silver","720 x 1280 pixels, 16:9 ratio (~267 ppi density)","HSPA 21.1/5.76 Mbps, LTE","Accelerometer, proximity",Stereo FM radio,"4.0, A2DP",LED flash,155.5 x 78 x 7.5 mm (6.12 x 3.07 x 0.30 in),microSDHC,Yes,"Li-Ion 3000 mAh, non-removable","13 MP, AF",Up to 350 h
,GPS,2 MP,,,Up to 25 h,Yes,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,HSDPA 850 / 1900,Quad-core 1.3 GHz Cortex-A7,Android 4.4.2 (KitKat),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2015, July. Released 2015, September",8GB 1GB RAM,Mediatek MT6582M (28 nm),Mali-400MP2,Discontinued,Yes,,No,,Maxwest Gravity 5,Dual SIM (Dual stand-by),Maxwest,IPS LCD,GSM / HSPA,"5.0 inches, 68.9 cm2(~65.8% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/maxwest-gravity-5.jpg,150 g (5.29 oz),,,White/Black/Blue/Red,"540 x 960 pixels, 16:9 ratio (~220 ppi density)",HSPA 21.1/5.76 Mbps,"Accelerometer, proximity",Stereo FM radio,2.0,LED flash,145.4 x 72 x 9.1 mm (5.72 x 2.83 x 0.36 in),microSDHC,Yes,"Li-Ion 2700 mAh, removable","8 MP, AF",Up to 200 h
