,Positioning,Quad,Single_1,4G bands,Java,Talk time,Video,Charging,Video_1,_1,Dual,WLAN,Messaging,SAR EU,GPRS,Phonebook,3G bands,CPU,OS,USB,2G bands,Announced,Internal,Chipset,GPU,Status,3.5mm jack,Price,Music play,Features_1,Build,Games,NFC,EDGE,_3,_2,Model Name,SIM,Brand,Type,Technology,Size,Model Image,Weight,Call records,Keyboard,Infrared port,Colors,Resolution,Protection,Speed,Sensors,_4,Models,Radio,Bluetooth,SAR,Features,Browser,Dimensions,Card slot,Loudspeaker,Type_1,Single,Stand-by
eMMC 5.1,GPS,,,"1, 3, 5, 8, 38, 40, 41",,,1080p@30fps,10W wired,Unspecified,,"8 MP, (wide), AFVGA, (depth)","Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct",,,,,HSDPA 850 / 2100,Octa-core (2x1.8 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Android 11,"USB Type-C 2.0, OTG",GSM 850 / 900 / 1800 / 1900,"2022, April 26",32GB 3GB RAM,Unisoc T610 (12 nm),Mali-G52 MP2,"Available. Released 2022, May 01",Yes,About 100 EUR,,,,,No,,,,Micromax In 2c,Nano-SIM + Nano-SIM,Micromax,"IPS LCD, 420 nits",GSM / HSPA / LTE,"6.52 inches, 102.6 cm2(~82.5% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-in-2c.jpg,198 g (6.98 oz),,,,"Brown, Silver","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",,"HSPA, LTE","Accelerometer, proximity",,E6533,No,"5.0, A2DP, LE",,"LED flash, HDR, panorama",,164.3 x 75.7 x 8.6 mm (6.47 x 2.98 x 0.34 in),microSDXC (dedicated slot),Yes,Li-Po 5000 mAh,"5 MP, AF",
UFS 2.1,"GPS, GLONASS, GALILEO, BDS","48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF5 MP, f/2.2, 115˚ (ultrawide), 1/5.0"", 1.12µm2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",,"1, 3, 5, 8, 40, 41",,,1080p@30fps,"30W wired, 50% in 25 minReverse wired",1080p@30fps,,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,,,HSDPA 850 / 900 / 2100,Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Android 11,"USB Type-C 2.0, OTG",GSM 850 / 900 / 1800 / 1900,"2022, January 25",64GB 4GB RAM,Mediatek MT6785V/CD Helio G95 (12 nm),Mali-G76 MC4,"Available. Released 2022, January 30",Yes,About 150 EUR,,,,,No,,,,Micromax In note 2,Nano-SIM + Nano-SIM,Micromax,"AMOLED, 550 nits (typ)",GSM / HSPA / LTE,"6.43 inches, 99.8 cm2(~84.0% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-in-note2.jpg,205 g (7.23 oz),,,,"Black, Oak","1080 x 2400 pixels, 20:9 ratio (~409 ppi density)",Corning Gorilla Glass,"HSPA, LTE","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",,E7446,FM radio,"5.0, A2DP, LE",1.01 W/kg (head)     0.77 W/kg (body),"Dual-LED dual-tone flash, HDR, panorama",,159.9 x 74.3 x 8.3 mm (6.30 x 2.93 x 0.33 in),microSDXC (dedicated slot),Yes,Li-Po 5000 mAh,"16 MP, f/2.0, 27mm (wide), 1/3.06"", 1.0µm",
eMMC 5.1,"GPS, GLONASS, GALILEO, BDS",,,"1, 3, 5, 8, 38, 40, 41",,,1080p@30fps,10W wired,Unspecified,,"13 MP, f/1.8, 27mm (wide), 1/3.0"", 1.12µm, PDAF2 MP, f/2.4, (depth)","Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct",,,,,HSDPA 850 / 2100,Octa-core (2x1.8 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Android 11,"USB Type-C 2.0, OTG",GSM 850 / 900 / 1800 / 1900,"2021, July 30","64GB 4GB RAM, 64GB 6GB RAM",Unisoc T610 (12 nm),Mali-G52 MP2,"Available. Released 2021, August 06",Yes,About 90 EUR,,HDR,,,No,,,,Micromax In 2b,Nano-SIM + Nano-SIM,Micromax,"IPS LCD, 400 nits (typ)",GSM / HSPA / LTE,"6.52 inches, 102.6 cm2(~82.5% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-in-2b.jpg,190 g (6.70 oz),,,,"Blue, Black, Green","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",,"HSPA, LTE","Fingerprint (rear-mounted), accelerometer, proximity",,E7544,Unspecified,"5.0, A2DP, LE",0.85 W/kg (head)     1.13 W/kg (body),"LED flash, HDR, panorama",,164.3 x 75.7 x 8.6 mm (6.47 x 2.98 x 0.34 in),microSDXC (dedicated slot),Yes,Li-Po 5000 mAh,"5 MP, f/2.2",
eMMC 5.1,"GPS, GLONASS, GALILEO, BDS","48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",,"1, 3, 5, 8, 40, 41",,,1080p@30fps,18W wired2.5W reverse wired,1080p@30fps,,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,,,HSDPA 850 / 900 / 2100,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Android 10,"USB Type-C 2.0, OTG",GSM 850 / 900 / 1800 / 1900,"2021, March 19","64GB 4GB RAM, 128GB 6GB RAM",Mediatek MT6769V/CU Helio G80 (12 nm),Mali-G52 MC2,"Available. Released 2021, March 26",Yes,About 120 EUR,,,,,No,,,,Micromax In 1,Nano-SIM + Nano-SIM,Micromax,"IPS LCD, 440 nits (peak)",GSM / HSPA / LTE,"6.67 inches, 107.4 cm2(~84.4% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-in1.jpg,195 g (6.88 oz),,,,"Blue, Purple","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,"HSPA, LTE (CA)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,E6746,FM radio,"5.0, A2DP, LE",0.96 W/kg (head),"LED flash, HDR",,165.2 x 77 x 9 mm (6.50 x 3.03 x 0.35 in),microSDXC (dedicated slot),Yes,Li-Po 5000 mAh,"8 MP, f/2.0, (wide), 1/4.0"", 1.12µm",
eMMC 5.1,"GPS, GLONASS, GALILEO, BDS","48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF5 MP, f/2.2, 115˚ (ultrawide), 1/5.0"", 1.12µm2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",,"1, 3, 5, 8, 40, 41",,,1080p@30fps,18W wired2.5W reverse wired,1080p@30fps,,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,,,HSDPA 850 / 900 / 2100,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Android 10,"USB Type-C 2.0, OTG",GSM 850 / 900 / 1800 / 1900,"2020, November 03","64GB 4GB RAM, 128GB 4GB RAM",Mediatek MT6769Z Helio G85 (12 nm),Mali-G52 MC2,"Available. Released 2020, November 24",Yes,About 130 EUR,,,,,No,,,,Micromax In note 1,Nano-SIM + Nano-SIM,Micromax,"IPS LCD, 450 nits (peak)",GSM / HSPA / LTE,"6.67 inches, 107.4 cm2(~84.4% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-in-note1.jpg,196 g (6.91 oz),,,,"Green, White","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",Oleophobic coating,"HSPA 42.2/11.5 Mbps, LTE (2CA) Cat7 300/150 Mbps","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,E7746,FM radio,"5.0, A2DP, LE",0.57 W/kg (head)     0.96 W/kg (body),"LED flash, HDR",,165.2 x 77 x 9 mm (6.50 x 3.03 x 0.35 in),microSDXC (dedicated slot),Yes,Li-Po 5000 mAh,"16 MP, f/2.0, 27mm (wide), 1/3.06"", 1.0µm",
eMMC 5.1,"GPS, GLONASS, GALILEO",,,"1, 3, 5, 8, 40, 41",,,1080p@30fps,10W wiredReverse wired,1080p@30fps,,"13 MP, f/1.9, 26mm (wide), PDAF2 MP, f/2.4, (depth)","Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct",,,,,HSDPA 850 / 2100,Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),Android 10 (Go edition),"USB Type-C 2.0, OTG",GSM 850 / 900 / 1800 / 1900,"2020, November 03","32GB 2GB RAM, 64GB 4GB RAM",Mediatek MT6765G Helio G35 (12 nm),PowerVR GE8320,"Available. Released 2020, November 26",Yes,About 80 EUR,,,,,No,,,,Micromax In 1b,Nano-SIM + Nano-SIM,Micromax,"IPS LCD, 400 nits (typ)",GSM / HSPA / LTE,"6.52 inches, 102.6 cm2(~82.3% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-in-1b.jpg,188 g (6.63 oz),,,,"Blue, Purple, Green","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",,"HSPA, LTE","Fingerprint (rear-mounted), accelerometer, gyro, proximity",,"E6523, E7533",Unspecified,"5.0, A2DP, LE",0.57 W/kg (head)     0.90 W/kg (body),"LED flash, panorama",,164.5 x 75.8 x 8.9 mm (6.48 x 2.98 x 0.35 in),microSDXC (dedicated slot),Yes,Li-Po 5000 mAh,"8 MP, f/2.0",
eMMC 5.1,GPS,,,"1, 3, 5, 8, 40, 41",,,1080p@24fps,,1080p,,"13 MP, PDAF5 MP, f/2.4, (depth)",Wi-Fi 802.11 a/b/g/n,,,,,HSDPA 900 / 2100,Octa-core 2.0 GHz Cortex-A53,Android 8.1 (Oreo),"microUSB 2.0, OTG",GSM 850 / 900 / 1800 / 1900,"2018, December",32GB 3GB RAM,Mediatek MT6762V Helio P22 (12 nm),PowerVR GE8320,"Available. Released 2018, December",Yes,About 10000 INR,,LED flash,,,No,,,,Micromax Infinity N12,Nano-SIM + Nano-SIM,Micromax,IPS LCD,GSM / HSPA / LTE,"6.19 inches, 96.4 cm2(~81.1% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-infinity-n12-.jpg,164 g (5.78 oz),,,,"Blue Lagoon, Red Velvet, Viola, Black",720 x 1500 pixels (~269 ppi density),,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","Fingerprint (rear-mounted), accelerometer, gyro, proximity",,N8301,"FM radio, recording","4.2, A2DP",,LED flash,,156 x 76.2 x 8.5 mm (6.14 x 3.00 x 0.33 in),microSDXC (dedicated slot),Yes,"Li-Po 4000 mAh, non-removable","16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0µm",
eMMC 5.1,GPS,,,"1, 3, 5, 8, 40, 41",,,1080p@24fps,,1080p,,"13 MP, PDAF5 MP, f/2.4, (depth)",Wi-Fi 802.11 a/b/g/n,,,,,HSDPA 900 / 2100,Octa-core 2.0 GHz Cortex-A53,Android 8.1 (Oreo),"microUSB 2.0, OTG",GSM 850 / 900 / 1800 / 1900,"2018, December",32GB 2GB RAM,Mediatek MT6762V Helio P22 (12 nm),PowerVR GE8320,"Available. Released 2019, January",Yes,About 9000 INR,,LED flash,,,No,,,,Micromax Infinity N11,Nano-SIM + Nano-SIM,Micromax,IPS LCD,GSM / HSPA / LTE,"6.19 inches, 96.4 cm2(~81.1% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-infinity-n11-n8216.jpg,164 g (5.78 oz),,,,Black,720 x 1500 pixels (~269 ppi density),,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","Fingerprint (rear-mounted), accelerometer, gyro, proximity",,,"FM radio, recording","4.2, A2DP",,LED flash,,156 x 76.2 x 8.5 mm (6.14 x 3.00 x 0.33 in),microSDXC (dedicated slot),Yes,"Li-Po 4000 mAh, non-removable",8 MP,
eMMC 5.1,GPS,,5 MP,"1, 3, 5, 40, 41",,,1080p@30fps,,,,,Wi-Fi 802.11 b/g/n,,,,,HSDPA 900 / 2100,Quad-core 1.5 GHz Cortex-A53,Android 8.1 Oreo (Go edition),"microUSB 2.0, OTG",GSM 850 / 900 / 1800 / 1900,"2018, December",16GB 1GB RAM,Mediatek MT6739 (28 nm),PowerVR GE8100,"Available. Released 2018, December",Yes,About 5400 INR,,LED flash,,,No,,,,Micromax Bharat 5 Infinity,Nano-SIM + Nano-SIM,Micromax,IPS LCD,GSM / HSPA / LTE,"5.45 inches, 76.7 cm2(~72.9% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-bharat-5-infinity-edition-q4204.jpg,-,,,,"Lava Red, Rose Gold, Matte Blue","720 x 1440 pixels, 18:9 ratio (~295 ppi density)",,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","Fingerprint (rear-mounted), accelerometer, proximity",,Q4204,"FM radio, recording","4.1, A2DP",,LED flash,,148 x 71 x 10.4 mm (5.83 x 2.80 x 0.41 in),microSDHC (dedicated slot),Yes,"Li-Po 5000 mAh, non-removable",5 MP,
eMMC 5.0,GPS,,5 MP,"3, 40",,,480p,,,,,Wi-Fi 802.11 b/g/n,,,,,HSDPA 900 / 2100,Quad-core 1.1 GHz Cortex-A53,Android 8.0 Oreo (Go edition),"microUSB 2.0, OTG",GSM 850 / 900 / 1800 / 1900,"2018, May",8GB 1GB RAM,Mediatek MT6737М,Mali-T720MP1,"Available. Released 2018, June",Yes,About 4400 INR,,LED flash,"Glass front, plastic back, plastic frame",,No,,,,Micromax Bharat Go,"Dual SIM (Micro-SIM, dual stand-by)",Micromax,TFT LCD,GSM / HSPA / LTE,"4.5 inches, 61.9 cm2(~67.7% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-bharat-go-.jpg,130 g (4.59 oz),,,,Black,"480 x 854 pixels, 16:9 ratio (~207 ppi density)",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Accelerometer,,,FM radio,"4.0, A2DP",,Dual-LED dual-tone flash,,136.5 x 67 x 9.6 mm (5.37 x 2.64 x 0.38 in),microSDHC,Yes,"Li-Ion 2000 mAh, removable",5 MP,
