,Positioning,Languages,Java,Talk time,Video,_1,WLAN,Messaging,GPRS,Phonebook,Alert types,USB,OS,CPU,2G bands,Announced,Internal,Status,3.5mm jack,Games,EDGE,_3,_2,Model Name,SIM,Brand,Type,Technology,Size,Model Image,Weight,Call records,Infrared port,Colors,Resolution,Sensors,_4,Clock,Radio,Bluetooth,Browser,Features,Dimensions,Card slot,Loudspeaker,Type_1,Single,Alarm,Stand-by
"Second external TFD display (120 x 160 pixels), 256K colorsDownloadable pictures",No,"English, French, German, Italian, Spanish, Dutch a","Yes, DoJa 2.5",Up to 4 h,Yes,400 short messages,No,"SMS, MMS, Email",Class 10,"500 x 15 fields, Photo call","Vibration; Downloadable polyphonic, MP3 ringtones",Proprietary,,,GSM 900 / 1800 / 1900,"2004, Q3",15MB,Discontinued,No,2 + downloadable,No,MP3 player (M900 only)Predictive text inputOrganizerPhoto editorVoice memoVoice dial (20 slots),No,Mitsubishi M430i/M900,Mini-SIM,Mitsubishi,"TFD, 256K colors",GSM,"2.2 inches, 33 x 45 mm, 15.0 cm2(~29.1% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/mip900.gif,125 g (4.41 oz),"10 dialed, 10 received, 10 missed calls",Yes,Silver,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",,,,No,No,"WAP 2.0/xHTML, iMode (M430i only)",LED flash,"105 x 49 x 24 mm, 100 cc (4.13 x 1.93 x 0.94 in)","miniSD, 32 MB included",Yes,Removable Li-Ion 810 mAh battery,1.3 MP,,Up to 200 h
Second external flashing  displayDownloadable pictures,No,,"Yes, MIDP 2.0",Up to 2 h 30 min,320p,300 short messages,No,"SMS, MMS",Class 10,"500 x 5 fields, Photo call, 8 groups",Vibration; Downloadable polyphonic ringtones,,,,GSM 900 / 1800,"2004, Q4",1.5MB,Discontinued,No,5 + downloadable,No,Predictive text inputOrganizerWorld Time,No,Mitsubishi M800,Mini-SIM,Mitsubishi,"TFT, 256K colors",GSM,,https://fdn2.gsmarena.com/vv/bigpic/mim800.gif,94 g (3.32 oz),"10 dialed, 10 received, 10 missed calls",,Sleek silver,128 x 160 pixels,,,,No,No,WAP 1.2.1,,89 x 45 x 22 mm (3.50 x 1.77 x 0.87 in),No,No,Removable Li-Ion 680 mAh battery,1.3 MP,,Up to 250 h
Downloadable pictures,No,,"Yes, MIDP 2.0",Up to 4 h,Yes,No,No,"SMS, MMS, Email",Yes,"500 entries, Photo call",Vibration; Downloadable polyphonic ringtones,Proprietary,,,GSM 900 / 1800 / 1900,"2004, Q4",19MB,Discontinued,No,Yes,No,,MP3 playerPredictive text inputOrganizerPhoto editorVoice memo,Mitsubishi M420i/M760,Mini-SIM,Mitsubishi,"TFD, 256K colors",GSM,,https://fdn2.gsmarena.com/vv/bigpic/mim760.gif,115 g (4.06 oz),"10 dialed, 10 received, 10 missed calls",Yes,Silver,"176 x 240 pixels, 4:3 ratio",,,,No,No,"WAP 2.0/xHTML, iMode (M420i only)",,98 x 47 x 25 mm (3.86 x 1.85 x 0.98 in),No,No,Removable Li-Ion battery,1.3 MP,,Up to 200 h
"Second external CSTN display (96 x 64 pixels), 65K colorsDownloadable pictures",No,,"Yes, MIDP 1.0",,Yes,No,No,"SMS, MMS",Class 10,"500 entries, Photo call",Vibration; Downloadable polyphonic ringtones,Proprietary,,,GSM 900 / 1800,"2004, Q4",2MB,Discontinued,No,Yes,No,,Predictive text inputOrganizerPhoto editor,Mitsubishi M528,Mini-SIM,Mitsubishi,"CSTN, 65K colors",GSM,,https://fdn2.gsmarena.com/vv/bigpic/mitsubishi-m528.gif,72 g (2.54 oz),"10 dialed, 10 received, 10 missed calls",,"Silver, Red, Blue","128 x 128 pixels, 1:1 ratio",,,,No,No,WAP 1.2.1,,76 x 43 x 22 mm (2.99 x 1.69 x 0.87 in),No,No,Removable Li-Ion battery,VGA,,
"Second external CSTN display (96 x 64 pixels), 65K colorsDownloadable pictures",No,,"Yes, MIDP 1.0",Up to 2 h,Yes,No,No,"SMS, MMS",Class 10,"500 entries, Photo call",Vibration; Downloadable polyphonic ringtones,,,,GSM 900 / 1800,"2004, Q4",3MB,Discontinued,No,5 + downloadable,No,,Predictive text inputOrganizerWorld Time,Mitsubishi M520,Mini-SIM,Mitsubishi,"CSTN, 65K colors",GSM,,https://fdn2.gsmarena.com/vv/bigpic/mim520.gif,75 g (2.65 oz),"10 dialed, 10 received, 10 missed calls",,Crystal Silver and Sapphire Blue,"128 x 128 pixels, 1:1 ratio",,,,No,No,WAP 1.2.1,,76 x 43 x 22 mm (2.99 x 1.69 x 0.87 in),No,No,Removable Li-Ion 680 mAh battery,VGA,,Up to 120 h
Downloadable logos,No,,Yes,,No,No,No,"SMS, MMS, EMail",Class 8,255 x 6 fields,Vibration; Downloadable polyphonic ringtones,,,,GSM 900 / 1800,"2004, Q2",5MB,Discontinued,No,2,No,,Predictive text inputVoice dial/memoOrganizerPhoto editor,Mitsubishi M350,Mini-SIM,Mitsubishi,"TFT, 256K colors",GSM,,https://fdn2.gsmarena.com/vv/bigpic/mim350.gif,99 g (3.49 oz),"10 dialed, 10 received, 10 missed calls",Yes,Metallic Silver,"128 x 160 pixels,  7 lines",,,,No,No,WAP 1.2.1,,"107 x 47 x 20 mm, 85 cc (4.21 x 1.85 x 0.79 in)",No,Yes,Removable Li-Ion 900 mAh battery,VGA,,
"Second external STN display (62 x 80 pixels), 4096 colorsDownloadable logos",No,"English, French, German, Italian, Spanish, Dutch",Yes,Up to 5h,No,No,No,"SMS, MMS, Email",Class 8,255 x 6 fields,Vibration; Downloadable polyphonic ringtones,,,,GSM 900 / 1800,"2003, Q4",5MB,Discontinued,No,Yes - Demo Mox + downloadable,No,,Predictive text inputVoice dial/memoOrganizerPhoto editor,Mitsubishi M750,Mini-SIM,Mitsubishi,"TFT, 256K colors",GSM,,https://fdn2.gsmarena.com/vv/bigpic/mim750.gif,102 g (3.60 oz),"10 dialed, 10 received, 10 missed calls",Yes,,128 x 160 pixels,,,,No,No,WAP 1.2.1,,"96 x 47 x 24 mm, 88 cc (3.78 x 1.85 x 0.94 in)",No,Yes,Removable Li-Ion battery,VGA,,Up to 250 h
Downloadable logos,No,"English, French, German, Italian, Spanish, Dutch a","Yes, DoJa 1.5",Up to 5 h,No,No,No,"SMS, MMS, Email",Class 8,Yes,"Vibration; Downloadable polyphonic - SP midi, MFI (i-mode), Midi, i-melody, AMR ringtones",,,,GSM 900 / 1800,"2004, Q1",5MB,Discontinued,No,2 embedded  + downloadable,No,Predictive text inputVoice memoOrganizerPhoto editor,"Melody formats: SP midi, MFI (Music format for i-mode), Midi, i-melody, AMRPicture formats: .jpg, .gif, .png, .wbmp and animated gi",Mitsubishi M342i,Mini-SIM,Mitsubishi,"TFT, 256K colors",GSM,,https://fdn2.gsmarena.com/vv/bigpic/mim342i.gif,99 (3.49 oz),"10 dialed, 10 received, 10 missed calls",Yes,,128 x 160 pixels,,,,No,No,iMode,,"107 x 47 x 19 mm, 85 cc (4.21 x 1.85 x 0.75 in)",No,Yes,Removable Li-Ion battery,VGA,,Up to 380 h
"Second external display (62 x 80 pixels), 4096 colorsDownloadable logos",No,"English, French, German, Italian, Spanish, Dutch","Yes, DoJa 1.5",Up to 4 h,No,20 voice dial slots2 min voice memo100 organizer events,No,"SMS, MMS, Email",Class 8,"255 x 6 fields, Photo call","Vibration; Downloadable polyphonic - (Midi, MFI, ADPCM) ringtones",,,,GSM 900 / 1800,"2003, Q4",5MB,Discontinued,No,Yes - Demo Mox + downloadable,No,Predictive text inputVoice memo/dialOrganizerPhoto editor,No,Mitsubishi M341i/M720,Mini-SIM,Mitsubishi,"TFT, 256K colors",GSM,,https://fdn2.gsmarena.com/vv/bigpic/mim341i.gif,102 g (3.60 oz),"10 dialed, 10 received, 10 missed calls",Yes,,"128 x 160 pixels, 10 lines",,,,No,No,"WAP 1.2.1, iMode (M341i only)",,"96 x 47 x 24 mm, 87 cc (3.78 x 1.85 x 0.94 in)",No,No,Removable Li-Po battery,VGA,,Up to 400 h
20 voice dial records2 min voice memo100 text messages,No,"English, Chinese, Thai",No,Up to 4h,,No,No,"SMS, EMS, MMS",Yes,255 x 6 fields,"Vibration; Downloadable polyphonic - Midi, SP-Midi, iMelody ringtones",,,,GSM 900 / 1800,"2003, Q3",,Discontinued,No,Yes,No,,Predictive text inputVoice dialVoice memoOrganizer,Mitsubishi M330,Mini-SIM,Mitsubishi,"CSTN, 4096 colors",GSM,,https://fdn2.gsmarena.com/vv/bigpic/mim330.gif,95 g (3.35 oz),"10 dialed, 10 received, 10 missed calls",Yes,2 - Quartz Silver and Frost White.,128 x 141 pixels,,,Yes,No,No,WAP 1.2.1,,116 x 47 x 20 mm (4.57 x 1.85 x 0.79 in),No,Yes,Removable Li-Ion battery,,Yes,Up to 350h
