Unnamed: 0,Type,Loudspeaker,SAR,NFC,256GB 12GB RAM,Features_1,3.5mm jack,Dimensions,Clock,Resolution,256GB 6GB RAM,2G bands,Video_1,Chipset,Internal,512GB 12GB RAM,Music play,SAR EU,512GB 8GB RAM,Keyboard,Alert types,CPU,Model Image,Stand-by,Sensors,Radio,Dual,Phonebook,4G bands,3G bands,_1,Talk time,Languages,64GB 4GB RAM,128GB 4GB RAM,256GB 8GB RAM,WLAN,32GB 3GB RAM,128GB 6GB RAM,Call records,Video,_2,Infrared port,GPRS,GPU,Performance,Charging,OS,Weight,EDGE,Models,Model Name,Loudspeaker_1,Talk time_1,_7,_5,Colors,Battery (old),Java,5G bands,128GB 8GB RAM,_3,Single,_8,Brand,SIM,_4,Type_1,Single_1,Card slot,Dual_1,Triple,Announced,Quad,Status,Games,Bluetooth,64GB 2GB RAM,USB,Features,Camera,Build,Alarm,_6,Technology,Price,Browser,Speed,Protection,Stand-by_1,Size,Display,Audio quality,Messaging,Positioning,Battery (new),1TB 16GB RAM,URL,Image,Network,Launch,Body,Platform,Memory,Main Camera,Selfie camera,Sound,Comms,Battery,Misc,
IP68/IP69 dust/water resistant (up to 1.5m for 30 min)MIL-STD-810H compliant,"IPS LCD, 120Hz","Yes, with stereo speakers (with Dolby Atmos)",,Yes,,,Yes,166.6 x 77.1 x 8.7 mm (6.56 x 3.04 x 0.34 in),,1080 x 2388 pixels (~385 ppi density),,GSM 850 / 900 / 1800 / 1900,1080p@30fps,Mediatek Dimensity 6300 (6 nm),128GB 8GB RAM,,,,,,,Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g-power-2025.jpg,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",Unspecified,"50 MP, f/1.8, (wide), 0.61µm, PDAF, OIS8 MP, f/2.2, 119˚ (ultrawide), 1.12µm, AF",,"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 20, 25, 26, 28, 29, 30, 38, 39, 40, 41, 48, 66, 71",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,,,,,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,,,1080p@30fps,,,,Mali-G57 MC2,,30W wired15W wireless,Android 15,208 g (7.34 oz),,,Motorola Moto G Power (2025),,,,,"Slate Gray, Leaf Green",,,"2, 5, 7, 12, 14, 25, 26, 29, 30, 41, 48, 66, 70, 71, 77, 78 SA/NSA/Sub6",,,"16 MP, f/2.4, (wide), 1.0µm",,Motorola,Nano-SIM +eSIM,,5000 mAh,,microSDXC (dedicated slot),,,"2025, January 14",,"Coming soon. Exp. release 2025, February 06",,Yes,,USB Type-C 2.0,"LED flash, HDR, panorama",,"Glass front (Gorilla Glass 5), silicone polymer (eco leather) back, plastic frame",,,GSM / HSPA / LTE / 5G,About 290 EUR,,"HSPA, LTE, 5G",Corning Gorilla Glass 5,,"6.8 inches, 112.0 cm2(~87.2% screen-to-body ratio)",,,,"GPS, GALILEO, GLONASS",,,,,,,,,,,,,,,,
Water-repellent design,"IPS LCD, 120Hz","Yes, with stereo speakers (with Dolby Atmos)",,Yes,,,Yes,167.1 x 76.3 x 8.2 mm (6.58 x 3.00 x 0.32 in),,"720 x 1604 pixels, 20:9 ratio (~262 ppi density)",,GSM 850 / 900 / 1800 / 1900,1080p@30fps,Mediatek Dimensity 6300 (6 nm),"64GB 4GB RAM, 128GB 4GB RAM",,,,,,,Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g-2025.jpg,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",Unspecified,"50 MP, f/1.8, (wide), 0.61µm, PDAF, OIS2 MP, f/2.4, (macro)",,"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 20, 25, 26, 28, 29, 30, 38, 39, 40, 41, 48, 66, 71",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,,,,,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,,,1080p@30fps,,,,Mali-G57 MC2,,30W wired,Android 15,193 g (6.81 oz),,,Motorola Moto G (2025),,,,,"Forest Gray, Sapphire Blue",,,"2, 5, 7, 12, 14, 25, 26, 29, 30, 41, 48, 66, 70, 71, 77, 78 SA/NSA/Sub6",,,"16 MP, f/2.4, (wide), 1.0µm",,Motorola,Nano-SIM +eSIM,,5000 mAh,,microSDXC (dedicated slot),,,"2025, January 14",,"Coming soon. Exp. release 2025, January 30",,Yes,,USB Type-C 2.0,"LED flash, HDR, panorama",,"Glass front (Gorilla Glass 3), silicone polymer (eco leather) back, plastic frame",,,GSM / HSPA / LTE / 5G,About 190 EUR,,"HSPA, LTE, 5G",Corning Gorilla Glass 3,,"6.7 inches, 108.2 cm2(~84.9% screen-to-body ratio)",,,,"GPS, GALILEO, GLONASS",,,,,,,,,,,,,,,,
IP54 dust and splash resistant,IPS LCD,"Yes, with stereo speakers",,Yes (market/region dependent),,,Yes,165.7 x 76 x 8.2 mm (6.52 x 2.99 x 0.32 in),,"1080 x 2400 pixels, 20:9 ratio (~392 ppi density)",,GSM 850 / 900 / 1800 / 1900,1080p@30fps,Mediatek Helio G81 Extreme (12 nm),"128GB 4GB RAM, 256GB 4GB RAM, 256GB 8GB RAM, 512GB 8GB RAM",,,,,,,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.7 GHz Cortex-A55),https://fdn2.gsmarena.com/vv/bigpic/mototola-moto-g15.jpg,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",FM radio,"50 MP, f/1.8, (wide), PDAF5 MP, f/2.4, (ultrawide)",,"1, 2, 3, 5, 7, 8, 20, 28, 38, 40, 41",HSDPA 850 / 900 / 1900 / 2100,,,,,,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,,,1080p@30fps,,,,Mali-G52 MC2,,18W wired,Android 15,190 g (6.70 oz),,,Motorola Moto G15,,,,,"Gravity Grey, Iguana Green, Sunrise Orange, Sea Blue, Glacier Blue",,,,,,"8 MP, f/2.0, (wide), 1.12µm",,Motorola,Nano-SIM + Nano-SIM,,5200 mAh,,microSDXC,,,"2024, December 17",,"Coming soon. Exp. release 2025, January",,"5.0, A2DP, LE",,USB Type-C 2.0,"LED flash, HDR, panorama",,"Glass front (Gorilla Glass 3), plastic frame, silicone polymer back (eco leather)",,,GSM / HSPA / LTE,,,"HSPA, LTE",Corning Gorilla Glass 3,,"6.72 inches, 109.0 cm2(~86.6% screen-to-body ratio)",,,,"GPS, GALILEO, GLONASS, BDS, QZSS",,,,,,,,,,,,,,,,
IP54 dust and splash resistant,IPS LCD,"Yes, with stereo speakers",,Yes (market/region dependent),,,Yes,165.7 x 76 x 8.8 mm (6.52 x 2.99 x 0.35 in),,"1080 x 2400 pixels, 20:9 ratio (~392 ppi density)",,GSM 850 / 900 / 1800 / 1900,1080p@30fps,Mediatek Helio G81 Extreme (12 nm),"256GB 8GB RAM, 512GB 8GB RAM",,,,,,,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.7 GHz Cortex-A55),https://fdn2.gsmarena.com/vv/bigpic/mototola-g15-r.jpg,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",FM radio,"50 MP, f/1.8, (wide), 0.64µm, PDAF5 MP, f/2.4, (ultrawide)",,"1, 2, 3, 5, 7, 8, 20, 28, 38, 40, 41",HSDPA 850 / 900 / 1900 / 2100,,,,,,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,,,1080p@30fps,,,,Mali-G52 MC2,,30W wired,Android 15,203 g (7.16 oz),,,Motorola Moto G15 Power,,,,,"Gravity Grey, Iguana Green",,,,,,"8 MP, f/2.0, (wide), 1.12µm",,Motorola,Nano-SIM + Nano-SIM,,6000 mAh,,microSDXC,,,"2024, December 17",,"Coming soon. Exp. release 2025, January",,"5.0, A2DP, LE",,USB Type-C 2.0,"Dual-LED flash, HDR, panorama",,"Glass front (Gorilla Glass 3), plastic frame, silicone polymer back (eco leather)",,,GSM / HSPA / LTE,,,"HSPA, LTE",Corning Gorilla Glass 3,,"6.72 inches, 109.0 cm2(~86.6% screen-to-body ratio)",,,,"GPS, GALILEO, GLONASS, BDS, QZSS",,,,,,,,,,,,,,,,
IP54 dust and splash resistant,"IPS LCD, 90Hz","Yes, with stereo speakers",,Yes (market/region dependent),,HDR,Yes,165.7 x 76 x 8.2 mm (6.52 x 2.99 x 0.32 in),,"720 x 1604 pixels, 20:9 ratio (~264 ppi density)",,GSM 850 / 900 / 1800 / 1900,1080p@30fps,Mediatek Helio G81 Extreme (12 nm),"64GB 4GB RAM, 128GB 4GB RAM",,,,,,,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.7 GHz Cortex-A55),https://fdn2.gsmarena.com/vv/bigpic/mototola-moto-g05.jpg,,"Fingerprint (side-mounted), accelerometer, proximity",No,,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",HSDPA 850 / 900 / 2100,,,,€ 129.00,€ 164.79,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,,,1080p@30fps,,,,Mali-G52 MC2,,18W wired,Android 15,188.8 g (6.67 oz),,,Motorola Moto G05,,,,,"Plum Red, Fresh Lavender, Forest Green, Misty Blue",,,,,,"50 MP, f/1.8, (wide), PDAF",,Motorola,Nano-SIM + Nano-SIM,,5200 mAh,"8 MP, f/2.1, (wide), 1.12µm",microSDXC (dedicated slot),,,"2024, December 17",,"Available. Released 2025, January 13",,"5.0, A2DP, LE",,USB Type-C 2.0,"LED flash, HDR",,"Glass front (Gorilla Glass 3), plastic frame, silicone polymer back (eco leather)",,,GSM / HSPA / LTE,"€ 129.00 / ₹ 7,449",,"HSPA, LTE",Corning Gorilla Glass 3,,"6.67 inches, 107.2 cm2(~85.2% screen-to-body ratio)",,,,"GPS, GALILEO, GLONASS",,,,,,,,,,,,,,,,
IP54 dust and splash resistant,"IPS LCD, 90Hz","Yes, with stereo speakers",,No,,,Yes,165.7 x 76 x 8.2 mm (6.52 x 2.99 x 0.32 in),,"720 x 1604 pixels, 20:9 ratio (~264 ppi density)",,GSM 850 / 900 / 1800 / 1900,1080p@30fps,Mediatek Helio G81 Extreme (12 nm),64GB 2GB RAM,,,,,,,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.7 GHz Cortex-A55),https://fdn2.gsmarena.com/vv/bigpic/mototola-moto-e15.jpg,,"Fingerprint (side-mounted), accelerometer, proximity","FM radio (no radio in FR, IT)",,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",HSDPA 850 / 900 / 2100,,,,,,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,,,1080p@30fps,,,,Mali-G52 MC2,,18W wired,Android 14 (Go edition),188.8 g (6.67 oz),,,Motorola Moto E15,,,,,"Fresh Lavender, Misty Blue, Denim Blue",,,,,,"32 MP, f/2.2, (wide), 0.64µm, PDAF",,Motorola,Nano-SIM + Nano-SIM,,5200 mAh,"8 MP, f/2.1, (wide), 1.12µm",microSDXC,,,"2024, December 17",,"Coming soon. Exp. release 2025, January",,"5.0, A2DP, LE",,USB Type-C 2.0,"LED flash, HDR",,"Glass front (Gorilla Glass 3), plastic frame, silicone polymer back (eco leather)",,,GSM / HSPA / LTE,,,"HSPA, LTE",Corning Gorilla Glass 3,,"6.67 inches, 107.2 cm2(~85.2% screen-to-body ratio)",,,,"GPS, GALILEO, GLONASS",,,,,,,,,,,,,,,,
IP68 dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.3mMIL-STD-810H compliant,"P-OLED, 1B colors, 120Hz, HDR10+, 3000 nits (peak)","Yes, with stereo speakers",,Yes,,,No,154.1 x 71.2 x 8.1 mm (6.07 x 2.80 x 0.32 in),,"1220 x 2670 pixels, 19.5:9 ratio (~462 ppi density)",,GSM 850 / 900 / 1800 / 1900,"4K@30fps, 1080p@30/60/120fps",Mediatek Dimensity 7300 (4 nm),"256GB 8GB RAM, 512GB 12GB RAM",,,,,,,Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),https://fdn2.gsmarena.com/vv/bigpic/motorola-thinkphone-2024.jpg,,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",FM radio,,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 32, 38, 39, 40, 41, 42, 43, 66",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,uMCP,,,,,€ 649.00,"Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band",,,,"4K@30/60fps, 1080p@30/60/120/240fps, gyro-EIS",Smart Connect support,,,Mali-G615 MC2,,"68W wired, 50% in 11 min15W wireless","Android 14, up to 5 major Android upgrades",171 g (6.03 oz),,,Motorola ThinkPhone 25,,,,,Carbon Black,,,"1, 2, 3, 5, 7, 8, 20, 26, 28, 38, 40, 41, 66, 75, 77, 78 SA/NSA/Sub6",,,"32 MP, f/2.4, (wide), 0.7µm",,Motorola,Nano-SIM +eSIMNano-SIM + Nano-SIM,,4310 mAh,,No,,"50 MP, f/1.8, (wide), 1.0µm, dual pixel PDAF, OIS10 MP, f/2.0, (telephoto), 1.0µm, PDAF, OIS, 3x optical zoom13 MP, f/2.2, 120˚ (ultrawide), 1.12µm, PDAF","2024, October 01",,"Available. Released 2024, November 11",,"5.4, A2DP, LE",,USB Type-C 2.0,"LED flash, panorama, HDR",,"Glass front (Gorilla Glass 7i), aramid fibre back, plastic frame",,,GSM / HSPA / LTE / 5G,€ 649.00 / £ 455.00,,"HSPA, LTE, 5G",Corning Gorilla Glass 7i,,"6.36 inches, 98.6 cm2(~89.9% screen-to-body ratio)",,,,"GPS, GLONASS, GALILEO",,,,,,,,,,,,,,,,
IP68 dust/water resistant (up to 1.5m for 30 min)MIL-STD-810H compliant,"IPS LCD, 120Hz, 1000 nits (HBM)","Yes, with stereo speakers",,Yes,,,No,166.1 x 77.2 x 8.3 mm (6.54 x 3.04 x 0.33 in),,1080 x 2388 pixels (~387 ppi density),,GSM 850 / 900 / 1800 / 1900,"4K@30fps, 1080p@30fps",Qualcomm Snapdragon 6 Gen 3 (4 nm),"128GB 8GB RAM, 256GB 8GB RAM",,,,,,,Octa-core (4x2.4 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g75.jpg,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",FM radio,"50 MP, f/1.8, (wide), 0.8µm, PDAF, OIS8 MP, f/2.2, 119˚ (ultrawide), 1.12µm, AF",,"1, 2, 3, 5, 7, 8, 20, 26, 28, 32, 38, 40, 41, 41, 42",HSDPA 850 / 900 / 1900 / 2100,UFS 2.2,,,,,€ 259.00,"Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band",,,,"4K@30fps, 1080p@30/60fps, gyro-EIS",24-bit/192kHz Hi-Res audio,,,Adreno,,"30W wired, 50% in 25 min15W wireless","Android 14, up to 5 major Android upgrades",205 g or 208 g (7.23 oz),,,Motorola Moto G75,,,,,"Charcoal Gray, Aqua Blue, Succulent Green",,,"1, 3, 5, 7, 8, 20, 26, 28, 38, 40, 41, 77, 78 SA/NSA/Sub6",,,"16 MP, f/2.5, (wide), 1.0µm",,Motorola,Nano-SIM +eSIMNano-SIM + Nano-SIM,,Li-Po 5000 mAh,,microSDXC (uses shared SIM slot),,,"2024, October 01",,"Available. Released 2024, October 28",,"5.4, A2DP, LE, aptX HD",,USB Type-C 2.0,"LED flash, HDR, panorama",,"Glass front (Gorilla Glass 5), silicone polymer (eco leather) back or plastic back, plastic frame",,,GSM / HSPA / LTE / 5G,€ 259.00,,"HSPA, LTE, 5G",Corning Gorilla Glass 5,,"6.78 inches, 111.4 cm2(~86.8% screen-to-body ratio)",,,,"GPS, GALILEO, GLONASS, BDS, QZSS",,,,,,,,,,,,,,,,
CDMA 800 / 1900,"LTPO P-OLED, 1B colors, 120Hz, HDR10+, 3000 nits (peak)","Yes, with stereo speakers",,Yes,,HDR,No,154.1 x 71.2 x 8.1 mm (6.07 x 2.80 x 0.32 in),,"1272 x 2670 pixels, 19:9 ratio (~460 ppi density)",,GSM 850 / 900 / 1800 / 1900,"4K@30fps, 1080p@30/60/120fps",Mediatek Dimensity 7300 (4 nm),"256GB 12GB RAM, 512GB 12GB RAM",,,,,,,Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),https://fdn2.gsmarena.com/vv/bigpic/motorola-edge-50-neo.jpg,,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",No,,,LTE,HSDPA 850 / 900 / 2100,CDMA2000 1x,,,,,,"Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band",,,,"4K@30fps, 1080p@30/60/120/240fps, gyro-EIS",IP68 dust/water resistant (up to 1.5m for 30 min),,,Mali-G615 MC2,,"68W wired, 50% in 13 min15W wireless",Android 14,170 g (6.00 oz),,XT2309-5,Motorola Moto S50,,,,,"Nautical Blue, Latte, Poinciana",,,SA/NSA/Sub6,,UFS,"32 MP, f/2.4, (wide), 0.7µm",,Motorola,Nano-SIM + Nano-SIM,,4310 mAh,,No,,"50 MP, f/1.9, (wide), 1/1.5"", 1.0µm, multi-directional PDAF, OIS10 MP, f/2.0, 73mm (telephoto), 1.0µm, PDAF, OIS, 3x optical zoom13 MP, f/2.2, 13mm, 123˚ (ultrawide), 1.12µm, PDAF","2024, September 05",,"Available. Released 2024, September 05",,"5.3, A2DP, LE",,USB Type-C 2.0,"LED flash, HDR, panorama",,"Glass front (Gorilla Glass 3), plastic frame, plastic back or silicone polymer (eco leather) back",,,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,About 280 EUR,,"HSPA, LTE, 5G",,,"6.36 inches, 103.5 cm2(~94.4% screen-to-body ratio)",,,,"GPS, GLONASS, GALILEO",,,,,,,,,,,,,,,,
IP68 dust/water resistant (up to 1.5m for 30 min)MIL-STD-810H compliant** does not guarantee ruggedness or use in extreme conditions,"LTPO P-OLED, 1B colors, 120Hz, HDR10+, 3000 nits (peak)","Yes, with stereo speakers",,Yes,,HDR,No,154.1 x 71.2 x 8.1 mm (6.07 x 2.80 x 0.32 in),,"1200 x 2670 pixels, 20:9 ratio (~460 ppi density)",,GSM 850 / 900 / 1800 / 1900,"4K@30fps, 1080p@30/60/120fps",Mediatek Dimensity 7300 (4 nm),"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",€ 369.99,,,,,,Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),https://fdn2.gsmarena.com/vv/bigpic/motorola-edge-50-neo.jpg,,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",No,,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 32, 34, 38, 39, 40, 41, 42, 43, 48, 66",HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,UFS,,,,,€ 339.99,"Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band",,,,"4K@30fps, 1080p@30/60/120/240fps, gyro-EIS",Smart Connect (Ready For) support,,,Mali-G615 MC2,AnTuTu: 696931 (v10)GeekBench: 2959 (v6)3DMark: 855 (Wild Life Extreme),68W wired15W wireless,"Android 14, up to 5 major Android upgrades",171 g (6.03 oz),,,Motorola Edge 50 Neo,-24.1 LUFS (Very good),,,,"Nautical Blue, Latte, Grisaille, Poinciana, Mocha Mousse",,,"1, 2, 3, 5, 7, 8, 20, 26, 28, 38, 40, 41, 66, 75, 77, 78 SA/NSA/Sub6",,,"32 MP, f/2.4, (wide), 1/3.14"", 0.7µm",,Motorola,Nano-SIM +eSIMNano-SIM + Nano-SIM,,4310 mAh,,No,,"50 MP, f/1.8, 24mm (wide), 1/1.55"", 1.0µm, multi-directional PDAF, OIS10 MP, f/2.0, 73mm (telephoto), 1/3.94"", 1.0µm, PDAF, OIS, 3x optical zoom13 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/3.0"", 1.12µm, PDAF","2024, August 29",,"Available. Released 2024, August 29",,"5.3, A2DP, LE",,USB Type-C 2.0,"LED flash, HDR, panorama",,"Glass front (Gorilla Glass 3), plastic frame, plastic back or silicone polymer (eco leather) back",,,GSM / HSPA / LTE / 5G,"€ 339.99 / $ 760.00 / £ 275.62 / ₹ 21,637",,"HSPA, LTE, 5G",Corning Gorilla Glass 3,,"6.4 inches, 97.5 cm2(~88.9% screen-to-body ratio)",1437 nits max brightness (measured),,,"GPS, GLONASS, GALILEO",Active use score 13:29h,,,,,,,,,,,,,,,
