,Type,Talk time_1,Loudspeaker,Sensors,Radio,Colors,Java,Alarm,NFC,4G bands,3G bands,Phonebook,Talk time,_1,Languages,Technology,Price,_3,Single,3.5mm jack,Dimensions,Clock,Resolution,Brand,Browser,SIM,WLAN,2G bands,Speed,Video_1,Type_1,Protection,Chipset,Single_1,Call records,Card slot,Internal,Stand-by_1,Video,_2,Size,Infrared port,GPRS,GPU,Messaging,OS,Keyboard,Weight,Announced,EDGE,Positioning,Alert types,CPU,Status,Model Name,Games,Model Image,Bluetooth,Stand-by,USB,Features
IP67 dust/water resistant (up to 1m for 30 min)MIL-STD-810G compliant,TFT,,"Yes, with stereo speakers","Accelerometer, proximity, compass",FM radio,Black,,,Yes,"4, 17",HSDPA 850 / 1900 / 2100,,Up to 10 h,,,GSM / HSPA / LTE,About 330 EUR,,"5 MP, AF",Yes,127.5 x 64.5 x 14.5 mm (5.02 x 2.54 x 0.57 in),,"640 x 480 pixels, 4:3 ratio (~258 ppi density)",NEC,,Yes,"Wi-Fi 802.11 b/g/n, hotspot",GSM 850 / 900 / 1800 / 1900,"HSPA, LTE",,"Li-Ion 1900 mAh, removable",Corning Gorilla Glass 2,Qualcomm MSM8960 Snapdragon S4 Plus,VGA,,microSDHC (dedicated slot),8GB 1GB RAM,,720p@30fps,,"3.1 inches, 29.8 cm2(~36.2% screen-to-body ratio)",,,Adreno 225,,Android 4.0 (Ice Cream Sandwich),QWERTY,171.8 g (6.07 oz),"2013, June. Released 2013, June",,GPS,,Dual-core 1.5 GHz Krait,Discontinued,NEC Terrain,,https://fdn2.gsmarena.com/vv/bigpic/nec-terrain.jpg,"4.0, A2DP",Up to 348 h,microUSB 2.0,LED flash
"Second external 0.9-inch STN, 65K colors display (96 x 64 pixels)","TFT, 65K colors",,Yes,,No,"Plumeria White, Coral Pink, Lapis Blue",No,,,,UMTS 2100,Yes,Up to 4 h 20 min,"MP3 player with music assist buttonsMail artPC SyncBilungual menusOR code readingDocument viewer (Word, Excel, PowerPoint, PDF)Organizer",,GSM / UMTS,,,2 MP,No,93 x 48 x 23 mm (3.66 x 1.89 x 0.91 in),,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",NEC,WAP 2.0,Mini-SIM,No,GSM 900 / 1800 / 1900,"Yes, 384 kbps",,Removable Li-Ion 720 mAh battery,,,Videocall camera,"20 dialed, 20 received, 20 missed calls",microSD (dedicated slot),450MB,,Yes,,"2.2 inches, 15.0 cm2(~33.6% screen-to-body ratio)",,,,"SMS, MMS",,,115 g (4.06 oz),"2006, April",,No,"Vibration; Downloadable polyphonic, MP3, MIDI ringtones",,Discontinued,NEC 804N,Downloadable,https://fdn2.gsmarena.com/vv/bigpic/nec-804N.gif,1.2,Up to 210 h,2.0,
No,"TFT, 65K colors",,Yes,,No,"Fluorescent Green, Metallic Orange","Yes, MIDP 2.0",,,,,Yes,Up to 2 h 20 min,MP3 playerPredictive text inputOrganizer,,GSM,,,1.3 MP,No,103 x 44 x 18.5 mm (4.06 x 1.73 x 0.73 in),,128 x 160 pixels (~114 ppi density),NEC,WAP 2.0/xHTML,Mini-SIM,No,GSM 900 / 1800 / 1900,,,Removable Li-Ion battery,,,,"20 dialed, 20 received, 20 missed calls",microSD (dedicated slot),28MB,,Yes,,"1.8 inches, 10.2 cm2(~22.5% screen-to-body ratio)",,Class 10,,"SMS, MMS",,,84 g (2.96 oz),2006,No,No,"Vibration; Downloadable polyphonic, MP3 ringtones",,Discontinued,NEC e1108,Yes,https://fdn2.gsmarena.com/vv/bigpic/nec-e1108.gif,No,Up to 100 h,Proprietary,
No,"TFT, 65K colors",,Yes,,No,Black,"Yes, DoJa 1.5",,,,,Yes,Up to 3 h,Predictive text inputOrganizerPC SyncPhoto editorExchangable covers,,GSM,,,VGA,No,109 x 47 x 11.9 mm (4.29 x 1.85 x 0.47 in),,128 x 160 pixels (~114 ppi density),NEC,i-mode,Mini-SIM,No,GSM 900 / 1800 / 1900,,,Removable Li-Ion 720 mAh battery,,,,"20 dialed, 20 received, 20 missed calls",No,5MB,,Yes,,"1.8 inches, 10.2 cm2(~19.9% screen-to-body ratio)",,Class 10,,"SMS, MMS, Email",,,95 g (3.35 oz),2005,No,No,Vibration; Downloadable polyphonic ringtones,,Cancelled,NEC N344i,Downloadable,https://fdn2.gsmarena.com/vv/bigpic/nec-N344i.gif,Yes,Up to 200 h,Proprietary,
12 colour led backlight,"TFT, 65K colors",,Yes,,No,Black,"Yes, MIDP 2.0",,,,UMTS 2100,"500 entries, Photocall",Up to 3 h 40 min,MP3 playerPredictive text inputOrganizerVoice memo,,GSM / UMTS,,,VGA,No,"92 x 44 x 19.2 mm, 78 cc (3.62 x 1.73 x 0.76 in)",,176 x 220 pixels (~148 ppi density),NEC,WAP 2.0/xHTML,Mini-SIM,No,GSM 900 / 1800 / 1900,"Yes, 384 kbps",,Removable Li-Ion 1000 mAh battery,,,VGA videocall camera,"20 dialed, 20 received, 20 missed calls",No,32MB,,Yes,,"1.9 inches, 11.4 cm2(~28.1% screen-to-body ratio)",,,,"SMS, MMS",,,90 g (3.17 oz),"2006, May",,No,Vibration; Downloadable polyphonic ringtones,,Discontinued,NEC e373,Downloadable,https://fdn2.gsmarena.com/vv/bigpic/nec-e373.gif,No,Up to 250 h,Proprietary,
Second external mono OLED display,"TFT, 256K colors",,No,,No,Black,"Yes, MIDP 2.0",,,,UMTS 2100,500 entries,Up to 4 h,CIF videocall camera,,GSM / UMTS,,,2 MP,No,"102 x 48 x 13.9 mm, 65 cc (4.02 x 1.89 x 0.55 in)",,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",NEC,WAP 2.0/xHTML,Mini-SIM,No,GSM 900 / 1800 / 1900,"Yes, 384 kbps",,Removable Li-Ion 900 mAh battery,,,,"20 dialed, 20 received, 20 missed calls",miniSD,32MB,,Yes,MP3/AAC/MP4 playerPredictive text inputOrganizerVoice memoSyncML,"2.2 inches, 33 x 45 mm, 15.0 cm2(~30.6% screen-to-body ratio)",,,,"SMS, EMS, MMS, Email",,,110 g (3.88 oz),"2006, February",,No,Vibration; Downloadable polyphonic ringtones,,Discontinued,NEC e636,Yes + downloadable,https://fdn2.gsmarena.com/vv/bigpic/nec-e636.gif,Yes,Up to 270 h,Proprietary,
Second external 4096 colors OLED display,"TFT, 65K colors",,No,,No,Black,"Yes, MIDP 2.0",,,,,500 entries,Up to 2 h 50 min,No,,GSM,,,1.3 MP,No,"93 x 46 x 25 mm, 80 cc (3.66 x 1.81 x 0.98 in)",,176 x 220 pixels (~148 ppi density),NEC,i-mode,Mini-SIM,No,GSM 900 / 1800 / 1900,,,Removable Li-Ion 850 mAh battery,,,,"20 dialed, 20 received, 20 missed calls",No,54MB,,Yes,MP3/AAC/MP4 playerPredictive text inputOrganizerVoice memoSyncML,"1.9 inches, 30 x 37 mm, 11.4 cm2(~26.6% screen-to-body ratio)",,Class 10,,"SMS, EMS, MMS, Email",,,99 g (3.49 oz),"2006, February",Class 10,No,Vibration; Downloadable polyphonic ringtones,,Discontinued,NEC N500i,Yes + downloadable,https://fdn2.gsmarena.com/vv/bigpic/nec-n500i.gif,Yes,Up to 200 h,Proprietary,LED flash
Second external mono OLED display (39x96 pixels),"TFT, 65K colors",,No,,No,Black,"Yes, MIDP 2.0",,,,,500 entries,Up to 3 h,No,,GSM,,,1.3 MP,No,101 x 48 x 13.6 mm (3.98 x 1.89 x 0.54 in),,"176 x 220 pixels, 1.9 inch",NEC,"WAP(Nec e959),  iMode(Nec N500iS)",Mini-SIM,No,GSM 900 / 1800 / 1900,,,Removable Li-Ion 820 mAh battery,,,,"20 dialed, 20 received, 20 missed calls",No,54MB,,Yes,MP3/AAC/MP4 playerPredictive text inputOrganizerVoice memoSyncML,,,Class 10,,"SMS, EMS, MMS, Email",,,95 g (3.35 oz),"2006, February",Class 10,No,Vibration; Downloadable polyphonic ringtones,,Discontinued,NEC N500iS,Yes + downloadable,https://fdn2.gsmarena.com/vv/bigpic/nec-n500is.gif,Yes,Up to 200 h,Proprietary,
Handwriting recognition,"TFT resistive touchscreen, 256K colors",,No,,No,"Silver , Black","Yes, MIDP 2.0",,,,,Yes,Up to 3 h 20 min,No,,GSM,,,1.3 MP,No,83.4 x 53.2 x 12.8 mm (3.28 x 2.09 x 0.50 in),,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",NEC,WAP 2.0/xHTML,Mini-SIM,No,GSM 900 / 1800 / 1900,,,Removable Li-Ion battery,,,,"20 dialed, 20 received, 20 missed calls",microSD (dedicated slot),31MB,,Yes,Photo editorMP3 playerStopwatchUnit/Currency converterCalculator,"2.2 inches, 15.0 cm2(~33.8% screen-to-body ratio)",,Class 10,,"SMS, MMS, Email",,,84 g (2.96 oz),"2006, July",No,No,"Vibration; Downloadable polyphonic, MP3 ringtones",,Discontinued,NEC N908,,https://fdn2.gsmarena.com/vv/bigpic/nec-n908.gif,1.2,Up to 100 h,,
Handwriting recognitionDownloadable pictures,"TFT resistive touchscreen, 65K colors",,No,,No,White,Yes,,,,,500 entries,Up to 2 h,No,,GSM,,,VGA,No,87 x 56 x 14 mm (3.43 x 2.20 x 0.55 in),,176 x 220 pixels,NEC,WAP 2.0/xHTML,Mini-SIM,No,GSM 900 / 1800,,,Removable Li-Ion 550 mAh battery,,,,"20 dialed, 20 received, 20 missed calls",No,2MB,,No,Organizer,,,Yes,,"SMS, MMS",,,79 g (2.79 oz),"2005, Q2",No,No,Vibration; Downloadable polyphonic ringtones,,Discontinued,NEC N938,,https://fdn2.gsmarena.com/vv/bigpic/nec-n938.gif,1.1,Up to 130 h,,LED flash
Downloadable pictures,"TFT, 65K colors",,Yes,,No,"Silver, Black","Yes, MIDP 2.0",,,,UMTS 2100,"500 entries, Photocall",Up to 3 h,CIF videocall camera,,GSM / UMTS,,,VGA,No,117 x 46 x 16 mm (4.61 x 1.81 x 0.63 in),,176 x 220 pixels,NEC,WAP 2.0/xHTML,Mini-SIM,No,GSM 900 / 1800 / 1900,"Yes, 384 kbps",,Removable Li-Ion 770 mAh battery,,,,"20 dialed, 20 received, 20 missed calls",No,32MB,,Yes,MP3 playerPredictive text inputOrganizer,,,,,"SMS, EMS, MMS",,,90 g (3.17 oz),"2005, Q4",,No,Vibration; Downloadable polyphonic ringtones,,Discontinued,NEC e353,,https://fdn2.gsmarena.com/vv/bigpic/nec-e353.gif,No,Up to 190 h,Proprietary,
