Positioning,,Card slot,Java,Video,Messaging,OS,GPRS,3.5mm jack,Model Image,Single,Loudspeaker,USB,NFC,EDGE,Colors,Announced,Keyboard,CPU,Chipset,Size,Features,Talk time,GPU,2G bands,SIM,Stand-by,Single_1,_1,Type,Type_1,Model Name,_2,Bluetooth,Status,Radio,WLAN,3G bands,Internal,Call records,Brand,_3,Games,Resolution,Speed,Phonebook,Video_1,Dimensions,Sensors,Price,Weight,Technology
GPS,,microSDXC (dedicated slot),,1080p@30fps,,Android 4.4 (KitKat),,Yes,https://fdn2.gsmarena.com/vv/bigpic/niu-andy-c5.5e2i.jpg,"8 MP, AF",Yes,microUSB 2.0,No,,"Blue, Gun Metal","2015, December. Released 2016, March",,Quad-core 1.3 GHz Cortex-A7,Mediatek MT6582M (28 nm),"5.5 inches, 83.4 cm2(~68.3% screen-to-body ratio)","LED flash, panorama, HDR",Up to 22 h 10 min (2G) / Up to 18 h 30 min (3G),Mali-400,GSM 850 / 900 / 1800 / 1900,Micro-SIM,Up to 600 h (2G) / Up to 500 h (3G),1.3 MP,,IPS LCD,"Li-Po 3000 mAh, removable",NIU Andy C5.5E2I,,"4.0, LE",Discontinued,Stereo FM radio,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",UMTS 850 / 1900 - AC55E2I043,4GB 512MB RAM,,NIU,,,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",HSPA 21.1/5.76 Mbps,,,154.5 x 79 x 9.2 mm (6.08 x 3.11 x 0.36 in),"Accelerometer, proximity",,128 g (4.52 oz),GSM / UMTS
GPS,HSDPA 900 / 2100 - AM35E2I047,microSDXC,,480p@30fps,,Android 4.4 (KitKat),,Yes,https://fdn2.gsmarena.com/vv/bigpic/NIU-35E2I.jpg,5 MP,Yes,microUSB 2.0,No,,"Black, White, Blue, Green, Orange","2015, February. Released 2015, March",,Dual-core 1.0 GHz Cortex-A7,Mediatek MT6572M (28 nm),"3.5 inches, 36.5 cm2(~50.3% screen-to-body ratio)","LED flash, panorama",Up to 18 h (2G) / Up to 8 h (3G),Mali-400,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Dual SIM (Mini-SIM/ Micro-SIM),Up to 260 h (2G) / Up to 217 h (3G),1.3 MP,,"LCD, 256K colors","Li-Ion 1300 mAh, removable",NIU Andy 3.5E2I,,"4.0, A2DP",Discontinued,Stereo FM radio,"Wi-Fi 802.11 a/b/g/n, hotspot",UMTS 850 / 1900 - AM35E2I043,4GB 512MB RAM,,NIU,,,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",HSPA 21.1/5.76 Mbps,,,115.5 x 62.8 x 10.7 mm (4.55 x 2.47 x 0.42 in),Accelerometer,,102 g (3.60 oz),GSM / UMTS / HSPA
GPS,HSDPA 850 / 1900 - AM4E2I043,microSDXC,,480p@30fps,,Android 4.4 (KitKat),,Yes,https://fdn2.gsmarena.com/vv/bigpic/NIU-4E2I.jpg,5 MP,Yes,microUSB 2.0,No,,"Black, White, Red, Blue, Yellow","2015, January. Released 2015, March",,Dual-core 1.0 GHz Cortex-A7,Mediatek MT6572M (28 nm),"4.0 inches, 45.5 cm2(~58.3% screen-to-body ratio)","LED flash, panorama",Up to 18 h (2G) / Up to 9 h (3G),Mali-400,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Dual SIM (Mini-SIM/ Micro-SIM),Up to 280 h (2G) / Up to 232 h (3G),1.3 MP,,"TFT, 256K colors","Li-Ion 1400 mAh, removable",NIU Andy 4E2I,,"4.0, A2DP",Discontinued,Stereo FM radio,"Wi-Fi 802.11 a/b/g/n, hotspot",HSDPA 900 / 2100 - AM4E2I047,4GB 512MB RAM,,NIU,,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",HSPA 21.1/5.76 Mbps,,,121 x 64.6 x 10.7 mm (4.76 x 2.54 x 0.42 in),Accelerometer,,110 g (3.88 oz),GSM / HSPA
GPS,HSDPA 850 / 1900 - SIM 1 or SIM 2,microSDXC,,480p@30fps,,Android 4.2 (Jelly Bean),,Yes,https://fdn2.gsmarena.com/vv/bigpic/NIU-5EI.jpg,5 MP,Yes,microUSB 2.0,No,,"Black, White, Red, Blue, Green","2014, May. Released 2014, July",,Dual-core 1.0 GHz Cortex-A7,Mediatek MT6572M (28 nm),"5.0 inches, 68.9 cm2(~65.7% screen-to-body ratio)",LED flash,Up to 16 h (2G) / Up to 7 h 30 min (3G),Mali-400,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Dual SIM (Mini-SIM/ Micro-SIM),Up to 480 h (2G) / Up to 350 h (3G),1.3 MP,HSDPA 850 / 2100 - SIM 1 or SIM 2,"TFT, 256K colors","Li-Ion 1550 mAh, removable",NIU Andy 5EI,,"3.0, A2DP",Discontinued,Stereo FM radio,"Wi-Fi 802.11 a/b/g/n, hotspot",HSDPA 900 / 2100 - SIM 1 or SIM 2,4GB 512MB RAM,,NIU,,,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",HSPA 21.1/5.76 Mbps,,,142.8 x 73.4 x 9.5 mm (5.62 x 2.89 x 0.37 in),"Accelerometer, proximity",,160 g (5.64 oz),GSM / HSPA
GPS,HSDPA 900 / 2100 - SIM 1 or SIM 2,microSDXC,,1080p@30fps,,Android 4.4.2 (KitKat),,Yes,https://fdn2.gsmarena.com/vv/bigpic/niu-5t.jpg,"13 MP, AF",Yes,microUSB 2.0,No,,"White, Black, Blue, Red","2014, July. Released 2014, August",,Quad-core 1.3 GHz Cortex-A7,Mediatek MT6582 (28 nm),"5.0 inches, 68.9 cm2(~68.7% screen-to-body ratio)","LED flash, HDR",Up to 16 h (2G) / Up to 8 h 30 min (3G),Mali-400MP2,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Dual SIM (Mini-SIM/ Micro-SIM),Up to 480 h (2G) / Up to 360 h (3G),5 MP,,IPS LCD,"Li-Po 1800 mAh, non-removable",NIU Andy 5T,,"4.0, A2DP",Discontinued,Stereo FM radio,"Wi-Fi 802.11 a/b/g/n, hotspot",HSDPA 850 / 1900 - SIM 1 or SIM 2,4GB 1GB RAM,,NIU,,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",HSPA 21.1/5.76 Mbps,,,144 x 69.7 x 6.9 mm (5.67 x 2.74 x 0.27 in),"Accelerometer, proximity, compass",,123 g (4.34 oz),GSM / HSPA
No,No,microSDHC,No,No,"SMS, IM",,Up to 48 kbps,No,https://fdn2.gsmarena.com/vv/bigpic/NIU--C21A.jpg,VGA,Yes,microUSB,No,No,"Black, White, Blue, Green, Purple, Red, Fuchsia","2013, March. Released 2013, April",,,,"1.8 inches, 10.2 cm2(~21.4% screen-to-body ratio)",,Up to 4 h,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 - CM21A003,Dual SIM (Mini-SIM),Up to 200 h,,Video PlayerMusic PlayerOrganizerWhatsapp,"TFT, 256K colors","Li-Ion 600 mAh, removable",NIU C21A,,2.0,Discontinued,Stereo FM radio,No,,32Mb 32Mb RAM,Yes,NIU,,No,128 x 160 pixels (~114 ppi density),,Yes,,106 x 45 x 14.5 mm (4.17 x 1.77 x 0.57 in),,,73 g without battery (2.57 oz),GSM
No,Flashlight,microSDHC (dedicated slot),No,Yes,SMS,,Up to 48 kbps,Yes,https://fdn2.gsmarena.com/vv/bigpic/NIU-F10.jpg,1.3 MP,Yes,microUSB,No,No,"Black, Blue, Red, White","2012, November. Released 2013, April",QWERTY,,,"2.2 inches, 15.2 cm2(~25.3% screen-to-body ratio)",,Up to 5 h 30 min,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 & SIM 3,Triple SIM (Mini-SIM),Up to 400 h,,No,"TFT, 65K colors","Li-Ion 600 mAh, removable",NIU F10,Analog TVVideo PlayerMusic PlayerOrganizer,"2.1, A2DP",Discontinued,Stereo FM radio,No,,64Mb 32Mb RAM,Yes,NIU,,Yes,220 x 176 pixels (~128 ppi density),,Yes,,102 x 59 x 13.7 mm (4.02 x 2.32 x 0.54 in),,,72 g without battery (2.54 oz),GSM
No,GSM 850 / 900 / 1800 / 1900 - SIM 2,microSDHC,No,Yes,"SMS, MMS",,Up to 48 kbps,No,https://fdn2.gsmarena.com/vv/bigpic/NIU-Z10.jpg,VGA,Yes,microUSB,No,No,"Black, White, Blue","2013, November. Released 2014, January",,,,"2.0 inches, 12.6 cm2(~20.1% screen-to-body ratio)",,Up to 7 h,,GSM 850 / 900 / 1800 / 1900 - SIM 1,Dual SIM (Mini-SIM),Up to 290 h,,FlashlightSOS button,"TFT, 65K colors","Li-Ion 1000 mAh, removable",NIU Z10,No,2.1,Discontinued,Stereo FM radio; buit-in antenna,No,,32Mb 32Mb RAM,Yes,NIU,Music/Video playerOrganizerCalendarCalculatorVoice memo,Yes,144 x 176 pixels (~114 ppi density),,Yes,,113.2 x 55.5 x 14.5 mm (4.46 x 2.19 x 0.57 in),,,90 g without battery (3.17 oz),GSM
GPS,,microSDXC,,480p@30fps,,Android 4.4.2 (KitKat),,Yes,https://fdn2.gsmarena.com/vv/bigpic/niu-5d.jpg,5 MP,Yes,microUSB 2.0,No,,Black,"2015, January. Released 2015, February",,Dual-core 1.0 GHz Cortex-A7,Mediatek MT6572M (28 nm),"5.0 inches, 44.1 cm2(~38.0% screen-to-body ratio)",LED flash,Up to 15 h (2G) / Up to 12 h (3G),Mali-400,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Dual SIM (Mini-SIM/ Micro-SIM),Up to 400 h (2G) / Up to 332 h (3G),1.3 MP,,"TFT, 256K colors","Li-Ion 2000 mAh, removable",NIU Tek 5D,,"3.0, A2DP",Discontinued,Stereo FM radio,"Wi-Fi 802.11 b/g/n, hotspot",HSDPA 850 / 1900 -  SIM 1 & SIM 2 - TM5DI043,4GB 512MB RAM,,NIU,,,"480 x 854 pixels, 16:9 ratio (~245 ppi density)",HSPA 21.1/5.76 Mbps,,,156.3 x 74.2 x 9.3 mm (6.15 x 2.92 x 0.37 in),"Accelerometer, proximity",,150 g (5.29 oz),GSM / HSPA
GPS,,microSDXC,,480p@30fps,,Android 4.4.2 (KitKat),,Yes,https://fdn2.gsmarena.com/vv/bigpic/niutek-4d2.jpg,3.15 MP,Yes,microUSB 2.0,No,,"Black, Gray, White, Blue, Orange","2014, August. Released 2014, November",,Dual-core 1.0 GHz Cortex-A7,Mediatek MT6572M (28 nm),"4.0 inches, 45.5 cm2(~58.8% screen-to-body ratio)","LED flash, panorama",Up to 8 h (2G) / Up to 6 h (3G),Mali-400,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Dual SIM (Mini-SIM/ Micro-SIM),Up to 400 h (2G) / Up to 320 h (3G),1.3 MP,,TFT,"Li-Ion 1200 mAh, removable",NIU Tek 4D2,,"4.0, A2DP",Discontinued,Stereo FM radio,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot",HSDPA 850 / 1900 -  SIM 1 & SIM 2 - TM4D2I043,4GB 512MB RAM,,NIU,,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",HSPA 21.1/5.76 Mbps,,,123 x 63 x 10.3 mm (4.84 x 2.48 x 0.41 in),Accelerometer,,152 g (5.36 oz),GSM / HSPA
