,_5,Penta,Triple,256GB 8GB RAM,Alarm,SIM,Stand-by_1,NFC,Dual,Browser,Camera,Build,Bluetooth,Radio,Protection,64GB 4GB RAM,Features_1,Colors,Quad,Features,Games,128GB 6GB RAM,Talk time,GPU,128GB 4GB RAM,Audio quality,Loudspeaker,64GB 3GB RAM,128MB 48MB RAM,Model Name,Dimensions,Messaging,4G bands,3G bands,Resolution,CPU,Battery (old),USB,Technology,Weight,OS,5G bands,4MB,Display,Alert types,Model Image,Performance,Models,_2,Chipset,Status,Java,Call records,Type,32GB 3GB RAM,_6,Internal,Speed,_4,SAR EU,_1,Price,Stand-by,Card slot,Video,Clock,SAR,Type_1,Announced,Brand,Phonebook,Talk time_1,Charging,WLAN,EDGE,_3,Keyboard,4GB 512MB RAM,Languages,GPRS,3.5mm jack,Single_1,Positioning,Single,Size,Music play,128MB 64MB RAM,Infrared port,Loudspeaker_1,Sensors,2G bands,Video_1
HSDPA 850 / 900 / 2100,,,,,,Nano-SIMNano-SIM + Nano-SIM,,No,,,,,"5.0, A2DP",Wireless FM radio,,,,"Midnight Blue, Arctic Purple",,,Yes,,,,,,Yes,,,Nokia 110 4G 2nd Edition,121.5 x 50 x 14.4 mm (4.78 x 1.97 x 0.57 in),SMS,LTE,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"120 x 160 pixels, 4:3 ratio (~111 ppi density)",,,USB Type-C,GSM / HSPA / LTE,94.5 g (3.35 oz),,,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-110-4g-2nd-edition.jpg,,,No,,"Available. Released 2024, December",No,Yes,IPS LCD,,,48MB 128MB RAM,"HSPA, LTE",,,FlashlightIP54 dust and splash resistant,About 60 EUR,,microSDHC,Yes,,,"Li-Ion 1450 mAh, removable","2024, December",Nokia,Yes,,,No,,MP3 player,,,,,Yes,,No,QVGA,"1.8 inches, 10.0 cm2(~16.5% screen-to-body ratio)",,,,,,GSM 900 / 1800,
HSDPA 850 / 900 / 2100,,,,,,Nano-SIMNano-SIM + Nano-SIM,,No,,,,,"5.0, A2DP",Wireless FM radio,,,,Charcoal,,,Yes,,,,,,Yes,,,Nokia 105 4G 2nd Edition,121.5 x 50 x 14.4 mm (4.78 x 1.97 x 0.57 in),SMS,LTE,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"120 x 160 pixels, 4:3 ratio (~111 ppi density)",,,USB Type-C,GSM / HSPA / LTE,93 g (3.28 oz),,,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-105-4g-2nd-edition.jpg,,,No,,"Available. Released 2024, December",No,Yes,IPS LCD,,,48MB 128MB RAM,"HSPA, LTE",,,FlashlightIP54 dust and splash resistant,About 50 EUR,,microSDHC,,,,"Li-Ion 1450 mAh, removable","2024, December",Nokia,Yes,,,No,,MP3 player,,,,,Yes,,No,,"1.8 inches, 10.0 cm2(~16.5% screen-to-body ratio)",,,,,,GSM 900 / 1800,
Flashlight,,,,,,Nano-SIM + Nano-SIM,,No,,,,,Yes,Wireless FM radio,,,,"Blue, Cyan, Pink",,,Yes,,,,,,Yes,,,Nokia 108 4G (2024),"168 x 78.6 x 10.5 mm, 138.2 cc (6.61 x 3.09 x 0.41 in)",SMS,LTE,HSDPA 850 / 900 / 2100,"240 x 320 pixels, 4:3 ratio (~200 ppi density)",,,USB Type-C,GSM / HSPA / LTE,91.6 (3.25 oz),,,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-108-4g-2024.jpg,,,MP3 player,,"Available. Released 2024, November",No,Yes,"TFT LCD, 65K colors",,,,"HSPA, LTE",,,No,,,microSDHC,,,,"Li-Ion 1450 mAh, removable","2024, October 27",Nokia,Yes,,,No,,,,,,,Yes,,No,,"2.0 inches, 12.4 cm2(~9.4% screen-to-body ratio)",,,,,,GSM 900 / 1800,
HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - LATAM,No,,,,,Nano-SIM + Nano-SIM,,No,,,,,Yes,Wireless FM radio,,,,"Blue, Titanium",,,Yes,,,,,,Yes,,,Nokia 110 4G (2024),-,SMS,"1, 3, 5, 7, 8, 20 - EU",HSDPA 850 / 900 / 2100 - International,"240 x 320 pixels, 4:3 ratio (~200 ppi density)",,,USB Type-C,GSM / HSPA / LTE,-,,,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-110-4g-2024.jpg,,,"1, 2, 3, 4, 5, 7, 8, 28, 40, 66 - LATAM",,"Available. Released 2024, November",No,Yes,"TFT LCD, 65K colors",,MP3 player,64MB 128MB RAM,"HSPA, LTE",Flashlight,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - ROW, AU, NZ",,,microSDHC,Yes,,,"Li-Ion 1000 mAh, removable","2024, October 28",Nokia,Yes,,,No,,"1, 3, 5, 8, 28, 38, 39, 40, 41 - CN, IN",,,,,Yes,,No,Yes,"2.0 inches, 12.4 cm2",,,,,,GSM 900 / 1800,
Splash resistant,,,,,,"Dual SIM (Mini-SIM, dual stand-by)",,No,,,,,No,Wireless FM radio,,,,"Black, Blue, Purple",,,,,,,,,Yes,,,Nokia 105 (2024),115.5 x 49.5 x 14 mm (4.55 x 1.95 x 0.55 in),,,,"120 x 160 pixels, 4:3 ratio (~100 ppi density)",,,microUSB,GSM,77.5 g (2.75 oz),RTOS OS,,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-105-2024.jpg,,,MP3 player,,"Available. Released 2024, July",,,"TFT LCD, 65K colors",,,4 MB 4 MB RAM,,,,,,,microSDHC,,,,"1000 mAh, removable","2024, July 03",Nokia,,,,No,Yes,,,,,Yes,Yes,,No,,"2.0 inches, 12.4 cm2(~21.7% screen-to-body ratio)",,,,,,GSM 900 / 1800,
"1, 3, 5, 8 - VN",,,,,,Nano-SIM + Nano-SIM,,No,,,,,"5.0, A2DP, LE",Wireless FM radio,,,,"Black, Peach",,,Yes,,,,,,Yes,,,Nokia 220 4G (2024),127.3 x 54.2 x 11.6 mm (5.01 x 2.13 x 0.46 in),SMS,"1, 3, 5, 8, 28, 38, 39, 40, 41 - IN, CN",HSDPA 850 / 900 / 2100,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",1.0 GHz Cortex-A7,,USB Type-C,GSM / HSPA / LTE,-,,,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-220-4g-2024-new.jpg,,,,Unisoc T107 (22 nm),"Available. Released 2024, June 25",No,Yes,TFT LCD,,,128MB 64MB RAM,"HSPA, LTE",,,Flashlight,About 40 EUR,,microSDHC,,,,"Li-Ion 1450 mAh, removable","2024, June 25",Nokia,Yes,,,No,,MP3 playerCloud Apps portal,,,,,Yes,,No,,"2.8 inches, 24.3 cm2(~35.2% screen-to-body ratio)",,,,,No,GSM 850 / 900 / 1800 / 1900,
"1, 3, 5, 8, 28, 38, 39, 40, 41 - IN/CN",,,,,,Nano-SIMNano-SIM + Nano-SIM,,No,,,,"Plastic frame, plastic back","5.0, A2DP",Wireless FM radio,,,,"Scuba Blue, Y2K Gold, Grunge Black",,LED flash,Yes,,,,,,Yes,,,Nokia 3210,122 x 52 x 13.1 mm (4.80 x 2.05 x 0.52 in),"SMS, MMS, Email, IM","1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - International",HSDPA 850 / 900 / 2100,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",1.0 GHz Cortex-A7,,USB Type-C,GSM / HSPA / LTE,-,,,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-3210.jpg,,,No,Unisoc T107 (22 nm),"Available. Released 2024, May 07",No,Yes,TFT,,,128MB 64MB RAM,"HSPA, LTE",,,"1, 3, 5, 8 - VN/MM/NP","$ 58.72 / € 60.23 / £ 59.00 / ₹ 3,598",,microSDHC,,,,"Li-Ion 1450 mAh, removable","2024, May 07",Nokia,Yes,,,No,,Cloud Apps portal,,,,,Yes,,No,2 MP,"2.4 inches, 17.8 cm2(~28.1% screen-to-body ratio)",,$ 75.99,,,,GSM 850 / 900 / 1800 / 1900,
"1, 3, 5, 8, 38, 39, 40, 41 - IN, CN",,,,,,Nano-SIM + Nano-SIM,,No,,,,,"5.0, A2DP, LE",Wireless FM radio,,,,"Black, Blue, Purple",,LED flash,Yes,,,,,,Yes,,,Nokia 235 4G (2024),127.3 x 54.2 x 11.6 mm (5.01 x 2.13 x 0.46 in),SMS,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - EU, EMEA, APAC",HSDPA 850 / 900 / 2100,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",1.0 GHz Cortex-A7,,USB Type-C,GSM / HSPA / LTE,-,,,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-235-4g-2024.jpg,,,,Unisoc T107 (22 nm),"Available. Released 2024, May",No,Yes,TFT LCD,,,128MB 64MB RAM,"HSPA, LTE",,,"1, 3, 5, 8 - VN, MM, NP",,,microSDHC,Yes,,,"Li-Ion 1450 mAh, removable","2024, April 30",Nokia,Yes,,,No,,MP3 playerCloud Apps portal,,,,,Yes,,No,2 MP,"2.8 inches, 24.3 cm2(~35.2% screen-to-body ratio)",,,,,No,GSM 850 / 900 / 1800 / 1900,
,,,,,,Nano-SIM + Nano-SIM,,No,,,,,"5.0, A2DP, LE",Wireless FM radio,,,,"Pink, Dark Blue",,LED flash,Yes,,,,,,Yes,,,Nokia 225 4G (2024),121.5 x 52 x 11.6 mm (4.78 x 2.05 x 0.46 in),SMS,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - EU, EMEA, APAC",HSDPA 850 / 900 / 2100,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",1.0 GHz Cortex-A7,,USB Type-C,GSM / HSPA / LTE,-,,,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-225-4g-2024.jpg,,,,Unisoc T107 (22 nm),"Available. Released 2024, May",No,Yes,TFT LCD,,,128MB 64MB RAM,"HSPA, LTE",,,MP3 playerCloud Apps portal,,,microSDHC,Yes,,,"Li-Ion 1450 mAh, removable","2024, April 30",Nokia,Yes,,,No,,,,,,,Yes,,No,0.3 MP,"2.4 inches, 17.8 cm2(~28.2% screen-to-body ratio)",,,,,No,GSM 850 / 900 / 1800 / 1900,
"1, 3, 5, 8, 38, 39, 40, 41 - IN, CN",,,,,,Nano-SIM + Nano-SIM,,No,,,,,"5.0, A2DP, LE",Wireless FM radio,,,,"Peach, Black, Dark Blue",,,Yes,,,,,,Yes,,,Nokia 215 4G (2024),127.3 x 54.2 x 11.6 mm (5.01 x 2.13 x 0.46 in),SMS,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - EU, EMEA, APAC",HSDPA 850 / 900 / 2100,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",1.0 GHz Cortex-A7,,USB Type-C,GSM / HSPA / LTE,-,,,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-215-4g-2024.jpg,,,Flashlight,Unisoc T107 (22 nm),"Available. Released 2024, May",No,Yes,TFT LCD,,,128MB 64MB RAM,"HSPA, LTE",MP3 playerCloud Apps portal,,"1, 3, 5, 8 - VN, MM, NP",,,microSDHC,,,,"Li-Ion 1450 mAh, removable","2024, April 30",Nokia,Yes,,,No,,,,,,,Yes,,No,,"2.8 inches, 24.3 cm2(~35.2% screen-to-body ratio)",,,,,No,GSM 850 / 900 / 1800 / 1900,
