,Technology,Single,OS,NFC,Features,Keyboard,Size,EDGE,SIM,Positioning,Status,SAR EU,Weight,Chipset,Announced,_2,Type_1,3G bands,Infrared port,Features_1,Price,Games,Messaging,USB,Talk time,Colors,Phonebook,Video_1,Build,Video,Radio,Sensors,Internal,Card slot,Loudspeaker,Stand-by,Type,CPU,Triple,GPRS,WLAN,Bluetooth,Dimensions,Brand,Speed,Model Name,Resolution,2G bands,Model Image,_1,3.5mm jack,5G bands,Call records,4G bands,Java,Charging,GPU,Single_1
CDMA 800 / 1900 & TD-SCDMA,GSM / CDMA / HSPA / LTE / 5G,"20 MP, f/2.0, (wide), 1/2.8"", 1.0µm","Android 9.0 (Pie), MiFavor 9.1",Yes,"Dual-LED dual-tone flash, HDR, panorama",,"6.47 inches, 102.8 cm2(~87.9% screen-to-body ratio)",,Nano-SIM + Nano-SIM,"GPS, GLONASS","Available. Released 2019, November",1.01 W/kg (head),171 g (6.03 oz),Qualcomm SM8150 Snapdragon 855 (7 nm),"2019, November",24-bit/192kHz Hi-Res audio,"Li-Ion 4000 mAh, non-removable",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,HDR,About 900 EUR,,,USB Type-C 2.0,,Blue,,1080p@30fps,"Glass front, glass back, aluminum frame","4K@30fps, 1080p@30fps",No,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",128GB 6GB RAM,microSDXC (uses shared SIM slot),"Yes, with stereo speakers",,"AMOLED, HDR10",Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),"48 MP, f/1.7, (wide), 1/2.0"", 0.8µm, PDAF, OIS8 MP, f/2.4, (telephoto), PDAF, OIS, 3x optical zoom20 MP, f/2.2, 11mm (ultrawide)",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE",159.2 x 73.4 x 7.9 mm (6.27 x 2.89 x 0.31 in),Orange,"HSPA 42.2/5.76 Mbps, LTE (3CA) Cat18 1200/150 Mbps, 5G (2+ Gbps DL)",Orange Neva jet 5G,"1080 x 2340 pixels, 19.5:9 ratio (~398 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/orange-neva-jet-5g.jpg,UFS 2.1,No,"41, 78 NSA/Sub6",,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41",,"18W wired, QC4Wireless (Qi)",Adreno 640,
,GSM / HSPA,"8 MP, AF",Android 4.4.2 (KitKat),No,LED flash,,"5.0 inches, 68.9 cm2(~68.8% screen-to-body ratio)",Yes,Micro-SIM,GPS,Discontinued,,131.8 g (4.66 oz),,2014. Released 2014,,"Li-Po 2300 mAh, removable",HSDPA,,,,,,microUSB 2.0,Up to 10 h (3G),Black,,,,1080p@30fps,No,"Accelerometer, proximity",16GB 1GB RAM,microSDHC (dedicated slot),Yes,Up to 340 h (3G),IPS LCD,Quad-core 1.2 GHz,,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP",142.3 x 70.4 x 7.8 mm (5.60 x 2.77 x 0.31 in),Orange,HSPA,Orange Rono,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/orange-rono.jpg,,Yes,,,,,,,Yes
,GSM / HSPA / LTE,"5 MP, AF",Android 4.3 (Jelly Bean),No,LED flash,,"4.5 inches, 55.8 cm2",Yes,Micro-SIM,GPS,Discontinued,,-,,"2014, February. Released 2014, April",,"Li-Ion 2000 mAh, removable",HSDPA,,,,,,microUSB 2.0,,Black,,,,Yes,No,"Accelerometer, proximity",8GB 1GB RAM,microSDHC (dedicated slot),Yes,,IPS LCD,Quad-core 1.2 GHz,,Yes,"Wi-Fi 802.11 b/g/n, hotspot",2.0,7.9 mm thickness,Orange,"HSPA, LTE Cat4 150/50 Mbps",Orange Gova,"540 x 960 pixels, 16:9 ratio (~245 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/orange-gova.jpg,,Yes,,,LTE,,,,
,GSM / HSPA,"5 MP, AF",Android 4.2.2 (Jelly Bean),No,LED flash,,"5.0 inches, 68.9 cm2(~66.9% screen-to-body ratio)",,Mini-SIM,GPS,Discontinued,0.66 W/kg (head),130 g (4.59 oz),Mediatek MT6572M (28 nm),"2014, February. Released 2014, February",,"Li-Ion 2000 mAh, removable",HSDPA 900 / 2100,,,,,,microUSB 2.0,Up to 6 h 40 min,White,,,,720p@30fps,"Stereo FM radio, RDS","Accelerometer, proximity, compass",4GB 1GB RAM,microSDHC (dedicated slot),Yes,Up to 400 h,IPS LCD,Dual-core 1.3 GHz Cortex-A7,,,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP",143 x 72 x 9.1 mm (5.63 x 2.83 x 0.36 in),Orange,HSPA,Orange Reyo,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/orange-reyo.jpg,,Yes,,,,,,Mali-400,VGA
,GSM / HSPA,"5 MP, AF",Android 4.1 (Jelly Bean),No,LED flash,,"4.3 inches, 51.0 cm2(~64.7% screen-to-body ratio)",,Yes,GPS,Discontinued,1.29 W/kg (head),96 g (3.39 oz),Mediatek MT6572 (28 nm),"2013, Q3. Released 2013, Q3",,"Li-Ion 1700 mAh, removable",HSDPA 2100,,,,,,microUSB 2.0,,Black,,,,720p,No,"Accelerometer, proximity",4GB 512MB RAM,microSDHC (dedicated slot),Yes,,IPS LCD,Dual-core 1.3 GHz Cortex-A7,,,"Wi-Fi 802.11 b/g/n, hotspot",Yes,127.1 x 62 x 8 mm (5.00 x 2.44 x 0.31 in),Orange,HSPA,Orange Hiro,"480 x 854 pixels, 16:9 ratio (~228 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/orange-hiro.jpg,,Yes,,,,,,Mali-400,Yes
HDMI portMP4/H.264 playerMP3/WAV/eAAC+ playerDocument viewerPhoto editorOrganizerVoice memo/dial/commandsPredictive text input,GSM / HSPA,"8 MP, AF","Android 2.3.7 (Gingerbread), upgradable to 4.0.4 (Ice Cream Sandwich)",Yes,LED flash,,"4.0 inches, 45.0 cm2(~58.1% screen-to-body ratio)",,Micro-SIM,"GPS, A-GPS",Discontinued,,117 g (4.13 oz),Intel Atom Z2460,"2012, February. Released 2012, June",,Removable Li-Ion battery,HSDPA 850 / 900 / 1900 / 2100,,,About 190 EUR,,,microUSB 2.0,Up to 8 h,Black,,,,1080p@30fps,No,"Accelerometer, proximity, compass","16GB (12GB user available), 1GB RAM",No,Yes,Up to 336 h,TFT,1.6 GHz,,,"Wi-Fi 802.11 b/g/n, hotspot","2.1, A2DP",123 x 63 x 10 mm (4.84 x 2.48 x 0.39 in),Orange,HSPA 21.1/5.76 Mbps,Orange San Diego,"600 x 1024 pixels, 16:9 ratio (~297 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/orange-san-diego.jpg,,Yes,,,,,,PowerVR SGX540,Yes
HDMI portMP4/H.264/WMV playerMP3/WAV/eAAC+/WMA playerOrganizerPhoto/video editorDocument viewerVoice memo/dialPredictive text input,GSM / HSPA,"5 MP, AF",Android 3.2 (Honeycomb),,,,"7.0 inches, 142.1 cm2(~60.3% screen-to-body ratio)",,Mini-SIM,"GPS, A-GPS",Discontinued,,390 g (13.76 oz),Qualcomm MSM8260 Snapdragon S3,"2012, January. Released 2012, January",,Non-removable Li-Po 4000 mAh battery,HSDPA 900 / 1900 / 2100,Yes,,,,,microUSB 2.0,Up to 6 h,Black/silver,,,,Yes,No,"Accelerometer, compass",8GB 512MB RAM,microSDHC (dedicated slot),"Yes, with stereo speakers",Up to 192 h,LCD,Dual-core 1.2 GHz Scorpion,,,"Wi-Fi 802.11 b/g/n, hotspot","2.1, A2DP, EDR",190 x 124 x 10.5 mm (7.48 x 4.88 x 0.41 in),Orange,HSPA,Orange Tahiti,"800 x 1280 pixels, 16:10 ratio (~216 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/orange-tahiti.jpg,,Yes,,,,,,Adreno 220,Yes
No,GSM / HSPA,"5 MP, AF",Android 2.3 (Gingerbread),,LED flash,,"4.3 inches, 52.6 cm2(~61.7% screen-to-body ratio)",,Mini-SIM,"GPS, A-GPS",Discontinued,,120 g (4.23 oz),,2011,,Removable Li-Ion 1400 mAh battery,HSDPA 900 / 2100,,,,,,microUSB 2.0,Up to 5 h,Black,,,,Yes,No,"Accelerometer, proximity, compass",512MB RAM,microSDHC (dedicated slot),Yes,Up to 288 h,TFT,800 MHz,,,"Wi-Fi 802.11 b/g, UMA, hotspot","2.1, A2DP, EDR",125.9 x 67.8 x 10.4 mm (4.96 x 2.67 x 0.41 in),Orange,HSPA,Orange Monte Carlo,"480 x 800 pixels, 5:3 ratio (~217 ppi density)",GSM 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/orange-monte-carlo.jpg,MP4/H.264 playerMP3/WAV/eAAC+ playerOrganizerVoice memo/dialPredictive text input,Yes,,,,,,,
MP4/H.264 playerMP3/WAV/eAAC+ playerOrganizerVoice memoPredictive text input,GSM / HSPA,"5 MP, AF",Android 2.3 (Gingerbread),,LED flash,,"3.5 inches, 34.9 cm2(~50.9% screen-to-body ratio)",,Mini-SIM,"GPS, A-GPS",Discontinued,,120 g (4.23 oz),,"2011, November. Released 2011, November",,Removable Li-Ion battery,HSDPA 900 / 1900 / 2100,,,About 120 EUR,,,microUSB 2.0,Up to 4 h 30 min,Black,,,,Yes,"Stereo FM radio, RDS","Accelerometer, proximity, compass",512MB RAM,microSDHC (dedicated slot),Yes,Up to 240 h,"TFT, 256K colors",800 MHz,,,"Wi-Fi 802.11 b/g, hotspot","2.1, A2DP, EDR",117 x 58.5 x 10.6 mm (4.61 x 2.30 x 0.42 in),Orange,HSPA,Orange San Francisco II,"480 x 800 pixels, 5:3 ratio (~267 ppi density)",GSM 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/Orange-San-Francisco-II.jpg,,Yes,,,,,,,Yes
No,GSM,3.15 MP,,,,,"3.2 inches, 29.1 cm2(~57.1% screen-to-body ratio)",Yes,Mini-SIM,No,Discontinued,,100 g (3.53 oz),,2011. Released 2011,,Removable Li-Ion battery,,,,,Yes + downloadable,"SMS, MMS, Email, IM",microUSB 2.0,Up to 6 h,"Black, White","Yes, Photocall",,,Yes,FM radio,Accelerometer,34MB,microSD (dedicated slot),Yes,Up to 312 h,"TFT resistive touchscreen, 256K colors",,,Yes,Wi-Fi 802.11 b/g,"2.0, A2DP, EDR",102 x 50 x 12.5 mm (4.02 x 1.97 x 0.49 in),Orange,,Orange Sydney,"240 x 400 pixels, 5:3 ratio (~146 ppi density)",GSM 900 / 1800,https://fdn2.gsmarena.com/vv/bigpic/orange-sydney.jpg,MP3/AAC+/WAV/WMA playerOrganizerVoice memoPredictive text input,Yes,,"30 dialed, 30 received, 30 missed calls",,"Yes, MIDP 2.0",,,
