,Technology,Single,OS,_3,NFC,Features,Size,EDGE,SIM,Positioning,Dual,Status,256GB 6GB RAM,Weight,Chipset,Announced,_2,Type_1,3G bands,Features_1,Price,USB,Colors,Protection,Video_1,Build,Video,Radio,Sensors,Internal,64GB 4GB RAM,Card slot,Loudspeaker,Type,CPU,Triple,GPRS,WLAN,Bluetooth,Dimensions,Brand,Speed,Model Name,Resolution,2G bands,Model Image,_1,3.5mm jack,256GB 8GB RAM,5G bands,4G bands,Charging,GPU,Single_1
IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliant,GSM / HSPA / LTE,"5 MP, f/2.2, (wide), 1/5.0""",Android 14,,Yes,LED flash,"6.52 inches, 102.6 cm2(~73.9% screen-to-body ratio)",,Nano-SIM + Nano-SIM,"GPS, GLONASS, GALILEO, BDS","13 MP, f/2.2, (wide), 1/3.1"", AF2 MP, (macro)","Available. Released 2024, November",£ 169.99,393.7 g (13.90 oz),Mediatek MT8788 (12 nm),"2024, October 08",,Li-Po 10600 mAh,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,$ 137.59 / £ 169.99,"USB Type-C 2.0, OTG",Black,Corning Gorilla Glass 5,1080p@30fps,,1080p@30fps,FM radio,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",256GB 6GB RAM,,microSDXC (uses shared SIM slot),"Yes (128 dB, 3.5W peak)","IPS LCD, 400 nits",Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE",172.2 x 80.7 x 19.1 mm (6.78 x 3.18 x 0.75 in),Oukitel,"HSPA, LTE",Oukitel WP36 Pro,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp36-1.jpg,UFS 2.1,No,,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 28, 38, 39, 40, 41, 66",15W wiredReverse wired,Mali-G72 MP3,
Stylus supportDrop resistant up to 0.5m,No cellular connectivity,"13 MP, f/2.2, (wide), 1/3.06"", AF",Android 14,,No,"LED flash, HDR, panorama","11.0 inches, 350.9 cm2(~80.2% screen-to-body ratio)",No,No,No,,"Available. Released 2024, November 01",,520 g (1.15 lb),Unisoc T606 (12 nm),"2024, November 01",,8000 mAh,N/A,,About 180 EUR,"USB Type-C, OTG","Green, Gray, Purple",Corning Gorilla Glass 5,720p@30fps,,1080p@30fps,No,Accelerometer,128GB 4GB RAM,,Unspecified,"Yes, with stereo speakers","IPS LCD, 400 nits",Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE",258.2 x 169.5 x 8.6 mm (10.17 x 6.67 x 0.34 in),Oukitel,,Oukitel OT9,"800 x 1280 pixels, 16:10 ratio (~137 ppi density)",N/A,https://fdn2.gsmarena.com/vv/bigpic/oukitel-ot9.jpg,UFS 3.1,Yes,,,N/A,10W wired,Mali-G57 MP1,"5 MP, f/2.6, (wide), 1/5.0"""
No,No cellular connectivity,,Proprietary OS,,No,,1.91 inches,No,No,No,,"Available. Released 2024, June",,100 g (3.53 oz),,"2024, June",,300 mAh,N/A,,,No,"Black, White",Tempered glass,,,,No,"Accelerometer, heart rate, SpO2",,,No,No,TFT LCD,,,No,No,5.2,49.5 x 40 x 10.9 mm (1.95 x 1.57 x 0.43 in),Oukitel,No,Oukitel BT103,320 x 380 pixels (~260 ppi density),N/A,https://fdn2.gsmarena.com/vv/bigpic/oukitel-bt103.jpg,,No,,,N/A,,,
,GSM / HSPA / LTE,"8 MP, f/2.0, (wide), 1/4.0""",Android 14,,Yes,"LED flash, HDR, panorama","6.7 inches, 108.4 cm2(~83.8% screen-to-body ratio)",,Nano-SIM + Nano-SIM,"GPS, GALILEO, GLONASS, BDS","50 MP, f/1.8, (wide), 1/2.76"", AFother unspecified camera","Available. Released 2024, November",,199 g (7.02 oz),Unisoc T606 (12 nm),"2024, November",,Li-Po 5150 mAh,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,About 160 EUR,"USB Type-C, OTG","Black, Blue, Green",Corning Gorilla Glass 5,720p@30fps,"Glass front, plastic back",1080p@30fps,FM radio,"Accelerometer, proximity",256GB 6GB RAM,,microSDXC (uses shared SIM slot),Yes,"IPS LCD, 430 nits",Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE",166.8 x 77.5 x 8.7 mm (6.57 x 3.05 x 0.34 in),Oukitel,"HSPA, LTE",Oukitel C58 Pro,"720 x 1600 pixels, 20:9 ratio (~262 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/oukitel-c58-pro.jpg,,Yes,,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 25, 26, 28, 66",10W wired,Mali-G57 MP1,
,GSM / HSPA / LTE,"5 MP, f/2.2, (wide), 1/5.0""",Android 14,,Yes,"LED flash, HDR, panorama","6.7 inches, 108.4 cm2(~83.8% screen-to-body ratio)",,Nano-SIM + Nano-SIM,"GPS, GALILEO, GLONASS, BDS","13 MP, f/2.2, (wide), 1/3.06"", AFother unspecified camera","Available. Released 2024, November",,199 g (7.02 oz),Unisoc T606 (12 nm),"2024, November",,Li-Po 5150 mAh,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,About 150 EUR,"USB Type-C, OTG","Black, Blue, Green",Corning Gorilla Glass 5,720p@30fps,"Glass front, plastic back",1080p@30fps,FM radio,"Accelerometer, proximity",128GB 4GB RAM,,microSDXC (uses shared SIM slot),Yes,"IPS LCD, 430 nits",Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE",166.8 x 77.5 x 8.7 mm (6.57 x 3.05 x 0.34 in),Oukitel,"HSPA, LTE",Oukitel C58,"720 x 1600 pixels, 20:9 ratio (~262 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/oukitel-c58.jpg,,Yes,,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 25, 26, 28, 66",10W wired,Mali-G57 MP1,
CDMA 800 / 1900,GSM / CDMA / HSPA / LTE,"32 MP, f/2.2, (wide), 1/2.74""",Android 14,,Yes,"LED flash, HDR, panorama","6.7 inches, 108.0 cm2(~87.3% screen-to-body ratio)",,Nano-SIM + Nano-SIM,"GPS, GALILEO, GLONASS, BDS",,"Available. Released 2024, November",,186.8 g (6.60 oz),Mediatek Helio G99 (6 nm),"2024, November",,Li-Po 5150 mAh,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,$ 155.99,"USB Type-C, OTG","Black, White, Purple",Corning Gorilla Glass 5,1080p@30fps,,"4K@30fps, 1080p@30fps",FM radio,"Fingerprint (under display, optical), accelerometer, proximity, compass","256GB 4GB RAM, 256GB 8GB RAM",,microSDXC (uses shared SIM slot),Yes,"AMOLED, 500 nits",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"50 MP, f/1.9, (wide), 1/56"", PDAF2 MP, f/2.4, (macro)0.3 MP, (depth)",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.2, A2DP, LE",162.4 x 76.2 x 8.2 mm (6.39 x 3.00 x 0.32 in),Oukitel,"HSPA, LTE",Oukitel P1,"1080 x 2412 pixels, 20:9 ratio (~394 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/oukitel-p1.jpg,UFS 2.2,No,$ 155.99,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 38, 39, 40, 41, 66",18W wired,Mali-G57 MC2,
IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliant,GSM / HSPA / LTE,"16 MP, f/2.0, (wide), 1/3.1""",Android 14,,Yes,"LED flash, HDR, panorama","6.56 inches, 103.4 cm2(~74.1% screen-to-body ratio)",,Nano-SIM + Nano-SIM,"GPS, GLONASS, GALILEO, BDS",,"Available. Released 2024, September",$ 140.99,361 g (12.73 oz),Mediatek Helio G85 (12 nm),"2024, September",,Li-Po 11000 mAh,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,,$ 140.99,"USB Type-C 2.0, OTG","Grey, Green, Coffee",Corning Gorilla Glass 5,1080p@30fps,"Glass front, aluminum/titanium frame",1080p@30fps,FM radio,"Accelerometer, proximity, compass",256GB 6GB RAM,,microSDXC (uses shared SIM slot),Yes,"IPS LCD, 400 nits",Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),"48 MP, f/1.8, (wide), 1/2.0"", PDAF8 MP, f/2.0, (night vision), 1/4"", AF, infrared night vision lights2 MP, f/2.2, (macro)",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE",172.2 x 81 x 14.9 mm (6.78 x 3.19 x 0.59 in),Oukitel,"HSPA, LTE",Oukitel WP35 S,"720 x 1612 pixels, 20:9 ratio (~269 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/ulefone-wp35s.jpg,,No,,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 30, 38, 39, 40, 41, 66",18W wired,Mali-G52 MC2,
IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliant,GSM / HSPA / LTE,"8 MP, f/2.0, (wide), 1/4.0""",Android 14,,Yes,LED flash,"8.0 inches, 185.6 cm2(~66.9% screen-to-body ratio)",,Nano-SIM + Nano-SIM,"GPS, GLONASS, GALILEO, BDS","16 MP, f/2.0, (wide), 1/3.06"", PDAF0.3 MP, f/2.2, (depth)","Available. Released 2024, October",,538 g (1.19 lb),Mediatek Helio G81 (12 nm),"2024, October",,Li-Po 5150 mAh,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,About 180 EUR,"USB Type-C 2.0, OTG","Black, Orange, Green",Corning Gorilla Glass 5,720p@30fps,,1080p@30fps,FM radio,"Accelerometer, compass",128GB 4GB RAM,,microSDXC (uses shared SIM slot),"Yes, with stereo speakers","IPS LCD, 600 nits",Octa-core (2x2.0 GHz Cortex-A75 & 6x1.7 GHz Cortex-A55),,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE",207 x 134 x 13.9 mm (8.15 x 5.28 x 0.55 in),Oukitel,"HSPA, LTE",Oukitel RT3 Pro,"800 x 1280 pixels, 16:10 ratio (~189 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/ulefone-rt3-pro.jpg,,No,,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 28, 38, 39, 40, 41, 66",10W wired,Mali-G52 MC2,
Waterproof (1ATM) 10m,No cellular connectivity,,Proprietary OS,,No,,2.02 inches,No,No,No,,"Available. Released 2024, September",,61.7 (2.19 oz),,"2024, September",,410 mAh,N/A,,About 50 EUR,No,Black,Tempered glass,,,,No,"Accelerometer, heart rate, SpO2, blood pressure, barometer, compass",,,No,Yes,TFT LCD,,,No,No,5.3,58.3 x 46.1 x 13.3 mm (2.30 x 1.81 x 0.52 in),Oukitel,No,Oukitel BT101,320 x 390 pixels (~250 ppi density),N/A,https://fdn2.gsmarena.com/vv/bigpic/oukitel-bt101.jpg,No,No,,,N/A,,,
,GSM / HSPA / LTE,"13 MP, f/2.2, (wide), 1/3.06"", AF",Android 14,,No,"LED flash, panorama","6.52 inches, 102.6 cm2(~80.8% screen-to-body ratio)",,Nano-SIM + Nano-SIM,"GPS, GALILEO, GLONASS",,"Available. Released 2024, October",,215 g (7.58 oz),Unisoc SC9863A (28 nm),"2024, October",,Li-Ion 4300 mAh,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,About 120 EUR,"USB Type-C 2.0, OTG","Grey, Blue, Purple, Gold",Corning Gorilla Glass 5,720p@30fps,,1080p@30fps,FM radio,Accelerometer,128GB 4GB RAM,,microSDXC (dedicated slot),Yes,"IPS LCD, 400 nits",Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),,,Wi-Fi 802.11 b/g/n,"4.2, A2DP, LE",165.8 x 76.6 x 9.4 mm (6.53 x 3.02 x 0.37 in),Oukitel,"HSPA, LTE",Oukitel C57 Pro,"576 x 1280 pixels, 20:9 ratio (~215 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/oukitel-c57-pro.jpg,,Yes,,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 25, 26, 28, 66",,IMG8322,"5 MP, f/2.2, (wide), 1/5.0"""
