,Technology,Single,OS,Loudspeaker_1,_3,NFC,Features,Keyboard,Size,EDGE,SIM,Positioning,Status,Alert types,SAR EU,Languages,Weight,Chipset,Audio quality,Announced,_2,Type_1,Camera,3G bands,Infrared port,_4,Price,USB,Talk time,Colors,Protection,Video_1,Build,Video,Radio,Sensors,Internal,Card slot,Loudspeaker,Models,Stand-by,Type,CPU,Browser,GPRS,WLAN,Bluetooth,Dimensions,Brand,Speed,Model Name,Resolution,2G bands,Model Image,_1,3.5mm jack,SAR,4G bands,Charging,GPU,Single_1
IP68 dust/water resistant (up to 1m for 30 min),GSM / HSPA / LTE,"12 MP, AF",Android 8.1 (Oreo),,,No,"LED flash, HDR",,"3.3 inches, 30.0 cm2(~61.4% screen-to-body ratio)",,Nano-SIM,"GPS, GLONASS","Available. Released 2018, November",,0.98 W/kg (head),,62.5 g (2.22 oz),Qualcomm MSM8940 Snapdragon 435 (28 nm),,"2018, October",,"Li-Ion 800 mAh, non-removable",,HSDPA 850 / 1700(AWS) / 1900 / 2100,,,About 400 EUR,USB Type-C 2.0,,"Gold, Titanium",Corning Gorilla Glass 3,720p@30fps,"Glass front (Gorilla Glass 3), glass back (Gorilla Glass 3), aluminum frame",720p@30fps,No,"Infrared Face ID, accelerometer, proximity, gyro, compass",32GB 3GB RAM,No,"Yes, with dual speakers","PVG100, PVG100E",,IPS LCD,Octa-core (4x1.4 GHz & 4x1.1 GHz),,,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct","4.2, A2DP, LE",96.6 x 50.6 x 7.4 mm (3.80 x 1.99 x 0.29 in),Palm,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Palm Phone PVG100,"720 x 1280 pixels, 16:9 ratio (~445 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/palm-pepito1.jpg,eMMC 5.1,No,,"2, 4, 5, 12, 13, 17, 66","Wired, 50% in 31 min, 100% in 68 min",Adreno 505,8 MP
HSDPA 900 / 2100,GSM / HSPA,5 MP,HP webOS 2.0,,,,LED flash,QWERTY,"3.1 inches, 28.6 cm2(~47.7% screen-to-body ratio)",,Mini-SIM,"GPS, A-GPS",Discontinued,,,,145 g (5.11 oz),,,"2010, October. Released 2010, November",,Removable Li-Ion battery,,HSDPA 850 / 1900,,,About 260 EUR,microUSB 2.0,Up to 5 h 30 min,Black,Corning Gorilla Glass,,,Yes,,"Accelerometer, proximity",16GB 512MB RAM,No,Yes,,Up to 350 h,TFT,1.0 GHz,"HTML, Adobe Flash",,Wi-Fi 802.11 b/g,"2.1, A2DP, EDR",100.7 x 59.6 x 16.9 mm (3.96 x 2.35 x 0.67 in),Palm,HSPA 7.2/2 Mbps,Palm Pre 2,"320 x 480 pixels, 3:2 ratio (~186 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/palm-pre-2-ofic.jpg,No,Yes,,,Wireless,,
No,CDMA / EVDO,5 MP,HP webOS 2.0,,,,LED flash,QWERTY,"3.1 inches, 28.6 cm2(~47.7% screen-to-body ratio)",,Mini-SIM,"GPS, A-GPS",Discontinued,,,,145 g (5.11 oz),,,"2010, October. Released 2010, October",,Removable Li-Ion battery,,CDMA2000 1xEV-DO,,,About 210 EUR,microUSB 2.0,Up to 5 h,Black,Corning Gorilla Glass,,,Yes,,"Accelerometer, proximity",16GB 512MB RAM,No,Yes,,Up to 350 h,TFT,1.0 GHz,"HTML, Adobe Flash",,Wi-Fi 802.11 b/g,"2.1, A2DP",100.7 x 59.6 x 16.9 mm (3.96 x 2.35 x 0.67 in),Palm,EV-DO Rev.A 3.1 Mbps,Palm Pre 2 CDMA,"320 x 480 pixels, 3:2 ratio (~186 ppi density)",CDMA 800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/palm-pre-2-ofic.jpg,MP3/WAV/eAAC+ playerMP4/H.264 playerOrganizerDocument viewerVoice memo/dialPredictive text input,Yes,,,,,
HSDPA 850 / 1900 - for AT&T,GSM / HSPA,2 MP,Palm webOS,,,,LED flash,QWERTY,"2.63 inches, 21.8 cm2(~35.7% screen-to-body ratio)",,Mini-SIM,"GPS, A-GPS",Discontinued,,,,92.5 g (3.25 oz),Qualcomm MSM7627,,"2010, March. Released 2010, June",MP3/WAV/eAAC+ playerMP4/H.264 playerOrganizerDocument viewerVoice memo/dial,Removable Li-Ion 1150 mAh battery,,HSDPA 2100,,,About 210 EUR,microUSB 2.0,Up to 5 h 30 min (2G) / Up to 4 h (3G),Black,,,,Yes,No,"Accelerometer, proximity",8GB,No,Yes,,Up to 350 h,"TFT, 256K colors",600 MHz ARM 11,WAP 2.0 / HTML,,Wi-Fi 802.11 b/g,"2.1, A2DP",111 x 55 x 10.9 mm (4.37 x 2.17 x 0.43 in),Palm,HSPA 7.2/5.76 Mbps,Palm Pixi Plus,320 x 400 pixels (~195 ppi density),GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/palm-pixi-plus-ofic.jpg,No,Yes,,,,Adreno 200,
HSDPA 850 / 1900 - for AT&T,GSM / HSPA,3.15 MP,Palm webOS 1.3.5,,,,LED flash,QWERTY,"3.1 inches, 28.6 cm2(~47.9% screen-to-body ratio)",,Mini-SIM,"GPS, A-GPS",Discontinued,,,,138 g (4.87 oz),,,"2010, March. Released 2010, May",,Removable Li-Ion 1150 mAh battery,,HSDPA 2100,,,About 170 EUR,microUSB 2.0,Up to 4 h (2G) / Up to 4 h (3G),Black,,,,Yes,No,Accelerometer,16GB 512MB RAM,No,Yes,,Up to 350 h (2G) / - (3G),TFT,600 MHz Cortex-A8,WAP 2.0 / HTML,,Wi-Fi 802.11 b/g,"2.1, A2DP",100.5 x 59.5 x 16.9 mm (3.96 x 2.34 x 0.67 in),Palm,HSPA 3.6/0.384 Mbps,Palm Pre Plus,"320 x 480 pixels, 3:2 ratio (~186 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/palm-pre-plus-ofic.jpg,No,Yes,,,Wireless,PowerVR SGX,
No,GSM / HSPA,2 MP,Palm webOS,,,,LED flash,QWERTY,"2.63 inches, 21.8 cm2(~35.7% screen-to-body ratio)",,Mini-SIM,"GPS, A-GPS",Discontinued,,,,99.5 g (3.53 oz),Qualcomm MSM7627,,"2009, September. Released 2009, Q4",,Removable Li-Ion 1150 mAh battery,,HSDPA 850 / 1900 / 2100,,,About 120 EUR,microUSB 2.0,Up to 5 h,Black,,,,No,No,"Accelerometer, proximity",8GB,No,Yes,,Up to 350 h,"TFT, 256K colors",600 MHz ARM 11,WAP 2.0 / HTML,,No,"2.1, A2DP",111 x 55 x 10.9 mm (4.37 x 2.17 x 0.43 in),Palm,HSPA 7.2/5.76 Mbps,Palm Pixi,320 x 400 pixels (~195 ppi density),GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/palm-pixi.jpg,MP3/WAV/eAAC+ playerMP4/H.264 playerOrganizerDocument viewerVoice memo/dial,Yes,1.56 W/kg (head)     0.63 W/kg (body),,,Adreno 200,
No,GSM / HSPA,3.15 MP,Palm webOS,Voice 71dB / Noise 68dB / Ring 80dB,,,LED flash,QWERTY,"3.1 inches, 28.6 cm2(~47.9% screen-to-body ratio)",,Mini-SIM,GPS,Discontinued,,,,133 g (4.69 oz),,Noise -95.7dB / Crosstalk -53.9dB,"2009, Februray. Released 2009, October",,Removable Li-Ion 1150 mAh battery,Photo,HSDPA 850 / 1900 / 2100,,,About 180 EUR,microUSB,Up to 5 h,Black,,,,No,No,Accelerometer,8GB 256MB RAM,No,Yes,,Up to 300 h,TFT,600 MHz Cortex-A8,WAP 2.0 / HTML,,Wi-Fi 802.11 b/g,"2.1, A2DP (headset support only)",100.5 x 59.5 x 16.9 mm (3.96 x 2.34 x 0.67 in),Palm,HSPA 3.6/0.384 Mbps,Palm Pre,"320 x 480 pixels, 3:2 ratio (~186 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/palm-pre.jpg,,Yes,0.92 W/kg (head)     0.94 W/kg (body),,Wireless,PowerVR SGX,
5-way navigation button,GSM / HSPA,2 MP,Microsoft Windows Mobile 6.1 Professional,,,,,QWERTY,"2.5 inches, 20.2 cm2(~29.5% screen-to-body ratio)",,Mini-SIM,GPS,Discontinued,"Vibration; Downloadable polyphonic, MP3 ringtones",0.75 W/kg (head)     0.53 W/kg (body),,133 g (4.69 oz),Qualcomm MSM7201,,"2008, August. Released 2008, October",OrganizerPocket OfficeVoice memo,Removable Li-Ion 1500 mAh battery,,HSDPA 850 / 1900 / 2100,Yes,,About 70 EUR,microUSB,Up to 5  h,Obsidian,,,,Yes,No,,100MB 128MB RAM,microSDHC (dedicated slot),Yes,,Up to 250 h,"TFT resistive touchscreen, 65K colors",528 MHz ARM 11,WAP 2.0 / HTML (PocketIE),,Wi-Fi 802.11 b/g,"2.0, A2DP",114 x 60 x 13.4 mm (4.49 x 2.36 x 0.53 in),Palm,HSPA,Palm Treo Pro,"320 x 320 pixels, 1:1 ratio (~181 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/palm-treo-pro.jpg,No,Yes,0.60 W/kg (head)     0.87 W/kg (body),,,Adreno 130,
5-way navigation button,GSM,1.3 MP,Palm OS 5.4.9,,,,,QWERTY,"2.25 inches, 16.3 cm2(~28.5% screen-to-body ratio)",Class 10,Mini-SIM,No,Discontinued,Vibration; Downloadable polyphonic ringtones,,,124 g (4.37 oz),,,"2008, February. Released 2008, March","Document editor (Word, Excel, Powerpoint, PDF)MP3 playerOrganizerVoice memo",Removable Li-Ion 1150 mAh battery,,,Yes,,About 70 EUR,Proprietary,Up to 4 h,"Obsidian, Glacier, Midnight, Cobalt, Onyx, Electric Blue, Rose, Olive",,,,Yes,No,,64MB,microSDHC (dedicated slot),Yes,,Up to 300 h,"TFT resistive touchscreen, 65K colors",32-bit Intel XScale PXA270 312 MHz,WAP 2.0 / HTML (Blazer 4.5),Class 10,No,"1.2, A2DP",107.2 x 53.5 x 18.6 mm (4.22 x 2.11 x 0.73 in),Palm,,Palm Centro,"320 x 320 pixels, 1:1 ratio (~201 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/palm-centro.jpg,No,No,0.27 W/kg (head)     0.22 W/kg (body),,,,
5-way navigation button,GSM / UMTS,2 MP,Microsoft Windows Mobile 6.0 Standard Edition,,,,,QWERTY,"2.4 inches, 17.8 cm2(~26.4% screen-to-body ratio)",,Mini-SIM,No,Discontinued,"Vibration; Downloadable polyphonic, MP3 ringtones",0.89 W/kg (head),,120 g (4.23 oz),,,"2007, September. Released 2008, February",MP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerOrganizerPocket OfficeVoice memo,Removable Li-Ion 1200 mAh battery,,UMTS 2100,,,About 90 EUR,miniUSB,Up to 4 h 30 min,"Black, White",,,,Yes,No,,150MB,microSD (dedicated slot),Yes,,Up to 240 h,"TFT, 65K colors",32-bit Intel XScale PXA270 312 MHz,WAP 2.0 / HTML (PocketIE),,No,"2.0, A2DP",110 x 61.5 x 16.5 mm (4.33 x 2.42 x 0.65 in),Palm,"Yes, 384 kbps",Palm Treo 500v,"320 x 240 pixels, 4:3 ratio (~167 ppi density)",GSM 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/palm-treo500v.gif,No,No,,,,,
