Features,CPU,,4G bands,Single_1,Stand-by,Alert types,OS,Loudspeaker,Bluetooth,SAR EU,Games,Stand-by_1,_2,Price,_3,3.5mm jack,SIM,Dual,Single,Weight,Chipset,Call records,Status,WLAN,Infrared port,Talk time_1,2G bands,Features_1,Browser,Resolution,Talk time,Card slot,Alarm,Speed,NFC,Build,Announced,Video_1,Technology,_1,Clock,Brand,Protection,GPU,Model Image,Size,Model Name,Messaging,Colors,Type,Phonebook,GPRS,Dimensions,Internal,USB,EDGE,Positioning,Radio,3G bands,Charging,Models,Video,Type_1,_4,Sensors,Java
"LED flash, HDR, panorama",Quad-core 1.5 GHz,,"1, 3, 5, 8, 40, 41","8 MP, f/2.0, 1/4.0"", 1.12µm",,,Android 9.0 (Pie),Yes,"4.2, A2DP, LE",,,,,About 9990 INR,,Yes,Nano-SIM + Micro-SIM,,"8 MP, f/2.0, 1.12 µm, AF",168 g (5.93 oz),,,"Available. Released 2019, July","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,GSM 850 / 900 / 1800 / 1900,LED flash,,"720 x 1440 pixels, 18:9 ratio (~295 ppi density)",,microSDXC (dedicated slot),,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",No,,"2019, June",,GSM / HSPA / LTE,,,Panasonic,,,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-i7-2019-enterprise-edition.jpg,"5.45 inches, 76.7 cm2(~72.7% screen-to-body ratio)",Panasonic Eluga I7 (2019),,"Black, Gold, Blue",IPS LCD,,,148.8 x 70.9 x 9.3 mm (5.86 x 2.79 x 0.37 in),16GB 2GB RAM,"microUSB 2.0, OTG",,GPS,FM radio with RDS,HSDPA 900 / 2100,,,1080p@30fps,"Li-Ion 4000 mAh, non-removable",,"Fingerprint (rear-mounted), accelerometer, proximity, compass",
"Dual-LED flash, HDR, panorama",Octa-core 1.8 GHz,,"1, 3, 5, 7, 8, 20, 38, 40, 41",8 MP,,,Android 7.0 (Nougat),Yes,"4.2, A2DP, LE",,,,,About 10000 INR,,Yes,Nano-SIM + Nano-SIM,,"13 MP, f/2.0, PDAF",162 g (5.71 oz),,,"Available. Released 2019, March","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",Yes,,GSM 850 / 900 / 1800 / 1900,LED flash,,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,microSDXC (dedicated slot),,"HSPA, LTE",No,,"2019, March",1080p@30fps,GSM / HSPA / LTE,,,Panasonic,Corning Gorilla Glass 3,,https://fdn2.gsmarena.com/vv/bigpic/panasonic-ray-800.jpg,"5.5 inches, 83.4 cm2(~72.5% screen-to-body ratio)",Panasonic Eluga Ray 800,,Gold,IPS LCD,,,152.8 x 75.3 x 8.6 mm (6.02 x 2.96 x 0.34 in),64GB 4GB RAM,"microUSB 2.0, OTG",,GPS,FM radio,HSDPA 900 / 2100,,,1080p@30fps,"Li-Ion 4000 mAh, non-removable",,"Fingerprint (rear-mounted), accelerometer, proximity, compass",
LED flash,Quad-core 1.3 GHz Cortex-A7,eMMC 4.5,"1, 3, 5, 40, 41","5 MP, AF",,,Android 7.1.2 (Nougat),Yes,"4.0, A2DP",,,,,About 7000 INR,,Yes,Dual SIM,,"8 MP, AF",173.8 g (6.14 oz),Qualcomm MSM8909 Snapdragon 210 (28 nm),,"Available. Released 2018, November","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,GSM 850 / 900 / 1800 / 1900,,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,microSDXC,,"HSPA, LTE",No,,"2018, October",,GSM / HSPA / LTE,,,Panasonic,Corning Gorilla Glass,Adreno 304,https://fdn2.gsmarena.com/vv/bigpic/panasonic-p85-.jpg,"5.0 inches, 68.9 cm2(~68.7% screen-to-body ratio)",Panasonic P85 Nxt,,"Blue, Gold, Black",IPS LCD,,,141.7 x 70.8 x 9.3 mm (5.58 x 2.79 x 0.37 in),16GB 2GB RAM,"microUSB 2.0, OTG",,GPS,FM radio with RDS; recording,HSDPA 900 / 2100,,,720p@30fps,"Li-Ion 4000 mAh, non-removable",,"Fingerprint (rear-mounted), accelerometer, proximity",
"LED flash, HDR, panorama",Octa-core 2.0 GHz Cortex-A53,eMMC 5.1,"1, 2, 3, 5, 7, 8, 20, 28, 38, 39, 40, 41",,,,Android 8.1 (Oreo),Yes,"5.0, A2DP, LE",,,,,About 200 EUR,,Yes,Nano-SIM + Micro-SIM,"13 MP, f/2.0, 27mm (wide), 1/3.1"", 1.12µm, PDAF2 MP, f/2.8, (depth)","8 MP, f/2.2",169 g (5.96 oz),Mediatek MT6762 Helio P22 (12 nm),,"Available. Released 2018, October","Wi-Fi 802.11 а/b/g/n/ac, Wi-Fi Direct",,,GSM 850 / 900 / 1800 / 1900,LED flash,,720 x 1500 pixels (~269 ppi density),,microSDXC (uses shared SIM slot),,"HSPA, LTE",No,,"2018, October",1080p@30fps,GSM / HSPA / LTE,,,Panasonic,Asahi Dragontrail Pro Glass,PowerVR GE8320,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-z1-pro.jpg,"6.19 inches, 96.4 cm2(~80.4% screen-to-body ratio)",Panasonic Eluga Z1 Pro,,"Black, Gold, Blue",IPS LCD,,,157.2 x 76.3 x 8.1 mm (6.19 x 3.00 x 0.32 in),"32GB 3GB RAM, 64GB 4GB RAM","microUSB 2.0, OTG",,"GPS, GLONASS","FM radio, RDS, recording",HSDPA 850 / 900 / 1900 / 2100,,,1080p@30fps,"Li-Po 4000 mAh, non-removable",,"Fingerprint (rear-mounted), accelerometer, proximity, compass",
"LED flash, HDR, panorama",Quad-core 1.3 GHz,,"1, 3, 5, 40, 41",5 MP,,,Android 8.0 (Oreo),Yes,"4.1, A2DP, LE",,,,,About 9000 INR,,Yes,Nano-SIM + Nano-SIM,,"13 MP, AF",141 g (4.97 oz),,,"Available. Released 2018, October",Wi-Fi 802.11 b/g/n,,,GSM 850 / 900 / 1800 / 1900,LED flash,,"720 x 1440 pixels, 18:9 ratio (~282 ppi density)",,microSDXC (dedicated slot),,"HSPA, LTE",No,,"2018, October",,GSM / HSPA / LTE,,,Panasonic,,,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-ray-530.jpg,"5.7 inches, 83.8 cm2(~76.2% screen-to-body ratio)",Panasonic Eluga Ray 530,,"Black, Blue",IPS LCD,,,152.4 x 72.2 x 8.3 mm (6.00 x 2.84 x 0.33 in),32GB 3GB RAM,"microUSB 2.0, OTG",,GPS,FM radio,HSDPA 900 / 2100,,,1080p@30fps,"Li-Ion 3000 mAh, non-removable",,"Fingerprint (rear-mounted), accelerometer, proximity",
"LED flash, HDR, panorama",Quad-core 1.3 GHz Cortex-A53,eMMC 5.0,"1, 3, 5, 40, 41",8 MP,,,Android 8.1 (Oreo),Yes,"4.1, A2DP, LE",,,,,About 8000 INR,,Yes,Nano-SIM + Nano-SIM,,"13 MP, AF",158 g (5.57 oz),Mediatek MT6737H,,"Available. Released 2018, October",Wi-Fi 802.11 b/g/n,Yes,,GSM 850 / 900 / 1800 / 1900,LED flash,,"720 x 1440 pixels, 18:9 ratio (~269 ppi density)",,microSDXC (dedicated slot),,"HSPA, LTE",No,,"2018, October",,GSM / HSPA / LTE,,,Panasonic,,Mali-T720MP2,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-ray-600.jpg,"5.99 inches, 92.6 cm2(~77.4% screen-to-body ratio)",Panasonic Eluga Ray 600,,"Black, Blue, Gold",IPS LCD,,,158.5 x 75.5 x 7.9 mm (6.24 x 2.97 x 0.31 in),32GB 3GB RAM,"microUSB 2.0, OTG",,GPS,FM radio,HSDPA 900 / 2100,,,1080p@30fps,"Li-Ion 4000 mAh, non-removable",,"Fingerprint (rear-mounted), accelerometer, proximity",
"LED flash, panorama",Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),eMMC 5.1,"1, 2, 3, 5, 7, 8, 20, 38, 39, 40, 41",,,,Android 8.1 (Oreo),Yes,"4.2, A2DP, LE",,,,,About 350 EUR,,No,Nano-SIM + Micro-SIM,"16 MP, PDAF5 MP, f/2.4, (depth)","16 MP, f/2.2, 1/3.06"", 1.0µm",195 g (6.88 oz),Mediatek MT6771 Helio P60 (12 nm),,"Available. Released 2018, October","Wi-Fi 802.11 а/b/g/n, dual-band, Wi-Fi Direct",Yes,,GSM 850 / 900 / 1800 / 1900,1080p@30fps,,"1080 x 2246 pixels, 18.7:9 ratio (~403 ppi density)",,microSDXC (uses shared SIM slot),,"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat13 600/50 Mbps",No,"Glass front (Gorilla Glass 3), glass back, stainless steel frame","2018, October",,GSM / HSPA / LTE,,,Panasonic,Corning Gorilla Glass 3,Mali-G72 MP3,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-x1-pro.jpg,"6.18 inches, 96.2 cm2(~82.2% screen-to-body ratio)",Panasonic Eluga X1 Pro,,"Dark Grey, Silver",IPS LCD,,,155 x 75.5 x 7.9 mm (6.10 x 2.97 x 0.31 in),"64GB 4GB RAM, 128GB 6GB RAM","USB Type-C 2.0, OTG",,GPS,FM radio,HSDPA 850 / 900 / 1900 / 2100,10W wiredWireless,,1080p@30fps,"Li-Ion 3000 mAh, non-removable",,"Infrared Face ID, fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",
"LED flash, panorama",Quad-core 1.3 GHz Cortex-A53,eMMC 5.0,"1, 3, 5, 40, 41",5 MP,,,Android 7.0 (Nougat),Yes,"4.0, A2DP, LE",,,,,About 6000 INR,,Yes,Dual SIM,,"5 MP, AF",151.7 g (5.36 oz),Mediatek MT6737 (28 nm),,"Available. Released 2018, June",Wi-Fi 802.11 b/g/n,Yes,,GSM 850 / 900 / 1800 / 1900,LED flash,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,microSDXC,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",No,,"2018, June",,GSM / HSPA / LTE,,,Panasonic,Corning Gorilla Glass (unspecified version),Mali-T720,https://fdn2.gsmarena.com/vv/bigpic/panasonic-p90-.jpg,"5.0 inches, 68.9 cm2(~67.1% screen-to-body ratio)",Panasonic P90,,"Blue, Gold, Black",IPS LCD,,,143 x 71.8 x 9.3 mm (5.63 x 2.83 x 0.37 in),16GB 1GB RAM,"microUSB 2.0, OTG",,GPS,FM radio,HSDPA 900 / 2100,,,720p@30fps,Li-Ion 2400 mAh battery,,"Accelerometer, proximity",
"LED flash, HDR, panorama",Quad-core 1.3 GHz Cortex-A7,eMMC 4.5,"1, 3, 5, 40, 41",5 MP,,,Android 7.1.2 (Nougat),Yes,"4.1, A2DP, LE",,,,,About 5000 INR,,Yes,"Dual SIM (Micro-SIM, dual stand-by)",,"8 MP, AF",164 g (5.78 oz),Qualcomm MSM8909 Snapdragon 210 (28 nm),,"Available. Released 2018, May",Wi-Fi 802.11 b/g/n,Yes,,GSM 850 / 900 / 1800 / 1900,,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,microSDXC (dedicated slot),,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",No,,"2018, May",,GSM / HSPA / LTE,,,Panasonic,,Adreno 304,https://fdn2.gsmarena.com/vv/bigpic/panasonic-p95-.jpg,"5.0 inches, 68.9 cm2(~69.3% screen-to-body ratio)",Panasonic P95,,"Blue, Gold, Dark Grey",IPS LCD,,,141 x 70.5 x 8 mm (5.55 x 2.78 x 0.31 in),16GB 1GB RAM,"microUSB 2.0, OTG",,GPS,FM radio,HSDPA 900 / 2100,,,720p@30fps,Li-Ion 2300 mAh battery,,"Accelerometer, proximity",
"LED flash, HDR, panorama",Quad-core 1.25 GHz Cortex-A53,eMMC 5.0,"1, 3, 5, 8, 40, 41","8 MP, f/2.0, 1/4.0"", 1.12µm",,,Android 7.0 (Nougat),Yes,"4.1, A2DP, LE",,,,,About 6500 INR,,Yes,Nano-SIM + Nano-SIM,,"8 MP, f/2.0, 1.12 µm, AF",168 g (5.93 oz),Mediatek MT6737H,,"Available. Released 2018, April","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,GSM 850 / 900 / 1800 / 1900,LED flash,,"720 x 1440 pixels, 18:9 ratio (~295 ppi density)",,microSDXC (dedicated slot),,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",No,"Glass front, plastic back, plastic frame","2018, April",480p,GSM / HSPA / LTE,,,Panasonic,,Mali-T720MP2,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-l7-.jpg,"5.45 inches, 76.7 cm2(~72.7% screen-to-body ratio)",Panasonic Eluga I7,,"Black, Gold, Blue",IPS LCD,,,148.8 x 70.9 x 9.3 mm (5.86 x 2.79 x 0.37 in),16GB 2GB RAM,"microUSB 2.0, OTG",,GPS,FM radio with RDS,HSDPA 900 / 2100,,ELUGA I7,1080p@30fps,"Li-Ion 4000 mAh, non-removable",,"Fingerprint (rear-mounted), accelerometer, proximity, compass",
