,Features,CPU,Stand-by,4G bands,Single_1,Alert types,Loudspeaker,Bluetooth,Games,OS,SAR EU,Stand-by_1,_2,Price,_3,3.5mm jack,Keyboard,SIM,Single,Weight,Chipset,Call records,Status,WLAN,Infrared port,Talk time_1,2G bands,Battery (old),Browser,Resolution,Talk time,Card slot,Speed,NFC,Announced,Video_1,Technology,_1,SAR,Brand,GPU,Model Image,Size,Model Name,Music play,Messaging,Colors,Type,Phonebook,GPRS,Dimensions,Internal,USB,EDGE,Positioning,Radio,3G bands,Models,Video,Type_1,_4,Sensors,Java
Secondary external display,LED flash,,Up to 240 h,,,,Yes,"2.1, A2DP, EDR",Yes,,,,MP3/eAAC+/WMA/WAV playerMP4/WMV/H.263 playerOrganizerDocument viewerVoice memo/dialPredictive text input,About 160 EUR,,No,,Yes,"3.15 MP, AF",102 g (3.60 oz),Qualcomm QSC6270,Yes,Discontinued,No,,,GSM 850 / 900 / 1800 / 1900,,,"240 x 400 pixels, 5:3 ratio (~155 ppi density)",Up to 3 h,microSDHC (dedicated slot),HSPA,No,"2013, November. Released 2013, November",,GSM / HSPA,No,,Pantech,,https://fdn2.gsmarena.com/vv/bigpic/pantech-breeze-4.jpg,"3.0 inches, 25.6 cm2(~45.3% screen-to-body ratio)",Pantech Breeze IV,,"SMS, MMS, Email, IM",Black,"TFT, 256K colors","Yes, Photocall",,106.4 x 53.1 x 17.5 mm (4.19 x 2.09 x 0.69 in),256MB 128MB RAM,microUSB,,No,No,HSDPA 850 / 1900 / 2100,,Yes,"Li-Ion 1030 mAh, removable",,,Yes
GSM 900 / 1800 / 1900,"LED flash, HDR",Quad-core 1.5 GHz Krait,Up to 450 h,LTE 800,2 MP,,Yes,"4.0, A2DP, EDR, LE",,"Android 4.1.2 (Jelly Bean), Flux UX UI",0.72 W/kg (head),,T-DMB TV tuner,,,Yes,,Micro-SIM,"13 MP, AF",210.5 g (7.41 oz),Qualcomm APQ8064 Snapdragon S4 Pro,,Discontinued,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, DLNA, hotspot",,,CDMA 800 / 1900,,,"1080 x 1920 pixels, 16:9 ratio (~373 ppi density)",Up to 16 h 40 min,microSDXC (dedicated slot),"HSPA, LTE, EV-DO Rev. A",Yes,"2013, January. Released 2013, February",1080p@30fps,GSM / CDMA / HSPA / EVDO / LTE,CDMA2000 1xEV-DO,,Pantech,Adreno 320,https://fdn2.gsmarena.com/vv/bigpic/pantech-vega-no-6.jpg,"5.9 inches, 96.0 cm2(~72.7% screen-to-body ratio)",Pantech Vega No 6,,,"Black, White",Natural IPS Pro LCD,,,158.6 x 83.2 x 9.9 mm (6.24 x 3.28 x 0.39 in),32GB 2GB RAM,"microUSB 2.0, OTG",,GPS,No,HSDPA 2100,,1080p@30fps,"Li-Ion 3140 mAh, removable",,"Accelerometer, proximity, compass",
,"LED flash, HDR",Dual-core 1.5 GHz Krait,Up to 430 h,"2, 4, 5, 17",2 MP,,"Yes, with stereo speakers","4.0, A2DP",,Android 4.0.4 (Ice Cream Sandwich),,,,About 370 EUR,,Yes,,Micro-SIM,"12.6 MP, AF",135 g (4.76 oz),Qualcomm MSM8960 Snapdragon S4 Plus,,Discontinued,"Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot",,,GSM 850 / 900 / 1800 / 1900,Endurance rating 48h,,"720 x 1280 pixels, 16:9 ratio (~306 ppi density)",Up to 10 h,microSDHC (dedicated slot),"HSPA, LTE",Yes,"2013, January. Released 2013, January",,GSM / HSPA / LTE,,,Pantech,Adreno 225,https://fdn2.gsmarena.com/vv/bigpic/pantech-discover.jpg,"4.8 inches, 63.5 cm2(~69.0% screen-to-body ratio)",Pantech Discover,,,Gray,TFT,,,134.2 x 68.6 x 9.1 mm (5.28 x 2.70 x 0.36 in),"16GB (13GB user available), 1GB RAM",microUSB 2.0,,GPS,No,HSDPA 850 / 1900 / 2100,,1080p@30fps,"Li-Ion 2100 mAh, removable",,"Accelerometer, proximity, compass",
GSM 850 / 900 / 1800 / 1900,LED flash,Quad-core 1.5 GHz Krait,,LTE 800,2 MP,,Yes,"4.0, A2DP",,"Android 4.0.4 (Ice Cream Sandwich), upgradable to 4.1 (Jelly Bean)",,,T-DMB TV tunerMP4/H.264/WMV/DviX/XviD playerMP3/WMA/WAV/eAAC+ playerDocument viewer/editor,About 550 EUR,,Yes,,Micro-SIM,"13 MP, AF",168.5 g (5.93 oz),Qualcomm APQ8064 Snapdragon S4 Pro,,Discontinued,"Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot",,,CDMA 800 / 1900,,,"720 x 1280 pixels, 16:9 ratio (~277 ppi density)",Up to 14 h 30 min,microSDHC (dedicated slot),"HSPA, LTE, EV-DO Rev. A",Yes,"2012, October. Released 2012, October",,GSM / CDMA / HSPA / EVDO / LTE,CDMA2000 1xEV-DO,,Pantech,Adreno 320,https://fdn2.gsmarena.com/vv/bigpic/pantech-vega-r3.jpg,"5.3 inches, 77.4 cm2(~72.0% screen-to-body ratio)",Pantech Vega R3 IM-A850L,,,"Black, White",Natural IPS Pro LCD,,,144.7 x 74.3 x 10 mm (5.70 x 2.93 x 0.39 in),16GB 2GB RAM,"microUSB 2.0, OTG",,GPS,No,HSDPA 2100,IM-A850S,1080p@30fps,"Li-Ion 2600 mAh, removable",,"Accelerometer, gyro, proximity, compass",
MP4/WMV/H.264 playerMP3/WAV/eAAC+ playerPhoto/video editorDocument viewer,"LED flash, HDR, panorama",Dual-core 1.5 GHz Krait,Up to 430 h,"4, 17",2 MP,,Yes,"4.0, A2DP",,"Android 4.0.4 (Ice Cream Sandwich), upgradable to 4.1.2 (Jelly Bean)",,,,About 230 EUR,,Yes,,Micro-SIM,"8 MP, AF",132 g (4.66 oz),Qualcomm MSM8960 Snapdragon S4 Plus,,Discontinued,"Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot",,,GSM 850 / 900 / 1800 / 1900,,,"540 x 960 pixels, 16:9 ratio (~256 ppi density)",Up to 10 h,"microSDHC (dedicated slot), 8 GB included","HSPA, LTE",No,"2012, September. Released 2012, September",,GSM / HSPA / LTE,,0.66 W/kg (head)     1.02 W/kg (body),Pantech,Adreno 225,https://fdn2.gsmarena.com/vv/bigpic/pantech-flex.jpg,"4.3 inches, 51.0 cm2(~58.5% screen-to-body ratio)",Pantech Flex  P8010,Up to 21 h,,Gray,Super AMOLED Advanced,,,129.8 x 67.1 x 7.9 mm (5.11 x 2.64 x 0.31 in),8GB 1GB RAM,microUSB 2.0,,GPS,No,HSDPA 850 / 1900 / 2100,,1080p@30fps,"Li-Ion 1830 mAh, removable",,"Accelerometer, proximity, compass",
No,,,Up to 250 h,,,,Yes,"2.1, A2DP, EDR",Yes + downloadable,,,,,,,Yes,QWERTY,Mini-SIM,3.15 MP,128 g (4.52 oz),Qualcomm QSC 6270,Yes,Discontinued,No,,,GSM 850 / 900 / 1800 / 1900,,,"240 x 320 pixels, 4:3 ratio (~125 ppi density)",Up to 3 h,microSDHC (dedicated slot),HSPA,,"2012, July. Released 2012, July",,GSM / HSPA,SNS applicationsMP4/H.264/WMV playerMP3/WMA/WAV/eAAC+ playerDocument viewerOrganizerVoice memo/dialPredictive text input,,Pantech,,https://fdn2.gsmarena.com/vv/bigpic/pantech-renue.jpg,"3.2 inches, 31.7 cm2(~50.8% screen-to-body ratio)",Pantech Renue,,"SMS(threaded view), MMS, Email, IM",Black,"TFT, 256K colors","Yes, Photocall",,99 x 63 x 12 mm (3.90 x 2.48 x 0.47 in),185MB 256MB RAM,microUSB 2.0,,"GPS, A-GPS",No,HSDPA 850 / 1900,,320p,Removable Li-Ion 1000 mAh battery,,"Accelerometer, proximity",No
MP4/H.264/WMV playerMP3/WMA/WAV/eAAC+ playerDocument viewerOrganizerVoice memo/dial/commandsPredictive text input,,Dual-core 1.2 GHz,Up to 533 h,13,Yes,,Yes,"4.0, A2DP",,Android 4.0 (Ice Cream Sandwich),,,,,,Yes,QWERTY,Mini-SIM,"5 MP, AF",173 g (6.10 oz),,,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot",,,CDMA 800 / 1900,,,"480 x 800 pixels, 5:3 ratio (~246 ppi density)",Up to 8 h 10 min,microSDHC (dedicated slot),"EV-DO Rev.A 3.1 Mbps, LTE",,"2012, July. Released 2012, August",,CDMA / EVDO / LTE,,0.63 W/kg (head)     0.89 W/kg (body),Pantech,,https://fdn2.gsmarena.com/vv/bigpic/pantech-marauder.jpg,"3.8 inches, 41.1 cm2(~49.0% screen-to-body ratio)",Pantech Marauder,,,Black,"TFT, 256K colors",,,129 x 65 x 12 mm (5.08 x 2.56 x 0.47 in),4GB 1GB RAM,microUSB 2.0,,"GPS, A-GPS",No,CDMA2000 1xEV-DO,,720p,Removable Li-Ion 1680 mAh battery,,"Accelerometer, proximity, compass",
Touchless UX UI,LED flash,Dual-core 1.5 GHz Krait,,LTE 800,2 MP,,Yes,"4.0, A2DP",,Android 4.0 (Ice Cream Sandwich),,,,About 340 EUR,,Yes,,Mini-SIM,"8 MP, AF",134.1 g (4.73 oz),Qualcomm MSM8960 Snapdragon S4 Plus,,Discontinued,"Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot",,,CDMA 800 / 1900,,,"720 x 1280 pixels, 16:9 ratio (~306 ppi density)",,microSDHC (dedicated slot),"HSPA, LTE",,"2012, May. Released 2012, May",,CDMA / HSPA / LTE,T-DMB TV tunerMP4/H.264/WMV/DviX/XviD playerMP3/WMA/WAV/eAAC+ playerDocument viewer/editorOrganizerVoice memo/dial/commandsPredictive text input,,Pantech,Adreno 225,https://fdn2.gsmarena.com/vv/bigpic/pantech-vega-racer-2.jpg,"4.8 inches, 63.5 cm2(~69.6% screen-to-body ratio)",Pantech Vega Racer 2 IM-A830L,,,"Black, White",Super IPS LCD,,,132.4 x 68.9 x 9.4 mm (5.21 x 2.71 x 0.37 in),16GB 1GB RAM,microUSB 2.0 (MHL TV-out),,"GPS, A-GPS",No,HSDPA 2100,,1080p@30fps,Removable Li-Ion 2020 mAh battery,,"Accelerometer, gyro, proximity, compass",
Touchless UX UI,LED flash,Dual-core 1.5 GHz,Up to 174 h,LTE 800,Yes,,Yes,"3.0, A2DP",,Android 2.3 (Gingerbread),0.64 W/kg (head),,,About 230 EUR,,Yes,,Mini-SIM,"8 MP, AF",136.2 g (4.80 oz),,,Discontinued,"Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot",,,CDMA 800 / 1900,,,"800 x 1280 pixels, 16:10 ratio (~335 ppi density)",Up to 6 h 25 min,microSDHC (dedicated slot),"HSPA, LTE",Yes,"2012, January. Released 2012, January",,CDMA / HSPA / LTE,T-DMB TV tunerMP4/H.264/WMV/DviX/XviD playerMP3/WMA/WAV/eAAC+ playerDocument viewer/editorOrganizerVoice memo/dial/commandsPredictive text input,,Pantech,,https://fdn2.gsmarena.com/vv/bigpic/Pantech-Vega-LTE-EX.jpg,"4.5 inches, 58.7 cm2(~62.5% screen-to-body ratio)",Pantech Vega LTE EX IM-A820L,,,"Black, White",Super IPS LCD,,,134.5 x 69.8 x 9.7 mm (5.30 x 2.75 x 0.38 in),16GB 1GB RAM,microUSB 2.0 (MHL TV-out),,"GPS, A-GPS",No,HSDPA 2100,,1080p@30fps,Removable Li-Ion 1830 mAh battery,,"Accelerometer, gyro, proximity, compass",
MP4/WMV/H.264 playerMP3/WAV/eAAC+ playerOrganizerPhoto/video editorDocument viewerVoice memo/dialPredictive text input,LED flash,Dual-core 1.5 GHz Scorpion,Up to 240 h,"4, 17",VGA,,Yes,"3.0, A2DP",,"Android 2.3.5 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich)",,,,About 270 EUR,,Yes,,Micro-SIM,"5 MP, AF",122.5 g (4.30 oz),Qualcomm MSM8660 Snapdragon S3,,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,,GSM 850 / 900 / 1800 / 1900,Endurance rating 31h,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",Up to 4 h 30 min,microSDHC (dedicated slot),"HSPA, LTE",,"2012, January. Released 2012, January",,GSM / HSPA / LTE,,,Pantech,Adreno 220,https://fdn2.gsmarena.com/vv/bigpic/pantech-burst.jpg,"4.0 inches, 45.5 cm2(~57.6% screen-to-body ratio)",Pantech Burst,,,"Titanium, Ruby Red","Super AMOLED, 256K colors",,,126.5 x 62.5 x 11.4 mm (4.98 x 2.46 x 0.45 in),16GB 1GB RAM,microUSB 2.0,,"GPS, A-GPS",No,HSDPA 850 / 1900 / 2100,,720p@30fps,Removable Li-Ion 1650 mAh battery,,"Accelerometer, proximity, compass",
