,Features,CPU,4G bands,Single_1,Stand-by,Loudspeaker,Bluetooth,Games,OS,_2,_3,3.5mm jack,Keyboard,SIM,Single,Weight,Chipset,Call records,Status,WLAN,Infrared port,2G bands,Features_1,Resolution,Talk time,Card slot,Languages,Speed,NFC,Build,Announced,Video_1,Technology,_1,Brand,Protection,GPU,Model Image,Size,Model Name,Messaging,Colors,Type,Phonebook,GPRS,Dimensions,Internal,USB,EDGE,Positioning,Radio,3G bands,Charging,Video,Type_1,_4,Sensors,Java
IP68 dust/water resistant (up to 1.5m for 30 min)Flashlight,LED flash,,"2, 4, 5, 12, 13, 17, 26, 41, 66",1.3 MP,,Yes,Yes,No,,,,Yes,,Nano-SIM + Nano-SIM,2 MP,109 g (3.84 oz),Unisoc T107,Yes,"Available. Released 2022, January 18",No,,GSM 850 / 900 / 1800 / 1900,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",,microSDHC,,"HSPA 21.1/5.76 Mbps, LTE",No,,"2022, January 18",,GSM / HSPA / LTE,,Plum,,,https://fdn2.gsmarena.com/vv/bigpic/plum-ram10.jpg,"2.4 inches, 17.8 cm2(~20.8% screen-to-body ratio)",Plum Ram 10 LTE,SMS,"Black, Black/Orange","TFT LCD, 256K colors",Yes,,133.4 x 64.4 x 15.8 mm (5.25 x 2.54 x 0.62 in),"128MB, 48MB RAM",microUSB 2.0,,No,"FM radio, built-in antenna",HSDPA 850 / 1900 / 2100,,Yes,"Li-Ion 1700 mAh, removable",,,No
IP68 dust/water resistant (up to 1.5m for 30 min)Flashlight,LED flash,,"2, 4, 5, 12, 13, 17, 26, 41, 66",,,Yes,Yes,No,,,,Yes,,Nano-SIM + Nano-SIM,2 MP,108.4 g (3.81 oz),Unisoc T107,Yes,"Available. Released 2022, February 02",No,,GSM 850 / 900 / 1800 / 1900,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",,microSDHC,,"HSPA 21.1/5.76 Mbps, LTE",No,,"2022, February 02",,GSM / HSPA / LTE,"External display: 1.44 inches, 128 x 128 pixels",Plum,,,https://fdn2.gsmarena.com/vv/bigpic/plum-ram-plus-.jpg,"2.4 inches, 17.8 cm2(~27.8% screen-to-body ratio)",Plum Ram Plus LTE,SMS,"Black, Black/Orange","TFT LCD, 256K colors",Yes,,111.5 x 57.5 x 22 mm (4.39 x 2.26 x 0.87 in),"128MB, 48MB RAM",microUSB 2.0,,No,"FM radio, built-in antenna",HSDPA 850 / 1900 / 2100,,Yes,"Li-Ion 1200 mAh, removable",,,No
"External display: 1.77 inches, 128 x 160 pixels",LED flash,,"2, 4, 5, 12, 17, 41, 66",,,Yes,Yes,No,,,,Yes,,Nano-SIM + Nano-SIM,0.3 MP,80 g (2.82 oz),,Yes,"Available. Released 2022, February 02",No,,GSM 850 / 900 / 1800 / 1900,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",,microSDHC,,"HSPA 21.1/5.76 Mbps, LTE",No,,"2022, February 02",,GSM / HSPA / LTE,,Plum,,,https://fdn2.gsmarena.com/vv/bigpic/plum-flipper.jpg,"2.4 inches, 17.8 cm2(~32.7% screen-to-body ratio)",Plum Flipper LTE,SMS,"Black, Pink, Blue","TFT LCD, 256K colors",Yes,,103 x 53 x 21.2 mm (4.06 x 2.09 x 0.83 in),"128MB, 64MB RAM",microUSB 2.0,,No,"FM radio, built-in antenna",HSDPA 850 / 1900 / 2100,,Yes,"Li-Ion 1000 mAh, removable",,,No
IP68 dust/water resistant (up to 1.2m for 30 min)Drop resistant up to 1.8m,LED flash,Quad-core 1.3 GHz Cortex-A7,"2, 4, 5, 7, 12, 17, 25, 26, 28, 41, 66",2 MP,,Yes,"4.0, A2DP, LE",,Android 10 (Go edition),,,Yes,,Nano-SIM + Nano-SIM,"8 MP, AF",225 g (7.94 oz),Mediatek MT6580 (28 nm),,"Available. Released 2020, March 01",Wi-Fi 802.11 b/g/n,,GSM 850 / 900 / 1800 / 1900,,"720 x 1440 pixels, 18:9 ratio (~293 ppi density)",,microSDXC,,"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat13 400/150 Mbps",No,,"2020, February 01",480p@30fps,GSM / HSPA / LTE,eMMC 5.1,Plum,Corning Gorilla Glass 3,Mali-400 MP2,https://fdn2.gsmarena.com/vv/bigpic/plum-gator-6.jpg,"5.5 inches, 78.1 cm2(~67.9% screen-to-body ratio)",Plum Gator 6,,"Black, Yellow",IPS LCD,,,152.2 x 75.5 x 14 mm (5.99 x 2.97 x 0.55 in),16GB 3GB RAM,"microUSB 2.0, OTG",,GPS,FM radio,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,720p@30fps,Li-Po 4400 mAh,,"Accelerometer, proximity, compass",
IP68 dust/water resistant (up to 1.5m for 30 min)Flashlight,LED flash,Dual-core,"1, 3, 5, 7, 8, 20, 28, 38, 40",1.3 MP,,Yes,4.0,,KaiOS 2.5,,,Yes,,Nano-SIM + Nano-SIM,5 MP,109 g (3.84 oz),Mediatek MT6572M,,"Available. Released 2020, April",Wi-Fi 802.11 b/g/n,,GSM 850 / 900 / 1800 / 1900,LED flash,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",,microSDHC,,"HSPA 21.1/5.76 Mbps, LTE",No,,"2020, February 10",,GSM / HSPA / LTE,"Facebook, Whatsapp, Youtube, Google Assist",Plum,,,https://fdn2.gsmarena.com/vv/bigpic/plum-ram9.jpg,"2.4 inches, 17.8 cm2(~20.8% screen-to-body ratio)",Plum Ram 9,,"Black, Black/Orange","TFT LCD, 256K colors",,,133.4 x 64.4 x 15.8 mm (5.25 x 2.54 x 0.62 in),4GB 512MB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 850 / 1900 / 2100,,480p,"Li-Ion 1700 mAh, removable",,,
IP69 dust/water resistant (up to 1.5m for 35 min)Drop resistant up to 1.8mMIL-STD-810H compliant,"LED flash, panorama",Quad-core 2.0 GHz Cortex-A53,"2, 4, 5, 7, 12, 17, 25, 26, 28, 41, 66",5 MP,,Yes,"5.0, A2DP, LE",,Android 11,,,Yes,,Nano-SIM + Nano-SIM,"8 MP, AF",261 g (9.21 oz),Mediatek MT6761V/WE (14 nm),,"Available. Released 2021, September 01","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,GSM 850 / 900 / 1800 / 1900,,"720 x 1440 pixels, 18:9 ratio (~282 ppi density)",,microSDXC (dedicated slot),,"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat13 400/150 Mbps",Yes (market/region dependent),"Glass front (Dragontrail Glass), plastic frame, plastic back","2021, September 01",720p@30fps,GSM / HSPA / LTE,eMMC 5.1,Plum,Dragontrail Glass,PowerVR GE8300,https://fdn2.gsmarena.com/vv/bigpic/plum-gator7.jpg,"5.7 inches, 83.8 cm2(~68.2% screen-to-body ratio)",Plum Gator 7,,"Black, Orange",IPS LCD,,,157.5 x 78.1 x 13.7 mm (6.20 x 3.07 x 0.54 in),32GB 3GB RAM,"microUSB 2.0, OTG",,"GPS, GLONASS, GALILEO, BDS",FM radio,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,1080p@30fps,Li-Po 5580 mAh,,"Accelerometer, gyro, proximity, compass",
No,,1.2 GHz Cortex-A7,,,Up to 240 h (2G) / Up to 200 h (3G),Yes,2.0,Yes,,,,Yes,,"Dual SIM (Mini-SIM/Micro-SIM, dual stand-by)",1.3 MP,85 g (3.00 oz),Spreadtrum 7715A,Yes,"Available. Released 2019, January",No,,GSM 850 / 900 / 1800 / 1900,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Up to 4 h 30 min (2G) / Up to 4 h 30 min (3G),microSDHC,,"Yes, 384 kbps",No,,"2019, January",,GSM / HSPA,,Plum,,Mali-400,https://fdn2.gsmarena.com/vv/bigpic/plum-tag2-3g.jpg,"2.4 inches, 17.8 cm2(~27.4% screen-to-body ratio)",Plum Tag 2 3G,"SMS, MMS, Email, WhatsApp, Facebook","Red, Blue, Orange","TFT, 256K colors",Yes,,123 x 53 x 13.7 mm (4.84 x 2.09 x 0.54 in),512MB 256MB RAM,microUSB 2.0,,No,"FM Radio, built-in antenna",HSDPA 850 / 1900,,Yes,"Li-Ion 800 mAh, removable",,,Yes
,LED flash,Quad-core 1.3 GHz Cortex-A7,,5 MP,Up to 200 h (3G),Yes,"4.0, A2DP",,Android 8.0 Oreo (Go edition),,,Yes,,Nano-SIM + Micro-SIM,8 MP,195 g (6.88 oz),Mediatek MT6580A (28 nm),,"Available. Released 2019, January","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,GSM 850 / 900 / 1800 / 1900,,"480 x 960 pixels, 18:9 ratio (~188 ppi density)",Up to 5 h 30 min (3G),microSDHC,,HSPA 21.1/5.76 Mbps,No,,"2018, December",720p@30fps,GSM / HSPA,,Plum,,Mali-400,https://fdn2.gsmarena.com/vv/bigpic/plum-z621-phantom-2.jpg,"5.72 inches, 84.4 cm2(~71.5% screen-to-body ratio)",Plum Phantom 2,,"Black, Gold",IPS LCD,,,155.9 x 75.8 x 10.4 mm (6.14 x 2.98 x 0.41 in),8GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 850 / 1900 / 2100,,1080p@30fps,"Li-Ion 2700 mAh, removable",,Accelerometer,
,LED flash,Quad-core 1.3 GHz Cortex-A7,,2 MP,Up to 72 h,Yes,"4.0, A2DP",,Android 8.0 Oreo (Go edition),,,Yes,,"Dual SIM (Mini-SIM, dual stand-by)",5 MP,510 g (1.12 lb),Spreadtrum SC7731,,"Available. Released 2019, January","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,GSM 850 / 900 / 1800 / 1900,,"800 x 1280 pixels, 16:10 ratio (~149 ppi density)",Up to 3 h 30 min,microSDHC,,HSPA 21.1/5.76 Mbps,No,,"2018, December",480p@30fps,GSM / HSPA,,Plum,,Mali-400,https://fdn2.gsmarena.com/vv/bigpic/plum-optimax13.jpg,"10.1 inches, 295.8 cm2(~74.3% screen-to-body ratio)",Plum Optimax 13,,"Black, White, Gold",IPS LCD,,,250.8 x 158.8 x 10.2 mm (9.87 x 6.25 x 0.40 in),8GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 850 / 1900 / 2100,,720p@30fps,"Li-Ion 4700 mAh, non-removable",,Accelerometer,
Flashlight,,,,,Up to 150 h,Yes,2.0,No,,MP3/WAV/AAC playerPhoto/video editorDocument viewer,,No,,Dual SIM,1.3 MP,76 g (2.68 oz),Mediatek MT6261D,Yes,"Available. Released 2018, December",No,,GSM 850 / 900 / 1800 / 1900,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Up to 4 h,microSDHC,,,No,,"2018, December",,GSM,No,Plum,,,https://fdn2.gsmarena.com/vv/bigpic/plum-flipper-2.jpg,"2.4 inches, 17.8 cm2(~34.3% screen-to-body ratio)",Plum Flipper 2,SMS,"Black, Red, Blue","TFT, 65K colors",Yes,Yes,99.9 x 52 x 14.9 mm (3.93 x 2.05 x 0.59 in),"32MB ROM, 32MB RAM",microUSB 2.0,No,No,FM radio,,,Yes,"Li-Ion 750 mAh, removable",,,No
