,CPU,Features,4G bands,Single_1,Stand-by,OS,Loudspeaker,Bluetooth,Games,3.5mm jack,SIM,Single,Weight,Chipset,Call records,Status,WLAN,2G bands,Features_1,Resolution,Talk time,Card slot,Speed,NFC,Announced,Video_1,Technology,_1,Brand,GPU,Model Image,Size,Model Name,Messaging,Colors,Type,Phonebook,GPRS,Dimensions,Internal,USB,EDGE,Positioning,Radio,3G bands,Charging,Video,Type_1,Sensors,Java
HSDPA 900 / 1900 / 2100 - L600B,Quad-core 1.0 GHz Cortex-A53,LED flash,"2, 4, 5, 7, 17 - L600A",5 MP,Up to 180 h (3G),Android 5.1 (Lollipop),Yes,"4.0, A2DP",,Yes,Dual SIM,"8 MP, AF",187.6 g (6.63 oz),Mediatek MT6735 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"720 x 1280 pixels, 16:9 ratio (~245 ppi density)",Up to 5 h 30 min (3G),microSDXC,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",No,"2016, August. Released 2016, December",,GSM / HSPA / LTE,"1, 3, 7, 8, 20 - L600B",Posh,Mali-T720,https://fdn2.gsmarena.com/vv/bigpic/posh-l600.jpg,"6.0 inches, 99.2 cm2(~71.8% screen-to-body ratio)",Posh Memo Pro LTE L600,,"Black, White",IPS LCD,,,161.5 x 85.6 x 7.9 mm (6.36 x 3.37 x 0.31 in),16GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 850 / 1700 / 2100 - L600A,,1080p@30fps,Li-Po 2700 mAh battery,Accelerometer,
,Quad-core 1.3 GHz Cortex-A7,LED flash,,2 MP,Up to 176 h (3G),Android 6.0 (Marshmallow),Yes,"4.1, A2DP, LE",,Yes,Dual SIM,5 MP,275 g (9.70 oz),Mediatek MT8321 (28 nm),,Discontinued,Wi-Fi 802.11 b/g/n,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",Up to 5 h (3G),microSDXC,HSPA,No,"2016, September. Released 2017, January",,GSM / HSPA,,Posh,Mali-400,https://fdn2.gsmarena.com/vv/bigpic/posh-x700.jpg,"7.0 inches, 137.9 cm2(~66.5% screen-to-body ratio)",Posh Equal Plus X700,,"Black, Silver, Rose Gold",IPS LCD,,,192.1 x 107.9 x 9.9 mm (7.56 x 4.25 x 0.39 in),16GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 850 / 1900 / 2100,,Yes,Li-Po 2650 mAh battery,Accelerometer,
eMMC 5.0,Quad-core 1.25 GHz Cortex-A53,LED flash,"2, 3, 4, 7, 17, 12, 20",2 MP,Up to 180 h (3G),Android 6.0 (Marshmallow),Yes,"4.1, A2DP, LE",,Yes,Dual SIM,"8 MP, AF",177 g (6.24 oz),Mediatek MT6737 (28 nm),,Discontinued,Wi-Fi 802.11 b/g/n,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Up to 5 h 30 min (3G),microSDXC,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",No,"2016, August. Released 2016, December",,GSM / HSPA / LTE,,Posh,Mali-T720,https://fdn2.gsmarena.com/vv/bigpic/posh-um-l550.jpg,"5.5 inches, 83.4 cm2(~71.4% screen-to-body ratio)",Posh Ultra Max LTE L550,,"Black, Gold, White",IPS LCD,,,152.1 x 76.8 x 7.3 mm (5.99 x 3.02 x 0.29 in),16GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 850 / 1900 / 2100,,1080p@30fps,Li-Po 2700 mAh battery,"Accelerometer, proximity",
,Quad-core 1.0 GHz Cortex-A53,"LED flash, HDR, panorama","2, 4, 7, 17",5 MP,,Android 6.0 (Marshmallow),Yes,"4.0, A2DP, EDR",,Yes,"Dual SIM (Micro-SIM, dual stand-by)","8 MP, AF",130 g (4.59 oz),Mediatek MT6735P (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,microSDHC,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",No,"2015, November. Released 2016, April",,GSM / HSPA / LTE,,Posh,Mali-T720MP2,https://fdn2.gsmarena.com/vv/bigpic/posh-Kick_Pro_LTE_L520.jpg,"5.0 inches, 68.9 cm2(~67.6% screen-to-body ratio)",Posh Kick Pro LTE L520,,"White, Gold, Gray",IPS LCD,,,142.5 x 71.5 x 8.6 mm (5.61 x 2.81 x 0.34 in),8GB 1GB RAM,microUSB 2.0,,GPS,No,HSDPA 850 / 1700(AWS) / 1900 / 2100,,1080p@30fps,"Li-Ion 2000 mAh, removable","Accelerometer, proximity",
,Octa-core 1.3 GHz Cortex-A53,"Dual-LED flash, panorama, HDR","2, 4, 7, 17","13 MP, f/2.2, 1/3"", AF",Up to 400 h (2G) / Up to 300 h (3G),Android 5.1 (Lollipop),Yes,"4.0, A2DP, EDR",,Yes,"Dual SIM (Micro-SIM, dual stand-by)","13 MP, f/2.2, 1/3.1"", 1.12µm, AF",133 g (4.69 oz),Mediatek MT6753 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Up to 10 h (2G) / Up to 8 h (3G),microSDHC,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",No,"2016, February. Released 2016, April",,GSM / HSPA / LTE,,Posh,Mali-400,https://fdn2.gsmarena.com/vv/bigpic/posh-Optima_LTE_L530.jpg,"5.0 inches, 68.9 cm2(~69.2% screen-to-body ratio)",Posh Optima LTE L530,,"Black, Gold",IPS LCD,,,143.5 x 69.4 x 8 mm (5.65 x 2.73 x 0.31 in),16GB 2GB RAM,"microUSB 2.0, OTG",,GPS,No,HSDPA 850 / 1900 / 2100,,1080p@30fps,"Li-Po 3000 mAh, non-removable","Accelerometer, proximity, compass",
,Quad-core 1.3 GHz Cortex-A7,"LED flash, HDR, panorama",,2 MP,Up to 700 h (2G) / Up to 250 h (3G),Android 5.1 (Lollipop),Yes,"4.0, A2DP, EDR",,Yes,"Dual SIM (Micro-SIM/ Mini-SIM, dual stand-by)","8 MP, AF",115 g (4.06 oz),Mediatek MT6580A (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Up to 22 h (2G) / Up to 12 h (3G),microSDHC,HSPA 21.1/5.76 Mbps,No,"2015, November. Released 2016, January",,GSM / HSPA,,Posh,Mali-400MP2,https://fdn2.gsmarena.com/vv/bigpic/posh-Icon_HD_X551.jpg,"5.5 inches, 83.4 cm2(~68.9% screen-to-body ratio)",Posh Icon HD X551,,"Dark Grey, White, Gold, Rose Gold, Silver",IPS LCD,,,153.2 x 79 x 8.2 mm (6.03 x 3.11 x 0.32 in),16GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 850 / 1900 / 2100,,1080p@30fps,"Li-Po 2100 mAh, removable","Accelerometer, proximity, compass",
,Quad-core 1.0 GHz Cortex-A53,"LED flash, panorama, HDR","2, 3, 4, 7, 17","5 MP, f/2.2, 1/5.0"", 1.12µm",Up to 600 h (2G) / Up to 300 h (3G),Android 5.1 (Lollipop),Yes,"4.0, A2DP, LE",,Yes,"Dual SIM (Micro-SIM, dual stand-by)","8 MP, f/2.4, 1/4.0"", 1.12µm, AF",167.5 g (5.93 oz),Mediatek MT6735P (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Up to 16 h (2G) / Up to 12 h (3G),microSDXC,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",No,"2016, March. Released 2016, May",,GSM / HSPA / LTE,,Posh,Mali-T720MP2,https://fdn2.gsmarena.com/vv/bigpic/posh-Volt_LTE_L540.jpg,"5.0 inches, 68.9 cm2(~66.6% screen-to-body ratio)",Posh Volt LTE L540,,"Grey, Gold, Rose Gold",IPS LCD,,,143.8 x 72 x 10 mm (5.66 x 2.83 x 0.39 in),16GB 3GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 850 / 1900 / 2100,10W wired,1080p@30fps,"Li-Po 4000 mAh, non-removable","Accelerometer, proximity",
,Octa-core 1.3 GHz Cortex-A53,"LED flash, panorama, HDR","2, 3, 4, 7, 17","8 MP, f/2.2, 1/4.0"", 1.12µm",Up to 600 h (2G) / Up to 400 h (3G),Android 5.1 (Lollipop),Yes,"4.1, A2DP, LE",,Yes,"Dual SIM (Micro-SIM, dual stand-by)","13 MP, f/2.4, 1/3.1"", 1.12µm, AF",230 g (8.11 oz),Mediatek MT6753 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"1280 x 1920 pixels, 3:2 ratio (~358 ppi density)",Up to 16 h (2G) / Up to 8 h (3G),No,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",No,"2016, March. Released 2016, June",,GSM / HSPA / LTE,,Posh,Mali-T760MP2,https://fdn2.gsmarena.com/vv/bigpic/posh-Volt_Max_LTE_L640.jpg,"6.44 inches, 123.5 cm2(~78.6% screen-to-body ratio)",Posh Volt Max LTE L640,,"Grey, Gold, Rose Gold",IPS LCD,,,176 x 89.3 x 8.1 mm (6.93 x 3.52 x 0.32 in),"32GB 3GB RAM, 64GB 3GB RAM","microUSB 2.0, OTG",,GPS,No,HSDPA 850 / 1900 / 2100,10W wired,1080p@30fps,"Li-Po 6000 mAh, non-removable","Accelerometer, proximity, compass",
,Quad-core 1.0 GHz Cortex-A53,"LED flash, HDR, panorama","2, 4, 7, 17",2 MP,Up to 900 h (2G) / Up to 800 h (3G),Android 5.1 (Lollipop),Yes,"4.0, A2DP, LE",,Yes,"Dual SIM (Micro-SIM/ Mini-SIM, dual stand-by)","5 MP, AF",248 g (5.22 oz),Mediatek MT8735P,,Discontinued,"Wi-Fi 802.11 a/b/g/n, hotspot",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"720 x 1280 pixels, 16:9 ratio (~211 ppi density)",Up to 24 h (2G) / Up to 15 h (3G),microSDHC,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",No,"2016, February. Released 2016, March",,GSM / HSPA / LTE,,Posh,Mali-T720MP2,https://fdn2.gsmarena.com/vv/bigpic/posh-Equal_Pro_LTE_L700.jpg,"6.95 inches, 133.2 cm2(~68.3% screen-to-body ratio)",Posh Equal Pro LTE L700,,"Black, White, Blue",IPS LCD,,,192 x 101.6 x 8.4 mm (7.56 x 4.0 x 0.33 in),16GB 1GB RAM,"microUSB 2.0, OTG",,GPS,FM radio,HSDPA 850 / 1900 / 2100,,1080p@30fps,"Li-Po 2800 mAh, non-removable","Accelerometer, compass",
HSDPA 850 / 2100 - C353B,1.0 GHz,,,VGA,Up to 260 h (2G) / Up to 220 h (3G),Android 4.4.2 (KitKat),"Yes, with stereo speakers","2.1, EDR",,Yes,"Dual SIM (Mini-SIM, dual stand-by)",VGA,96.1 g (3.39 oz),Spreadtrum SC7715,,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",Up to 5 h 30 min (2G) / Up to 5 h (3G),microSDHC,HSPA 21.1/5.76 Mbps,No,"2015, May. Released 2015, August",,GSM / HSPA,,Posh,,https://fdn2.gsmarena.com/vv/bigpic/posh-plus-c353.jpg,"3.5 inches, 36.5 cm2(~49.9% screen-to-body ratio)",Posh Primo Plus C353,,"Black, White, Blue, Pink, Yellow",TFT,,,116 x 63 x 10.4 mm (4.57 x 2.48 x 0.41 in),512MB 256MB RAM,microUSB 2.0,,No,FM radio,HSDPA 850 / 1900 - C353A,,Yes,Li-Po 1300 mAh battery,Accelerometer,
