Features,,CPU,Single_1,Stand-by,Alert types,Loudspeaker,Bluetooth,Games,SAR EU,OS,Stand-by_1,_2,Price,_3,3.5mm jack,SIM,Single,Weight,Call records,Status,WLAN,Infrared port,Talk time_1,2G bands,Browser,Resolution,Talk time,Card slot,Alarm,Speed,Announced,Video_1,Technology,_1,Clock,Brand,Protection,Model Image,Size,Model Name,Music play,Messaging,Colors,Type,Phonebook,GPRS,Dimensions,Internal,USB,EDGE,Positioning,Radio,3G bands,Video,Type_1,_4,Sensors,Java
LED flash,"Integrated solar cell with charge indicatorBike Tracker, Run Tracker, PedometerPUMA services",,VGA,Up to 350 h,,Yes,"2.1, A2DP",Yes,,,,,About 400 EUR,,Yes,Mini-SIM,3.15 MP,115 g (4.06 oz),"20 dialed, 20 received, 20 missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,"WAP 2.0/xHTML, HTML","240 x 320 pixels, 4:3 ratio (~143 ppi density)",Up to 5 h (2G) / Up to 4 h (3G),"microSDHC (dedicated slot), 2 GB included",,HSPA 7.2/2 Mbps,"2010, February. Released 2010, August",,GSM / HSPA,,,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/sagem-puma-phone.jpg,"2.8 inches, 24.3 cm2(~42.5% screen-to-body ratio)",Sagem Puma Phone,Up to 24 h,"SMS, MMS, Email, IM",Black,"TFT resistive touchscreen, 256K colors",Yes,,102 x 56 x 13 mm (4.02 x 2.20 x 0.51 in),,2.0,,"GPS, A-GPS","Stereo FM radio, RDS",HSDPA 900 / 2100,Yes,Removable Li-Ion 880 mAh battery,,"Accelerometer, compass","Yes, MIDP 2.0"
,No,,,Up to 250 h,,No,Yes,Yes,,,,,,,No,Mini-SIM,1.3 MP,95 g (3.35 oz),"20 dialed, 20 received, 20 missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,176 x 220 pixels (~141 ppi density),Up to 3 h 30 min,microSD (dedicated slot),,,"2008, September. Released 2008, October",,GSM,MP3/AAC playerPredictive text inputOrganizer,,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/sagem-my421z.jpg,"2.0 inches, 12.6 cm2(~28.2% screen-to-body ratio)",Sagem my421z,,"SMS, EMS, MMS","Black, Silver, Pink","TFT, 256K colors",Yes,Yes,97 x 46 x 14 mm (3.82 x 1.81 x 0.55 in),,Proprietary,No,No,No,,Yes,Removable Li-Ion battery,,,"Yes, MIDP 2.0"
,No,,,Up to 220 h,Vibration; Polyphonic ringtones,Yes,Yes,Yes,,,,,,,No,Mini-SIM,1.3 MP,81 g (2.86 oz),"20 dialed, 20 received, 20 missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,"120 x 160 pixels, 4:3 ratio",Up to 3 h,microSD (dedicated slot),,,"2008, February. Released 2008, April",,GSM,MP3 playerPredictive text inputOrganizerVoice memo,,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/sagem-rg.jpg,,Sagem Roland Garros,,"SMS, MMS",Black,"TFT, 65K colors",Yes,Yes,106.9 x 46.3 x 10.9 mm (4.21 x 1.82 x 0.43 in),13MB,Proprietary,No,No,No,,No,Removable Li-Ion battery,,,"Yes, MIDP 2.0"
,"spin-and-rotate displayexternal 65K TFT display, 72 x 96 pixel resolution",,,,Vibration; Polyphonic ringtones,Yes,"1.1, A2DP",Yes,,,,DVB-H receiver-decoderMP3 playerPredictive text inputOrganizerVoice memo,,,No,Mini-SIM,2 MP,-,"20 dialed, 20 received, 20 missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,"240 x 320 pixels, 4:3 ratio",Up to 5 h,microSD (dedicated slot),,,"2008, February. Released 2008, April",,GSM,No,,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/mymobile-tv.jpg,,Sagem myMobileTV 2,,"SMS, MMS, Email",Black,"TFT, 256K colors",Yes,Yes,-,25MB,Proprietary,No,No,No,,Yes,Removable Li-Ion battery,,,"Yes, MIDP 2.0"
,External monochrome display,,,Up to 210 h,,Yes,Yes,Yes,,,,MP3 playerOrganizerPredictive text input,,,No,Mini-SIM,VGA,87 g (3.07 oz),"20 dialed, 20 received, 20 missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,128 x 160 pixels,Up to 3 h,microSD (dedicated slot),,,"2008, February. Released 2008",,GSM,No,,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/sagem-my411c-oxbow.jpg,,Sagem my411C Oxbow,,"SMS, MMS",,"CSTN, 65K colors",Yes,Yes,91 x 46 x 16.5 mm (3.58 x 1.81 x 0.65 in),10MB,Proprietary,No,No,No,,Yes,Removable Li-Ion battery,,,No
,Music playerPredictive text inputOrganizer,,VGA videocall camera,Up to 300 h,Vibration; Polyphonic ringtones,Yes,"2.0, A2DP",Yes,,,,,,,No,Mini-SIM,2 MP,95 g (3.35 oz),"20 dialed, 20 received, 20 missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,"320 x 240 pixels, 4:3 ratio (~200 ppi density)",Up to 4 h 30 min,microSD (dedicated slot),,HSPA 3.6/0.384 Mbps,"2008, February. Released 2008",,GSM / HSPA,,,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/sagem-my855c.jpg,"2.0 inches, 12.4 cm2(~26.3% screen-to-body ratio)",Sagem my855c,,"SMS, MMS, Instant Messaging",,"TFT, 256K colors",Yes,,96 x 49 x 16 mm (3.78 x 1.93 x 0.63 in),,Proprietary,,No,No,HSDPA 2100,Yes,Removable Li-Ion battery,,,"Yes, MIDP 2.0"
,MP3 playerOrganizerVoice memoPredictive text input,,VGA videocall camera,Up to 280 h,,Yes,1.2,Yes,,,,,,,No,Mini-SIM,1.3 MP,105 g (3.70 oz),"30 dialed, 30 received, 30 missed calls",Cancelled,No,,,GSM 900 / 1800,WAP 2.0/xHTML,176 x 220 pixels,Up to 5 h,microSDHC (dedicated slot),,"Yes, 384 kbps","2007, October",,GSM / UMTS,,,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/sagem-my810x.jpg,,Sagem my810x,,"SMS, MMS",Black,"TFT, 256K colors",1000 entries,,104 x 48 x 16 mm (4.09 x 1.89 x 0.63 in),,1.1,,No,No,UMTS 2100,Yes,Removable Li-Ion battery,,,"Yes, MIDP 2.0"
LED flash,Music playerPredictive text inputOrganizer,,VGA videocall camera,Up to 300 h,Vibration; Polyphonic ringtones,Yes,Yes,Yes,,,,,,,No,Mini-SIM,3.15 MP,95 g (3.35 oz),"20 dialed, 20 received, 20 missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,"320 x 240 pixels, 4:3 ratio (~167 ppi density)",Up to 4 h 30 min,microSD (dedicated slot),,HSPA 3.6/0.384 Mbps,"2008, February. Released 2008",,GSM / HSPA,,,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/sagem-my750x.jpg,"2.4 inches, 17.8 cm2(~34.4% screen-to-body ratio)",Sagem my750x,,"SMS, MMS, Instant Messaging","Violet, Green, Red, Blue, Orange","TFT, 256K colors",Yes,,108 x 48 x 11 mm (4.25 x 1.89 x 0.43 in),,Proprietary,,No,"Stereo FM radio, RDS",HSDPA 2100,Yes,Removable Li-Ion battery,,,"Yes, MIDP 2.0"
,No,,,Up to 200 h,Vibration; Polyphonic ringtones,"Yes, with stereo speakers",Yes,Yes,,,,,,,No,Mini-SIM,3.15 MP,90 g (3.17 oz),"20 dialed, 20 received, 20 missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,176 x 220 pixels (~141 ppi density),Up to 3 h,microSD (dedicated slot),,,"2008, February. Released 2008, May",,GSM,Music playerPredictive text inputOrganizer,,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/sagem-my721x.jpg,"2.0 inches, 12.6 cm2(~23.4% screen-to-body ratio)",Sagem my721x,,"SMS, MMS, Instant Messaging","Black, Silver","TFT, 256K colors",Yes,Class 10,112 x 48 x 9.8 mm (4.41 x 1.89 x 0.39 in),,Proprietary,No,No,"Stereo FM radio, RDS",,Yes,Removable Li-Ion battery,,,"Yes, MIDP 2.0"
,Mirror effect,,,Up to 200 h,Vibration; Polyphonic ringtones,Yes,Yes,Yes,,,,Music playerPredictive text inputOrganizer,,,No,Mini-SIM,3.15 MP,125 g (4.41 oz),"20 dialed, 20 received, 20 missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,176 x 220 pixels (~128 ppi density),Up to 3 h,microSD (dedicated slot),,,"2008, February. Released 2008",,GSM,No,,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/sagem-my721z.jpg,"2.2 inches, 15.2 cm2(~27.6% screen-to-body ratio)",Sagem my721z,,"SMS, MMS, Instant Messaging",Silver,"TFT, 256K colors",Yes,Yes,106 x 52 x 12 mm (4.17 x 2.05 x 0.47 in),,Proprietary,No,No,"Stereo FM radio, RDS",,Yes,Removable Li-Ion battery,,,"Yes, MIDP 2.0"
