,Single_1,Alert types,OS,128GB 12GB RAM,Stand-by_1,3.5mm jack,Loudspeaker_1,Chipset,Call records,Status,Features_1,Display,128GB 8GB RAM,Browser,Talk time,Alarm,32GB 2GB RAM,Clock,_7,64GB 6GB RAM,256GB 8GB RAM,Music play,GPRS,EDGE,Radio,Charging,4G bands,Camera,Stand-by,64GB 4GB RAM,Price,_3,Keyboard,Dual,Single,Talk time_1,2G bands,Resolution,512GB 8GB RAM,128GB 4GB RAM,Announced,Technology,_1,SAR,_6,_8,GPU,Battery (new),Model Image,Size,Model Name,1TB 12GB RAM,64GB 3GB RAM,Phonebook,5G bands,Positioning,128GB 6GB RAM,Type_1,Java,Features,CPU,256GB 4GB RAM,SAR EU,_2,_9,SIM,Triple,Infrared port,Battery (old),16GB 2GB RAM,Card slot,Protection,Messaging,Dimensions,512GB 16GB RAM,Internal,USB,Models,512GB 12GB RAM,Loudspeaker,Bluetooth,_10,Games,Quad,Weight,WLAN,Video,Languages,Speed,Build,NFC,_5,16GB 1.5GB RAM,Brand,32GB 3GB RAM,256GB 12GB RAM,Audio quality,Colors,Type,Performance,Dual_1,3G bands,Video_1,_4,Sensors
IP48 water resistant (up to 1.5m for 30 min)Armor aluminum frame,,,"Android 14, up to 7 major Android upgrades, One UI 6.1.1",,,No,,Qualcomm SM8650-AC Snapdragon 8 Gen 3 (4 nm),,"Available. Released 2024, October 24",HDR,,,,,,,,,,,,,,No,"25W wired, QC2.0, 50% in 30 min15W wireless4.5W reverse wireless","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 38, 39, 40, 41, 66",,,,About 1870 EUR,32-bit/384kHz audioTuned by AKG,,,"4 MP, f/1.8, 26mm (wide), 2.0µmCover camera:10 MP, f/2.2, 24mm (wide), 1/3"", 1.22µm",,GSM 850 / 900 / 1800 / 1900,1968 x 2184 pixels (~367 ppi density),,,"2024, October 21",GSM / HSPA / LTE / 5G,"Ultra Flexible Glass (UFG)Cover display:Dynamic LTPO AMOLED 2X, 120Hz, 2600 nits (peak), Corning Gorilla Glass Victus 26.5 inches, 1080 x 2520 pixels",0.66 W/kg (head)     1.13 W/kg (body),,,Adreno 750 (1 GHz),,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-z-fold-special-edition.jpg,"8.0 inches, 205.3 cm2(~91.2% screen-to-body ratio)",Samsung Galaxy Z Fold Special,,,,"1, 2, 3, 5, 7, 8, 12, 20, 25, 26, 28, 38, 40, 41, 66, 77, 78 SA/NSA/Sub6","GPS, GALILEO, GLONASS, BDS, QZSS",,Li-Po 4400 mAh,,"LED flash, HDR, panorama",8-core (1x3.39GHz Cortex-X4 & 3x3.1GHz Cortex-A720 & 2x2.9GHz Cortex-A720 & 2x2.2GHz Cortex-A520),,,UFS 4.0,,Nano-SIM +eSIM+ eSIM (max 2 at a time),"200 MP, f/1.8, (wide), PDAF, OIS10 MP, f/2.4, 66mm (telephoto), 1.0µm, PDAF, OIS, 3x optical zoom12 MP, f/2.2, 123˚, 12mm (ultrawide), 1.12µm, AF",,,,No,,,Unfolded: 157.9 x 142.6 x 4.9 mmFolded: 157.9 x 72.8 x 10.6 mm,,512GB 16GB RAM,"USB Type-C 3.2, OTG",SM-F958N,,"Yes, with stereo speakers","5.3, A2DP, LE",,,,236 g (8.32 oz),"Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct","8K@30fps, 4K@60fps, 1080p@60/120/240fps (gyro-EIS), 720p@960fps (gyro-EIS), HDR10+",,"HSPA, LTE (CA), 5G","Glass front (Gorilla Glass Victus 2) (folded), plastic front (unfolded), glass back (Gorilla Glass Victus 2), aluminum frame",Yes,,,Samsung,,,,Black,"Foldable Dynamic LTPO AMOLED 2X, 120Hz, HDR10+, 2600 nits (peak)",,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"4K@30/60fps, 1080p@30/60fps, gyro-EIS",Samsung DeX (desktop experience support)Ultra Wideband (UWB) supportCircle to Search,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer"
"IP54, dust and splash resistant",,,"Android 14, up to 6 major Android upgrades, One UI 6.1",,,No,-25.2 LUFS (Very good),Mediatek Helio G99 (6 nm),,"Available. Released 2024, November 20",,808 nits max brightness (measured),,,,,,,,,,,,,FM radio (market/region dependent),25W wired,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",,,,€ 168.59 / $ 169.87 / £ 124.49,,,,"13 MP, f/2.0, (wide), 1/3.1"", 1.12µm",,GSM 850 / 900 / 1800 / 1900,"1080 x 2340 pixels, 19.5:9 ratio (~385 ppi density)",,€ 168.59,"2024, October 15",GSM / HSPA / LTE,Virtual proximity sensing,,,,Mali-G57 MC2,Active use score 14:43h,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a16-lte.jpg,"6.7 inches, 110.2 cm2(~86.0% screen-to-body ratio)",Samsung Galaxy A16,,,,,"GPS, GALILEO, GLONASS, BDS, QZSS",,5000 mAh,,"LED flash, panorama, HDR",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,0.31 W/kg (head)     1.08 W/kg (body),,,Nano-SIMNano-SIM + Nano-SIM,"50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, AF5 MP, f/2.2, (ultrawide), 1/5.0"", 1.12µm2 MP, f/2.4, (macro)",,,,microSDXC (uses shared SIM slot),,,164.4 x 77.9 x 7.9 mm (6.47 x 3.07 x 0.31 in),,"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 4GB RAM, 256GB 6GB RAM, 256GB 8GB RAM",USB Type-C 2.0,"SM-A165F, SM-A165F/DS, SM-A165M, SM-A165M/DS",,Yes,"5.3, A2DP, LE",,,,200 g (7.05 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",1080p@30fps,,"HSPA, LTE","Glass front, plastic back, plastic frame",Yes (market/region dependent),,,Samsung,,,,"Gray, water green, midnight blue","Super AMOLED, 90Hz",AnTuTu: 387422 (v10)GeekBench: 1920 (v6)3DMark: 345 (Wild Life Extreme),,HSDPA 850 / 900 / 2100,1080p@30fps,,"Fingerprint (side-mounted), accelerometer, compass"
"IP54, dust and splash resistant",,,"Android 14, up to 6 major Android upgrades, One UI 6.1",,,No,-25.7 LUFS (Very good),Exynos 1330 (5 nm) or Mediatek Dimensity 6300 (6 nm),,"Available. Released 2024, October 25",,824 nits max brightness (measured),,,,,,,,,€ 225.00,,,,No,25W wired,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 38, 40, 41, 66",,,,"€ 167.29 / $ 208.00 / £ 151.00 / ₹ 16,499",,,,"13 MP, f/2.0, (wide), 1/3.1"", 1.12µm",,GSM 850 / 900 / 1800 / 1900,"1080 x 2340 pixels, 19.5:9 ratio (~385 ppi density)",,€ 167.29,"2024, October 07",GSM / HSPA / LTE / 5G,Virtual proximity sensing,,,,Mali-G68 MP2 or Mali-G57 MC2,Active use score 12:08h,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a16-5g.jpg,"6.7 inches, 110.2 cm2(~86.0% screen-to-body ratio)",Samsung Galaxy A16 5G,,,,"1, 3, 7, 8, 20, 28, 38, 40, 41, 77, 78 SA/NSA/Sub6","GPS, GALILEO, GLONASS, BDS, QZSS",,5000 mAh,,"LED flash, panorama, HDR",Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55) or Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,0.38 W/kg (head)     0.94 W/kg (body),,,Nano-SIMNano-SIM + Nano-SIM,"50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, AF5 MP, f/2.2, (ultrawide), 1/5.0"", 1.12µm2 MP, f/2.4, (macro)",,,,microSDXC (uses shared SIM slot),,,164.4 x 77.9 x 7.9 mm (6.47 x 3.07 x 0.31 in),,"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",USB Type-C 2.0,"SM-A166B, SM-A166B/DS, SM-A166P, SM-A166P/DS, SM-A166E, SM-A166E/DS",,Yes,"5.3, A2DP, LE",,,,200 g (7.05 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","1080p@30fps, gyro-EIS",,"HSPA, LTE, 5G","Glass front, plastic back, plastic frame",Yes (market/region dependent),,,Samsung,,,,"Blue Black, Light Gray, Gold, Light Green","Super AMOLED, 90Hz, 800 nits (HBM)","AnTuTu: 368854 (v9), 435895 (v10)GeekBench: 2090 (v5), 2042 (v6)3DMark: 360 (Wild Life Extreme)",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,1080p@30fps,,"Fingerprint (side-mounted), accelerometer, gyro, compass"
IP68 dust/water resistant (up to 1.5m for 30 min),,,"Android 14, One UI 6.1",,,No,-24.6 LUFS (Very good),Exynos 2400e (4 nm),,"Available. Released 2024, October 03",,1372 nits max brightness (measured),€ 549.00,,,,,,,,€ 599.99,,,,Unspecified,"25W wired, PD, QC2, 50% in 30 min15W wirelessReverse wireless","1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 28, 32, 38, 40, 41, 66 - International",,,,"€ 549.00 / $ 445.00 / £ 485.00 / ₹ 52,998",,,,"10 MP, f/2.4, 26mm (wide), 1/3.0"", 1.22µm",,GSM 850 / 900 / 1800 / 1900,"1080 x 2340 pixels, 19.5:9 ratio (~385 ppi density)",,,"2024, September 26",GSM / HSPA / LTE / 5G,Virtual proximity sensingSamsung DeXCircle to Search,0.94 W/kg (head)     0.71 W/kg (body),,,Xclipse 940,Active use score 11:48h,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s24-fe-r1.jpg,"6.7 inches, 110.2 cm2(~88.0% screen-to-body ratio)",Samsung Galaxy S24 FE,,,,"1, 2, 3, 5, 7, 8, 12, 20, 25, 26, 28, 38, 40, 41, 66, 75, 77, 78 SA/NSA/Sub6 - International","GPS, GLONASS, GALILEO, BDS",,4700 mAh,,"LED flash, HDR, panorama",10-core (1x3.1 GHz + 2x2.9 GHz + 3x2.6 GHz + 4x1.95 GHz),,0.86 W/kg (head)     1.29 W/kg (body),,,Nano-SIMNano-SIM + Nano-SIMNano-SIM +eSIMeSIM + eSIM,"50 MP, f/1.8, 24mm (wide), 1/1.57"", 1.0µm, dual pixel PDAF, OIS8 MP, f/2.4, 75mm (telephoto), 1/4.4"", 1.0µm, PDAF, OIS, 3x optical zoom12 MP, f/2.2, 13mm, 123˚ (ultrawide), 1/3.0"", 1.12µm",,,,No,Corning Gorilla Glass Victus+,,162 x 77.3 x 8 mm (6.38 x 3.04 x 0.31 in),,"128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM","USB Type-C 3.2, OTG","SM-S721B, SM-S721B/DS, SM-S721U1, SM-S721U, SM-S721W, SM-S7210, SM-S721N",,"Yes, with stereo speakers","5.3, A2DP, LE",,,,213 g (7.51 oz),"Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band or tri-band (market/region dependent), Wi-Fi Direct","8K@30fps, 4K@30/60/120fps, 1080p@30/60/120/240fps, 720p@960fps",,"HSPA, LTE (CA), 5G","Glass front (Gorilla Glass Victus+), glass back (Gorilla Glass Victus+), aluminum frame",Yes,,,Samsung,,,,"Blue, Graphite, Gray, Mint, Yellow","Dynamic AMOLED 2X, 120Hz, HDR10+, 1900 nits (peak)",AnTuTu: 1548896 (v10)GeekBench: 6299 (v6)3DMark: 3889 (Wild Life Extreme),,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"4K@30/60fps, 1080p@30/60fps; gyro-EIS",,"Fingerprint (under display, optical), accelerometer, gyro, compass"
"IP68 dust/water resistant (up to 1.5m for 30 min)Stylus, 2.8ms latency (Bluetooth integration, accelerometer, gyro)Enhanced Armor aluminum",,,"Android 14, One UI 6.1",,,No,,Mediatek Dimensity 9300+ (4 nm),,"Available. Released 2024, October 03",HDR,,,,,,,,,,,,,,No,45W wired,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 32, 38, 39, 40, 41, 66",,,,About 1200 EUR,Wireless Samsung DeXCircle to Search,,"13 MP, f/2.0, 26mm (wide), 1/3.4"", 1.0µm, AF8 MP, f/2.2, (ultrawide)",,,GSM 850 / 900 / 1800 / 1900,"1848 x 2960 pixels, 16:10 ratio (~239 ppi density)",,,"2024, September 26",GSM / HSPA / LTE / 5G,UFS,,,,Immortalis-G720 MC12,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-s10-ultra.jpg,"14.6 inches, 617.8 cm2(~90.7% screen-to-body ratio)",Samsung Galaxy Tab S10 Ultra,,,,"1, 2, 3, 5, 7, 8, 12, 20, 25, 26, 28, 38, 40, 41, 66, 77, 78 SA/NSA/Sub6","GPS, GLONASS, BDS, GALILEO - cellular model only",,Li-Po 11200 mAh,,"LED flash, HDR, panorama",Octa-core (1x3.4 GHz Cortex-X4 & 3x2.8 GHz Cortex-X4 & 4x2.0 GHz Cortex-A720),,0.94 W/kg (body),Tuned by AKG,,Nano-SIM +eSIM(cellular model only),,,,,microSDXC (dedicated slot),,,326.4 x 208.6 x 5.4 mm (12.85 x 8.21 x 0.21 in),,"256GB 12GB RAM, 512GB 12GB RAM, 1TB 16GB RAM","USB Type-C 3.2, magnetic connector","SM-X920, SM-X926B, SM-X926N, SM-X920N",,"Yes, with stereo speakers (4 speakers)","5.3, A2DP, LE",,,,"718 g (Wi-Fi), 723 g (5G) (1.58 lb)","Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct","4K@30fps, 1080p@30fps",,"HSPA, LTE (CA), 5G - cellular model only","Glass front, aluminum frame, aluminum back",No,,,Samsung,,,,"Moonstone Gray, Platinum Silver","Dynamic AMOLED 2X, 120Hz, HDR10+",,"12 MP, f/2.2, 26mm (wide)12 MP, f/2.4, 120˚ (ultrawide)",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"4K@30fps, 1080p@30fps",,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass"
SA/NSA/Sub6/mmWave,,,"Android 14, One UI 6.1",,,No,,Mediatek Dimensity 9300+ (4 nm),,"Available. Released 2024, October 03",HDR,,,,,,,,,,,,,,No,45W wired,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 32, 38, 39, 40, 41, 66",,,,About 1000 EUR,Tuned by AKG,,"13 MP, f/2.0, 26mm (wide), 1/3.4"", 1.0µm, AF8 MP, f/2.2, (ultrawide)","12 MP, f/2.4, 120˚ (ultrawide)",,GSM 850 / 900 / 1800 / 1900,"1752 x 2800 pixels, 16:10 ratio (~266 ppi density)",,,"2024, September 26",GSM / HSPA / LTE / 5G,"IP68 dust/water resistant (up to 1.5m for 30 min)Stylus, 2.8ms latency (Bluetooth integration, accelerometer, gyro)Enhanced Armor aluminum",,,,Immortalis-G720 MC12,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-s10-plus.jpg,"12.4 inches, 446.1 cm2(~84.3% screen-to-body ratio)",Samsung Galaxy Tab S10+,,,,"1, 2, 3, 5, 7, 8, 12, 20, 25, 26, 28, 38, 40, 41, 66, 77, 78 SA/NSA/Sub6","GPS, GLONASS, BDS, GALILEO - cellular model only",,Li-Po 10090 mAh,,"LED flash, HDR, panorama",Octa-core (1x3.4 GHz Cortex-X4 & 3x2.8 GHz Cortex-X4 & 4x2.0 GHz Cortex-A720),,0.80 W/kg (body),UFS,,Nano-SIM +eSIM(cellular model only),,,,,microSDXC (dedicated slot),,,285.4 x 185.4 x 5.6 mm (11.24 x 7.30 x 0.22 in),,"256GB 12GB RAM, 512GB 12GB RAM","USB Type-C 3.2, magnetic connector","SM-X820, SM-X826B, SM-X820N, SM-X826N",,"Yes, with stereo speakers (4 speakers)","5.3, A2DP, LE",,,,"571 g (Wi-Fi), 576 g (5G) (1.26 lb)","Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band, Wi-Fi Direct","4K@30fps, 1080p@30fps",,"HSPA, LTE (CA), 5G - cellular model only","Glass front, aluminum frame, aluminum back",No,,,Samsung,,,,"Moonstone Gray, Platinum Silver","Dynamic AMOLED 2X, 120Hz, HDR10+",,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"4K@30fps, 1080p@30fps",Wireless Samsung DeXCircle to Search,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass"
Always-on display,,,"Android 14, up to 4 major Android upgrades, One UI 6.1",,,No,,Qualcomm SM7450-AB Snapdragon 7 Gen 1 (4 nm),,"Available. Released 2024, September 26",,,"₹ 20,999",,,,,,,,,,,,No,45W wired,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 25, 26, 28, 38, 40, 41, 66",,,,"₹ 20,999",,,,"50 MP, f/2.4, (wide)",,GSM 850 / 900 / 1800 / 1900,"1080 x 2400 pixels, 20:9 ratio (~393 ppi density)",,,"2024, September 24",GSM / HSPA / LTE / 5G,,0.93 W/kg (head),,,Adreno 644,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-m55s.jpg,"6.7 inches, 108.4 cm2(~86.4% screen-to-body ratio)",Samsung Galaxy M55s,,,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA/Sub6","GPS, GALILEO, GLONASS, BDS, QZSS",,5000 mAh,,"LED flash, panorama, HDR",Octa-core (1x2.4 GHz Cortex-A710 & 3x2.36 GHz Cortex-A710 & 4x1.8 GHz Cortex-A510),,,,,Nano-SIM + Nano-SIM,"50 MP, f/1.8, (wide), 1/1.56"", 1.0µm, PDAF, OIS8 MP, f/2.2, 123˚ (ultrawide)2 MP, f/2.4, (macro)",,,,microSDXC (uses shared SIM slot),,,163.9 x 76.5 x 7.8 mm (6.45 x 3.01 x 0.31 in),,"128GB 8GB RAM, 256GB 8GB RAM","USB Type-C 2.0, OTG","SM-M558B, SM-M558B/DS",,"Yes, with stereo speakers","5.2, A2DP, LE",,,,180 g (6.35 oz),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","4K@30fps, 1080p@30/60fps, gyro-EIS, OIS",,"HSPA, LTE, 5G",,Yes,,,Samsung,,,,"Thunder Black, Coral Green","Super AMOLED+, 120Hz, 1000 nits (HBM)",,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"4K@30fps, 1080p@30/60fps",,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass"
eMMC 5.1,,,"Android 14, up to 2 major Android upgrades, One UI Core 6.0",,,Yes,,Mediatek Helio G85 (12 nm),,"Available. Released 2024, September 20",,,,,,,,,,,,,,,Unspecified,25W wired,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",,,"₹ 6,768","₹ 6,768",,,"50 MP, f/1.8, (wide), AF2 MP, f/2.4, (depth)","8 MP, f/2.0",,GSM 850 / 900 / 1800 / 1900,"720 x 1600 pixels, 20:9 ratio (~262 ppi density)",,,"2024, September 17",GSM / HSPA / LTE,,0.46 W/kg (head),,,Mali-G52 MC2,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-f05.jpg,"6.7 inches, 108.4 cm2(~82.1% screen-to-body ratio)",Samsung Galaxy F05,,,,,"GPS, GLONASS, GALILEO, BDS",,5000 mAh,,LED flash,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),,,,,Nano-SIM + Nano-SIM,,,,,microSDXC (dedicated slot),,,168.8 x 78.2 x 8.8 mm (6.65 x 3.08 x 0.35 in),,64GB 4GB RAM,"USB Type-C 2.0, OTG","SM-E055F, SM-E055F/DS",,Yes,"5.3, A2DP, LE",,,,195 g (6.88 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",1080p@30/60fps,,"HSPA, LTE","Glass front, plastic frame, silicone polymer (eco leather) back",No,,,Samsung,,,,Twilight Blue,PLS LCD,,,HSDPA 850 / 900 / 2100,Yes,,"Accelerometer, proximity"
eMMC 5.1,,,"Android 14, up to 2 major Android upgrades, One UI Core 6.0",,,Yes,,Mediatek Helio G85 (12 nm),,"Available. Released 2024, September 10",,,,,,,,,,,,,,,Unspecified,25W wired,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",,,"₹ 6,499","₹ 6,499",,,"50 MP, f/1.8, (wide), AF2 MP, f/2.4, (depth)","8 MP, f/2.0",,GSM 850 / 900 / 1800 / 1900,"720 x 1600 pixels, 20:9 ratio (~262 ppi density)",,,"2024, September 10",GSM / HSPA / LTE,,0.46 W/kg (head),,,Mali-G52 MC2,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-m05.jpg,"6.7 inches, 108.4 cm2(~82.1% screen-to-body ratio)",Samsung Galaxy M05,,,,,"GPS, GLONASS, GALILEO, BDS",,5000 mAh,,LED flash,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),,,,,Nano-SIM + Nano-SIM,,,,,microSDXC (dedicated slot),,,168.8 x 78.2 x 8.8 mm (6.65 x 3.08 x 0.35 in),,64GB 4GB RAM,USB Type-C 2.0,"SM-M055F, SM-M055F/DS",,Yes,"5.3, A2DP, LE",,,,195 g (6.88 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",1080p@30/60fps,,"HSPA, LTE","Glass front, plastic back, plastic frame",No,,,Samsung,,,,Mint Green,PLS LCD,,,HSDPA 850 / 900 / 2100,Yes,,"Accelerometer, proximity"
eMMC 5.1,,,"Android 14, up to 2 major Android upgrades",,,Yes,-27.7 LUFS (Good),Mediatek Helio G85 (12 nm),,"Available. Released 2024, August 22",,"1484:1 contrast ratio, 564 nits max brightness (measured)",,,,,,,,,,,,,FM radio,25W wired,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",,,€ 119.90,"€ 119.90 / $ 92.00 / ₹ 7,950",,,"50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, PDAF2 MP, f/2.4, (depth)","8 MP, f/2.0, (wide), 1/4.0"", 1.12µm",,GSM 850 / 900 / 1800 / 1900,"720 x 1600 pixels, 20:9 ratio (~262 ppi density)",,"₹ 11,199","2024, August 16",GSM / HSPA / LTE,,,,,Mali-G52 MC2,Active use score 13:50h,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a06-1.jpg,"6.7 inches, 108.4 cm2(~83.8% screen-to-body ratio)",Samsung Galaxy A06,,,,,"GPS, GLONASS, GALILEO, BDS",$ 105.00,Li-Po 5000 mAh,,LED flash,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),,0.44 W/kg (head)     1.08 W/kg (body),,,Nano-SIMNano-SIM + Nano-SIM,,,,,microSDXC (dedicated slot),,,167.3 x 77.3 x 8 mm (6.59 x 3.04 x 0.31 in),,"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM",USB Type-C 2.0,"SM-A065F, SM-A065F/DS, SM-A065M, SM-A065M/DS",,Yes,"5.3, A2DP, LE",,,,189 g (6.67 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",1080p@30/60fps,,"HSPA, LTE","Glass front, plastic back, plastic frame",No,,,Samsung,,,,"Blue, Gold, White",PLS LCD,"AnTuTu: 182064 (v9), 247675 (v10)GeekBench: 1273 (v5), 1276 (v6)3DMark: 188 (Wild Life Extreme)",,HSDPA 850 / 900 / 2100,Yes,,"Fingerprint (side-mounted), accelerometer, proximity, compass"
