,Stand-by,Alert types,Loudspeaker,Bluetooth,Games,Stand-by_1,_2,_3,3.5mm jack,SIM,Single,Weight,Call records,Status,WLAN,Talk time_1,2G bands,Browser,Resolution,Languages,Card slot,Talk time,Announced,Technology,_1,Brand,Model Image,Size,Model Name,Messaging,Colors,Type,Phonebook,GPRS,Dimensions,USB,EDGE,Positioning,Radio,Video,Type_1,Sensors,Java
"Downloadable logos, wallpapers",,Vibration; Downloadable polyphonic ringtones,No,No,Yes,,Predictive text inputOrganizerWorld timeMemo,,No,Mini-SIM,VGA,90 g (3.17 oz),"10 dialed, 10 received, 10 missed calls",Discontinued,No,,GSM 900 / 1800,WAP 1.2.1,128 x 160 pixels,"English, Chinese",No,,"2005, Q1",GSM,No,Sewon,https://fdn2.gsmarena.com/vv/bigpic/swsrs3300.gif,,Sewon SRS-3300,"SMS, EMS, MMS",,"TFT, 256K colors",200,Yes,72 x 39 x 26.5 mm (2.83 x 1.54 x 1.04 in),,No,No,No,Yes,Removable Li-Ion 720 mAh battery,,No
"Downloadable logos, wallpapers",,Vibration; Downloadable polyphonic ringtones,No,No,Yes,,Predictive text inputOrganizerWorld timeMemo,,No,Mini-SIM,VGA,90 g (3.17 oz),"10 dialed, 10 received, 10 missed calls",Discontinued,No,,GSM 900 / 1800,WAP 1.2.1,176 x 220 pixels,"English, Chinese",No,,"2004, Q2",GSM,No,Sewon,https://fdn2.gsmarena.com/vv/bigpic/swsrd3000.gif,,Sewon SRD-3000,"SMS, EMS, MMS",,"TFT, 256K colors",300,Yes,91 x 48 x 18 mm (3.58 x 1.89 x 0.71 in),,No,No,No,No,Removable Li-Ion 1050 mAh battery,,No
"Second external displayDownloadable logos, wallpapers",,Vibration; Downloadable polyphonic ringtones,No,No,Yes,,Predictive text inputOrganizerWorld timeMemo,,No,Mini-SIM,VGA,95 g (3.35 oz),"10 dialed, 10 received, 10 missed calls",Discontinued,No,,GSM 900 / 1800,WAP 1.2.1,"128 x 128 pixels, 1:1 ratio","English, Chinese",No,,"2004, Q2",GSM,No,Sewon,https://fdn2.gsmarena.com/vv/bigpic/swsrd200.gif,,Sewon SRD-200,"SMS, EMS",,"STN, 65K colors",500,Yes,87.5 x 47.5 x 21.7 mm (3.44 x 1.87 x 0.85 in),,No,No,No,No,Removable Li-Ion 900 mAh battery,,No
Second external displayDownloadable logos,,Vibration; Downloadable polyphonic ringtones,No,No,Yes,,Predictive text inputStopwatchCalculatorWorld timeMemo,,No,Mini-SIM,VGA,90 g (3.17 oz),"10 dialed, 10 received, 10 missed calls",Discontinued,No,,GSM 900 / 1800,WAP,"128 x 128 pixels, 1:1 ratio","English, Chinese",No,,"2004, Q2",GSM,No,Sewon,https://fdn2.gsmarena.com/vv/bigpic/swsgd1050.gif,,Sewon SGD-1050,SMS,,"STN, 65K colors",200,No,82 x 44 x 21 mm (3.23 x 1.73 x 0.83 in),,No,No,No,No,Removable Li-Ion 900 mAh battery,,No
Second external display7 colors LED indicatorDownloadable logos,,Vibration; Downloadable polyphonic ringtones,No,No,Yes,,Predictive text inputStopwatchCalculatorWorld timeMemo,,No,Mini-SIM,VGA,90 g (3.17 oz),"10 dialed, 10 received, 10 missed calls",Discontinued,No,,GSM 900 / 1800,WAP,"128 x 128 pixels, 1:1 ratio","English, Chinese",No,,"2004, Q2",GSM,No,Sewon,https://fdn2.gsmarena.com/vv/bigpic/swsgd1030.gif,,Sewon SGD-1030,SMS,,"STN, 65K colors",200,No,82 x 44 x 22 mm (3.23 x 1.73 x 0.87 in),,No,No,No,No,Removable Li-Ion 900 mAh battery,,No
Second external display7 colors LED indicatorDownloadable logos,,Vibration; Downloadable polyphonic ringtones,No,No,Yes,,Predictive text inputStopwatchCalculatorMemo,,No,Mini-SIM,VGA,90 g (3.17 oz),"10 dialed, 10 received, 10 missed calls",Discontinued,No,,GSM 900 / 1800,WAP,"128 x 128 pixels, 1:1 ratio","English, Chinese",No,,"2004, Q2",GSM,No,Sewon,https://fdn2.gsmarena.com/vv/bigpic/swsgd1020.gif,,Sewon SGD-1020,SMS,,"STN, 65K colors",200,No,82 x 42.4 x 21 mm (3.23 x 1.67 x 0.83 in),,No,No,No,No,Removable Li-Ion 900 mAh battery,,No
Second external display4-way navi key,,Vibration; Polyphonic(64) ringtones,No,No,,,Predictive text inputStopwatchCalculatorMemo,,No,Mini-SIM,VGA,90 g (3.17 oz),"10 dialed, 10 received, 10 missed calls",Discontinued,No,,GSM 900 / 1800,,"128 x 128 pixels, 1:1 ratio","English, Chinese",No,,"2004, Q1",GSM,No,Sewon,https://fdn2.gsmarena.com/vv/bigpic/swsgd1010.gif,,Sewon SGD-1010,SMS,,"STN, 65K colors",200,No,82 x 44 x 21 mm (3.23 x 1.73 x 0.83 in),,No,No,No,No,Removable Li-Ion 600 mAh battery,,No
Second external display4-way navi key,,Vibration; Polyphonic(64) ringtones,No,No,,,Predictive text inputCalculatorMemo,,No,Mini-SIM,VGA,90 g (3.17 oz),"10 dialed, 10 received, 10 missed calls",Discontinued,No,,GSM 900 / 1800,,"128 x 128 pixels, 1:1 ratio","English, Chinese",No,,"2004, Q1",GSM,No,Sewon,https://fdn2.gsmarena.com/vv/bigpic/swsgd1000.gif,,Sewon SGD-1000,SMS,,"STN, 65K colors",200,No,82 x 42 x 21 mm (3.23 x 1.65 x 0.83 in),,No,No,No,No,Removable Li-Ion 900 mAh battery,,No
Second external mono LCD display4-way navi key,Up to 110 h,Vibration; Polyphonic(16) ringtones,No,No,,,Predictive text inputCalculatorMemo,,No,Mini-SIM,,80 g (2.82 oz),"10 dialed, 10 received, 10 missed calls",Discontinued,No,,GSM 900 / 1800,,"128 x 128 pixels, 1:1 ratio","English, Chinese",No,Up to 3 h,"2004, Q1",GSM,No,Sewon,https://fdn2.gsmarena.com/vv/bigpic/swsgd106.gif,,Sewon SGD-106,SMS,,"CSTN, 256 colors",100,No,72 x 40 x 23 mm (2.83 x 1.57 x 0.91 in),,No,No,No,,Removable Li-Ion 550 mAh battery,,No
Second external mono LCD display4-way navi key,Up to 110 h,Vibration; Polyphonic(16) ringtones,No,No,,,Predictive text inputCalculatorMemo,,No,Mini-SIM,,80 g (2.82 oz),"10 dialed, 10 received, 10 missed calls",Discontinued,No,,GSM 900 / 1800,,"128 x 128 pixels, 1:1 ratio","English, Chinese",No,Up to 3 h,"2004, Q1",GSM,No,Sewon,https://fdn2.gsmarena.com/vv/bigpic/swsgd105.gif,,Sewon SGD-105,SMS,,"CSTN, 256 colors",100,No,72 x 40 x 23 mm (2.83 x 1.57 x 0.91 in),,No,No,No,,Removable Li-Ion 550 mAh battery,,No
