,CPU,Features,4G bands,Single_1,Stand-by,Alert types,OS,Loudspeaker,Bluetooth,SAR EU,Games,Stand-by_1,_2,Price,_3,3.5mm jack,Keyboard,SIM,Dual,Single,Weight,Chipset,Triple,Quad,Status,WLAN,Infrared port,Call records,Talk time_1,2G bands,Features_1,Browser,Resolution,Talk time,Card slot,Languages,Alarm,Speed,Build,NFC,Announced,Video_1,Technology,_1,Clock,Brand,Protection,GPU,Model Image,Size,Model Name,Messaging,Colors,Type,Phonebook,GPRS,Dimensions,Performance,Internal,5G bands,USB,EDGE,Positioning,Radio,3G bands,Charging,Models,Video,Type_1,Sensors,Java
IP68 water/dust resistant (up to 1.5m for 30 min)MIL-STD-810H/MIL-STD-810G compliantDrop resistant up to 1.2m,Octa-core (4x2.40 GHz Cortex-A78 & 4x1.95 GHz Cortex-A55),"LED flash, HDR, panorama",LTE,,,,"Android 14, up to 3 major Android upgrades","Yes, with stereo speakers","5.1, A2DP, LE, aptX Adaptive",,,,,About 350 EUR,,No,,Nano-SIM +eSIM,"50 MP, f/1.9, 23mm (wide), 1/1.55"", dual pixel PDAF, OIS50 MP, f/2.2, 13mm, 122˚ (ultrawide), 1/2.5"", PDAF","32 MP, f/2.2, 25mm (wide)",166 g (5.86 oz),Qualcomm SM7435-AB Snapdragon 7s Gen 2 (4 nm),,,"Available. Released 2024, November 07","Wi-Fi 802.11 a/b/g/n/ac, dual-band",,,,GSM 850 / 900 / 1800 / 1900,,,"1080 x 2340 pixels, 19.5:9 ratio (~422 ppi density)",,microSDXC,,,"HSPA, LTE, 5G","Glass front, aluminum frame, aluminum back",Yes,"2024, October 29","Yes, gyro-EIS",GSM / HSPA / LTE / 5G,24-bit/192kHz Hi-Res & Hi-Res wireless audio,,Sharp,,Adreno 710,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-sense9.jpg,"6.1 inches, 91.3 cm2(~84.0% screen-to-body ratio)",Sharp Aquos sense9,,"Black, White, Green, Coral, Greige, Blue","LTPO IGZO OLED, 1B colors, 240Hz, 1500 nits (HBM), 2000 nits (peak)",,,149 x 73 x 8.9 mm (5.87 x 2.87 x 0.35 in),,"128GB 6GB RAM, 256GB 8GB RAM",SA/NSA/Sub6,"USB Type-C 3.2, DisplayPort 1.4",,GPS,No,HSDPA 900 / 2100,36W wired,"SH-M29SG, SH-53E, SH-M29","Yes, gyro-EIS",5000 mAh,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",
IP68 water/dust resistant (up to 1.5m for 30 min),Octa-core (1x3.0 GHz Cortex-X4 & 4x2.8 GHz Cortex-A720 & 3x2.0 GHz Cortex-A520),"Leica lens, color spectrum sensor, LED flash, HDR, panorama",LTE,,,,"Android 14, up to 3 major Android upgrades",Yes,"5.4, A2DP, LE",,,,,,,Unspecified,,Nano-SIM +eSIM,,"50.3 MP, f/2.2, 23mm (wide)",229 g (8.08 oz),Qualcomm SM8635 Snapdragon 8s Gen 3 (4 nm),"50.3 MP, f/1.8, 23mm (wide), 1/0.98"", PDAF, OIS50.3 MP, f/2.6, 65mm (telephoto), 1/1.56"", PDAF, OIS, 2.8x optical zoom50.3 MP, f/2.2, 13mm, 122˚ (ultrawide), 1/2.5"", PDAF",,"Coming soon. Exp. release 2025, Q1",Wi-Fi 802.11 a/b/g/n/ac/6/7,,,,GSM 850 / 900 / 1800 / 1900,,,"1440 x 3120 pixels, 19.5:9 ratio (~513 ppi density)",,No,,,"HSPA, LTE, 5G",,Yes,"2024, October 29",Yes,GSM / HSPA / LTE / 5G,,,Sharp,Unspecified,Adreno 735,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-r9-pro.jpg,"6.7 inches, 110.2 cm2(~87.2% screen-to-body ratio)",Sharp Aquos R9 pro,,Black,"PRO IGZO LTPO OLED, 1B colors, 240Hz, Dolby Vision, HDR",,,162 x 78 x 9.3 mm (6.38 x 3.07 x 0.37 in),,512GB 12GB RAM,SA/NSA,USB Type-C,,"GPS, GLONASS, GALILEO, BDS",No,HSDPA 850 / 900 / 1900 / 2100,WiredWireless,SH-54E,"Yes, gyro-EIS, Dolby Vision HDR",5000 mAh,"Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass",
IP68 water/dust resistant (up to 1.5m for 30 min)MIL-STD-810G compliant,Octa-core (1x2.8 GHz Cortex-X4 & 4x2.6 GHz Cortex-A720 & 3x1.9 GHz Cortex-A520),"Leica lens, LED flash, HDR, panorama",LTE,,,,"Android 14, up to 3 major Android upgrades","Yes, with stereo speakers","5.4, A2DP, LE",,,,Snapdragon Sound,About 550 EUR,,No,,Nano-SIM +eSIM,"50.3 MP, f/1.9, 23mm (wide), 1/1.55"", dual pixel PDAF, OIS50.3 MP, f/2.2, 13mm, 122˚ (ultrawide), 1/2.55"", PDAF","50.3 MP, f/2.2, 23mm (wide), 1/2.88"", AF",195 g (6.88 oz),Qualcomm SM7675-AB Snapdragon 7+ Gen 3 (4 nm),,,"Available. Released 2024, September",Wi-Fi 802.11 a/b/g/n/ac/6/7,,,,GSM 850 / 900 / 1800 / 1900,,,"1080 x 2340 pixels, 19.5:9 ratio (~396 ppi density)",,microSDXC,,,"HSPA, LTE, 5G","Glass front (Gorilla Glass 5), glass back (Gorilla Glass Victus 2), aluminum frame",Yes,"2024, July 18",Yes,GSM / HSPA / LTE / 5G,UFS 4.0,,Sharp,Corning Gorilla Glass 5,Adreno 732,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-r9.jpg,"6.5 inches, 103.7 cm2(~88.6% screen-to-body ratio)",Sharp Aquos R9,,"Snow White, Forest Green","PRO IGZO LTPO OLED, 240Hz, Dolby Vision, HDR, 1500 nits (HBM), 2000 nits (peak)",,,156 x 75 x 8.9 mm (6.14 x 2.95 x 0.35 in),,256GB 12GB RAM,SA/NSA,USB Type-C,,"GPS, GLONASS, GALILEO, BDS",No,HSDPA 850 / 900 / 1900 / 2100,,SH-M28SG,"4K@30fps, 1080p@30/60fps, gyro-EIS",5000 mAh,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",
IP68 water/dust resistant (up to 1.5m for 30 min)Drop resistant up to 1.2m,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"LED flash, HDR, panorama",LTE,"8 MP, (wide)",,,"Android 14, up to 2 major Android upgrades",Yes,"5.3, A2DP, LE",,,,,About 150 EUR,,Unspecified,,Nano-SIM + Nano-SIM,,"50 MP, (wide), PDAF",190 g (6.70 oz),Mediatek Dimensity 700 (7 nm),,,"Available. Released 2024, September","Wi-Fi 802.11 a/b/g/n/ac, dual-band",,,,GSM 850 / 900 / 1800 / 1900,,,"720 x 1612 pixels, 20:9 ratio (~267 ppi density)",,microSDXC,,,"HSPA, LTE, 5G","Glass front, plastic back, plastic frame",Yes,"2024, July 29",1080p@30fps,GSM / HSPA / LTE / 5G,,,Sharp,,Mali-G57 MC2,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-wish4.jpg,"6.6 inches, 104.6 cm2(~82.5% screen-to-body ratio)",Sharp Aquos wish4,,"Black, Blue, White","IPS LCD, 90Hz",,,167 x 76 x 8.8 mm (6.57 x 2.99 x 0.35 in),,128GB 6GB RAM,SA/NSA,USB Type-C,,GPS,Unspecified,HSDPA 900 / 2100,,SH-M27SG,"Yes, gyro-EIS",5000 mAh,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",
Water-resistant (IPX5/8) & Dust-resistant (IP6X)MIL-STD-810H compliant,Octa-core (4x2.2 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),"LED flash, HDR, panorama",LTE,,,,Android 13,Yes,"5.1, A2DP, LE, aptX HD, aptX Adaptive",,,,,About 310 EUR,,Yes,,Nano-SIM +eSIM,"50 MP, f/1.9, 23mm (wide), 1/1.55"", dual pixel PDAF, OIS8 MP, f/2.4, 15mm, 120˚ (ultrawide)","8 MP, f/2.0, 26mm (wide)",159 g (5.61 oz),Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm),,,"Available. Released 2024, January","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",,,,GSM 850 / 900 / 1800 / 1900,,,"1080 x 2340 pixels, 19.5:9 ratio (~422 ppi density)",,microSDXC,,,"HSPA, LTE, 5G","Glass front, aluminum frame, plastic back",Yes,"2024, January 17",1080p@30fps,GSM / HSPA / LTE / 5G,UFS 2.2,,Sharp,,Adreno 710,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-sense8.jpg,"6.1 inches, 91.3 cm2(~84.1% screen-to-body ratio)",Sharp Aquos sense8,,"Black, Green, Copper","IGZO OLED, 1B colors, 90Hz, 1300 nits (peak)",,,153 x 71 x 8.4 mm (6.02 x 2.80 x 0.33 in),,256GB 8GB RAM,SA/NSA,USB Type-C,,GPS,No,HSDPA 900 / 2100,18W wired,,Yes,5000 mAh,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",
IP68 water/dust resistant (up to 1.5m for 30 min)MIL-STD-810G compliant,Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),"LED flash, HDR, panorama",LTE,,,,Android 13,Yes,"5.3, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless",,,,Snapdragon Sound,About 700 EUR,,Yes,,Nano-SIM +eSIM,"50 MP, f/1.9, 23mm (wide), 1/1.55"", dual pixel PDAF13 MP, f/2.3, 17mm (ultrawide)","8 MP, 118˚ (ultrawide)",179 g (6.31 oz),Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),,,"Available. Released 2023, December","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",,,,GSM 850 / 900 / 1800 / 1900,,,"1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)",,microSDXC,,,"HSPA, LTE, 5G","Glass front (Gorilla Glass 3), aluminum frame, plastic back",Yes,"2023, December 06",1080p@30fps,GSM / HSPA / LTE / 5G,UFS 4.0,,Sharp,Corning Gorilla Glass 3,Adreno 740,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-r8s.jpg,"6.4 inches, 100.5 cm2(~85.5% screen-to-body ratio)",Sharp Aquos R8s,,"Blue, White","PRO IGZO LTPO OLED, 1B colors, 120Hz, Dolby Vision, HDR, 1300 nits (peak)",,,159 x 74 x 8.7 mm (6.26 x 2.91 x 0.34 in),,256GB 8GB RAM,SA/NSA,USB Type-C 3.0,,"GPS (L1+L5), GLONASS, GALILEO, BDS",No,HSDPA 850 / 900 / 1900 / 2100,15W wired,,Yes,4750 mAh,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",
IP68 water/dust resistant (up to 1.5m for 30 min),Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),"Color spectrum sensor, LED flash, HDR, panorama",LTE,,,,Android 13,"Yes, with stereo speakers","5.3, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless",,,,Snapdragon Sound,About 930 EUR,,Yes,,Nano-SIM +eSIM,"47.2 MP, f/1.9, 19mm (ultrawide), 1.0""-type, dual pixel PDAF2 MP, f/2.4, (depth)","12.6 MP, (wide)",203 g (7.16 oz),Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),,,"Available. Released 2023, December","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",,,,GSM 850 / 900 / 1800 / 1900,,,"1260 x 2730 pixels, 19.5:9 ratio (~456 ppi density)",,microSDXC,,,"HSPA, LTE, 5G","Glass front (Gorilla Glass Victus), aluminum frame, plastic back",Yes,"2023, December 06",1080p@30fps,GSM / HSPA / LTE / 5G,UFS 4.0,,Sharp,Corning Gorilla Glass Victus,Adreno 740,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-r8s-pro-.jpg,"6.6 inches, 106.9 cm2(~86.3% screen-to-body ratio)",Sharp Aquos R8s pro,,Black,"PRO IGZO LTPO OLED, 1B colors, 120Hz, Dolby Vision, HDR, 2000 nits (peak)",,,161 x 77 x 9.3 mm (6.34 x 3.03 x 0.37 in),,256GB 12GB RAM,SA/NSA,USB Type-C 3.0,,"GPS (L1+L5), GLONASS, GALILEO, BDS",No,HSDPA 850 / 900 / 1900 / 2100,"27W wired, PD3WirelessReverse wireless",,"8K, 4K, 1080p; gyro-EIS",5000 mAh,"Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass",
IP68 water/dust resistant (up to 1.5m for 30 min),Octa-core (1x3.00 GHz Cortex-X2 & 3x2.50 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),"LED flash, HDR, panorama",LTE,,,,Android 13,"Yes, with stereo speakers","5.2, A2DP, LE",,,,,About 1000 EUR,,Yes,,Nano-SIM + Nano-SIM,"47.2 MP, f/1.9, 19mm (ultrawide), 1.0""-type, dual pixel PDAF2 MP, f/2.4, (depth)","12.6 MP, (wide)",208 g (7.34 oz),Qualcomm SM8450 Snapdragon 8 Gen 1 (4 nm),,,"Available. Released 2023, July","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",,,,GSM 850 / 900 / 1800 / 1900,,,"1260 x 2730 pixels, 19.5:9 ratio (~456 ppi density)",,microSDXC,,,"HSPA, LTE, 5G","Glass front (Gorilla Glass Victus), glass back (Gorilla Glass Victus), aluminum frame",Yes,"2023, July",1080p@30fps,GSM / HSPA / LTE / 5G,24-bit/192kHz Hi-Res audio,,Sharp,Corning Gorilla Glass Victus,Adreno 730,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-r7s.jpg,"6.6 inches, 106.9 cm2(~86.3% screen-to-body ratio)",Sharp Aquos R7s,,Black,"PRO IGZO OLED, 1B colors, 120Hz, Dolby Vision",,,161 x 77 x 9.3 mm (6.34 x 3.03 x 0.37 in),,256GB 12GB RAM,SA/NSA,USB Type-C 3.0,,"GPS (L1+L5), GLONASS, GALILEO, BDS",No,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"27W wired, PD3",SH-R70,"8K, 4K, 1080p; gyro-EIS",Li-Ion 5000 mAh,"Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass",
,Octa-core (4x2.3 GHz Cortex-A53 & 4x1.7 GHz Cortex-A53),LED flash,LTE,,,,Android 13,"Yes, with stereo speakers","5.1, A2DP, LE",,,,,About 180 EUR,,Yes,,Nano-SIM + Nano-SIM,,8 MP,190 g (6.70 oz),Mediatek MT6765 Helio G37 (12 nm),"50 MP, (wide)2 MP, (macro)2 MP, (depth)",,"Available. Released 2023, July","Wi-Fi 802.11 a/b/g/n/ac, dual-band",,,,GSM 850 / 900 / 1800 / 1900,,,"720 x 1600 pixels, 20:9 ratio (~260 ppi density)",,microSDXC,,,"HSPA, LTE","Glass front, plastic frame, plastic back",Yes,"2023, July",1080p@30fps,GSM / HSPA / LTE,,,Sharp,,PowerVR GE8320,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-v7-plus.jpg,"6.74 inches, 109.7 cm2(~85.4% screen-to-body ratio)",Sharp Aquos V7 Plus,,"Blue, Dark Blue","IPS LCD, 90Hz",,,167.9 x 76.5 x 8.5 mm (6.61 x 3.01 x 0.33 in),,"128GB 4GB RAM, 256GB 6GB RAM",,USB Type-C 3.0,,"GPS (L1+L5), GLONASS, BDS, GALILEO, QZSS",No,HSDPA 900 / 2100,18W wired,SH-C06,1080p@30fps,Li-Ion 5010 mAh,"Fingerprint (side-mounted), accelerometer, proximity, compass",
IP68 water/dust resistant (up to 1.5m for 30 min)MIL-STD-810H compliant,Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),"LED flash, HDR, panorama","1, 3, 8, 28, 38, 41",,,,"Android 12, upgradable to Android 13","Yes, with stereo speakers","5.1, A2DP, LE",,,,,About 420 EUR,,Yes,,Nano-SIM +eSIMNano-SIM + Nano-SIM,"50.3 MP, f/1.9, 23mm (wide), 1/1.55"", dual pixel PDAF8 MP, f/2.4, 15mm (ultrawide)","8 MP, f/2.0, (wide)",172 g (6.07 oz),Qualcomm SM6375 Snapdragon 695 5G (6 nm),,,"Available. Released 2023, September","Wi-Fi 802.11 a/b/g/n/ac, dual-band",,,,GSM 850 / 900 / 1800 / 1900,,,"1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)",,microSDXC,,,"HSPA, LTE, 5G",,Yes,"2023, August",1080p@30fps,GSM / HSPA / LTE / 5G,24-bit/192kHz Hi-Res audio,,Sharp,,Adreno 619,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-sense7-plus.jpg,"6.4 inches, 100.5 cm2(~82.7% screen-to-body ratio)",Sharp Aquos sense7 plus,,Moon silver,"IGZO OLED, 1B colors, 1300 nits (peak), 120Hz",,,160 x 76 x 8.2 mm (6.30 x 2.99 x 0.32 in),,128GB 6GB RAM,"1, 28, 38, 41, 78 SA/NSA",USB Type-C 3.0,,GPS,No,HSDPA 900 / 2100,,,Yes,Li-Ion 5050 mAh,Fingerprint (side-mounted); unspecified sensors,
IP68 water/dust resistant (up to 1.5m for 30 min)MIL-STD-810H compliant,Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),"LED flash, HDR, panorama","1, 3, 8, 28, 38, 41",,,,"Android 12, upgradable to Android 13",Yes,"5.1, A2DP, LE",,,,,About 380 EUR,,Yes,,Nano-SIM +eSIMNano-SIM + Nano-SIM,"50.3 MP, f/1.9, 23mm (wide), 1/1.55"", dual pixel PDAF8 MP, f/2.4, 15mm (ultrawide)","8 MP, f/2.0, (wide)",158 g (5.57 oz),Qualcomm SM6375 Snapdragon 695 5G (6 nm),,,"Available. Released 2023, September","Wi-Fi 802.11 a/b/g/n/ac, dual-band",,,,GSM 850 / 900 / 1800 / 1900,,,1080 x 2432 pixels (~436 ppi density),,microSDXC,,,"HSPA, LTE, 5G",,Yes,"2023, August",1080p@30fps,GSM / HSPA / LTE / 5G,,,Sharp,,Adreno 619,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-sense7.jpg,"6.1 inches, 89.0 cm2(~83.7% screen-to-body ratio)",Sharp Aquos sense7,,Black,"IGZO OLED, 1B colors, 1300 nits (peak)",,,152 x 70 x 8 mm (5.98 x 2.76 x 0.31 in),,128GB 6GB RAM,"1, 28, 38, 41, 78 SA/NSA",USB Type-C,,GPS,No,HSDPA 900 / 2100,,,Yes,Li-Ion 4570 mAh,Fingerprint (side-mounted); unspecified sensors,
,Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),LED flash,LTE,,,,Android 12,Yes,"5.0, A2DP, LE, aptX HD, aptX Adaptive",,,,,About 150 EUR,,Yes,,Nano-SIM + Nano-SIM,,8 MP,190 g (6.70 oz),Mediatek MT6762G Helio G25 (12 nm),"50 MP, (wide)2 MP, (macro)2 MP, (depth)",,"Available. Released 2022, February 16","Wi-Fi 802.11 a/b/g/n/ac, dual-band",,,,GSM 850 / 900 / 1800 / 1900,,,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",,microSDXC,,,"HSPA, LTE","Glass front, plastic frame, plastic back",Yes,"2022, February 16",1080p@30fps,GSM / HSPA / LTE,,,Sharp,,PowerVR GE8320,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-v6plus.jpg,"6.52 inches, 102.6 cm2(~82.3% screen-to-body ratio)",Sharp Aquos V6 Plus,,"Grey Sand, Deep Blue Sea",IPS LCD,,,165.2 x 75.5 x 8.9 mm (6.50 x 2.97 x 0.35 in),,64GB 4GB RAM,,USB Type-C 3.0,,"GPS (L1+L5), GLONASS, BDS, GALILEO, QZSS",No,HSDPA 900 / 2100,USB Power Delivery 3.0,SH-C04,1080p@30fps,Li-Ion 5000 mAh,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",
