,Features,CPU,Stand-by,Alert types,Single_1,Loudspeaker,Bluetooth,Games,OS,Stand-by_1,_2,_3,3.5mm jack,Keyboard,SIM,Single,Weight,Chipset,Call records,Status,WLAN,Infrared port,Talk time_1,2G bands,Browser,Resolution,Talk time,Card slot,Languages,Alarm,Speed,Announced,Video_1,Technology,_1,Clock,Brand,Model Image,Size,Model Name,Messaging,Colors,Type,Phonebook,GPRS,Dimensions,Internal,USB,EDGE,Positioning,Radio,3G bands,Video,Type_1,_4,Sensors,Java
GSM 850 / 1800 / 1900 - US version,,,Up to 220 h,Vibration; Polyphonic(32) ringtones,,Yes,No,Yes + downloadable,,,Predictive text inputOrganizer,,No,,Mini-SIM,,78 g (2.75 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,WAP 1.2.1,"130 x 130 pixels, 1:1 ratio",Up to 5 h,No,,,,"2005, November",,GSM,No,,Siemens,https://fdn2.gsmarena.com/vv/bigpic/siemens-al21.gif,,Siemens AL21,"SMS, EMS, MMS","Red Temptation, Black Magic","TFT, 65K colors",Yes,Class 8,86.8 x 45.8 x 19.2 mm (3.42 x 1.80 x 0.76 in),1.5MB,Proprietary,No,No,No,,,Removable Li-Ion 600 mAh battery,,,"Yes, MIDP 1.0"
GSM 850 / 1900 - US version,,,Up to 270 h,Vibration; Polyphonic(32) ringtones,,Yes,No,Yes + downloadable,,,Predictive text inputOrganizer,,No,,Mini-SIM,,85 g (3.00 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800,WAP 1.2.1,"128 x 128 pixels, 1:1 ratio",Up to 5 h,No,,,,"2005, November",,GSM,No,,Siemens,https://fdn2.gsmarena.com/vv/bigpic/siemens-a31.gif,,Siemens A31,"SMS, EMS, MMS","Anthracite, Ruby Red","CSTN, 65K colors",Yes,Class 8,"102 x 46 x 17.6 mm, 75 cc (4.02 x 1.81 x 0.69 in)",1.5MB,No,No,No,No,,,Removable Li-Ion 820 mAh battery,,,"Yes, MIDP 1.0"
"Second external 65K colors display, CSTN (96 x 64 pixels)",,,Up to 220 h,Vibration; Polyphonic(32) ringtones,,Yes,No,Yes + downloadable,,,Predictive text inputOrganizerVoice dial,,No,,Mini-SIM,,80 g (2.82 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,WAP 1.2.1,"130 x 130 pixels, 1:1 ratio",Up to 5 h,No,,,,"2005, November",,GSM,No,,Siemens,https://fdn2.gsmarena.com/vv/bigpic/siemens-af51.gif,,Siemens AF51,"SMS, MMS","Panther Black, Dolphin Grey","CSTN, 65K colors",Yes,Class 8,79 x 41 x 19.6 mm (3.11 x 1.61 x 0.77 in),,,No,No,No,,,Removable Li-Ion 620 mAh battery,,,"Yes, MIDP 1.0"
"Dust, shock and splash resistant",,,Up to 450 h,Vibration; Downloadable polyphonic ringtones,,Yes,No,Yes + downloadable,,,OrganizerSyncMLVoice memoPredictive text input,,No,,Mini-SIM,VGA,95 g (3.35 oz),,"100 dialed, 100 received, 100 missed calls",Discontinued,No,Yes,,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,"132 x 176 pixels, 4:3 ratio",Up to 8 h,No,,,,"2005, October",,GSM,No,,Siemens,https://fdn2.gsmarena.com/vv/bigpic/siemens-me75.gif,,Siemens ME75,"SMS, MMS, Email, Instant Messaging","Amazon Green, Atlas Grey","TFT, 65K colors","1000 x 20 fields, Photo call",Class 10,105 x 46 x 18 mm (4.13 x 1.81 x 0.71 in),10MB,Proprietary,No,No,No,,Yes,Removable Li-Ion 1000 mAh battery,,,Yes
5-way navigation key,,,Up to 161 h,Vibration; Downloadable polyphonic ringtones,,Yes,Yes,Yes,,,No,Predictive text inputOrganizer,No,,Mini-SIM,CIF,86 g (3.03 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,"128 x 128 pixels, 1:1 ratio",Up to 5 h 40 min,No,,,,"2005, October",,GSM,500 KB free memory,,Siemens,https://fdn2.gsmarena.com/vv/bigpic/siemens-ap75.gif,,Siemens AP75,"SMS, EMS, MMS",Cosmic Grey,"CSTN, 65K colors",Yes,Class 10,102 x 44 x 18 mm (4.02 x 1.73 x 0.71 in),,Proprietary,No,No,No,,No,Removable Li-Ion 860 mAh battery,,,No
5-way navigation key,,,Up to 220 h,Vibration; Downloadable polyphonic ringtones,,Yes,No,Yes,,,No,Predictive text inputOrganizer,No,,Mini-SIM,,79 g (2.79 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,WAP 1.2.1,"128 x 128 pixels, 1:1 ratio",Up to 5 h,No,,,,"2005, October",,GSM,1.5 MB free memory,,Siemens,https://fdn2.gsmarena.com/vv/bigpic/siemens-ax72.gif,,Siemens AX72,"SMS, EMS, MMS",Basalt Black,"CSTN, 65K colors",Yes,Class 8,105.6 x 46.8 x 17.5 mm (4.16 x 1.84 x 0.69 in),,Proprietary,No,No,No,,,Removable Li-Ion 600 mAh battery,,,"Yes, MIDP 1.0"
CIF videocall camera,,,Up to 325 h,"Vibration; Downloadable polyphonic, MP3 ringtones",,No,Yes,Yes + downloadable,,,,,No,,Mini-SIM,1.3 MP,123 g (4.34 oz),,"10 dialed, 10 received, 10 missed calls",Cancelled,No,,,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,176 x 220 pixels (~141 ppi density),Up to 3 h 20 min,RS-MMC,,,"Yes, 384 kbps","2005, Sep",,GSM / UMTS,Video telephonyMP3 playerPredictive text inputOrganizer,,Siemens,https://fdn2.gsmarena.com/vv/bigpic/siemens-sg75.gif,"2.0 inches, 30 x 40 mm, 12.6 cm2(~26.0% screen-to-body ratio)",Siemens SG75,"SMS, MMS, EMail, Instant Messaging",Metallic White,"TFD, 256K colors",Yes,,"98 x 49.5 x 23 mm, 104 cc (3.86 x 1.95 x 0.91 in)",70MB,Proprietary,,No,No,UMTS 2100,Yes,Removable Li-Po 920 mAh battery,,,"Yes, MIDP 2.0"
"Second CSTN display (96 x 96 pixels), 65K colorsWallpapersDownloadable pictures",LED flash,,Up to 250 h,"Vibration; Downloadable polyphonic, MP3 ringtones",,No,Yes,Yes,,,Video telephonyMP3/MP4 playerPredictive text inputOrganizer,,No,,Mini-SIM,1.3 MP,110 g (3.88 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,Yes,,GSM 900 / 1800,WAP 2.0/xHTML,176 x 220 pixels (~141 ppi density),Up to 3 h,miniSD,,,"Yes, 384 kbps","2005, Sep",,GSM / UMTS,CIF videocall camera,,Siemens,https://fdn2.gsmarena.com/vv/bigpic/siemens-sfg75.gif,"2.0 inches, 30 x 40 mm, 12.6 cm2(~31.1% screen-to-body ratio)",Siemens SFG75,"SMS, MMS, Email",Silver Black,"TFT, 256K colors","Yes, Photo call",,"90 x 45 x 24 mm, 97 cc (3.54 x 1.77 x 0.94 in)",32MB,Proprietary,,No,No,UMTS 2100,Yes,Removable Li-Ion 840 mAh battery,,,"Yes, MIDP 2.0"
5-way navigation key,,,Up to 270 h,Vibration; Downloadable polyphonic ringtones,,No,No,Yes + downloadable,,,Predictive text inputOrganizerBirthday reminderVoice memo,,No,,Mini-SIM,,80 g (2.82 oz),,"10 dialed, 10 received, 10 missed calls",Cancelled,No,Yes,,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,128 x 160 pixels,Up to 3 h 30 min,No,,,,"2005, August",,GSM,No,,Siemens,https://fdn2.gsmarena.com/vv/bigpic/siemens-cc75.gif,,Siemens CC75,"SMS, MMS",Aluminium Silver,"TFT, 65K colors",Yes,Class 10,"111 x 44 x 12.6 mm, 65 cc (4.37 x 1.73 x 0.50 in)",3MB,Proprietary,No,No,No,,,Removable Li-Ion 800 mAh battery (EBA-720),,,No
No,,,Up to 220 h,Vibration; Downloadable polyphonic ringtones,,Yes,No,Yes + downloadable,,,,,No,,Mini-SIM,,76.5 g (2.68 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,"130 x 130 pixels, 1:1 ratio",Up to 5 h,No,,,,"2005, August",,GSM,Predictive text inputOrganizer,,Siemens,https://fdn2.gsmarena.com/vv/bigpic/siemens-cf110.gif,,Siemens CF110,"SMS, EMS, MMS","Moonlight Silver, Midnight Blue","TFT, 65K colors",Yes,Class 8,"83 x 45 x 18 mm, 68 cc (3.27 x 1.77 x 0.71 in)",1.5MB,Proprietary,No,No,No,,,Removable Li-Ion 600 mAh battery (EBA-160),,,"Yes, MIDP 1.0"
Download assistant for logos,,,Up to 300 h,Vibration; Downloadable polyphonic ringtones,,No,No,2,,,Predictive text inputStopwatchOrganizer,,No,,Mini-SIM,VGA,86 g (3.03 oz),,"100 received, 100 dialed and 100 missed calls",Discontinued,No,Yes,,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,"128 x 128 pixels, 1:1 ratio",Up to 5 h,No,,,,"2005, August",,GSM,No,,Siemens,https://fdn2.gsmarena.com/vv/bigpic/siemens-c72.gif,,Siemens C72,"SMS, EMS, MMS, Email, Instant Messaging",Liquid Silver,"CSTN, 65K colors",Yes,Class 10,105 x 47 x 18 mm (4.13 x 1.85 x 0.71 in),,Proprietary,No,No,No,,Yes,Removable Li-Ion 750 mAh battery,,,"Yes, MIDP 2.0"
100 short messages,LED flash,,Up to 300 h,"Vibration; Downloadable polyphonic, MP3, AAC ringtones",,No,1.2,Yes + downloadable,,,Push to TalkMP3/AAC/MP4 playerPredictive text inputOrganizerSyncMLVoice memo,,No,,Mini-SIM,1.3 MP,99 g (3.49 oz),,"100 dialed, 100 received, 100 missed calls",Discontinued,No,Yes,,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,"132 x 176 pixels, 4:3 ratio (~116 ppi density)",Up to 5 h,"RS-MMC, up to 1 GB, 128 MB included",,,,"2005, Q2",,GSM,No,,Siemens,https://fdn2.gsmarena.com/vv/bigpic/siemens-s75.gif,"1.9 inches, 28 x 38 mm, 11.2 cm2(~23.1% screen-to-body ratio)",Siemens S75,"SMS, MMS, EMail, Instant Messaging","Piano Black, Zirconia","TFT, 256K colors","1000 x 43 fields, Photo call",Class 10,"103 x 47 x 18.5 mm, 84 cc (4.06 x 1.85 x 0.73 in)",20MB,Proprietary,Yes,No,No,,Yes,Removable Li-Ion 820 mAh battery,,,"Yes, MIDP 2.0"
No,LED flash,,Up to 300 h,"Vibration; Downloadable polyphonic, MP3, AAC ringtones",,No,1.2,"SeaBattle, Wappo 2, Golf + downloadable",,,,,No,,Mini-SIM,1.3 MP,99 g (3.49 oz),,"100 dialed, 100 received, 100 missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,"132 x 176 pixels, 4:3 ratio",Up to 5 h,No,,,,"2005, Q2",,GSM,MP3/AAC/MP4 playerPredictive text inputOrganizerVoice memo,,Siemens,https://fdn2.gsmarena.com/vv/bigpic/siemens-sl75.gif,,Siemens SL75,"SMS, MMS, Email, Instant Messaging","Pure Silver, Polar White, Onyx Black","TFT, 256K colors","1000 x 23 fields, Photo call",Class 10,"92 x 48 x 23 mm, 78 cc (3.62 x 1.89 x 0.91 in)",52MB,Proprietary,Yes,No,No,,Yes,Removable Li-Ion 700 mAh battery,,,"Yes, MIDP 2.0"
5-way joystickDownload assistant for logos,,,Up to 300 h,Vibration; Downloadable polyphonic ringtones,,Yes,No,Yes,,,No,Predictive text inputStopwatchOrganizerVoice memoClip-it coversUser profilesSyncML,No,,Mini-SIM,VGA,85 g (3.00 oz),,"100 received, 100 dialed and 100 missed calls",Discontinued,No,Yes,,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,"132 x 176 pixels, 9 lines, 4:3 ratio",Up to 5 h 30 min,No,,,,"2005, May",,GSM,100 short messages,,Siemens,https://fdn2.gsmarena.com/vv/bigpic/siemens-c75.gif,,Siemens C75,"SMS, EMS, MMS, Email, Instant Messaging",Palladium and Light Silver,"TFT, 65K colors","1000 x 20 fields, Photo call",Class 10,103 x 44 x 17 mm (4.06 x 1.73 x 0.67 in),10MB,Proprietary,No,No,No,,Yes,Removable Li-Ion 750 mAh battery,,,Yes
Download assistant for logos,,,Up to 250 h,Vibration; Downloadable polyphonic ringtones,,Yes,1.2,Yes + downloadable,,,Predictive text inputOrganizerStopwatchReminder listVoice memoSyncML,,No,,Mini-SIM,,98 g (3.46 oz),,"100 dialed, 100 received, 100 missed calls",Discontinued,No,Yes,,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,"132 x 176 pixels, 9 lines, 4:3 ratio (~105 ppi density)",Up to 5 h,RS-MMC,,,,"2005, March",,GSM,No,,Siemens,https://fdn2.gsmarena.com/vv/bigpic/sisp65.gif,"2.1 inches, 32 x 42 mm, 13.7 cm2(~26.1% screen-to-body ratio)",Siemens SP65,"SMS, EMS, MMS, Email, Instant messaging","Steel black, Bordeaux","TFT, 65K colors",1000 x 20 fields,Class 10,"109 x 48 x 18 mm, 85 cc (4.29 x 1.89 x 0.71 in)",,Proprietary,No,No,No,,,Removable Li-Ion 750 mAh battery,,,"Yes, MIDP 2.0"
64 MB free memory,,,Up to 400 h,"Vibration; Downloadable polyphonic ringtones, composer",,Yes,1.1,Yes + downloadable,,,Predictive text inputOrganizerInfrared transfer of data between compatible phonesXpress-on coversProfiles,,No,,Mini-SIM,2 MP,134 g (4.73 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,Yes,,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",Up to 6 h,RS-MMC,,,"Yes, 384 kbps","2005, Q1",,GSM / UMTS,CIF videocall camera,,Siemens,https://fdn2.gsmarena.com/vv/bigpic/siemens-sxg75.gif,"2.2 inches, 33 x 45 mm, 15.0 cm2(~25.4% screen-to-body ratio)",Siemens SXG75,"SMS, MMS, EMail, Instant Messaging","Metallic White, Metallic Black","TFT, 256K colors",250 entries,,"111.5 x 53 x 20 mm, 108 cc (4.39 x 2.09 x 0.79 in)",128MB,Proprietary,,GPS,"Stereo FM radio, RDS",UMTS 2100,Yes,Removable Li-Ion 1000 mAh battery,,,"Yes, MIDP 2.0"
