,CPU,Features,4G bands,Single_1,Stand-by,Alert types,OS,Loudspeaker,Bluetooth,Games,_2,Price,_3,3.5mm jack,SIM,Single,Weight,Chipset,Loudspeaker_1,Call records,Status,WLAN,2G bands,Browser,Resolution,Talk time,Card slot,Speed,NFC,Announced,Video_1,Technology,_1,Brand,Protection,GPU,Model Image,Size,Model Name,Music play,Messaging,Colors,Type,Phonebook,GPRS,Dimensions,Internal,USB,EDGE,Positioning,Radio,3G bands,Models,Charging,Video,Type_1,_4,Sensors,Java
IP68 dust/water resistant (up to 1.5m for 30 min)IPX9K water ingress protectionMIL-STD-810H,Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),LED flash,"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 25, 26, 29, 30, 39, 40, 41, 66, 71",,,,Sonim OS (based on AOSP Android 11),"Yes, with dual speakers","5.0, A2DP, LE",,Top-mount PTT control knobs (optional),About 300 EUR,,No,Nano-SIM + Nano-SIM,8 MP,275 g (9.70 oz),Qualcomm SM6115 Snapdragon 662 (11 nm),,,"Available. Released 2022, July 15","Wi-Fi 802.11 a/b/g/n/ac, dual-band",GSM 850 / 900 / 1800 / 1900,,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",,microSDXC,"HSPA, LTE",No,"2022, July 15",,GSM / HSPA / LTE,,Sonim,Corning Gorilla Glass 3,Adreno 610,https://fdn2.gsmarena.com/vv/bigpic/sonim-xp5plus.jpg,"2.8 inches, 24.3 cm2(~24.8% screen-to-body ratio)",Sonim XP5plus,,,Black,TFT LCD,,,148.7 x 65.9 x 21 mm (5.85 x 2.59 x 0.83 in),16GB 2GB RAM,USB Type-C,,"GPS, GLONASS, GALILEO, BDS",FM radio,HSDPA 850 / 1700(AWS) / 1900 / 2100,,,1080p@30fps,"Li-Ion 3500 mAh, removable",,"Accelerometer, barometer",
IP68 dust/water resistant (up to 1.5m for 30 min)MIL-STD-810H,Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),LED flash,"1, 2, 3, 4, 5, 7, 12, 13, 14, 25, 26, 30, 39, 40, 41, 66, 71",,,,Sonim OS (based on AOSP Android 11),Yes,"5.0, A2DP, LE",,,About 240 EUR,,Yes,Nano-SIM,8 MP,220 g (7.76 oz),Qualcomm SM6115 Snapdragon 662 (11 nm),,,"Available. Released 2021, September","Wi-Fi 802.11 a/b/g/n/ac, dual-band",GSM 850 / 900 / 1800 / 1900,,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",,microSDXC (dedicated slot),"HSPA, LTE",No,"2021, September",,GSM / HSPA / LTE,"Cover display:IPS LCD, 1.3 inches, 240 x 240 pixels",Sonim,,Adreno 610,https://fdn2.gsmarena.com/vv/bigpic/sonim-xp3plus.jpg,"2.8 inches, 24.3 cm2(~34.9% screen-to-body ratio)",Sonim XP3plus,,,Black,TFT LCD,,,116 x 60 x 28 mm (4.57 x 2.36 x 1.10 in),16GB 2GB RAM,USB Type-C,,"GPS, GLONASS, GALILEO",FM Radio,HSDPA 850 / 1700(AWS) / 1900 / 2100,,,,"Li-Ion 2300 mAh, removable",,"Accelerometer, barometer",
CDMA 800 / 1900,Quad-core 1.1 GHz Cortex-A7,LED flash,"1, 2, 3, 4, 5, 8, 12, 13, 14, 25, 26, 38, 41, 66",,,,Sonim OS (based on AOSP Android 8.1),Yes,"4.2, A2DP, LE",,IP68 dust/water resistant (up to 1.5m for 30 min)MIL-STD-810G,About 190 EUR,"Cover display:TN LCD, 1.08 inches, 96 x 96 pixels",Yes,Nano-SIM,5 MP,195 g (6.88 oz),Qualcomm MSM8909 Snapdragon 210 (28 nm),,,"Available. Released 2019, March","Wi-Fi 802.11 a/b/g/n/r, dual-band",GSM 850 / 900 / 1800 / 1900,,"240 x 320 pixels, 4:3 ratio (~154 ppi density)",,microSDXC (dedicated slot),"HSPA, LTE",No,"2019, March",,GSM / CDMA / HSPA / EVDO / LTE,CDMA2000 1xEV-DO,Sonim,,Adreno 304,https://fdn2.gsmarena.com/vv/bigpic/sonim-xp3-2019-th.jpg,"2.6 inches, 20.9 cm2(~32.2% screen-to-body ratio)",Sonim XP3,,,Black,TFT LCD,,,112 x 58 x 27 mm (4.41 x 2.28 x 1.06 in),8GB 1GB RAM,USB Type-C,,"GPS, GLONASS, GALILEO",FM Radio,HSDPA 800 / 850 / 900 / 1700(AWS) / 2100,,,,"Li-Ion 1500 mAh, removable",,Barometer,
CDMA 800 / 1900,Quad-core 1.4 GHz Cortex-A53,LED flash,"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 25, 26, 28, 30, 38, 41, 66",,,,Sonim OS (based on AOSP Android 8.1),Yes,"4.2, A2DP, EDR, LE",,IP68 dust/water resistant (up to 1.5m for 30 min)MIL-STD-810G,About 340 EUR,,No,Nano-SIM + Nano-SIM,5 MP,260 g (9.17 oz),Qualcomm MSM8920 Snapdragon 427 (28 nm),,,"Available. Released 2018, December 21","Wi-Fi 802.11 a/b/g/n/ac/e/k/r/h, dual-band",GSM 850 / 900 / 1800 / 1900,,"320 x 432 pixels, 4:3 ratio (~204 ppi density)",,microSDXC,"HSPA, LTE",No,"2018, December 21",,GSM / CDMA / HSPA / EVDO / LTE,CDMA2000 1xEV-DO,Sonim,Corning Gorilla Glass 1,Adreno 308,https://fdn2.gsmarena.com/vv/bigpic/sonim-xp5s.jpg,"2.64 inches, 21.5 cm2(~23.8% screen-to-body ratio)",Sonim XP5s,,,Black,TFT LCD,,,141 x 64 x 23 mm (5.55 x 2.52 x 0.91 in),16GB 2GB RAM,USB Type-C,,"GPS, GLONASS",FM radio,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,XP5800,,720p@30fps,"Li-Ion 3180 mAh, removable",,"Accelerometer, barometer",
CDMA 800 / 1900,Octa-core 2.2 GHz Cortex-A53,"LED flash, HDR, panorama","1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 20, 25, 26, 28, 29, 30, 38, 40, 41, 66",8 MP,Up to 720 h,,Android 7.0 (Nougat),Yes,"5.0, A2DP, EDR, LE",,IP69 dust proof and water resistant over 1 meter and 30 minutesMIL-STD-810G,About 700 EUR,,No,Nano-SIM + Nano-SIM,"12 MP, PDAF",335 g (11.82 oz),Qualcomm SDM630 Snapdragon 630 (14 nm),,,"Available. Released 2018, May","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",GSM 850 / 900 / 1800 / 1900,,"1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",Up to 30 h,microSDXC,"HSPA 42.2/5.76 Mbps, LTE (3CA) Cat12 600/150 Mbps",Yes,"2018, April",1080p@30fps,GSM / CDMA / HSPA / EVDO / LTE,CDMA2000 1xEV-DO,Sonim,Corning Gorilla Glass 3,Adreno 508,https://fdn2.gsmarena.com/vv/bigpic/sonim-xp8.jpg,"5.0 inches, 68.9 cm2(~57.0% screen-to-body ratio)",Sonim XP8,Up to 70 h,,Black,IPS LCD,,,152 x 79.5 x 18 mm (5.98 x 3.13 x 0.71 in),64GB 4GB RAM,"USB Type-C 2.0, magnetic connector",,"GPS, GLONASS",FM radio,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,XP8800,"18W wired, QC4",1080p@30fps,"Li-Ion 4900 mAh, removable",,"Accelerometer, gyro, proximity, compass, barometer",
HSDPA 850 / 1900 / 2100 - Telus,Quad-core 1.2 GHz Cortex-A7,LED flash,"1, 2, 4, 5, 7, 8, 12, 17",1 MP,Up to 1000 h,,Android 4.4.2 (KitKat),Yes,"4.0, A2DP, LE",,IP69 dust proof and water resistant over 1 meter and 30 minutes,About 700 EUR,eMMC 4.5,Yes,Micro-SIM,"8 MP, AF",290 g (10.23 oz),Qualcomm MSM8926 Snapdragon 400 (28 nm),,,Discontinued,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot",GSM 850 / 900 / 1800 / 1900,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",Up to 40 h,No,"HSPA, LTE",Yes,"2014, November. Released 2015, April",,GSM / HSPA / LTE,"1, 2, 3, 4, 5, 7, 17 - Telus",Sonim,Corning Gorilla Glass 2,Adreno 305,https://fdn2.gsmarena.com/vv/bigpic/sonim-xp7.jpg,"4.0 inches, 45.5 cm2(~46.1% screen-to-body ratio)",Sonim XP7,,,"Black, Yellow",IPS LCD,,,137 x 72.1 x 20.8 mm (5.39 x 2.84 x 0.82 in),16GB 1GB RAM,microUSB 2.0,,"GPS, GLONASS",FM radio,HSDPA 850 / 900 / 1900 / 2100,XP7700,,1080p@30fps,"Li-Ion 4800 mAh, non-removable",,"Accelerometer, proximity",
MIL-STD-810G compliantIP68/IP69 dust/water resistant (up to 1.8m for 30 min)Drop resistant up to 2mOperational range -20°C to +55°CFlashlight,Quad-core 1.2 GHz Cortex-A7,,"1, 2, 4, 5, 7, 8, 12, 17",,Up to 1080 h,,Android 4.4.2 (KitKat),Yes,"4.0, A2DP, LE",,No,About 490 EUR,,Yes,Micro-SIM,5 MP,270 g (9.52 oz),Qualcomm MSM8926 Snapdragon 400 (28 nm),,,Discontinued,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot",GSM 850 / 900 / 1800 / 1900,,"320 x 432 pixels, 4:3 ratio (~204 ppi density)",Up to 40 h,No,"HSPA, LTE",No,"2014, November. Released 2014, December",,GSM / HSPA / LTE,eMMC 4.5,Sonim,Yes,Adreno 305,https://fdn2.gsmarena.com/vv/bigpic/sonim-xp6.jpg,"2.63 inches, 21.3 cm2(~24.2% screen-to-body ratio)",Sonim XP6,,,Black,IPS LCD,,,137 x 64.5 x 20.5 mm (5.39 x 2.54 x 0.81 in),8GB 1GB RAM,microUSB 2.0,,"GPS, GLONASS",FM radio,HSDPA 850 / 900 / 1900 / 2100,,,720p@30fps,"Li-Ion 4800 mAh, non-removable",,"Accelerometer, proximity",
MIL-STD-810G compliantIP68 dust/water resistant (up to 2m for 60 min)Drop resistant up to 2mOperational range -20°C to +55°CFlashlight,,LED flash,,,Up to 850 h,,,Yes,"2.1, A2DP, EDR",Yes,OrganizerMP3/WAV/AAC playerMP4/H.263 playerVoice memoStopwatchCount-down timerFile manager,,,Yes,Mini-SIM,2 MP,185 g (6.53 oz),Qualcomm QSC6085,,Yes,Discontinued,No,CDMA 800 / 1900,,"240 x 320 pixels, 4:3 ratio (~200 ppi density)",Up to 9 h 30 min,microSDHC (dedicated slot),EV-DO Rev.A 3.1 Mbps,,"2011, Q3. Released 2012, Q1",,CDMA / EVDO,No,Sonim,Corning Gorilla Glass,,https://fdn2.gsmarena.com/vv/bigpic/sonim-xp3400-armor.jpg,"2.0 inches, 12.4 cm2(~16.4% screen-to-body ratio)",Sonim XP3400 Armor,,"SMS, MMS, Email","Black, Black/Yellow","TFT, 65K colors",Yes,,126 x 60 x 25 mm (4.96 x 2.36 x 0.98 in),,2.0,,"GPS, A-GPS",FM radio,CDMA2000 1xEV-DO,,,Yes,Removable Li-Ion 1750 mAh battery,,,No
MIL-STD-810G compliantIP68 dust/water resistant (up to 2m for 60 min)Drop resistant up to 2mOperational range -20°C to +55°CFlashlight,,LED flash,,,Up to 1500 h,,,Yes,"2.1, A2DP, EDR",Yes,OrganizerMP3/WAV/AAC playerMP4/H.263 playerVoice memoStopwatchCount-down timerFile manager,,,Yes,Mini-SIM,2 MP,185 g (6.53 oz),,,Yes,Discontinued,No,GSM 850 / 900 / 1800 / 1900,,"240 x 320 pixels, 4:3 ratio (~200 ppi density)",Up to 22 h (2G) / Up to 12 h (3G),microSDHC (dedicated slot),"Yes, 384 kbps",,"2011, August",,GSM / HSPA,No,Sonim,Corning Gorilla Glass,,https://fdn2.gsmarena.com/vv/bigpic/sonim-xp5300-force-3g.jpg,"2.0 inches, 12.4 cm2(~16.4% screen-to-body ratio)",Sonim XP5300 Force 3G,,"SMS, MMS, Email","Black, Black/Yellow","TFT, 65K colors",Yes,,126 x 60 x 25 mm (4.96 x 2.36 x 0.98 in),,2.0,,"GPS, A-GPS",FM radio,HSDPA 900 / 1700 / 2100,,,Yes,Removable Li-Ion 1950 mAh battery,,Accelerometer,"Yes, MIDP 2.0"
MIL-STD-810G compliantIP68 dust/water resistant (up to 2m for 60 min)Drop resistant up to 2mOperational range -20°C to +55°CFlashlight,,LED flash,,,Up to 800 h,,MediaTek MT6235 platform,Yes,"2.1, A2DP",,OrganizerMP3/WAV/AAC playerMP4/H.263 playerVoice memoStopwatchCount-down timerFile manager,,,Yes,Mini-SIM,2 MP,185 g (6.53 oz),,,,Discontinued,No,GSM 850 / 900 / 1800 / 1900,,"240 x 320 pixels, 4:3 ratio (~200 ppi density)",Up to 24 h,microSDHC (dedicated slot),,,"2011, August",,GSM,No,Sonim,Corning Gorilla Glass,,https://fdn2.gsmarena.com/vv/bigpic/sonim-xp3340-sentinel.jpg,"2.0 inches, 12.4 cm2(~16.4% screen-to-body ratio)",Sonim XP3340 Sentinel,,,"Black, Black/Yellow","TFT, 65K colors",,Class 12,126 x 60 x 25 mm (4.96 x 2.36 x 0.98 in),,2.0,Class 12,"GPS, A-GPS",FM radio,,,,Yes,Removable Li-Ion 1750 mAh battery,,Accelerometer,
