,CPU,Features,Stand-by,Camera,Single_1,Alert types,OS,Loudspeaker,Bluetooth,SAR EU,Games,Stand-by_1,_2,Price,_3,3.5mm jack,Keyboard,SIM,Single,Weight,Chipset,Loudspeaker_1,Call records,Status,WLAN,Infrared port,Talk time_1,2G bands,Battery (old),Display,Browser,Resolution,Talk time,Card slot,Alarm,Speed,Announced,Video_1,Technology,_1,SAR,Clock,Brand,Protection,GPU,Audio quality,Model Image,Size,Model Name,Music play,Messaging,Colors,Type,Phonebook,GPRS,Dimensions,Internal,USB,EDGE,Positioning,Radio,3G bands,Models,Video,Type_1,_4,Sensors,Java
HSDPA 850 / 1900 / 2100 / 800  - LT18a,1.4 GHz Scorpion,"LED flash, panorama",Up to 460 h (2G) / Up to 460 h (3G),Photo/Video,,,"Android 2.3.4 (Gingerbread), 4.0.4 (Ice Cream Sandwich), not upgradable to 4.1 (Jelly Bean)",Yes,"2.1, A2DP, EDR",0.66 W/kg (head),,,ANT+HDMI portMP4/H.264/WMV playerMP3/eAAC+/WMA/WAV playerTrackID music recognitionNeoReader barcode scannerDocument viewerVoice memo/dial/commandsPredictive text input,About 210 EUR,,Yes,,Mini-SIM,"8 MP, AF",117 g (4.13 oz),Qualcomm MSM8255T Snapdragon S2,Voice 67dB / Noise 65dB / Ring 76dB,,Discontinued,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",,,GSM 850 / 900 / 1800 / 1900,,,,"480 x 854 pixels, 16:9 ratio (~233 ppi density)",Up to 7 h 25 min (2G) / Up to 7 h 35 min (3G),"microSDHC (dedicated slot), 8 GB included",,HSPA 14.4/5.76 Mbps,"2011, August. Released 2011, September",,GSM / HSPA,No,,,Sony_Ericsson,Scratch-resistant glass,Adreno 205,Noise -89.3dB / Crosstalk -90.2dB,https://fdn2.gsmarena.com/vv/bigpic/sonyericsson-xperia-arc-s.jpg,"4.2 inches, 48.6 cm2(~61.7% screen-to-body ratio)",Sony Ericsson Xperia Arc S,Up to 37 h,,"Pure White, Midnight Blue, Misty Silver, Gloss Black, Sakura Pink","LED-backlit LCD,",,,125 x 63 x 8.7 mm (4.92 x 2.48 x 0.34 in),"1GB (320MB user available), 512MB RAM","microUSB 2.0, OTG",,"GPS, A-GPS; GLONASS","Stereo FM radio, RDS",HSDPA 900 / 2100  - LT18i,,720p@30fps,Removable Li-Po 1500 mAh battery,,"Accelerometer, proximity, compass",
HSDPA 850 / 1900 / 2100 - MT11a,1.0 GHz Scorpion,"LED flash, panorama",Up to 430 h (2G) / Up to 400 h (3G),Photo/Video,VGA,,"Android 2.3.4 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich)",Yes,"2.1, A2DP, EDR",1.10 W/kg (head),,,,About 150 EUR,,Yes,,Mini-SIM,"5 MP, AF",126 g (4.44 oz),Qualcomm MSM8255 Snapdragon S2,Voice 68dB / Noise 65dB / Ring 71dB,,Discontinued,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",,,GSM 850 / 900 / 1800 / 1900,Endurance rating 42h,Contrast ratio: 1578:1 (nominal),,"480 x 854 pixels, 16:9 ratio (~265 ppi density)",Up to 6 h 55 min (2G) / Up to 7 h (3G),"microSDHC (dedicated slot), 2 GB included",,HSPA 7.2/5.76 Mbps,"2011, August. Released 2011, October",,GSM / HSPA,ANT+HDMI portMP4/H.264/WMV playerMP3/WMA/WAV/eAAC+ playerTrackID music recognitionOrganizerDocument viewerVoice memo/dial/commandsPredictive text input (T9 Trace),,,Sony_Ericsson,Scratch-resistant glass,Adreno 205,Noise -89.6dB / Crosstalk -80.9dB,https://fdn2.gsmarena.com/vv/bigpic/sony-ericsson-xperia-neo-v.jpg,"3.7 inches, 37.7 cm2(~57.1% screen-to-body ratio)",Sony Ericsson Xperia neo V,Up to 31 h,,"White, Blue Gradient, Silver","LED-backlit LCD,",,,116 x 57 x 13 mm (4.57 x 2.24 x 0.51 in),"1GB (320MB user available), 512MB RAM","microUSB 2.0, OTG",,"GPS, A-GPS","Stereo FM radio, RDS",HSDPA 900 / 2100 - MT11i,,720p@30fps,Removable Li-Po 1500 mAh battery,,"Accelerometer, proximity, compass",
HSDPA 850 / 1900 / 2100 - WT19a,1.0 GHz Scorpion,LED flash,Up to 350 h (2G) / Up to 400 h (3G),Photo/Video,VGA,,"Android 2.3 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich)","Yes, with stereo speakers","2.1, A2DP, EDR",1.00 W/kg (head),,,,About 120 EUR,,Yes,,Mini-SIM,"5 MP, AF",115 g (4.06 oz),Qualcomm MSM8255 Snapdragon S2,Voice 75dB / Noise 68dB / Ring 78dB,,Discontinued,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",,,GSM 850 / 900 / 1800 / 1900,,,,"320 x 480 pixels, 3:2 ratio (~180 ppi density)",Up to 14 h 15 min (2G) / Up to 6 h 42 min (3G),"microSDHC (dedicated slot), 2 GB included",,HSPA 7.2/5.76 Mbps,"2011, August. Released 2011, October",,GSM / HSPA,ANT+MP4/H.264/WMV playerMP3/eAAC+/WMA/WAV playerTrackID music recognitionDocument editorVoice memoPredictive text input,,,Sony_Ericsson,Scratch-resistant glass,Adreno 205,Noise -88.1dB / Crosstalk -87.9dB,https://fdn2.gsmarena.com/vv/bigpic/sony-ericsson-live-with-walkman.jpg,"3.2 inches, 30.5 cm2(~50.9% screen-to-body ratio)",Sony Ericsson Live with Walkman,Up to 17 h 30 min,,"Black, White",TFT,,,106 x 56.5 x 14.2 mm (4.17 x 2.22 x 0.56 in),320MB 512MB RAM,"microUSB 2.0, OTG",,"GPS, A-GPS","Stereo FM radio, RDS",HSDPA 900 / 2100 - WT19i,,720p,Removable Li-Ion 1200 mAh battery,,"Accelerometer, proximity, compass",
HSDPA 850 / 1900 / 2100 - ST18a,1.0 GHz Scorpion,LED flash,Up to 430 h (2G) / Up to 440 h (3G),Photo/Video,VGA,,"Android 2.3 (Gingerbread), upgradable to 4.0.4 (Ice Cream Sandwich)",Yes,"2.1, A2DP, EDR",0.96 W/kg (head),,,ANT+MP4/H.264 playerMP3/WAV playerTrackID music recognitionSensMeDocument viewerVoice memoPredictive text input,About 170 EUR,,Yes,,Mini-SIM,"8 MP, AF",100 g (3.53 oz),Qualcomm MSM8255 Snapdragon S2,Voice 64dB / Noise 61dB / Ring 66dB,,Discontinued,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",,,GSM 850 / 900 / 1800 / 1900,,Contrast ratio: 1.955:1 (sunlight),"HTML, Adobe Flash","480 x 854 pixels, 16:9 ratio (~297 ppi density)",Up to 6 h 50 min (2G) / Up to 7 h (3G),"microSDHC (dedicated slot), 4 GB included",,HSPA 7.2/5.76 Mbps,"2011, June. Released 2011, August",,GSM / HSPA,Touch sensitive controls,,,Sony_Ericsson,Scratch-resistant glass,Adreno 205,Noise -89.4dB / Crosstalk -91.3dB,https://fdn2.gsmarena.com/vv/bigpic/se-xperia-ray-ofic.jpg,"3.3 inches, 30.0 cm2(~51.0% screen-to-body ratio)",Sony Ericsson Xperia ray,Up to 36 h,,"Black, Gold, White, Pink","LED-backlit LCD,",,,111 x 53 x 9.4 mm (4.37 x 2.09 x 0.37 in),"1GB (300MB user available), 512MB RAM",microUSB 2.0,,"GPS, A-GPS","Stereo FM radio, RDS",HSDPA 900 / 2100 - ST18i,,720p,Removable Li-Ion 1500 mAh battery,,"Accelerometer, proximity, compass",
HSDPA 1900 / 2100 / 800,1.0 GHz Scorpion,LED flash,Up to 351 h (2G) / Up to 335 h (3G),Photo/Video,,,"Android 2.3 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich)",Yes,"2.1, A2DP, EDR",,,,Touch sensitive controls,About 170 EUR,No,Yes,,Mini-SIM,"5 MP, AF",110.8 g (3.88 oz),Qualcomm MSM8255 Snapdragon S2,Voice 70dB / Noise 64dB / Ring 68dB,,Discontinued,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",,,GSM 850 / 900 / 1800 / 1900,,,"HTML, Adobe Flash","320 x 480 pixels, 3:2 ratio (~192 ppi density)",Up to 4 h 53 min (2G) / Up to 5 h 31 min (3G),"microSDHC (dedicated slot), 2 GB included",,HSPA 7.2/5.76 Mbps,"2011, June. Released 2011, October",,GSM / HSPA,IP67 dust/water resistant (up to 1m for 30 min)Flashlight,1.12 W/kg (head)     1.07 W/kg (body),,Sony_Ericsson,Scratch-resistant glass,Adreno 205,Noise -89.5dB / Crosstalk -91.4dB,https://fdn2.gsmarena.com/vv/bigpic/Sony-Ericsson-Xperia-active1.jpg,"3.0 inches, 26.8 cm2(~53.0% screen-to-body ratio)",Sony Ericsson Xperia active,Up to 25 h,,"Orange/Black, White/Black","LED-backlit LCD,",,,92 x 55 x 16.5 mm (3.62 x 2.17 x 0.65 in),"1GB (320MB user available), 512MB RAM",microUSB 2.0,,"GPS, A-GPS","Stereo FM radio, RDS",HSDPA 900 / 2100,,720p,Removable Li-Ion 1200 mAh battery,ANT+MP4/H.264 playerMP3/eAAC+/WAV playerTrackID music recognitionDocument viewerVoice memoPredictive text input,"Accelerometer, proximity, compass",
No,,fixed-focus,Up to 416 h,,,,,Yes,"2.1, A2DP, EDR",0.92 W/kg (head),Yes,,,About 60 EUR,,Yes,QWERTY,Mini-SIM,3.15 MP,95 g (3.35 oz),,,Yes,Discontinued,Wi-Fi 802.11 b/g,,,GSM 850 / 900 / 1800 / 1900,,,HTML,"320 x 240 pixels, 4:3 ratio (~157 ppi density)",Up to 3 h 12 min,microSDHC (dedicated slot),,,"2011, June. Released 2011, October",,GSM,SNS integration with native Facebook and Twitter clientsMP4/H.264 playerMP3/eAAC+/WAV playerTrackID music recognitionVoice memoPredictive text input,,,Sony_Ericsson,Scratch-resistant glass,,,https://fdn2.gsmarena.com/vv/bigpic/se-txt-ofic.jpg,"2.55 inches, 20.1 cm2(~31.7% screen-to-body ratio)",Sony Ericsson txt,Up to 23 h,"SMS(threaded view), MMS, Email, Push email, IM","Black, Blue, White, Pink","TFT,  256K colors","Yes, Photocall",Up to 60 kbps,106 x 60 x 14.5 mm (4.17 x 2.36 x 0.57 in),"120MB (100MB user available), 64MB RAM",microUSB 2.0,Up to 177 kbps,No,"Stereo FM radio, RDS",,,Yes,Removable Li-Ion 1000 mAh battery,,,"Yes, MIDP 2.1"
No,,,Up to 465 h,Photo,,,,Yes,"2.1, A2DP",0.91 W/kg (head),Yes,,,About 70 EUR,,Yes,,Mini-SIM,3.15 MP,88 g (3.10 oz),,Voice 70dB / Noise 72dB / Ring 75dB,Yes,Discontinued,Wi-Fi 802.11 b/g,,,GSM 850 / 900 / 1800 / 1900 - WT13i,,Contrast ratio: 751:1 (nominal),"WAP 2.0/xHTML, HTML","240 x 400 pixels, 5:3 ratio (~155 ppi density)",Up to 9 h 40 min,microSDHC (dedicated slot),,,"2011, June. Released 2011, August",,GSM,SNS integrationWalkman player (MP3/eAAC+/WMA/MP4/H.263)SensMeTrackID music recognitionDocument viewerVoice memoPredictive text input,,,Sony_Ericsson,Scratch-resistant glass,,,https://fdn2.gsmarena.com/vv/bigpic/sony-ericsson-mix-walkman.jpg,"3.0 inches, 25.6 cm2(~50.6% screen-to-body ratio)",Sony Ericsson Mix Walkman,Up to 13 h,"SMS(threaded view), MMS, Email, IM","Black with pink cloud band, Black with pink band, Black with green bird band, Black with green band","TFT, 256K colors","Yes, Photocall",Up to 115 kbps,95.8 x 52.8 x 14.3 mm (3.77 x 2.08 x 0.56 in),256MB (100MB user available),microUSB 2.0,Up to 200 kbps,No,"Stereo FM radio, RDS",,,320p,Removable Li-Ion 1000 mAh battery,,"Accelerometer, proximity",Yes
No,PNX-4910,,Up to 400 h,,,,,Yes,"2.1, A2DP",0.80 W/kg (head),Yes,,,About 80 EUR,,Yes,QWERTY,Mini-SIM,3.15 MP,100 g (3.53 oz),,,Yes,Discontinued,Wi-Fi 802.11 b/g,,,GSM 850 / 900 / 1800 / 1900,,,"WAP 2.0/xHTML, HTML","240 x 400 pixels, 5:3 ratio (~155 ppi density)",Up to 5 h 10 min,microSDHC (dedicated slot),,,"2011, June. Released 2011, July",,GSM,SNS integrationMP4/H.263 playerMP3/eAAC+/WAV/WMA playerTrackID music recognitionDocument viewerVoice memoPredictive text input,,,Sony_Ericsson,Scratch-resistant glass,,,https://fdn2.gsmarena.com/vv/bigpic/sony-ericsson-txt-pro.jpg,"3.0 inches, 25.6 cm2(~53.0% screen-to-body ratio)",Sony Ericsson txt pro,,"SMS(threaded view), MMS, Email, IM","Black, White, Pink","TFT, 256K colors","Yes, Photocall",Up to 85.6 kbps,93 x 52 x 18 mm (3.66 x 2.05 x 0.71 in),100MB 64MB RAM,microUSB 2.0,Up to 236.8 kbps,No,"Stereo FM radio, RDS",,,320p,Removable Li-Ion 1000 mAh battery,,"Accelerometer, proximity",Yes
HSDPA 850 / 1900 / 2100,1.0 GHz Scorpion,LED flash,Up to 340 h (2G) / Up to 320 h (3G),Photo/Video,,,"Android 2.3 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich)",Yes,"2.1, A2DP",0.78 W/kg (head),,,ANT+MP4/H.264/WMV playerMP3/eAAC+/WMA/WAV playerTrackID music recognitionDocument viewerVoice memoPredictive text input,About 120 EUR,,Yes,,Mini-SIM,"5 MP, AF",99 g (3.49 oz),Qualcomm MSM8255 Snapdragon S2,Voice 71dB / Noise 65dB / Ring 66dB,,Discontinued,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",,,GSM 850 / 900 / 1800 / 1900,,,"HTML, Adobe Flash","320 x 480 pixels, 3:2 ratio (~192 ppi density)",Up to 4 h 30 min (2G) / Up to 4 h 30 min (3G),"microSDHC (dedicated slot), 2 GB included",,HSPA 7.2/5.76 Mbps,"2011, May. Released 2011, August",,GSM / HSPA,No,,,Sony_Ericsson,Scratch-resistant glass,Adreno 205,Noise -88.7dB / Crosstalk -90.6dB,https://fdn2.gsmarena.com/vv/bigpic/se-xperia-mini-ofic.jpg,"3.0 inches, 26.8 cm2(~58.6% screen-to-body ratio)",Sony Ericsson Xperia mini,Up to 25 h,,"Black, White, Blue, Dark pink","LED-backlit LCD,",,,88 x 52 x 16 mm (3.46 x 2.05 x 0.63 in),"512MB RAM, 320MB",microUSB 2.0,,"GPS, A-GPS","Stereo FM radio, RDS",HSDPA 900 / 2100,ST15i,720p,Removable Li-Ion 1200 mAh battery,,"Accelerometer, proximity, compass",
HSDPA 850 / 1900 / 2100,1.0 GHz Scorpion,LED flash,Up to 331 h (2G) / Up to 340 h (3G),Photo/Video,VGA,,"Android 2.3 (Gingerbread), 4.0 (Ice Cream Sandwich), not upgradable to 4.1 (Jelly Bean)",Yes,"2.1, A2DP",0.46 W/kg (head),,,,About 140 EUR,,Yes,QWERTY,Mini-SIM,"5 MP, AF",136 g (4.80 oz),Qualcomm MSM8255 Snapdragon S2,Voice 70dB / Noise 62dB / Ring 70dB,,Discontinued,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",,,GSM 850 / 900 / 1800 / 1900,,Contrast ratio: 714:1 (nominal),"HTML, Adobe Flash","320 x 480 pixels, 3:2 ratio (~192 ppi density)",Up to 5 h 40 min (2G) / Up to 5 h 25 min (3G),"microSDHC (dedicated slot), 2 GB included",,HSPA 7.2/5.76 Mbps,"2011, May. Released 2011, August",,GSM / HSPA,ANT+MP4/H.264/WMV playerMP3/eAAC+/WMA/WAV playerTrackID music recognitionDocument viewerVoice memoPredictive text input,,,Sony_Ericsson,Scratch-resistant glass,Adreno 205,Noise -89.7dB / Crosstalk -91.0dB,https://fdn2.gsmarena.com/vv/bigpic/se-xperia-mini-pro-ofic.jpg,"3.0 inches, 26.8 cm2(~55.0% screen-to-body ratio)",Sony Ericsson Xperia mini pro,Up to 29 h,,"Black, White, Pink, Turquoise","LED-backlit LCD,",,,92 x 53 x 18 mm (3.62 x 2.09 x 0.71 in),"512MB RAM, 400MB",microUSB 2.0,,"GPS, A-GPS","Stereo FM radio, RDS",HSDPA 900 / 2100,,720p,Removable Li-Ion 1200 mAh battery,,"Accelerometer, proximity, compass",
