,Brand,SAR EU,3.5mm jack,_1,CPU,Weight,Phonebook,Price,NFC,Positioning,Speed,Resolution,Games,Talk time,Size,Status,GPU,Technology,Colors,WLAN,Stand-by,3G bands,Announced,Messaging,Model Name,GPRS,Video_1,Type_1,2G bands,SIM,Type,Chipset,Bluetooth,OS,USB,Single_1,SAR,Keyboard,Java,EDGE,Sensors,Video,Dimensions,Features,Single,Browser,_2,Internal,Music play,Call records,_3,Loudspeaker,Card slot,Model Image,Radio
No,Spice,0.54 W/kg (head),No,MP3 player,360 MHz,52.5 g (1.83 oz),,,No,No,,240 x 320 pixels (~250 ppi density),,Up to 3 h (3G),1.6 inches,Discontinued,No,GSM,Black,No,Up to 50 h (3G),,"2014, July. Released 2014, July",,Spice Smart Pulse (M-9010),Class 12,,"Li-Ion 420 mAh, non-removable",GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM (Mini-SIM/ Micro-SIM),"TFT, 256K colors",Mediatek MT6260,"2.0, A2DP",Proprietary OS,No,,,,,Class 12,No,144p@7fps,53.7 x 41.7 x 13.6 mm (2.11 x 1.64 x 0.54 in),,VGA,,,64MB 64MB,,,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-9010.jpg,FM radio
MP4/H.263 playerMP3/AAC player,Spice,0.74 W/kg (head),Yes,,1.0 GHz,65 g (2.29 oz),,,No,No,,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",,Up to 8 h,"3.5 inches, 36.5 cm2(~50.9% screen-to-body ratio)",Discontinued,,GSM,"White, Black, Orange",Wi-Fi 802.11 b/g/n,Up to 120 h,,"2014, August. Released 2014, August",,Spice Fire One (Mi-FX-1),Class 12,,Li-Ion 1400 mAh battery,GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),"TFT, 256K colors",Spreadtrum 6821,"2.1, A2DP",Firefox OS,microUSB 2.0,VGA,,,,Class 12,Accelerometer,Yes,115.6 x 62 x 11.2 mm (4.55 x 2.44 x 0.44 in),LED flash,1.3 MP,,,256MB 128MB RAM,Up to 20 h,,,"Yes, dual speakers",microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-firefox.jpg,FM radio
,Spice,0.82 W/kg (head),Yes,,Dual-core 1.3 GHz Cortex-A7,180 g (6.35 oz),,,No,GPS,,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,Up to 5 h,"5.0 inches, 68.9 cm2(~61.2% screen-to-body ratio)",Discontinued,Mali-400,GSM,Blue,"Wi-Fi 802.11 b/g/n, hotspot",Up to 200 h,,"2014, August. Released 2014, August",,Spice N-300,Class 12,,Li-Ion 2000 mAh battery,GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM (Mini-SIM/ Micro-SIM),"IPS LCD, 256K colors",Mediatek MT6571 (28 nm),"4.0, A2DP",Android 4.4.2 (KitKat),microUSB 2.0,2 MP,,,,Class 12,"Accelerometer, proximity",720p@30fps,150.4 x 74.8 x 9.8 mm (5.92 x 2.94 x 0.39 in),"LED flash, panorama","8 MP, AF",,,4GB 512MB RAM,Up to 30 h,,,"Yes, dual speakers",microSDHC,https://fdn2.gsmarena.com/vv/bigpic/N300.jpg,FM radio
,Spice,0.82 W/kg (head),Yes,,Dual-core 1.3 GHz Cortex-A7,180 g (6.35 oz),,,No,GPS,,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,Up to 5 h,"5.0 inches, 68.9 cm2(~61.2% screen-to-body ratio)",Discontinued,Mali-400,GSM,Blue,"Wi-Fi 802.11 b/g/n, hotspot",Up to 200 h,,"2014, August. Released 2014, August",,Spice Smart Flo 508 (Mi-508),Class 12,,Li-Ion 2000 mAh battery,GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM (Mini-SIM/ Micro-SIM),"IPS LCD, 256K colors",Mediatek MT6571 (28 nm),"4.0, A2DP",Android 4.4.2 (KitKat),microUSB 2.0,2 MP,,,,Class 12,"Accelerometer, proximity",720p@30fps,150.4 x 74.8 x 9.8 mm (5.92 x 2.94 x 0.39 in),"LED flash, panorama","8 MP, AF",,,4GB 512MB RAM,Up to 30 h,,,Yes,microSDHC,https://fdn2.gsmarena.com/vv/bigpic/spice-508.jpg,FM radio
,Spice,0.82 W/kg (head),Yes,,Dual-core 1.3 GHz Cortex-A7,180 g (6.35 oz),,,No,GPS,,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,Up to 5 h,"5.0 inches, 68.9 cm2(~61.2% screen-to-body ratio)",Discontinued,Mali-400,GSM,"White, Gray","Wi-Fi 802.11 b/g/n, hotspot",Up to 200 h,,"2014, August. Released 2014, August",,Spice Smart Flo 503 (Mi-503),Class 12,,Li-Ion 2000 mAh battery,GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM (Mini-SIM/ Micro-SIM),"IPS LCD, 256K colors",Mediatek MT6571 (28 nm),"4.0, A2DP, EDR",Android 4.4.2 (KitKat),microUSB 2.0,2 MP,,,,Class 12,"Accelerometer, proximity",720p@30fps,150.4 x 74.8 x 9.8 mm (5.92 x 2.94 x 0.39 in),"LED flash, panorama","8 MP, AF",,,4GB 512MB RAM,Up to 30 h,,,Yes,microSDHC,https://fdn2.gsmarena.com/vv/bigpic/spice-503.jpg,FM radio
,Spice,0.51 W/kg (head),Yes,,Dual-core 1.3 GHz Cortex-A7,130 g (4.59 oz),,,No,GPS,,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",,Up to 6 h,"3.5 inches, 36.5 cm2(~49.4% screen-to-body ratio)",Discontinued,Mali-400,GSM,"Titanium Grey, Silver","Wi-Fi 802.11 b/g/n, hotspot",Up to 280 h,,"2014, August. Released 2014, August",,Spice Smart Flo 359 (Mi-359),Class 12,,Li-Ion 1400 mAh battery,GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),"TFT, 256K colors",Mediatek MT6571 (28 nm),"3.0, A2DP, EDR",Android 4.4.2 (KitKat),microUSB 2.0,1.3 MP,,,,Class 12,Accelerometer,720p@25fps,117.5 x 62.9 x 12 mm (4.63 x 2.48 x 0.47 in),LED flash,2 MP,,,512MB 256MB RAM,Up to 20 h,,,Yes,microSDHC,https://fdn2.gsmarena.com/vv/bigpic/spice-359.jpg,FM radio
,Spice,0.57 W/kg (head),Yes,,Dual-core 1.3 GHz Cortex-A7,130 g (4.59 oz),,,No,A-GPS,,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",,Up to 6 h 30 min,"3.5 inches, 36.5 cm2(~51.2% screen-to-body ratio)",Discontinued,Mali-400,GSM,"White, Gray","Wi-Fi 802.11 b/g/n, hotspot",Up to 300 h,,"2014, October. Released 2014, October",,Spice Smart Flo 358 (Mi-358),Class 12,,Li-Ion 1450 mAh battery,GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),"TFT, 256K colors",Mediatek MT6571 (28 nm),"3.0, A2DP, EDR",Android 4.4.2 (KitKat),microUSB 2.0,1.3 MP,,,,Class 12,Accelerometer,720p@25fps,118 x 60.4 x 10.8 mm (4.65 x 2.38 x 0.43 in),LED flash,2 MP,,,512MB 256MB RAM,Up to 20 h,,,Yes,microSDHC,https://fdn2.gsmarena.com/vv/bigpic/spice-358.jpg,FM radio
,Spice,0.85 W/kg (head),Yes,,Dual-core 1.0 GHz Cortex-A7,113.8 g (4.02 oz),,,No,A-GPS,HSPA 21.1/5.76 Mbps,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Up to 5 h 30 min,"4.0 inches, 45.5 cm2(~57.8% screen-to-body ratio)",Discontinued,Mali-400,GSM / HSPA,"Brown, Silver","Wi-Fi 802.11 b/g/n, hotspot",Up to 58 h,HSDPA 2100,"2014, August. Released 2014, August",,Spice Stellar 439 (Mi-439),,,Li-Ion 1400 mAh battery,GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),"TFT, 256K colors",Mediatek MT6572M (28 nm),"3.0, A2DP",Android 4.4.2 (KitKat),microUSB 2.0,1.3 MP,,,,,Accelerometer,720p@25fps,125 x 63 x 10 mm (4.92 x 2.48 x 0.39 in),,3.15 MP,,,4GB 512MB RAM,Up to 15 h,,,"Yes, dual speakers",microSDHC,https://fdn2.gsmarena.com/vv/bigpic/spice-439.jpg,FM radio
,Spice,0.81 W/kg (head),Yes,,Dual-core 1.0 GHz Cortex-A7,102 g (3.60 oz),,,No,GPS,HSPA 21.1/5.76 Mbps,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",,Up to 8 h,"3.5 inches, 36.5 cm2(~52.2% screen-to-body ratio)",Discontinued,Mali-400,GSM / HSPA,"Black, White","Wi-Fi 802.11 b/g/n, hotspot",Up to 72 h,HSDPA 2100,"2014, July. Released 2014, July",,Spice Stellar 361 (Mi-361),,,Li-Ion 1400 mAh battery,GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),"TFT, 256K colors",Mediatek MT6572M (28 nm),"2.0, A2DP",Android 4.2.2 (Jelly Bean),microUSB 2.0,1.3 MP,,,,,Accelerometer,480p@25fps,115.3 x 60.6 x 11.9 mm (4.54 x 2.39 x 0.47 in),LED flash,2 MP,,,512MB 256MB RAM,Up to 15 h,,,"Yes, dual speakers",microSDHC,https://fdn2.gsmarena.com/vv/bigpic/spice-361.jpg,FM radio
,Spice,0.94 W/kg (head),Yes,,Dual-core 1.3 GHz Cortex-A7,184 g (6.49 oz),,,No,GPS,HSPA 21.1/5.76 Mbps,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,Up to 8 h,"5.0 inches, 68.9 cm2(~65.3% screen-to-body ratio)",Discontinued,Mali-400,GSM / HSPA,"Red/Black, Blue/Black","Wi-Fi 802.11 b/g/n, hotspot",Up to 200 h,HSDPA 2100,"2014, August. Released 2014, August",,Spice Stellar 507 (Mi-507),,,Li-Ion 1800 mAh battery,GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM (Mini-SIM/ Micro-SIM),"TFT, 256K colors",Mediatek MT6572 (28 nm),"4.0, A2DP, EDR",Android 4.4.2 (KitKat),microUSB 2.0,1.3 MP,,,,,"Accelerometer, proximity",720p@30fps,145.2 x 72.7 x 10.7 mm (5.72 x 2.86 x 0.42 in),"LED flash, panorama","8 MP, AF",,,4GB 512MB RAM,Up to 28 h,,,Yes,microSDHC,https://fdn2.gsmarena.com/vv/bigpic/spice-507.jpg,FM radio
,Spice,0.92 W/kg (head),Yes,,Quad-core 1.3 GHz Cortex-A7,120 g (4.23 oz),,,No,GPS,HSPA 21.1/5.76 Mbps,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,Up to 4 h 30 min,"5.0 inches, 68.9 cm2(~60.1% screen-to-body ratio)",Discontinued,Mali-400MP2,GSM / HSPA,White,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot",Up to 170 h,HSDPA 2100,"2014, May. Released 2014, May",,Spice Stellar 509 (Mi-509),,,Li-Ion 2000 mAh battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,IPS LCD,Mediatek MT6582M (28 nm),"3.0, A2DP",Android 4.4.2 (KitKat),microUSB 2.0,2 MP,,,,,"Accelerometer, proximity",720p@30fps,145 x 79 x 9.5 mm (5.71 x 3.11 x 0.37 in),"LED flash, panorama, HDR","8 MP, AF",,,4GB 1GB RAM,Up to 30 h,,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-509.jpg,FM radio
,Spice,0.44 W/kg (head),Yes,,Quad-core 1.3 GHz Cortex-A7,189 g (6.67 oz),,,No,GPS,HSPA 21.1/5.76 Mbps,"540 x 960 pixels, 16:9 ratio (~184 ppi density)",,Up to 18 h,"6.0 inches, 99.2 cm2",Discontinued,Mali-400MP2,GSM / HSPA,White,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot",Up to 100 h,HSDPA 2100,"2014, July. Released 2014, July",,Spice Stellar 600 (Mi-600),,,Li-Po 2500 mAh battery,GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM (Mini-SIM/ Micro-SIM),IPS LCD,Mediatek MT6582M (28 nm),"3.0, A2DP",Android 4.4.2 (KitKat),microUSB 2.0,3.15 MP,,,,,"Accelerometer, proximity",720p@30fps,,"LED flash, panorama, HDR","8 MP, AF",,,4GB 1GB RAM,Up to 35 h,,,Yes,microSDHC,https://fdn2.gsmarena.com/vv/bigpic/spice-600.jpg,FM radio
,Spice,0.44 W/kg (head),Yes,,Hexa-core 1.5 GHz Cortex-A7,210 g (7.41 oz),,,No,GPS,HSPA 21.1/5.76 Mbps,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Up to 9 h,"5.0 inches, 68.9 cm2(~66.9% screen-to-body ratio)",Discontinued,Mali-450MP4,GSM / HSPA,"White, Silver","Wi-Fi 802.11 a/b/g/n, dual-band, hotspot",Up to 280 h,HSDPA 2100,"2014, July. Released 2014, July",,Spice Stellar 526 (Mi-526),,,Li-Po 2500 mAh battery,GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM (Mini-SIM/ Micro-SIM),TFT,Mediatek MT6591,"4.0, A2DP, EDR",Android 4.4.2 (KitKat),"microUSB 2.0, OTG",3.15 MP,,,,,"Accelerometer, proximity",1080p@30fps,143.6 x 71.7 x 8.3 mm (5.65 x 2.82 x 0.33 in),"LED flash, panorama, HDR","8 MP, AF",,,8GB 1GB RAM,Up to 35 h,,,Yes,microSDHC,https://fdn2.gsmarena.com/vv/bigpic/spice-526.jpg,FM radio
