Unnamed: 0,Brand,3.5mm jack,_1,CPU,Weight,Display,Protection,Loudspeaker_1,Build,Phonebook,Price,NFC,Positioning,Speed,Dual,Resolution,Games,Talk time,Size,Status,Infrared port,GPU,Technology,Colors,Triple,WLAN,Charging,Stand-by,3G bands,Announced,Messaging,Model Name,GPRS,Video_1,Type_1,2G bands,SIM,Type,Chipset,Single_1,OS,Bluetooth,USB,SAR,_4,Java,EDGE,Sensors,Video,Dimensions,Features,Single,5G bands,Quad,128GB 4GB RAM,_2,_5,Internal,Models,Call records,_3,Loudspeaker,Features_1,Card slot,Model Image,Radio,4G bands,URL,Image
HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - T442A,TCL,Yes,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 26, 28, 38, 40, 41, 66 - T442A",Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),185.5 g (6.56 oz),,,,"Glass front, plastic back, plastic frame",,About 100 EUR,No,"GPS, GLONASS, GALILEO, BDS","HSPA, LTE",,"720 x 1612 pixels, 20:9 ratio (~267 ppi density)",,,"6.6 inches, 104.6 cm2(~84.6% screen-to-body ratio)","Available. Released 2024, October",,PowerVR GE8322,GSM / HSPA / LTE,"Space Gray, Midnight Blue",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",10W wired,,HSDPA 850 / 900 / 1900 / 2100 - T442M,"2024, February 26",,TCL 503,,1080p@30fps,5000 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIMNano-SIM + Nano-SIM,"IPS LCD, 350 nits (typ)",Unisoc SC9863A (28 nm),"5 MP (upscaled to 8 MP), f/2.2, (wide), 1/5.0"", 1.12µm",Android 14 (Go edition),"4.2, A2DP",USB Type-C 2.0,,,,,"Fingerprint (rear-mounted), accelerometer",1080p@30fps,163.9 x 75.5 x 8.9 mm (6.45 x 2.97 x 0.35 in),"LED flash, HDR, panorama","8 MP (upscaled to 13 MP), f/2.0, (wide), 1/4.0"", 1.12µm, AFAuxiliary lens",,,,eMMC 5.1,,64GB 3GB RAM,"T442M, T442A, T442J",,Virtual proximity sensing,Yes,,microSDXC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/tcl-503.jpg,Unspecified,"1, 3, 5, 7, 8, 20, 26, 28, 38, 40, 41 - T442M",,
"1, 2, 3, 4, 5, 7, 8, 17, 20, 26, 28, 32, 38, 40, 41, 42 - T803D",TCL,Yes,"1, 2, 3, 5, 7, 28, 40, 66, 77, 78 SA/NSA - T803E",Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),196 g (6.91 oz),,,,,,About 300 EUR,Yes,"GPS, GLONASS, BDS, GALILEO","HSPA, LTE, 5G",,1080 x 2460 pixels (~395 ppi density),,,"6.8 inches, 109.8 cm2(~86.8% screen-to-body ratio)","Available. Released 2024, September",,Mali-G57 MC2,GSM / HSPA / LTE / 5G,"Moon Gray, Midnight Blue, Alps White, Pale Gold, Rosy Purple","108 MP, f/1.8, (wide), 1/1.67"", 0.64µm, PDAF8 MP, f/2.2, 120˚ (ultrawide), 1/4.0"", 1.12µm2 MP, f/2.4, (macro)","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",33W wired,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"2024, September 04",,TCL 50 Pro NxtPaper,,1080p@30fps,5010 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIM +eSIMNano-SIM + Nano-SIM,"IPS LCD, 120Hz",Mediatek Dimensity 6300 (6 nm),,"Android 14, up to 2 major Android upgrades","5.3, A2DP, LE",USB Type-C 2.0,,,,,"Fingerprint (side-mounted), gyro, accelerometer, proximity, compass, barometer (T803D only)",1080p@30fps,167.6 x 75.5 x 8 mm (6.60 x 2.97 x 0.31 in),"LED flash, HDR","32 MP, f/2.0, (wide), 1/3.45"", 0.64µm","1, 3, 5, 7, 8, 20, 26, 28, 38, 40, 41, 48, 77, 78 SA/NSA - T803D",,,NxtPaper technology,,512GB 8GB RAM,"T803E, T803D",,DTS-certified 3D Boom Sound,"Yes, with stereo speakers",HDR,microSDXC (uses shared SIM slot),https://fdn2.gsmarena.com/vv/bigpic/tcl-50-pro-nxtpaper.jpg,Unspecified,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 38, 40, 41, 42, 48, 66 - T803E",,
NxtPaper technology,TCL,Yes,DTS-certified 3D Boom Sound,Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),196 g (6.91 oz),,,,,,About 230 EUR,Yes,"GPS, GLONASS, BDS, GALILEO","HSPA, LTE, 5G",,1080 x 2460 pixels (~395 ppi density),,,"6.8 inches, 109.8 cm2(~86.8% screen-to-body ratio)","Available. Released 2024, September",,Mali-G57 MC2,GSM / HSPA / LTE / 5G,"Moon Gray, Midnight Blue, Pale Gold, Rosy Purple","108 MP, f/1.8, (wide), 1/1.67"", 0.64µm, PDAF8 MP, f/2.2, 120˚ (ultrawide), 1/4.0"", 1.12µm2 MP, f/2.4, (macro)","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",33W wired,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"2024, September 04",,TCL 50 NxtPaper,,1080p@30fps,5010 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIM +eSIM,"IPS LCD, 120Hz",Mediatek Dimensity 6300 (6 nm),,"Android 14, up to 2 major Android upgrades","5.3, A2DP, LE",USB Type-C 2.0,,,,,"Fingerprint (side-mounted), gyro, accelerometer, proximity, compass, barometer",1080p@30fps,167.6 x 75.5 x 8 mm (6.60 x 2.97 x 0.31 in),"LED flash, HDR","8 MP, f/2.0, (wide), 1/4.0"", 1.12µm","1, 3, 5, 7, 8, 20, 26, 28, 38, 40, 41, 48, 77, 78 SA/NSA",,,,,256GB 8GB RAM,,,,"Yes, with stereo speakers",HDR,microSDXC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/tcl-50-nxtpaper.jpg,Unspecified,"1, 2, 3, 4, 5, 7, 8, 17, 20, 26, 28, 32, 38, 40, 41, 42",,
NxtPaper technology,TCL,Yes,,Octa-core (2x1.8 GHz Cortex-A76 & 6x1.8 GHz Cortex-A55),185 g (6.53 oz),,,,,,,Yes (market/region dependent),"GPS, GLONASS, BDS, GALILEO","HSPA, LTE, 5G","50 MP, (wide), PDAF5 MP, (ultrawide)2 MP, (depth)","720 x 1612 pixels, 20:9 ratio (~269 ppi density)",,,"6.56 inches, 103.4 cm2(~84.0% screen-to-body ratio)","Available. Released 2024, July",,Mali-G57 MC2,GSM / HSPA / LTE / 5G,Space Blue,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",18W wired,,HSDPA 850 / 1700(AWS) / 1900,"2024, June",,TCL 50 XE NxtPaper,,1080p@30fps,5010 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIM,"IPS LCD, 90Hz",Mediatek Dimensity 6100+ (6 nm),,Android 14,"5.3, A2DP, LE","USB Type-C, OTG",1.19 W/kg (head)     1.10 W/kg (body),,,,"Fingerprint (side-mounted), gyro, accelerometer, proximity, compass, barometer",1080p@30fps,164.1 x 75 x 8.3 mm (6.46 x 2.95 x 0.33 in),"LED flash, HDR, panorama","8 MP, (wide)","2, 5, 25, 41, 48, 66, 71, 77 SA/NSA/Sub6",,,,,128GB 4GB RAM,,,,"Yes, with stereo speakers",,microSDXC,https://fdn2.gsmarena.com/vv/bigpic/tcl-50-xe-nxtpaper.jpg,FM radio,"1, 2, 3, 4, 5, 7, 8, 12, 13, 20, 25, 26, 28, 38, 39, 40, 41, 66, 71",,
Stylus support,TCL,No,NxtPaper technologyAnti-glare display,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),760 g (1.68 lb),,,,,,About 450 EUR,No,GPS,,13 MP5 MP,"1600 x 2400 pixels, 3:2 ratio (~202 ppi density)",,,"14.3 inches, 608.9 cm2(~85.1% screen-to-body ratio)","Available. Released 2024, July",,Mali-G57 MC2,No cellular connectivity,Navy Blue,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",33W wired,,,"2024, February",,TCL NxtPaper 14,No,1080p@30fps,10000 mAh,,No,"IPS, 400 nits",Mediatek Helio G99 (6 nm),,Android 14,"5.0, A2DP, LE","USB Type-C 2.0, OTG",,,,No,"Accelerometer, proximity, compass",1080p@30fps,322.4 x 222 x 7 mm (12.69 x 8.74 x 0.28 in),LED flash,"8 MP, AF",,,,,,256GB 8GB RAM,,,,"Yes, with stereo speakers (4 speakers)",,microSDXC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/tcl-nxtpaper-14.jpg,No,,,
Stylus support,TCL,No,NxtPaper technology,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),480 g (1.06 lb),,,,,,,No,Unspecified,"HSPA, LTE, 5G",,"1200 x 2000 pixels, 5:3 ratio (~224 ppi density)",,,"10.4 inches, 307.9 cm2(~80.2% screen-to-body ratio)","Available. Released 2024, June",,,GSM / HSPA / LTE / 5G,Dark Blue,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",18W wired,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"2024, February",,TCL Tab 10 NxtPaper,,1080p@30fps,6000 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIM,IPS LCD,MediaTek 24E,8 MP,Android 14,"5.3, A2DP, LE",USB Type-C 2.0,,,,,"Accelerometer, gyro",1080p@30fps,246.1 x 155.9 x 7.8 mm (9.69 x 6.14 x 0.31 in),LED flash,"8 MP, AF","2, 5, 48, 66, 77 SA/NSA - USA",,,,,128GB 6GB RAM,9199S,,,"Yes, with dual speakers",,microSDXC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/tcl-tab-10-nxtpaper-5g.jpg,No,"1, 2, 3, 4, 5, 7, 12, 13, 17, 20, 28, 48, 66 - USA",,
,TCL,Yes,,Octa-core,472 g (1.04 lb),,,,"Glass front, aluminum frame",,About 110 EUR,No,GPS - cellular model only,"HSPA, LTE - cellular model only",,"800 x 1280 pixels, 16:10 ratio (~149 ppi density)",,,"10.1 inches, 295.8 cm2(~78.3% screen-to-body ratio)","Available. Released 2024, August",,PowerVR GE8320,GSM / HSPA / LTE,Gray,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",10W wired,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"2024, July",,TCL Tab 10L Gen 3,,1080p@30fps,6000 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIM (cellular model only),"IPS LCD, 350 nits",Mediatek MT8768V/CX,5 MP,Android 14,"5.0, A2DP, LE",USB Type-C 2.0,,,,,"Accelerometer, proximity (accessories only)",1080p@30fps,241.2 x 156.6 x 8 mm (9.50 x 6.17 x 0.31 in),LED flash,8 MP,,,,,,64GB 4GB RAM,,,,"Yes, with dual speakers",,microSDXC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/tcl-tab-10l-gen3.jpg,No,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 26, 28, 38, 40, 41, 66",,
NxtPaper technology,TCL,Yes,,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),198.7 g (7.02 oz),,,,,,,Yes,"GPS, GLONASS, BDS, GALILEO","HSPA, LTE, 5G",,1080 x 2460 pixels (~396 ppi density),,,"6.78 inches, 109.2 cm2(~86.3% screen-to-body ratio)","Available. Released 2024, July 05",,Mali-G57 MC2,GSM / HSPA / LTE / 5G,Space Blue,"50 MP, (wide), PDAF5 MP, (ultrawide)2 MP, (depth)","Wi-Fi 802.11 a/b/g/n/ac, dual-band",18W wired,,HSDPA 850 / 1700(AWS) / 1900 / 2100,"2024, June 26",,TCL 50 XL NxtPaper,,1080p@30fps,5010 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIM,"IPS LCD, 120Hz",Mediatek Dimensity 6100+ (6 nm),,Android 14,"5.3, A2DP, LE","USB Type-C, OTG",1.22 W/kg (head)     0.87 W/kg (body),,,,"Fingerprint (side-mounted), gyro, accelerometer, proximity, compass, barometer",1080p@30fps,167.6 x 75.5 x 8.2 mm (6.60 x 2.97 x 0.32 in),"LED flash, HDR, panorama","32 MP, (wide)","2, 5, 25, 41, 48, 66, 71, 77 SA/NSA/Sub6",,,,,128GB 6GB RAM,,,,"Yes, with stereo speakers",,microSDXC,https://fdn2.gsmarena.com/vv/bigpic/tcl-50-xl-nxtpaper-5g.jpg,FM radio,"1, 2, 3, 4, 5, 7, 8, 12, 13, 20, 25, 26, 28, 38, 39, 40, 41, 48, 66, 71",,
,TCL,Yes,,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),195 g (6.88 oz),,,,,,,Yes,"GPS, GLONASS, BDS, GALILEO","HSPA, LTE, 5G","50 MP, (wide), PDAF2 MP, (ultrawide)2 MP, (depth)",1080 x 2460 pixels (~396 ppi density),,,"6.78 inches, 109.2 cm2(~86.3% screen-to-body ratio)","Available. Released 2024, July 05",,Mali-G57 MC2,GSM / HSPA / LTE / 5G,Slate Gray,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",18W wired,,HSDPA 850 / 1700(AWS) / 1900 / 2100,"2024, June 26",,TCL 50 XL,,1080p@30fps,5010 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIM,"IPS LCD, 120Hz",Mediatek Dimensity 6100+ (6 nm),,Android 14,"5.3, A2DP, LE","USB Type-C, OTG",1.22 W/kg (head)     0.87 W/kg (body),,,,"Fingerprint (side-mounted), gyro, accelerometer, proximity, compass, barometer",1080p@30fps,167.6 x 75.5 x 8.2 mm (6.60 x 2.97 x 0.32 in),"LED flash, HDR, panorama","8 MP, (wide)","25, 41, 66, 71, 77 SA/NSA/Sub6",,,,,128GB 6GB RAM,,,,"Yes, with stereo speakers",,microSDXC,https://fdn2.gsmarena.com/vv/bigpic/tcl-50-xl-5g.jpg,FM radio,"1, 2, 3, 4, 5, 7, 8, 12, 13, 20, 25, 26, 28, 38, 39, 40, 41, 48, 66, 71",,
,TCL,Yes,,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),185 g (6.53 oz),,,,,,,Yes,"GPS, GLONASS, BDS, GALILEO","HSPA, LTE, 5G","50 MP, (wide), PDAF5 MP, (ultrawide)2 MP, (depth)","720 x 1612 pixels, 20:9 ratio (~269 ppi density)",,,"6.56 inches, 103.4 cm2(~84.0% screen-to-body ratio)","Available. Released 2024, July 05",,Mali-G57 MC2,GSM / HSPA / LTE / 5G,Dark Blue,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",18W wired,,HSDPA 850 / 1700(AWS) / 1900,"2024, June 26",,TCL 50 XE,,1080p@30fps,5010 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIM,"IPS LCD, 90Hz",Mediatek Dimensity 6100+ (6 nm),,Android 14,"5.3, A2DP, LE","USB Type-C, OTG",,,,,"Fingerprint (side-mounted), gyro, accelerometer, proximity, compass, barometer",1080p@30fps,164.1 x 75 x 8.3 mm (6.46 x 2.95 x 0.33 in),"LED flash, HDR, panorama","8 MP, (wide)","2, 5, 25, 41, 48, 66, 71, 77 SA/NSA/Sub6",,,,,128GB 4GB RAM,,,,"Yes, with stereo speakers",,microSDXC,https://fdn2.gsmarena.com/vv/bigpic/tcl-50-xe-5g.jpg,FM radio,"1, 2, 3, 4, 5, 7, 8, 12, 13, 20, 25, 26, 28, 38, 39, 40, 41, 66, 71",,
