,256GB 12GB RAM,Dimensions,Camera,Model Image,Type_1,Build,Battery (old),_1,512GB 12GB,Model Name,Models,Loudspeaker_1,Card slot,Brand,256GB 8GB,Speed,SAR,Quad,Sensors,Video_1,Charging,_2,GPU,Announced,CPU,Positioning,Technology,Loudspeaker,SIM,64GB 4GB RAM,_3,2G bands,3.5mm jack,Video,NFC,Triple,4G bands,Features,Features_1,128GB 6GB RAM,Price,Display,Single_1,Type,256GB 8GB RAM,Chipset,64GB 3GB RAM,WLAN,128GB 8GB RAM,3G bands,Size,Single,Bluetooth,Radio,USB,Protection,Dual,Status,Internal,Performance,OS,Colors,128GB 4GB RAM,Battery (new),5G bands,512GB 12GB RAM,Weight,Infrared port,Resolution
,,257.1 x 168.7 x 7.6 mm (10.12 x 6.64 x 0.30 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-megapad-11.jpg,8000 mAh,,,,,Tecno Megapad 11,,,microSDXC,Tecno,,"HSPA, LTE",,,Accelerometer,Yes,18W wired,,Mali-G57 MC2,"2024, December 02",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Unspecified,GSM / HSPA / LTE,"Yes, with stereo speakers (4 speakers)",Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,No,,LTE,LED flash,,,About 200 EUR,,8 MP,"IPS LCD, 90Hz, 440 nits",,Mediatek Helio G99 (6 nm),,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 900 / 2100,"11.0 inches, 350.9 cm2(~80.9% screen-to-body ratio)",13 MP,"5.2, A2DP, LE",Unspecified,USB Type-C,,,"Available. Released 2025, January 06","128GB 8GB RAM, 256GB 8GB RAM",,Android 14,"Vitality Green, Starfall Grey",,,,,510 g (1.12 lb),,"1200 x 1920 pixels, 16:10 ratio (~206 ppi density)"
"IP54, dust and splash resistant",,-,,https://fdn2.gsmarena.com/vv/bigpic/tecno-pop9-4g.jpg,5000 mAh,"Glass front, plastic back, plastic frame",,eMMC 5.1,,Tecno Pop 9 4G,,,microSDXC,Tecno,,"HSPA, LTE",,,Fingerprint (side-mounted); unspecified sensors,Yes,15W wired,,Mali-G57 MP1 - InternationalPowerVR GE8320 - India,"2024, November 22",Octa-core (2x1.8 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55) - InternationalOcta-core 2.2 GHz Cortex-A53 - India,GPS,GSM / HSPA / LTE,"Yes, with stereo speakers",Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,No,,LTE,"Dual-LED flash, HDR",Dual-LED flash,,"₹ 6,299",,8 MP,"IPS LCD, 90Hz (India), 120Hz (International)",,Unisoc T615 (12 nm) - InternationalMediatek Helio G50 - India,"₹ 6,299",Yes,,HSDPA 900 / 2100,"6.67 inches, 107.4 cm2","13 MP, f/1.8, 27mm (wide), 1.12µm, PDAF",Yes,FM radio,USB Type-C,,,"Available. Released 2024, November 26","64GB 3GB RAM, 64GB 4GB RAM, 128GB 3GB RAM, 128GB 4GB RAM",,Android 14 (Go edition),"Glittery White, Lime Green, Startrail Black",,,,,-,Yes,"720 x 1600 pixels, 20:9 ratio (~263 ppi density)"
,,240.7 x 159.5 x 7.4 mm (9.48 x 6.28 x 0.29 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-pad-r.jpg,7000 mAh,,,,,Tecno Megapad,,,microSDXC,Tecno,,"HSPA, LTE - cellular model only",,,Accelerometer,Yes,18W wired,,Mali-G52 MC2,"2024, October",Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Unspecified,GSM / HSPA / LTE,"Yes, with stereo speakers",Nano-SIM (cellular model only),,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,No,,LTE,LED flash,,,,,5 MP,"IPS LCD, 450 nits",,Mediatek Helio G80 (12 nm),,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 900 / 2100,"10.1 inches, 295.8 cm2(~77.0% screen-to-body ratio)",13 MP,"5.1, A2DP, LE",Unspecified,USB Type-C,,,"Available. Released 2024, November","128GB 4GB RAM, 256GB 4GB RAM",,Android 14,"Champagne Gold, Space Grey",,,,,447 g (15.77 oz),,"800 x 1280 pixels, 16:10 ratio (~149 ppi density)"
"IP53, dust and splash resistant",,164.5 x 74.6 x 7.6 mm (6.48 x 2.94 x 0.30 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-camon-30s.jpg,5000 mAh,,,,,Tecno Camon 30S,CLA5,,Unspecified,Tecno,,"HSPA, LTE",,,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Yes,"33W wired, 0-100% in 45 min",,Mali-G57 MC2,"2024, October 10",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),GPS,GSM / HSPA / LTE,"Yes, with dual speakers",Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,No,Yes,Yes,"50 MP, f/1.9, (wide), 1/1.56"", 1.0µm, PDAF, OIS2 MP, (depth)Auxiliary lens",LTE,"Dual-LED flash, HDR, panorama",Dual-LED flash,,About 200 EUR,,,"AMOLED, 120Hz, 1300 nits (HBM)",,Mediatek Helio G100 (6 nm),,Yes,,HSDPA 850 / 900 / 2100,"6.78 inches, 109.9 cm2(~89.5% screen-to-body ratio)",13 MP,Yes,FM radio,"USB Type-C 2.0, OTG",Corning Gorilla Glass,,"Available. Released 2024, October 10","128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",,"Android 14, up to 2 major Android upgrades, HIOS 14","Nebula Violet, Blue, Celestial Black, Dawn Gold",,,,,-,Yes,1080 x 2436 pixels (~393 ppi density)
"IP54, dust and splash resistant",,165 x 77 x 8 mm (6.50 x 3.03 x 0.31 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-spark-30c-5g.jpg,5000 mAh,"Glass front, plastic back, plastic frame",,24-bit/192kHz Hi-Res audio,,Tecno Spark 30C 5G,KL8H,,microSDXC,Tecno,,"HSPA, LTE, 5G",,,Fingerprint (side-mounted); unspecified sensors,Yes,18W wired,,Mali-G57 MC2,"2024, October 02",Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),GPS,GSM / HSPA / LTE / 5G,"Yes, with stereo speakers",Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,Yes,,LTE,Tripple-LED flash,Dual-LED flash,,,,8 MP,"IPS LCD, 120Hz",,Mediatek Dimensity 6300 (6 nm),,Yes,,HSDPA 900 / 2100,"6.67 inches, 107.4 cm2(~84.5% screen-to-body ratio)","48 MP, (wide), 1/2.0"", 0.8µm, AFAuxiliary lens",Yes,Unspecified,USB Type-C,,,"Available. Released 2024, October","64GB 4GB RAM, 128GB 4GB RAM, 128GB 8GB RAM",,Android 14,"Aurora Cloud, Azure Sky, Midnight Shadow",,,SA/NSA,,-,Yes,"720 x 1600 pixels, 20:9 ratio (~263 ppi density)"
"IP54, dust and splash resistant",,165.4 x 76.8 x 7.8 mm (6.51 x 3.02 x 0.31 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-spark-30-5g.jpg,5000 mAh,,,24-bit/192kHz Hi-Res audio,,Tecno Spark 30 5G,KL8,,microSDXC (dedicated slot),Tecno,,"HSPA, LTE, 5G",,,"Fingerprint (side-mounted), accelerometer, proximity, compass",Yes,18W wired,,Mali-G57 MC2,"2024, October 02",Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"GPS, GLONASS, GALILEO, BDS",GSM / HSPA / LTE / 5G,"Yes, with stereo speakers",Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,Yes,Yes,"108 MP, f/1.9, (wide), PDAFUnspecified cameras",LTE,Tripple-LED flash,Dual-LED dual-tone flash,,,,,"IPS LCD, 120Hz",,Mediatek Dimensity 6300 (6 nm),,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 850 / 900 / 2100,"6.67 inches, 107.4 cm2(~84.6% screen-to-body ratio)",8 MP,"5.3, A2DP, LE",Unspecified,USB Type-C 2.0,,,"Available. Released 2024, October","128GB 6GB RAM, 256GB 8GB RAM",,"Android 14, HIOS 14.5","Azure Sky, Midnight Shadow, Aurora Cloud",,,SA/NSA,,-,,"720 x 1600 pixels, 20:9 ratio (~263 ppi density)"
"IP54, dust and splash resistant",,165 x 77 x 8 mm (6.50 x 3.03 x 0.31 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-pop9-5g.jpg,5000 mAh,"Glass front, plastic back, plastic frame",,,,Tecno Pop 9,KL4,,microSDXC,Tecno,,"HSPA, LTE, 5G",,,Fingerprint (side-mounted); unspecified sensors,Yes,18W wired,,Mali-G57 MC2,"2024, September 24",Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),GPS,GSM / HSPA / LTE / 5G,"Yes, with dual speakers",Nano-SIM + Nano-SIM,"₹ 9,499",,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,Yes,,LTE,"Dual-LED flash, HDR",Dual-LED flash,,"₹ 9,499",,8 MP,"IPS LCD, 120Hz",,Mediatek Dimensity 6300 (6 nm),,Yes,,HSDPA 900 / 2100,"6.6 inches, 104.6 cm2(~82.4% screen-to-body ratio)","48 MP, (wide), 1/2.0"", 0.8µm, AFAuxiliary lens",Yes,Unspecified,USB Type-C,,,"Available. Released 2024, October 08","64GB 4GB RAM, 128GB 4GB RAM",,Android 14,"Aurora Cloud, Azure Sky, Midnight Shadow","₹ 9,999",,SA/NSA,,189 g (6.67 oz),Yes,"720 x 1612 pixels, 20:9 ratio (~267 ppi density)"
"IP54, dust and water resistant",,166.6 x 77 x 7.4 mm (6.56 x 3.03 x 0.29 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-spark-30-pro.jpg,5000 mAh,,,24-bit/192kHz Hi-Res & Hi-Res Wireless audio,,Tecno Spark 30 Pro,KL7,,microSDXC,Tecno,,"HSPA, LTE",,,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",1080p@30fps,33W wired,,Mali-G57 MC2,"2024, September 23",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),GPS,GSM / HSPA / LTE,"Yes, with stereo speakers",Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,"1440p@30fps, 1080p@30fps",Yes,,LTE,"Quad-LED flash, HDR",Dual-LED dual-tone flash,,,,"13 MP, (wide)","AMOLED, 1B colors, 120Hz, 1700 nits (peak)",,Mediatek Helio G100 (6 nm),,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 900 / 2100,"6.78 inches, 109.9 cm2(~85.7% screen-to-body ratio)","108 MP, f/1.9, (wide), 1/1.52"", PDAFAuxiliary lens","5.3, A2DP, LE",FM radio,"USB Type-C 2.0, OTG",,,"Available. Released 2024, October","128GB 8GB RAM, 256GB 8GB RAM",,"Android 14, HIOS 14","Obsidian Edge, Arctic Glow, Magic Skin 3.0, Optimus Prime Edition",,,,,-,Yes,1080 x 2436 pixels (~393 ppi density)
"IP64, dust and water resistant",,168 x 76.4 x 7.7 mm or 7.9 mm,,https://fdn2.gsmarena.com/vv/bigpic/tecno-spark-30.jpg,5000 mAh,"Glass front, plastic frame, plastic back or silicone polymer (eco leather) back",,,,Tecno Spark 30,KL6,,microSDXC,Tecno,,"HSPA, LTE",,,Fingerprint (side-mounted); unspecified sensors,1080p@30fps,18W wired,,Mali-G52 MC2,"2024, September 21",Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),GPS,GSM / HSPA / LTE,"Yes, with stereo speakers",Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,"1440p@30fps, 1080p@30fps",Yes,,LTE,"Quad-LED flash, HDR",Dual-LED dual-tone flash,,,,"13 MP, (wide)","IPS LCD, 90Hz, 800 nits",,Mediatek Helio G91 (12 nm),,Yes,,HSDPA 900 / 2100,"6.78 inches, 109.2 cm2(~85.0% screen-to-body ratio)","64 MP, (wide), 1/1.73"", 0.8µm, PDAFAuxiliary lens",Yes,Unspecified,USB Type-C,,,"Available. Released 2024, October","128GB 8GB RAM, 256GB 8GB RAM",,"Android 14, HIOS 14","Stellar Shadow, Astral Ice, Magic Skin 3.0, Bumblebee Edition",,,,,-,Yes,1080 x 2460 pixels (~396 ppi density)
"IP54, dust and splash resistantStylus support",,Unfolded: 159 x 140.4 x 6.1 mmFolded: 159 x 72.2 x 11.8-12 mm,,https://fdn2.gsmarena.com/vv/bigpic/tecno-phantom-v-fold2-.jpg,5750 mAh,,,"Cover display:LTPO AMOLED, 1B colors, 120Hz, 1600 nits (peak), Corning Gorilla Glass Victus6.42 inches, 1080 x 2550 pixels, 431 PPI",,Tecno Phantom V Fold2,,-27.1 LUFS (Good),No,Tecno,,"HSPA, LTE, 5G",,,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",1080p@60fps,"70W wired, 50% in 20 min, 100% in 49 min15W wireless",UFS,Mali-G710 MC10,"2024, September 13",Octa-core (1x3.20 GHz Cortex-X2 & 3x2.85 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),"GPS, GLONASS, GALILEO, BDS",GSM / HSPA / LTE / 5G,"Yes, with stereo speakers",Nano-SIM + Nano-SIM,,24-bit/192kHz Hi-Res audio,GSM 850 / 900 / 1800 / 1900,No,"4K@30fps, 1080p@30/60fps",Yes,"50 MP, f/1.9, 23mm (wide), 1/1.3"", 1.2µm, PDAF, OIS50 MP, f/2.0, 50mm (telephoto), 1/2.8"", 0.64µm, PDAF, 2x optical zoom50 MP, f/2.2, 115˚ (ultrawide), PDAF","1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 34, 38, 39, 40, 41, 66","Dual-LED flash, HDR, panorama",,,,573 nits max brightness (measured),,"Foldable LTPO AMOLED, 1B colors, 120Hz",,Mediatek Dimensity 9000+ (4 nm),,"Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"7.85 inches, 196.9 cm2(~88.2% screen-to-body ratio)","32 MP, f/2.5, (wide), 1/2.8"", 0.8µmCover camera:32 MP, f/2.5, (wide), 1/2.8"", 0.8µm","5.3, A2DP, LE","FM radio, recording","USB Type-C, OTG",,,"Available. Released 2024, October",512GB 12GB RAM,AnTuTu: 1158040 (v10)GeekBench: 4327 (v6)3DMark: 2559 (Wild Life Extreme),"Android 14, up to 2 major Android upgrades, HiOS 14 Fold","Karst Green, Rippling Blue",,Active use score 9:34h,"1, 3, 5, 7, 8, 12, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA",,249 g (8.78 oz),,2000 x 2296 pixels (~388 ppi density)
