,Dimensions,Phonebook,Model Image,Type_1,_1,Alarm,Model Name,Messaging,Card slot,Brand,EDGE,Speed,Stand-by,Sensors,Video_1,_2,Announced,CPU,Positioning,Technology,Loudspeaker,SIM,_3,2G bands,3.5mm jack,Video,Features,Java,Clock,Single_1,Talk time_1,Type,Games,Talk time,Call records,WLAN,Size,Single,3G bands,Bluetooth,Radio,USB,Status,Internal,Stand-by_1,OS,Colors,Alert types,Browser,GPRS,Weight,Infrared port,Resolution
"Second CSTN display, 65K colors, 96 x 96 pixels",95 x 49 x 16.7 mm (3.74 x 1.93 x 0.66 in),"1000 entries, Photocall",https://fdn2.gsmarena.com/vv/bigpic/telit-t800.gif,Removable Li-Ion 860 mAh battery,No,,Telit t800,"SMS, EMS, MMS",microSD,Telit,No,,,,,MP3/AAC/3GP playereZi text inputOrganizer,"2006, Q1",,No,GSM,No,Mini-SIM,,GSM 900 / 1800 / 1900,No,Yes,LED flash,"Yes, MIDP 2.0",,,,"TFT, 256K colors",Yes,,"10 received, dialed and missed calls",No,,2 MP,,Yes,No,Proprietary,Cancelled,64MB,,,Red,"Vibration; Downloadable polyphonic, MP3, AAC ringtones",WAP 2.0,Class 10,91 g (3.21 oz),,176 x 220 pixels
"Second CSTN display, 65K colors, 96 x 96 pixels",96.5 x 49.5 x 15.4 mm (3.80 x 1.95 x 0.61 in),"1000 entries, Photocall",https://fdn2.gsmarena.com/vv/bigpic/telit-t250.gif,Removable Li-Ion 800 mAh battery,No,,Telit t250,"SMS, EMS, MMS",No,Telit,No,,,,,eZi text inputOrganizer,"2006, Q1",,No,GSM,No,Mini-SIM,,GSM 900 / 1800 / 1900,No,No,,"Yes, MIDP 2.0",,,,"TFT, 256K colors",Yes,,"10 received, dialed and missed calls",No,,VGA,,No,No,Proprietary,Cancelled,7MB,,,Black,"Vibration; Downloadable polyphonic, Midi, WAV, AMR ringtones",WAP 2.0,Class 10,76 g (2.68 oz),,128 x 160 pixels
"Second CSTN display, 65K colors, 96 x 96 pixels",90 x 44 x 17 mm (3.54 x 1.73 x 0.67 in),"500 entries, Photocall",https://fdn2.gsmarena.com/vv/bigpic/telit-t650.gif,Removable Li-Ion 800 mAh battery,No,,Telit t650,"SMS, EMS, MMS",microSD,Telit,No,,,,,MP3 playerPredictive text inputOrganizer,"2006, Q1",,No,GSM,No,Mini-SIM,,GSM 900 / 1800,No,No,LED flash,"Yes, MIDP 2.0",,,,"TFT, 256K colors",Yes,,"10 received, dialed and missed calls",No,,"VGA, rotating lens",,No,No,Proprietary,Cancelled,64MB,,,Black,Vibration; Downloadable polyphonic ringtones,WAP 2.0,Class 10,90 g (3.17 oz),Yes,128 x 160 pixels
No,96.5 x 49.5 x 15.4 mm (3.80 x 1.95 x 0.61 in),"1000 entries, Photocall",https://fdn2.gsmarena.com/vv/bigpic/telit-t200.gif,Removable Li-Ion 730 mAh battery,eZi text inputOrganizerVoice memo,,Telit t200,"SMS, EMS, MMS",No,Telit,No,,,,,,"2006, Q1",,No,GSM,No,Mini-SIM,,GSM 900 / 1800 / 1900,No,No,,"Yes, MIDP 2.0",,,,"TFT, 256K colors",Yes + downloadable,,"10 received, dialed and missed calls",No,,VGA,,No,No,Proprietary,Discontinued,7MB,,,Red,"Vibration; Downloadable polyphonic, Midi, WAV, AMR ringtones",WAP 2.0,Class 10,76 g (2.68 oz),,128 x 160 pixels
MP3 playerPredictive text inputVoice memoOrganizer,112 x 46.5 x 19.5 mm (4.41 x 1.83 x 0.77 in),"500 entries, Photocall",https://fdn2.gsmarena.com/vv/bigpic/telit-gu1100.gif,Removable Li-Ion battery,,,Telit GU1100,"SMS, EMS, MMS, Email",microSD (dedicated slot),Telit,,"Yes, 384 kbps",Up to 280 h,,,,"2005, Q3",,No,GSM / UMTS,Yes,Mini-SIM,,GSM 900 / 1800,No,Yes,,"Yes, MIDP 1.0",,Yes,,"TFT, 256K colors",Yes,Up to 4 h,Yes,No,,VGA,UMTS 2100,Yes,No,1.1,Discontinued,,,,Silver,"Vibration; Downloadable polyphonic ringtones, composer",WAP 2.0/xHTML,,103 g (3.63 oz),,176 x 220 pixels
No,109 x 47.7 x 17.7 mm (4.29 x 1.88 x 0.70 in),,https://fdn2.gsmarena.com/vv/bigpic/telit-sp600.gif,Removable Li-Ion 1000 mAh battery,MP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerPredictive text inputVoice memoOrganizer,,Telit SP600,,miniSD,Telit,No,,Up to 130 h,,,,"2005, Q2",,No,GSM,No,Mini-SIM,,GSM 900 / 1800 / 1900,No,Yes,,,,,,"TFT, 65K colors",,Up to 5 h,,No,,1.3 MP,,Yes,No,1.1,Discontinued,32MB,,Microsoft Windows Mobile 2003 SE Smartphone,Silver,Vibration; Downloadable polyphonic ringtones,WAP 2.0/xHTML,Class 8,99 g (3.49 oz),Yes,176 x 220 pixels
Downloadable animation,105 x 49.6 x 15.8 mm (4.13 x 1.95 x 0.62 in),"1000 entries, Photocall",https://fdn2.gsmarena.com/vv/bigpic/telit-t550.gif,Removable Li-Ion 860 mAh battery,No,,Telit t550,"SMS, EMS, MMS",No,Telit,No,,Up to 168 h,,,MP3 playerVideo playerPhoto editorPredictive text inputOrganizer,"2005, Q1",,No,GSM,"Yes, with stereo speakers",Mini-SIM,,GSM 900 / 1800 / 1900,No,Yes,LED flash,Yes,,,,"TFT, 256K colors",Yes,Up to 9 h,"10 received, dialed and missed calls",No,,1.3 MP,,Yes,No,Proprietary,Discontinued,,,,Black,"Vibration; Downloadable polyphonic, MP3 ringtones, composer",WAP 2.0/xHTML,Class 10,98 g (3.46 oz),,128 x 160 pixels
"Second OLED display, 256 colors, 96 x 64 pixelsDownloadable animation",62 x 64 x 23 mm (2.44 x 2.52 x 0.91 in),"300 entries, Photocall",https://fdn2.gsmarena.com/vv/bigpic/telit-t420.gif,Removable Li-Ion 650 mAh battery,No,,Telit t420,"SMS, EMS, MMS",No,Telit,No,,Up to 100 h,,,Video playerPhoto editorPredictive text inputOrganizer,"2005, Q1",,No,GSM,No,Mini-SIM,,GSM 900 / 1800,No,Yes,,No,,,,"TFT, 65K colors",Yes,Up to 2 h,"10 received, dialed and missed calls",No,,VGA,,No,No,No,Discontinued,,,,Black,"Vibration; Downloadable polyphonic ringtones, composer",WAP 1.2.1,Class 8,82 g (2.89 oz),,128 x 160 pixels
No,100 x 45 x 18 mm (3.94 x 1.77 x 0.71 in),300 entries,https://fdn2.gsmarena.com/vv/bigpic/telit-t180.gif,Removable Li-Ion 650 mAh battery,Voice memoeZi text inputUnit ConverterWorld Clock,,Telit t180,"SMS, EMS, MMS",No,Telit,No,,Up to 250 h,,,,"2006, Q2",,No,GSM,No,Mini-SIM,,GSM 900 / 1800,No,No,,"Yes, MIDP 1.0",,,,"CSTN, 65K colors",Yes,Up to 5 h,"10 received, dialed and missed calls",No,,VGA,,No,No,No,Discontinued,2MB,,,"Navy Blue, Lacquered White","Vibration; Downloadable polyphonic, MIDI ringtones",WAP 1.2.1,Class 10,76 g (2.68 oz),,"128 x 128 pixels, 1:1 ratio"
"Second OLED display, 256 colors, 96 x 64 pixelsDownloadable animation",52 x 57 x 23 mm (2.05 x 2.24 x 0.91 in),"300 entries, Photocall",https://fdn2.gsmarena.com/vv/bigpic/telit-t410.gif,Removable Li-Ion 650 mAh battery,No,,Telit t410,"SMS, EMS, MMS",No,Telit,No,,Up to 100 h,,,Video playerPhoto editorPredictive text inputOrganizer,"2005, Q1",,No,GSM,No,Mini-SIM,,GSM 900 / 1800,No,Yes,,No,,,,"TFT, 65K colors",Yes,Up to 2 h,"10 received, dialed and missed calls",No,,VGA,,No,No,No,Discontinued,,,,Black,"Vibration; Downloadable polyphonic ringtones, composer",WAP 1.2.1,Class 8,76 g (2.68 oz),,128 x 160 pixels
No,101 x 44 x 16.5 mm (3.98 x 1.73 x 0.65 in),SIM based only,https://fdn2.gsmarena.com/vv/bigpic/telit-t130.gif,Removable Li-Ion 800 mAh battery,eZi text inputCalculatorWatchSpeed dial,,Telit t130,SMS,No,Telit,No,,,,,,"2006, Q2",,No,GSM,Yes,Mini-SIM,,GSM 900 / 1800,No,,,No,,,,Monochrome graphics,No,,"10 received, dialed and missed calls",No,"1.37 inches, 5.6 cm2(~12.6% screen-to-body ratio)",,,No,No,miniUSB,Discontinued,4MB,,,Black,Vibration; Downloadable monophonic ringtones,No,No,75 g (2.65 oz),,"96 x 64 pixels, 3:2 ratio (~84 ppi density)"
"Second CSTN display, 4096 colors, 96 x 64 pixelsDownloadable animation",90 x 41 x 20 mm (3.54 x 1.61 x 0.79 in),"500 entries, Photocall",https://fdn2.gsmarena.com/vv/bigpic/telit-t110.gif,Removable Li-Ion battery,No,,Telit t110,"SMS, EMS, MMS",No,Telit,No,,Up to 110 h,,,Video playerPredictive text inputOrganizerVoice memo,"2005, Q1",,No,GSM,No,Mini-SIM,,GSM 900 / 1800,No,Yes,,"Yes, MIDP 1.0",,,,"CSTN, 65K colors",Yes + downloadable,Up to 5 h,"10 received, dialed and missed calls",No,"1.8 inches, 29 x 35 mm, 10.2 cm2(~27.6% screen-to-body ratio)",VGA,,No,No,No,Discontinued,2MB,,,Black,Vibration; Downloadable polyphonic ringtones,WAP 1.2,Class 10,75 g (2.65 oz),,128 x 160 pixels (~114 ppi density)
