,Dimensions,Phonebook,Model Image,Type_1,_1,Model Name,Messaging,Card slot,Brand,EDGE,Speed,Stand-by,SAR,Sensors,Video_1,_2,GPU,Announced,CPU,Positioning,Technology,Loudspeaker,SIM,_3,2G bands,3.5mm jack,Video,NFC,Keyboard,Features,Java,Price,Single_1,Type,Games,Chipset,Talk time,WLAN,Call records,Size,Single,3G bands,Bluetooth,Radio,USB,Protection,Status,Internal,OS,Colors,Alert types,Browser,GPRS,Weight,Infrared port,Resolution
No,199 x 119.8 x 10.9 mm (7.83 x 4.72 x 0.43 in),,https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-go.jpg,"Li-Po 3500 mAh, non-removable (13 Wh)",,Toshiba Excite Go,,microSDXC (dedicated slot),Toshiba,No,,,,Accelerometer,,,,"2014, May. Released 2014, July",Quad-core 1.33 GHz,,No cellular connectivity,Yes,No,,N/A,Yes,Yes,No,,,,About 80 EUR,,IPS LCD,,Intel Atom Z3735G,Up to 7 h (multimedia),Wi-Fi 802.11 b/g/n,,"7.0 inches, 137.9 cm2(~57.8% screen-to-body ratio)",VGA,,"4.0, A2DP",No,microUSB 2.0,,Discontinued,8GB 1GB RAM,Android 4.4.2 (KitKat),"Black/Silver, Black/White",,,No,354.4 g (12.49 oz),,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)"
No,199 x 119.8 x 10.9 mm (7.83 x 4.72 x 0.43 in),,https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-7c-at7-b8.jpg,"Li-Po 3500 mAh, non-removable (13 Wh)",,Toshiba Excite 7c AT7-B8,,microSD (dedicated slot),Toshiba,No,,,,Accelerometer,,,,"2014, February. Released 2014, February",Dual-core 1.5 GHz Cortex-A9,No,No cellular connectivity,Yes,No,,N/A,Yes,Yes,No,,,,About 70 EUR,,IPS LCD,,Rockchip RK3168,Up to 11 h (multimedia),Wi-Fi 802.11 b/g/n,,"7.0 inches, 137.9 cm2(~57.8% screen-to-body ratio)",VGA,,"4.0, A2DP",No,microUSB 2.0,,Discontinued,8GB 1GB RAM,Android 4.2.2 (Jelly Bean),Black/Silver,,,No,354.4 g (12.49 oz),,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)"
HDMI port,261.6 x 177.8 x 10.2 mm (10.30 x 7.00 x 0.40 in),,https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-pro-new.jpg,Li-Po (33 Wh),,Toshiba Excite Pro,,microSDHC (dedicated slot),Toshiba,No,,,,"Accelerometer, gyro, compass",,,ULP GeForce,"2013, June. Released 2013, July",Quad-core Cortex-A15,GPS,No cellular connectivity,"Yes, with stereo speakers",No,,N/A,Yes,Yes,No,,LED flash,,About 210 EUR,1.2 MP,LED-backlit IPS LCD,,Nvidia Tegra 4,Up to 11 h (multimedia),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,"10.1 inches, 295.8 cm2(~63.6% screen-to-body ratio)","8 MP, AF",,"4.0, A2DP",No,microUSB 2.0,,Discontinued,32GB 2GB RAM,"Android 4.2.1 (Jelly Bean), upgradаble to 4.3 (Jelly Bean)",Silver,,,No,630.5 g (1.39 lb),,"2560 x 1600 pixels, 16:10 ratio (~299 ppi density)"
Stylus,261.6 x 177.8 x 10.2 mm (10.30 x 7.00 x 0.40 in),,https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-write-new.jpg,Li-Po (33 Wh),HDMI port,Toshiba Excite Write,,microSDHC (dedicated slot),Toshiba,No,,,,"Accelerometer, gyro, compass",,,ULP GeForce,"2013, June. Released 2013, July",Quad-core Cortex-A15,GPS,No cellular connectivity,"Yes, with stereo speakers",No,,N/A,Yes,Yes,No,,LED flash,,About 440 EUR,1.2 MP,LED-backlit IPS LCD,,Nvidia Tegra 4,Up to 11 h (multimedia),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,"10.1 inches, 295.8 cm2(~63.6% screen-to-body ratio)","8 MP, AF",,"4.0, A2DP",No,microUSB 2.0,,Discontinued,32GB 2GB RAM,Android 4.2.1 (Jelly Bean),Silver,,,No,671.3 g (1.48 lb),,"2560 x 1600 pixels, 16:10 ratio (~299 ppi density)"
No,261.6 x 177.8 x 10.2 mm (10.30 x 7.00 x 0.40 in),,https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-pure-new.jpg,Li-Po (25 Wh),HDMI port,Toshiba Excite Pure,,microSDHC (dedicated slot),Toshiba,No,,,,"Accelerometer, gyro, compass",,,,"2013, June. Released 2013, July",Quad-core,GPS,No cellular connectivity,"Yes, with stereo speakers",No,,N/A,Yes,Yes,No,,,,About 230 EUR,,LED-backlit IPS LCD,,Nvidia Tegra 3,Up to 13 h 30 min (multimedia),Wi-Fi 802.11 b/g/n,,"10.1 inches, 295.8 cm2(~63.6% screen-to-body ratio)",1.2 MP,,"4.0, A2DP",No,microUSB 2.0,,Discontinued,16GB 1GB RAM,"Android 4.2.1 (Jelly Bean), upgradаble to 4.3 (Jelly Bean)",Silver,,,No,598.7 g (1.32 lb),,"1280 x 800 pixels, 16:10 ratio (~149 ppi density)"
SRS audio,261.6 x 180.3 x 10.2 mm (10.30 x 7.10 x 0.40 in),,https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-10-se.jpg,Li-Po (25 Wh),,Toshiba Excite 10 SE,,microSDHC (dedicated slot),Toshiba,No,,,,"Accelerometer, gyro, compass",,,ULP GeForce 2,"2012, December. Released 2012, December",Quad-core 1.5 GHz,GPS,No cellular connectivity,"Yes, with stereo speakers",No,,N/A,Yes,Yes,No,,,,About 250 EUR,1.2 MP,LED-backlit IPS LCD,,Nvidia Tegra 3,Up to 12 h (multimedia),Wi-Fi 802.11 b/g/n,,"10.1 inches, 295.8 cm2(~62.7% screen-to-body ratio)","3.15 MP, AF",,"3.0, A2DP",No,microUSB 2.0,,Discontinued,16GB 1GB RAM,Android 4.1 (Jelly Bean),Black/Silver,,,No,639.6 g (1.41 lb),,"1280 x 800 pixels, 16:10 ratio (~149 ppi density)"
SRS audio,343.8 x 211.2 x 9.8 mm (13.54 x 8.31 x 0.39 in),,https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-13-AT335.jpg,Non-removable Li-Po battery (38 Wh),HDMI portMP3/WAV/WMA/eAAC+ playerMP4/H.264/WMV playerOrganizerDocument viewerPhoto editorVoice memoPredictive text input,Toshiba Excite 13 AT335,,SD/microSDHC (dedicated slot),Toshiba,Yes,HSPA,Up to 168 h,,"Accelerometer, gyro, compass",,,ULP GeForce 2,"2012, April. Released 2012, July",Quad-core 1.5 GHz,"GPS, A-GPS",GSM / HSPA,"Yes, with four speakers",Mini-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,,,LED flash,,About 540 EUR,2 MP,LED-backlit IPS LCD,,Nvidia Tegra 3,Up to 13 h,"Wi-Fi 802.11 b/g/n, hotspot",,"13.3 inches, 644.9 cm2(~88.8% screen-to-body ratio)","5 MP, AF",HSDPA,3.0,No,miniUSB 2.0,Corning Gorilla Glass,Discontinued,"32GB 1GB RAM, 64GB 1GB RAM",Android 4.0 (Ice Cream Sandwich),Dark gray metallic,,,Yes,998 g (2.20 lb),,"1600 x 900 pixels, 16:9 ratio (~120 ppi density)"
SRS audio,262 x 178 x 9 mm (10.31 x 7.01 x 0.35 in),,https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-10-AT305.jpg,Non-removable Li-Po battery (25 Wh),HDMI portMP3/WAV/WMA/eAAC+ playerMP4/H.264/WMV playerOrganizerDocument viewerPhoto editorVoice memoPredictive text input,Toshiba Excite 10 AT305,,SD/microSDHC (dedicated slot),Toshiba,No,,Up to 168 h,,"Accelerometer, gyro, compass",,,ULP GeForce 2,"2012, April. Released 2012, May",Quad-core 1.5 GHz,GPS,No cellular connectivity,"Yes, with stereo speakers",No,,N/A,Yes,720p,,,LED flash,,About 290 EUR,2 MP,"LED-backlit LCD,",,Nvidia Tegra 3,Up to 10 h,Wi-Fi 802.11 b/g/n,,"10.1 inches, 295.8 cm2(~63.4% screen-to-body ratio)","5 MP, AF",,"3.0, A2DP",No,"microUSB 2.0, OTG",Corning Gorilla Glass,Discontinued,"16GB 1GB RAM, 32GB 1GB RAM, 64GB 1GB RAM",Android 4.0 (Ice Cream Sandwich),Black/Silver,,,No,599 g (1.32 lb),,"1280 x 800 pixels, 16:10 ratio (~149 ppi density)"
SRS audio,204.5 x 135.2 x 7.8 mm (8.05 x 5.32 x 0.31 in),,https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-77-AT275.jpg,Non-removable Li-Po battery (15 Wh),MP3/WAV/WMA/eAAC+ playerMP4/H.264/WMV playerOrganizerDocument viewerPhoto editorVoice memoPredictive text input,Toshiba Excite 7.7 AT275,,microSDHC (dedicated slot),Toshiba,Yes,HSPA,,,"Accelerometer, gyro, compass",,,ULP GeForce 2,"2012, April. Released 2012, July",Quad-core 1.5 GHz,"GPS, A-GPS",GSM / HSPA,"Yes, with stereo speakers",Mini-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,720p,,,LED flash,,About 410 EUR,2 MP,AMOLED,,Nvidia Tegra 3,,"Wi-Fi 802.11 b/g/n, hotspot",,"7.7 inches, 171.9 cm2(~62.2% screen-to-body ratio)","5 MP, AF",HSDPA,3.0,No,miniUSB 2.0,Corning Gorilla Glass,Discontinued,"16GB 1GB RAM, 32GB 1GB RAM, 64GB 1GB RAM",Android 4.0 (Ice Cream Sandwich),Dark gray metallic,,,Yes,332 g (11.71 oz),,"1280 x 800 pixels, 16:10 ratio (~196 ppi density)"
HDMI portMP3/WAV/WMA/eAAC+ playerMP4/H.264/WMV playerOrganizerDocument viewerPhoto editorVoice memoPredictive text input,256 x 176 x 7.7 mm (10.08 x 6.93 x 0.30 in),,https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-at200.jpg,Non-removable Li-Ion battery,,Toshiba Excite AT200,,microSDHC (dedicated slot),Toshiba,No,,,,"Accelerometer, gyro, compass",,,PowerVR SGX540,"2011, September. Released 2012, January",1.2 GHz,"GPS, A-GPS",No cellular connectivity,"Yes, with stereo speakers",No,,N/A,Yes,720p,,,LED flash,,About 530 EUR,2 MP,"LED-backlit LCD,",,TI OMAP 4430,Up to 8 h (multimedia),Wi-Fi 802.11 b/g/n,,"10.1 inches, 295.8 cm2(~65.6% screen-to-body ratio)","5 MP, AF",,"2.1, A2DP, EDR",No,miniUSB 2.0,,Discontinued,"16GB 1GB RAM, 32GB 1GB RAM",Android 3.2 (Honeycomb),Black,,,No,558 g (1.23 lb),,"1280 x 800 pixels, 16:10 ratio (~149 ppi density)"
