,256GB 12GB RAM,Dimensions,Camera,_4,Phonebook,Model Image,Type_1,Build,Penta,_1,Battery (old),Model Name,Loudspeaker_1,Messaging,Card slot,Brand,Speed,EDGE,SAR,Quad,Sensors,Video_1,Charging,_2,GPU,Announced,CPU,Positioning,Technology,Loudspeaker,SIM,_3,2G bands,3.5mm jack,Video,NFC,Triple,4G bands,Features,Java,Features_1,Price,Display,Single_1,Type,256GB 8GB RAM,Games,Chipset,WLAN,Call records,3G bands,Size,Single,Protection,Bluetooth,Radio,USB,Dual,Status,Internal,Performance,OS,256GB 6GB RAM,Colors,Audio quality,Battery (new),5G bands,512GB 12GB RAM,GPRS,Weight,Infrared port,Resolution
CDMA 800 / 1900,,173.8 x 82 x 13.7 mm (6.84 x 3.23 x 0.54 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-x31-pro-.jpg,Li-Po 6050 mAh,,,IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 2mMIL-STD-810H compliantDedicated flashlight 120 lm,,Ulefone Armor X31 Pro,,,microSDXC (dedicated slot),Ulefone,"HSPA, LTE",,,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",1080p@30fps,18W wired,,Mali-G57 MC2,"2024, December 21",Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"GPS, GLONASS, GALILEO, BDS",GSM / CDMA / HSPA / LTE / 5G,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,"1440p@30fps, 1080p@30fps",Yes,"64 MP, f/1.9, (wide), 0.8µm, PDAF25 MP, f/1.8, (night vision), 2 infrared lights2 MP, (macro)","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 32, 34, 38, 39, 40, 41, 66, 71","LED flash, HDR, panorama",,,€ 259.99 / $ 219.99 / £ 249.99,,,"IPS LCD, 120Hz, 800 nits (HBM)",€ 259.99,,Mediatek Dimensity 6300 (6 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"6.56 inches, 103.4 cm2(~72.5% screen-to-body ratio)","16 MP, f/2.3, (wide), 1.0µm",Corning Gorilla Glass 5,"5.2, A2DP, LE",Wireless FM radio,USB Type-C 2.0,,"Available. Released 2025, January 01",256GB 8GB RAM,,Android 14,,"Black, Black/Orange, Black/Green",,,"1, 2, 3, 5, 7, 8, 20, 25, 28, 38, 40, 41, 66, 71, 77, 78, 79 SA/NSA",,,306 g (10.79 oz),Yes,"720 x 1612 pixels, 20:9 ratio (~269 ppi density)"
CDMA 800 / 1900,€ 424.99,182.8 x 86.8 x 18.5 mm (7.20 x 3.42 x 0.73 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor27t.jpg,Li-Po 10600 mAh,,,"IP68/IP69K dust/water resistant (up to 2m for 30 min)Drop resistant up to 2mMIL-STD-810H compliantAccessory connector (ulefone endoscope, microscope)",,Ulefone Armor 27T,,,microSDXC (dedicated slot),Ulefone,"HSPA, LTE",,,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",Yes,33W wired30W wireless5W reverse wireless,UFS 2.2,Mali-G57 MC2,"2024, November",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"GPS, GLONASS, GALILEO, BDS",GSM / CDMA / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,"1440p@30fps, 1080p@30fps",Yes,"50 MP, f/2.0, (wide), 1/1.31"", 1.2µm, PDAF64 MP, f/1.8, (night vision), 2 infrared lightsThermal camera by Flir, 80x60 px, 9Hz, 17μm","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66, 71","Dual-LED flash, HDR, panorama",,,€ 424.99 / $ 279.99 / £ 399.99,,,"IPS LCD, 120Hz",,,Mediatek Helio G99 (6 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"6.78 inches, 109.2 cm2(~68.8% screen-to-body ratio)","32 MP, f/2.5, (wide), 0.8µm",Corning Gorilla Glass Victus,"5.2, A2DP, LE","Wireless FM radio, RDS, recording","USB Type-C 2.0, OTG",,"Available. Released 2024, November",256GB 12GB RAM,,Android 14,,Black,,,,,,441 g (15.56 oz),Yes,1080 x 2460 pixels (~396 ppi density)
CDMA 800 / 1900,€ 339.99,182.8 x 86.8 x 18.5 mm (7.20 x 3.42 x 0.73 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor27.jpg,Li-Po 10600 mAh,,,"IP68/IP69K dust/water resistant (up to 2m for 30 min)Drop resistant up to 2mMIL-STD-810H compliantAccessory connector (ulefone endoscope, microscope)",,Ulefone Armor 27,,,microSDXC (dedicated slot),Ulefone,"HSPA, LTE",,,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",Yes,33W wired30W wireless5W reverse wireless,UFS 2.2,Mali-G57 MC2,"2024, November",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"GPS, GLONASS, GALILEO, BDS",GSM / CDMA / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,"1440p@30fps, 1080p@30fps",Yes,"50 MP, f/2.0, (wide), 1/1.31"", 1.2µm, PDAF50 MP, f/2.2, 117˚ (ultrawide)64 MP, f/1.8, (night vision), 2 infrared lights","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66, 71","Dual-LED flash, HDR, panorama",,,€ 339.99 / $ 259.99 / £ 349.99,,,"IPS LCD, 120Hz",,,Mediatek Helio G99 (6 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"6.78 inches, 109.2 cm2(~68.8% screen-to-body ratio)","32 MP, f/2.5, (wide), 0.8µm",Corning Gorilla Glass Victus,"5.2, A2DP, LE","Wireless FM radio, RDS, recording","USB Type-C 2.0, OTG",,"Available. Released 2024, November",256GB 12GB RAM,,Android 14,,Black,,,,,,441 g (15.56 oz),Yes,1080 x 2460 pixels (~396 ppi density)
CDMA 800 / 1900,,168.8 x 76.8 x 8.9 mm (6.65 x 3.02 x 0.35 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-note-18-pro.jpg,Li-Po 5450 mAh,,,,,Ulefone Note 18 Pro,,,microSDXC (uses shared SIM slot),Ulefone,"HSPA, LTE",,,,"Accelerometer, proximity, compass",1080p@30fps,18W wired,,Mali-G57 MC2,"2024, November",Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),"GPS, GLONASS, GALILEO, BDS",GSM / CDMA / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,Yes,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66","LED flash, HDR, panorama",,HDR,,,,"IPS LCD, 90Hz",,,Mediatek Helio G91 (12 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"6.78 inches, 109.2 cm2(~84.2% screen-to-body ratio)","32 MP, f/2.5, (wide), 1/2.8"", 0.8µm",Corning Gorilla Glass,"5.1, A2DP, LE","FM radio, RDS, recording","USB Type-C 2.0, OTG","64 MP, f/1.9, (wide), 1/1.73"", 0.64µm, PDAF50 MP, f/2.2, 117˚, (ultrawide), 1/2.8""","Available. Released 2024, November",256GB 6GB RAM,,Android 14,,"Lustrous Black, Moonlit White, Titanium Gray",,,,,,211.6 g (7.48 oz),Yes,720 x 1640 pixels (~264 ppi density)
UFS 2.1,,237.7 x 156.5 x 7.8 mm (9.36 x 6.16 x 0.31 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-tab-a10-pro.jpg,Li-Po 6600 mAh,,,,,Ulefone Tab A10 Pro,,,microSDXC (uses shared SIM slot),Ulefone,"HSPA, LTE",,,,"Accelerometer, proximity (accessories only)",Yes,18W wired,,Mali-G52,"2024, November",Octa-core (2x2.0 GHz Cortex-A75 & 6x1.7 GHz Cortex-A55),"GPS, GLONASS, GALILEO, BDS",GSM / HSPA / LTE,"Yes, with stereo speakers",Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,No,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 26, 28, 34, 38, 39, 40, 41, 66, 71","LED flash, HDR, panorama",,,,,5 MP,IPS LCD,,,Mediatek MT8786 (12 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"10.1 inches, 295.8 cm2(~79.5% screen-to-body ratio)",13 MP,,"5.0, A2DP, LE","FM radio, RDS, recording","USB Type-C 2.0, OTG",,"Available. Released 2024, November",128GB 6GB RAM,,Android 14,,Gray,,,,,,446 g (15.73 oz),,"800 x 1280 pixels, 16:10 ratio (~149 ppi density)"
"1, 3, 7, 8, 19, 20, 40 - EU, Asia",,167.8 x 77.4 x 9.1 mm (6.61 x 3.05 x 0.36 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-note-20-pro.jpg,Li-Po 6000 mAh,,,UFS 2.0,,Ulefone Note 20 Pro,,,microSDXC (uses shared SIM slot),Ulefone,"HSPA, LTE",,,,"Accelerometer, proximity",Yes,18W wired,,Mali-G57 MP1,"2024, September",Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),"GPS, GLONASS, GALILEO, BDS",GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,"1440p@30fps, 1080p@30fps",No,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 26, 28, 38, 40, 41, 66 - International","LED flash, HDR, panorama",,,About 110 EUR,,"8 MP, f/2.0, (wide), 1.12µm","IPS LCD, 90Hz",,,Unisoc T606 (12 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 850 / 900 / 2100,"6.75 inches, 109.5 cm2(~84.3% screen-to-body ratio)","50 MP, f/2.0, (wide), 1/1.31"", 1.2µm2 MP, (macro)",,"5.0, A2DP","Wireless FM radio, RDS, recording",USB Type-C 2.0,,"Available. Released 2024, September","128GB 4GB RAM, 256GB 4GB RAM",,Android 14,,"Satin Black, Ribbons White",,,,,,217 g (7.65 oz),Yes,"720 x 1610 pixels, 20:9 ratio (~261 ppi density)"
"1, 3, 7, 8, 19, 20, 40 - EU, Asia",,163.2 x 75.2 x 8.8 mm (6.43 x 2.96 x 0.35 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-note-19.jpg,Li-Po 5000 mAh,,,UFS 2.0,,Ulefone Note 19,,,No,Ulefone,"HSPA, LTE",,,,"Accelerometer, proximity",Yes,10W wired,,PowerVR GE8322,"2024, September",Octa-core 8x1.6 GHz Cortex-A55,"GPS, GLONASS, GALILEO, BDS",GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,"1440p@30fps, 1080p@30fps",No,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 26, 28, 38, 40, 41, 66 - International","LED flash, HDR, panorama",,,About 80 EUR,,"5 MP, f/2.0, (wide), 1.12µm",IPS LCD,,,Unisoc T603 (22 nm),Wi-Fi 802.11 b/g/n,,HSDPA 850 / 900 / 2100,"6.56 inches, 103.4 cm2(~84.2% screen-to-body ratio)","8 MP, f/2.0, (wide), 1.12µm",,"4.2, A2DP","Stereo FM radio, RDS, recording",USB Type-C 2.0,,"Available. Released 2024, September",32GB 3GB RAM,,Android 14 (Go edition),,"Black, Green",,,,,,192 g (6.77 oz),Yes,"720 x 1612 pixels, 20:9 ratio (~269 ppi density)"
"IP68 dust/water resistant (up to 2m for 30 min)Drop resistant up to 2mMIL-STD-810H compliantAccessory connector (ulefone endoscope, microscope)1100 lumens dedicated flood flashlight",,261.7 x 166.8 x 14.3 mm (10.30 x 6.57 x 0.56 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-pad-4-ultra-thermal.jpg,Li-Po 11800 mAh,,,UFS 2.1,,Ulefone Armor Pad 4 Ultra Thermal,,,microSDXC (dedicated slot),Ulefone,"HSPA, LTE, 5G",,,,"Fingerprint (side-mounted), gyro, accelerometer, proximity, compass, barometer",Yes,33W wired5W reverse wired,,Mali-G57 MC2,"2024, September",Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"GPS, GLONASS, GALILEO, BDS",GSM / HSPA / LTE / 5G,"Yes, with stereo speakers",Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,"1440p@30fps, 1080p@30fps",Yes,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41, 66, 71","LED flash, HDR, panorama",,,About 460 EUR,,,IPS LCD,,,Mediatek Dimensity 6300 (6 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"10.36 inches, 305.5 cm2(~70.0% screen-to-body ratio)","32 MP, f/2.4, (wide), 0.8µm",Corning Gorilla Glass Victus,"5.2, A2DP","Wireless FM radio, RDS, recording","USB Type-C 2.0, OTG, magnetic connector","50 MP, f/2.0, (wide), 1/1.31"", 1.2µmThermal camera by ThermoVue, 160x120 px, 25Hz, 12μm","Available. Released 2024, September",256GB 8GB RAM,,Android 14,,Black,,,"1, 2, 3, 5, 7, 8, 20, 25, 28, 38, 40, 41, 66, 71, 77, 78, 79 SA/NSA",,,834.5 g (1.84 lb),,"1200 x 2000 pixels, 5:3 ratio (~225 ppi density)"
"IP68 dust/water resistant (up to 2m for 30 min)Drop resistant up to 2mMIL-STD-810H compliantAccessory connector (ulefone endoscope, microscope)1100 lumens dedicated flood flashlight",,261.7 x 166.8 x 14.3 mm (10.30 x 6.57 x 0.56 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-pad-4-ultra.jpg,Li-Po 11800 mAh,,,UFS 2.1,,Ulefone Armor Pad 4 Ultra,,,microSDXC (dedicated slot),Ulefone,"HSPA, LTE, 5G",,,,"Fingerprint (side-mounted), gyro, accelerometer, proximity, compass, barometer",Yes,33W wired5W reverse wired,,Mali-G57 MC2,"2024, September",Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"GPS, GLONASS, GALILEO, BDS",GSM / HSPA / LTE / 5G,"Yes, with stereo speakers",Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,"1440p@30fps, 1080p@30fps",Yes,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41, 66, 71","LED flash, HDR, panorama",,,About 370 EUR,,"32 MP, f/2.4, (wide), 0.8µm",IPS LCD,,,Mediatek Dimensity 6300 (6 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"10.36 inches, 305.5 cm2(~70.0% screen-to-body ratio)","50 MP, f/2.0, (wide), 1/1.31"", 1.2µm",Corning Gorilla Glass Victus,"5.2, A2DP","Wireless FM radio, RDS, recording","USB Type-C 2.0, OTG, magnetic connector",,"Available. Released 2024, September",256GB 8GB RAM,,Android 14,,Black,,,"1, 2, 3, 5, 7, 8, 20, 25, 28, 38, 40, 41, 66, 71, 77, 78, 79 SA/NSA",,,834.5 g (1.84 lb),,"1200 x 2000 pixels, 5:3 ratio (~225 ppi density)"
CDMA 800 / 1900,,174.2 x 83.6 x 19.4 mm (6.86 x 3.29 x 0.76 in),,UFS 4.0,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-28-ultra.jpg,Li-Ion 10600 mAh,,,CDMA2000 1x,,Ulefone Armor 28 Ultra Thermal,,,microSDXC (dedicated slot),Ulefone,"HSPA, LTE, 5G",,,,"Fingerprint, accelerometer, gyro, proximity, compass, barometer",Yes,120W wired50W wirelessReverse wireless,"IP68/IP69K dust/water resistant (up to 2m for 30 min)Drop resistant up to 2mMIL-STD-810H compliantAccessory connector (ulefone endoscope, microscope)",Immortalis-G720 MC12,"2024, September 03",Octa-core (1x3.25 GHz Cortex-X4 & 3x2.85 GHz Cortex-X4 & 4x2.0 GHz Cortex-A720),"GPS, GALILEO, GLONASS, QZSS, BDS, NavIC",GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,Yes,Nano-SIM + Nano-SIM,Secondary display on the back,GSM 850 / 900 / 1800 / 1900,Yes,Yes,Yes,"50 MP, f/1.9, (wide), 1.0""-type, 1.6µm, PDAF64 MP, f/1.8, (night vision), 4 infrared lights50 MP, (ultrawide), 1/2.76"", 0.64µmThermal camera by ThermoVue Pro, 640x512 px","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66, 71","Quad-LED flash, HDR, panorama",,,,,,"AMOLED, 120Hz, 2200 nits (peak)",,,Mediatek Dimensity 9300+ (4 nm),"Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band",,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"6.67 inches, 107.4 cm2(~73.8% screen-to-body ratio)","50 MP, (wide), 1/2.76"", 0.64µm",Corning Gorilla Glass Victus,"5.4, A2DP, LE","Wireless FM radio, RDS, recording","USB Type-C 3.2 Gen2, Display Port, OTG, accessory connector pins",,"Coming soon. Exp. release 2025, February",1TB 16GB RAM,,"Android 14, planned upgrade to Android 15",,Black,,,"1, 2, 3, 5, 7, 8, 20, 25, 28, 38, 40, 41, 66, 71, 77, 78, 79 SA/NSA/Sub6",,,-,Yes,"1080 x 2400 pixels, 20:9 ratio (~395 ppi density)"
