,Dimensions,Phonebook,Model Image,Type_1,_1,Model Name,Messaging,Card slot,Brand,Speed,EDGE,Stand-by,SAR,Sensors,Video_1,_2,GPU,Announced,CPU,Positioning,Technology,Loudspeaker,SIM,_3,2G bands,3.5mm jack,Video,NFC,Keyboard,4G bands,Features,Java,Features_1,Single_1,Type,Games,Talk time,WLAN,Call records,3G bands,Size,Single,Bluetooth,Radio,USB,Music play,Status,Internal,OS,Colors,GPRS,Weight,Resolution
,145.2 x 73.5 x 9.2 mm (5.72 x 2.89 x 0.36 in),,https://fdn2.gsmarena.com/vv/bigpic/unnecto-bolt.jpg,"Li-Ion 2000 mAh, removable",,Unnecto Bolt,,microSDHC,Unnecto,"HSPA, LTE",,Up to 200 h (2G) / Up to 175 h (3G),1.25 W/kg (head)     1.15 W/kg (body),"Accelerometer, proximity",,,Adreno 304,"2016, June. Released 2016, August",Quad-core 1.1 GHz,GPS,GSM / HSPA / LTE,"Yes, with stereo speakers","Dual SIM (Micro-SIM, dual stand-by)",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,1080p@30fps,No,,"2, 3, 4, 12, 17","LED flash, HDR, panorama",,,"2 MP, AF",IPS LCD,,Up to 6 h (2G) / Up to 5 h (3G),Wi-Fi 802.11 b/g/n,,HSDPA 850 / 900 / 1900 / 2100,"5.0 inches, 68.9 cm2(~64.6% screen-to-body ratio)","8 MP, PDAF","4.1, LE",No,microUSB 2.0,,Discontinued,8GB 1GB RAM,Android 5.1 (Lollipop),"Black, Silver",,170 g (6.00 oz),"720 x 1280 pixels, 16:9 ratio (~294 ppi density)"
,143.5 x 70.5 x 9.2 mm (5.65 x 2.78 x 0.36 in),,https://fdn2.gsmarena.com/vv/bigpic/unnecto-neo-v.jpg,"Li-Ion 2000 mAh, removable",,Unnecto Neo V,,microSDHC,Unnecto,HSPA 42.2/11.5 Mbps,,Up to 200 h (2G) / Up to 175 h (3G),0.62 W/kg (head)     0.96 W/kg (body),"Accelerometer, proximity",,,Mali-400,"2016, May. Released 2016, July",Quad-core 1.3 GHz Cortex-A7,GPS,GSM / HSPA,"Yes, with stereo speakers","Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,720p@30fps,No,,,"Dual-LED flash, HDR, panorama",,LED flash,"1.3 MP, AF",IPS LCD,,Up to 6 h (2G) / Up to 5 h (3G),Wi-Fi 802.11 b/g/n,,HSDPA 850 / 1900 / 2100,"5.0 inches, 68.9 cm2(~68.1% screen-to-body ratio)","8 MP, PDAF","4.0, LE",Stereo FM radio,microUSB 2.0,,Discontinued,8GB 1GB RAM,Android 5.1 (Lollipop),"Black, White, Blue",,177 g (6.24 oz),"480 x 854 pixels, 16:9 ratio (~196 ppi density)"
,124.5 x 64.5 x 10.2 mm (4.90 x 2.54 x 0.40 in),,https://fdn2.gsmarena.com/vv/bigpic/unnecto-quattro-s.jpg,"Li-Ion 1400 mAh, removable",,Unnecto Quattro S,,microSDHC,Unnecto,HSPA 42.2/21 Mbps,,Up to 100 h (2G) / Up to 72 h (3G),,"Accelerometer, proximity",,,Mali-400,"2016, May. Released 2016, July",Quad-core 1.2 GHz,GPS,GSM / HSPA,"Yes, with stereo speakers","Dual SIM (Micro-SIM, dual stand-by)",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,720p@30fps,No,,,"LED flash, HDR, panorama",,,"1.3 MP, AF","TFT, 256K colors",,Up to 5 h (2G) / Up to 4 h (3G),Wi-Fi 802.11 a/b/g/n,,HSDPA 850 / 1900 / 2100,"4.0 inches, 45.5 cm2(~56.7% screen-to-body ratio)","5 MP, PDAF",2.1,Stereo FM radio,microUSB 2.0,,Discontinued,8GB 1GB RAM,Android 5.1 (Lollipop),"Black, White, Navy",,113 g (3.99 oz),"480 x 800 pixels, 5:3 ratio (~233 ppi density)"
,120.3 x 63.2 x 11.7 mm (4.74 x 2.49 x 0.46 in),,https://fdn2.gsmarena.com/vv/bigpic/unnecto-quattro-v.jpg,"Li-Ion 1600 mAh, removable",,Unnecto Quattro V,,microSDHC,Unnecto,HSPA 42.2/11.5 Mbps,,Up to 160 h (2G) / Up to 140 h (3G),0.87 W/kg (head)     1.02 W/kg (body),"Accelerometer, proximity",,,Mali-400,"2016, May. Released 2016, July",Quad-core 1.3 GHz Cortex-A7,GPS,GSM / HSPA,"Yes, with stereo speakers","Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,720p@30fps,No,,,"LED flash, HDR, panorama",,,"1.3 MP, AF",IPS LCD,,Up to 5 h (2G) / Up to 4 h (3G),"Wi-Fi 802.11 b/g/n, hotspot",,HSDPA 850 / 1900 / 2100,"4.0 inches, 45.5 cm2(~59.9% screen-to-body ratio)","5 MP, PDAF","4.0, LE",Stereo FM radio,"microUSB 2.0, OTG",,Discontinued,8GB 1GB RAM,Android 5.1 (Lollipop),"Black, White, Blue",,163 g (5.75 oz),"480 x 800 pixels, 5:3 ratio (~233 ppi density)"
,115 x 61 x 10.5 mm (4.53 x 2.40 x 0.41 in),,https://fdn2.gsmarena.com/vv/bigpic/unnecto-drone-xs.jpg,"Li-Ion 1100 mAh, removable",,Unnecto Drone XS,,microSDHC,Unnecto,HSPA 21.1/5.76 Mbps,,Up to 160 h (2G) / Up to 140 h (3G),,"Accelerometer, gyro, proximity",,,Mali-400,"2016, May. Released 2016, June",1.2 GHz Cortex-A7,GPS,GSM / HSPA,"Yes, with stereo speakers","Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,720p@30fps,No,,,"LED flash, HDR, panorama",,,"1.3 MP, AF",IPS LCD,,Up to 5 h (2G) / Up to 4 h (3G),"Wi-Fi 802.11 b/g/n, hotspot",,HSDPA 850 / 1900 / 2100,"3.5 inches, 36.5 cm2(~52.0% screen-to-body ratio)","3 MP, PDAF",2.0,Stereo FM radio,microUSB 2.0,,Discontinued,4GB 512MB RAM,Android 4.4 (KitKat),"Black, White, Blue",,113 g (3.99 oz),"320 x 480 pixels, 3:2 ratio (~165 ppi density)"
No,110.5 x 43 x 13.7 mm (4.35 x 1.69 x 0.54 in),Yes,https://fdn2.gsmarena.com/vv/bigpic/unnecto-primo-2g.jpg,"Li-Ion 800 mAh, removable",Audio/video playerOrganizerVoice memo,Unnecto Primo 2G,"SMS(threaded view), MMS",microSDHC,Unnecto,,Yes,Up to 160 h,,,,,,"2016, March. Released 2016, April",,No,GSM,Yes,Mini-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,720p@30fps,No,,,,No,,,TFT,No,Up to 8 h,No,Yes,,"1.8 inches, 10.2 cm2(~21.5% screen-to-body ratio)","1 MP, AF",2.0,Stereo FM radio,microUSB 2.0,,Discontinued,32MB 32MB RAM,,Black/Grey,Yes,73 g (2.57 oz),128 x 160 pixels (~114 ppi density)
,142.9 x 72.6 x 8.9 mm (5.63 x 2.86 x 0.35 in),,https://fdn2.gsmarena.com/vv/bigpic/unnecto-omnia.jpg,"Li-Ion 2000 mAh, removable",,Unnecto Omnia,,microSDHC,Unnecto,"HSPA, LTE",,Up to 188 h (3G),,Accelerometer,,,Mali-T720,"2015, January. Released 2015, March",Quad-core 1.0 GHz,GPS,GSM / HSPA / LTE,"Yes, with stereo speakers",Dual SIM,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,1080p@30fps,No,,"2, 4, 12, 17",LED flash,,,3 MP,IPS LCD,,Up to 6 h 30 min (3G),"Wi-Fi 802.11 b/g/n, hotspot",,HSDPA 850 / 1700(AWS) / 1900 / 2100,"5.0 inches, 68.9 cm2(~66.4% screen-to-body ratio)","8 MP, AF","4.0, LE",FM radio,microUSB 2.0,Up to 24 h,Discontinued,8GB 1GB RAM,Android 5.1 (Lollipop),"Black, White, Gray",,163 g (5.75 oz),"720 x 1280 pixels, 16:9 ratio (~294 ppi density)"
,119.3 x 63 x 10 mm (4.70 x 2.48 x 0.39 in),,https://fdn2.gsmarena.com/vv/bigpic/unnecto-swift.jpg,"Li-Ion 1600 mAh, removable",,Unnecto Swift,,microSDHC,Unnecto,"HSPA, LTE",,Up to 188 h (3G),,Accelerometer,,,Mali-T720,"2015, January. Released 2015, March",Quad-core 1.0 GHz,GPS,GSM / HSPA / LTE,"Yes, with stereo speakers",Dual SIM,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,1080p@30fps,No,,"2, 3, 4, 12",LED flash,,,VGA,IPS LCD,,Up to 6 h 30 min (3G),"Wi-Fi 802.11 b/g/n, hotspot",,HSDPA 850 / 1900 / 2100,"4.0 inches, 45.5 cm2(~60.6% screen-to-body ratio)",5 MP,"4.0, LE",FM radio,microUSB 2.0,Up to 24 h,Discontinued,8GB 1GB RAM,Android 5.1 (Lollipop),"Black, White, Blue",,120.5 g (4.27 oz),"480 x 800 pixels, 5:3 ratio (~233 ppi density)"
,123 x 64 x 9.2 mm (4.84 x 2.52 x 0.36 in),,https://fdn2.gsmarena.com/vv/bigpic/unnecto-qx.jpg,Li-Ion 1600 mAh battery,,Unnecto Quattro X,,microSDHC,Unnecto,HSPA 21.1/5.76 Mbps,,Up to 45 h (3G),,Accelerometer,,,Mali-400,"2015, January. Released 2015, January",Dual-core 1.3 GHz,GPS,GSM / HSPA,"Yes, with stereo speakers",Dual SIM (dual stand-by),,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,No,,,LED flash,,,VGA,IPS LCD,,Up to 6 h (3G),"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot",,HSDPA 850 / 1900 / 2100,"4.0 inches, 45.5 cm2(~57.9% screen-to-body ratio)",5 MP,"4.0, A2DP",FM radio,microUSB 2.0,Up to 24 h,Discontinued,4GB 512MB RAM,Android 4.4.2 (KitKat),"Black, White, Blue",,120 g (4.23 oz),"480 x 800 pixels, 5:3 ratio (~233 ppi density)"
,115 x 61 x 10.5 mm (4.53 x 2.40 x 0.41 in),,https://fdn2.gsmarena.com/vv/bigpic/unnecto-drone-xl.jpg,Li-Ion 1100 mAh battery,,Unnecto Drone XL,,microSDHC,Unnecto,HSPA 21.1/5.76 Mbps,,Up to 40 h (3G),,Accelerometer,,,Mali-400,"2015, January. Released 2015, March",1.2 GHz,GPS,GSM / HSPA,"Yes, with stereo speakers",Dual SIM (dual stand-by),,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,No,,,LED flash,,,VGA,IPS LCD,,Up to 5 h (3G),"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot",,HSDPA 850 / 1900 / 2100,"3.5 inches, 36.5 cm2(~52.0% screen-to-body ratio)",3.15 MP,"4.0, A2DP",FM radio,microUSB 2.0,Up to 20 h,Discontinued,512MB 256MB RAM,Android 4.4.2 (KitKat),"Black, White, Blue",,110 g (3.88 oz),"320 x 480 pixels, 3:2 ratio (~165 ppi density)"
