,Type,Dimensions,Messaging,Model Image,_1,Bluetooth,3.5mm jack,SIM,EDGE,Video,Brand,Phonebook,Status,Resolution,Sensors,WLAN,Single,Infrared port,Price,Alert types,Browser,USB,Internal,Talk time,Card slot,Colors,3G bands,Loudspeaker,Single_1,Games,Radio,Type_1,Call records,2G bands,Size,Weight,Announced,Model Name,_2,Technology,Stand-by,Video_1,Features,GPRS,Positioning,Java,_3,Speed
Downloadable pictures and animations,"TFT, 256K colors",107 x 48 x 11.7 mm (4.21 x 1.89 x 0.46 in),"SMS, EMS, MMS, Email",https://fdn2.gsmarena.com/vv/bigpic/vk-2030.jpg,No,1.2,No,Mini-SIM,No,No,VK_Mobile,"Yes, Photocall",Discontinued,128 x 160 pixels (~114 ppi density),,No,1.3 MP,,About 70 EUR,"Vibration; Downloadable polyphonic, Real tones ringtones",WAP 2.0/xHTML,1.1,256MB,Up to 3 h,microSD (dedicated slot),White,,No,,Yes,No,Removable Li-Ion 710 mAh battery,"50 dialed, 50 received, 50 missed calls",GSM 900 / 1800 / 1900,"1.8 inches, 10.2 cm2(~19.9% screen-to-body ratio)",,"2007, December. Released 2008, September",VK Mobile VK2030,MP3/AAC playerPredictive text inputOrganizerVoice memo,GSM,Up to 150 h,,,Class 10,No,"Yes, MIDP 2.0",,
GSM 850 / 1900 - US version,"TFT, 260K colors",97.8 x 49.5 x 12.5 mm (3.85 x 1.95 x 0.49 in),"SMS, EMS, MMS",https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk2200.gif,Downloadable pictures and animations,Yes,No,Mini-SIM,No,Yes,VK_Mobile,1000 entries,Discontinued,176 x 220 pixels (~170 ppi density),,No,4 MP,,,Vibration; Downloadable polyphonic ringtones,WAP 2.0/xHTML,1.1,128MB,,No,Silver,,No,,Yes,No,Removable Li-Ion battery,"50 dialed, 50 received, 50 missed calls",GSM 900 / 1800 / 1900,"1.66 inches, 8.7 cm2(~17.9% screen-to-body ratio)",74 g (2.61 oz),"2006, March",VK Mobile VK2200,No,GSM,,,,Class 10,No,"Yes, MIDP 2.0",MP3/AAC/AAC+ playerPredictive text inputOrganizerVoice memo,
Downloadable pictures and animations,"TFT, 256K colors",105 x 48 x 9.9 mm (4.13 x 1.89 x 0.39 in),"SMS, EMS, MMS, Email",https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk7000.gif,Video telephony & streamingMP3/AAC/AAC+ playerPredictive text inputOrganizer,Yes,No,Mini-SIM,,QCIF,VK_Mobile,"Yes, Photo call",Cancelled,176 x 220 pixels (~157 ppi density),,No,1.3 MP,,,Vibration; Downloadable polyphonic ringtones,WAP 2.0/xHTML,2.0,,,microMMC,Black,UMTS 2100,Yes,VGA videocall camera,Yes,No,Removable Li-Ion battery,"50 dialed, 50 received, 50 missed calls",GSM 900 / 1800 / 1900,"1.8 inches, 28 x 35 mm, 10.2 cm2(~20.2% screen-to-body ratio)",,"2006, March",VK Mobile VK7000,,GSM / UMTS,,,,,No,"Yes, MIDP 2.0",,"Yes, 384 kbps"
GSM 850 / 1900 - US version,"OLED, 256K colors",91.8 x 50 x 9.9 mm (3.61 x 1.97 x 0.39 in),"SMS, EMS, MMS, Email",https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk5000.gif,Downloadable pictures and animations,Yes,No,Mini-SIM,Yes,QCIF,VK_Mobile,"Yes, Photo call",Cancelled,128 x 160 pixels (~137 ppi density),,No,1.3 MP,,,Vibration; Downloadable polyphonic ringtones,WAP 2.0/xHTML,No,128MB,,No,Silver,,No,,Yes,No,Removable Li-Ion battery,"50 dialed, 50 received, 50 missed calls",GSM 900 / 1800 / 1900,"1.5 inches, 24 x 29 mm, 7.1 cm2(~15.4% screen-to-body ratio)",,"2006, March",VK Mobile VK5000,No,GSM,,,,Class 10,No,"Yes, MIDP 2.0",MP3/AAC/AAC+ playerPredictive text inputOrganizerPC Sync,
"Second external STN display, 256K colors, 80 x 80 pixels","TFT, 256K colors",79.5 x 42.5 x 21.5 mm (3.13 x 1.67 x 0.85 in),"SMS, EMS, MMS",https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk300.gif,No,No,No,Mini-SIM,No,,VK_Mobile,Yes,Discontinued,128 x 160 pixels (~114 ppi density),,No,,,,"Vibration; Downloadable polyphonic, MIDI ringtones",WAP 1.2.1,No,,Up to 3 h,No,"Silver-black, Gold",,No,,Yes,No,Removable Li-Ion 720 mAh battery,"20 dialed, 20 received,20 missed calls",GSM 900 / 1800,"1.8 inches, 10.2 cm2(~30.2% screen-to-body ratio)",75 g (2.65 oz),"2005, July",VK Mobile VK300,3D GUIeZi(iTAP)Organizer,GSM,Up to 125 h,,,Class 10,No,No,,
Downloadable pictures and animations,"TFT, 256K colors",85 x 43 x 21 mm (3.35 x 1.69 x 0.83 in),"SMS, EMS, MMS",https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk4000.gif,No,Yes,No,Mini-SIM,No,No,VK_Mobile,"Yes, Photo call",Discontinued,128 x 160 pixels (~114 ppi density),,No,VGA,,About 60 EUR,"Vibration; Downloadable polyphonic, MP3 ringtones",WAP 2.0/xHTML,Proprietary,128MB,,Yes,Black,,No,,Yes,No,Removable Li-Ion battery,"50 dialed, 50 received, 50 missed calls",GSM 850 / 900 / 1800 / 1900,"1.8 inches, 29 x 35 mm, 10.2 cm2(~27.9% screen-to-body ratio)",79 g (2.79 oz),"2006, March",VK Mobile VK4000,MP3/AAC playerPredictive text inputOrganizerStopwatchPC Sync,GSM,,,,Class 10,No,"Yes, MIDP 2.0",,
Downloadable pictures and animations,"TFT, 256K colors",104 x 52 x 25.9 mm (4.09 x 2.05 x 1.02 in),"SMS, EMS, MMS",https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk4100.gif,No,Yes,No,Mini-SIM,No,No,VK_Mobile,"Yes, Photo call",Cancelled,128 x 160 pixels (~114 ppi density),,No,VGA,,,"Vibration; Downloadable polyphonic, MP3 ringtones",WAP 2.0/xHTML,Proprietary,128MB,,Yes,Black,,No,,Yes,No,Removable Li-Ion battery,"50 dialed, 50 received, 50 missed calls",GSM 900 / 1800 / 1900,"1.8 inches, 10.2 cm2(~18.9% screen-to-body ratio)",,"2006, March",VK Mobile VK4100,MP3/AAC playerPredictive text inputOrganizerStopwatchPC Sync,GSM,,,,Class 10,No,"Yes, MIDP 2.0",,
GSM 850 / 1900 - US version,"OLED, 256K colors",95 x 47 x 8.8 mm (3.74 x 1.85 x 0.35 in),"SMS, EMS, MMS",https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk2020.gif,Downloadable pictures and animations,Yes,No,Mini-SIM,No,,VK_Mobile,1000 entries,Discontinued,128 x 160 pixels,,No,,,About 50 EUR,Vibration; Downloadable polyphonic ringtones,WAP 2.0/xHTML,1.1,64MB,,No,Black,,No,,Yes,No,Removable Li-Ion battery,"50 dialed, 50 received, 50 missed calls",GSM 900 / 1800 / 1900,,53 g (1.87 oz),"2006, February",VK Mobile VK2020,No,GSM,,,,Class 10,No,"Yes, MIDP 2.0",MP3/AAC playerPredictive text inputOrganizerVoice memo,
Downloadable pictures and animations,"CSTN, 65K colors",105 x 48 x 11 mm (4.13 x 1.89 x 0.43 in),"SMS, EMS, MMS",https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk200.gif,No,No,No,Mini-SIM,No,Yes,VK_Mobile,"Yes, Photo call",Discontinued,"128 x 128 pixels, 1:1 ratio",,No,VGA,,,Vibration; Downloadable polyphonic ringtones,WAP 2.0/xHTML,Proprietary,20MB,,microSD (dedicated slot),Black,,No,,Yes,No,Removable Li-Ion battery,"50 dialed, 50 received, 50 missed calls",GSM 900 / 1800,,,"2006, February",VK Mobile VK200,MP3/AAC playerPredictive text inputUnit convertorCalculatorStopwatch,GSM,,,,Class 10,No,No,,
Downloadable pictures and animations,"TFT, 256K colors",98 x 49 x 16.9 mm (3.86 x 1.93 x 0.67 in),"SMS, EMS, MMS",https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk4500.gif,No,Yes,No,Mini-SIM,No,Yes,VK_Mobile,"Yes, Photo call",Discontinued,176 x 220 pixels (~141 ppi density),,No,1.3 MP,,,"Vibration; Downloadable polyphonic, MP3 ringtones",WAP 2.0/xHTML,Proprietary,100MB,,No,,,No,,Yes,No,Removable Li-Ion 620 mAh battery,"50 dialed, 50 received, 50 missed calls",GSM 850 / 900 / 1800 / 1900,"2.0 inches, 31 x 39 mm, 12.6 cm2(~26.2% screen-to-body ratio)",86 g (3.03 oz),"2005, Q4",VK Mobile VK4500,MP3/AAC playerPredictive text inputOrganizerStopwatchWorld time,GSM,,,,Class 10,No,"Yes, MIDP 2.0",,
