,Dimensions,Phonebook,Model Image,Type_1,_1,Model Name,Messaging,Card slot,Brand,Speed,EDGE,Stand-by,SAR,Sensors,Video_1,Charging,_2,GPU,Announced,CPU,SAR EU,Positioning,Technology,Loudspeaker,SIM,_3,2G bands,3.5mm jack,Video,NFC,Keyboard,4G bands,Features,Java,Languages,Price,Single_1,Type,Games,Chipset,Talk time,WLAN,Call records,3G bands,Size,Single,Protection,Bluetooth,Radio,USB,Music play,Status,Internal,OS,Colors,Alert types,Browser,GPRS,Weight,Resolution
TD-SCDMA,155 x 74 x 10.8 mm (6.10 x 2.91 x 0.43 in),,https://fdn2.gsmarena.com/vv/bigpic/vertu-signature-touch-2015.jpg,"Li-Ion 3160 mAh, non-removable",Titanium body (forged grade 5) and luxurious calf leather covered rear panel,Vertu Signature Touch (2015),,microSDXC (dedicated slot),Vertu,"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",,,,"Accelerometer, gyro, proximity, compass",,"18W wired, QC2Wireless (Qi)",eMMC 5.0,Adreno 430,"2015, September. Released 2015, October",Octa-core (4x1.56 GHz Cortex-A53 & 4x1.82 GHz Cortex-A57),,"GPS, GLONASS",GSM / HSPA / LTE,"Yes, with stereo speakers",Micro-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,Yes,Yes,,"1, 5, 7, 8, 13, 17, 20, 25, 28, 29, 38, 39, 40, 41","Dual-LED dual-tone flash, panorama, HDR",,,About 9000 EUR,2.1 MP,Sapphire crystal glass,,Qualcomm MSM8994 Snapdragon 810 (20 nm),,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"5.2 inches, 74.5 cm2(~65.0% screen-to-body ratio)","21 MP, PDAF",Sapphire crystal glass,"4.0, A2DP, LE, aptX",No,"microUSB 2.0 (MHL), OTG",,Discontinued,64GB 4GB RAM,Android 5.1 (Lollipop),"Jet Calf, Garnet Calf, Grape Lizard, Pure Jet Lizard, Jet Alligator, Pure Navy Alligator, Clous de Paris Alligator, Pure Jet Red Gold",,,,225-236 g (8.32 oz),"1080 x 1920 pixels, 16:9 ratio (~424 ppi density)"
Titanium body (forged grade 5) and luxurious calf leather covered rear panel,143.4 x 69 x 11.2 mm (5.65 x 2.72 x 0.44 in),,https://fdn2.gsmarena.com/vv/bigpic/vertu-aster1.jpg,"Li-Ion 2275 mAh, non-removable",eMMC 5.0,Vertu Aster,,No,Vertu,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,Up to 380 h (3G),,"Accelerometer, gyro, proximity, compass",,Wireless (Qi),,Adreno 330,"2014, October. Released 2014, December",Quad-core 2.3 GHz Krait 400,,"GPS, GLONASS",GSM / HSPA / LTE,"Yes, with stereo speakers",Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,Yes,Yes,,"1, 5, 7, 8, 17, 20, 25",Dual-LED flash,,,About 5440 EUR,2.1 MP,Sapphire crystal glass,,Qualcomm Snapdragon 801 (28 nm),Up to 15 h 30 min (3G),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",,HSDPA 850 / 900 / 1700 / 1900 / 2100,"4.7 inches, 59.9 cm2(~60.5% screen-to-body ratio)","13 MP, Hasselblad certified, AF","Sapphire crystal glass, oleophobic coating","4.0, A2DP, aptX, LE",No,"microUSB 2.0, OTG",,Discontinued,64GB 2GB RAM,Android 4.4.2 (KitKat),"Onyx Calf, Lagoon Calf, Blush Calf, Caviar Karung, Tangerine Karung, Raspberry Ostrich, Cognac Ostrich",,,,193 g (6.81 oz),"1080 x 1920 pixels, 16:9 ratio (~473 ppi density)"
Titanium body (forged grade 5) and luxurious calf leather covered rear panel,145 x 69 x 10.7 mm (5.71 x 2.72 x 0.42 in),,https://fdn2.gsmarena.com/vv/bigpic/vertu-signature-touch-clous-de-paris.jpg,"Li-Ion 2275 mAh, non-removable",eMMC 5.0,Vertu Signature Touch,,No,Vertu,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,Up to 380 h,0.69 W/kg (head)     1.29 W/kg (body),"Accelerometer, gyro, proximity, compass",,,Tuned by Bang & Olufsen,Adreno 330,"2014, June. Released 2014, June",Quad-core 2.3 GHz Krait 400,0.49 W/kg (head),"GPS, GLONASS",GSM / HSPA / LTE,"Yes, with stereo speakers",Micro-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,Yes,,"1, 5, 7, 8, 17, 20, 25",Dual-LED flash,,,About 8290 EUR,2.1 MP,Sapphire crystal glass,,Qualcomm Snapdragon 801 (28 nm),Up to 15 h 30 min,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",,HSDPA 850 / 900 / 1700 / 1900 / 2100,"4.7 inches, 60.9 cm2(~60.9% screen-to-body ratio)","13 MP, Hasselblad certified, AF",Scratch-proof glass,"4.0, A2DP, LE",No,"microUSB 2.0, OTG",,Discontinued,64GB 2GB RAM,Android 4.4.2 (KitKat),"Jet/ Claret leather, pure Jet leather, pure Jet red gold, Seaspray/ Damson/ Pure navy lizard, Jet alligator, Clous De Paris",,,,192 g (6.77 oz),"1080 x 1920 pixels, 16:9 ratio (~469 ppi density)"
Titanium body (forged grade 5) and luxurious calf leather covered rear panel,142.2 x 70.4 x 11.2 mm (5.60 x 2.77 x 0.44 in),,https://fdn2.gsmarena.com/vv/bigpic/vertu-constellation-2013.jpg,"Li-Ion 1800 mAh, non-removable",,Vertu Constellation 2013,,No,Vertu,HSPA 42.2/5.76 Mbps,,Up to 405 h (3G),0.68 W/kg (head)     0.98 W/kg (body),"Accelerometer, gyro, proximity, compass",,,,,"2013, October. Released 2013, October",Dual-core 1.7 GHz,0.49 W/kg (head),"GPS, GLONASS",GSM / HSPA,"Yes, built-in amplifier",Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,Yes,Yes,,,Dual-LED flash,,,About 5000 EUR,1.3 MP,Sapphire crystal glass,,,Up to 14 h 30 min (3G),"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot",,HSDPA 850 / 900 / 1700 / 1900 / 2100,"4.3 inches, 51.0 cm2(~50.9% screen-to-body ratio)","13 MP, AF",Scratch-proof glass,"4.0, A2DP, LE",No,microUSB 2.0,Up to 43 h,Discontinued,32GB,Android 4.2.2 (Jelly Bean),"Cappuccino, Black, Orange, Mocha, Raspberry, Pure Navy Alligator, Pure Plum Alligator",,,,179 g (6.31 oz),"720 x 1280 pixels, 16:9 ratio (~342 ppi density)"
Titanium body (grade 5),-,,https://fdn2.gsmarena.com/vv/bigpic/vertu-ti.jpg,"Li-Ion, non-removable",,Vertu Ti,,microSDHC (dedicated slot),Vertu,HSPA 21.1/5.76 Mbps,,,,"Accelerometer, proximity, compass",,,,,"2013, February. Released 2013, February",Dual-core 1.7 GHz,,GPS,GSM / HSPA,"Yes, with stereo speakers (Bang&Olufsen)",Mini-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,No,,,LED flash,,,About 7900 EUR,1.3 MP,Sapphire crystal glass,,,,"Wi-Fi 802.11 b/g/n, hotspot",,HSDPA 850 / 900 / 1900 / 2100,"3.7 inches, 39.0 cm2","8 MP, AF",Scratch-resistant glass,"4.0, A2DP",No,microUSB 2.0,,Discontinued,64GB 1GB RAM,Android 4.0 (Ice Cream Sandwich),Black/Gray,,,,-,"480 x 800 pixels, 5:3 ratio (~252 ppi density)"
No,118.2 x 54.5 x 12.2 mm (4.65 x 2.15 x 0.48 in),,https://fdn2.gsmarena.com/vv/bigpic/vertu-constelation.jpg,Non-removable Li-Ion 1200 mAh battery (BL-5K),"Vertu Concierge serviceSNS supportMP3/WMA/WAV/eAAC+ playerDivX/XviD/MP4/H.264/WMV playerQuickoffice document editor (Word, Excel, PowerPoint, PDF)Adobe ReaderVoice memo/dial/commandPredictive text input",Vertu Constellation,,microSDHC (dedicated slot),Vertu,HSPA,,Up to 400 h (2G) / Up to 400 h (3G),,"Accelerometer, proximity, compass",,,,,"2011, October. Released 2011, October",,,"GPS, A-GPS",GSM / HSPA,Yes,Mini-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,"720p@25fps, 720p@30fps (via SW update)",,,,Dual-LED flash,,,About 2330 EUR,,AMOLED,,,Up to 7 h (2G) / Up to 4 h 30 min (3G),Wi-Fi 802.11 b/g/n,,HSDPA 850 / 900 / 1900 / 2100,"3.5 inches, 33.8 cm2(~52.4% screen-to-body ratio)",8 MP,"Shatter proof sapphire crystal glass, oleophobic coating","3.0, A2DP",,microUSB 2.0,,Discontinued,,"Symbian^3, upgradable to Nokia Belle OS","Stain/Polished stainless steel, brown/black/pink leather or black alligator skin",,,,164g - 199g (7.02 oz),"360 x 640 pixels, 16:9 ratio (~210 ppi density)"
Flashlight,118 x 45 x 18 mm (4.65 x 1.77 x 0.71 in),"2000 contacts, Photocall",https://fdn2.gsmarena.com/vv/bigpic/vertu-ascent-ferrari-gt.jpg,Removable Li-Ion battery,Sapphire crystal stainless steel keysChronograph stopwatch,Vertu Ascent Ferrari GT,"SMS, MMS, Email",No,Vertu,HSPA,,Up to 300 h (2G) / Up to 300 h (3G),,Accelerometer,,,No,,"2011, January. Released 2011, Q2",,,"GPS, A-GPS",GSM / HSPA,Yes,Mini-SIM,MP4/H.263 playerMP3/WAV/AAC+ playersynchronization serviceVertu Concierge serviceVertu Fortress secure back up serviceOrganizerVoice memo/dialPredictive text input,GSM 850 / 900 / 1800 / 1900,No,Yes,,,,LED flash,"Yes, MIDP 2.0",,,,"TFT, 16M colors",Yes,,Up to 4 h 50 min (2G) / Up to 4 h (3G),No,Yes,HSDPA 850 / 900 / 1900 / 2100,"2.0 inches, 12.4 cm2(~23.3% screen-to-body ratio)","5 MP, AF",,"2.1, A2DP",No,microUSB 2.0,,Discontinued,32GB,,Black,,"WAP 2.0/xHTML, HTML",,187 g (6.60 oz),"240 x 320 pixels, 4:3 ratio (~200 ppi density)"
Optical trackpad,"116.2 x 60.8 x 12.7 mm, 87 cc (4.57 x 2.39 x 0.5 in)",,https://fdn2.gsmarena.com/vv/bigpic/vertu-constellation-quest.jpg,Non-removable Li-Po 1500 mAh battery,No,Vertu Constellation Quest,,"microSDHC (dedicated slot), 32 GB included",Vertu,HSPA 10.2/2 Mbps,,Up to 350 h (2G) / Up to 430 h (3G),,"Accelerometer, compass",,,"Facebook, Twitter appsMP4/H.263 playerMP3/WMA/WAV/eAAC+ playerQuickOffice editor (Word, Excel, PowerPoint)PDF viewerVoice memo/dial/commandsOrganizerVertu Concierge servicePredictive text input",,"2010, October. Released 2010, December",,,"GPS, A-GPS",GSM / HSPA,Yes,Mini-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,Yes,,QWERTY,,Dual-LED flash,,,About 6140 EUR,,"TFT, 16M colors",,,Up to 7 h 30 min (2G) / Up to 5 h 40 min (3G),Wi-Fi 802.11 b/g,,HSDPA 850 / 900 / 1900 / 2100,"2.46 inches, 18.7 cm2(~26.5% screen-to-body ratio)","5 MP, AF",,"2.1, A2DP","Stereo FM radio, RDS",microUSB 2.0,,Discontinued,8GB,Symbian OS,"Silver, Pink, Black, Brown, Yellow Gold, Carbon fibre with gold, Carbon fibre",,"WAP 2.0/xHTML, HTML",,165-185 g (6.53 oz),"640 x 480 pixels, 4:3 ratio (~325 ppi density)"
Flashlight,"117 x 46 x 19 mm, 82 cc (4.61 x 1.81 x 0.75 in)","2000 contacts, Photocall",https://fdn2.gsmarena.com/vv/bigpic/vertu-ascent-2010.jpg,Non-removable Li-Ion battery,Sapphire crystal stainless steel keysChronograph stopwatch,Vertu Ascent 2010,"SMS, MMS, Email",No,Vertu,HSPA,,Up to 300 h (2G) / Up to 300 h (3G),,Accelerometer,,,No,,"2010, April. Released 2010, April",,,"GPS, A-GPS",GSM / HSPA,Yes,Mini-SIM,OrganizerMP4/H.263 playerMP3/WAV/AAC+ playersynchronization serviceVertu Concierge serviceVertu Fortress secure back up serviceVoice memo/dialPredictive text input,GSM 850 / 900 / 1800 / 1900,No,Yes,,,,LED flash,"Yes, MIDP 2.0",,,,"TFT, 16M colors",Yes,,Up to 5 h (2G) / Up to 4 h (3G),No,Yes,HSDPA 850 / 900 / 1900 / 2100,"2.0 inches, 12.4 cm2(~23.0% screen-to-body ratio)","5 MP, AF",,"2.0, A2DP",No,microUSB 2.0,,Discontinued,"8GB (Aluminium), 32GB (Titanium)",,Aluminium and Titanium versions with various colors,,"WAP 2.0/xHTML, HTML",,170 g (6.00 oz),"240 x 320 pixels, 4:3 ratio (~200 ppi density)"
"External monochrome display, 128 x 160 pixels","100 x 48 x 18 mm, 74 cc (3.94 x 1.89 x 0.71 in)","2000 contacts, Photocall",https://fdn2.gsmarena.com/vv/bigpic/vertu-constellation-ayxta.jpg,Non-removable Li-Ion 1000 mAh battery (BL-4UV),1500 calendar notes1000 SMS,Vertu Constellation Ayxta,"SMS, MMS, Email",microSDHC (dedicated slot),Vertu,,Class 10,Up to 300 h,,,,,No,,"2009, September. Released 2009, October",,,"GPS, A-GPS; Google maps",GSM,Yes,Mini-SIM,MP4/H.264/WMV playerMP3/eAAC+/WMA playerOrganizerVoice memoPredictive text input,GSM 850 / 900 / 1800 / 1900,No,Yes,,,,LED flash,"Yes, MIDP 2.0",Yes,About 5020 EUR,,"TFT, 16M colors",Yes,,Up to 5 h 30 min,No,"30 received, dialed and missed calls",,"2.4 inches, 16.4 cm2(~34.2% screen-to-body ratio)","3.15 MP, AF",Scratch-resistant glass,2.0,No,2.0,,Discontinued,100MB,,"Black, Dark Brown",,WAP 2.0 / xHTML,Class 10,175 g (6.17 oz),"240 x 400 pixels, 5:3 ratio (~194 ppi density)"
