,Type,Dimensions,Model Image,_1,Bluetooth,3.5mm jack,Chipset,NFC,SIM,4G bands,Video,Brand,Languages,Status,Sensors,Resolution,Build,WLAN,Single,Price,_4,Models,Features_1,USB,GPU,Internal,Card slot,Colors,3G bands,Talk time,OS,Loudspeaker,Single_1,Triple,CPU,SAR,Quad,Dual,Radio,Performance,Type_1,2G bands,Size,Charging,Weight,Announced,Model Name,Video_1,Technology,_2,Features,Stand-by,Protection,Positioning,_3,SAR EU,Speed,5G bands
,IPS LCD,164.5 x 75.9 x 8.9 mm (6.48 x 2.99 x 0.35 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-t20.jpg,,"4.2, A2DP",Yes,Unisoc SC9863A1 (28nm),No,Nano-SIM + Nano-SIM,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",1080p@30fps,Wiko,,"Available. Released 2024, May","Fingerprint (side-mounted), accelerometer","720 x 1612 pixels, 20:9 ratio (~269 ppi density)",,Wi-Fi 802.11 b/g/n,"8 MP, f/2.0, (wide), 1/4.0"", 1.12µm, AFAuxiliary lens",About 120 EUR,,,,"USB Type-C, OTG",IMG8322,"64GB 4GB RAM, 128GB 4GB RAM",microSDXC,"Black, Green, Blue",HSDPA 850 / 900 / 1900 / 2100,,Android 13,Yes,"5 MP, f/2.0, (wide), 1/5.0"", 1.12µm",,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),,,,Unspecified,,Li-Po 5000 mAh,GSM 850 / 900 / 1800 / 1900,"6.56 inches, 103.4 cm2(~82.8% screen-to-body ratio)",10W wired,186 g (6.56 oz),"2024, May",Wiko T20,Yes,GSM / HSPA / LTE,,LED flash,,Corning Gorilla Glass,"GPS, GLONASS, GALILEO, BDS",,,"HSPA, LTE",
,TFT LCD,168.3 x 77.7 x 9 mm (6.63 x 3.06 x 0.35 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-hi-enjoy-60s.jpg,,"5.1, A2DP, LE",Yes,Mediatek Dimensity 700 (7 nm),No,Nano-SIM + Nano-SIM,LTE,1080p@30fps,Wiko,,"Available. Released 2023, November 07","Fingerprint (side-mounted), accelerometer, proximity, compass","720 x 1600 pixels, 20:9 ratio (~260 ppi density)",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","8 MP, f/2.0, (wide)",About 200 EUR,,,,"USB Type-C 2.0, OTG",Mali-G57 MC2,"128GB, 256GB",microSDXC,"Black, Blue, White",HSDPA 850 / 900 / 2100,,HarmonyOS,Yes,,,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,,"13 MP, f/1.8, (wide), AF2 MP, f/2.4, (depth)",Unspecified,,Li-Po 6000 mAh,GSM 850 / 900 / 1800 / 1900,"6.75 inches, 110.0 cm2(~84.1% screen-to-body ratio)",22.5W wired,199 g (7.02 oz),"2023, November 07",Wiko Hi Enjoy 60s,1080p@30fps,GSM / HSPA / LTE / 5G,,"LED flash, panorama",,,"GPS, GLONASS, GALILEO, BDS, QZSS",,,"HSPA, LTE, 5G",SA/NSA
,IPS LCD,165.8 x 75.8 x 9.8 mm (6.53 x 2.98 x 0.39 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-t60.jpg,,"4.2, A2DP",Yes,Mediatek MT8788V/WA (12 nm),Yes,Nano-SIM + Nano-SIM,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 38, 39, 40, 41, 66",1080p@30fps,Wiko,,"Available. Released 2023, June 23","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","1080 x 2408 pixels, 20:9 ratio (~401 ppi density)",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",24 MP,,,,,USB Type-C 2.0,,256GB 8GB RAM,microSDXC,"Black, Purple, Blue",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,Android 13,Yes,,"48 MP, (wide), AF2 MP, (macro)0.3 MP",Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),,,,Unspecified,,Li-Po 5200 mAh,GSM 850 / 900 / 1800 / 1900,"6.58 inches, 104.3 cm2(~83.0% screen-to-body ratio)",,217 g (7.65 oz),"2023, June 23",Wiko T60,1080p@30fps,GSM / HSPA / LTE,,"LED flash, HDR, panorama",,Corning Gorilla Glass,"GPS, GLONASS, GALILEO",,,"HSPA, LTE",
CDMA 800,"IPS LCD, 120Hz",164.6 x 75.6 x 7.9 mm (6.48 x 2.98 x 0.31 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-5g.jpg,CDMA2000 1x,"5.1, A2DP, LE",No,Qualcomm SM6375 Snapdragon 695 5G (6 nm),No,Nano-SIM + Nano-SIM,LTE,"1080p@30fps, gyro-EIS",Wiko,,"Available. Released 2022, December 27","Fingerprint (side-mounted), accelerometer, compass",1080 x 2388 pixels (~387 ppi density),,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","16 MP, f/2.2, 22mm (wide)",About 270 EUR,Virtual proximity sensing,,,"USB Type-C 2.0, OTG",Adreno 619,"128GB 8GB RAM, 256GB 8GB RAM",No,"Black, Silver",HSDPA 850 / 900 / 1900 / 2100,,HarmonyOS,Yes,,,Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),,"108 MP, f/1.9, (wide), 1/1.52"", 0.7µm, PDAF8 MP, f/2.2, 112˚ (ultrawide)2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",,No,,Li-Po 4000 mAh,GSM 850 / 900 / 1800 / 1900,"6.78 inches, 111.4 cm2(~89.5% screen-to-body ratio)","66W wired, 60% in 15 min, 100% in 35 min5W reverse wired",191 g (6.74 oz),"2022, December 27",Wiko 5G,1080p@30fps,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,Splash resistant,"LED flash, HDR, panorama",,,"GPS, GLONASS, GALILEO, BDS, QZSS",UFS 2.2,,"HSPA, LTE, 5G",SA/NSA
,IPS LCD,168.3 x 77.6 x 9 mm (6.63 x 3.06 x 0.35 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-10.jpg,,"5.0, A2DP, LE",Yes,Mediatek MT6765 Helio G37 (12 nm),No,Nano-SIM + Nano-SIM,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",1080p@30fps,Wiko,,"Available. Released 2022, October 10","Fingerprint (side-mounted), accelerometer, proximity, compass","720 x 1600 pixels, 20:9 ratio (~260 ppi density)",,"Wi-Fi 802.11 b/g/n/ac, dual-band","8 MP, f/2.0, (wide)",About 140 EUR,,,HDR,USB Type-C 2.0,PowerVR GE8320,"128GB 4GB RAM, 128GB 6GB RAM",microSDXC,"Klein Blue, Black, Silver",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,Android 12,Yes,,"50 MP, f/1.8, 28mm (wide), 1/2.76"", 0.64µm, PDAF2 MP, f/2.4, (depth), AF2 MP, f/2.4, (macro), AF",Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),,,,No,,Li-Po 5000 mAh,GSM 850 / 900 / 1800 / 1900,"6.75 inches, 110.0 cm2(~84.2% screen-to-body ratio)",22.5W wired,199 g (7.02 oz),"2022, September 22",Wiko 10,1080p@30fps,GSM / HSPA / LTE,,"LED flash, HDR, panorama",,,"GPS, GLONASS, GALILEO, BDS",,,"HSPA, LTE",
HSDPA 850 / 900 / 1900 / 2100 - W-P861-02,IPS LCD,160.7 x 73.3 x 8.4 mm (6.33 x 2.89 x 0.33 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-t50.jpg,"1, 3, 7, 8, 20, 28 - W-P861-02","5.1, A2DP, LE",Yes,Mediatek MT6769Z Helio G85 (12 nm),No,Nano-SIM + Nano-SIM,"1, 2, 3, 4, 5, 7, 8, 13, 26, 28, 66 - W-P861-01",1080p@30fps,Wiko,,"Available. Released 2022, May 26","Fingerprint (side-mounted), accelerometer, compass","1080 x 2400 pixels, 20:9 ratio (~399 ppi density)",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",16 MP,,,"W-P861-01, W-P861-02",,USB Type-C 2.0,Mali-G52 MC2,"128GB 4GB RAM, 128GB 6GB RAM",No,"Black, Green, Pink",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - W-P861-01,,Android 11,Yes,,"64 MP, AF8 MP2 MP",Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),,,,FM radio,,Li-Ion 4000 mAh,GSM 850 / 900 / 1800 / 1900,"6.6 inches, 105.2 cm2(~89.3% screen-to-body ratio)",40W wired,179 g (6.31 oz),"2022, May 26",Wiko T50,1080p@30fps,GSM / HSPA / LTE,,"LED flash, HDR, panorama",,,"GPS, GLONASS, GALILEO, BDS",,,"HSPA, LTE",
HSDPA 850 / 900 / 1900 / 2100 - W-V673-02,IPS LCD,163.9 x 75.8 x 9 mm (6.45 x 2.98 x 0.35 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-t10.jpg,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - W-V673-02","5.0, A2DP, LE",Yes,Mediatek MT6761 Helio A22 (12 nm),No,Nano-SIM + Nano-SIM,"1, 2, 3, 4, 5, 7, 8, 13, 26, 28, 38, 66 - W-V673-01",1080p@30fps,Wiko,,"Available. Released 2022, May 26","Accelerometer, proximity","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,Wi-Fi 802.11 b/g/n,"13 MP, AF",,,"W-V673-01, W-V673-02",,Yes,PowerVR GE8300,64GB 2GB RAM,microSDXC,"Black, Green",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - W-V673-01,,Android 11 (Go edition),Yes,5 MP,,Quad-core 2.0 GHz Cortex-A53,,,,FM radio,,Li-Ion 5000 mAh,GSM 850 / 900 / 1800 / 1900,"6.5 inches, 102.0 cm2(~82.1% screen-to-body ratio)",,192 g (6.77 oz),"2022, May 26",Wiko T10,,GSM / HSPA / LTE,,"LED flash, panorama",,,"GPS, GLONASS, GALILEO, BDS",,,"HSPA, LTE",
,IPS LCD,165.3 x 76 x 9.2 mm (6.51 x 2.99 x 0.36 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-t3.jpg,,"5.0, A2DP, LE",Yes,Mediatek MT6765 Helio P35 (12 nm),No,Nano-SIMNano-SIM + Nano-SIM,"1, 2, 3, 4, 5, 7, 8, 20, 26, 28, 38, 40, 41, 66",1080p@30fps,Wiko,,"Available. Released 2021, December","Fingerprint (side-mounted), accelerometer, proximity","720 x 1600 pixels, 20:9 ratio (~266 ppi density)",,Wi-Fi 802.11 b/g/n,8 MP,,,,,Yes,PowerVR GE8320,128GB 4GB RAM,microSDXC,"Black, Gold",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,Android 11,Yes,,"48 MP, AF5 MP2 MP",Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),,,,FM radio,,Li-Ion 5000 mAh,GSM 850 / 900 / 1800 / 1900,"6.6 inches, 105.2 cm2(~83.7% screen-to-body ratio)",,188 g (6.63 oz),"2021, December",Wiko T3,,GSM / HSPA / LTE,,"LED flash, HDR, panorama",,,"GPS, GLONASS, GALILEO, BDS",,,"HSPA, LTE",
,IPS LCD,157 x 75.8 x 9.1 mm (6.18 x 2.98 x 0.36 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-y62plus-thumb2.jpg,,"4.2, A2DP",Yes,Mediatek MT6761D Helio A20 (12 nm),No,Nano-SIM + Nano-SIM,"1, 3, 7, 20",1080p@30fps,Wiko,,"Available. Released 2021, Q3","Accelerometer, proximity","720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)",,Wi-Fi 802.11 b/g/n,"8 MP, AF",About 70 EUR,,W-K610-FRA,LED flash,microUSB 2.0,PowerVR GE8320,32GB 2GB RAM,microSDXC,"Dark Blue, Light Blue, Mint",HSDPA 850 / 900 / 1900 / 2100,,Android 11 (Go edition),Yes,5 MP,,Quad-core 1.8 GHz Cortex-A53,0.42 W/kg (head)     1.61 W/kg (body),,,No,,Li-Ion 3000 mAh,GSM 850 / 900 / 1800 / 1900,"6.1 inches, 91.3 cm2(~76.8% screen-to-body ratio)",,172 g (6.07 oz),"2021, Q3",Wiko Y62 Plus,,GSM / HSPA / LTE,,"LED flash, HDR",,,"GPS, GLONASS, GALILEO, BDS",,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",
,IPS LCD,155.5 x 73.3 x 9.3 mm (6.12 x 2.89 x 0.37 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-y82-new.jpg,,"4.2, A2DP, LE",Yes,Unisoc SC9863A (28 nm),No,Nano-SIM + Nano-SIM,"1, 3, 5, 7, 8, 20, 40",720p@30fps,Wiko,,"Available. Released 2021, Q3","Accelerometer, proximity","720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)",,Wi-Fi 802.11 b/g/n,"13 MP, AF",About 90 EUR,,W-K630-EEA,,microUSB 2.0,IMG8322,32GB 3GB RAM,microSDXC,"Black, Dark Blue, Light Blue",HSDPA 850 / 900 / 1900 / 2100,,Android 11,Yes,5 MP,,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),0.27 W/kg (head)     1.39 W/kg (body),,,No,,"Li-Ion 3600 mAh, removable",GSM 850 / 900 / 1800 / 1900,"6.1 inches, 91.3 cm2(~80.1% screen-to-body ratio)",,-,"2021, Q3",Wiko Y82,,GSM / HSPA / LTE,,"LED flash, HDR",,,"GPS, GLONASS, BDS",,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",
