,_1,Speed,Features,Talk time,2G bands,GPU,Brand,Weight,Colors,3.5mm jack,WLAN,Music play,Announced,Type_1,CPU,3G bands,Model Name,Video_1,Models,OS,Protection,Charging,SAR,Video,Positioning,Type,Size,SIM,Price,Technology,Model Image,USB,4G bands,Card slot,Features_1,NFC,Single_1,Dimensions,Loudspeaker,Chipset,Resolution,Single,Stand-by,Status,Internal,Bluetooth,Radio,Sensors
eMMC 5.1,,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",LED flash,,GSM 850 / 900 / 1800 / 1900,PowerVR GE8100,YU,159 g (5.61 oz),"Charcoal Grey, Elektric Blue, Rose Gold",Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,"2018, August","Li-Po 4000 mAh, removable",Quad-core 1.5 GHz Cortex-A53,HSDPA 900 / 2100,YU Ace,720p@30fps,YU5014,Android 8.0 (Oreo),,10W wired,,1080p@30fps,GPS,IPS LCD,"5.45 inches, 76.7 cm2(~73.5% screen-to-body ratio)",Nano-SIM + Nano-SIM,About 6000 INR,GSM / HSPA / LTE,https://fdn2.gsmarena.com/vv/bigpic/yu-ace-2.jpg,"microUSB 2.0, OTG","1, 3, 5, 40, 41",microSDXC (dedicated slot),LED flash,No,5 MP,148 x 70.5 x 9.6 mm (5.83 x 2.78 x 0.38 in),Yes,Mediatek MT6739WW (28 nm),"720 x 1440 pixels, 18:9 ratio (~295 ppi density)","13 MP, AF",,"Available. Released 2018, September","16GB 2GB RAM, 32GB 3GB RAM","4.1, A2DP",FM radio,"Fingerprint (rear-mounted), accelerometer, proximity"
eMMC 5.1,,"HSPA, LTE","Dual-LED dual-tone flash, HDR, panorama",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Adreno 506,YU,-,Gold,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,"2017, September. Released 2017, September","Li-Ion 3930 mAh, non-removable",Octa-core 2.0 GHz Cortex-A53,HSDPA 900 / 2100,YU Yureka 2,,YU5551,Android 6.0 (Marshmallow),To be confirmed,10W wired,,1080p@30fps,GPS,IPS LCD,"5.5 inches, 83.4 cm2(~71.4% screen-to-body ratio)",Nano-SIM + Micro-SIM,About 12000 INR,GSM / HSPA / LTE,https://fdn2.gsmarena.com/vv/bigpic/yu-yureka2-yu5551.jpg,microUSB 2.0,"3, 5, 40",microSDXC (uses shared SIM slot),,No,8 MP,152.6 x 76.5 x 8.2 mm (6.01 x 3.01 x 0.32 in),Yes,Qualcomm MSM8953 Snapdragon 625 (14 nm),"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","16 MP, AF",,Discontinued,64GB 4GB RAM,"4.0, A2DP",FM radio,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass"
eMMC 5.0,,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","LED flash, HDR, panorama",,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Mali-T720,YU,159 g (5.61 oz),"Champagne Gold, Coal Black",Yes,Wi-Fi 802.11 b/g/n,,"2017, July. Released 2017, July","Li-Po 2500 mAh, removable",Quad-core 1.3 GHz Cortex-A53,HSDPA 900 / 2100,YU Yunique 2,,"YU5011, YU5012",Android 7.0 (Nougat),Corning Gorilla Glass 3,,,1080p@30fps,GPS,IPS LCD,"5.0 inches, 68.9 cm2(~65.4% screen-to-body ratio)","Dual SIM (Micro-SIM, dual stand-by)",About 6000 INR,GSM / HSPA / LTE,https://fdn2.gsmarena.com/vv/bigpic/yu-yunique-2-yu5011.jpg,"microUSB 2.0, OTG","3, 40",microSDXC (dedicated slot),,No,5 MP,145 x 72.7 x 9.2 mm (5.71 x 2.86 x 0.36 in),Yes,Mediatek MT6737 (28 nm),"720 x 1280 pixels, 16:9 ratio (~294 ppi density)","13 MP, f/2.0, AF",,Discontinued,16GB 2GB RAM,"4.0, A2DP","Stereo FM radio, RDS, recording","Accelerometer, proximity"
eMMC 5.1,,"HSPA, LTE","Dual-LED flash, panorama",Up to 28 h (2G) / Up to 21 h (3G),GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Adreno 505,YU,152 g (5.36 oz),"Matte Black, Chrome Black",Yes,Wi-Fi 802.11 b/g/n,,"2017, June. Released 2017, June","Li-Po 3000 mAh, non-removable",Octa-core 1.4 GHz Cortex-A53,HSDPA 850 / 900 / 1900 / 2100,YU Yureka Black,,YU5040,Android 6.0 (Marshmallow),Corning Gorilla Glass 3,,,1080p@30fps,GPS,IPS LCD,"5.0 inches, 68.9 cm2(~69.7% screen-to-body ratio)",Nano-SIM + Nano-SIM,About 9000 INR,GSM / HSPA / LTE,https://fdn2.gsmarena.com/vv/bigpic/yu-yureka-yu5040.jpg,microUSB 2.0,"1, 3, 5, 40",microSDXC (uses shared SIM slot),,No,8 MP,142 x 69.6 x 8.7 mm (5.59 x 2.74 x 0.34 in),Yes,Qualcomm MSM8937 Snapdragon 430 (28 nm),"1080 x 1920 pixels, 16:9 ratio (~441 ppi density)","13 MP, 1/3.1"", 1.12µm, PDAF",Up to 168 h (2G) / Up to 168 h (3G),Discontinued,32GB 4GB RAM,"4.0, A2DP",FM radio,"Fingerprint (front-mounted), accelerometer, proximity"
eMMC 4.5,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","LED flash, HDR, panorama",Up to 7 h,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Adreno 306,YU,128 g (4.52 oz),Black,Yes,"Wi-Fi 802.11 b/g/n, hotspot",Up to 12 h,"2016, August. Released 2016, August","Li-Po 2000 mAh, non-removable",Quad-core 1.2 GHz Cortex-A53,HSDPA 900 / 2100,YU Yunique Plus,,,Android 5.1.1 (Lollipop),Corning Gorilla Glass 3,,,1080p@30fps,"GPS, GLONASS",IPS LCD,"4.7 inches, 60.9 cm2","Dual SIM (Micro-SIM, dual stand-by)",About 80 EUR,GSM / HSPA / LTE,https://fdn2.gsmarena.com/vv/bigpic/yu-yunique-plus.jpg,"microUSB 2.0, OTG","3, 40",microSDHC,HDR,No,2 MP,8.3 mm thickness,Yes,Qualcomm MSM8916 Snapdragon 410 (28 nm),"720 x 1280 pixels, 16:9 ratio (~312 ppi density)","8 MP, f/2.0, AF",Up to 345 h,Discontinued,8GB 2GB RAM,"4.0, A2DP, aptX","Stereo FM radio, RDS, recording","Accelerometer, proximity"
eMMC 4.5,,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","LED flash, panorama",Up to 9 h,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Adreno 405,YU,172 g (6.07 oz),"Dark Grey, Rose Gold, White",Yes,"Wi-Fi 802.11 b/g/n, hotspot",,"2016, August. Released 2016, August","Li-Ion 3000 mAh, non-removable",Octa-core (4x1.7 GHz Cortex-A53 & 4x1.1 GHz Cortex-A53),HSDPA 900 / 2100,YU Yureka S,,YU5200,Android 5.1.1 (Lollipop),Corning Gorilla Glass 3,,,1080p@30fps,GPS,IPS LCD,"5.2 inches, 74.5 cm2(~61.7% screen-to-body ratio)","Hybrid Dual SIM (Micro-SIM, dual stand-by)",About 170 EUR,GSM / HSPA / LTE,https://fdn2.gsmarena.com/vv/bigpic/yu-yureka-s.jpg,microUSB 2.0,"3, 40",microSDXC (uses shared SIM slot),,No,"5 MP, f/2.2",154.8 x 78 x 8.8 mm (6.09 x 3.07 x 0.35 in),Yes,Qualcomm MSM8939 Snapdragon 615 (28 nm),"1080 x 1920 pixels, 16:9 ratio (~424 ppi density)","13 MP, f/2.2, 1/3.1"", 1.12µm, AF",Up to 450 h,Discontinued,16GB 3GB RAM,"4.0, A2DP",FM radio,"Accelerometer, gyro, proximity, compass"
Around YU 2,eMMC 5.1,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","Dual-LED dual-tone flash, HDR, panorama",Up to 20 h (3G),GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Mali-T860MP2,YU,172 g (6.07 oz),"Silver, graphite, gold",Yes,"Wi-Fi 802.11 a/b/g/n, hotspot",Up to 100 h,"2016, May. Released 2016, June","Li-Po 4000 mAh, non-removable",Octa-core (4x1.8 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),HSDPA 900 / 2100,YU Yunicorn,,"YU5530, U55",Android 5.1.1 (Lollipop),,,0.52 W/kg (head)     0.81 W/kg (body),1080p@30fps,GPS,IPS LCD,"5.5 inches, 83.4 cm2(~72.1% screen-to-body ratio)",Nano-SIM + Nano-SIM,About 180 EUR,GSM / HSPA / LTE,https://fdn2.gsmarena.com/vv/bigpic/yu-yunicorn.jpg,microUSB 2.0,"3, 5, 40",microSDXC (uses shared SIM slot),,No,"5 MP, f/2.0",153.3 x 75.4 x 8.5 mm (6.04 x 2.97 x 0.33 in),Yes,Mediatek MT6755 Helio P10 (28 nm),"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","13 MP, f/2.2, PDAF",Up to 500 h (3G),Discontinued,32GB 4GB RAM,"4.1, A2DP",FM radio,"Fingerprint (front-mounted), accelerometer, proximity"
,,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","Dual-LED flash, HDR, panorama",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Mali-T720MP3,YU,184 g (6.49 oz),Black,Yes,"Wi-Fi 802.11 b/g/n, hotspot",,"2016, April. Released 2016, May","Li-Po 4000 mAh, non-removable",Octa-core 1.5 GHz Cortex-A53,HSDPA 900 / 2100,YU Yureka Note,,"U60, 6000",Android 5.1.1 (Lollipop),Corning Concore Glass 3,"18W wired, QC2",,1080p@30fps,"GPS, GLONASS",IPS LCD,"6.0 inches, 99.2 cm2(~74.2% screen-to-body ratio)","Hybrid Dual SIM (Micro-SIM, dual stand-by)",About 180 EUR,GSM / HSPA / LTE,https://fdn2.gsmarena.com/vv/bigpic/yu-yureka-note.jpg,"microUSB 2.0, OTG",LTE,microSDXC (uses shared SIM slot),,No,8 MP,159 x 84.1 x 7.9 mm (6.26 x 3.31 x 0.31 in),"Yes, with stereo speakers",Mediatek MT6753 (28 nm),"1080 x 1920 pixels, 16:9 ratio (~367 ppi density)","13 MP, PDAF",,Discontinued,16GB 3GB RAM,"4.0, A2DP",FM radio,"Fingerprint (rear-mounted), accelerometer, gyro, proximity"
eMMC 5.0,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","Dual-LED dual-tone flash, HDR, panorama",Up to 8 h (3G),GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Adreno 430,YU,159 g (5.61 oz),Silver,Yes,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, hotspot",,"2015, December. Released 2015, December","Li-Po 3000 mAh, non-removable",Octa-core (4x2.0 GHz Cortex A57 & 4x1.5 GHz Cortex-A53),HSDPA 900 / 2100,YU Yutopia,,YU5050,"Android 5.1.1 (Lollipop), Cyanogen 12.1",Corning Concore Glass,"18W wired, QC2",,"4K@30fps, 720p@120fps","GPS, GLONASS",IPS LCD,"5.2 inches, 74.5 cm2(~69.9% screen-to-body ratio)",Nano-SIM + Micro-SIM,About 420 EUR,GSM / HSPA / LTE,https://fdn2.gsmarena.com/vv/bigpic/yu-yutopia.jpg,"microUSB 2.0, OTG","3, 5, 7, 20, 40",microSDXC (uses shared SIM slot),,No,"8 MP, f/2.2, 1/3.2"", 1.4µm",146.6 x 72.7 x 7.2 mm (5.77 x 2.86 x 0.28 in),"Yes, with stereo speakers",Qualcomm MSM8994 Snapdragon 810 (20 nm),"1440 x 2560 pixels, 16:9 ratio (~565 ppi density)","21 MP, f/2.2, 27mm (wide), 1/2.4"", 1.12µm, PDAF, OIS",Up to 300 h (3G),Discontinued,32GB 4GB RAM,"4.1, A2DP, LE",FM radio,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, barometer, compass"
eMMC 4.5,,"HSPA, LTE Cat4 150/50 Mbps","LED flash, HDR, panorama",Up to 7 h,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Adreno 306,YU,128 g (4.52 oz),Black,Yes,"Wi-Fi 802.11 b/g/n, hotspot",,"2015, September. Released 2015, September","Li-Po 2000 mAh, non-removable",Quad-core 1.2 GHz Cortex-A53,HSDPA 900 / 2100,YU Yunique,,YU4711,Android 5.1.1 (Lollipop),Corning Gorilla Glass 3,,,1080p@30fps,"GPS, GLONASS",IPS LCD,"4.7 inches, 60.9 cm2(~67.1% screen-to-body ratio)","Dual SIM (Micro-SIM, dual stand-by)",About 70 EUR,GSM / HSPA / LTE,https://fdn2.gsmarena.com/vv/bigpic/yu-yunique-.jpg,"microUSB 2.0, OTG","3, 40",microSDHC (dedicated slot),HDR,No,2 MP,134.5 x 67.5 x 8.3 mm (5.30 x 2.66 x 0.33 in),Yes,Qualcomm MSM8916 Snapdragon 410 (28 nm),"720 x 1280 pixels, 16:9 ratio (~312 ppi density)","8 MP, f/2.0, AF",Up to 271 h,Discontinued,8GB 1GB RAM,"4.0, A2DP, aptX","Stereo FM radio, RDS, recording","Accelerometer, proximity"
